inn;predpriyatie;tip;model;vid_fakta;chto_naydeno;ssylka
3444070534;"ООО ""ЛУКОЙЛ-НИЖНЕВОЛЖСКНЕФТЬ""";компрессор;MМ55;машина;Компрессор MМ55 SS №3, заводской № 2321075, выпуска 2000 года, в составе оборудования бурового комплекса СПБУ «Бриз», до начала применения на опасном производственном объекте «Участок ведения буровых работ (в границах ли;https://monitor-pb.ru/conclusion/39-%D0%A2%D0%A3-23133-2025
3444070534;"ООО ""ЛУКОЙЛ-НИЖНЕВОЛЖСКНЕФТЬ""";компрессор;С412M;машина;техническое устройство «Компрессор гаражный передвижной модель С412M», зав. № 401, применяемое на опасном производственном объекте «Участок обработки буровых отходов (КТПБ)» IV класса опасности (рег. № А38-03416-0009) ОО;https://monitor-pb.ru/conclusion/34-%D0%A2%D0%A3-785576-2026
3664000885;"ОАО ""ГАЗПРОМ ГАЗОРАСПРЕДЕЛЕНИЕ ВОРОНЕЖ""";компрессор;;машина;"Запрос предложений в электронной форме № 03-165-2021 по отбору организации для поставки товаров по номенклатурной группе: ""Инструменты"" (Генераторы,перфораторы, компрессор)";https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32110355407
3664000885;"ОАО ""ГАЗПРОМ ГАЗОРАСПРЕДЕЛЕНИЕ ВОРОНЕЖ""";компрессор;;машина;"Запрос предложений в электронной форме № 03-165-2021 по отбору организации для поставки товаров по номенклатурной группе: ""Инструменты"" (Генераторы,перфораторы, компрессор)";https://etpgpb.ru/procedures/?search=32110355407
3834002314;ПАО «Коршуновский ГОК»;компрессор;;расходник;Приобретение запасных частей для компрессора Atlas Copco XL1900 бурового станка PitViper PV-275 машина;https://etpgpb.ru/procedure/tender/etp/606008-priobretenie-zapasnyh-chastey-dlya-kompressora-atlas-copco-xl1900-burovogo-stanka-pitviper-pv-275/
3834002314;ПАО «Коршуновский ГОК»;компрессор;;расходник;Приобретение запасных частей для компрессора Atlas Copco XL1900 бурового станка PitViper PV-275;https://etpgpb.ru/procedures/etp/606008-priobretenie-zapasnyh-chastey-dlya-kompressora-atlas-copco-xl1900-burovogo-stanka-pitviper-pv-275/
3834002314;ПАО «Коршуновский ГОК»;компрессор;;расходник;Приобретение запасных частей для компрессора Atlas Copco XL1900 бурового станка PitViper PV-275;https://etpgpb.ru/procedures/?search=ГП250238
3834002314;ПАО «Коршуновский ГОК»;компрессор;;расходник;Приобретение запасных частей для компрессора Atlas Copco XL1900 бурового станка PitViper PV-275;https://etpgpb.ru/procedures/?search=ГП250238
3834002314;ПАО «Коршуновский ГОК»;компрессор;;расходник;Приобретение запасных частей для компрессора Atlas Copco XL1900 бурового станка PitViper PV-275 [источник: etpgpb-loty-vse.csv, колонка predmet https://etpgpb.ru/procedures/etp/606008-priobretenie-zapasnyh-chastey-dlya-k;https://etpgpb.ru/procedures/?search=ГП250238#3834002314
3834002314;ПАО «Коршуновский ГОК»;компрессор;;расходник;Приобретение запасных частей для компрессора Atlas Copco XL1900 бурового станка PitViper PV-275 [источник: SVOD-tri-sostoyaniya.csv, колонка tekst, ЭТП ГПБ, поиск по словам, ЭТП ГПБ, процедура ГП250238 https://etpgpb.ru/;https://zakupki.gov.ru/epz/order/extendedsearch/results.html?searchString=606008#3834002314
3849037856;"ООО ""ИНК-СЕРВИС""";осушитель;V-0,26;машина;Заключение экспертизы промышленной безопасности № 112-340-2025 на техническое устройство, применяемое на опасном производственном объекте: осушитель воздуха V-0,26 м3 зав. № Т332 «Участок ведения буровых работ» рег. № А6;https://monitor-pb.ru/conclusion/38-%D0%A2%D0%A3-599099-2025
4214000608;"ПАО ""ЮЖНЫЙ КУЗБАСС""";компрессорная станция;;расходник;"Поставка фильтрующих элементов для азотных компрессорных станций, к буровой установке МБ70 для ПАО ""Южный Кузбасс""";https://etpgpb.ru/procedures/?search=ГП639979
4214000608;"ПАО ""ЮЖНЫЙ КУЗБАСС""";компрессор;;узел;Приобретение компрессорного блока для буровой установки 3 СБШ 200-60;https://etpgpb.ru/procedures/?search=ГП018353
4214000608;"ПАО ""ЮЖНЫЙ КУЗБАСС""";компрессорная станция;;расходник;"Поставка фильтрующих элементов для азотных компрессорных станций, к буровой установке МБ70 для ПАО ""Южный Кузбасс""";https://etpgpb.ru/procedures/?search=ГП639979
4214000608;"ПАО ""ЮЖНЫЙ КУЗБАСС""";компрессор;;машина;Приобретение компрессорного блока для буровой установки 3 СБШ 200-60;https://etpgpb.ru/procedures/?search=ГП018353
5003026493;"ООО ""ГАЗПРОМ БУРЕНИЕ""";компрессор;;расходник;"ЗИП к буровому насосу НБТ-600; ЗИП к компрессорам Atlas Copco; Комплектующие к насосам буровым машина";https://etpgpb.ru/procedure/tender/etp/949609-zip-k-burovomu-nasosu-nbt-600-zip-k-kompressoram-atlas-copco-komplektuyuschie-k-nasosam-burovym/
5003026493;"ООО ""ГАЗПРОМ БУРЕНИЕ""";компрессор;;расходник;"Запасные части, инструменты и принадлежности к компрессорам Ingersoll-Rand; ЗИП к буровым установкам F-320, F-400 EA/DEA; ЗИП к дизельным установкам Caterpillar; ЗИП к ключам прочим; ЗИП к компрессорам Atlas Copco; ЗИП к";https://etpgpb.ru/procedure/tender/etp/779613-zapasnye-chasti-instrumenty-i-prinadlezhnosti-k-kompressoram-ingersoll-rand-zip-k-burovym-ustanovkam-f-320-f-400-ea-dea-zip-k-dizel
5003026493;"ООО ""ГАЗПРОМ БУРЕНИЕ""";компрессор;;расходник;"Запасные части, инструменты и принадлежности к компрессорам Ingersoll-Rand; ЗИП к дегазаторам Swaco; ЗИП к захватам клиньевым; ЗИП к компрессорам Atlas Copco; ЗИП к лебедкам буровым серии TF; ЗИП к лебедкам ЛБУ; ЗИП к на";https://etpgpb.ru/procedure/tender/etp/685616-zapasnye-chasti-instrumenty-i-prinadlezhnosti-k-kompressoram-ingersoll-rand-zip-k-degazatoram-swaco-zip-k-zahvatam-klinievym-zip-k-
5003026493;"ООО ""ГАЗПРОМ БУРЕНИЕ""";компрессор;;расходник;"Запасные части, инструменты и принадлежности к компрессорам Ingersoll-Rand; ЗИП к дегазаторам Swaco; ЗИП к захватам клиньевым; ЗИП к компрессорам Atlas Copco; ЗИП к лебедкам буровым серии TF; ЗИП к лебедкам ЛБУ; ЗИП к на";https://etpgpb.ru/procedure/tender/etp/688464-zapasnye-chasti-instrumenty-i-prinadlezhnosti-k-kompressoram-ingersoll-rand-zip-k-degazatoram-swaco-zip-k-zahvatam-klinievym-zip-k-
5003026493;"ООО ""ГАЗПРОМ БУРЕНИЕ""";компрессор;;расходник;"ЗИП к буровым насосам Halco; ЗИП к буровым установкам F-320, F-400 EA/DEA; ЗИП к компрессорам Atlas Copco; ЗИП к насосам ВШН машина";https://etpgpb.ru/procedure/tender/etp/872314-zip-k-burovym-nasosam-halco-zip-k-burovym-ustanovkam-f-320-f-400-ea-dea-zip-k-kompressoram-atlas-copco-zip-k-nasosam-vshn/
5003026493;"ООО ""ГАЗПРОМ БУРЕНИЕ""";компрессор;;расходник;"ЗИП к буровому насосу 3NB-1600 Honghua; ЗИП к буровому насосу 3PN-1600/2000 Upetrom; ЗИП к буровому насосу УНБТ-1180; ЗИП к буровым насосам 3NB; ЗИП к компрессорам Atlas Copco; ЗИП к насосам ВШН; ЗИП к центробежному насо";https://etpgpb.ru/procedure/tender/etp/1200527-zip-k-burovomu-nasosu-3nb-1600-honghua-zip-k-burovomu-nasosu-3pn-1600-2000-upetrom-zip-k-burovomu-nasosu-unbt-1180-zip-k-burovym-n
5003026493;"ООО ""ГАЗПРОМ БУРЕНИЕ""";компрессор;;расходник;"ЗИП к буровым насосам Halco; ЗИП к компрессорам Atlas Copco; ЗИП к насосам прочим; ЗИП к центробежному насосу Derrick Premium 250; Устройства дроссельно-запорные и регулирующие (без задвижек) и ЗИП к ним не наша машина";https://etpgpb.ru/procedure/tender/etp/669255-zip-k-burovym-nasosam-halco-zip-k-kompressoram-atlas-copco-zip-k-nasosam-prochim-zip-k-tsentrobezhnomu-nasosu-derrick-premium-250-u
5003026493;"ООО ""ГАЗПРОМ БУРЕНИЕ""";компрессор;;расходник;"ЗИП к буровым установкам F-320, F-400 EA/DEA; ЗИП к захватам клиньевым; ЗИП к компрессорам Atlas Copco; ЗИП к насосам Nemo; ЗИП к насосам прочим; ЗИП к оборудованию Derrick машина";https://etpgpb.ru/procedure/tender/etp/607590-zip-k-burovym-ustanovkam-f-320-f-400-ea-dea-zip-k-zahvatam-klinievym-zip-k-kompressoram-atlas-copco-zip-k-nasosam-nemo-zip-k-nasosa
5003026493;"ООО ""ГАЗПРОМ БУРЕНИЕ""";компрессор;;расходник;"ЗИП к буровым насосам 8Т; ЗИП к буровым установкам ZJ; ЗИП к компрессорам Atlas Copco; ЗИП к лебедкам буровым JC; ЗИП к центробежному насосу Derrick Premium 250; ЗИП к оборудованию Derrick; ЗИП к буровым насосам Halco не";https://etpgpb.ru/procedure/tender/etp/719886-zip-k-burovym-nasosam-8t-zip-k-burovym-ustanovkam-zj-zip-k-kompressoram-atlas-copco-zip-k-lebedkam-burovym-jc-zip-k-tsentrobezhnomu
5003026493;"ООО ""ГАЗПРОМ БУРЕНИЕ""";компрессор;;расходник;"ЗИП и оборудование шкафов управления буровыми установками; ЗИП к компрессорам Atlas Copco; ЗИП к пневмоуправлению буровых установок+; Инструмент и приборы для работы на линиях связи; Клещи измерительные; Коробки монтажны";https://etpgpb.ru/procedure/tender/etp/1008765-zip-i-oborudovanie-shkafov-upravleniya-burovymi-ustanovkami-zip-k-kompressoram-atlas-copco-zip-k-pnevmoupravleniyu-burovyh-ustanov
5003026493;"ООО ""ГАЗПРОМ БУРЕНИЕ""";компрессор;;расходник;"ЗИП к буровому насосу УНБТ-1180; ЗИП к буровому насосу УНБТ-950; ЗИП к захватам клиньевым; ЗИП к компрессорам Atlas Copco; ЗИП к насосам ВШН; ЗИП к насосам прочим; ЗИП к оборудованию Derrick; ЗИП к пневмоуправлению буров";https://etpgpb.ru/procedure/tender/etp/1102955-zip-k-burovomu-nasosu-unbt-1180-zip-k-burovomu-nasosu-unbt-950-zip-k-zahvatam-klinievym-zip-k-kompressoram-atlas-copco-zip-k-nasos
5003026493;"ООО ""ГАЗПРОМ БУРЕНИЕ""";компрессор;;расходник;"ЗИП к дизельным установкам Caterpillar; ЗИП к дизельным установкам Cummins; ЗИП к компрессорам Atlas Copco; ЗИП к устройствам докрепления-раскрепления бурового инструмента; Комплектующие изделия дизелей и дизель-генерато";https://etpgpb.ru/procedure/tender/etp/1025473-zip-k-dizelnym-ustanovkam-caterpillar-zip-k-dizelnym-ustanovkam-cummins-zip-k-kompressoram-atlas-copco-zip-k-ustroystvam-dokreplen
5003026493;"ООО ""ГАЗПРОМ БУРЕНИЕ""";компрессор;;расходник;"ЗИП к буровым насосам Halco; ЗИП к компрессорам Atlas Copco; ЗИП к насосам прочим; ЗИП к центробежному насосу Derrick Premium 250; Устройства дроссельно-запорные и регулирующие (без задвижек) и ЗИП к ним";https://etpgpb.ru/procedures/etp/669255-zip-k-burovym-nasosam-halco-zip-k-kompressoram-atlas-copco-zip-k-nasosam-prochim-zip-k-tsentrobezhnomu-nasosu-derrick-premium-250-ustroystva-drosselno-zapornye-i-reguliruyuschie-bez-zadvizhek-i-zip-k-nim/
5003026493;"ООО ""ГАЗПРОМ БУРЕНИЕ""";компрессор;;расходник;"ЗИП к буровым насосам 8Т; ЗИП к буровым установкам ZJ; ЗИП к компрессорам Atlas Copco; ЗИП к лебедкам буровым JC; ЗИП к центробежному насосу Derrick Premium 250; ЗИП к оборудованию Derrick; ЗИП к буровым насосам Halco";https://etpgpb.ru/procedures/etp/719886-zip-k-burovym-nasosam-8t-zip-k-burovym-ustanovkam-zj-zip-k-kompressoram-atlas-copco-zip-k-lebedkam-burovym-jc-zip-k-tsentrobezhnomu-nasosu-derrick-premium-250-zip-k-oborudovaniyu-derrick-zip-k-burovym-nasosam-halco/
5003026493;"ООО ""ГАЗПРОМ БУРЕНИЕ""";компрессор;;расходник;"ЗИП к буровому насосу 3NB-1600 Honghua; ЗИП к буровому насосу 3PN-1600/2000 Upetrom; ЗИП к буровому насосу УНБТ-1180; ЗИП к буровым насосам 3NB; ЗИП к компрессорам Atlas Copco; ЗИП к насосам ВШН; ЗИП к центробежному насо";https://etpgpb.ru/procedures/etp/1200527-zip-k-burovomu-nasosu-3nb-1600-honghua-zip-k-burovomu-nasosu-3pn-1600-2000-upetrom-zip-k-burovomu-nasosu-unbt-1180-zip-k-burovym-nasosam-3nb-zip-k-kompressoram-atlas-copco-zip-k-nasosam-vshn-zip-k-tsentrobezhnomu-nasosu-derrick-premium-250-komplektuyuschie-dlya-rukavov-burovyh-i-rukavov-vysokogo-davleniya/
5003026493;"ООО ""ГАЗПРОМ БУРЕНИЕ""";компрессор;;расходник;"ЗИП и оборудование шкафов управления буровыми установками; ЗИП к компрессорам Atlas Copco; ЗИП к пневмоуправлению буровых установок+; Инструмент и приборы для работы на линиях связи; Клещи измерительные; Коробки монтажны";https://etpgpb.ru/procedures/etp/1008765-zip-i-oborudovanie-shkafov-upravleniya-burovymi-ustanovkami-zip-k-kompressoram-atlas-copco-zip-k-pnevmoupravleniyu-burovyh-ustanovok-instrument-i-pribory-dlya-raboty-na-liniyah-svyazi-kleschi-izmeritelnye-korobki-montazhnye-metallorukava-nasosy-radioelementy-sredstva-svyazi-prochie/
5003026493;"ООО ""ГАЗПРОМ БУРЕНИЕ""";компрессор;;расходник;"ЗИП и комплектующие к фонтанной арматуре; ЗИП к буровым установкам ZJ; ЗИП к виброситам Derrick; ЗИП к виброситам Swaco; ЗИП к виброситам ВС-1; ЗИП к гидравлическим станциям ГСЭ-200Р-37; ЗИП к дизельным установкам Caterp";https://etpgpb.ru/procedures/etp/1082391-zip-i-komplektuyuschie-k-fontannoy-armature-zip-k-burovym-ustanovkam-zj-zip-k-vibrositam-derrick-zip-k-vibrositam-swaco-zip-k-vibrositam-vs-1-zip-k-gidravlicheskim-stantsiyam-gse-200r-37-zip-k-dizelnym-ustanovkam-caterpillar-zip-k-zadvizhkam-ustievym-i-manifoldnym-zip-k-ilootdelitelyam-derrick-zip-k-kompressoram-atlas-copco-zip-k-konveyeram-shnekovym-zip-k-lebedkam-burovym-jc-zip-k-mobilnym-burovym-ustanovkam-zip-k-oborudovaniyu-canrig-zip-k-peremeshivate
5003026493;"ООО ""ГАЗПРОМ БУРЕНИЕ""";компрессор;;расходник;"ЗИП к буровому насосу НБТ-600; ЗИП к компрессорам Atlas Copco; Комплектующие к насосам буровым";https://etpgpb.ru/procedures/etp/949609-zip-k-burovomu-nasosu-nbt-600-zip-k-kompressoram-atlas-copco-komplektuyuschie-k-nasosam-burovym/
5003026493;"ООО ""ГАЗПРОМ БУРЕНИЕ""";компрессор;;расходник;"Запасные части, инструменты и принадлежности к компрессорам Ingersoll-Rand; ЗИП к буровым установкам F-320, F-400 EA/DEA; ЗИП к дизельным установкам Caterpillar; ЗИП к ключам прочим; ЗИП к компрессорам Atlas Copco; ЗИП к";https://etpgpb.ru/procedures/etp/779613-zapasnye-chasti-instrumenty-i-prinadlezhnosti-k-kompressoram-ingersoll-rand-zip-k-burovym-ustanovkam-f-320-f-400-ea-dea-zip-k-dizelnym-ustanovkam-caterpillar-zip-k-klyucham-prochim-zip-k-kompressoram-atlas-copco-zip-k-nasosam-nemo/
5003026493;"ООО ""ГАЗПРОМ БУРЕНИЕ""";компрессор;;расходник;"Запасные части, инструменты и принадлежности к компрессорам Ingersoll-Rand; ЗИП к дегазаторам Swaco; ЗИП к захватам клиньевым; ЗИП к компрессорам Atlas Copco; ЗИП к лебедкам буровым серии TF; ЗИП к лебедкам ЛБУ; ЗИП к на";https://etpgpb.ru/procedures/etp/685616-zapasnye-chasti-instrumenty-i-prinadlezhnosti-k-kompressoram-ingersoll-rand-zip-k-degazatoram-swaco-zip-k-zahvatam-klinievym-zip-k-kompressoram-atlas-copco-zip-k-lebedkam-burovym-serii-tf-zip-k-lebedkam-lbu-zip-k-nasosam-nemo-zip-k-nasosam-prochim-zip-k-oborudovaniyu-derrick-podshipniki-tela-kacheniya/
5003026493;"ООО ""ГАЗПРОМ БУРЕНИЕ""";компрессор;;расходник;"Запасные части, инструменты и принадлежности к компрессорам Ingersoll-Rand; ЗИП к дегазаторам Swaco; ЗИП к захватам клиньевым; ЗИП к компрессорам Atlas Copco; ЗИП к лебедкам буровым серии TF; ЗИП к лебедкам ЛБУ; ЗИП к на";https://etpgpb.ru/procedures/etp/688464-zapasnye-chasti-instrumenty-i-prinadlezhnosti-k-kompressoram-ingersoll-rand-zip-k-degazatoram-swaco-zip-k-zahvatam-klinievym-zip-k-kompressoram-atlas-copco-zip-k-lebedkam-burovym-serii-tf-zip-k-lebedkam-lbu-zip-k-nasosam-nemo-zip-k-nasosam-prochim-zip-k-oborudovaniyu-derrick-podshipniki-tela-kacheniya/
5003026493;"ООО ""ГАЗПРОМ БУРЕНИЕ""";компрессор;;расходник;"ЗИП к буровым насосам Halco; ЗИП к буровым установкам F-320, F-400 EA/DEA; ЗИП к компрессорам Atlas Copco; ЗИП к насосам ВШН";https://etpgpb.ru/procedures/etp/872314-zip-k-burovym-nasosam-halco-zip-k-burovym-ustanovkam-f-320-f-400-ea-dea-zip-k-kompressoram-atlas-copco-zip-k-nasosam-vshn/
5003026493;"ООО ""ГАЗПРОМ БУРЕНИЕ""";компрессор;;расходник;"ЗИП к дизельным установкам Caterpillar; ЗИП к дизельным установкам Cummins; ЗИП к компрессорам Atlas Copco; ЗИП к устройствам докрепления-раскрепления бурового инструмента; Комплектующие изделия дизелей и дизель-генерато";https://etpgpb.ru/procedures/etp/1025473-zip-k-dizelnym-ustanovkam-caterpillar-zip-k-dizelnym-ustanovkam-cummins-zip-k-kompressoram-atlas-copco-zip-k-ustroystvam-dokrepleniya-raskrepleniya-burovogo-instrumenta-komplektuyuschie-izdeliya-dizeley-i-dizel-generatorov-filtry-zhidkosti/
