nomer;predmet;zakon;organizator;organizator_inn;organizator_kpp;organizator_kontakt;zakazchik;zakazchik_inn;zakazchik_kpp;zakazchik_kontakt;region;cena;data_publikacii;data_okonchaniya;pozicii_s_klyuchom;ssylka;centrobezhnyy_predmet;klyuch;istochnik;data_sbora
32616233978;Поставка вихревой воздуходувки.;223-ФЗ;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЫКТЫВДИНСКАЯ ТЕПЛОВАЯ КОМПАНИЯ""";1109010658;110901001;"Безносова Елена Васильевна; 88212300636 доб. 1302; beznosova@komikt.ru";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЫКТЫВДИНСКАЯ ТЕПЛОВАЯ КОМПАНИЯ""";1109010658;110901001;"88212300636 доб. 1302; beznosova@komikt.ru";Республика Коми;180576.00;24.07.2026;03.08.2026;"Поставка вихревой воздуходувки. ;; Соответствует запросу “воздуходувка”";https://www.rts-tender.ru/poisk/id/l32616233978-1/;да;воздуходувка;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
32616233383;Выполнение работ по «Замене шкафов управления воздуходувками ТВ80-1,6 (160 кВт) и силовых шкафов РУ-0,4кВ (инв.№712103) в производственно-вспомогательном здании цеха БОС»;223-ФЗ;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""СТЕРЛИТАМАКВОДОКАНАЛ"" ГОРОДСКОГО ОКРУГА ГОРОД СТЕРЛИТАМАК РЕСПУБЛИКИ БАШКОРТОСТАН";0268000188;026801001;;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""СТЕРЛИТАМАКВОДОКАНАЛ"" ГОРОДСКОГО ОКРУГА ГОРОД СТЕРЛИТАМАК РЕСПУБЛИКИ БАШКОРТОСТАН";0268000188;026801001;;Республика Башкортостан;11667490.00;24.07.2026;03.08.2026;;https://www.rts-tender.ru/poisk/id/l32616233383-1/;да;воздуходувка;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
32616232955;Поставка воздуходувок ротационных;223-ФЗ;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОКАНАЛ"" ГОРОДА СТАВРОПОЛЯ";2633001291;263501001;"8652561316; rogozinama@water26.ru";"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОКАНАЛ"" ГОРОДА СТАВРОПОЛЯ";2633001291;263501001;"8652561316; rogozinama@water26.ru";Ставропольский край;3931058.00;23.07.2026;31.07.2026;"Поставка воздуходувок ротационных ;; Соответствует запросу “воздуходувка”";https://www.rts-tender.ru/poisk/id/l32616232955-1/;да;воздуходувка;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
32616232938;Поставка щитов управления воздуходувкой;223-ФЗ;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОКАНАЛ"" ГОРОДА СТАВРОПОЛЯ";2633001291;263501001;"8652561316; rogozinama@water26.ru";"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОКАНАЛ"" ГОРОДА СТАВРОПОЛЯ";2633001291;263501001;"8652561316; rogozinama@water26.ru";Ставропольский край;1802332.00;23.07.2026;31.07.2026;"Поставка щитов управления воздуходувкой ;; Соответствует запросу “воздуходувка”";https://www.rts-tender.ru/poisk/id/l32616232938-1/;да;воздуходувка;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
0321300001126000368;Работы по содержанию объектов благоустройства, расположенных на территории Октябрьского района города Ставрополя (территория сквера, расположенного в районе международного аэропорта имени А.В. Суворова), с даты заключения контракта по 31.12.2026 года;44-ФЗ;КОМИТЕТ ЭКОНОМИЧЕСКОГО РАЗВИТИЯ И ТОРГОВЛИ АДМИНИСТРАЦИИ ГОРОДА СТАВРОПОЛЯ;2636023448;263601001;"Мащенко Анна Юрьевна; 7-8652-239871-2041; zakupki@stavadm.ru";АДМИНИСТРАЦИЯ ОКТЯБРЬСКОГО РАЙОНА ГОРОДА СТАВРОПОЛЯ;2636039744;263601001;;Ставропольский край;3537887.43;23.07.2026;31.07.2026;"Очистка территории при помощи воздуходувки в летний период (ар (100 м2) ;; Соответствует запросу “воздуходувка”";https://www.rts-tender.ru/poisk/id/l0321300001126000368-1/;да;воздуходувка;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
32616232580;Закупка воздуходувок;223-ФЗ;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИЛКОМСЕРВИС № 1 НЕВСКОГО РАЙОНА""";7811405931;781101001;"ГОЛУБЕВА Е. А.; +7 (812) 4470942; zakupki@gks1nev.ru";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИЛКОМСЕРВИС № 1 НЕВСКОГО РАЙОНА""";7811405931;781101001;"+7 (812) 4470942; zakupki@gks1nev.ru";Санкт-Петербург;255663.96;23.07.2026;30.07.2026;"Закупка воздуходувок ;; Соответствует запросу “воздуходувка”";https://www.rts-tender.ru/poisk/id/l32616232580-1/;да;воздуходувка;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
0372200001326000026;Поставка учебно-методических, учебно-наглядных, дидактических, диагностических материалов, методических пособий, приборов и оборудования в ГБОУ школа № 131 Красносельского района Санкт-Петербурга в 2026 году;44-ФЗ;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ШКОЛА № 131 КРАСНОСЕЛЬСКОГО РАЙОНА САНКТ-ПЕТЕРБУРГА;7807023746;780701001;;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ШКОЛА № 131 КРАСНОСЕЛЬСКОГО РАЙОНА САНКТ-ПЕТЕРБУРГА;7807023746;780701001;;Санкт-Петербург;4912929.05;23.07.2026;31.07.2026;"Комплект демонстрационный по механике на воздушной подушке с воздуходувкой. Статика, динамика (30 демонстрации) ;; Соответствует запросу “воздуходувка”";https://www.rts-tender.ru/poisk/id/l0372200001326000026-1/;да;воздуходувка;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
0157300025226000303;Выполнение комплекса работ по содержанию объектов зеленого хозяйства на территории городского округа «Город Псков» (район «Запсковье»);44-ФЗ;АДМИНИСТРАЦИЯ ГОРОДА ПСКОВА;6027022362;602701001;"Быкова Мария Ивановна; 7-8112-291080; munzakaz.pskov@mail.ru";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДА ПСКОВА ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАКАЗЧИК""";6000003901;600001001;;Псковская область;57037500.00;22.07.2026;30.07.2026;"Выполнение комплекса работ по содержанию объектов зеленого хозяйства городского округа ""Город Псков"".Воздуходувка (2027) ;; Выполнение комплекса работ по содержанию объектов зеленого хозяйства городского округа ""Город Псков"".Воздуходувка (2026)";https://www.rts-tender.ru/poisk/id/l0157300025226000303-1/;да;воздуходувка;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
4526832;Поставка инструментов и хоз. инвентаря;Коммерческие;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕРВИСНЫЙ ЦЕНТР ФЕСКО""";7729715592;770501001;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕРВИСНЫЙ ЦЕНТР ФЕСКО""";7729715592;770501001;;Москва;0.00;16.07.2026;31.07.2026;"Воздуходувка аккумуляторная BOSCH GBL 18V-120 ;; Соответствует запросу “воздуходувка”";https://www.rts-tender.ru/poisk/id/l4526832-4-12-1/;да;воздуходувка;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
32616208177;Открытый аукцион в электронной форме №1445/ОАЭ-ЦДЗС/26 на право заключения договора поставки воздуходувок;223-ФЗ;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""";7708503727;770801001;"Хабибуллина Алина Фаизовна; +7 (499) 2605616; zakupki_mtr@center.rzd.ru";"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""";7708503727;770801001;"+7 (499) 2605616; zakupki_mtr@center.rzd.ru";Москва;4262969.14;15.07.2026;31.07.2026;"На право заключения договора поставки воздуходувок ;; Соответствует запросу “воздуходувка”";https://www.rts-tender.ru/poisk/id/l32616208177-1/;да;воздуходувка;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
4453412;Запасные части воздуходувки F-2110 AERZEN;Коммерческие;"Акционерное общество ""ТОЛЬЯТТИАЗОТ""";6320004728;997550001;;"Акционерное общество ""ТОЛЬЯТТИАЗОТ""";6320004728;997550001;;Байконур;1.66;13.07.2026;31.07.2026;;https://www.rts-tender.ru/poisk/id/l4453412-4-12-1/;да;воздуходувка;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
10537394;Оказание услуг по техническому обслуживанию и ремонту ручного переносного инструмента;Закупки малого объема;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ СТАВРОПОЛЬСКОГО КРАЯ ""КИСЛОВОДСКИЙ ЛЕСХОЗ""";2628037775;262801001;;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ СТАВРОПОЛЬСКОГО КРАЯ ""КИСЛОВОДСКИЙ ЛЕСХОЗ""";2628037775;262801001;Информация скрыта. Подробнее;Ставропольский край;44880.00;29.07.2026;03.08.2026;"Ремонт и техническое обслуживание воздуходувного устройства Husqvarna (работа сервисного специалиста по ремонту: замена уплотнений, фильтра, фильтра воздушного, фильтра топливного, свечи зажигания, колпачков, карбюратора ;; Ремонт и техническое обслуживание воздуходувного устройства бензопилы STIHL MS 250 (замена карбюратора)";https://www.rts-tender.ru/poisk/id/l15032525-3-9-1/;сомнительно;воздуходувная;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
32616242249;Выполнение работ по проверке эффективности работы (аэродинамическим испытаниям) систем вентиляции;223-ФЗ;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВОДОКАНАЛ РОСТОВА-НА-ДОНУ""";6167081833;616701001;;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВОДОКАНАЛ РОСТОВА-НА-ДОНУ""";6167081833;616701001;;Ростовская область;1728950.00;28.07.2026;14.08.2026;"Проверка эффективности работы (аэродинамические испытания) систем вентиляции на объектах канализации (канализационные насосные станции, воздуходувная станция, участок по обезвоживанию осадка, механический цех, здания реш ;; Соответствует запросу “воздуходувная”";https://www.rts-tender.ru/poisk/id/l32616242249-1/;да;воздуходувная;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
4543529;Центробежные герметичные насосы по опросным листам для корпуса 65;Коммерческие;"Акционерное общество ""Сибирский химический комбинат""";7024029499;785150001;;"Акционерное общество ""Сибирский химический комбинат""";7024029499;785150001;;Санкт-Петербург;0.00;30.07.2026;20.08.2026;"Центробежные герметичные насосы по опросным листам для корпуса 65 ;; Соответствует запросу “центробежный”";https://www.rts-tender.ru/poisk/id/l4543529-4-11-1/;да;центробежный;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
100218130126100284;Насосная установка К65-50-160-С-5,5 кВт (3000 об/мин) полная комплектация на раме с двигателем;Закупки малого объема;ФКУ КП-13 ОУХД ГУФСИН РОССИИ ПО КРАСНОЯРСКОМУ КРАЮ;2420006496;242001001;;ФКУ КП-13 ОУХД ГУФСИН РОССИИ ПО КРАСНОЯРСКОМУ КРАЮ;2420006496;242001001;;Красноярский край;342326.68;30.07.2026;31.07.2026;"НАСОСЫ ЦЕНТРОБЕЖНЫЕ ПОДАЧИ ЖИДКОСТЕЙ ПРОЧИЕ.Насосная установка К65-50-160-С-5,5 кВт (3000 об/мин) полная комплектация на раме с двигателем ;; Соответствует запросу “центробежный”";https://www.rts-tender.ru/poisk/id/l15033338-3-9-1/;да;центробежный;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
0319100000226000815;Поставка медицинских изделий;44-ФЗ;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ФЕДЕРАЛЬНЫЙ ЦЕНТР СЕРДЕЧНО-СОСУДИСТОЙ ХИРУРГИИ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ (Г. КРАСНОЯРСК)";2466228533;246601001;;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ФЕДЕРАЛЬНЫЙ ЦЕНТР СЕРДЕЧНО-СОСУДИСТОЙ ХИРУРГИИ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ (Г. КРАСНОЯРСК)";2466228533;246601001;;Красноярский край;426600.00;30.07.2026;11.08.2026;"Насос центробежный для системы искусственного кровообращения ;; Соответствует запросу “центробежный”";https://www.rts-tender.ru/poisk/id/l0319100000226000815-1/;сомнительно;центробежный;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
32616248327;Поставка инструмента электрического и ручного назначения.;223-ФЗ;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СРЕДНЕВОЛЖСКАЯ ГАЗОВАЯ КОМПАНИЯ""";6314012801;631501001;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СРЕДНЕВОЛЖСКАЯ ГАЗОВАЯ КОМПАНИЯ""";6314012801;631501001;;Самарская область;2145061.00;29.07.2026;06.08.2026;"Насосы центробежные подачи жидкостей прочие ;; Соответствует запросу “центробежный”";https://www.rts-tender.ru/poisk/id/l32616248327-1/;да;центробежный;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
0321200026226000068;Поставка насоса пожарного центробежного.;44-ФЗ;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ПРОТИВОПОЖАРНАЯ И АВАРИЙНО-СПАСАТЕЛЬНАЯ СЛУЖБА СТАВРОПОЛЬСКОГО КРАЯ""";2636046075;263501001;;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ПРОТИВОПОЖАРНАЯ И АВАРИЙНО-СПАСАТЕЛЬНАЯ СЛУЖБА СТАВРОПОЛЬСКОГО КРАЯ""";2636046075;263501001;;Ставропольский край;459408.88;29.07.2026;05.08.2026;"Насос пожарный центробежный ;; Соответствует запросу “центробежный”";https://www.rts-tender.ru/poisk/id/l0321200026226000068-1/;да;центробежный;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
32616247625;Поставка насосного оборудования;223-ФЗ;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОНЦЕССИИ ТЕПЛОСНАБЖЕНИЯ""";3444259579;344401001;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОНЦЕССИИ ТЕПЛОСНАБЖЕНИЯ""";3444259579;344401001;;Волгоградская область;1700000.00;29.07.2026;06.08.2026;"Насосы центробежные подачи жидкостей прочие ;; Насосы центробежные подачи жидкостей прочие";https://www.rts-tender.ru/poisk/id/l32616247625-1/;да;центробежный;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
0133200001726002169;"Приобретение оборудования для ремонта системы водоснабжения и водоотведения п. Пестяки"" (в рамках текущего ремонта)";44-ФЗ;ДЕПАРТАМЕНТ КОНКУРСОВ И АУКЦИОНОВ ИВАНОВСКОЙ ОБЛАСТИ;3702086910;370201001;;УПРАВЛЕНИЕ МУНИЦИПАЛЬНОГО ХОЗЯЙСТВА АДМИНИСТРАЦИИ ПЕСТЯКОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА;3720007492;372001001;;Ивановская область;832000.00;29.07.2026;06.08.2026;"Насос химический центробежный ;; Соответствует запросу “центробежный”";https://www.rts-tender.ru/poisk/id/l0133200001726002169-1/;да;центробежный;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
32616247492;"Осуществить закупку ""Насос фекальный НЦИ-Ф-100-01 """;223-ФЗ;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НОВОМОСКОВСКИЙ ГОРОДСКОЙ ВОДОКАНАЛ""";7116129038;711601001;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НОВОМОСКОВСКИЙ ГОРОДСКОЙ ВОДОКАНАЛ""";7116129038;711601001;;Тульская область;212764.95;29.07.2026;06.08.2026;"Насосы центробежные подачи жидкостей прочие ;; Соответствует запросу “центробежный”";https://www.rts-tender.ru/poisk/id/l32616247492-1/;да;центробежный;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
4542758;Закупка шламовых насосов YPT для актива Култуминское;Коммерческие;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АРЕАЛ. РЕГИОНАЛЬНЫЙ ЦЕНТР""";8703010889;272101001;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АРЕАЛ. РЕГИОНАЛЬНЫЙ ЦЕНТР""";8703010889;272101001;;Хабаровский край;0.00;29.07.2026;07.08.2026;"Насос центробежный шламовый YPT AHM 10/8 LFL 535.4м3/ч 20.8м ;; Насос центробежный шламовый YPT MT 150 LNC-S C5 104.5м3/ч 25.3м";https://www.rts-tender.ru/poisk/id/l4542758-4-12-1/;да;центробежный;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
10535762;Поставка товара (водонагреватель проточный газовый, водонагреватель электрический, насос);Закупки малого объема;ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ КРАСНОДАРСКОГО КРАЯ СПЕЦИАЛЬНАЯ (КОРРЕКЦИОННАЯ) ШКОЛА № 15 Г. СЛАВЯНСКА-НА-КУБАНИ;2349020972;234901001;;ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ КРАСНОДАРСКОГО КРАЯ СПЕЦИАЛЬНАЯ (КОРРЕКЦИОННАЯ) ШКОЛА № 15 Г. СЛАВЯНСКА-НА-КУБАНИ;2349020972;234901001;Информация скрыта. Подробнее;Краснодарский край;57125.29;29.07.2026;03.08.2026;"Насос гидравлический центробежный поверхностный, от 54 л/мин ;; Соответствует запросу “центробежный”";https://www.rts-tender.ru/poisk/id/l15030640-3-9-1/;да;центробежный;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
4541709;Центробежные герметичные насосы по опросным листам для корпуса 65;Коммерческие;"Акционерное общество ""Сибирский химический комбинат""";7024029499;785150001;;"Акционерное общество ""Сибирский химический комбинат""";7024029499;785150001;;Санкт-Петербург;0.00;29.07.2026;05.08.2026;"Центробежные герметичные насосы по опросным листам для корпуса 65 ;; Соответствует запросу “центробежный”";https://www.rts-tender.ru/poisk/id/l4541709-4-11-1/;да;центробежный;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
