inn;predpriyatie;vozdushnyh_zaklyucheniy;istekaet;prosrocheno;deystvuet;posledneye_zaklyuchenie;marki_mashin;kartochka
5005000148;"АО ""Воскресенские минеральные удобрения""";3;0;3;0;2020-12-07;;https://monitor-pb.ru/conclusion/02-%D0%A2%D0%A3-21162-2020
2801147023;"ООО ""Маломырский рудник""";3;0;3;0;2023-10-09;FA-101, FA-102, FA-201;https://monitor-pb.ru/conclusion/01-%D0%A2%D0%A3-25256-2023
1121003135;"АО ""СЛПК""";3;0;2;1;2026-03-26;К-250-61-5;https://monitor-pb.ru/conclusion/11-%D0%A2%D0%A3-759309-2026
6323106975;"ЗАО ""Тольяттисинтез""";3;0;3;0;2016-12-20;ТВ-80-1, ТВ-80-1,4;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-16146-2016
2465000141;"АО ""РУСАЛ КРАСНОЯРСК""";3;0;3;0;2017-05-17;К-500-61-1, К-500-61-5;https://monitor-pb.ru/conclusion/66-%D0%A2%D0%A3-04305-2017
5501023216;"АО ""ОМСКИЙ КАУЧУК""";2;0;0;2;2023-05-30;ТУ-2022;https://monitor-pb.ru/conclusion/61-%D0%A2%D0%A3-59288-2023
7735004068;"АО ""Хлебозавод №28""";2;0;0;2;2023-08-31;;https://monitor-pb.ru/conclusion/01-%D0%A2%D0%A3-20306-2023
2315072242;"АО ""ЧЕРНОМОРТРАНСНЕФТЬ""";2;0;0;2;2018-05-22;RB 120, RBS 125;https://monitor-pb.ru/conclusion/30-%D0%A2%D0%A3-06377-2018
5913001268;"АО ""МЕТАФРАКС КЕМИКАЛС""";2;0;0;2;2025-11-01;IGW 400;https://monitor-pb.ru/conclusion/59-%D0%A2%D0%A3-388562-2025
5911029807;"ПАО ""УРАЛКАЛИЙ""";2;0;0;2;2024-12-03;ZL8200;https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-80206-2024
4004002750;"АО ""Кондровский хлебокомбинат""";2;0;0;2;2024-06-03;;https://monitor-pb.ru/conclusion/01-%D0%A2%D0%A3-16025-2024
5501177142;"ООО ""ГАЗПРОМНЕФТЬ - КС""";2;0;0;2;2025-11-15;VD-108;https://monitor-pb.ru/conclusion/55-%D0%97%D0%A1-459999-2025
3128033189;"ЗАО ""Комбинат хлебопродуктов Старооскольский""";2;0;0;2;2024-05-27;RSS-50/1700, БКВ 32-32, ВЛ-350, ВЛ-500, ВР 132-30, ВЦ 14-46;https://monitor-pb.ru/conclusion/07-%D0%A2%D0%A3-14486-2023
5250043567;"ООО ""ЛУКОЙЛ-НИЖЕГОРОДНЕФТЕОРГСИНТЕЗ""";2;0;0;2;2024-02-08;EW 1007/1, EW1006, H 2001, HI-1010, R 2002, V 2003;https://monitor-pb.ru/conclusion/40-%D0%A2%D0%A3-00717-2024
2310040800;"АО ""КТК-Р""";2;2;0;0;2022-01-25;;https://monitor-pb.ru/conclusion/30-%D0%A2%D0%A3-01360-2022
3811185573;"ООО ""ИРКУТСКИЙ МАСЛОЖИРКОМБИНАТ""";2;2;0;0;2024-01-31;;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-01032-2024
3232000609;"ОАО ""Бежицкий хлебокомбинат""";2;0;2;0;2019-12-23;ЗАФ-49;https://monitor-pb.ru/conclusion/08-%D0%A2%D0%A3-17543-2019
2443000518;"АО ""АНПЗ ВНК""";2;0;2;0;2020-06-29;ТВ 175-1, ТВ175-1;https://monitor-pb.ru/conclusion/66-%D0%A2%D0%A3-03545-2018
