nazvanie_u_kkm;istochniki;nash_inn;nashe_nazvanie;obshchie_tokeny
Газпром добычаЯмбург;сайт ККМ;;;
Газпром межрегионгаз;сайт ККМ;;;
Газпром нефть;сайт ККМ;;;
Газпром нефть – ОНПЗ;сайт ККМ;;;
Газпром трансгаз Казань;НИИТК;1600000036;"ООО ""ГАЗПРОМ ТРАНСГАЗ КАЗАНЬ""";ГАЗПРОМ,КАЗАНЬ,ТРАНСГАЗ
Газпром-Развитие;НИИТК;;;
Газпромнефть-Оренбург;сайт ККМ;5610218014;"ООО ""ГАЗПРОМНЕФТЬ-ОРЕНБУРГ""";ГАЗПРОМНЕФТЬ,ОРЕНБУРГ
Газпромнефть-Ямал;сайт ККМ;;;
Газпромтрансгаз Казань;НИИТК;;;
Гидроаэроцентр;сайт ККМ;;;
ЕЭС России;НИИТК;;;
Жайремский ГОК;PDF screw-compressors-series-6VV;;;
ИНТЕРА;НИИТК;;;
Иркутская нефтяная компания;сайт ККМ;;;
КАЗАНЬКОМПРЕССОРМАШ;сайт ККМ;1660004878;"АО ""КАЗАНЬКОМПРЕССОРМАШ""";КАЗАНЬКОМПРЕССОРМАШ
КАМАЗ;"НИИТК; сайт ККМ";;;
КРОНОС;сайт ККМ;;;
Казанский вертолетный завод;НИИТК;;;
"Казанькомпрес-
сормаш";PDF Takat.pdf.txt;;;
Казанькомпрессоршмаш;сайт ККМ;;;
Казанькомпресссормаш;сайт ККМ;;;
Камаз;НИИТК;;;
Ковдорский ГОК;PDF screw-compressors-series-6VV;;;
Ковровское карьероуправление;PDF screw-compressors-series-6VV;;;
Коршуновский ГОК;PDF screw-compressors-series-6VV;;;
Краснодарский Компрессорный Завод;НИИТК;;;
Кузнецов;сайт ККМ;6319033379;"ПАО ""ОДК-КУЗНЕЦОВ""";КУЗНЕЦОВ
ЛУКОЙЛ;сайт ККМ;;;
ЛУКОЙЛ – Пермьнефтегазпереработка;НИИТК;;;
ЛУКОЙЛ-Коми;"НИИТК; сайт ККМ";1106014140;"ООО ""ЛУКОЙЛ-Коми"" (ИНН 1106014140)";КОМИ,ЛУКОЙЛ
ЛУКОЙЛ-Пермнефтегазпереработка;сайт ККМ;;;
Лебединский ГОК;PDF screw-compressors-series-6VV;3127000014;"АО ""ЛЕБЕДИНСКИЙ ГОК""";ЛЕБЕДИНСКИЙ
Лукойл;"НИИТК; сайт ККМ";;;
Магнитогорский металлургический комбинат;НИИТК;;;
Мессояханефтегаз;сайт ККМ;;;
НГК ;сайт ККМ;;;
НИИК;сайт ККМ;;;
НИИТурбокомпрессор им. В.Б. Шнеппа;НИИТК;1660016351;"АО ""НИИТУРБОКОМПРЕССОР ИМ.В.Б.ШНЕППА""";НИИТУРБОКОМПРЕССОР,ШНЕППА
НИИЭФА им. Д. В. Ефремова;сайт ККМ;;;
НИИтурбокомпресср им. В.Б. Шнеппа;НИИТК;;;
НИИтурбокомрессор им. В.Б. Шнеппа;НИИТК;;;
НК ;НИИТК;;;
НК «Роснефть;сайт ККМ;;;
НКМЗ Групп;сайт ККМ;;;
НЛМК;НИИТК;4823006703;"ПАО ""НЛМК""";НЛМК
НОВАТЭК;"НИИТК; сайт ККМ";;;
НОВАТЭК-Пур;сайт ККМ;;;
НОВАТЭК-Таркосаленефтегаз;сайт ККМ;8911020768;"ООО ""НОВАТЭК-ТАРКОСАЛЕНЕФТЕГАЗ""";НОВАТЭК,ТАРКОСАЛЕНЕФТЕГАЗ
НПО ГИПО;НИИТК;;;
НПО ЦКТИ;НИИТК;;;
Научно-исследовательский и проектный институт карбамида;"НИИТК; сайт ККМ";;;
Нижневартовскремсервис;"PDF service.pdf.txt; сайт ККМ";;;
Нижнекамскнефтехим;НИИТК;1651000010;"ПАО ""НИЖНЕКАМСКНЕФТЕХИМ""";НИЖНЕКАМСКНЕФТЕХИМ
Новатек;НИИТК;;;
Новатэк;сайт ККМ;;;
Новая газовая строительная компания;НИИТК;;;
Норильскгазпром;сайт ККМ;2457002628;"АО ""НОРИЛЬСКГАЗПРОМ""";НОРИЛЬСКГАЗПРОМ
Норильсктрансгаз;сайт ККМ;;;
Нортгаз;сайт ККМ;;;
ОДК-Авиадвигатель;сайт ККМ;;;
Оленегорскийский ГОК;PDF screw-compressors-series-6VV;;;
Олкон;PDF screw-compressors-series-6VV;;;
ПО ЕлАЗ;НИИТК;;;
ПО-Сибирь;сайт ККМ;;;
Павловскгранит;PDF screw-compressors-series-6VV;;;
Пензкомпрессормаш;НИИТК;;;
ПетроКазахстан Ойл Продактс;сайт ККМ;;;
ПромКомплект;сайт ККМ;;;
Промтэк;сайт ККМ;5607014437;"ООО ""ПРОМТЭК""";ПРОМТЭК
РАЙС;сайт ККМ;;;
РГМ-Урал;сайт ККМ;;;
РН-Юганскнефтегаз;НИИТК;8604035473;"ООО ""РН-ЮГАНСКНЕФТЕГАЗ""";ЮГАНСКНЕФТЕГАЗ
РОСПАН ИНТЕРНЕШНЛ;сайт ККМ;;;
РОСТ;сайт ККМ;;;
РегионПромСервис;сайт ККМ;;;
Роснефть;сайт ККМ;;;
СИБУР;"НИИТК; сайт ККМ";;;
СИБУР Нефтехим;НИИТК;5249051203;"АО ""СИБУР-НЕФТЕХИМ""";НЕФТЕХИМ,СИБУР
СИБУР Холдинг;"НИИТК; сайт ККМ";;;
СЛАВНЕФТЬ-ЯНОС;сайт ККМ;7601001107;"ПАО ""СЛАВНЕФТЬ-ЯНОС""";СЛАВНЕФТЬ,ЯНОС
Санкт-Петербург ЭнергоМонтаж;сайт ККМ;;;
Северсталь;"PDF screw-compressors-series-6VV; НИИТК";3528000597;"ПАО ""СЕВЕРСТАЛЬ""";СЕВЕРСТАЛЬ
Сетевая компания;НИИТК;;;
Сибур;сайт ККМ;;;
Сибур ТюменьГаз;сайт ККМ;;;
СибурТюменьГаз;"НИИТК; сайт ККМ";7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";СИБУРТЮМЕНЬГАЗ
Славнефть-ЯНОС;сайт ККМ;7601001107;"ПАО ""СЛАВНЕФТЬ-ЯНОС""";СЛАВНЕФТЬ,ЯНОС
Ставролен;сайт ККМ;2624022320;"ООО ""СТАВРОЛЕН""";СТАВРОЛЕН
Стойленский ГОК;PDF screw-compressors-series-6VV;;;
Сургутнефтегаз;"НИИТК; сайт ККМ";8602060555;"ПАО ""СУРГУТНЕФТЕГАЗ""";СУРГУТНЕФТЕГАЗ
ТАНЕКО;"НИИТК; сайт ККМ";;;
ТД «ТРЭМ Инжиниринг;сайт ККМ;;;
ТНК ;НИИТК;;;
Татнефть;"НИИТК; сайт ККМ";;;
Татэнерго;НИИТК;1657036630;"АО ""ТАТЭНЕРГО""";ТАТЭНЕРГО
Татэнергосбыт;сайт ККМ;;;
ТехМаш;сайт ККМ;;;
Техресурс;сайт ККМ;;;
ТопТех;сайт ККМ;;;
Туполев;НИИТК;;;
Турбохолод;НИИТК;;;
УГМК-Рудгормаш;PDF screw-compressors-series-6VV;;;
Уральский завод гражданской авиации;НИИТК;;;
Уфанефтехим;сайт ККМ;;;
ЦПСиК;сайт ККМ;;;
Центр промышленного снабжения и комплектации;сайт ККМ;;;
ЭкоСервис;сайт ККМ;;;
Юго-Западная ТЭЦ;сайт ККМ;;;
ЮжУралЗолото;PDF screw-compressors-series-6VV;;;
Южно-Балыкский ГПЗ;сайт ККМ;;;
Ярославский ГОК;PDF screw-compressors-series-6VV;;;
