inn;predpriyatie;ploshchadka;nomer_procedury;predmet;ssylka;pochemu
3015012734;МБОУ Г.АСТРАХАНИ СОШ №23;ЭТП ГПБ, поиск по словам;498959;Поставка воздуходувка-измельчитель CHAMPION GBV327S  ;https://etpgpb.ru/procedure/tender/price_request/498959-postavka-vozduhoduvka-izmelchitel-champion-gbv327s/;садовый инвентарь: то же слово, другая машина
7707049388;ПАО РОСТЕЛЕКОМ;ЭТП ГПБ, поиск по словам;436682;Пылесос воздуходувка Makita UB1103 в г. Рязань;https://etpgpb.ru/procedure/tender/price_request/436682-pylesos-vozduhoduvka-makita-ub1103-v-g-ryazan/;садовый инвентарь: то же слово, другая машина
;;ЭТП ГПБ, поиск по словам;8235;Воздуходувка-измельчитель электрическая Champion 900 Вт;https://etpgpb.ru/procedure/tender/etp_click/1776270-vozduhoduvka-izmelchitel-elektricheskaya-champion-900-vt/;садовый инвентарь: то же слово, другая машина
3016026320;МБДОУ Г. АСТРАХАНИ № 82;ЭТП ГПБ, поиск по словам;878020;Воздуходувка-измельчитель электрическая Champion 900 Вт;https://etpgpb.ru/procedure/tender/price_request/878020-vozduhoduvka-izmelchitel-elektricheskaya-champion-900-vt/;садовый инвентарь: то же слово, другая машина
7707049388;ПАО РОСТЕЛЕКОМ;ЭТП ГПБ, поиск по словам;465245;10620 Поставка: Пылесос воздуходувка Makita DUB362Z/г. Петрозаводск;https://etpgpb.ru/procedure/tender/price_request/465245-10620-postavka-pylesos-vozduhoduvka-makita-dub362z-g-petrozavodsk/;садовый инвентарь: то же слово, другая машина
3510009006;ЦЕНТР 112;ЭТП ГПБ, поиск по словам;949108;"Опрос рынка ""Воздуходувка бензиновая ранцевая""";https://etpgpb.ru/procedure/tender/price_request/949108-opros-rynka-vozduhoduvka-benzinovaya-rantsevaya/;садовый инвентарь: то же слово, другая машина
7707049388;ПАО РОСТЕЛЕКОМ;ЭТП ГПБ, поиск по словам;628725;10706 Снегоуборщик, воздуходувка, бензопила Белгород Ростелеком;https://etpgpb.ru/procedure/tender/price_request/628725-10706-snegouborschik-vozduhoduvka-benzopila-belgorod-rostelekom/;садовый инвентарь: то же слово, другая машина
7707049388;ПАО РОСТЕЛЕКОМ;ЭТП ГПБ, поиск по словам;474814;Пылесос воздуходувка Makita UB1103, клещи токоизмерительные Mastech M266F в г. Волгоград;https://etpgpb.ru/procedure/tender/price_request/474814-pylesos-vozduhoduvka-makita-ub1103-kleschi-tokoizmeritelnye-mastech-m266f-v-g-volgograd/;садовый инвентарь: то же слово, другая машина
7707049388;ПАО РОСТЕЛЕКОМ;ЭТП ГПБ, поиск по словам;961579;11781 поставка снегоуборщика и воздуходувка  аккумуляторная в г. Петропавловск-Камчатский;https://etpgpb.ru/procedure/tender/price_request/961579-11781-postavka-snegouborschika-i-vozduhoduvka-akkumulyatornaya-v-g-petropavlovsk-kamchatskiy/;садовый инвентарь: то же слово, другая машина
7707049388;ПАО РОСТЕЛЕКОМ;ЭТП ГПБ, поиск по словам;538400;Пылесос воздуходувка бензиновая ранцевая Мобил К XB52А ПРЕМИУМ MBK0023879. Г. Петрозаводск;https://etpgpb.ru/procedure/tender/price_request/538400-pylesos-vozduhoduvka-benzinovaya-rantsevaya-mobil-k-xb52a-premium-mbk0023879-g-petrozavodsk/;садовый инвентарь: то же слово, другая машина
;Газпром транcгаз Беларусь;ЭТП ГПБ, поиск по словам;755563;"Поставка кусторезов, воздуходувки бензиновой для нужд ОАО ""Газпром трансгаз Беларусь""";https://etpgpb.ru/procedure/tender/price_request/755563-postavka-kustorezov-vozduhoduvki-benzinovoy-dlya-nuzhd-oao-gazprom-transgaz-belarus/;садовый инвентарь: то же слово, другая машина
7751335148;ГБУ ЖИЛИЩНИК РАЙОНА КОММУНАРКА;ЭТП ГПБ, поиск по словам;834483;Садовый трактор, Газонокосилка, Кусторез, Бензопила, Воздуходувка, Мотокультиватор, Триммер, Генератор, Высоторез, Виброплита;https://etpgpb.ru/procedure/tender/price_request/834483-sadovyy-traktor-gazonokosilka-kustorez-benzopila-vozduhoduvka-motokultivator-trimmer-generator-vysotorez-vibropli/;садовый инвентарь: то же слово, другая машина
5321142800;МАУ ПАРКИ ВЕЛИКОГО НОВГОРОДА;ЭТП ГПБ, поиск по словам;486068;Поставка воздуходувок, мотокос и мойки высокого давления;https://etpgpb.ru/procedure/tender/price_request/486068-postavka-vozduhoduvok-motokos-i-moyki-vysokogo-davleniya/;садовый инвентарь: то же слово, другая машина
4212026022;ГАУ САНАТОРИЙ БОРИСОВСКИЙ;ЭТП ГПБ, поиск по словам;821749;Поставка воздуходувок бензиновых  Husqvarna 125B;https://etpgpb.ru/procedure/tender/price_request/821749-postavka-vozduhoduvok-benzinovyh-husqvarna-125b/;садовый инвентарь: то же слово, другая машина
5406807595;"ООО ""ГАЗПРОМНЕФТЬ-ТЕРМИНАЛ""";ЭТП ГПБ, поиск по словам;616418;Поставка тележек, триммеров, воздуходувок ;https://etpgpb.ru/procedure/tender/price_request/616418-postavka-telezhek-trimmerov-vozduhoduvok/;садовый инвентарь: то же слово, другая машина
9729293785;ГБР;ЭТП ГПБ, поиск по словам;611333;Поставка воздуходувок-измельчителей бензиновых ручных;https://etpgpb.ru/procedure/tender/price_request/611333-postavka-vozduhoduvok-izmelchiteley-benzinovyh-ruchnyh/;садовый инвентарь: то же слово, другая машина
9729293785;ГБР;ЭТП ГПБ, поиск по словам;824486;Поставка  запасных частей для бензотриммеров Мобил-К XT271C, газонокосилок бензиновых ручных МОБИЛ К XM511, воздуходувок-пылесосов МОБИЛ К XB27В Премиум;https://etpgpb.ru/procedure/tender/price_request/824486-postavka-zapasnyh-chastey-dlya-benzotrimmerov-mobil-k-xt271c-gazonokosilok-benzinovyh-ruchnyh-mobil-k-xm511-vozdu/;садовый инвентарь: то же слово, другая машина
7707049388;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОСТЕЛЕКОМ""";ЭТП ГПБ, по компаниям;961579;11781 поставка снегоуборщика и воздуходувка  аккумуляторная в г. Петропавловск-Камчатский;https://etpgpb.ru/procedure/tender/price_request/961579-11781-postavka-snegouborschika-i-vozduhoduvka-akkumulyatornaya-v-g-petropavlovsk-kamchatskiy/;садовый инвентарь: то же слово, другая машина
8605003932;"ПАО ""СН-МНГ""";ЭТП ГПБ, по компаниям;АП061394;"Поставка Воздуходувок ранцевых для ПАО ""СН-МНГ"" 2024г.";https://etpgpb.ru/procedure/tender/etp/890033-postavka-vozduhoduvok-rantsevyh-dlya-pao-sn-mng-2024g/;садовый инвентарь: то же слово, другая машина
9729293785;ГБР;ЭТП ГПБ, по компаниям;611333;Поставка воздуходувок-измельчителей бензиновых ручных;https://etpgpb.ru/procedure/tender/price_request/611333-postavka-vozduhoduvok-izmelchiteley-benzinovyh-ruchnyh/;садовый инвентарь: то же слово, другая машина
9729293785;ГБР;ЭТП ГПБ, по компаниям;824486;Поставка  запасных частей для бензотриммеров Мобил-К XT271C, газонокосилок бензиновых ручных МОБИЛ К XM511, воздуходувок-пылесосов МОБИЛ К XB27В Премиум;https://etpgpb.ru/procedure/tender/price_request/824486-postavka-zapasnyh-chastey-dlya-benzotrimmerov-mobil-k-xt271c-gazonokosilok-benzinovyh-ruchnyh-mobil-k-xm511-vozdu/;садовый инвентарь: то же слово, другая машина
5003026493;"ООО ""ГАЗПРОМ БУРЕНИЕ""";ЭТП ГПБ, по компаниям;АП030812;Бензопилы и воздуходувки;https://etpgpb.ru/procedure/tender/etp/701917-benzopily-i-vozduhoduvki/;садовый инвентарь: то же слово, другая машина
7705551779;"ООО ""РИ-ИНВЕСТ""";Росэлторг;;Поставка газодувки 208-К-001 для Комбинированной Установки Производства Высокооктановых Бензинов для нужд филиала «Тюменский НПЗ» (г. Тюмень) (с рассмотрением аналогов);https://www.roseltorg.ru/procedure/COM21042600016/1;садовый инвентарь: то же слово, другая машина
2902059091;"АО ""ПО ""СЕВМАШ""";Портал Москвы;5990702;Воздуходувка бензиновая Champion GBR476, 3.3кВт;https://zakupki.mos.ru/need/5990702;садовый инвентарь: то же слово, другая машина
2902059091;"АО ""ПО ""СЕВМАШ""";Портал Москвы;5905001;Триммер бензиновый, воздуходувка бензиновая;https://zakupki.mos.ru/need/5905001;садовый инвентарь: то же слово, другая машина
7830001758;САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ПА;Портал Москвы;4196071;Поставка воздуходувки (бензиновой);https://zakupki.mos.ru/need/4196071;садовый инвентарь: то же слово, другая машина
7727656790;Государственное бюджетное учреждение города Москвы «Автомоби;Портал Москвы;9008263;Воздуходувка-пылесос MAKITA UB1103;https://zakupki.mos.ru/auction/9008263;садовый инвентарь: то же слово, другая машина
7709886600;Государственное бюджетное учреждение города Москвы «Автомоби;Портал Москвы;9180546;Патрубок для чистки желобов в разборе SH / SHE для бензиновой воздуходувки STIHL SH 86;https://zakupki.mos.ru/auction/9180546;садовый инвентарь: то же слово, другая машина
7709886600;Государственное бюджетное учреждение города Москвы «Автомоби;Портал Москвы;9180484;Бензиновая воздуходувка STIHL SH 86;https://zakupki.mos.ru/auction/9180484;садовый инвентарь: то же слово, другая машина
5024001482;Государственное бюджетное учреждение здравоохранения города ;Портал Москвы;761255;Бензиновая воздуходувка ;https://zakupki.mos.ru/auction/761255;садовый инвентарь: то же слово, другая машина
7729466258;Государственное бюджетное учреждение города Москвы «Жилищник;Портал Москвы;9634268;Воздуходувка бензиновая CHAMPION GBR357 3.4 л.с.;https://zakupki.mos.ru/auction/9634268;садовый инвентарь: то же слово, другая машина
1003018230;АКЦИОНЕРНОЕ ОБЩЕСТВО КОНДОПОЖСКИЙ ЦЕЛЛЮЛОЗНО-БУМАЖНЫЙ КОМБИН;Портал Москвы;6077051;Выполнение работ по диагностике и ремонту бензоинструмента и ручной уборочной техники (бензопилы, мотокосы, бензорезы, культиватора, снегоуборщика,воздуходувки) УПБ АО «Кондопожский ЦБК»;https://zakupki.mos.ru/need/6077051;садовый инвентарь: то же слово, другая машина
7724322904;Государственное бюджетное учреждение города Москвы «Жилищник;Портал Москвы;9867676;Воздуходувка бензиновая Electrolite ВР 600 2.8л.с.;https://zakupki.mos.ru/auction/9867676;садовый инвентарь: то же слово, другая машина
9715005116;Государственное бюджетное учреждение города Москвы «Жилищник;Портал Москвы;10025956;Воздуходувка бензиновая ранцевая PATRIOT BGK 345 (2,5 л.с.);https://zakupki.mos.ru/auction/10025956;садовый инвентарь: то же слово, другая машина
9715005116;Государственное бюджетное учреждение города Москвы «Жилищник;Портал Москвы;10021952;Воздуходувка бензиновая ранцевая PATRIOT BGK 345 (2,5 л.с.);https://zakupki.mos.ru/auction/10021952;садовый инвентарь: то же слово, другая машина
5007102138;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ЖКХ И БЛАГОУСТРОЙСТВО"" Д";Портал Москвы;4131160;Поставка высотореза, воздуходувки и генератора бензинового;https://zakupki.mos.ru/need/4131160;садовый инвентарь: то же слово, другая машина
5014009027;"МБУ ""ДК ИМЕНИ В.Н.ЛЕОНОВА""";Портал Москвы;3815417;Поставка бензиновой воздуходувки-пылесоса;https://zakupki.mos.ru/need/3815417;садовый инвентарь: то же слово, другая машина
5033002595;"МБУ ГОРОДСКОГО ОКРУГА ОЗЕРЫ ""ГРАД-СЕРВИС""";Портал Москвы;3772762;Поставка воздуходувок бензиновых;https://zakupki.mos.ru/need/3772762;садовый инвентарь: то же слово, другая машина
