zakazchik;inn;kpp;predmet;planiruemaya_data_razmeshcheniya;srok_ispolneniya_dogovora;summa;sposob_zakupki;okpd2;data_razmeshcheniya;plan_reg_nomer;nomer_pozicii;klyuch;centrobezhnyy_predmet;priznak_centrobezhnosti;data_v_budushchem;nash_spisok_202;istochnik;ssylka;predmet_bez_proekta;brak
"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""АКЦИОНЕРНАЯ НЕФТЯНАЯ КОМПАНИЯ ""БАШНЕФТЬ""";0274051582;027501001;Государственная экспертиза проекта: Расширение обустройства Кушнаренковского нефтяного месторождения. Обустройство водозаборной скважины №5032, обустройство нагнетательных скважин №№ 5038, 5051;07.2015;12.2015;619 241,90 ₽;ЕП;;14.04.2015;2150112301;1296;нагнетатель;да;нагнетател;нет;да;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=a9898519-0203-0251-0000-56824f1b0b52_36178ab7-2797-46ac-9941-3d0e2522861e&infoGuid=a9898519-0203-0251-0000-56824f1b0b52;Государственная экспертиза проекта: Расширение обустройства Кушнаренковского нефтяного месторождения. Обустройство водозаборной скважины №5032, обустройство нагнетательных скважин №№ 5038, 5051;
"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""АКЦИОНЕРНАЯ НЕФТЯНАЯ КОМПАНИЯ ""БАШНЕФТЬ""";0274051582;027501001;Государственная экспертиза проекта: Расширение обустройства Тузлукушевского нефтяного месторождения. Обустройство водозаборной скважины № 4352, обустройство нагнетательной скважины №4341;08.2015;12.2015;701 046,39 ₽;ЕП;;10.06.2015;2150112301;1376;нагнетатель;да;нагнетател;нет;да;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=a9898519-0203-0251-0000-55fbfac098ed_a9898519-0000-0250-1376-000000955478&infoGuid=a9898519-0203-0251-0000-55fbfac098ed;Государственная экспертиза проекта: Расширение обустройства Тузлукушевского нефтяного месторождения. Обустройство водозаборной скважины № 4352, обустройство нагнетательной скважины №4341;
"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""АКЦИОНЕРНАЯ НЕФТЯНАЯ КОМПАНИЯ ""БАШНЕФТЬ""";0274051582;027501001;Государственная экспертиза проекта: Расширение обустройства Тузлукушевского нефтяного месторождения. Обустройство водозаборной скважины № 4352, обустройство нагнетательной скважины №4341;08.2015;12.2015;701 046,39 ₽;ЕП;;14.04.2015;2150112301;1376;нагнетатель;да;нагнетател;нет;да;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=a9898519-0203-0251-0000-56824f1b0b52_1b0db14a-84cd-4ecc-89db-a06c817a5f3d&infoGuid=a9898519-0203-0251-0000-56824f1b0b52;Государственная экспертиза проекта: Расширение обустройства Тузлукушевского нефтяного месторождения. Обустройство водозаборной скважины № 4352, обустройство нагнетательной скважины №4341;
"ФИЛИАЛ ПУБЛИЧНОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""АКЦИОНЕРНАЯ НЕФТЯНАЯ КОМПАНИЯ ""БАШНЕФТЬ"" ""БАШНЕФТЬ-УНПЗ""";0274051582;027743001;Воздуходувка;10.2015;09.2016;62 088 000,01 ₽;Запрос цен в электронной форме;;10.04.2015;2150113432;2085;воздуходувка;да;воздуходувк;нет;да;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=a9898519-0246-0251-0000-567d342d8476_007fba66-5fde-4fd0-b813-ab8d536d8c63&infoGuid=a9898519-0246-0251-0000-567d342d8476;Воздуходувка;
"Общество с ограниченной ответственностью ""Газпром добыча Уренгой""";8904034784;997250001;"Производство геофизических исследований и работ в эксплуатационных, наблюдательных, нагнетательных скважинах на месторождениях ООО ""Газпром добыча Уренгой"" при контроле за разработкой месторождений, прострелочно-взрывных работ и торпедировании при капитальном ремонте скважин, а также оцифровка фондовых материалов";10.2015;12.2018;1 074 570 000,00 ₽;ЗП;;24.03.2015;2150105286;305;нагнетатель;да;нагнетател;нет;да;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=567cf4ce-f283-473f-e100-00000a388ca5_55514e8e-d8e9-70ea-e100-00000a388ca5&infoGuid=567cf4ce-f283-473f-e100-00000a388ca5;"Производство геофизических исследований и работ в эксплуатационных, наблюдательных, нагнетательных скважинах на месторождениях ООО ""Газпром добыча Уренгой"" при контроле за разработкой месторождений, прострелочно-взрывных работ и торпедировании при капитальном ремонте скважин, а также оцифровка фондовых материалов";
"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""АКЦИОНЕРНАЯ НЕФТЯНАЯ КОМПАНИЯ ""БАШНЕФТЬ""";0274051582;027501001;Государственная экспертиза проекта: Обустройство нагнетательной скважины №2523 Саузбашевского нефтяного месторождения;02.2016;05.2016;472 470,71 ₽;ЕП;;26.02.2016;2150140065;582;нагнетатель;да;нагнетател;нет;да;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=0f272c84-9585-4492-b770-31f8c2db7481_a9898519-1238-0250-0582-000002516169&infoGuid=0f272c84-9585-4492-b770-31f8c2db7481;Государственная экспертиза проекта: Обустройство нагнетательной скважины №2523 Саузбашевского нефтяного месторождения;
"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""АКЦИОНЕРНАЯ НЕФТЯНАЯ КОМПАНИЯ ""БАШНЕФТЬ""";0274051582;027501001;Государственная экспертиза проекта: Обустройство нагнетательной скважины №341С1 Ново-Узыбашевского нефтяного месторождения;05.2016;08.2016;576 468,50 ₽;ЕП;;04.08.2016;2150140065;1157;нагнетатель;да;нагнетател;нет;да;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=a9898519-1238-0251-0000-57a3203381f2_a9898519-1238-0250-1157-000004175322&infoGuid=a9898519-1238-0251-0000-57a3203381f2;Государственная экспертиза проекта: Обустройство нагнетательной скважины №341С1 Ново-Узыбашевского нефтяного месторождения;
"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""АКЦИОНЕРНАЯ НЕФТЯНАЯ КОМПАНИЯ ""БАШНЕФТЬ""";0274051582;027501001;Государственная экспертиза проекта: Обустройство нагнетательной скважины №341С1 Ново-Узыбашевского нефтяного месторождения;05.2016;08.2016;576 468,50 ₽;ЕП;;26.02.2016;2150140065;1157;нагнетатель;да;нагнетател;нет;да;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=0f272c84-9585-4492-b770-31f8c2db7481_a9898519-1238-0250-1157-000004290778&infoGuid=0f272c84-9585-4492-b770-31f8c2db7481;Государственная экспертиза проекта: Обустройство нагнетательной скважины №341С1 Ново-Узыбашевского нефтяного месторождения;
"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""АКЦИОНЕРНАЯ НЕФТЯНАЯ КОМПАНИЯ ""БАШНЕФТЬ""";0274051582;027501001;Насос центробежный;08.2016;03.2017;36 660 943,28 ₽;ЗК;;04.08.2016;2150140065;11003792;центробежный;да;центробежн;нет;да;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=a9898519-1238-0251-0000-57a3203381f2_a9898519-1238-0250-3792-000004176203&infoGuid=a9898519-1238-0251-0000-57a3203381f2;Насос центробежный;центробежный насос, не компрессор
"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""АКЦИОНЕРНАЯ НЕФТЯНАЯ КОМПАНИЯ ""БАШНЕФТЬ""";0274051582;027501001;Насос центробежный;08.2016;03.2017;36 660 943,28 ₽;ЗК;;26.02.2016;2150140065;11003792;центробежный;да;центробежн;нет;да;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=0f272c84-9585-4492-b770-31f8c2db7481_a9898519-1238-0250-3792-000004291709&infoGuid=0f272c84-9585-4492-b770-31f8c2db7481;Насос центробежный;центробежный насос, не компрессор
"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""АКЦИОНЕРНАЯ НЕФТЯНАЯ КОМПАНИЯ ""БАШНЕФТЬ""";0274051582;027501001;Государственная экспертиза проекта: Обустройство нагнетательной скважины №1661г Знаменского месторождения;08.2016;11.2016;616 189,52 ₽;ЕП;;11.08.2016;2150140065;1529;нагнетатель;да;нагнетател;нет;да;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=a9898519-1238-0251-0000-57ac53dd38af_a9898519-1238-0250-1529-000004239917&infoGuid=a9898519-1238-0251-0000-57ac53dd38af;Государственная экспертиза проекта: Обустройство нагнетательной скважины №1661г Знаменского месторождения;
"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""АКЦИОНЕРНАЯ НЕФТЯНАЯ КОМПАНИЯ ""БАШНЕФТЬ""";0274051582;027501001;Государственная экспертиза проекта: Обустройство нагнетательной скважины №1574 Татышлинского нефтяного месторождения;08.2016;11.2016;688 611,75 ₽;ЕП;;26.02.2016;2150140065;1546;нагнетатель;да;нагнетател;нет;да;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=0f272c84-9585-4492-b770-31f8c2db7481_a9898519-1238-0250-1546-000004291160&infoGuid=0f272c84-9585-4492-b770-31f8c2db7481;Государственная экспертиза проекта: Обустройство нагнетательной скважины №1574 Татышлинского нефтяного месторождения;
"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""АКЦИОНЕРНАЯ НЕФТЯНАЯ КОМПАНИЯ ""БАШНЕФТЬ""";0274051582;027501001;Государственная экспертиза проекта: Обустройство нагнетательной скважины №1661г Знаменского месторождения;08.2016;11.2016;616 189,52 ₽;ЕП;;26.02.2016;2150140065;1529;нагнетатель;да;нагнетател;нет;да;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=0f272c84-9585-4492-b770-31f8c2db7481_a9898519-1238-0250-1529-000004291143&infoGuid=0f272c84-9585-4492-b770-31f8c2db7481;Государственная экспертиза проекта: Обустройство нагнетательной скважины №1661г Знаменского месторождения;
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";5610058025;997250001;Поставка всасывающих и нагнетательных клапанов для пополнения аварийного запаса;11.2016;12.2016;3 301 200,32 ₽;ЗП;;04.08.2016;2160158955;358;нагнетатель;да;нагнетател;нет;да;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=e5ef67b0-a12c-474a-94cc-aa45affe1881_57b1e9b1-427b-79c1-e100-00000a388ca6&infoGuid=e5ef67b0-a12c-474a-94cc-aa45affe1881;Поставка всасывающих и нагнетательных клапанов для пополнения аварийного запаса;
"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""АКЦИОНЕРНАЯ НЕФТЯНАЯ КОМПАНИЯ ""БАШНЕФТЬ""";0274051582;027501001;Государственная экспертиза проекта: Обустройство нагнетательных скважин Шкаповского нефтяного месторождения (2015 г.);12.2016;02.2017;636 967,94 ₽;ЕП;;04.08.2016;2150140065;2012;нагнетатель;да;нагнетател;нет;да;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=1a811264-8145-46d3-ad9e-f9da36d43e8c_a9898519-1238-0250-2012-000005793835&infoGuid=1a811264-8145-46d3-ad9e-f9da36d43e8c;Государственная экспертиза проекта: Обустройство нагнетательных скважин Шкаповского нефтяного месторождения (2015 г.);
"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""АКЦИОНЕРНАЯ НЕФТЯНАЯ КОМПАНИЯ ""БАШНЕФТЬ""";0274051582;027501001;Государственная экспертиза проекта: Обустройство нагнетательных скважин Шкаповского нефтяного месторождения (2015 г.);12.2016;02.2017;636 967,94 ₽;ЕП;;26.02.2016;2150140065;2012;нагнетатель;да;нагнетател;нет;да;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=0f272c84-9585-4492-b770-31f8c2db7481_a9898519-1238-0250-2012-000005912919&infoGuid=0f272c84-9585-4492-b770-31f8c2db7481;Государственная экспертиза проекта: Обустройство нагнетательных скважин Шкаповского нефтяного месторождения (2015 г.);
"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""АКЦИОНЕРНАЯ НЕФТЯНАЯ КОМПАНИЯ ""БАШНЕФТЬ""";0274051582;027501001;Нагнетатель 70000032144;01.2017;12.2017;205 320 000,00 ₽;ЗК;;21.01.2017;2160194537;519;нагнетатель;да;нагнетател;нет;да;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=57718322-bc24-4b61-b334-203cbd18ce6c_297b9dc0-0d9a-1ee6-afd3-351518d30ebb&infoGuid=57718322-bc24-4b61-b334-203cbd18ce6c;Нагнетатель 70000032144;
"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""АКЦИОНЕРНАЯ НЕФТЯНАЯ КОМПАНИЯ ""БАШНЕФТЬ""";0274051582;027501001;Насос центробежный;02.2017;12.2019;34 116 048,21 ₽;ЗК;;15.05.2017;2160194537;911;центробежный;да;центробежн;нет;да;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=39ad9e64-0cf1-4a14-ad03-3f3d46e38578_297b9dc0-0d9a-1ed6-b7dc-758a3e889ecd&infoGuid=39ad9e64-0cf1-4a14-ad03-3f3d46e38578;Насос центробежный;центробежный насос, не компрессор
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ ПРИРОДНЫХ ГАЗОВ И ГАЗОВЫХ ТЕХНОЛОГИЙ - ГАЗПРОМ ВНИИГАЗ""";5003028155;500301001;Обоснование конструкции эксплуатационных (газоконденсатных, нефтяных и нагнетательных) скважин Южно-Киринского месторождения. Разработка рекомендаций по производству буровых работ, вскрытию пласта и освоению скважин;05.2017;09.2018;2 386 367,10 ₽;ЗП;;31.01.2017;2160216725;157;нагнетатель;да;нагнетател;нет;да;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=5a45e602-ea01-0d26-e100-00000a388ca5_57f62781-7413-2049-e100-00000a388ca5&infoGuid=5a45e602-ea01-0d26-e100-00000a388ca5;Обоснование конструкции эксплуатационных (газоконденсатных, нефтяных и нагнетательных) скважин Южно-Киринского месторождения. Разработка рекомендаций по производству буровых работ, вскрытию пласта и освоению скважин;
"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""АКЦИОНЕРНАЯ НЕФТЯНАЯ КОМПАНИЯ ""БАШНЕФТЬ""";0274051582;027501001;Насос центробежный;12.2017;12.2019;45 550 072,81 ₽;ЗП;;25.02.2019;2180331073;2000067215;центробежный;да;центробежн;нет;да;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=e65def69-6879-4341-8e84-2b40c2fd7fcf_5ab6d851-4602-73e5-e100-00000a104614&infoGuid=e65def69-6879-4341-8e84-2b40c2fd7fcf;Насос центробежный;центробежный насос, не компрессор
"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""АКЦИОНЕРНАЯ НЕФТЯНАЯ КОМПАНИЯ ""БАШНЕФТЬ""";0274051582;027501001;Насос центробежный;12.2017;12.2019;45 550 072,81 ₽;ЗП;;21.01.2017;2160194537;911;центробежный;да;центробежн;нет;да;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=57718322-bc24-4b61-b334-203cbd18ce6c_2fdeafb1-d417-1ed7-b59c-c1473fcc911d&infoGuid=57718322-bc24-4b61-b334-203cbd18ce6c;Насос центробежный;центробежный насос, не компрессор
