nomer;lot;predmet;organizator;organizator_inn;organizator_kpp;zakazchik;zakazchik_inn;sekciya;region;cena;data_okonchaniya;status;gde_najdeno;tegi_ploshchadki;ssylka;centrobezhnyy_predmet;klyuch;istochnik;data_sbora
32110478805;1;Оказание услуг по техническому обслуживанию механического оборудования воздуходувных агрегатов Siemens;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСВОДОКАНАЛ""";7701984274;770101001;;;Коммерческие закупки и закупки по 223-ФЗ;77. г. Москва;10 963 650,32;03.08.2021 10:00;Процедура завершена;наименовании процедуры Открытый конкурс;iii | техническое обслуживание | часть документации | техническая часть | механическое оборудование | агрегата оборудование | оборудование | обслуживание;https://www.roseltorg.ru/procedure/32110478805/1;да;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
32009491586;1;Оказание услуг по техническому обслуживанию механического оборудования воздуходувных агрегатов Siemens;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСВОДОКАНАЛ""";7701984274;770101001;;;Закупки среди субъектов МСП;77. г. Москва;10 878 579,06;30.09.2020 10:30;Процедура завершена;наименовании процедуры Открытый конкурс;техническое обслуживание | механическое оборудование | агрегата оборудование | оборудование | обслуживание | агрегат | технический | механический;https://www.roseltorg.ru/procedure/32009491586/1;да;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
0133200001726000323;1;Приобретение оборудования для ремонта системы водоотведения: -станция воздуходувная, Ивановская обл., г.Приволжск, ул. Иваново-Вознесенская, д.85, литера Г;ДЕПАРТАМЕНТ КОНКУРСОВ И АУКЦИОНОВ ИВАНОВСКОЙ ОБЛАСТИ;3702086910;370201001;;;Государственные закупки (44-ФЗ);37. Ивановская область;177 480,73;12.03.2026 07:00;Процедура завершена;;преобразователь частоты высоковольтный | частотный преобразователь высокого напряжения | преобразователь частоты высоковольтный | частотный преобразователь высокого напряжения;https://www.roseltorg.ru/procedure/0133200001726000323/1;да;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
32515567823;1;"Поставка компрессоров и комплектующих к воздуходувным агрегатам для нужд АО ""Мосводоканал"" в 2026 году";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСВОДОКАНАЛ""";7701984274;770101001;;;Корпоративные закупки и закупки субъектов 223-ФЗ (включая МСП);77. г. Москва;9 000 000,00;19.01.2026 08:15;Процедура завершена;наименовании процедуры Аукцион в электро;воздуходувной агрегат | компрессор винтовой | компрессор для воздушных систем | агрегат компрессорный | запасные части компрессора | комплектующие компрессора | монтаж компрессоров | обслуживание компрессоров;https://www.roseltorg.ru/procedure/32515567823/1;да;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
32312927442;1;"Поставка фильтров воздушных к воздуходувным агрегатам для нужд АО ""Мосводоканал"" в 2024 году";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСВОДОКАНАЛ""";7701984274;770101001;;;Корпоративные закупки и закупки субъектов 223-ФЗ (включая МСП);77. г. Москва;666 950,44;13.11.2023 08:15;Процедура завершена;наименовании процедуры Аукцион в электро;фильтры | фильтры воздушные | воздушные фильтры | фильтры машиностроительные | фильтрующие элементы | фильтры для оборудования | фильтры пылевые | фильтры промышленные;https://www.roseltorg.ru/procedure/32312927442/1;да;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
32312054864;1;"Поставка запасных частей к воздуходувным агрегатам для нужд АО ""Мосводоканал"" в 2023 году";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСВОДОКАНАЛ""";7701984274;770101001;;;Закупки среди субъектов МСП;77. г. Москва;183 430,86;01.02.2023 08:15;Процедура завершена;наименовании процедуры Аукцион в электро;воздуходувные агрегаты | запасные части | комплектующие | подъемники | фильтры | ремни | ремни приводные | ремни прорезиненные;https://www.roseltorg.ru/procedure/32312054864/1;да;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
32110327577;1;"Поставка фильтров воздушных к воздуходувным агрегатам для нужд АО ""Мосводоканал"" в 2021 году";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСВОДОКАНАЛ""";7701984274;770101001;;;Закупки среди субъектов МСП;77. г. Москва;231 234,30;07.06.2021 10:00;Процедура завершена;наименовании процедуры Открытый аукцион;малое предпринимательство | воздушный фильтр | воздуходувные агрегаты | фильтр | агрегат | воздушный | воздуходувный | малое предпринимательство;https://www.roseltorg.ru/procedure/32110327577/1;да;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
32615904979;1;выполнение работ по капитальному ремонту турбокомпрессора воздушного ТВ80-1,6 №1 воздуходувной станции очистных сооружений пос. Валериановск;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ КАЧКАНАРСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ""ГОРОДСКИЕ ЭНЕРГОСИСТЕМЫ""";6615015316;668101001;;;Корпоративные закупки и закупки субъектов 223-ФЗ (включая МСП);66. Свердловская область;1 789 807,10;22.04.2026 13:00;Процедура завершена;;ремонт турбокомпрессора | балансировка ротора | замена подшипника | замена уплотнения | напрессовка колеса | ремонт переднего подшипника | ремонт заднего подшипника | ремонт подшипникового узла;https://www.roseltorg.ru/procedure/32615904979/1;да;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
32514785085;1;Выполнение работ по капитальному ремонту турбокомпрессора воздушного ТВ80-1,6 №3 воздуходувной станции очистных сооружений г. Качканар;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ КАЧКАНАРСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ""ГОРОДСКИЕ ЭНЕРГОСИСТЕМЫ""";6615015316;668101001;;;Корпоративные закупки и закупки субъектов 223-ФЗ (включая МСП);66. Свердловская область;1 966 770,00;05.05.2025 10:00;Процедура завершена;;капитальный ремонт | очистные сооружения | ремонт | сооружение | турбокомпрессор | капитальный | воздушный | очистный;https://www.roseltorg.ru/procedure/32514785085/1;да;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
32515101694;1;Оказание услуг по техническому обслуживанию воздуходувных агрегатов Курьяновских очистных сооружений в 2026-2028 годах;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСВОДОКАНАЛ""";7701984274;770101001;;;Корпоративные закупки и закупки субъектов 223-ФЗ (включая МСП);77. г. Москва;18 944 873,82;13.08.2025 09:00;Процедура завершена;наименовании процедуры Конкурс в электро;ремонт | настройка | сервис | компрессор | вентиляция | профилактика | воздушные фильтры | трансформатор;https://www.roseltorg.ru/procedure/32515101694/1;да;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
32211858778;1;Оказание услуг по замене эластичной вставки ROTEX соединительной муфты воздуходувных агрегатов DA500-60–18000;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА ГОРОДСКОГО ОКРУГА ГОРОДА ВОЛОГДЫ ""ВОЛОГДАГОРВОДОКАНАЛ""";3525023596;352501001;;;Коммерческие закупки и закупки по 223-ФЗ;35. Вологодская область;597 817,81;25.11.2022 10:00;Процедура завершена;;замена муфт | муфта | воздуходувной агрегат | центровка | эластичная вставка | соединительная муфта | ROTEX | муфты;https://www.roseltorg.ru/procedure/32211858778/1;да;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
32211534716;1;Модернизация участка тепловой сети от здания аэрофильтров до здания воздуходувной станции очистных сооружений канализации по ул.1 Мая, 16 в г.Каменск-Уральский;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВОДОКАНАЛ КАМЕНСК- УРАЛЬСКИЙ""";6612019640;661201001;;;Коммерческие закупки и закупки по 223-ФЗ;66. Свердловская область;631 718,40;23.07.2022 04:00;Процедура завершена;;тепловые сети | участки сети | очистные сооружения | здание участка | модернизация участка | здание | сеть | участок;https://www.roseltorg.ru/procedure/32211534716/1;да;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
32413891128;1;"Оказание услуг по техническому обслуживанию воздуходувных агрегатов Курьяновских очистных сооружений АО ""Мосводоканал"" в 2025 году";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСВОДОКАНАЛ""";7701984274;770101001;;;Корпоративные закупки и закупки субъектов 223-ФЗ (включая МСП);77. г. Москва;3 492 057,66;20.08.2024 09:00;Процедура завершена;наименовании процедуры Конкурс в электро;техническое обслуживание | очистные сооружения | курьяновские сооружения | обслуживание | сооружение | агрегат | мосводоканал | технический;https://www.roseltorg.ru/procedure/32413891128/1;да;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
32413871256;1;Оказание услуг по техническому обслуживанию механического оборудования воздуходувных агрегатов на Курьяновских очистных сооружениях в 2025 году;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСВОДОКАНАЛ""";7701984274;770101001;;;Корпоративные закупки и закупки субъектов 223-ФЗ (включая МСП);77. г. Москва;15 673 208,52;19.08.2024 09:00;Процедура завершена;наименовании процедуры Конкурс в электро;техническое обслуживание | очистные сооружения | оборудование сооружение | механическое оборудование | агрегата оборудование | курьяновские сооружения | оборудование | обслуживание;https://www.roseltorg.ru/procedure/32413871256/1;да;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
32312721639;1;Оказание услуг по техническому обслуживанию механического оборудования воздуходувных агрегатов на Курьяновских очистных сооружениях в 2024 году;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСВОДОКАНАЛ""";7701984274;770101001;;;Закупки среди субъектов МСП;77. г. Москва;14 556 724,05;07.09.2023 11:00;Процедура завершена;наименовании процедуры Конкурс в электро;техническое обслуживание | очистные сооружения | оборудование сооружение | механическое оборудование | агрегата оборудование | курьяновские сооружения | оборудование | обслуживание;https://www.roseltorg.ru/procedure/32312721639/1;да;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
32312654907;1;"Оказание услуг по техническому обслуживанию воздуходувных агрегатов Курьяновских очистных сооружений АО ""Мосводоканал"" в 2024 году";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСВОДОКАНАЛ""";7701984274;770101001;;;Закупки среди субъектов МСП;77. г. Москва;3 584 668,87;16.08.2023 09:00;Процедура завершена;наименовании процедуры Конкурс в электро;техническое обслуживание | очистные сооружения | курьяновские сооружения | обслуживание | сооружение | агрегат | мосводоканал | технический;https://www.roseltorg.ru/procedure/32312654907/1;да;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
32211720579;1;"Оказание услуг по техническому обслуживанию воздуходувных агрегатов Курьяновских очистных сооружений АО ""Мосводоканал"" в 2023 году";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСВОДОКАНАЛ""";7701984274;770101001;;;Закупки среди субъектов МСП;77. г. Москва;3 399 985,40;05.10.2022 09:00;Процедура завершена;наименовании процедуры Конкурс в электро;техническое обслуживание | очистные сооружения | курьяновские сооружения | обслуживание | сооружение | агрегат | мосводоканал | технический;https://www.roseltorg.ru/procedure/32211720579/1;да;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
32211269800;1;Выполнение работ по реализации проекта телеметрии температуры подшипников электродвигателей 5-и воздуходувных агрегатов на Северной аэрационной станции;ЕКАТЕРИНБУРГСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ВОДОПРОВОДНО-КАНАЛИЗАЦИОННОГО ХОЗЯЙСТВА;6608001915;667001001;;;Коммерческие закупки и закупки по 223-ФЗ;66. Свердловская область;1 439 727,60;18.04.2022 09:00;Процедура завершена;наименовании процедуры;выполнение работ по телеметрии температуры подшипников электродвигателей | мониторинг температуры подшипников | монтаж телеметрических датчиков | автоматизация сбора данных температуры | обслуживание воздуходувных агрегатов | система мониторинга температуры подшипников | выполнение работ по телеметрии температуры подшипников электродвигателей | мониторинг температуры подшипников;https://www.roseltorg.ru/procedure/32211269800/1;да;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
32211055573;1;Выполнение работ по реализации проекта телеметрии температуры подшипников электродвигателей 5-и воздуходувных агрегатов на Северной аэрационной станции;ЕКАТЕРИНБУРГСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ВОДОПРОВОДНО-КАНАЛИЗАЦИОННОГО ХОЗЯЙСТВА;6608001915;667001001;;;Коммерческие закупки и закупки по 223-ФЗ;66. Свердловская область;1 439 727,60;07.02.2022 09:00;Процедура завершена;наименовании процедуры;реализация проекта | температура подшипников | температура электродвигателя | агрегат подшипник | проект | температура | подшипник | агрегат;https://www.roseltorg.ru/procedure/32211055573/1;да;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
32413577971;1;Выполнение работ по замене секционного выключателя в РУ-0,4 кВ ТП здания воздуходувной станции на очистных сооружениях канализации по ул. 1 Мая, 16.;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВОДОКАНАЛ КАМЕНСК- УРАЛЬСКИЙ""";6612019640;661201001;;;Корпоративные закупки и закупки субъектов 223-ФЗ (включая МСП);66. Свердловская область;346 465,58;20.05.2024 10:00;Процедура завершена;;очистные сооружения | сооружения канализации | замена выключателя | секционный выключатель | здание | сооружение | замена | канализация;https://www.roseltorg.ru/procedure/32413577971/1;да;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
32312516182;1;Замена вводных выключателей в РУ-0,4 кВ ТП здания воздуходувной станции на очистных сооружениях канализации по ул.1 Мая, 16 в г.Каменск-Уральский (капитальный ремонт);"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВОДОКАНАЛ КАМЕНСК- УРАЛЬСКИЙ""";6612019640;661201001;;;Коммерческие закупки и закупки по 223-ФЗ;66. Свердловская область;783 219,68;08.07.2023 04:00;Процедура завершена;;капитальный ремонт | очистные сооружения | сооружения канализации | вводной выключатель | ремонт | здание | сооружение | замена;https://www.roseltorg.ru/procedure/32312516182/1;да;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
32312451267;1;Замена вводных выключателей в РУ-0,4 кВ ТП здания воздуходувной станции на очистных сооружениях канализации по ул.1 Мая, 16 в г.Каменск-Уральский (капитальный ремонт);"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВОДОКАНАЛ КАМЕНСК- УРАЛЬСКИЙ""";6612019640;661201001;;;Коммерческие закупки и закупки по 223-ФЗ;66. Свердловская область;783 219,68;15.06.2023 04:00;Процедура завершена;;капитальный ремонт | очистные сооружения | сооружения канализации | вводной выключатель | ремонт | здание | сооружение | замена;https://www.roseltorg.ru/procedure/32312451267/1;да;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
32515221865;1;Выполнение работ по капитальному ремонту мягкой кровли объекта Мастерская, воздуходувная, насосная, для обеспечения нужд ПТП Кавминводские ОСК филиала ГУП СК «Ставрополькрайводоканал» - «Кавминводоканал»;"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ СТАВРОПОЛЬСКОГО КРАЯ ""СТАВРОПОЛЬКРАЙВОДОКАНАЛ""";2635040105;263501001;;;Корпоративные закупки и закупки субъектов 223-ФЗ (включая МСП);26. Ставропольский край;1 771 253,58;03.10.2025 10:00;Процедура завершена;;капитальный ремонт | насосная | воздуходувная кровля | мягкая кровля | ремонт кровли | ремонт кровли | услуги по ремонту | мягкая кровля;https://www.roseltorg.ru/procedure/32515221865/1;да;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
32515283358;1;"Оказание услуг по техническому обслуживанию механического оборудования воздуходувных агрегатов на Курьяновских очистных сооружениях АО ""Мосводоканал"" в 2026 году";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСВОДОКАНАЛ""";7701984274;770101001;;;Корпоративные закупки и закупки субъектов 223-ФЗ (включая МСП);77. г. Москва;27 355 002,92;16.10.2025 09:00;Процедура завершена;наименовании процедуры Конкурс в электро;ремонт оборудования | малый бизнес | средний бизнес | техническое обслуживание | замена фильтров | механическое оборудование | очистные сооружения | хозяйственно-бытовые стоки;https://www.roseltorg.ru/procedure/32515283358/1;да;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
32211707175;1;"Оказание услуг по техническому обслуживанию механического оборудования воздуходувных агрегатов Siemens Курьяновских очистных сооружений АО ""Мосводоканал"" в 2023 году";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСВОДОКАНАЛ""";7701984274;770101001;;;Закупки среди субъектов МСП;77. г. Москва;11 398 008,16;29.09.2022 09:00;Процедура завершена;наименовании процедуры Конкурс в электро;техническое обслуживание | очистные сооружения | оборудование сооружение | механическое оборудование | агрегата оборудование | оборудование | обслуживание | сооружение;https://www.roseltorg.ru/procedure/32211707175/1;да;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
0163300025024000143;1;Поставка снегоуборщика, бензопилы, триммера, воздуходувного ранцевого устройства для нужд муниципального бюджетного учреждения жилищно-коммунального хозяйства «Вяземское коммунальное управление» г. Вязьмы Смоленской области;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ВЯЗЕМСКИЙ РАЙОН"" СМОЛЕНСКОЙ ОБЛАСТИ";6722006531;672201001;;;Государственные закупки (44-ФЗ);67. Смоленская область;298 000,00;24.07.2024 09:00;Процедура завершена;;триммер бензиновый | воздуходувное устройство | бензопила цепная | снегоуборщик из триммера | устройство | эквивалент | триммер | бензопила;https://www.roseltorg.ru/procedure/0163300025024000143/1;сомнительно;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
SP9166799;1;Ремонт воздуходувного устройства;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «СПОРТИВНАЯ ШКОЛА ОЛИМПИЙСКОГО РЕЗЕРВА № 103 «ЮЖНОЕ ТУШИНО» ДЕПАРТАМЕНТА СПОРТА ГОРОДА МОСКВЫ;7733153226;773301001;;;Портал Поставщиков;77. г. Москва;10 050,00;15.10.2021 15:59;Процедура завершена;;устройство и ремонт | ремонт | устройство | воздуходувный | устройство и ремонт | ремонт | устройство | воздуходувный;https://www.roseltorg.ru/procedure/SP9166799/1;да;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
SP9404639;2;Воздуходувное устройство BG 86;Государственное бюджетное учреждение города Москвы Дом социального обслуживания «Обручевский» Департамента труда и социальной защиты населения города Москвы;7728021231;772801001;;;Портал Поставщиков;77. г. Москва;21 380,00;12.10.2022 17:33;Процедура завершена;;воздуходувное устройство | устройство | воздуходув | воздуходувный | воздуходувное устройство | устройство | воздуходув | воздуходувный;https://www.roseltorg.ru/procedure/SP9404639/2;да;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
32110350066;1;Выполнение работ по капитальному ремонту электродвигателя СТД-1250, 10кВ, 3000об/мин. совместно с возбудителем ВТ-20, а также ремонт возбудителя ВТ-20 с выполнением пусконаладочных работ силами подрядчика электродвигателя на месте эксплуатации в воздуходувной станции Южной аэрационной станции;ЕКАТЕРИНБУРГСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ВОДОПРОВОДНО-КАНАЛИЗАЦИОННОГО ХОЗЯЙСТВА;6608001915;667001001;;;Закупки среди субъектов МСП;66. Свердловская область;2 134 213,80;15.06.2021 08:00;Процедура завершена;наименовании процедуры;капитальный ремонт | пусконаладочные работы | ремонт электродвигателей | работа силы | подрядчики силы | ремонт | место | эксплуатация;https://www.roseltorg.ru/procedure/32110350066/1;да;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
SP9180965;3;Воздуходувное устройство STIHL BG 50;Государственное бюджетное учреждение дополнительного образования города Москвы «Детская школа искусств« Родник»;7724092520;772401001;;;Портал Поставщиков;77. г. Москва;14 990,00;09.11.2021 15:52;Процедура завершена;;малая механизация | воздуходувное устройство | техника механизация | устройство | техника | малый | механизация | воздуходувный;https://www.roseltorg.ru/procedure/SP9180965/3;да;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
SP9078459;2;Воздуходувное устройство STIHL BG 50;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСГАЗ""";7709919968;770901001;;;Портал Поставщиков;77. г. Москва;48 000,00;11.06.2021 15:01;Процедура завершена;;малая механизация | воздуходувное устройство | техника механизация | устройство | техника | малый | механизация | воздуходувный;https://www.roseltorg.ru/procedure/SP9078459/2;да;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
SP9071934;2;Воздуходувное устройство STIHL BG 50;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «ШКОЛА № 1298 «ПРОФИЛЬ КУРКИНО»;7733558487;773301001;;;Портал Поставщиков;77. г. Москва;32 000,00;04.06.2021 10:57;Процедура завершена;;воздуходувное устройство | дорожного инвентаря | оборудование | реагент | устройство | инвентарь | спецтехник | ЖКХ;https://www.roseltorg.ru/procedure/SP9071934/2;да;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
