stanciya;zakazchik_tip;inn;kpp;nomer_zakupki;predmet;summa;data_razmeshcheniya;okonchanie_podachi;klyuch;centrobezhnaya_mashina;tip_mashiny;kontakt_fio;kontakt_tel;kontakt_email;ssylka
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32312142312;Право заключения договора на поставку запасных частей к компрессору воздушному;787680,00₽;22.02.2023;;компрессор;нет;;Беляева В.М.;"87746119951;84815330441";BelyaevaVM@SAES.RU;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32312142312
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32312152893;Право заключения договора на поставку запасных частей к компрессорам в соответствии со спецификацией и техническим заданием;1878071,56₽;28.02.2023;;компрессор;нет;;Старостина О.Л.;87746119951;cz19@belnpp.ru;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32312152893
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32312151605;Право заключения договора на Клапаны самодействующие ПИК прямоточные для поршневых компрессоров;941084,52₽;28.02.2023;;компрессор;нет;поршневой/винтовой;Блюдова Е.А.;"87746119951;8136954321";uz-bea@ln.rosenergoatom.ru;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32312151605
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32312146727;Право заключения договора на Поставка комплектующих, мотопомп, компрессоров, насосов и станции насосной;4372530,25₽;27.02.2023;;компрессор;нет;насос;Кушнарева Е.Ю.;"87746119951;8639298772";kushnareva-ey@vdnpp.rosenergoatom.ru;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32312146727
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32312133622;Право заключения договора на Поставку масла компрессорного;2041453,44₽;20.02.2023;;компрессор,компрессорная;нет;;Ершов М.В.;87746119951;ershov@balaes.ru;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32312133622
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32312116041;Право заключения договора на выполнение работ по разработке рабочей документации по модернизации оборудования компрессорной испытания оболочки Калининской АЭС;2771019,56₽;14.02.2023;;компрессор,компрессорная;нет;;Алянина С.С.;87746119951;cherkasovass@knpp.ru;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32312116041
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32312105993;Согласование с головной материаловедческой организацией программы, заключений и решений по обследованию, оценки технического состояния, остаточного ресурса и обоснованию возможности продления срока службы оборудования электролизных установок первой и второй очереди, компрессорной открытого распределительного устройства - 750 Смоленской АЭС.;900000,00₽;09.02.2023;;компрессор,компрессорная;нет;;;"87746119951;84815330422";UdilovaLS@saes.ru;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32312105993
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32312092791;Право заключения договора на Проведение технического обслуживания дыхательных аппаратов, баллонов для сжатого воздуха и воздушных компрессоров;15887705,40₽;06.02.2023;;компрессор;нет;;Леденёв А.В.;"87746119951;80000000000";cz-lav@ln.rosenergoatom.ru;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32312092791
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32312087264;Право заключения договора на Поставка запасных частей к винтовым компрессорам;1016624,98₽;03.02.2023;;компрессор;нет;поршневой/винтовой;Серемак К.С.;"87746119951;8153244787";SeremakKS@kolnpp.rosenergoatom.ru;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32312087264
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32312122204;Право заключения договора на поставку агрегатов электронасосных центробежных с классом безопасности 3Н по НП-001-15.;32820000,00₽;15.02.2023;;центробежный;нет;центробежный насос/вентилятор;Мамяченкова А.Н.;87746119951;MamyachenkovaAN@saes.ru;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32312122204
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32312144226;Право заключения договора на поставку запасных частей к осевым, вертикальным насосам и агрегатам насосным центробежным артезианским по чертежам Балаковской АЭС;1254000,13₽;22.02.2023;;центробежный;нет;центробежный насос/вентилятор;;;;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32312144226
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32312120022;Право заключения договора на поставку насосов центробежных консольных;541999,99₽;15.02.2023;;центробежный;нет;центробежный насос/вентилятор;;;;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32312120022
КОЛЬСКАЯ АЭС-АВТО;дочернее общество;5117065288;;32312137140;Право заключения договора на поставку компрессора промышленного винтового;533500,40₽;21.02.2023;;компрессор;нет;поршневой/винтовой;;;;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32312137140
КОЛЬСКАЯ АЭС-АВТО;дочернее общество;5117065288;;32312133194;Право заключения договора на поставку компрессора с двигателем внутреннего сгорания;175000,00₽;20.02.2023;;компрессор;нет;;;;;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32312133194
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32312069415;Право заключения договора на поставка запасных частей к компрессорам в соответствии со спецификацией и техническим заданием;1878071,56₽;30.01.2023;;компрессор;нет;;Старостина О.Л.;87746119951;cz19@belnpp.ru;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32312069415
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32312051327;Право заключения договора на Поставка насосов и компрессоров различного типа согласно спецификации и техническому заданию;3987003,83₽;23.01.2023;;компрессор;нет;насос;Куликова Е.В.;87746119951;cz1@belnpp.ru;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32312051327
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32312048533;Право заключения договора на Поставка запасных частей к компрессорному оборудованию;3488689,07₽;20.01.2023;;компрессор,компрессорная;нет;;Мастихина Т.А.;87746119951;mastihina_ta@kunpp.ru;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32312048533
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32312048232;Право заключения договора на Поставка запчастей и фильтров к компрессору;212684,02₽;20.01.2023;;компрессор;нет;;Мастихина Т.А.;87746119951;mastihina_ta@kunpp.ru;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32312048232
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32312033863;Право заключения договора на поставку компрессоров систем промышленного кондиционирования в неснижаемый запас;1609872,00₽;16.01.2023;;компрессор;нет;;Евграфова А.С.;87746119951;evgrafova_as@knpp.ru;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32312033863
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32312044431;Право заключения договора на поставку запасных частей к компрессору ВШ-4,2/200;6756915,89₽;19.01.2023;;компрессор;нет;;Алексакова А.Е.;"87746119951;8453497082";aleksakovaae@balaes.ru;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32312044431
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32312074131;Право заключения договора на Техническое сопровождение работ по виброналадке турбоагрегатов энергоблоков № 1, 3, 4 Балаковской АЭС в период пусков после ремонта;5454769,85₽;31.01.2023;;турбоагрегат;нет;;;;;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32312074131
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32212002571;Право заключения договора на Поставка масла компрессорного;1221371,40₽;28.12.2022;;компрессор,компрессорная;нет;;;;;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32212002571
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32211988239;Право заключения договора на Поставка масла компрессорного в соответствии со спецификацией;1212455,52₽;26.12.2022;;компрессор,компрессорная;нет;;;;;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32211988239
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32211983267;Поставка запасных частей к компрессору;689400,00₽;23.12.2022;;компрессор;нет;;;;;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32211983267
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32211949820;Поставка блока управления и запасных частей для насосного и компрессорного оборудования;1856280,00₽;13.12.2022;;компрессор,компрессорная;нет;насос;;;;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32211949820
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32211993684;Право заключения договора на поставку ЗИП к центробежным насосам согласно спецификации и техническому заданию;2470439,97₽;27.12.2022;;центробежный;нет;центробежный насос/вентилятор;;;;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32211993684
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32211844098;Поставка запасных частей к компрессорному оборудованию на 2023 год;1195436,88₽;14.11.2022;;компрессор,компрессорная;нет;;;;;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32211844098
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32211804117;Право заключения договора на выполнение работ по теме: «Техническое обслуживание и ремонт компрессорного оборудования Kaeser Kompressoren».;631045,76₽;28.10.2022;;компрессор,компрессорная;нет;;;;;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32211804117
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32211766508;Право заключения договора на поставку запасных частей к компрессорам различного типа согласно спецификации и техническому заданию;931800,00₽;17.10.2022;;компрессор;нет;;;;;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32211766508
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32211766409;Поставка поршневого компрессора с ременным приводом FINI BK-119-270-7.5;522120,00₽;17.10.2022;;компрессор;нет;поршневой/винтовой;;;;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32211766409
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32211765830;Поставка плат для управления компрессором;636000,00₽;15.10.2022;;компрессор;нет;;;;;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32211765830
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32211763951;Право заключения договора на Поставка запасных частей к воздушному компрессору;1241855,40₽;14.10.2022;;компрессор;нет;;;;;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32211763951
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32211740426;Право заключения договора на поставку запасных частей для компрессора 2ВМ4-12/65;1023360,00₽;05.10.2022;;компрессор;нет;;;;;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32211740426
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32211797575;Право заключения договора на Техническое сопровождение работ по виброналадке турбоагрегатов энергоблоков № 1-4 Балаковской АЭС в период пусков после ремонта;6624217,00₽;27.10.2022;;турбоагрегат;нет;;;;;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32211797575
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32211754309;Право заключения договора на Оказание услуг по наладке и снятию характеристик автоматизированной системы регулирования и защиты (АСРЗ) до и после ремонта турбоагрегатов энергоблоков №1,2 Калининской АЭС;7195806,02₽;11.10.2022;;турбоагрегат;нет;;;;;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32211754309
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32211743815;Право заключения договора на выполнение работ по определению эксплуатационных перемещений подшипниковых опор турбоагрегата К-1000-60/3000 блока № 4, расчет предварительных расцентровок роторов и виброналадка турбоагрегата в период ППР-2023;1340100,97₽;06.10.2022;;турбоагрегат;нет;;;;;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32211743815
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32211727224;Право заключения договора на Поставка запасных частей к компрессорному оборудованию 3 кл. безопасности;12229142,40₽;29.09.2022;;компрессор,компрессорная;нет;;;;;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32211727224
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32211718529;Право заключения договора на поставку запасных частей к компрессору;535139,86₽;27.09.2022;;компрессор;нет;;;;;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32211718529
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32211709225;Право заключения договора на Поставка компрессорного оборудования;246480,02₽;22.09.2022;;компрессор,компрессорная;нет;;;;;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32211709225
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32211702361;Право заключения договора на Клапаны самодействующие ПИК прямоточные для поршневых компрессоров;782471,76₽;20.09.2022;;компрессор;нет;поршневой/винтовой;;;;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32211702361
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32211729496;Право заключения договора на поставку насосов шестерённых, вихревых, погружных, центробежных;4289264,93₽;30.09.2022;;центробежный;нет;центробежный насос/вентилятор;;;;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32211729496
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32211708939;Право заключения договора на Поставка запасных частей к центробежным секционным насосам;864247,99₽;22.09.2022;;центробежный;нет;центробежный насос/вентилятор;;;;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32211708939
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32211704662;Право заключения договора на Вентилятор центробежный и комплектующие;316920,06₽;20.09.2022;;центробежный;нет;центробежный насос/вентилятор;;;;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32211704662
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32211726697;Право заключения договора на Техническое сопровождение работ по виброналадке турбоагрегатов энергоблоков № 1-4 Балаковской АЭС в период пусков после ремонта;6624217,00₽;29.09.2022;;турбоагрегат;нет;;;;;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32211726697
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32211628116;Право заключения договора на поставку масла компрессорного;598608,00₽;17.08.2022;;компрессор,компрессорная;нет;;;;;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32211628116
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32211617010;Право заключения договора на поставку запасных частей к компрессору ЭКЗ-1;30857678,40₽;12.08.2022;;компрессор;нет;;;;;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32211617010
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32211632537;Право заключения договора на Поставка центробежных насосов;118200,00₽;19.08.2022;;центробежный;нет;центробежный насос/вентилятор;;;;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32211632537
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32211625570;Право заключения договора на Поставку запасных частей к насосу центробежному двухстороннего входа типа Д;19999056,00₽;17.08.2022;;центробежный;нет;центробежный насос/вентилятор;;;;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32211625570
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32211616248;Право заключения договора на поставку насосов центробежных подачи жидкостей;1334433,38₽;12.08.2022;;центробежный;нет;центробежный насос/вентилятор;;;;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32211616248
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32211637365;Право заключения договора на выполнение работ по определению эксплуатационных перемещений подшипниковых опор турбоагрегата К-1000-60/3000 блока № 4, расчет предварительных расцентровок роторов и виброналадка турбоагрегата в период ППР-2023;1340100,97₽;22.08.2022;;турбоагрегат;нет;;;;;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32211637365
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32211575792;Право заключения договора на проектно-изыскательские работы по сооружению и модернизации АС. Выполнение работ по разработке рабочей документации по модернизациисистем вентиляции, обслуживающих помещения АБ СБ1-3 и общеблочных блоков 1-4 с внедрением компрессорно-конденсаторного блока с контуром автономного холодоснабжения;3622906,10₽;26.07.2022;;компрессор,компрессорная;нет;;;;;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32211575792
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32211584251;Право заключения договора на поставку станции компрессорной с оказанием услуг по шефмонтажу и шефналадке;29172653,93₽;29.07.2022;;компрессор,компрессорная;нет;;;;;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32211584251
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32211565284;Право заключения договора на поставку запасных частей к компрессорному оборудованию;11704719,24₽;21.07.2022;;компрессор,компрессорная;нет;;;;;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32211565284
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32211553757;Право заключения договора на поставку компрессоров;95874906,00₽;15.07.2022;;компрессор;нет;;;;;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32211553757
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32211546085;Право заключения договора на выполнение работ по виброналадке и исследованию эксплуатационных расцентровок турбоагрегата К-1000-60/1500 бл. № 1, 2 в период ППР 2023;4017110,40₽;13.07.2022;;турбоагрегат;нет;;;;;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32211546085
АТОМЭНЕРГОРЕМОНТ;дочернее общество;5029112443;;32211554654;Право заключения договора на поставка компрессора дизельного;5966058,32₽;18.07.2022;;компрессор;нет;поршневой/винтовой;;;;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32211554654
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32211495474;Право заключения договора на Поставка компрессора для дизель-генераторной станции;2797483,54₽;23.06.2022;;компрессор;нет;;;;;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32211495474
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32211500102;Право заключения договора на Поставка запасных частей компрессоров типа ЭКПВ согласно спецификации и техническому заданию;5795644,80₽;24.06.2022;;компрессор;нет;;;;;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32211500102
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32211499422;Поставка запасных частей к холодильному и компрессорному оборудованию на 2022 год;1198776,00₽;24.06.2022;;компрессор,компрессорная;нет;;;;;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32211499422
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32211490633;Поставка компрессоров;1050558,60₽;22.06.2022;;компрессор;нет;;;;;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32211490633
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32211483258;Поставка запасных частей к компрессору АВШ 6/8 согласно спецификации и техническому заданию;689860,80₽;20.06.2022;;компрессор;нет;;;;;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32211483258
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32211480823;Поставка запасных частей к импортным компрессорам на 2022 год;1988041,89₽;17.06.2022;;компрессор;нет;;;;;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32211480823
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32211468596;Право заключения договора на поставку запасных частей к компрессору ВШ-4,2/200;7324299,97₽;14.06.2022;;компрессор;нет;;;;;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32211468596
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32211438994;Право заключения договора на поставку масла компрессорного;1442737,50₽;02.06.2022;;компрессор,компрессорная;нет;;;;;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32211438994
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32211432229;Право заключения договора на Поставку запасных частей к электрокомпрессору ЭКЗ-1;1072653,60₽;31.05.2022;;компрессор;нет;;;;;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32211432229
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32211380987;Поставка запасных частей к компрессору;941846,40₽;13.05.2022;;компрессор;нет;;;;;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32211380987
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32211380022;Право заключения договора на Поставка запасных частей к насосам и компрессорам различного типа согласно спецификации и техническому заданию;1887272,02₽;13.05.2022;;компрессор;нет;насос;;;;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32211380022
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32211391685;Право заключения договора на Поставка воздуходувки согласно Технического задания и Спецификации;6228000,00₽;18.05.2022;;воздуходувка;да;воздуходувка;;;;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32211391685
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32211348864;Право заключения договора на Выполнение работ по подготовке обоснования инвестиций (ОБИН) азотной компрессорной станции (АКС);4977766,91₽;27.04.2022;;компрессор,компрессорная;нет;;;;;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32211348864
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32211285346;Право заключения договора на Обследование, оценка технического состояния, остаточного ресурса и обоснование возможности продления срока службы оборудования и трубопроводов электролизных установок первой и второй очереди, компрессорной открытого распределительного устройства (ОРУ-750) Смоленской АЭС.;9730788,60₽;05.04.2022;;компрессор,компрессорная;нет;;;;;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32211285346
