nazvanie;inn;nazvanie_egrul;kpp;region;okved;status;rukovoditel;dolzhnost;kandidatov;pochemu
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ОРДЕНА ЛЕНИНА НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ И КОНСТРУКТОРСКИЙ ИНСТИТУТ ЭНЕРГОТЕХНИКИ ИМЕНИ Н.А. ДОЛЛЕЖАЛЯ""";7708698473;"АО ""НИКИЭТ""";770801001;г Москва;72.19.9;ACTIVE;Каплиенко Андрей Владимирович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР - ГЕНЕРАЛЬНЫЙ КОНСТРУКТОР;1;один кандидат
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПЕТРОЛЕСПОРТ""";7805014746;"АО ""ПЕТРОЛЕСПОРТ""";780501001;г Санкт-Петербург;52.24.1;ACTIVE;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ГЛОБАЛ ПОРТС""";;2;несколько кандидатов, взят первый
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРИБАЛТИЙСКИЙ СУДОСТРОИТЕЛЬНЫЙ ЗАВОД ""ЯНТАРЬ""";3900000111;"АО ""ПСЗ ""ЯНТАРЬ""";390601001;Калининградская обл;30.11;ACTIVE;Самарин Илья Сергеевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1;один кандидат
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРИМОРСКИЙ ЗАВОД""";2503026908;"АО ""ДВЗ ""ЗВЕЗДА""";250301001;Приморский край;33.15;ACTIVE;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СОВРЕМЕННЫЕ ТЕХНОЛОГИИ СУДОСТРОЕНИЯ""";;5;несколько кандидатов, взят первый
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ""СЕВЕРНОЕ МАШИНОСТРОИТЕЛЬНОЕ ПРЕДПРИЯТИЕ""";2902059091;"АО ""ПО ""СЕВМАШ""";290201001;Архангельская обл;30.11;ACTIVE;Будниченко Михаил Анатольевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1;один кандидат
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРОМЫШЛЕННЫЕ ИННОВАЦИИ""";7725524660;"АО ""ПРОМИНН""";772401001;г Москва;63.11.9;ACTIVE;Лыков Андрей Николаевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;5;несколько кандидатов, взят первый
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РАВЕНСТВО""";7805395957;"АО ""РАВЕНСТВО""";780501001;г Санкт-Петербург;26.51.2;ACTIVE;Зубаков Игорь Юрьевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;5;несколько кандидатов, взят первый
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РАДИЕВЫЙ ИНСТИТУТ ИМЕНИ В.Г. ХЛОПИНА""";7802846922;"АО ""РАДИЕВЫЙ ИНСТИТУТ ИМ. В.Г. ХЛОПИНА""";780201001;г Санкт-Петербург;72.19.9;ACTIVE;Волков Олег Игоревич;ВРЕМЕННО ИСПОЛНЯЮЩИЙ ОБЯЗАННОСТИ ГЕНЕРАЛЬНОГО ДИРЕКТОРА;1;один кандидат
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОСАТОМ ВОЗОБНОВЛЯЕМАЯ ЭНЕРГИЯ""";9701087623;"АО ""РОСАТОМ ВОЗОБНОВЛЯЕМАЯ ЭНЕРГИЯ""";770501001;г Москва;27.11.12;ACTIVE;Назаров Григорий Анатольевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1;один кандидат
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОСАТОМ ИНФРАСТРУКТУРНЫЕ РЕШЕНИЯ""";7706757331;"АО ""РИР""";770601001;г Москва;35.30.11;ACTIVE;Сухотина Ксения Анатольевна;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1;один кандидат
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОСАТОМ СЕРВИС""";7705966318;"АО ""РОСАТОМ СЕРВИС""";772801001;г Москва;35.11.3;ACTIVE;Сальков Евгений Александрович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1;один кандидат
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЙ КОНЦЕРН ПО ПРОИЗВОДСТВУ ЭЛЕКТРИЧЕСКОЙ И ТЕПЛОВОЙ ЭНЕРГИИ НА АТОМНЫХ СТАНЦИЯХ""";7721632827;"АО ""КОНЦЕРН РОСЭНЕРГОАТОМ""";772101001;г Москва;35.11.3;ACTIVE;Шутиков Александр Викторович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1;один кандидат
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЙ КОНЦЕРН ПО ПРОИЗВОДСТВУ ЭЛЕКТРИЧЕСКОЙ И ТЕПЛОВОЙ ЭНЕРГИИ НА АТОМНЫХ СТАНЦИЯХ"" ФИЛИАЛ «КОЛЬСКАЯ АТОМНАЯ СТАНЦИЯ»";;;;;;;;;;кандидатов нет
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЙ КОНЦЕРН ПО ПРОИЗВОДСТВУ ЭЛЕКТРИЧЕСКОЙ И ТЕПЛОВОЙ ЭНЕРГИИ НА АТОМНЫХ СТАНЦИЯХ"" Филиал «Калининская атомная станция»";;;;;;;;;;кандидатов нет
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РУСАТОМ ИНФРАСТРУКТУРНЫЕ РЕШЕНИЯ""";;;;;;;;;;кандидатов нет
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РУСАТОМ СЕРВИС""";;;;;;;;;;кандидатов нет
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""САРОВСКАЯ ГЕНЕРИРУЮЩАЯ КОМПАНИЯ""";5254082550;"АО ""СГК""";525401001;Нижегородская обл;35.30.11;ACTIVE;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ОБЕСПЕЧЕНИЕ РФЯЦ-ВНИИЭФ""";;1;один кандидат
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СЕВЕРО-ВОСТОЧНЫЙ РЕМОНТНЫЙ ЦЕНТР""";4102009338;"АО ""СВРЦ""";410201001;Камчатский край;33.15;ACTIVE;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СОВРЕМЕННЫЕ ТЕХНОЛОГИИ СУДОСТРОЕНИЯ""";;1;один кандидат
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СИБИРСКИЙ ХИМИЧЕСКИЙ КОМБИНАТ""";7024029499;"АО ""СХК""";702401001;Томская обл;24.46;ACTIVE;Котов Сергей Алексеевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1;один кандидат
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТВЭЛ-СТРОЙ""";7726523814;"АО ""ТВЭЛ-СТРОЙ""";772401001;г Москва;41.20.9;ACTIVE;Манакин Сергей Валерьевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;2;несколько кандидатов, взят первый
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ФИНАНСОВО-ПРОЕКТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ МОСКОВСКОЙ ОБЛАСТИ""";;;;;;;;;;кандидатов нет
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ХИАГДА""";0302001219;"АО ""ХИАГДА""";030201001;Респ Бурятия;07.21.11;ACTIVE;Михайлов Анатолий Николаевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1;один кандидат
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЦЕНТР СУДОРЕМОНТА ""ДАЛЬЗАВОД""";2536210349;"АО ""ЦСД""";253601001;Приморский край;33.15;ACTIVE;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СОВРЕМЕННЫЕ ТЕХНОЛОГИИ СУДОСТРОЕНИЯ""";;1;один кандидат
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЦЕНТР СУДОРЕМОНТА ""ЗВЕЗДОЧКА""";2902060361;"АО ""ЦС ""ЗВЕЗДОЧКА""";290201001;Архангельская обл;30.11;ACTIVE;Маричев Сергей Юрьевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1;один кандидат
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЧЕПЕЦКИЙ МЕХАНИЧЕСКИЙ ЗАВОД""";1829008035;АО ЧМЗ;183701001;Удмуртская Респ;25.30.22;ACTIVE;Чинейкин Сергей Владимирович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;2;несколько кандидатов, взят первый
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЭЛЬКОНСКИЙ ГОРНО-МЕТАЛЛУРГИЧЕСКИЙ КОМБИНАТ""";1402047530;"АО ""ЭЛЬКОНСКИЙ ГМК""";140201001;Респ Саха (Якутия);24.41;ACTIVE;Брук Михаил Львович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1;один кандидат
"АКЦИОНЕРНОЕ ОБЩЕСТВО ИНЖИНИРИНГОВАЯ КОМПАНИЯ ""АСЭ""";5260214123;"АО ИК ""АСЭ""";526001001;Нижегородская обл;71.11.1;LIQUIDATED;Локшин Александр Маркович;ПРЕЗИДЕНТ;1;один кандидат
"АКЦИОНЕРНОЕ ОБЩЕСТВО ПО НАЛАДКЕ, СОВЕРШЕНСТВОВАНИЮ ЭКСПЛУАТАЦИИ И ОРГАНИЗАЦИИ УПРАВЛЕНИЯ АТОМНЫХ СТАНЦИЙ ""АТОМТЕХЭНЕРГО""";5029106714;"АО ""АТОМТЕХЭНЕРГО""";770501001;г Москва;35.11.3;ACTIVE;Марков Юрий Михайлович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1;один кандидат
"АКЦИОНЕРНОЕ ОБЩЕСТВО ЦЕНТР СУДОРЕМОНТА ""ЗВЕЗДОЧКА""";2902060361;"АО ""ЦС ""ЗВЕЗДОЧКА""";290201001;Архангельская обл;30.11;ACTIVE;Маричев Сергей Юрьевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1;один кандидат
"АО ""33 СРЗ""";3901500276;"АО ""33 СРЗ""";390101001;Калининградская обл;33.15;ACTIVE;Касьянов Олег Вячеславович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1;один кандидат
"АО ""АЭП""";;;;;;;;;;кандидатов нет
"АО ""Арктикгаз"" ДКС ""Яро-Яхинского НГКМ""";;;;;;;;;;кандидатов нет
"АО ""Завод ""Киров-Энергомаш""";7805060301;"АО ""ЗАВОД ""КИРОВ-ЭНЕРГОМАШ""";780501001;г Санкт-Петербург;28.11.2;ACTIVE;Отти Олег Петрович;ДИРЕКТОР;5;несколько кандидатов, взят первый
"АО ""КАЛУЖСКИЙ ЗАВОД РЕМПУТЬМАШ""";4029032450;"АО ""РПМ""";402901001;Калужская обл;30.20.31;ACTIVE;Дремов Павел Германович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;2;несколько кандидатов, взят первый
