employer;hits;queries;agency;profile_match;inn;egrul_name;okved;region;ruk;ruk_post;match_score;sugg_total
Сахалин - Остров Возможностей;3;начальник компрессорной станции;;;;;;;;;;1
Газпром газомоторное топливо;3;начальник компрессорной станции;;да;3905078834;"ООО ""ГАЗПРОМ ГАЗОМОТОРНОЕ ТОПЛИВО""";46.71.2;г Санкт-Петербург;Гречанюков Олег Александрович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;8
ООО Алтайгидромаркет;2;"главный инженер; главный механик";;;2222834709;"ООО ""АЛТАЙГИДРОМАРКЕТ""";45.31.1;Алтайский край;Федосеев Дмитрий Юрьевич;ДИРЕКТОР;1.0;1
ООО Престиж;2;"главный инженер; главный механик";;;1512010853;"ООО ""ПРЕСТИЖ""";11.01.4;Респ Северная Осетия - Алания;Джигкаев Марат Викторович;ДИРЕКТОР;1.0;8
ООО Феникс;2;"главный инженер; главный энергетик";;;7838319768;"ООО ""ФЕНИКС""";52.24.2;г Санкт-Петербург;Мосоян Михаил Погосович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;8
ООО Плитвуд;2;"главный инженер; главный механик";;;3525401287;"ООО ""ПЛИТВУД""";16.21.11;Вологодская обл;Паршаков Андрей Иванович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;4
Орикс, ГК;2;"главный инженер; главный энергетик";;;7714491340;"ООО ""ОРИКС""";70.22;г Москва;Нечаев Андрей Андреевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;0
ООО Арт Проект;2;главный инженер;;;9709094037;"ООО ""АРТ ПРОЕКТ""";78.30;г Москва;Ластовец Дмитрий Валентинович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;8
Гос. корп. Научно-исследовательский и конструкторский институт радиоэлектронной техники (Н;2;главный инженер;;;;;;;;;;0
ООО Виркэн-Рус;2;"главный инженер; главный механик";;;3321017918;"ООО ""ВИРКЭН-РУС""";22.23.9;Владимирская обл;Сангаре Карим;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;3
ООО Марьянская Фабрика Гофротары;2;"главный инженер; главный механик";;да;2309153662;"ООО ""МАРЬЯНСКАЯ ФАБРИКА ГОФРОТАРЫ""";17.21;Краснодарский край;Федосеев Альберт Темирланович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;1
АУ УР СК Чекерил;2;"главный инженер; главный энергетик";;;1841003499;"АУ УР СК ""ЧЕКЕРИЛ""";93.19;Удмуртская Респ;Башкиров Андрей Рудольфович;ДИРЕКТОР;1.0;1
DACHA GROUP;2;"главный инженер; главный механик";;;;;;;;;;0
Министерство энергетики, промышленности и связи Ставропольского края;2;"главный инженер; главный энергетик";;;2635118217;МИНПРОМ КРАЯ;84.11.21;Ставропольский край;Айдамиров Имран Омарович;ИСПОЛНЯЮЩИЙ ОБЯЗАННОСТИ МИНИСТРА;0.17;1
DoubleTree by Hilton Tyumen;2;"главный инженер; главный энергетик";;;;;;;;;;0
ООО Газпром ТЕХ комплексные системы;2;главный инженер;;да;7802952430;"ООО ""ГАЗПРОМ ТЕХ КОМПЛЕКСНЫЕ СИСТЕМЫ""";46.52;г Санкт-Петербург;Антонов Андрей Александрович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;1
Norwood;2;"главный инженер; главный механик";;;1101036118;"ООО ""НОРВУД КОМИ""";16.10.1;Респ Коми;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗИРИКОМ""";;0.0;2
ООО Газпром сеть АГЗС;2;"главный инженер; главный энергетик";;да;3017025584;"ООО ""ГАЗПРОМ СЕТЬ АГЗС""";47.30;Астраханская обл;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ СЕТЬ АЗС""";;1.0;1
ООО Югтехэнергострой;2;"главный инженер; главный механик";;да;2312314486;"ООО ""ЮТЭС""";41.20;Краснодарский край;Абдухаликов Муслим Омарович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;0.0;1
ЮНИС, Группа компаний;2;главный инженер;;;5024139339;"АО ""ЮНИС""";49.39.39;Московская обл;Ефимов Александр Леонидович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;0
ООО ЭКСПРЕСС;2;"главный инженер; главный механик";;;7810590706;"ООО ""ЭКСПРЕСС""";56.10;г Санкт-Петербург;Артебякин Виктор Валентинович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;8
ООО АБТ;2;"главный инженер; главный энергетик";;;;;;;;;;8
АО Сибирско - Уральская энергетическая компания;2;"главный инженер; главный энергетик";;;7205011944;"АО ""СУЭНКО""";35.12.1;Тюменская обл;Логвиненко Дмитрий Петрович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;0.0;1
ООО БауИнвестГрупп;2;"главный инженер; главный энергетик";;;5902225932;"ООО ""БАУИНВЕСТГРУПП""";68.20;Пермский край;Сбоев Андрей Александрович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;1
ООО Технопарк;2;"главный инженер; главный механик";;;0269046650;"ООО ""ТЕХНОПАРК""";68.10.2;Ленинградская обл;Минина Наталья Львовна;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;8
«Почта России», Информационные технологии;2;"главный инженер; главный энергетик";;;7724490000;"АО ""ПОЧТА РОССИИ""";53.10.9;г Москва;Волков Михаил Юрьевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;0
ООО Проектно-Технологические Решения;2;главный инженер;;;;;;;;;;1
ООО Инженерный центр ПрофЭнергия;2;"главный инженер; главный энергетик";;;5038089582;"ООО ""ИНЖЕНЕРНЫЙ ЦЕНТР ""ПРОФЭНЕРГИЯ""";71.20.4;г Москва;Туляков Рамиль Раилович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;1
ООО Солард;2;"главный инженер; главный энергетик";;;5022072382;"ООО ""СОЛАРД""";01.50;Московская обл;Чернявская Ирина Борисовна;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;8
Читинский филиал ФГКУ Росгранстрой;2;"главный инженер; главный энергетик";;;;;;;;;;0
ООО БиДжет;2;"главный инженер; главный энергетик";;;7733834472;"ООО ""БИДЖЕТ""";52.23;Московская обл;Бутримов Алексей Владимирович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;1
ПАО Удмуртнефть имени В.И. Кудинова;2;главный энергетик;;да;1831034040;"ПАО ""УДМУРТНЕФТЬ"" ИМ. В.И. КУДИНОВА";06.10.1;Удмуртская Респ;Топал Андрей Юрьевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;0.67;1
ЛУКОЙЛ;2;"главный энергетик; начальник компрессорной станции";;;7708004767;"ПАО ""ЛУКОЙЛ""";19.20.1;г Москва;Кочкуров Сергей Алексеевич;ГЛАВНЫЙ ИСПОЛНИТЕЛЬНЫЙ ДИРЕКТОР;1.0;8
ПАО МегаФон, Инженерные;2;главный энергетик;;;7812014560;"ПАО ""МЕГАФОН""";61.20.1;г Москва;Помбухчан Хачатур Эдуардович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;0
ООО ЛукБелОйл;2;главный энергетик;;;6454044627;"ООО ""ЛУКБЕЛОЙЛ""";06.10.1;Саратовская обл;Зотов Алексей Николаевич;ИСПОЛНИТЕЛЬНЫЙ ДИРЕКТОР;1.0;1
НОВАТЭК;2;"главный энергетик; начальник компрессорной станции";;;6316031581;"ПАО ""НОВАТЭК""";19.20.9;Ямало-Ненецкий АО;Михельсон Леонид Викторович;ПРЕДСЕДАТЕЛЬ ПРАВЛЕНИЯ;1.0;8
ООО Дейри;2;"главный энергетик; главный механик";;;0273951421;"ООО ""ДЕЙРИ""";10.51.2;Респ Башкортостан;Дятчин Олег Николаевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;8
RWB (Wildberries Russ);2;главный энергетик;;;;;;;;;;0
ООО Надежная Нерудная Компания;2;"главный энергетик; главный механик";;;2311309892;"ООО ""ННК ГРУПП""";46.73.6;Краснодарский край;Коломейцева Анаида Грачиковна;ДИРЕКТОР;0.0;2
ООО Столичная бумага;2;"главный энергетик; главный механик";;;7713405612;"ООО ""СТОЛИЧНАЯ БУМАГА""";17.22;г Москва;Кабанов Василий Геннадьевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;3
ООО Малтат;2;"главный энергетик; начальник компрессорной станции";;;2460011855;"ООО ""МАЛТАТ""";68.20.2;Красноярский край;Нусс Владимир Николаевич;Генеральный директор;1.0;8
АО Транснефть-Верхняя Волга;2;"главный энергетик; начальник компрессорной станции";;да;5260900725;"АО ""ТРАНСНЕФТЬ - ВЕРХНЯЯ ВОЛГА""";49.50.11;Нижегородская обл;Погодин Дмитрий Александрович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;0.5;8
МАГНИТ, Розничная сеть. Офис;2;"главный энергетик; главный механик";;;2309085638;"ПАО ""МАГНИТ""";68.20.21;Краснодарский край;Случевский Евгений Сергеевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;0
ПАО ЛОРП;2;главный механик;;;1435029085;"ПАО ""ЛОРП""";50.40.1;Респ Саха (Якутия);Ларионов Сергей Александрович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;1
ООО Форсаж;2;"главный механик; начальник компрессорной станции";;;6673251746;"ООО ""ФОРСАЖ""";68.20.21;Свердловская обл;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОЛЛИНО МЕНЕДЖМЕНТ""";;1.0;8
ООО Ястро-Агро;2;главный механик;;да;5530005596;"ООО ""ЯСТРО-АГРО""";01.11.1;Омская обл;Плетюк Максим Николаевич;ДИРЕКТОР;1.0;1
ООО ЮТИМ;2;главный механик;;;7724214546;"ООО ""ЮТИМ""";82.92;г Москва;Крылова Анна Александровна;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;8
ООО Фан Фан Бейкери;2;главный механик;;;;;;;;;;1
Группа Компаний CAVAG;2;главный механик;;;;;;;;;;0
АО Нэфис Косметикс;2;начальник компрессорной станции;;;1653005126;"АО ""НЭФИС КОСМЕТИКС""";20.41.3;Респ Татарстан;Лаврикова Дина Фаридовна;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;1
АО МодульНефтеГазИнжиниринг;2;начальник компрессорной станции;;да;0278206011;"АО ""МНГИ""";09.10.9;Респ Башкортостан;Кальницкий Вадим Викторович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;0.0;1
ООО ГСП-1;2;начальник компрессорной станции;;;7810443290;"ООО ""ГСП-1""";42.21;г Санкт-Петербург;Сильченко Михаил Сергеевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;3
ООО Концессии водоснабжения;2;начальник компрессорной станции;;;3460019060;"ООО ""КОНЦЕССИИ ВОДОСНАБЖЕНИЯ""";36.00.1;Волгоградская обл;Рубцов Дмитрий Владимирович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;5
ОАО Птицефабрика Рефтинская;2;начальник компрессорной станции;;да;6603025045;"ОБОСОБЛЕННОЕ СТРУКТУРНОЕ ПОДРАЗДЕЛЕНИЕ ОАО ""ПТИЦЕФАБРИКА ""РЕФТИНСКАЯ"" МЯСОПЕРЕРАБАТЫВАЮЩИЙ КОМПЛЕКС ""РЕФТИНСКИЙ""";;Свердловская обл;;;1.0;1
АО Газпром Диагностика;2;начальник компрессорной станции;;да;4345083100;"АО ""ГАЗПРОМ ДИАГНОСТИКА""";71.20.9;г Санкт-Петербург;Скрынников Сергей Владимирович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;1
ЗАО Канонфарма продакшн;2;начальник компрессорной станции;;;5050026081;"ЗАО ""КАНОНФАРМА ПРОДАКШН""";21.20.1;Московская обл;Иванов Юрий Павлович;ПРЕЗИДЕНТ;1.0;1
АО Камский металлургический комбинат ТЭМПО;2;начальник компрессорной станции;;да;1650239253;"АО ""КМК ""ТЭМПО""";24.10.6;Респ Татарстан;Шарифуллин Радик Фаилович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;0.25;1
Амур Минералс;2;начальник компрессорной станции;;;2721125810;"ООО ""АМУР МИНЕРАЛС""";07.29.1;Хабаровский край;Батаев Александр Николаевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;2
ИНТЕР РАО ОЦО. Электрогенерация;2;начальник компрессорной станции;;;;;;;;;;0
ООО Проектно-инжиниринговая компания Архиндустрия;1;главный инженер;;;6670511178;"ООО ""ПИК АРХИНДУСТРИЯ""";71.11;Свердловская обл;Мартынович Алевтина Геннадьевна;ДИРЕКТОР;0.5;1
Смирнов Эдуард;1;главный инженер;;;;;;;;;;8
АО Ярославльводоканал;1;главный инженер;;да;;;;;;;;2
Группа компаний АГРОЭКО;1;главный инженер;;да;3664204173;"ООО ""ГК АГРОЭКО""";70.22;Воронежская обл;Кочура Елена Владимировна;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;0.5;1
ООО УДМ;1;главный инженер;;;;;;;;;;8
ООО Росцинк;1;главный инженер;;;3123177613;"ООО НПП ""РОСЦИНК""";46.72;Белгородская обл;Торохов Владимир Иванович;ДИРЕКТОР;1.0;4
ООО СК МСТРОЙ;1;главный инженер;;;3528322065;"ООО ""СК ""МСТРОЙ""";41.20;Вологодская обл;Петровых Дмитрий Сергеевич;ДИРЕКТОР;1.0;8
ООО Р.О.С.Строй;1;главный инженер;;;2130096949;"ООО ""Р.О.С.СТРОЙ""";77.32;Чувашская Республика - Чувашия;Александров Павел Владимирович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;8
ООО ЭНЕРГОАУДИТКОНСАЛТИНГ;1;главный инженер;;да;5836680414;"ООО ""ЭНЕРГОАУДИТКОНСАЛТИНГ""";42.22;Пензенская обл;Кочергин Александр Валерьевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;7
АМАКС Премьер отель;1;главный инженер;;;;;;;;;;0
ООО Кисловодский центральный рынок;1;главный инженер;;;;;;;;;;1
БОГАЧЕВ МЯСНОЙ ДВОР;1;главный инженер;;;;;;;;;;0
ФКУ ГБ МСЭ по Республике Татарстан (Татарстан) Минтруда России;1;главный инженер;;;1657051250;"ФКУ ""ГБ МСЭ ПО РЕСПУБЛИКЕ ТАТАРСТАН (ТАТАРСТАН)"" МИНТРУДА РОССИИ";86.10;Респ Татарстан;Низамов Ригель Халяфович;РУКОВОДИТЕЛЬ - ГЛАВНЫЙ ЭКСПЕРТ ПО МЕДИКО - СОЦИАЛЬНОЙ ЭКСПЕРТИЗЕ;1.0;3
ИП Ревенко Ольга Владимировна;1;главный инженер;;;;;;;;;;8
АО Саратовский Завод РМК;1;главный инженер;;да;;;;;;;;3
ИП Соколовская Наталья Ивановна;1;главный инженер;;;;;;;;;;3
АО Северное Молоко;1;главный инженер;;да;3509010494;"АО ""СЕВЕРНОЕ МОЛОКО""";10.51.9;Вологодская обл;Ночёвка Антон Алексеевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;1
Антресольная Мастерская;1;главный инженер;;;;;;;;;;0
ООО Михайловский карьер;1;главный инженер;;да;6646012280;"ООО ""МИХАЙЛОВСКИЙ КАРЬЕР""";08.11.2;Свердловская обл;Шевкунов Александр Сергеевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;8
ООО ЦОТЭБ;1;главный инженер;;;7722470216;"ООО ""ЦОТЭБ""";85.30;г Москва;Коломейченко Ангелина Евгеньевна;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;3
ООО ПРОМТЕХНОЛОГИЯ;1;главный инженер;;;6027070158;"ООО ""ПРОМТЕХНОЛОГИЯ""";46.90;Псковская обл;Бабенко Светлана Борисовна;ДИРЕКТОР;1.0;8
АО Поиск Золото;1;главный инженер;;;1420005042;"АО ""ПОИСК ЗОЛОТО""";24.41;Респ Саха (Якутия);Каздобин Андрей Витальевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;1
ООО Нижнетагильская птицефабрика;1;главный инженер;;да;6623015077;"ООО ""НТПФ""";01.47.2;Свердловская обл;Брехунец Александр Анатольевич;ДИРЕКТОР;0.0;1
ООО Долсо;1;главный инженер;;;7725716323;"ООО ""ДОЛСО""";78.10;г Москва;Максимова Анна Владимировна;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;8
ООО БИВЕР ГРУПП;1;главный инженер;;;7721757304;"ООО ""БИВЕР ГРУПП""";71.11.1;г Москва;Макеев Виктор Александрович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;6
ООО Парижская Коммуна;1;главный инженер;;;3816010418;"ООО ""ПАРИЖСКАЯ КОММУНА""";01.1;Иркутская обл;Приклонская Наталья Валерьевна;ДИРЕКТОР;1.0;8
ООО СТРОЙПРОЕКТ;1;главный инженер;;;7811355293;"ООО ""СТРОЙПРОЕКТ""";43.33;г Санкт-Петербург;;;1.0;8
ООО Адванс Групп;1;главный инженер;;;3525434349;"ООО ""АДВАНС ГРУПП""";71.12;Вологодская обл;Корякин Василий Васильевич;ДИРЕКТОР;1.0;8
ООО УК Жилые кварталы;1;главный инженер;;;1841098765;"ООО ""УК ""ЖИЛЫЕ КВАРТАЛЫ""";68.32;Удмуртская Респ;Коземаслов Александр Николаевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;2
ООО Султан;1;главный инженер;;;7202235008;"ООО ""СУЛТАН""";49.31.2;Тюменская обл;Мамедли Элвин Эльданиз Оглы;ДИРЕКТОР;1.0;8
ООО СМГ;1;главный инженер;;;;;;;;;;8
ООО Энергозапуск;1;главный инженер;;да;2130171018;"ООО ""ЭНЕРГОЗАПУСК""";33.20;Чувашская Республика - Чувашия;Иванов Евгений Петрович;ДИРЕКТОР;1.0;1
ООО Спектр;1;главный инженер;;;7718630146;"ООО ""СПЕКТР""";70.10.2;г Москва;Колмогорцева Ирина Витальевна;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;8
ООО Техносеть;1;главный инженер;;;2222906093;"ООО ""ТЕХНОСЕТЬ""";42.22;Алтайский край;Манафов Илья Шаукетович;ДИРЕКТОР;1.0;8
ООО Втормет;1;главный инженер;;;7455033933;"ООО ""ММК ВТОРМЕТ""";38.32.3;Челябинская обл;Калинин Вячеслав Валерьевич;ДИРЕКТОР;1.0;8
ООО Альтервиа;1;главный инженер;;;7838455538;"ООО ""АЛЬТЕРВИА""";28.99.5;г Санкт-Петербург;Петряков Игорь Валерьевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;3
ООО СК ТАУРУС;1;главный инженер;;;6658579010;"ООО ""СК ТАУРУС""";41.20;Свердловская обл;Кузнецов Александр Васильевич;ДИРЕКТОР;1.0;8
ООО Золотой стандарт;1;главный инженер;;;9722018243;"ООО ""ЗОЛОТОЙ СТАНДАРТ""";10.20;г Москва;Мирзосаидов Мурод Джурабоевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;8
ООО ОК СИБШАХТОСТРОЙ;1;главный инженер;;да;;;;;;;;8
ЗАО Каменск-Лада;1;главный инженер;;;6612005133;"ЗАО ""КАМЕНСК-ЛАДА""";45.11.2;Свердловская обл;Гурьев Евгений Владимирович;ДИРЕКТОР;1.0;1
ООО ВентИнформ;1;главный инженер;;;7718837535;"ООО ""ВЕНТИНФОРМ""";46.90;г Москва;Попов Дмитрий Владимирович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;1
