inn;predpriyatie;chto;status;podrobnee;lyudej_tehnicheskih;lyudej_s_telefonom
4253019916;ТрансАвто (ТопПром);мёртвое юрлицо;LIQUIDATED;продавать некому, цель негодная;0;1
0326540932;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОКАНАЛ"" ГОРОДА УЛАН-УДЭ";нет в ЕГРЮЛ;;ИНН не подтверждён справочником;0;0
7728171283;"ФГУП ""НПЦАП""";мёртвое юрлицо;LIQUIDATED;продавать некому, цель негодная;0;0
6606011940;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОПРОВОДНО-КАНАЛИЗАЦИОННОГО ХОЗЯЙСТВА"" ГОРОДСКОГО ОКРУГА ВЕРХНЯЯ ПЫШМА";нет в ЕГРЮЛ;;ИНН не подтверждён справочником;0;0
5257086827;"АО ""НИЖЕГОРОДСКИЙ ВОДОКАНАЛ""";мёртвое юрлицо;LIQUIDATED;продавать некому, цель негодная;0;0
6312139922;АО РКЦ ПРОГРЕСС;нет в ЕГРЮЛ;;ИНН не подтверждён справочником;0;0
6673092454;"ООО ""ЭСК""";нет в ЕГРЮЛ;;ИНН не подтверждён справочником;0;0
5244031860;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БИОТЕХСЕРВИС""";нет в ЕГРЮЛ;;ИНН не подтверждён справочником;0;0
0245022178;"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ СЕЛЬСКОХОЗЯЙСТВЕННОЕ ПРЕДПРИЯТИЕ МАШИННО- ТЕХНОЛОГИЧЕСКАЯ СТАНЦИЯ ""ЦЕНТРАЛЬНАЯ"" РЕСПУБЛИКИ БАШ";мёртвое юрлицо;LIQUIDATED;продавать некому, цель негодная;0;0
2311010502;ГБУЗ ККБ № 2;нет в ЕГРЮЛ;;ИНН не подтверждён справочником;0;0
7017005296;Востокгазпром, организатор;нет в ЕГРЮЛ;;ИНН не подтверждён справочником;0;0
5027116065;"ООО УК ""РОСВОДОКАНАЛ"", организатор";нет в ЕГРЮЛ;;ИНН не подтверждён справочником;0;0
7712040285;"ПАО ""НПО ""АЛМАЗ""";нет в ЕГРЮЛ;;ИНН не подтверждён справочником;0;0
7713321151;АО «ОТЭКО»;нет в ЕГРЮЛ;;ИНН не подтверждён справочником;0;0
0909000840;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАВКАЗЦЕМЕНТ";мёртвое юрлицо;LIQUIDATED;продавать некому, цель негодная;0;0
5008028127;"ФИЛИАЛ ""УЛЬЯНОВСКАЯ ДАМБА""";нет в ЕГРЮЛ;;ИНН не подтверждён справочником;0;0
7701568891;"ООО ""ГРК ""БЫСТРИНСКОЕ""";нет в ЕГРЮЛ;;ИНН не подтверждён справочником;0;0
6027143462;"ГБУ ПО ""ПСКОВАВТОДОР""";нет в ЕГРЮЛ;;ИНН не подтверждён справочником;0;0
2801254956;АКС;нет в ЕГРЮЛ;;ИНН не подтверждён справочником;0;0
7712025390;АО ГИПРОКИСЛОРОД;мёртвое юрлицо;LIQUIDATING;продавать некому, цель негодная;0;0
7731263174;"АО ""ГПТП ""Гранит""";нет в ЕГРЮЛ;;ИНН не подтверждён справочником;0;0
7729071411;Государственное унитарное предприятие города Москвы «Медицинский центр Управления делами Мэра и Правительства Москвы»;мёртвое юрлицо;LIQUIDATED;продавать некому, цель негодная;0;0
6027132728;"ГКУ ПО ""УПРАВЛЕНИЕ ОД В ЧС""";нет в ЕГРЮЛ;;ИНН не подтверждён справочником;0;0
6450007198;ФГБНУ РОСНИИСК РОССОРГО;нет в ЕГРЮЛ;;ИНН не подтверждён справочником;0;0
7734374725;"ФГБУ ""ГИДРОСПЕЦГЕОЛОГИЯ""";нет в ЕГРЮЛ;;ИНН не подтверждён справочником;0;0
7707311363;"ФГУП ""УВО МИНТРАНСА РОССИИ""";нет в ЕГРЮЛ;;ИНН не подтверждён справочником;0;0
5050037781;ФРЯНОВСКОЕ МП ЖКХ ГОЩ;мёртвое юрлицо;LIQUIDATED;продавать некому, цель негодная;0;0
6621003100;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НЕВЬЯНСКИЙ ЦЕМЕНТНИК";мёртвое юрлицо;LIQUIDATED;продавать некому, цель негодная;0;0
470507656525;Махмудов Абдулазиз Махмудович;нет в ЕГРЮЛ;;ИНН не подтверждён справочником;0;0
4825002609;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЛИПЕЦКЦЕМЕНТ""";мёртвое юрлицо;LIQUIDATED;продавать некому, цель негодная;0;0
3128000313;"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ОСКОЛЦЕМЕНТ""";нет в ЕГРЮЛ;;ИНН не подтверждён справочником;0;0
5917004527;"ГБУЗ ПК ""КБ""";нет в ЕГРЮЛ;;ИНН не подтверждён справочником;0;0
2466199794;"ООО ""Норникель - ЕРП""";нет в ЕГРЮЛ;;ИНН не подтверждён справочником;0;0
2235003211;АДМИНИСТРАЦИЯ БЛАГОВЕЩЕНСКОГО РАЙОНА АЛТАЙСКОГО КРАЯ;нет в ЕГРЮЛ;;ИНН не подтверждён справочником;0;0
1660173241;"ООО ""ХИМПРОМПРОЕКТ""";нет в ЕГРЮЛ;;ИНН не подтверждён справочником;0;0
7701288541;"ОАО ""Евразруда""";нет в ЕГРЮЛ;;ИНН не подтверждён справочником;0;0
7422029201;"ООО ""Бакальское рудоуправление""";нет в ЕГРЮЛ;;ИНН не подтверждён справочником;0;0
7734257891;"ООО ""ИНФРАСТРУКТУРА ТК""";нет в ЕГРЮЛ;;ИНН не подтверждён справочником;0;0
5004028415;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""СЛУЖБА БЛАГОУСТРОЙСТВА ЯРОПОЛЕЦКОГО ПОСЕЛЕНИЯ""";мёртвое юрлицо;LIQUIDATED;продавать некому, цель негодная;0;0
2617010041;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЭВЕРЕСТ""";нет в ЕГРЮЛ;;ИНН не подтверждён справочником;0;0
4312138386;"ОАО ""ЗМУ КЧХК""";нет в ЕГРЮЛ;;ИНН не подтверждён справочником;0;0
5445016903;"ООО ""НСК-ЭКСПЕРТ""";нет в ЕГРЮЛ;;ИНН не подтверждён справочником;0;0
6195000152;"ООО ""ПС"" (ИНН 6195000152)";нет в ЕГРЮЛ;;ИНН не подтверждён справочником;0;0
5007088701;Муниципальное учреждение «Синьковское благоустройство»;мёртвое юрлицо;LIQUIDATED;продавать некому, цель негодная;0;0
5007104537;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР БЛАГОУСТРОЙСТВА КОСТИНСКОЕ """;мёртвое юрлицо;LIQUIDATED;продавать некому, цель негодная;0;0
5033002595;"МБУ ГОРОДСКОГО ОКРУГА ОЗЕРЫ ""ГРАД-СЕРВИС""";мёртвое юрлицо;LIQUIDATED;продавать некому, цель негодная;0;0
2222056512;ООО 'Нортек';мёртвое юрлицо;LIQUIDATED;продавать некому, цель негодная;0;0
0264014479;"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ РЕСПУБЛИКИ БАШКОРТОСТАН ""НЕФТЕКАМСКВОДОКАНАЛ""";нет в ЕГРЮЛ;;ИНН не подтверждён справочником;0;0
0253019901;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""АГИДЕЛЬВОДОКАНАЛ"" ГОРОДСКОГО ОКРУГА ГОРОД АГИДЕЛЬ РЕСПУБЛИКИ БАШКОРТОСТАН";нет в ЕГРЮЛ;;ИНН не подтверждён справочником;0;0
7402001769;"ОАО ""УФАЛЕЙНИКЕЛЬ""";мёртвое юрлицо;BANKRUPT;продавать некому, цель негодная;0;0
7721628500;"ОАО ПГ ""НОВИК""";мёртвое юрлицо;BANKRUPT;продавать некому, цель негодная;0;0
6661024788;"ЗАО ""УРАЛТЕХМАРКЕТ""";нет в ЕГРЮЛ;;ИНН не подтверждён справочником;0;0
7703111250;"ООО ""ХЁРБИГЕР""";нет в ЕГРЮЛ;;ИНН не подтверждён справочником;0;0
5318000280;"ОАО ""ЭНЕРГОМАШ""";нет в ЕГРЮЛ;;ИНН не подтверждён справочником;0;0
3403016633;"ОАО ""ГКХП""";нет в ЕГРЮЛ;;ИНН не подтверждён справочником;0;0
6673185620;"ООО ""Уралтэкпроект""";нет в ЕГРЮЛ;;ИНН не подтверждён справочником;0;0
5038121282;"ООО ""ИТОГ""";нет в ЕГРЮЛ;;ИНН не подтверждён справочником;0;0
9308017740;"ООО ""ДМЗ"" (ИНН 9308017740)";мёртвое юрлицо;BANKRUPT;продавать некому, цель негодная;0;0
5044058624;"АУ ""КУЛЬТУРНО-СПОРТИВНЫЙ ЦЕНТР""";мёртвое юрлицо;REORGANIZING;продавать некому, цель негодная;0;0
5004028359;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ТЕРЯЕВСКОЕ КОМПЛЕКСНОЕ БЛАГОУСТРОЙСТВО""";мёртвое юрлицо;LIQUIDATED;продавать некому, цель негодная;0;0
5022037187;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""КОЛОМЕНСКОЕ БЛАГОУСТРОЙСТВО""";мёртвое юрлицо;LIQUIDATED;продавать некому, цель негодная;0;0
4823052555;"ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ЛИПЕЦКИЙ ОБЛАСТНОЙ ВОДОКАНАЛ""";мёртвое юрлицо;LIQUIDATED;продавать некому, цель негодная;0;0
7116145470;Новомосковский хлор;нет в ЕГРЮЛ;;ИНН не подтверждён справочником;0;0
6604017216;МУП БВКХ ВОДОКАНАЛ;нет в ЕГРЮЛ;;ИНН не подтверждён справочником;0;0
5260000192;"ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НИЖЕГОРОДСКОЙ ОБЛАСТИ ""НИЖЕГОРОДСКИЙ ПАССАЖИРСКИЙ АВТОМОБИЛЬНЫЙ ТРАНСПОРТ""";мёртвое юрлицо;LIQUIDATED;продавать некому, цель негодная;0;0
4025020084;"МП ""ВОДОКАНАЛ""";мёртвое юрлицо;LIQUIDATING;продавать некому, цель негодная;0;0
2801091892;АО Амурские коммунальные системы;мёртвое юрлицо;LIQUIDATED;продавать некому, цель негодная;0;0
5409102650;"МКП ""НГТ""";мёртвое юрлицо;LIQUIDATED;продавать некому, цель негодная;0;0
5321058347;"МУП ""НОВГОРОДСКИЙ ВОДОКАНАЛ""";мёртвое юрлицо;LIQUIDATED;продавать некому, цель негодная;0;0
7730052050;"Федеральное государственное унитарное предприятие ""Государственный космический научно-производственный центр имени М.В.Х";мёртвое юрлицо;LIQUIDATED;продавать некому, цель негодная;0;0
3443016862;"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ВОЛГОГРАДСКОЙ ОБЛАСТИ ""ВОЛГОГРАДАВТОТРАНС""";мёртвое юрлицо;LIQUIDATED;продавать некому, цель негодная;0;0
3525443640;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ГОРОДСКОГО ОКРУГА ГОРОДА ВОЛОГДЫ ""ПАТП №1""";мёртвое юрлицо;LIQUIDATED;продавать некому, цель негодная;0;0
1435333590;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РЕГИОНАЛЬНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ РЕСПУБЛИКИ САХА (ЯКУТИЯ)""";мёртвое юрлицо;LIQUIDATED;продавать некому, цель негодная;0;0
4317002773;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГАЗСТРОЙ""";мёртвое юрлицо;LIQUIDATED;продавать некому, цель негодная;0;0
8607100272;"ЛАНГЕПАССКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ТЕПЛОВОДОКАНАЛ""";мёртвое юрлицо;LIQUIDATED;продавать некому, цель негодная;0;0
5838000953;"федеральное государственное унитарное предприятие федеральный научно-производственный центр ""Производственное объединени";мёртвое юрлицо;LIQUIDATED;продавать некому, цель негодная;0;0
0314886622;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТУГНУЙСКОЕ ПОГРУЗОЧНО-ТРАНСПОРТНОЕ УПРАВЛЕНИЕ""";мёртвое юрлицо;LIQUIDATED;продавать некому, цель негодная;0;0
3329000842;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЦЕНТР АГРОХИМИЧЕСКОЙ СЛУЖБЫ ""ВЛАДИМИРСКИЙ""";мёртвое юрлицо;LIQUIDATED;продавать некому, цель негодная;0;0
9715450519;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОРГОВЫЙ ДОМ АРГУС""";мёртвое юрлицо;LIQUIDATED;продавать некому, цель негодная;0;0
2452046808;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""КОМБИНАТ БЛАГОУСТРОЙСТВА""";мёртвое юрлицо;LIQUIDATING;продавать некому, цель негодная;0;0
4230030215;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВОДСНАБ""";мёртвое юрлицо;BANKRUPT;продавать некому, цель негодная;0;0
