srok;zapros;nomer;data;inn_zakazchika;zakazchik;obekt;tip;inn_eo;ekspertnaya_org;vyvod;istochnik;istochnik_zakazchik;marka;sreda_po_marke;istochnik_sredy
active;центробежный компрессор;51-ТУ-20098-2023;02.08.2023;6314006396;"АО ""КНПЗ""";компрессор центробежный TD/DZ-1000 технологический индекс ТК-2, зав. № 121253/6;ТУ;6315579093;"ООО ""ИЦ ""АЭ-СИСТЕМЫ""";соответствует;https://monitor-pb.ru/conclusion/51-%D0%A2%D0%A3-20098-2023;https://monitor-pb.ru/customer/6314006396;DZ-1000;воздух;модель-переспрос
active;центробежный компрессор;43-ТУ-748361-2026;19.03.2026;4312126856;"ООО ""ГАЛОПОЛИМЕР КИРОВО-ЧЕПЕЦК""";Техническое устройство: Центробежный компрессор ЦК 135/8 поз. 18, зав. № 81008, цех № 5, корпус № 288;ТУ;7709842345;"ООО ""БЕЗОПАСНОСТЬ В ПРОМЫШЛЕННОСТИ""";соответствует;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-748361-2026;https://monitor-pb.ru/customer/4312126856;ЦК 135/8;воздух;модель-переспрос
active;центробежный компрессор;49-ТУ-29528-2020;04.08.2020;0263009557;"АО ""МЕЛЕУЗОВСКИЕ МИНЕРАЛЬНЫЕ УДОБРЕНИЯ""";центробежный компрессор типа К-250-61-5 поз. 2, зав. № 70, цех ВиК;ТУ;5507188006;"ООО ""ЦЕНТР ТЕХНИЧЕСКОЙ ДИАГНОСТИКИ И ЭКСПЕРТИЗЫ""";соответствует;https://monitor-pb.ru/conclusion/49-%D0%A2%D0%A3-29528-2020;https://monitor-pb.ru/customer/0263009557;К-250-61-5;воздух;данные
active;центробежный компрессор;43-ТУ-46049-2025;15.04.2025;1658008723;"ПАО ""КАЗАНЬОРГСИНТЕЗ""";"Концевой охладитель центробежного компрессора ЦК135/8 (М1), поз.№ВО-25Б/3, зав.№71035, эксплуатируемого ПАО ""Казаньоргсинтез"" Энергопроизводство, производство технических газов";ТУ;1661021756;"ЗАО ""ДИНАМИКА""";соответствует;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-46049-2025;https://monitor-pb.ru/customer/1658008723;ЦК135/8;воздух;данные
active;центробежный компрессор;49-ТУ-85375-2022;27.12.2022;1102054991;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""";Центробежный компрессор ЦК-135/8 М1, зав. № 89026, техн. № 171ГПА-2, инв.№ 03*20534, эксплуатирующая организация ООО «Газпром переработка»;ТУ;7813411480;"ООО ""НИИПГАЗА""";соответствует;https://monitor-pb.ru/conclusion/49-%D0%A2%D0%A3-85375-2022;https://monitor-pb.ru/customer/1102054991;ЦК-135/8 М1;воздух;данные
active;центробежный компрессор;53-ТУ-39057-2022;28.04.2022;6325004584;"АО ""СНПЗ""";Центробежный компрессор ЦК 135/8, техн. № ЦК-1, зав. № 93015, инв. № 033568, цех № 17, ЦВК;ТУ;6312031510;"ООО ПФ ""ЭДТОН""";соответствует;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-39057-2022;https://monitor-pb.ru/customer/6325004584;ЦК 135/8;воздух;модель-переспрос
active;центробежный компрессор;62-ТУ-522449-2025;03.12.2025;6227007322;"АО ""РНПК""";Центробежный компрессор типа ZH800+10.4-50, Технологический индекс ВК-1, зав. №APF S90436301, Местонахождение: цех №12, участок УЭОПСВ-3;ТУ;5001100952;"ООО ""ОРГЭНЕРГОНЕФТЬ""";соответствует;https://monitor-pb.ru/conclusion/62-%D0%A2%D0%A3-522449-2025;https://monitor-pb.ru/customer/6227007322;ZH800;воздух;модель-переспрос
active;центробежный компрессор;62-ТУ-624335-2026;14.01.2026;6227007322;"АО ""РНПК""";Центробежный компрессор типа ZH800+10.4-50, Технологический индекс ВК-4, зав. №APF S90436303 Местонахождение: цех №12, участок УЭОПСВ-3;ТУ;5001100952;"ООО ""ОРГЭНЕРГОНЕФТЬ""";соответствует;https://monitor-pb.ru/conclusion/62-%D0%A2%D0%A3-624335-2026;https://monitor-pb.ru/customer/6227007322;ZH800;воздух;модель-переспрос
active;центробежный компрессор;63-ТУ-650007-2026;24.01.2026;6330017980;"АО ""ННК""";Центробежный компрессор типа Центак С-700, Технологический индекс 30/6, зав.№ V-8794, инв.№ Н30926, Местонахождение: цех №25, отделение 2501;ТУ;5001100952;"ООО ""ОРГЭНЕРГОНЕФТЬ""";соответствует;https://monitor-pb.ru/conclusion/63-%D0%A2%D0%A3-650007-2026;https://monitor-pb.ru/customer/6330017980;С-700;воздух;модель-переспрос
active;центробежный компрессор;63-ТУ-675132-2026;04.02.2026;6330017980;"АО ""ННК""";Центробежный компрессор типа Центак С-700, Технологический индекс ВК-5, зав.№ V-8019, инв.№ РСс090000422 Местонахождение: цех №25, отделение 2501;ТУ;5001100952;"ООО ""ОРГЭНЕРГОНЕФТЬ""";соответствует;https://monitor-pb.ru/conclusion/63-%D0%A2%D0%A3-675132-2026;https://monitor-pb.ru/customer/6330017980;С-700;воздух;модель-переспрос
active;центробежный компрессор;63-ТУ-675422-2026;04.02.2026;6330017980;"АО ""ННК""";Центробежный компрессор типа К-400-51-2, Технологический индекс 103/1, зав.№ 4221, инв.№ НН41242, Местонахождение: цех №5, отделение 0502;ТУ;5001100952;"ООО ""ОРГЭНЕРГОНЕФТЬ""";соответствует;https://monitor-pb.ru/conclusion/63-%D0%A2%D0%A3-675422-2026;https://monitor-pb.ru/customer/6330017980;К-400-51-2;технологический газ;модель
active;центробежный компрессор;63-ТУ-900065-2026;30.06.2026;6330017980;"АО ""ННК""";Центробежный компрессор типа К-400-51-2, технологический индекс 3/3, зав.№ 6008, инв.№ НН41241, местонахождение: цех №5, отделение 0502;ТУ;5001100952;"ООО ""ОРГЭНЕРГОНЕФТЬ""";соответствует;https://monitor-pb.ru/conclusion/63-%D0%A2%D0%A3-900065-2026;https://monitor-pb.ru/customer/6330017980;К-400-51-2;технологический газ;модель
active;центробежный компрессор;25-ТУ-06581-2024;03.09.2024;1121003135;"АО ""СЛПК""";"компрессор центробежный К-250-61-2 зав. № 772 ст. № 1, компрессорная станция УТГВС АО ""СЛПК""";ТУ;1101166830;"ООО ""ВЕРТИКАЛЬ"" (ИНН 1101166830)";соответствует;https://monitor-pb.ru/conclusion/25-%D0%A2%D0%A3-06581-2024;https://monitor-pb.ru/customer/1121003135;К-250-61-2;технологический газ;модель
active;центробежный компрессор;43-ТУ-46028-2025;15.04.2025;1658008723;"ПАО ""КАЗАНЬОРГСИНТЕЗ""";Концевой охладитель центробежного компрессора ЦК135/8 (М1), поз.№ВО-25А/3, зав.№90030 эксплуатируемого на ПАО «Казаньоргсинтез», Энергопроизводство, Производство технических газов;ТУ;1661021756;"ЗАО ""ДИНАМИКА""";соответствует;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-46028-2025;https://monitor-pb.ru/customer/1658008723;ЦК135/8;воздух;данные
active;центробежный компрессор;53-ТУ-06391-2024;27.03.2024;6325004584;"АО ""СНПЗ""";Компрессор центробежный марки ЦК-135/8, технологический индекс ЦК-2, зав. № 93001, инв. № 025709, цех №17, ЦВК;ТУ;5001100952;"ООО ""ОРГЭНЕРГОНЕФТЬ""";соответствует;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-06391-2024;https://monitor-pb.ru/customer/6325004584;ЦК-135/8;воздух;модель-переспрос
active;центробежный компрессор;53-ТУ-06980-2024;02.04.2024;6325004584;"АО ""СНПЗ""";Влагоотделитель центробежного компрессора ЦК-135/8 (ЦК-4), инв. № 000857, цех №17, ЦВК;ТУ;5001100952;"ООО ""ОРГЭНЕРГОНЕФТЬ""";соответствует;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-06980-2024;https://monitor-pb.ru/customer/6325004584;ЦК-135/8;воздух;модель-переспрос
active;центробежный компрессор;63-ТУ-719535-2026;02.03.2026;6325004584;"АО ""СНПЗ""";Компрессор центробежный марки 5VR200-490G Технологический индекс ЦК-1, зав. № 430819, инв. № 012063 Местонахождение: цех №15, установка ЛГ 35/11-300;ТУ;5001100952;"ООО ""ОРГЭНЕРГОНЕФТЬ""";соответствует;https://monitor-pb.ru/conclusion/63-%D0%A2%D0%A3-719535-2026;https://monitor-pb.ru/customer/6325004584;ЛГ 35/11-300;воздух;данные
active;центробежный компрессор;86-ТУ-649087-2026;23.01.2026;8608048498;"ООО ""ЛУКОЙЛ-ЗАПАДНАЯ СИБИРЬ""";''Центробежный компрессор К354-101-1'' зав. № 9188 эксплуатируемый ТПП «Повхнефтегаз» ООО «ЛУКОЙЛ - Западная Сибирь»;ТУ;8608053410;"ООО ""Центр научно-исследовательских и производственных работ""";соответствует;https://monitor-pb.ru/conclusion/86-%D0%A2%D0%A3-649087-2026;https://monitor-pb.ru/customer/8608048498;К354-101-1;природный газ;модель
active;центробежный компрессор;86-ТУ-649098-2026;23.01.2026;8608048498;"ООО ""ЛУКОЙЛ-ЗАПАДНАЯ СИБИРЬ""";''Центробежный компрессор К354-101-1'' зав. № 9187 эксплуатируемый ТПП «Повхнефтегаз» ООО «ЛУКОЙЛ - Западная Сибирь»;ТУ;8608053410;"ООО ""Центр научно-исследовательских и производственных работ""";соответствует;https://monitor-pb.ru/conclusion/86-%D0%A2%D0%A3-649098-2026;https://monitor-pb.ru/customer/8608048498;К354-101-1;природный газ;модель
active;центробежный компрессор;86-ТУ-649101-2026;23.01.2026;8608048498;"ООО ""ЛУКОЙЛ-ЗАПАДНАЯ СИБИРЬ""";''Центробежный компрессор К354-101-1'' зав. № 9186 эксплуатируемый ТПП «Повхнефтегаз» ООО «ЛУКОЙЛ - Западная Сибирь»;ТУ;8608053410;"ООО ""Центр научно-исследовательских и производственных работ""";соответствует;https://monitor-pb.ru/conclusion/86-%D0%A2%D0%A3-649101-2026;https://monitor-pb.ru/customer/8608048498;К354-101-1;природный газ;модель
active;центробежный компрессор;86-ТУ-886369-2026;22.06.2026;8608048498;"ООО ""ЛУКОЙЛ-ЗАПАДНАЯ СИБИРЬ""";''Центробежный компрессор К354-101-1'' зав. № 9188 эксплуатируемый ТПП «Повхнефтегаз» ООО «ЛУКОЙЛ - Западная Сибирь»;ТУ;8608053410;"ООО ""Центр научно-исследовательских и производственных работ""";соответствует;https://monitor-pb.ru/conclusion/86-%D0%A2%D0%A3-886369-2026;https://monitor-pb.ru/customer/8608048498;К354-101-1;природный газ;модель
active;центробежный компрессор;86-ТУ-886380-2026;22.06.2026;8608048498;"ООО ""ЛУКОЙЛ-ЗАПАДНАЯ СИБИРЬ""";''Центробежный компрессор К354-101-1'' зав. № 9187 эксплуатируемый ТПП «Повхнефтегаз» ООО «ЛУКОЙЛ - Западная Сибирь»;ТУ;8608053410;"ООО ""Центр научно-исследовательских и производственных работ""";соответствует;https://monitor-pb.ru/conclusion/86-%D0%A2%D0%A3-886380-2026;https://monitor-pb.ru/customer/8608048498;К354-101-1;природный газ;модель
active;центробежный компрессор;86-ТУ-886391-2026;22.06.2026;8608048498;"ООО ""ЛУКОЙЛ-ЗАПАДНАЯ СИБИРЬ""";''Центробежный компрессор К354-101-1'' зав. № 9186 эксплуатируемый ТПП «Повхнефтегаз» ООО «ЛУКОЙЛ - Западная Сибирь»;ТУ;8608053410;"ООО ""Центр научно-исследовательских и производственных работ""";соответствует;https://monitor-pb.ru/conclusion/86-%D0%A2%D0%A3-886391-2026;https://monitor-pb.ru/customer/8608048498;К354-101-1;природный газ;модель
active;центробежный компрессор;2-ТУ-906457-2026;06.07.2026;5036074848;"ООО ""ХАЙДЕЛЬБЕРГЦЕМЕНТ РУС""";техническое устройство «Центробежный компрессор К250-61-5 поз. № 1, зав. № 1388» Цех «Клинкер-2», Филиал ООО «ХайдельбергЦемент Рус» в г. Стерлитамак;ТУ;0278184456;"ООО ""ЭКСПЕРТСЕРВИСПРОЕКТ""";соответствует;https://monitor-pb.ru/conclusion/2-%D0%A2%D0%A3-906457-2026;https://monitor-pb.ru/customer/5036074848;К250-61-5;воздух;модель
active;центробежный компрессор;2-ТУ-906465-2026;06.07.2026;5036074848;"ООО ""ХАЙДЕЛЬБЕРГЦЕМЕНТ РУС""";техническое устройство «Центробежный компрессор К250-61-5 поз. № 2, зав. № 1328» Цех «Клинкер-2», Филиал ООО «ХайдельбергЦемент Рус» в г. Стерлитамак;ТУ;0278184456;"ООО ""ЭКСПЕРТСЕРВИСПРОЕКТ""";соответствует;https://monitor-pb.ru/conclusion/2-%D0%A2%D0%A3-906465-2026;https://monitor-pb.ru/customer/5036074848;К250-61-5;воздух;модель
active;центробежный компрессор;2-ТУ-906478-2026;06.07.2026;5036074848;"ООО ""ХАЙДЕЛЬБЕРГЦЕМЕНТ РУС""";техническое устройство «Центробежный компрессор К250-61-5 поз. № 4, зав. № 1302» Цех «Клинкер-2», Филиал ООО «ХайдельбергЦемент Рус» в г. Стерлитамак;ТУ;0278184456;"ООО ""ЭКСПЕРТСЕРВИСПРОЕКТ""";соответствует;https://monitor-pb.ru/conclusion/2-%D0%A2%D0%A3-906478-2026;https://monitor-pb.ru/customer/5036074848;К250-61-5;воздух;модель
active;центробежный компрессор;48-ТУ-56453-2022;19.09.2022;5908007560;"АО ""ГАЛОПОЛИМЕР ПЕРМЬ""";компрессор центробежный ХТМФ-348-4000-1 зав. № 75001, поз. № 3/3 АО «ГалоПолимер Пермь» ЭП(цех № 25) корпус 605;ТУ;7709842345;"ООО ""БЕЗОПАСНОСТЬ В ПРОМЫШЛЕННОСТИ""";соответствует;https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-56453-2022;https://monitor-pb.ru/customer/5908007560;ХТМФ-348-4000-1;технологический газ;модель
active;центробежный компрессор;53-ТУ-06962-2024;02.04.2024;6325004584;"АО ""СНПЗ""";Концевой газоохладитель центробежного компрессора ЦК-135/8 (ЦК-2), инв. №025709, цех №17, ЦВК;ТУ;5001100952;"ООО ""ОРГЭНЕРГОНЕФТЬ""";соответствует;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-06962-2024;https://monitor-pb.ru/customer/6325004584;ЦК-135/8;воздух;модель-переспрос
active;центробежный компрессор;53-ТУ-06964-2024;02.04.2024;6325004584;"АО ""СНПЗ""";2 маслоохладитель центробежного компрессора ЦК-135/8 (ЦК-2), инв. № 025709, цех №17, ЦВК;ТУ;5001100952;"ООО ""ОРГЭНЕРГОНЕФТЬ""";соответствует;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-06964-2024;https://monitor-pb.ru/customer/6325004584;ЦК-135/8;воздух;модель-переспрос
active;центробежный компрессор;53-ТУ-06967-2024;02.04.2024;6325004584;"АО ""СНПЗ""";Концевой газоохладитель центробежного компрессора ЦК-135/8 (ЦК-3), инв. №022524, цех №17, ЦВК;ТУ;5001100952;"ООО ""ОРГЭНЕРГОНЕФТЬ""";соответствует;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-06967-2024;https://monitor-pb.ru/customer/6325004584;ЦК-135/8;воздух;модель-переспрос
active;центробежный компрессор;53-ТУ-06969-2024;02.04.2024;6325004584;"АО ""СНПЗ""";I маслоохладитель центробежного компрессора ЦК-135/8 (ЦК-3), инв. № 022524, цех №17, ЦВК;ТУ;5001100952;"ООО ""ОРГЭНЕРГОНЕФТЬ""";соответствует;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-06969-2024;https://monitor-pb.ru/customer/6325004584;ЦК-135/8;воздух;модель-переспрос
active;центробежный компрессор;53-ТУ-06970-2024;02.04.2024;6325004584;"АО ""СНПЗ""";2 маслоохладитель центробежного компрессора ЦК-135/8 (ЦК-3), инв. № 022524, цех №17, ЦВК;ТУ;5001100952;"ООО ""ОРГЭНЕРГОНЕФТЬ""";соответствует;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-06970-2024;https://monitor-pb.ru/customer/6325004584;ЦК-135/8;воздух;модель-переспрос
active;центробежный компрессор;53-ТУ-06972-2024;02.04.2024;6325004584;"АО ""СНПЗ""";Концевой газоохладитель центробежного компрессора ЦК-135/8 (ЦК-4), инв. № 0857, цех №17, ЦВК;ТУ;5001100952;"ООО ""ОРГЭНЕРГОНЕФТЬ""";соответствует;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-06972-2024;https://monitor-pb.ru/customer/6325004584;ЦК-135/8;воздух;модель-переспрос
active;центробежный компрессор;53-ТУ-06978-2024;02.04.2024;6325004584;"АО ""СНПЗ""";2 маслоохладитель центробежного компрессора ЦК-135/8 (ЦК-4), инв. № 0857, цех №17, ЦВК;ТУ;5001100952;"ООО ""ОРГЭНЕРГОНЕФТЬ""";соответствует;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-06978-2024;https://monitor-pb.ru/customer/6325004584;ЦК-135/8;воздух;модель-переспрос
active;центробежный компрессор;53-ТУ-08463-2024;17.04.2024;6325004584;"АО ""СНПЗ""";I маслоохладитель центробежного компрессора ЦК-135/8 (ЦК-4), инв. № 000857, цех №17, ЦВК;ТУ;5001100952;"ООО ""ОРГЭНЕРГОНЕФТЬ""";соответствует;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-08463-2024;https://monitor-pb.ru/customer/6325004584;ЦК-135/8;воздух;модель-переспрос
active;центробежный компрессор;53-ТУ-08465-2024;17.04.2024;6325004584;"АО ""СНПЗ""";II маслоохладитель центробежного компрессора ЦК-135/8 (ЦК-1), инв. № 018294, цех №17, ЦВК;ТУ;5001100952;"ООО ""ОРГЭНЕРГОНЕФТЬ""";соответствует;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-08465-2024;https://monitor-pb.ru/customer/6325004584;ЦК-135/8;воздух;модель-переспрос
active;центробежный компрессор;53-ТУ-08466-2024;17.04.2024;6325004584;"АО ""СНПЗ""";I маслоохладитель центробежного компрессора ЦК-135/8 (ЦК-1), инв. № 033568, цех №17, ЦВК;ТУ;5001100952;"ООО ""ОРГЭНЕРГОНЕФТЬ""";соответствует;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-08466-2024;https://monitor-pb.ru/customer/6325004584;ЦК-135/8;воздух;модель-переспрос
active;центробежный компрессор;53-ТУ-08467-2024;17.04.2024;6325004584;"АО ""СНПЗ""";Концевой газоохладитель центробежного компрессора ЦК-135/8 (ЦК-1), инв. №033568, цех №17, ЦВК;ТУ;5001100952;"ООО ""ОРГЭНЕРГОНЕФТЬ""";соответствует;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-08467-2024;https://monitor-pb.ru/customer/6325004584;ЦК-135/8;воздух;модель-переспрос
active;центробежный компрессор;53-ТУ-49553-2025;04.07.2025;6330017980;"АО ""ННК""";Центробежный компрессор марки К-400-51-2, технологический индекс 3/2, заводской №5026 АО «Новокуйбышевская нефтехимическая компания» цех №5, отделение 0502;ТУ;6316081279;"ООО ""НПК ""СИНКО""";соответствует;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-49553-2025;https://monitor-pb.ru/customer/6330017980;К-400-51-2;технологический газ;модель
active;центробежный компрессор;41-ТУ-26970-2017;11.08.2017;0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";Центробежный компрессор 43 ЦКО-160/15,поз. ЦК-201, зав. № 79001 (установка ГФУ-1, цех № 10, Нефтеперерабатывающий завод);ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-26970-2017;https://monitor-pb.ru/customer/0266048970;ЦКО-160/15;технологический газ;модель
active;центробежный компрессор;53-ТУ-06960-2024;02.04.2024;6325004584;"АО ""СНПЗ""";Газоохладитель 1 группы центробежного компрессора ЦК-135/8 (ЦК-2), инв. № 025709, цех №17, ЦВК;ТУ;5001100952;"ООО ""ОРГЭНЕРГОНЕФТЬ""";соответствует;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-06960-2024;https://monitor-pb.ru/customer/6325004584;ЦК-135/8;воздух;модель-переспрос
active;центробежный компрессор;53-ТУ-06961-2024;02.04.2024;6325004584;"АО ""СНПЗ""";Газоохладитель 2 группы центробежного компрессора ЦК-135/8 (ЦК-2), инв. № 025709, цех №17, ЦВК;ТУ;5001100952;"ООО ""ОРГЭНЕРГОНЕФТЬ""";соответствует;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-06961-2024;https://monitor-pb.ru/customer/6325004584;ЦК-135/8;воздух;модель-переспрос
