inn;predpriyatie;sostoyaniy;est;pokupaet;planiruet;strok_faktov;lyudej;s_lichnym;tehnicheskih_s_lichnym;pochemu_vazhno
7704214548;"ООО""АФИПСКИЙ НПЗ""";1;1;;;1;0;0;0;состояние доказано
5027116065;"ООО УК ""РОСВОДОКАНАЛ"", организатор";1;;1;;1;0;0;0;состояние доказано
6829007922;"ООО ""ЗОЛОТАЯ НИВА"" (ИНН 6829007922)";1;1;;;1;0;0;0;состояние доказано
7116129038;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НОВОМОСКОВСКИЙ ГОРОДСКОЙ ВОДОКАНАЛ""";1;;1;;1;0;0;0;состояние доказано
7404052938;АО Златмаш;1;;1;;13;13;1;0;состояние доказано
7715488540;Государственное бюджетное учреждение города Москвы «Жилищник Бутырского района»;1;;1;;7;6;1;0;состояние доказано
2801254956;АКС;1;;1;;1;0;0;0;состояние доказано
5034051355;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ОРЕХОВО-ЗУЕВСКИЙ КОМБИНАТ БЛАГОУСТРОЙСТВА""";1;;1;;2;1;0;0;состояние доказано
6450007198;ФГБНУ РОСНИИСК РОССОРГО;1;;1;;2;1;0;0;состояние доказано
6027132728;"ГКУ ПО ""УПРАВЛЕНИЕ ОД В ЧС""";1;;1;;1;0;0;0;состояние доказано
5014009027;"МБУ ""ДК ИМЕНИ В.Н.ЛЕОНОВА""";1;;1;;1;0;0;0;состояние доказано
7704747169;Государственное автономное учреждение культуры города Москвы «Московское агентство организации отдыха и туризма»;1;;1;;1;0;0;0;состояние доказано
7734374725;"ФГБУ ""ГИДРОСПЕЦГЕОЛОГИЯ""";1;;1;;2;1;0;0;состояние доказано
5022037187;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""КОЛОМЕНСКОЕ БЛАГОУСТРОЙСТВО""";1;;1;;1;0;0;0;состояние доказано
2709001590;"АО ""ПОРТ ВАНИНО""";1;;1;;12;11;0;0;состояние доказано
3901500276;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""33 СУДОРЕМОНТНЫЙ ЗАВОД""";1;;1;;1;0;0;0;состояние доказано
2235003211;АДМИНИСТРАЦИЯ БЛАГОВЕЩЕНСКОГО РАЙОНА АЛТАЙСКОГО КРАЯ;1;;1;;2;1;0;0;состояние доказано
5038004331;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ МОСКОВСКОЙ ОБЛАСТИ ""МОСОБЛЛЕС""";1;;1;;23;18;3;0;состояние доказано
7405000428;"ФГУП ""ПСЗ""; ФГУП ""ПРИБОРОСТРОИТЕЛЬНЫЙ ЗАВОД""";1;;1;;1;0;0;0;состояние доказано
7701288541;"ОАО ""Евразруда""";1;1;;;1;0;0;0;состояние доказано
7713321151;АО «ОТЭКО»;1;;1;;1;0;0;0;состояние доказано
8107008649;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ КАПИТАЛЬНОГО СТРОИТЕЛЬСТВА КУДЫМКАРСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ПЕРМСКОГО К";1;;1;;1;0;0;0;состояние доказано
7842019044;"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ГОРОДСКОЙ ЦЕНТР УПРАВЛЕНИЯ ПАРКОВКАМИ САНКТ-ПЕТЕРБУРГА""";1;;1;;1;0;0;0;состояние доказано
5004028415;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""СЛУЖБА БЛАГОУСТРОЙСТВА ЯРОПОЛЕЦКОГО ПОСЕЛЕНИЯ""";1;;1;;1;0;0;0;состояние доказано
6608001915;ЕКАТЕРИНБУРГСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ВОДОПРОВОДНО-КАНАЛИЗАЦИОННОГО ХОЗЯЙСТВА;1;;1;;30;30;0;0;состояние доказано
2426003607;"ООО ""НОВОАНГАРСКИЙ ОБОГАТИТЕЛЬНЫЙ КОМБИНАТ""";1;1;;;18;9;0;0;состояние доказано
2352039660;ОТЭКО - ТЕРМИНАЛ;1;;1;;1;0;0;0;состояние доказано
5917004527;"ГБУЗ ПК ""КБ""";1;;1;;2;1;0;0;состояние доказано
7708671295;"Общество с ограниченной ответственностью ""АРМЗ Сервис""";1;;1;;1;0;0;0;состояние доказано
7712040285;"ПАО ""НПО ""АЛМАЗ""";1;;1;;10;9;0;0;состояние доказано
5032004536;Государственное автономное учреждение организации культуры Московской области «Государственный историко-литературный муз;1;;1;;9;2;0;0;состояние доказано
5190001619;"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ОБРАЗОВАНИЯ ГОРОДА МУРМАНСКА ""ЦЕНТР ШКОЛЬНОГО ПИТАНИЯ""";1;;1;;9;0;0;0;состояние доказано
7705739450;"ООО ""НЕСТЛЕ РОССИЯ""";1;1;;;3;3;0;0;состояние доказано
5004021787;"АО ""ВОЛОКОЛАМСКОЕ ПТП РЖКХ""";1;;1;;1;0;0;0;состояние доказано
7704009700;"ФГУП ""РАДОН""";1;;1;;1;0;0;0;состояние доказано
7118004789;"ОАО ""Щекиноазот""";1;1;;;1;1;0;0;состояние доказано
2901038518;Севералмаз;1;;1;;2;2;0;0;состояние доказано
5050037781;ФРЯНОВСКОЕ МП ЖКХ ГОЩ;1;;1;;1;0;0;0;состояние доказано
5019002730;"ОАО ""БАЙСАД-КАШИРА""";1;1;;;1;0;0;0;состояние доказано
9728050571;ФЛ АО НПЦАП-ПОКОРПУС;1;;1;;12;11;0;0;состояние доказано
5003113668;УММ;1;;1;;1;0;0;0;состояние доказано
6666003414;КУЗОЦМ;1;;1;;16;15;5;0;состояние доказано
0264014479;"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ РЕСПУБЛИКИ БАШКОРТОСТАН ""НЕФТЕКАМСКВОДОКАНАЛ""";1;;1;;2;1;0;0;состояние доказано
7713652964;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ДИРЕКЦИЯ ЗАКАЗЧИКА ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА И БЛАГОУСТРОЙСТВА ";1;;1;;1;0;0;0;состояние доказано
7731263174;"АО ""ГПТП ""Гранит""";1;;1;;10;9;1;0;состояние доказано
2617010041;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЭВЕРЕСТ""";1;;1;;2;1;0;0;состояние доказано
5007102138;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ЖКХ И БЛАГОУСТРОЙСТВО"" ДМИТРОВСКОГО ГОРОДСКОГО ОКРУГА МОСКОВСКОЙ ОБЛАСТИ";1;;1;;2;1;0;0;состояние доказано
3232000609;"ОАО ""Бежицкий хлебокомбинат""";1;1;;;1;0;0;0;состояние доказано
3663002167;"АО ""ВОРОНЕЖСИНТЕЗКАУЧУК""";1;1;;;1;0;0;0;состояние доказано
7717609102;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АТОМСПЕЦТРАНС""";1;;1;;1;0;0;0;состояние доказано
5033002595;"МБУ ГОРОДСКОГО ОКРУГА ОЗЕРЫ ""ГРАД-СЕРВИС""";1;;1;;1;0;0;0;состояние доказано
4205072099;"ООО ""ХИМПРОМ""";1;1;;;1;0;0;0;состояние доказано
6195000152;"ООО ""ПС"" (ИНН 6195000152)";1;1;;;1;0;0;0;состояние доказано
4012005152;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ АГРО-ИНВЕСТ;1;;1;;2;0;0;0;состояние доказано
2536210349;"АО ""ЦСД""";1;;1;;1;0;0;0;состояние доказано
4823052555;"ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ЛИПЕЦКИЙ ОБЛАСТНОЙ ВОДОКАНАЛ""";1;;1;;1;0;0;0;состояние доказано
4909047148;"ИА ПАО ""Магаданэнерго""";1;;1;;12;12;0;0;состояние доказано
6673185620;"ООО ""Уралтэкпроект""";1;1;;;1;0;0;0;состояние доказано
5302001320;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ДОМ ОТДЫХА ""ВАЛДАЙ"" УПРАВЛЕНИЯ ДЕЛАМИ ПРЕЗИДЕНТА РОССИЙСКОЙ ФЕДЕРАЦИИ";1;;1;;1;0;0;0;состояние доказано
7017005296;Востокгазпром, организатор;1;;1;;1;0;0;0;состояние доказано
7703111250;"ООО ""ХЁРБИГЕР""";1;1;;;1;0;0;0;состояние доказано
7817030855;"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЖИЛИЩНОЕ АГЕНТСТВО КОЛПИНСКОГО РАЙОНА САНКТ-ПЕТЕРБУРГА""";1;;1;;1;0;0;0;состояние доказано
7705966318;"АО ""РОСАТОМ СЕРВИС""";1;;1;;1;0;0;0;состояние доказано
4253019916;ТрансАвто (ТопПром);1;;1;;6;6;1;0;состояние доказано
5907001774;ПАО НПОИСКРА;1;;1;;16;16;0;0;состояние доказано
7720800660;Государственное бюджетное учреждение города Москвы «Жилищник района Косино-Ухтомский»;1;;1;;1;0;0;0;состояние доказано
3403016633;"ОАО ""ГКХП""";1;1;;;1;0;0;0;состояние доказано
5024001482;Государственное бюджетное учреждение здравоохранения города Москвы «Московская городская онкологическая больница № 62 Де;1;;1;;1;0;0;0;состояние доказано
7734257891;"ООО ""ИНФРАСТРУКТУРА ТК""";1;1;;;1;0;0;0;состояние доказано
6628008965;"ЗАО ""ПО ""Режникель""";1;1;;;1;0;0;0;состояние доказано
9701087623;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОСАТОМ ВОЗОБНОВЛЯЕМАЯ ЭНЕРГИЯ""";1;;1;;5;4;0;0;состояние доказано
2801108200;Филиал АО «ДРСК» «Хабаровские электрические сети»;1;;1;;1;0;0;0;состояние доказано
3801072394;"ООО ""ААТЗ""";1;1;;;1;0;0;0;состояние доказано
7725262013;Государственное автономное учреждение города Москвы Инженерный научно-практический центр «Гормедтехника Департамента здр;1;;1;;2;1;0;0;состояние доказано
6673092454;"ООО ""ЭСК""";1;;1;;1;0;0;0;состояние доказано
7736259816;"ООО ""УК ""ЭВОЛЮЦИЯ""";1;;1;;1;0;0;0;состояние доказано
7743946827;Государственное бюджетное учреждение города Москвы «Жилищник района Войковский»;1;;1;;1;0;0;0;состояние доказано
5318000280;"ОАО ""ЭНЕРГОМАШ""";1;1;;;1;0;0;0;состояние доказано
7701568891;"ООО ""ГРК ""БЫСТРИНСКОЕ""";1;;1;;9;8;0;0;состояние доказано
7729071411;Государственное унитарное предприятие города Москвы «Медицинский центр Управления делами Мэра и Правительства Москвы»;1;;1;;1;0;0;0;состояние доказано
5078018210;МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ВЕРБИЛКОВСКИЙ ДОМ КУЛЬТУРЫ ТАЛДОМСКОГО ГОРОДСКОГО ОКРУГА МОСКОВСКОЙ ОБЛАСТИ;1;;1;;1;0;0;0;состояние доказано
7024034570;"ООО ""СИБРЕГИОНПРОМСЕРВИС""";1;;1;;1;0;0;0;состояние доказано
2900000328;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ АРХАНГЕЛЬСКОЙ ОБЛАСТИ ""УПРАВЛЕНИЕ ДЕЛАМИ""";1;;1;;1;0;0;0;состояние доказано
5904297072;"ООО ""ПЕРМКОМПРЕССОРМАШ""";1;1;;;1;0;0;0;состояние доказано
7214008190;"ООО СП ""Голышмановское""";1;1;;;1;0;0;0;состояние доказано
5905021239;"ОАО ""Минеральные удобрения""";1;1;;;1;0;0;0;состояние доказано
4218014305;"АО ""ОФ ""АНТОНОВСКАЯ""";1;1;;;1;0;0;0;состояние доказано
0245022178;"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ СЕЛЬСКОХОЗЯЙСТВЕННОЕ ПРЕДПРИЯТИЕ МАШИННО- ТЕХНОЛОГИЧЕСКАЯ СТАНЦИЯ ""ЦЕНТРАЛЬНАЯ"" РЕСПУБЛИКИ БАШ";1;;1;;1;0;0;0;состояние доказано
7709840210;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛУКОЙЛ-МНОГОФУНКЦИОНАЛЬНЫЙ ЦЕНТР ПОДДЕРЖКИ БИЗНЕСА""";1;;1;;1;0;0;0;состояние доказано
5243000185;"ЗАО ""Арзамасский хлеб""";1;1;;;37;0;0;0;состояние доказано
3524015320;"ООО ""ШКХП""";1;1;;;1;0;0;0;состояние доказано
6027143462;"ГБУ ПО ""ПСКОВАВТОДОР""";1;;1;;16;16;3;0;состояние доказано
7727178374;Государственное бюджетное учреждение города Москвы «Жилищник района Черемушки»;1;;1;;1;0;0;0;состояние доказано
6439098794;"ООО ""ИНФОТЕХ БАЛАКОВО""";1;;1;;1;0;0;0;состояние доказано
1328016109;"АО ""ТЕПЛИЧНОЕ""";1;;1;;1;0;0;0;состояние доказано
7816723776;"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""СЛУЖБА СОПРОВОЖДЕНИЯ ПРОГРАММНЫХ КОМПЛЕКСОВ""";1;;1;;5;4;0;0;состояние доказано
2457058758;"ООО ""НН-СЕРВИС""";1;;1;;1;0;0;0;состояние доказано
5445016903;"ООО ""НСК-ЭКСПЕРТ""";1;1;;;1;0;0;0;состояние доказано
5022088262;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ДОСУГА И КУЛЬТУРЫ ""ПИРОЧИ""";1;;1;;1;0;0;0;состояние доказано
7721628500;"ОАО ПГ ""НОВИК""";1;;1;;1;0;0;0;состояние доказано
7726738619;Государственное бюджетное учреждение города Москвы «Жилищник Нагорного района»;1;;1;;2;1;0;0;состояние доказано
5005000148;"АО ""Воскресенские минеральные удобрения""";1;1;;;1;0;0;0;состояние доказано
7707311363;"ФГУП ""УВО МИНТРАНСА РОССИИ""";1;;1;;10;9;0;0;состояние доказано
7327077188;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ УЛЬЯНОВСКИЙ АВТОМОБИЛЬНЫЙ ЗАВОД;1;;1;;1;0;0;0;состояние доказано
2315990838;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""МУНИЦИПАЛЬНЫЙ ПАССАЖИРСКИЙ ТРАНСПОРТ НОВОРОССИЙСКА""";1;;1;;1;0;0;0;состояние доказано
4205001274;"ПАО ""КОКС""";1;1;;;1;0;0;0;состояние доказано
0253019901;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""АГИДЕЛЬВОДОКАНАЛ"" ГОРОДСКОГО ОКРУГА ГОРОД АГИДЕЛЬ РЕСПУБЛИКИ БАШКОРТОСТАН";1;;1;;2;1;0;0;состояние доказано
7714572888;АОСТНГ;1;;1;;5;4;0;0;состояние доказано
1304004070;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ МОРДОВИЯ ""БЕРЕЗНИКОВСКОЕ ТЕРРИТОРИАЛЬНОЕ ЛЕСНИЧЕСТВО""";1;;1;;1;0;0;0;состояние доказано
5017140679;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""АЛЛЕЯ СЛАВЫ"" МУНИЦИПАЛЬНОГО ОКРУГА ИСТРА";1;;1;;1;0;0;0;состояние доказано
3914790290;ППО БАЛТИЙСКОЙ АЭС;1;;1;;1;0;0;0;состояние доказано
2334018032;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ КАНЕВСКОЙ РАЙОН ""ЦЕНТРАЛИЗОВАННАЯ БУХГАЛТЕРИЯ УЧРЕЖДЕНИЙ ОБ";1;;1;;1;0;0;0;состояние доказано
7710177774;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ФИНАНСОВО-ХОЗЯЙСТВЕННОЕ УПРАВЛЕНИЕ""";1;;1;;5;4;0;0;состояние доказано
5404037541;"ООО  ""ГОФ Анжерская""";1;1;;;1;0;0;0;состояние доказано
6661024788;"ЗАО ""УРАЛТЕХМАРКЕТ""";1;1;;;1;0;0;0;состояние доказано
