inn;predpriyatie;sostoyaniy;est;pokupaet;planiruet;region;est_sajt_u_nas;est_telefon_u_nas;est_tehchelovek_u_nas;chto_nuzhno
8904034777;"ООО ""ГАЗПРОМ ДОБЫЧА ЯМБУРГ""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
7722245108;"ООО ""МЕЧЕЛ-ЭНЕРГО""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
7017005289;"ООО ""ГАЗПРОМ ТРАНСГАЗ ТОМСК""";2;1;1;;Томская;;;;"site;phones;emails;люди из вашей живой базы"
7705035012;"ПАО ""Мосэнерго""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
7203162698;"ПАО ""ФОРВАРД ЭНЕРГО""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
7424024375;"ПАО ""ЮГК""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
8903019871;"ООО ""ГАЗПРОМ ДОБЫЧА НАДЫМ""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
8905026850;"ООО ""ГАЗПРОМ ДОБЫЧА НОЯБРЬСК""";2;1;1;;Ямало-Ненецкий;1;1;;"site;phones;emails;люди из вашей живой базы"
8622000931;"ООО ""ГАЗПРОМ ТРАНСГАЗ ЮГОРСК""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
5920000593;"ООО ""ГАЗПРОМ ТРАНСГАЗ ЧАЙКОВСКИЙ""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
7841312071;"ПАО ""ТГК-1""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
7839395419;"АО ""АДМИРАЛТЕЙСКИЕ ВЕРФИ""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
6906011179;"ООО ""Тверская генерация""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
7017156263;"ООО ""ГАЗПРОМ МЕТАНОЛ""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
2308065678;"ООО ""ГАЗПРОМ ДОБЫЧА КРАСНОДАР""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
5256049357;"ООО ""АВТОЗАВОДСКАЯ ТЭЦ""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
5003028155;"ООО ""ГАЗПРОМ ВНИИГАЗ""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";2;1;1;;Красноярский;;1;;"site;phones;emails;люди из вашей живой базы"
1102054991;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""";2;1;1;;Санкт-Петербург;1;1;;"site;phones;emails;люди из вашей живой базы"
5103070023;"АО ""АПАТИТ""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
8608048498;"ООО ""ЛУКОЙЛ-ЗАПАДНАЯ СИБИРЬ""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
7723006328;"АО ""ГАЗПРОМНЕФТЬ - МНПЗ""";2;1;1;;Москва;1;1;;"site;phones;emails;люди из вашей живой базы"
8617002073;"ООО ""ГАЗПРОМ ТРАНСГАЗ СУРГУТ""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
5191431170;"АО ""КОЛЬСКАЯ ГМК""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
1644003838;"ПАО ""ТАТНЕФТЬ"" ИМ. В.Д. ШАШИНА";2;1;1;;Татарстан;1;1;;"site;phones;emails;люди из вашей живой базы"
7805018099;"ООО ""ГАЗПРОМ ТРАНСГАЗ САНКТ-ПЕТЕРБУРГ""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
7703647595;"АО ""ОХК ""УРАЛХИМ""";2;1;1;;Москва;;1;;"site;phones;emails;люди из вашей живой базы"
7450001007;"ПАО ""ЧМК""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
5260080007;"ООО ""ГАЗПРОМ ТРАНСГАЗ НИЖНИЙ НОВГОРОД""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
7022000310;"АО ""ТОМСКНЕФТЬ"" ВНК";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
4221000535;"АО ""РУСАЛ НОВОКУЗНЕЦК""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
7117000076;"АО ""Пластик""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
7728640182;"ООО ""ГАЗПРОМНЕФТЬ -СМ""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
9106001900;"АО ""СЗ""";2;1;1;;Республика Крым;1;1;;"site;phones;emails;люди из вашей живой базы"
4214000608;"ПАО ""ЮЖНЫЙ КУЗБАСС""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
6315000291;"ООО ""ГАЗПРОМ ТРАНСГАЗ САМАРА""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
7415036215;"АО ""ЭнСер""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
5003003915;"АО ""Москокс""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
6629022962;"АО ""УЭХК""";2;1;1;;Новоуральск;1;1;;"site;phones;emails;люди из вашей живой базы"
7802849641;"ООО ""ПК ""БАЛТИКА""";2;1;1;;Санкт-Петербург;1;1;;"site;phones;emails;люди из вашей живой базы"
7450043423;"ООО ""Мечел-Кокс""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
6618000220;"ОАО ""Святогор""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
7716182080;"ООО ""ДИАЛЛ АЛЬЯНС""";2;1;1;;Саратовская;;;;"site;phones;emails;люди из вашей живой базы"
6500000024;"ПАО ""Сахалинэнерго""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
5452114972;"АО ""Ерофеев""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
3435900186;"АО ""ВТЗ""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
5902201970;"ООО ""ЛУКОЙЛ-ПЕРМЬ""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
5321029508;"ПАО ""АКРОН""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
5607019523;"АО ""УРАЛЬСКАЯ СТАЛЬ""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
6335007320;"АО ""ПРОМСИНТЕЗ""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
4633001577;"АО ""МИХАЙЛОВСКИЙ ГОК ИМ. А.В. ВАРИЧЕВА""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
6615001962;"АО ""ЕВРАЗ КГОК""";2;1;1;;Свердловская;1;1;;"site;phones;emails;люди из вашей живой базы"
6320004630;"ПАО ""АЗОТРЕММАШ""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
7417001747;"ПАО ""КОМБИНАТ ""МАГНЕЗИТ""";2;1;1;;;;;1;"site;phones;emails;люди из вашей живой базы"
2457029066;МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОД Н;2;;1;1;;;;1;"site;phones;emails;люди из вашей живой базы"
7730248021;"ООО ""ИСО""";2;1;1;;;;;1;"site;phones;emails;люди из вашей живой базы"
6230051360;"ООО ""ЗАВОД ТЕХНО""";2;1;1;;;;;1;"site;phones;emails;люди из вашей живой базы"
9703126797;"ООО ЦОФ ""ТРЕТЬЯКОВСКАЯ""";2;1;1;;;;;1;"site;phones;emails;люди из вашей живой базы"
1117000011;"АО ""Боксит Тимана""";2;1;1;;;;;1;"site;phones;emails;люди из вашей живой базы"
1656025681;"ФКП ""КГКПЗ""";2;1;1;;;;;1;"site;phones;emails;люди из вашей живой базы"
4253029223;"ООО ""ЦОФ ""Щедрухинская""";2;1;1;;;;;1;"site;phones;emails;люди из вашей живой базы"
2443005570;"АО ""РУСАЛ АЧИНСК""";2;1;1;;;;;1;"site;phones;emails;люди из вашей живой базы"
7321316986;"ООО ""ЗАВОД ТЕХНОНИКОЛЬ-УЛЬЯНОВСК""";2;1;1;;;;;1;"site;phones;emails;люди из вашей живой базы"
4218107045;"ООО ""ШАХТА ""ЮБИЛЕЙНАЯ""";2;1;1;;;;;1;"site;phones;emails;люди из вашей живой базы"
4205003440;"АО ""КТК"" (ИНН 4205003440)";2;1;1;;;;;1;"site;phones;emails;люди из вашей живой базы"
6167128827;"ООО ""ИМПЭКС-ДОН""";2;1;1;;;;;1;"site;phones;emails;люди из вашей живой базы"
7715729877;"АО ""ЖЕЛДОРРЕММАШ""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
4312126856;"ООО ""ГАЛОПОЛИМЕР КИРОВО-ЧЕПЕЦК""";2;1;1;;Кировская область;1;1;;"site;phones;emails;люди из вашей живой базы"
2465043748;"ООО ""КРАМЗ""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
2465000141;"АО ""РУСАЛ КРАСНОЯРСК""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
3435051260;"ООО ""ВАЛКОМ-ПМ""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
4715030610;"ООО ""ПГЛЗ""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
1651025328;"АО ""ТАИФ-НК""";2;1;1;;Татарстан;1;1;;"site;phones;emails;люди из вашей живой базы"
4701000013;"АО ""РУСАЛ БОКСИТОГОРСК""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
1902015920;"АО ""РУСАЛ САЯНАЛ""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
4250005979;"АО ""УК ""СЕВЕРНЫЙ КУЗБАСС""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
1435029085;"ПАО ""ЛОРП""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
7204095194;"ООО ""ТЮМЕНЬ ВОДОКАНАЛ""";2;1;1;;Тюменская;1;1;;"site;phones;emails;люди из вашей живой базы"
6671156423;"ПАО ""ЭЛ5-ЭНЕРГО""";2;1;;1;Свердловская;1;1;;"site;phones;emails;люди из вашей живой базы"
4909095279;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""УСТЬ-СРЕДНЕКАНГЭССТРОЙ""";2;;1;1;;;;;"site;phones;emails;люди из вашей живой базы"
8700000339;"АО ""Чукотэнерго""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
4100000668;"ПАО ""КАМЧАТСКЭНЕРГО""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
5190930843;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АРКТИКМОРНЕФТЕГАЗРАЗВЕДКА""";2;;1;1;;;;;"site;phones;emails;люди из вашей живой базы"
5017046933;"МУП ""Истринская теплосеть""";2;;1;1;;;;;"site;phones;emails;люди из вашей живой базы"
3453004143;"ООО ""КАМЫШИНСКАЯ ТЭЦ""";2;1;;1;;;;;"site;phones;emails;люди из вашей живой базы"
2536112729;"КГУП ""Примтеплоэнерго""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
5106800454;"ООО ""ЛОВОЗЕРСКИЙ ГОК""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
3435900563;"АО ""ВОЛЖСКИЙ ОРГСИНТЕЗ""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
5906006610;"МУП ""Пермгорэлектротранс""";2;;1;1;;;;;"site;phones;emails;люди из вашей живой базы"
9104031842;"АО ""БАХЧИСАРАЙСКИЙ ЦЕМЕНТНЫЙ ЗАВОД""";2;;1;1;;;;;"site;phones;emails;люди из вашей живой базы"
3812100646;"ООО ""ГАЗПРОМ ДОБЫЧА ИРКУТСК""";2;1;1;;Иркутская;;;;"site;phones;emails;люди из вашей живой базы"
4705014708;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОКАНАЛ"" Г.ГАТЧИНА";2;;1;1;;;;;"site;phones;emails;люди из вашей живой базы"
5253000836;"ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НИЖЕГОРОДСКОЙ ОБЛАСТИ ""НИЖЕГОРОДЭЛЕКТРОТРА";2;;1;1;;;;;"site;phones;emails;люди из вашей живой базы"
7702352454;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";2;;1;1;;;;;"site;phones;emails;люди из вашей живой базы"
2902059091;"АО ""ПО ""СЕВМАШ""";2;1;1;;Архангельская;;1;;"site;phones;emails;люди из вашей живой базы"
7721632827;"АО ""КОНЦЕРН РОСЭНЕРГОАТОМ""";2;1;1;;Москва;;1;;"site;phones;emails;люди из вашей живой базы"
2902060361;"АО ""ЦС ""ЗВЕЗДОЧКА""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
8620018330;"АО ""НИЖНЕВАРТОВСКАЯ ГРЭС""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
4716016979;"ПАО ""РОССЕТИ""";2;1;;1;Москва;;1;;"site;phones;emails;люди из вашей живой базы"
7736050003;"ПАО ""Газпром""";2;1;1;;Санкт-Петербург;1;1;;"site;phones;emails;люди из вашей живой базы"
4222010511;"ПАО ""ЮК ГРЭС""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
2607018122;"ПАО ""ОГК-2""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
0560022871;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ ПРОЕКТИРОВАНИЕ""";2;;1;1;;;;;"site;phones;emails;люди из вашей живой базы"
7728549952;"ООО ""КВАРЦ Групп""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
7201000726;"АО ""ТРАНСНЕФТЬ - СИБИРЬ""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
7019035722;"АО ""ГАЗПРОМ ДОБЫЧА ТОМСК""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
1651057954;"ООО ""НИЖНЕКАМСКАЯ ТЭЦ""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
1435117944;"Акционерное общество ""Сахаэнерго""";2;;1;1;;;;;"site;phones;emails;люди из вашей живой базы"
6950207050;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОБЪЕДИНЕННЫЕ ЭНЕРГЕТИЧЕСКИЕ ";2;;1;1;;;;;"site;phones;emails;люди из вашей живой базы"
0278030985;"ПАО ""ГАЗПРОМ ГАЗОРАСПРЕДЕЛЕНИЕ УФА""";2;1;1;;Республика Башкортостан;1;1;;"site;phones;emails;люди из вашей живой базы"
5919470019;"ОАО ""СМЗ"" (ИНН 5919470019)";2;1;1;;Пермский край;1;1;;"site;phones;emails;люди из вашей живой базы"
7017373959;"АО ""ТОМСКАЯ ГЕНЕРАЦИЯ""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
1103006077;"ООО ""Воркутинские ТЭЦ""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
7843003128;"АО ""КРОНШТАДТСКИЙ МОРСКОЙ ЗАВОД""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
3808271889;"ООО ""БЭК-РЕМОНТ""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
4704012874;"ПАО ""ВСЗ""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
3661022760;МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ ГОРОДСКОГО ОКРУГА ГОРОД ВОРОНЕЖ МУН;2;;1;1;;;;;"site;phones;emails;люди из вашей живой базы"
7709105630;"АО ""ГАЗЭНЕРГОСЕРВИС""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
3665046177;АО КБХА;2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
0276178778;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦИАЛИЗИРОВАННОЕ АВТОМОБИЛЬНОЕ ХОЗЯЙСТВО ПО УБ";2;;1;1;;;;;"site;phones;emails;люди из вашей живой базы"
5005038631;"МУП ""Белоозерское ЖКХ""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
6630002336;"ФГУП ""Комбинат ""Электрохимприбор""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
3250054100;"ГУП ""БРЯНСККОММУНЭНЕРГО""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
8904051130;"ООО ""ГАЗПРОМ ПОДЗЕМРЕМОНТ УРЕНГОЙ""";2;1;1;;Санкт-Петербург;;;;"site;phones;emails;люди из вашей живой базы"
0268000188;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""СТЕРЛИТАМАКВОДОКАНАЛ"" ГОРОДСКОГО ";2;;1;1;;;;;"site;phones;emails;люди из вашей живой базы"
9705068572;Общество с ограниченной ответственностью «Альтернативная генерирующая ;2;;1;1;;;;;"site;phones;emails;люди из вашей живой базы"
2511111265;"АО ""УПТС""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
1655018804;"ФГБОУ ВО ""КНИТУ""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
1103047637;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОРКУТИНСКИЙ ВОДОКАНАЛ"" МУНИЦИПАЛ";2;;1;1;;;;;"site;phones;emails;люди из вашей живой базы"
7414000657;"МП ТРЕСТ ""ТЕПЛОФИКАЦИЯ""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
1911000014;"Открытое акционерное общество ""КОММУНАРОВСКИЙ РУДНИК""";2;;1;1;;;;;"site;phones;emails;люди из вашей живой базы"
2706000260;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ ""АМУРСКИЙ ПАТРОННЫЙ ЗАВОД ""ВЫМПЕЛ"" ИМ";2;;1;1;;;;;"site;phones;emails;люди из вашей живой базы"
8904002359;"АО ""АРКТИКГАЗ""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
5250043567;"ООО ""ЛУКОЙЛ-НИЖЕГОРОДНЕФТЕОРГСИНТЕЗ""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
2722010040;"АО ""ННК-ХАБАРОВСКИЙ НПЗ""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
6146004404;"АО ""ШАХТОУПРАВЛЕНИЕ ""ОБУХОВСКАЯ""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
2903000446;"АО ""АРХАНГЕЛЬСКИЙ ЦБК"", АЦБК";2;1;1;;Архангельская;1;1;;"site;phones;emails;люди из вашей живой базы"
1902014500;"АО ""РУСАЛ САЯНОГОРСК""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
2453013555;"АО ""ПО ЭХЗ""";2;1;1;;Красноярский край;1;;;"site;phones;emails;люди из вашей живой базы"
3435098928;"ООО ""ЛУКОЙЛ-ВОЛГОГРАДЭНЕРГО""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
1901067718;"АО ""ЕНИСЕЙСКАЯ ТГК (ТГК-13)""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
8605003932;"ПАО ""СН-МНГ""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
6317024749;"АО ""ТРАНСНЕФТЬ-ПРИВОЛГА""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
5001071638;"ООО ""КРИОГАЗ"" (ИНН 5001071638)";2;1;1;;Екатеринбург;1;1;;"site;phones;emails;люди из вашей живой базы"
5003063216;"ООО ""КРИОГАЗ СЕВЕРО-ЗАПАД""";2;1;1;;;1;1;;"site;phones;emails;люди из вашей живой базы"
7702038150;"ГУП ""Московский метрополитен""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
2208000010;"АО ""АЛТАЙВАГОН""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
3016059510;"ООО ""ЛУКОЙЛ-АСТРАХАНЬЭНЕРГО""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
8903021599;"ООО ""НОВАТЭК-ЮРХАРОВНЕФТЕГАЗ""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
7708503727;"ОАО ""РЖД"" (ИНН 7708503727)";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
6318105574;"АО ""МЕТАЛЛИСТ-САМАРА""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
1500004950;"Акционерное общество ""Инфраструктурные Проекты""";2;;1;1;;;;;"site;phones;emails;люди из вашей живой базы"
4200000333;"АО ""КУЗБАССЭНЕРГО""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
5001000066;"АО ""КРИОГЕНМАШ""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
5906042295;"ООО ""ТЕПЛО-М""";2;1;;1;;;;;"site;phones;emails;люди из вашей живой базы"
8912001990;"ОАО ""Севернефтегазпром""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
6612000551;"АО ""СинТЗ""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
9701011913;"ООО ""ЗАРУБЕЖНЕФТЬ-ДОБЫЧА ХАРЬЯГА""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
5003026493;"ООО ""ГАЗПРОМ БУРЕНИЕ""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
7830001028;"ГУП ""ТЭК СПБ""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
3815011264;"ООО ""РУСАЛ ТАЙШЕТ""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
1215085052;"АО""ЗПП""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
5906034209;"ООО ""МГМ"" (ИНН 5906034209)";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
5911013780;"АО ""БСЗ"" (ИНН 5911013780)";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
7702235133;БАНК РОССИИ;2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
7702509257;"ООО ""НГКО НОВАЯ ГАЗОВАЯ КОМПАНИЯ""";2;1;1;;;1;1;;"site;phones;emails;люди из вашей живой базы"
6451114530;"АО ""САРАТОВГАЗ""";2;1;1;;Саратовская область;;;;"site;phones;emails;люди из вашей живой базы"
4345047310;"АО ""ВМП ""АВИТЕК""";2;1;1;;Кировская;;;;"site;phones;emails;люди из вашей живой базы"
7805059786;"АО ""МЗ ""ПЕТРОСТАЛЬ""";2;1;1;;Санкт-Петербург;;;;"site;phones;emails;люди из вашей живой базы"
1420041925;"АО ГРК ""Западная""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
7705551779;"ООО ""РИ-ИНВЕСТ""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
5610218014;"ООО ""ГАЗПРОМНЕФТЬ-ОРЕНБУРГ""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
5908006119;"ФКП ""ПЕРМСКИЙ ПОРОХОВОЙ ЗАВОД""";2;1;1;;Пермский;;1;;"site;phones;emails;люди из вашей живой базы"
