organizator_na_ploshchadke;inn_dadata;egrul_nazvanie;okved;region;score_sopostavleniya;nash_iz_543;zapros;predmet_lota;summa;sekciya;nomer;data_publikacii
"АО ""ТРАНСНЕФТЬ-УРАЛ""";0278039018;"КУРГАНСКОЕ НЕФТЕПРОВОДНОЕ УПРАВЛЕНИЕ АКЦИОНЕРНОГО ОБЩЕСТВА ""ТРАНСНЕФТЬ-УРАЛ"" КНУ АО ""ТРАНСНЕФТЬ-УРАЛ""";;Курганская обл;1.0;;воздуходувка;2600-M01-К-12-01438-2026 «Воздуходувка»;842 778.65;Закупки ПАО Транснефть и ОСТ;SBR043-2607210033.100247211;21.07.2026 12:41
АО 'Транснефть-Западная Сибирь';5502020634;"АО ""ТРАНСНЕФТЬ-ЗАПАДНАЯ СИБИРЬ""";49.50.11;Омская обл;1.0;;компрессор;1100-A01-К-12-01561-2026 «Механо-технологическое оборудование (Компрессора)»;237 119.98;Закупки ПАО Транснефть и ОСТ;SBR043-2607230022.100247151;23.07.2026 06:25
"БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ОРЛОВСКОЙ ОБЛАСТИ ""ПЛЕЩЕЕВСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""";5720004311;"БУЗ ОРЛОВСКОЙ ОБЛАСТИ ""ПЛЕЩЕЕВСКАЯ ЦРБ""";86.10;Орловская обл;0.33;;воздуходувка;Воздуходувка;19  969.28;Госзакупки по 44-ФЗ;0354300059126000056;19.03.2026 10:16
"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ВЛАДИМИРСКОЙ ОБЛАСТИ ""ОБЛАСТНОЙ КЛИНИЧЕСКИЙ ОНКОЛОГИЧЕСКИЙ ДИСПАНСЕР""";3329009147;"ГБУЗВО ""ОКОД""";86.10;Владимирская обл;0.0;;компрессор;"Поставка компрессора с комплектом для монтажа для нужд ГБУЗВО ""ОКОД""";750 000.00;Госзакупки по 44-ФЗ;0328200001726000072;15.07.2026 13:52
"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ПЕРМСКОГО КРАЯ ""ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА ИМ. М.А. ТВЕРЬЕ""";5905059183;"ГБУЗ ПК ""ГКБ ИМ. М.А. ТВЕРЬЕ""";86.10;Пермский край;0.1;;компрессор;Компрессор промышленный;1  333 000.02;Госзакупки по 44-ФЗ;0356500003326000352;21.07.2026 13:45
"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ПЕРМСКОГО КРАЯ ""ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА ИМ. М.А. ТВЕРЬЕ""";5905059183;"ГБУЗ ПК ""ГКБ ИМ. М.А. ТВЕРЬЕ""";86.10;Пермский край;0.1;;компрессор;Компрессор промышленный;1  333 000.02;Госзакупки по 44-ФЗ;0356500003326000343;15.07.2026 13:12
"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ЗАКУПОК И БУХГАЛТЕРСКОГО УЧЕТА КУРГАНСКОЙ ОБЛАСТИ""";4501214152;"ГКУ ""ЦЗБУ КО""";69.20.2;Курганская обл;0.0;;воздуходувка;Поставка воздуходувок бензиновых;32  426.60;Госзакупки по 44-ФЗ;0843500000226002105;22.04.2026 14:15
"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ЗАКУПОК И БУХГАЛТЕРСКОГО УЧЕТА КУРГАНСКОЙ ОБЛАСТИ""";4501214152;"ГКУ ""ЦЗБУ КО""";69.20.2;Курганская обл;0.0;;воздуходувка;Поставка ручного инструмента (воздуходувка, бензопила);127 116.00;Госзакупки по 44-ФЗ;0843500000226001904;15.04.2026 12:11
"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ПЕНЗЕНСКОЙ ОБЛАСТИ ""УПРАВЛЕНИЕ ПО ОСУЩЕСТВЛЕНИЮ ЗАКУПОК ПЕНЗЕНСКОЙ ОБЛАСТИ""";;;;;;;компрессор;Поставка медицинских изделий (Компрессор воздушный для медицинских изделий), ввод в эксплуатацию медицинских изделий, обучение правилам эксплуатации специалистов, эксплуатирующих медицинские изделия;1  419 522.00;Госзакупки по 44-ФЗ;0855200000526002694;21.07.2026 13:58
"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ПЕРМСКОГО КРАЯ ""ЦЕНТР ОРГАНИЗАЦИИ ЗАКУПОК""";;;;;;;турбокомпрессор;Приобретение турбокомпрессора воздушного с электродвигателем на общей фундаментной раме.;3  343 333.33;Госзакупки по 44-ФЗ;0356500001426006457;27.07.2026 13:39
"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ САХА (ЯКУТИЯ) ""ЦЕНТР ЗАКУПОК РЕСПУБЛИКИ САХА (ЯКУТИЯ)""";1435335477;"ГКУ РС(Я) ""ЦЕНТР ЗАКУПОК РС(Я)""";84.11.11;Респ Саха (Якутия);0.25;;воздуходувка;Воздуходувка;251 466.68;Госзакупки по 44-ФЗ;0816500000626007995;08.05.2026 10:25
"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ СВЕРДЛОВСКОЙ ОБЛАСТИ ""УПРАВЛЕНИЕ ЗДАНИЯМИ ПРАВИТЕЛЬСТВА СВЕРДЛОВСКОЙ ОБЛАСТИ""";6658001558;"ГКУСО ""УЗПСО""";68.32.2;Свердловская обл;0.0;;воздуходувка;"Поставка преобразователя частоты для электродвигателя воздуходувки на очистных сооружениях объекта ГКУСО ""УЗПСО""";61  030.33;Госзакупки по 44-ФЗ;0362200032326000046;18.03.2026 14:20
"ГП ЧАО ""ЧУКОТКОММУНХОЗ""";8700000466;"ГП ЧАО ""ЧУКОТКОММУНХОЗ""";35.30.14;Чукотский АО;1.0;;турбокомпрессор;Поставка турбокомпрессора;250 021.00;Закупки по 223-ФЗ;SBR003-260000919600079.1;18.05.2026 09:01
"ГУП КК ""КУБАНЬВОДКОМПЛЕКС""";2310010637;"ГУП КК ""КУБАНЬВОДКОМПЛЕКС""";36.00.1;Краснодарский край;1.0;;компрессор;Компрессор кондиционера;39  200.00;SberB2B;60095323;09.07.2026 11:46
"ГУП КК ""КУБАНЬВОДКОМПЛЕКС""";2310010637;"ГУП КК ""КУБАНЬВОДКОМПЛЕКС""";36.00.1;Краснодарский край;1.0;;компрессор;Компрессор кондиционера;39  200.00;SberB2B;81979253;09.07.2026 11:08
ДЕПАРТАМЕНТ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК АДМИНИСТРАЦИИ ГОРОДА ОМСКА;5504221054;ДКС АДМИНИСТРАЦИИ Г.ОМСКА;84.11.35;Омская обл;0.25;;турбокомпрессор;Оказание услуг по ремонту турбокомпрессоров (Реестровый номер 32.1529.25);1  500 000.00;Госзакупки по 44-ФЗ;0152300011925001543;22.12.2025 13:14
ДЕПАРТАМЕНТ ЛЕСНОГО ХОЗЯЙСТВА ПО СЕВЕРО-ЗАПАДНОМУ ФЕДЕРАЛЬНОМУ ОКРУГУ;7802384322;ДЕПАРТАМЕНТ ЛЕСНОГО ХОЗЯЙСТВА ПО СЗФО;84.11.12;г Санкт-Петербург;0.5;;воздуходувка;Приобретение воздуходувки;54  912.00;Госзакупки по 44-ФЗ;0372100014926000002;01.04.2026 10:33
"МБУ ""ДОРРЕМСТРОЙ""";7326045761;"МБУ ""ДОРРЕМСТРОЙ""";81.29.2;Ульяновская обл;1.0;;турбокомпрессор;Срочно! Услуги по ремонту турбокомпрессора КАМАЗ 6520;0.00;SberB2B;6454777;16.06.2026 14:06
МКП ЯО;;;;;;;турбокомпрессор;"Поставка турбокомпрессора для нужд АО ""Ярославское АТП""";518 148.00;Закупки по 223-ФЗ;SBR003-260605505200139.1;18.03.2026 10:16
МКП ЯО;;;;;;;турбокомпрессор;"Поставка запасных частей для нужд АО ""Ярославское АТП"" (турбокомпрессор и картриджи)";282 005.00;Закупки по 223-ФЗ;SBR003-250605505200529.1;26.11.2025 16:16
"МП  ""РАДУГА""";5224003504;"МП ""РАДУГА""";37.00;Нижегородская обл;1.0;;турбокомпрессор;Поставка турбокомпрессора ТВ50-1,6-01.У3 с электродвигателем на общей фундаментной раме и проведение пусконаладочных работ;3  660 000.00;Закупки по 223-ФЗ;SBR003-260553745800001.1;23.03.2026 16:37
МТУ РОСИМУЩЕСТВА В МУРМАНСКОЙ ОБЛАСТИ И РЕСПУБЛИКЕ КАРЕЛИЯ;5190915348;МТУ РОСИМУЩЕСТВА В МУРМАНСКОЙ ОБЛАСТИ И РЕСПУБЛИКЕ КАРЕЛИЯ;84.11.8;Мурманская обл;1.0;;компрессор;Реализация имущества, обращенного в собственность государства № 333и/24-100% от 23.07.2026;59  544.00;Приватизация, аренда и продажа прав;SBR012-2607230089.1;23.07.2026 12:38
"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР БЛАГОУСТРОЙСТВА ТЕРРИТОРИЙ"" НЕКОУЗСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ЯРОСЛАВСКОЙ ОБЛАСТИ";7610144768;"МБУ ""ЦЕНТР БЛАГОУСТРОЙСТВА ТЕРРИТОРИЙ""";81.30;Ярославская обл;0.27;;воздуходувка;Поставка воздуходувки бензиновой ранцевой;20  000.00;Госзакупки по 44-ФЗ;0371600005526000009;15.07.2026 09:17
МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ХОЗЯЙСТВЕННО-ЭКСПЛУАТАЦИОННАЯ СЛУЖБА СИСТЕМЫ ОБРАЗОВАНИЯ;;;;;;;центробежный компрессор;"Трубы стальные электросварные; Насосы центробежные подачи жидкостей прочие; Компрессоры прочие; Оборудование котельное; Котлы водогрейные центрального отопления для производства горячей воды или пара низкого давления; Прокат листовой горячекатаный из нелегированных сталей, без дополнительной обработки, шириной не менее 600 мм";2  168 454.42;Госзакупки по 44-ФЗ;0391300165921000002;16.08.2021 07:04
"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ МУНИЦИПАЛЬНОГО ЗАКАЗА ГОРОДА ЛИПЕЦКА""";4826148199;"МКУ ""УПРАВЛЕНИЕ МУНИЦИПАЛЬНОГО ЗАКАЗА ГОРОДА ЛИПЕЦКА""";84.11.35;Липецкая обл;0.62;;турбокомпрессор;Поставка турбокомпрессора для ВКМ 2020;238 960.00;Госзакупки по 44-ФЗ;0846600002126000410;24.06.2026 15:35
"МУНИЦИПАЛЬНОЕ УЧРЕЖДЕНИЕ КУЛЬТУРЫ ""ЦЕНТРАЛИЗОВАННАЯ КЛУБНАЯ СИСТЕМА""";1636001499;"МБУ ""ЦЕНТРАЛИЗОВАННАЯ КЛУБНАЯ СИСТЕМА""";90.04.3;Респ Татарстан;0.5;;воздуходувка;«Приобретение техники для газонов (газонокосилка бензиновая, триммер бензиновый, воздуходувка бензиновая) для нужд МУК «ЦКС»;166 646.00;Госзакупки по 44-ФЗ;0860300005726000012;10.04.2026 15:22
"МУП ""ЖИЛКОМУСЛУГИ""";1101149464;"МУП ""ЖИЛКОМУСЛУГИ""";35.30.14;Респ Коми;1.0;;воздуходувка;Поставка вихревой воздуходувки;385 154.11;Закупки по 223-ФЗ;SBR003-260123778400019.1;29.06.2026 11:21
"МУП ГЭТ ""УКТ"" Г.КАЛУГИ";4026000490;"МУП ГЭТ ""УКТ"" Г.КАЛУГИ";49.31.22;Калужская обл;1.0;;турбокомпрессор;ЭАУ139-26 Поставка турбокомпрессора;250 000.00;Закупки по 223-ФЗ;SBR003-260113443000126.1;04.06.2026 16:11
"МУП ГЭТ ""УКТ"" Г.КАЛУГИ";4026000490;"МУП ГЭТ ""УКТ"" Г.КАЛУГИ";49.31.22;Калужская обл;1.0;;турбокомпрессор;ЭАУ104-26 поставка клапана перепускного турбокомпрессора;156 000.00;Закупки по 223-ФЗ;SBR003-260113443000093.1;29.04.2026 14:43
НКРВПС;;;;;;;турбокомпрессор;Выполнение работ по ремонту турбокомпрессоров   для нужд НКРВПС.;449 678.00;Закупки по 223-ФЗ;SBR003-260105545600008.1;19.02.2026 15:42
"ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ КАЗЁННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ДЕЛАМИ УЛЬЯНОВСКОЙ ОБЛАСТИ""";7325056619;"ОГКУ ""УПРАВЛЕНИЕ ДЕЛАМИ УЛЬЯНОВСКОЙ ОБЛАСТИ""";84.11.21;Ульяновская обл;0.5;;компрессор;Компрессор кондиционера для автомобиля;27  300.00;Госзакупки по 44-ФЗ;0368200000926000099;24.07.2026 15:51
"ОНЕЖСКИЙ РАЙОН ВОДНЫХ ПУТЕЙ-ФИЛИАЛ ФЕДЕРАЛЬНОГО БЮДЖЕТНОГО УЧРЕЖДЕНИЯ ""АДМИНИСТРАЦИЯ БЕЛОМОРСКО-ОНЕЖСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""";1013000200;"ОНЕЖСКИЙ РАЙОН ВОДНЫХ ПУТЕЙ-ФИЛИАЛ ФЕДЕРАЛЬНОГО БЮДЖЕТНОГО УЧРЕЖДЕНИЯ ""АДМИНИСТРАЦИЯ БЕЛОМОРСКО-ОНЕЖСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""";;Респ Карелия;1.0;;турбокомпрессор;Поставка турбокомпрессора;160 888.89;Госзакупки по 44-ФЗ;0306100008326000025;20.04.2026 08:58
"ООО ""АВТОТЕХ""";9725045830;"ООО ""АВТОТЕХ""";62.01;г Москва;1.0;;компрессор;Срочно. Виброопоры крепления компрессора пневмоподвески;145 600.00;SberB2B;93459120;20.07.2026 11:29
"ООО ""АРМЗ СЕРВИС""";7708671295;"ООО ""АРМЗ СЕРВИС""";70.22;г Москва;1.0;;центробежный компрессор;Право заключения договора на капитальный ремонт центробежного компрессора 43ВЦ-160/9 заводской №88001 Цех №18. Капитальный ремонт газоохладителей центробежного компрессора 43ВЦ-160/9 заводской №88001 Цех №18.;4  467 000.00;"Закупки ГК ""Росатом""";295779926.1;29.04.2025 19:14
"ООО ""ИНФОТЕХ БАЛАКОВО""";6439098794;"ООО ""ИНФОТЕХ БАЛАКОВО""";63.11.9;Саратовская обл;1.0;;воздуходувка;поставка воздуходувок и насадок к воздуходувкам;55  000.00;SberB2B;69894728;14.05.2026 09:25
"ООО ""КЛИНЦОВСКАЯ ТЭЦ""";3241504722;"ООО ""КЛИНЦОВСКАЯ ТЭЦ""";35.11.1;Брянская обл;1.0;;компрессор;Поставка компрессора (30 кВт, 5000 л/мин, 8 бар);294 655.00;Закупки по 223-ФЗ;SBR003-260622445000014.1;14.07.2026 14:12
"ООО ""МРИЯ""";9103007830;"ООО ""МРИЯ""";86.90.4;Респ Крым;1.0;;компрессор;Поставка компрессоров;2  316 000.00;Торги коммерческих заказчиков;SBR028-2607240015.1;24.07.2026 11:04
"ООО ""МРИЯ""";9103007830;"ООО ""МРИЯ""";86.90.4;Респ Крым;1.0;;компрессор;27023/Поставка компрессоров;;Торги коммерческих заказчиков;SBR028-2607150044.1;15.07.2026 16:26
"ООО ""МРИЯ""";9103007830;"ООО ""МРИЯ""";86.90.4;Респ Крым;1.0;;мрия-контроль;Поставка моторных масел;;Торги коммерческих заказчиков;SBR028-2607290049.1;29.07.2026 16:26
"ООО ""МРИЯ""";9103007830;"ООО ""МРИЯ""";86.90.4;Респ Крым;1.0;;мрия-контроль;Поставка измельчителя-дегидратора пищевых отходов для нужд ООО «МРИЯ»;2  996 451.51;Торги коммерческих заказчиков;SBR028-2607290017.1;29.07.2026 11:45
"ООО ""МРИЯ""";9103007830;"ООО ""МРИЯ""";86.90.4;Респ Крым;1.0;;мрия-контроль;Анализ производительности труда и оптимизации численности персонала;24  900 000.00;Торги коммерческих заказчиков;SBR028-2607290016.1;29.07.2026 11:44
"ООО ""МРИЯ""";9103007830;"ООО ""МРИЯ""";86.90.4;Респ Крым;1.0;;мрия-контроль;Поставка дров колотых, твердолиственных пород деревьев 70% дуба;1  560 000.00;Торги коммерческих заказчиков;SBR028-2607290012.1;29.07.2026 10:41
"ООО ""МРИЯ""";9103007830;"ООО ""МРИЯ""";86.90.4;Респ Крым;1.0;;мрия-контроль;Поставка воды в стекле с СТМ для нужд ООО «МРИЯ.ГАСТРО»;10  800 000.00;Торги коммерческих заказчиков;SBR028-2607290010.1;29.07.2026 10:16
"ООО ""МРИЯ""";9103007830;"ООО ""МРИЯ""";86.90.4;Респ Крым;1.0;;мрия-контроль;Поставка кофейной продукции с арендой кофейного оборудования для нужд ООО «МРИЯ.ГАСТРО»;1  300 002.00;Торги коммерческих заказчиков;SBR028-2607290006.1;29.07.2026 09:52
"ООО ""МРИЯ""";9103007830;"ООО ""МРИЯ""";86.90.4;Респ Крым;1.0;;мрия-контроль;Бумага для годовой Закупки;;Торги коммерческих заказчиков;SBR028-2607270121.1;27.07.2026 16:29
"ООО ""МРИЯ""";9103007830;"ООО ""МРИЯ""";86.90.4;Респ Крым;1.0;;мрия-контроль;Организация автоматического шлагбаума на подъездной дороге к средней станции канатной дороги «Мисхор- Ай-Петри»;;Торги коммерческих заказчиков;SBR028-2607270011.1;27.07.2026 11:04
"ООО ""МРИЯ""";9103007830;"ООО ""МРИЯ""";86.90.4;Респ Крым;1.0;;мрия-контроль;Поставка шпалерной конструкции;4  823 079.20;Торги коммерческих заказчиков;SBR028-2607240016.1;24.07.2026 11:19
"ООО ""МРИЯ""";9103007830;"ООО ""МРИЯ""";86.90.4;Респ Крым;1.0;;мрия-контроль;Поставка компрессоров;2  316 000.00;Торги коммерческих заказчиков;SBR028-2607240015.1;24.07.2026 11:04
"ООО ""МРИЯ""";9103007830;"ООО ""МРИЯ""";86.90.4;Респ Крым;1.0;;мрия-контроль;Поставка программно-аппаратных комплексов Межсетевых экранов;;Торги коммерческих заказчиков;SBR028-2607230032.1;23.07.2026 15:44
"ООО ""МРИЯ""";9103007830;"ООО ""МРИЯ""";86.90.4;Респ Крым;1.0;;мрия-контроль;ПРОДУКТЫ ПИТАНИЯ АВГУСТ 2026 для ООО МРИЯ.ГАСТРО;;Ритейл;SBR051-2607230001.1;23.07.2026 12:15
"ООО ""МРИЯ""";9103007830;"ООО ""МРИЯ""";86.90.4;Респ Крым;1.0;;мрия-контроль;Оказание транспортных услуг для нужд ООО «МРИЯ»;9  565 000.00;Торги коммерческих заказчиков;SBR028-2607220079.1;22.07.2026 17:57
"ООО ""МРИЯ""";9103007830;"ООО ""МРИЯ""";86.90.4;Респ Крым;1.0;;мрия-контроль;ПОСТАВКА перламутровых глянцевых PP стаканов и крышек;1  902 290.00;Торги коммерческих заказчиков;SBR028-2607220053.1;22.07.2026 13:57
"ООО ""МРИЯ""";9103007830;"ООО ""МРИЯ""";86.90.4;Респ Крым;1.0;;мрия-контроль;ПОСТАВКА перламутровых глянцевых PP стаканов и крышек;2  172 550.00;Торги коммерческих заказчиков;SBR028-2607220053.2;22.07.2026 13:57
"ООО ""МРИЯ""";9103007830;"ООО ""МРИЯ""";86.90.4;Респ Крым;1.0;;мрия-контроль;Оказание услуги по установке шпалерной конструкции на участке ОП Родное;3  210 405.00;Торги коммерческих заказчиков;SBR028-2607220048.1;22.07.2026 13:35
"ООО ""МРИЯ""";9103007830;"ООО ""МРИЯ""";86.90.4;Респ Крым;1.0;;мрия-контроль;Поставка гофроящика и гофровкладыша, гофроящика в комплекте с гофрорешеткой для упаковки вина;1  902 290.00;Торги коммерческих заказчиков;SBR028-2607220038.1;22.07.2026 13:10
"ООО ""МРИЯ""";9103007830;"ООО ""МРИЯ""";86.90.4;Респ Крым;1.0;;мрия-контроль;Услуги модернизации системы видеонаблюдения;;Торги коммерческих заказчиков;SBR028-2607210076.1;21.07.2026 18:04
"ООО ""МРИЯ""";9103007830;"ООО ""МРИЯ""";86.90.4;Респ Крым;1.0;;мрия-контроль;Выполнение ремонтных работ отмостки вдоль служебного прохода Mriya Life Institute;;Торги коммерческих заказчиков;SBR028-2607210071.1;21.07.2026 17:45
"ООО ""МРИЯ""";9103007830;"ООО ""МРИЯ""";86.90.4;Респ Крым;1.0;;мрия-контроль;Ремонтно-восстановительные работы по косметическому ремонту потолка, пола и стен в лаундж блока А;967 902.23;Торги коммерческих заказчиков;SBR028-2607200010.1;20.07.2026 10:51
"ООО ""ТРАНСНЕФТЬ - ВОСТОК""";3801079671;"ООО ""ТРАНСНЕФТЬ - ВОСТОК""";49.50.11;Иркутская обл;1.0;;турбокомпрессор;Закупка турбокомпрессора двигатель 4HK1-T 8973628390;0.00;SberB2B;22508905;09.02.2026 10:30
"ООО ""УК ""ЭВОЛЮЦИЯ""";7736259816;"ООО ""УК ""ЭВОЛЮЦИЯ""";68.32.2;г Москва;1.0;;компрессор;Компрессоры спиральные Danfoss, Bitzer или аналог - 4 шт.;0.00;SberB2B;42667485;27.07.2026 13:50
"ООО ""УК ""ЭВОЛЮЦИЯ""";7736259816;"ООО ""УК ""ЭВОЛЮЦИЯ""";68.32.2;г Москва;1.0;;воздуходувка;Поставка МТР (Набор диэлектрического инструмента, Машина шлифовальная угловая аккумуляторная, Воздуходувка);0.00;SberB2B;42444832;06.03.2026 13:30
"ПАО ""Павловский автобус""";5252000350;"ПАО ""ПАВЛОВСКИЙ АВТОБУС""";20.11;Нижегородская обл;1.0;;центробежный компрессор;"Техническое обслуживание центробежных компрессоров ZH4/7 FC6 3st в кол-ве 2 шт. в компрессорной станции ПАО ""Павловский автобус"".";7  107 500.00;Закупки по 223-ФЗ;SBR003-220147656400004.1;13.05.2022 13:56
"ПАО ""Павловский автобус""";5252000350;"ПАО ""ПАВЛОВСКИЙ АВТОБУС""";20.11;Нижегородская обл;1.0;;центробежный компрессор;"Техническое обслуживание центробежных компрессоров ZH4/7 FC6 3st в кол-ве 2 шт. в компрессорной станции ПАО ""Павловский автобус""";5  788 204.00;Закупки по 223-ФЗ;SBR003-210147656400015.1;29.12.2021 10:40
"ПАО ""Павловский автобус""";5252000350;"ПАО ""ПАВЛОВСКИЙ АВТОБУС""";20.11;Нижегородская обл;1.0;;центробежный компрессор;"Техническое обслуживание центробежных компрессоров ZH4/7 FC6 3st в кол-ве 2 шт. в компрессорной станции ПАО ""Павловский автобус""";5  788 204.00;Закупки по 223-ФЗ;SBR003-210147656400014.1;16.12.2021 18:47
"ПАО СЗ ""СЕВЕРНАЯ ВЕРФЬ""";7805034277;"ПАО СЗ ""СЕВЕРНАЯ ВЕРФЬ""";30.11;г Санкт-Петербург;1.0;;компрессор;СРОЧНО !Система ГХУ винтовой компрессор LMR-L48S-28. Дефектация и ремонт клапана всасывающей линии винтового компрессора №2.;0.00;SberB2B;35994098;16.07.2026 16:20
"ПКГУП ""ЧАЙКОВСКИЙ ВОДОКАНАЛ""";5920005217;"ПКГУП ""ЧАЙКОВСКИЙ ВОДОКАНАЛ""";37.00;Пермский край;1.0;;турбокомпрессор;"Поставка ротора турбокомпрессора для КОС участка ВКХ ""Марковский""";1  279 466.67;Закупки по 223-ФЗ;SBR003-260133351800055.1;23.06.2026 14:32
