inn;predpriyatie;sreda;tip_mashiny;marki;tekst;chem_dokazano;ssylka;istochnik;pochemu
0258005638;"АО ""ПОЛИЭФ""";газ или иная среда;объект — трубопровод или сооружение, машина лишь упомянута;2ТD-104A;сооружение «Трубопровод тетрабромэтана от 1,2ТD-104A к ТР-11001-1˝ (линия ТР-11014-25-1Е1ЕТ-Н)», рег. №235-101 (Площадка производства АО «ПОЛИЭФ», корпус 101);заключение ЭПБ № 41-ЗС-25478-2024;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-25478-2024;реестр заключений ЭПБ, monitor-pb.ru;наш же разбор пометил среду «газ или иная», а блок называется «Воздушные и неопределённые»
0263009557;"АО ""МЕЛЕУЗОВСКИЕ МИНЕРАЛЬНЫЕ УДОБРЕНИЯ""";газ или иная среда;поршневая или винтовая;21ВХ280-7-1, | М-61/1,;агрегат компрессорный винтовой 21ВХ280-7-1, поз.М-61/1, зав.№4998, склад сырьевой аммиака АО «Мелеузовские минеральные удобрения», г. Мелеуз;заключение ЭПБ № 49-ТУ-31487-2024;https://monitor-pb.ru/conclusion/49-%D0%A2%D0%A3-31487-2024;реестр заключений ЭПБ, monitor-pb.ru;наш же разбор пометил среду «газ или иная», а блок называется «Воздушные и неопределённые»
0263009557;"АО ""МЕЛЕУЗОВСКИЕ МИНЕРАЛЬНЫЕ УДОБРЕНИЯ""";газ или иная среда;тип не установлен;А 110-7, | М-41/1,;Заключение экспертизы промышленной безопасности на техническое устройство Агрегат компрессорный А 110-7, Поз. М-41/1, зав.№ 15205, цех НАК(ОЖА), склад сырьевой аммиака, производства АО «Мелеузовские м;заключение ЭПБ № 41-ТУ-95267-2023;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-95267-2023;реестр заключений ЭПБ, monitor-pb.ru;наш же разбор пометил среду «газ или иная», а блок называется «Воздушные и неопределённые»
0263009557;"АО ""МЕЛЕУЗОВСКИЕ МИНЕРАЛЬНЫЕ УДОБРЕНИЯ""";газ или иная среда;тип не установлен;А 110 | М-41/2,;Заключение экспертизы промышленной безопасности на техническое устройство Агрегат компрессорный А 110-1р, Поз. М-41/2, зав.№ 24602, цех НАК(ОЖА), склад сырьевой аммиака, производства АО «Мелеузовские ;заключение ЭПБ № 41-ТУ-95269-2023;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-95269-2023;реестр заключений ЭПБ, monitor-pb.ru;наш же разбор пометил среду «газ или иная», а блок называется «Воздушные и неопределённые»
0266008329;"ОАО ""Газпром нефтехим Салават""";газ или иная среда;объект — трубопровод или сооружение, машина лишь упомянута;Н-277.1/2R, | Н-280А | Н-326.1/2R, | Н-327.1/2R,;Трубопровод азота от фланца задвижки Ду150 №2139 на ст.17 л.84 от об.1808 (08432-150-NL), фланца задвижки Ду50 № 2139 на л.5285-50-NR с МЦКдо насоса Н-277.1/2R, Н-280А, Н-326.1/2R, Н-327.1/2R, Н-328.1;заключение ЭПБ № 41-ТУ-05213-2014;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-05213-2014;реестр заключений ЭПБ, monitor-pb.ru;наш же разбор пометил среду «газ или иная», а блок называется «Воздушные и неопределённые»
0266008329;"ОАО ""Газпром нефтехим Салават""";газ или иная среда;поршневая или винтовая;GA250 | ВК-2/1, | ID770 | DD780F;Оборудование установки очи-стки сульфидно-щелочных стоков (блок очистки стоков от фенолов методом озонирования), (НПЗ и завод «Мономер»):• Компрессорная установка на базе винтового компрессора типа GA;заключение ЭПБ № 41-ТУ-29694-2016;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-29694-2016;реестр заключений ЭПБ, monitor-pb.ru;наш же разбор пометил среду «газ или иная», а блок называется «Воздушные и неопределённые»
0266008329;"ОАО ""Газпром нефтехим Салават""";газ или иная среда;центробежная, вид по слову;;Циркуляционный газовый нагнетатель компрессор ИЛКО - 150 поз. ЦГН-3, зав.№ 2969, завод «Мономер», цех №34, установка №2, объект 437;заключение ЭПБ № 41-ТУ-33883-2015;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-33883-2015;реестр заключений ЭПБ, monitor-pb.ru;наш же разбор пометил среду «газ или иная», а блок называется «Воздушные и неопределённые»
0266008329;"ОАО ""Газпром нефтехим Салават""";газ или иная среда;центробежная;;Турбокомпрессор центробежный ЦК -100 - 61, поз. 3, зав.№ 66006, объект 269, Установка производства кислорода и азота, цех №5, ГХЗ;заключение ЭПБ № 41-ТУ-13150-2016;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-13150-2016;реестр заключений ЭПБ, monitor-pb.ru;наш же разбор пометил среду «газ или иная», а блок называется «Воздушные и неопределённые»
0266008329;"ОАО ""Газпром нефтехим Салават""";газ или иная среда;объект — трубопровод или сооружение, машина лишь упомянута;5К345.01;Трубопровод азота от задвижки 4-2 на всас ЦНД, рег.№ 5К345.01, об. 1711, цех № 5, ГХЗ, ОАО «Газпром нефтехим Салават», г. Салават;заключение ЭПБ № 41-ТУ-34563-2015;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-34563-2015;реестр заключений ЭПБ, monitor-pb.ru;наш же разбор пометил среду «газ или иная», а блок называется «Воздушные и неопределённые»
0266008329;"ОАО ""Газпром нефтехим Салават""";газ или иная среда;не установлен;Н-0375 | КА-15;Скруббер азотный, поз. 79, зав. № 621514, рег. № Н-0375 воздухоразделительная установка КА-15, зав. № 14 объект 1711, цех № 5, ГХЗ ОАО «Газпром нефтехим Сала-ват», г. Салават;заключение ЭПБ № 41-ТУ-23739-2016;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-23739-2016;реестр заключений ЭПБ, monitor-pb.ru;наш же разбор пометил среду «газ или иная», а блок называется «Воздушные и неопределённые»
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";газ или иная среда;не установлен;КА-15 | РЗ-32 | К-0304 | К-0301;"Заключение экспертизы промышленной безопасности на технические устройства Аппараты воздухоразделительной установки блока КА-15, зав.№ 14: Регенераторы РЗ-32 поз.1, зав. №37434, рег. №К-0304; поз.2, за";заключение ЭПБ № 41-ТУ-37196-2022;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-37196-2022;реестр заключений ЭПБ, monitor-pb.ru;наш же разбор пометил среду «газ или иная», а блок называется «Воздушные и неопределённые»
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";газ или иная среда;центробежная;К-1500-62-2,;Заключение № 0431 / 17 -25 экспертизы промышленной безопасности на техническое устройство центробежный компрессор марки К-1500-62-2, поз. 1, зав.№8837 (об.1711, установка производства кислорода и азот;заключение ЭПБ № 2-ТУ-56562-2025;https://monitor-pb.ru/conclusion/2-%D0%A2%D0%A3-56562-2025;реестр заключений ЭПБ, monitor-pb.ru;наш же разбор пометил среду «газ или иная», а блок называется «Воздушные и неопределённые»
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";газ или иная среда;не применимо;К-0338;Вакуумный сосуд поз. 61/2, зав. № 607196, рег. № К-0338 (Установка производства кислорода и азота (об. 1711, 1761, 1700, 1763, 1714, 1713), цех 5, ПУ, ООО «Газпром нефтехим Салават»);заключение ЭПБ № 41-ТУ-50462-2019;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-50462-2019;реестр заключений ЭПБ, monitor-pb.ru;наш же разбор пометил среду «газ или иная», а блок называется «Воздушные и неопределённые»
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";газ или иная среда;не применимо;К-0339;Вакуумный сосуд поз. 61/1, зав. № 607193, рег. № К-0339 (Установка производ-ства кислорода и азота (об. 1711, 1761, 1700, 1763, 1714, 1713), цех 5, ПУ, ООО «Газпром нефтехим Сала-ват»);заключение ЭПБ № 41-ТУ-27926-2019;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-27926-2019;реестр заключений ЭПБ, monitor-pb.ru;наш же разбор пометил среду «газ или иная», а блок называется «Воздушные и неопределённые»
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";газ или иная среда;центробежная;К-345-92-1,;Заключение № 0423 / 17 -25 экспертизы промышленной безопасности на техническое устройство центробежный компрессор марки К-345-92-1, поз. 4, зав.№7477 (об.1711, установка производства кислорода и азота;заключение ЭПБ № 2-ТУ-12269-2025;https://monitor-pb.ru/conclusion/2-%D0%A2%D0%A3-12269-2025;реестр заключений ЭПБ, monitor-pb.ru;наш же разбор пометил среду «газ или иная», а блок называется «Воздушные и неопределённые»
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";газ или иная среда;центробежная;К-500-61-1;Заключение экспертизы промышленной безопасности на техническое устройство маслохолодильник поз. 1, зав. № 17566, турбокомпрессора К-500-61-1 поз.5 (установка производства кислорода и азота (об. 264-2);заключение ЭПБ № 41-ТУ-40596-2022;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-40596-2022;реестр заключений ЭПБ, monitor-pb.ru;наш же разбор пометил среду «газ или иная», а блок называется «Воздушные и неопределённые»
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";газ или иная среда;центробежная;К-500-61-1;Заключение экспертизы промышленной безопасности на техническое устройство промхолодильник II ступени турбокомпрессора К-500-61-1 поз.5 (установка производства кислорода и азота (об. 264-2) цех № 5, ПУ;заключение ЭПБ № 41-ТУ-43295-2022;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-43295-2022;реестр заключений ЭПБ, monitor-pb.ru;наш же разбор пометил среду «газ или иная», а блок называется «Воздушные и неопределённые»
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";газ или иная среда;центробежная;К-500-61-1;Заключение экспертизы промышленной безопасности на техническое устройство промхолодильник I ступени турбокомпрессора К-500-61-1 поз. 5 (установка производства кислорода и азота (об. 264-2) цех № 5, ПУ;заключение ЭПБ № 41-ТУ-43296-2022;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-43296-2022;реестр заключений ЭПБ, monitor-pb.ru;наш же разбор пометил среду «газ или иная», а блок называется «Воздушные и неопределённые»
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";газ или иная среда;центробежная;К-500-61-1;Заключение экспертизы промышленной безопасности на техническое устройство концевой холодильник зав. № 513, турбокомпрессора К-500-61-1 поз.5 (установка производства кислорода и азота (об. 264-2) цех №;заключение ЭПБ № 41-ТУ-40615-2022;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-40615-2022;реестр заключений ЭПБ, monitor-pb.ru;наш же разбор пометил среду «газ или иная», а блок называется «Воздушные и неопределённые»
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";газ или иная среда;центробежная;К-500-61-1;Заключение экспертизы промышленной безопасности на техническое устройство маслохолодильник поз. 3, зав. № 17568, турбокомпрессора К-500-61-1 поз.5 (установка производства кислорода и азота (об. 264-2);заключение ЭПБ № 41-ТУ-36091-2022;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-36091-2022;реестр заключений ЭПБ, monitor-pb.ru;наш же разбор пометил среду «газ или иная», а блок называется «Воздушные и неопределённые»
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";газ или иная среда;центробежная;К-500-61-1;Заключение экспертизы промышленной безопасности на техническое устройство маслохолодильник поз. 2, зав. № 17567, турбокомпрессора К-500-61-1 поз.5 (установка производства кислорода и азота (об. 264-2);заключение ЭПБ № 41-ТУ-38069-2022;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-38069-2022;реестр заключений ЭПБ, monitor-pb.ru;наш же разбор пометил среду «газ или иная», а блок называется «Воздушные и неопределённые»
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";газ или иная среда;объект — трубопровод или сооружение, машина лишь упомянута;Л-35/11-1000 | Н-456;«Техническое перевооружение. Монтаж трубопровода азота в резервуар Р-2 установки Л-35/11-1000 цеха №11», шифр 17.915-03011-(Н-456);заключение ЭПБ № 41-ТП-36238-2018;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%9F-36238-2018;реестр заключений ЭПБ, monitor-pb.ru;наш же разбор пометил среду «газ или иная», а блок называется «Воздушные и неопределённые»
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";газ или иная среда;не установлен;Л-35/11-1000;Монтаж перемычки между линиями азота высокого давления рег. №11521 и азота высокого давления 60 рег. №11535 установки Л-35/11-1000 цеха №11» ОАО «Газпром нефтехим Салават», Шифр 16.399-03011-Н-455.;заключение ЭПБ № 41-ТП-01963-2017;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%9F-01963-2017;реестр заключений ЭПБ, monitor-pb.ru;наш же разбор пометил среду «газ или иная», а блок называется «Воздушные и неопределённые»
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";газ или иная среда;объект — трубопровод или сооружение, машина лишь упомянута;Н-220.1 | Н-220.2;ЗАКЛЮЧЕНИЕ № ЗЭ-ГНС-207/21-25 экспертизы промышленной безопасности здания и сооружения на опасном производственном объекте, предназначенного для осуществления технологических процессов, технологически;заключение ЭПБ № 2-ЗС-616404-2026;https://monitor-pb.ru/conclusion/2-%D0%97%D0%A1-616404-2026;реестр заключений ЭПБ, monitor-pb.ru;наш же разбор пометил среду «газ или иная», а блок называется «Воздушные и неопределённые»
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";газ или иная среда;объект — трубопровод или сооружение, машина лишь упомянута;Н-277.1/2R, | Н-280А | Н-326.1/2R, | Н-327.1/2R,;Заключение экспертизы промышленной безопасности здания и сооружения на опасном производственном объекте, предназначенного для осуществления технологических процессов трубопровод азота от фланца задвиж;заключение ЭПБ № 41-ЗС-05170-2022;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-05170-2022;реестр заключений ЭПБ, monitor-pb.ru;наш же разбор пометил среду «газ или иная», а блок называется «Воздушные и неопределённые»
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";газ или иная среда;центробежный насос, не компрессор;Н-104/1,;электронасос марки 4ЦГ 200/80К-75-6-У2 поз.Н-104/1, зав.№ 474 (установка 1- установка получения смеси углерода и водорода, цех 51, завод «Мономер»);заключение ЭПБ № 41-ТУ-26317-2017;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-26317-2017;реестр заключений ЭПБ, monitor-pb.ru;наш же разбор пометил среду «газ или иная», а блок называется «Воздушные и неопределённые»
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";газ или иная среда;центробежный насос, не компрессор;ЦГ 200/80К-75-6 | Н-104/2,;Центробежный насос марки ЦГ 200/80К-75-6-У2 поз.Н-104/2, зав.№ 475 (установка 1- установка получе-ния смеси углерода и водорода, цех 51, завод «Мономер», ООО «Газпром нефтехим Салават»);заключение ЭПБ № 41-ТУ-36947-2017;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-36947-2017;реестр заключений ЭПБ, monitor-pb.ru;наш же разбор пометил среду «газ или иная», а блок называется «Воздушные и неопределённые»
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";газ или иная среда;не применимо;;"«Склад жидкого аммиака, об. 1505, цех № 24, ГХЗ, инв. №10000024, ООО «Газпром нефтехим Салават""";заключение ЭПБ № 41-ЗС-37412-2016;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-37412-2016;реестр заключений ЭПБ, monitor-pb.ru;наш же разбор пометил среду «газ или иная», а блок называется «Воздушные и неопределённые»
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";газ или иная среда;не установлен;;«Техническое перевооружение. Увеличение переработки углеводородного сырья» ООО «Газпром нефтехим Салават», шифр 05766575-СГ299-000;заключение ЭПБ № 41-ТП-38195-2020;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%9F-38195-2020;реестр заключений ЭПБ, monitor-pb.ru;наш же разбор пометил среду «газ или иная», а блок называется «Воздушные и неопределённые»
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";газ или иная среда;не применимо;;Техническое перевооружение. Увеличение переработки углеводородного сырья» «Площадка основного производства ООО «Газпром нефтехим Салават»;заключение ЭПБ № 41-ТП-76631-2022;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%9F-76631-2022;реестр заключений ЭПБ, monitor-pb.ru;наш же разбор пометил среду «газ или иная», а блок называется «Воздушные и неопределённые»
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";газ или иная среда;не применимо;;«Сооружение: Наливная эстакада производства аммиака, СЖА, цех № 54, ГХЗ» инв. № 20000023 ООО «Газпром нефтехим Салават»;заключение ЭПБ № 41-ЗС-31115-2018;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-31115-2018;реестр заключений ЭПБ, monitor-pb.ru;наш же разбор пометил среду «газ или иная», а блок называется «Воздушные и неопределённые»
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";газ или иная среда;не применимо;;«Здание кислородного блока об. 270 инв. № 10000469, цех № 5, Производственное управление» ООО «Газпром нефтехим Салават»;заключение ЭПБ № 41-ЗС-34417-2021;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-34417-2021;реестр заключений ЭПБ, monitor-pb.ru;наш же разбор пометил среду «газ или иная», а блок называется «Воздушные и неопределённые»
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";газ или иная среда;центробежная;V-6551;центробежный компрессор марки C350MX4-1RH, поз. 2-С01, зав. №V-6551 (об.273, установка производства кислорода и азота, цех №5, Производственное управление (ПУ), ООО «Газпром нефтехим Салават»);заключение ЭПБ № 41-ТУ-28072-2025;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-28072-2025;реестр заключений ЭПБ, monitor-pb.ru;наш же разбор пометил среду «газ или иная», а блок называется «Воздушные и неопределённые»
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";газ или иная среда;центробежная;V-6552;центробежный компрессор марки C350MX4-1RH, поз. 1-С01, зав. №V-6552 (об.273, установка производства кислорода и азота, цех №5, Производственное управление (ПУ), ООО «Газпром нефтехим Салават»);заключение ЭПБ № 41-ТУ-28081-2025;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-28081-2025;реестр заключений ЭПБ, monitor-pb.ru;наш же разбор пометил среду «газ или иная», а блок называется «Воздушные и неопределённые»
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";газ или иная среда;центробежная, вид по слову;ИЛКО-150;Циркуляционный газовый нагнетатель компрессор марки ИЛКО-150 поз. ЦГН-4, зав. № 2968 (установка № 2, цех № 34, завод «Мономер», ООО «Газпром нефтехим Салават»);заключение ЭПБ № 41-ТУ-20744-2018;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-20744-2018;реестр заключений ЭПБ, monitor-pb.ru;наш же разбор пометил среду «газ или иная», а блок называется «Воздушные и неопределённые»
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";газ или иная среда;центробежная, вид по слову;ИЛКО-150;Циркуляционный газовый нагнетатель компрессор марки ИЛКО-150 поз. ЦГН-2, зав. № 2971 (установка № 2, цех № 34, завод «Мономер», ООО «Газпром нефтехим Салават»);заключение ЭПБ № 41-ТУ-24106-2018;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-24106-2018;реестр заключений ЭПБ, monitor-pb.ru;наш же разбор пометил среду «газ или иная», а блок называется «Воздушные и неопределённые»
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";газ или иная среда;центробежная, вид по слову;ИЛКО-150;Циркуляционный газовый нагнетатель компрессор марки ИЛКО-150 поз. ЦГН-1, зав. № 2972 (установка № 2, цех № 34, завод «Мономер», ООО «Газпром нефтехим Салават»);заключение ЭПБ № 41-ТУ-24117-2018;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-24117-2018;реестр заключений ЭПБ, monitor-pb.ru;наш же разбор пометил среду «газ или иная», а блок называется «Воздушные и неопределённые»
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";газ или иная среда;центробежная, вид по слову;ИЛКО-150;Циркуляционный газовый нагнетатель компрессор марки ИЛКО-150 поз. ЦГН-5, зав. № 2970 (установка № 2, цех № 34, завод «Мономер», ООО «Газпром нефтехим Салават»);заключение ЭПБ № 41-ТУ-24122-2018;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-24122-2018;реестр заключений ЭПБ, monitor-pb.ru;наш же разбор пометил среду «газ или иная», а блок называется «Воздушные и неопределённые»
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";газ или иная среда;центробежная;;трубопровод воды оборотной обратной от турбокомпрессоров поз. 7/1, 7/2 в существующую линию системы сбора агрегата (до линии л. 354), рег. № 76719, установка «моноэтаноламиновой очистки, цех № 54, ГХЗ;заключение ЭПБ № 41-ЗС-11273-2025;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-11273-2025;реестр заключений ЭПБ, monitor-pb.ru;наш же разбор пометил среду «газ или иная», а блок называется «Воздушные и неопределённые»
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";газ или иная среда;центробежная;;ЗАКЛЮЧЕНИЕ № ЗЭ-ГНС-630/21-24 экспертизы промышленной безопасности здания и сооружения на опасном производственном объекте, предназначенного для осуществления технологических процессов, технологически;заключение ЭПБ № 41-ЗС-07514-2025;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-07514-2025;реестр заключений ЭПБ, monitor-pb.ru;наш же разбор пометил среду «газ или иная», а блок называется «Воздушные и неопределённые»
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";газ или иная среда;центробежная;;ЗАКЛЮЧЕНИЕ № ЗЭ-ГНС-607/21-24 экспертизы промышленной безопасности здания и сооружения на опасном производственном объекте, предназначенного для осуществления технологических процессов, технологически;заключение ЭПБ № 41-ЗС-07351-2025;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-07351-2025;реестр заключений ЭПБ, monitor-pb.ru;наш же разбор пометил среду «газ или иная», а блок называется «Воздушные и неопределённые»
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";газ или иная среда;центробежная;;ЗАКЛЮЧЕНИЕ № ЗЭ-ГНС-618/21-24 экспертизы промышленной безопасности здания и сооружения на опасном производственном объекте, предназначенного для осуществления технологических процессов, технологически;заключение ЭПБ № 41-ЗС-07940-2025;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-07940-2025;реестр заключений ЭПБ, monitor-pb.ru;наш же разбор пометил среду «газ или иная», а блок называется «Воздушные и неопределённые»
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";газ или иная среда;центробежная;;ЗАКЛЮЧЕНИЕ № ЗЭ-ГНС-605/21-24 экспертизы промышленной безопасности здания и сооружения на опасном производственном объекте, предназначенного для осуществления технологических процессов, технологически;заключение ЭПБ № 41-ЗС-07350-2025;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-07350-2025;реестр заключений ЭПБ, monitor-pb.ru;наш же разбор пометил среду «газ или иная», а блок называется «Воздушные и неопределённые»
