inn;predpriyatie;ploshchadka;nomer_procedury;chto_nashli;predmet;ssylka;chto_delat
7017005296;Востокгазпром;ЭТП ГПБ, поиск по словам;31604150230;газовых компрессоров;Поставка синтетического масла для газовых компрессоров для нужд ОАО «Томскгазпром»;https://etpgpb.ru/procedure/tender/gaz/72650-postavka-sinteticheskogo-masla-dlya-gazovyh-kompressorov-dlya-nuzhd-oao-tomskgazprom/;снять как доказательство воздушной машины
5001071638;КРИОГАЗ;ЭТП ГПБ, поиск по словам;ГП012785;азотных компрессоров;Перенос АВО азотных компрессоров на Азотной станции в г.Кирово-Чепецк;https://etpgpb.ru/procedure/tender/etp/422400-perenos-avo-azotnyh-kompressorov-na-azotnoy-stantsii-v-g-kirovo-chepetsk/;снять как доказательство воздушной машины
3017025584;"ООО ""ГАЗПРОМ СЕТЬ АГЗС""";ЭТП ГПБ, поиск по словам;ГП117511;газового компрессора;ПОСТАВКА запасных частей для газового компрессора (Астрахань);https://etpgpb.ru/procedure/tender/etp/484845-postavka-zapasnyh-chastey-dlya-gazovogo-kompressora-astrahan/;снять как доказательство воздушной машины
8901017607;ДЕПАРТАМЕНТ ГОСЗАКАЗА ЯНАО;ЭТП ГПБ, поиск по словам;0190200000320008833;холодильных компрессоров;Поставка холодильных компрессоров 0190200000320008833;https://etpgpb.ru;снять как доказательство воздушной машины
5001000066;АО КРИОГЕНМАШ;ЭТП ГПБ, поиск по словам;ГП152541;азотных компрессоров;Закупка азотных компрессоров согласно ТТ 39-2021 и ТТ 45-2021;https://etpgpb.ru/procedure/tender/etp/476185-zakupka-azotnyh-kompressorov-soglasno-tt-39-2021-i-tt-45-2021/;снять как доказательство воздушной машины
5001071638;ФИЛИАЛ ООО КРИОГАЗ В Г. ЕКАТЕРИНБУРГ;ЭТП ГПБ, поиск по словам;ГП137003;холодильному компрессору;Поставка  Запасных частей к холодильному компрессору   Sabroe  SAB 128 HM Mk4 ;https://etpgpb.ru/procedure/tender/etp/439350-postavka-zapasnyh-chastey-k-holodilnomu-kompressoru-sabroe-sab-128-hm-mk4/;снять как доказательство воздушной машины
;;ЭТП ГПБ, поиск по словам;1937581;газовые компрессоры;"Закупка в области: Насосы воздушные или вакуумные; воздушные или прочие газовые компрессоры";https://etpgpb.ru/procedure/tender/gaz/251173-zakupka-v-oblasti-nasosy-vozdushnye-ili-vakuumnye-vozdushnye-ili-prochie-gazovye-kompressory/;снять как доказательство воздушной машины
;;ЭТП ГПБ, поиск по словам;1303183;газовые компрессоры;"Закупка в области: Насосы воздушные или вакуумные; воздушные или прочие газовые компрессоры";https://etpgpb.ru/procedure/tender/gaz/220229-zakupka-v-oblasti-nasosy-vozdushnye-ili-vakuumnye-vozdushnye-ili-prochie-gazovye-kompressory/;снять как доказательство воздушной машины
;;ЭТП ГПБ, поиск по словам;1527742;газовые компрессоры;"Закупка в области: Насосы воздушные или вакуумные; воздушные или прочие газовые компрессоры";https://etpgpb.ru/procedure/tender/gaz/229987-zakupka-v-oblasti-nasosy-vozdushnye-ili-vakuumnye-vozdushnye-ili-prochie-gazovye-kompressory/;снять как доказательство воздушной машины
;;ЭТП ГПБ, поиск по словам;1531708;газовые компрессоры;"Закупка в области: Насосы воздушные или вакуумные; воздушные или прочие газовые компрессоры";https://etpgpb.ru/procedure/tender/gaz/230344-zakupka-v-oblasti-nasosy-vozdushnye-ili-vakuumnye-vozdushnye-ili-prochie-gazovye-kompressory/;снять как доказательство воздушной машины
;;ЭТП ГПБ, поиск по словам;1548261;газовые компрессоры;"Закупка в области: Насосы воздушные или вакуумные; воздушные или прочие газовые компрессоры";https://etpgpb.ru/procedure/tender/gaz/231414-zakupka-v-oblasti-nasosy-vozdushnye-ili-vakuumnye-vozdushnye-ili-prochie-gazovye-kompressory/;снять как доказательство воздушной машины
;;ЭТП ГПБ, поиск по словам;1528888;газовые компрессоры;"Закупка в области: Насосы воздушные или вакуумные; воздушные или прочие газовые компрессоры";https://etpgpb.ru/procedure/tender/gaz/230108-zakupka-v-oblasti-nasosy-vozdushnye-ili-vakuumnye-vozdushnye-ili-prochie-gazovye-kompressory/;снять как доказательство воздушной машины
;;ЭТП ГПБ, поиск по словам;1790815;газовые компрессоры;"Закупка в области: Насосы воздушные или вакуумные; воздушные или прочие газовые компрессоры";https://etpgpb.ru/procedure/tender/gaz/244096-zakupka-v-oblasti-nasosy-vozdushnye-ili-vakuumnye-vozdushnye-ili-prochie-gazovye-kompressory/;снять как доказательство воздушной машины
;;ЭТП ГПБ, поиск по словам;1785985;газовые компрессоры;"Закупка в области: Насосы воздушные или вакуумные; воздушные или прочие газовые компрессоры";https://etpgpb.ru/procedure/tender/gaz/243888-zakupka-v-oblasti-nasosy-vozdushnye-ili-vakuumnye-vozdushnye-ili-prochie-gazovye-kompressory/;снять как доказательство воздушной машины
;;ЭТП ГПБ, поиск по словам;1694274;газовые компрессоры;"Закупка в области: Насосы воздушные или вакуумные; воздушные или прочие газовые компрессоры";https://etpgpb.ru/procedure/tender/gaz/239405-zakupka-v-oblasti-nasosy-vozdushnye-ili-vakuumnye-vozdushnye-ili-prochie-gazovye-kompressory/;снять как доказательство воздушной машины
;;ЭТП ГПБ, поиск по словам;1973294;газовые компрессоры;"Закупка в области: Насосы воздушные или вакуумные; воздушные или прочие газовые компрессоры";https://etpgpb.ru/procedure/tender/gaz/253644-zakupka-v-oblasti-nasosy-vozdushnye-ili-vakuumnye-vozdushnye-ili-prochie-gazovye-kompressory/;снять как доказательство воздушной машины
;;ЭТП ГПБ, поиск по словам;1277403;газовые компрессоры;"Закупка в области: Насосы воздушные или вакуумные; воздушные или прочие газовые компрессоры";https://etpgpb.ru/procedure/tender/gaz/218719-zakupka-v-oblasti-nasosy-vozdushnye-ili-vakuumnye-vozdushnye-ili-prochie-gazovye-kompressory/;снять как доказательство воздушной машины
3017025584;"ООО ""ГАЗПРОМ СЕТЬ АГЗС""";ЭТП ГПБ, поиск по словам;ГП203881;газового компрессора;Поставка запасных  частей для газового компрессора П-100  (ГНС №2 ,3);https://etpgpb.ru/procedure/tender/etp/610618-postavka-zapasnyh-chastey-dlya-gazovogo-kompressora-p-100-gns-2-3/;снять как доказательство воздушной машины
7017005296;Востокгазпром;ЭТП ГПБ, поиск по словам;31807064009;газовых компрессоров;"Поставка масла для газовых компрессоров для нужд ОАО ""Томскгазпром""";https://etpgpb.ru/procedure/tender/gaz/124823-postavka-masla-dlya-gazovyh-kompressorov-dlya-nuzhd-oao-tomskgazprom/;снять как доказательство воздушной машины
7017005296;Востокгазпром;ЭТП ГПБ, поиск по словам;31705550816;газовых компрессоров;"Поставка масла для газовых компрессоров для нужд ОАО ""Томскгазпром""";https://etpgpb.ru/procedure/tender/gaz/98344-postavka-masla-dlya-gazovyh-kompressorov-dlya-nuzhd-oao-tomskgazprom/;снять как доказательство воздушной машины
7017005296;Востокгазпром;ЭТП ГПБ, поиск по словам;31908068384;газовых компрессоров;"Поставка масла для газовых компрессоров для нужд ОАО ""Томскгазпром""";https://etpgpb.ru/procedure/tender/gaz/138739-postavka-masla-dlya-gazovyh-kompressorov-dlya-nuzhd-oao-tomskgazprom/;снять как доказательство воздушной машины
;;ЭТП ГПБ, поиск по словам;1325872;газовых компрессоров;Закупка в области: Комплектующие (запасные части) воздушных или газовых компрессоров, не имеющие самостоятельных группировок;https://etpgpb.ru/procedure/tender/gaz/221368-zakupka-v-oblasti-komplektuyuschie-zapasnye-chasti-vozdushnyh-ili-gazovyh-kompressorov-ne-imeyuschie-samostoyatelnyh-gruppirovok/;снять как доказательство воздушной машины
;;ЭТП ГПБ, поиск по словам;1453957;газовых компрессоров;Закупка в области: Комплектующие (запасные части) воздушных или газовых компрессоров, не имеющие самостоятельных группировок;https://etpgpb.ru/procedure/tender/gaz/226748-zakupka-v-oblasti-komplektuyuschie-zapasnye-chasti-vozdushnyh-ili-gazovyh-kompressorov-ne-imeyuschie-samostoyatelnyh-gruppirovok/;снять как доказательство воздушной машины
;;ЭТП ГПБ, поиск по словам;1462602;газовых компрессоров;Закупка в области: Комплектующие (запасные части) воздушных или газовых компрессоров, не имеющие самостоятельных группировок;https://etpgpb.ru/procedure/tender/gaz/226985-zakupka-v-oblasti-komplektuyuschie-zapasnye-chasti-vozdushnyh-ili-gazovyh-kompressorov-ne-imeyuschie-samostoyatelnyh-gruppirovok/;снять как доказательство воздушной машины
;;ЭТП ГПБ, поиск по словам;1682045;газовых компрессоров;Закупка в области: Комплектующие (запасные части) воздушных или газовых компрессоров, не имеющие самостоятельных группировок;https://etpgpb.ru/procedure/tender/gaz/238838-zakupka-v-oblasti-komplektuyuschie-zapasnye-chasti-vozdushnyh-ili-gazovyh-kompressorov-ne-imeyuschie-samostoyatelnyh-gruppirovok/;снять как доказательство воздушной машины
;;ЭТП ГПБ, поиск по словам;1833562;газовых компрессоров;Закупка в области: Комплектующие (запасные части) воздушных или газовых компрессоров, не имеющие самостоятельных группировок;https://etpgpb.ru/procedure/tender/gaz/245729-zakupka-v-oblasti-komplektuyuschie-zapasnye-chasti-vozdushnyh-ili-gazovyh-kompressorov-ne-imeyuschie-samostoyatelnyh-gruppirovok/;снять как доказательство воздушной машины
;;ЭТП ГПБ, поиск по словам;1790024;газовых компрессоров;Закупка в области: Комплектующие (запасные части) воздушных или газовых компрессоров, не имеющие самостоятельных группировок;https://etpgpb.ru/procedure/tender/gaz/244062-zakupka-v-oblasti-komplektuyuschie-zapasnye-chasti-vozdushnyh-ili-gazovyh-kompressorov-ne-imeyuschie-samostoyatelnyh-gruppirovok/;снять как доказательство воздушной машины
;;ЭТП ГПБ, поиск по словам;1804166;газовых компрессоров;Закупка в области: Комплектующие (запасные части) воздушных или газовых компрессоров, не имеющие самостоятельных группировок;https://etpgpb.ru/procedure/tender/gaz/244688-zakupka-v-oblasti-komplektuyuschie-zapasnye-chasti-vozdushnyh-ili-gazovyh-kompressorov-ne-imeyuschie-samostoyatelnyh-gruppirovok/;снять как доказательство воздушной машины
;;ЭТП ГПБ, поиск по словам;1927830;газовых компрессоров;Закупка в области: Комплектующие (запасные части) воздушных или газовых компрессоров, не имеющие самостоятельных группировок;https://etpgpb.ru/procedure/tender/gaz/250605-zakupka-v-oblasti-komplektuyuschie-zapasnye-chasti-vozdushnyh-ili-gazovyh-kompressorov-ne-imeyuschie-samostoyatelnyh-gruppirovok/;снять как доказательство воздушной машины
;;ЭТП ГПБ, поиск по словам;1927267;газовых компрессоров;Закупка в области: Комплектующие (запасные части) воздушных или газовых компрессоров, не имеющие самостоятельных группировок;https://etpgpb.ru/procedure/tender/gaz/250556-zakupka-v-oblasti-komplektuyuschie-zapasnye-chasti-vozdushnyh-ili-gazovyh-kompressorov-ne-imeyuschie-samostoyatelnyh-gruppirovok/;снять как доказательство воздушной машины
;;ЭТП ГПБ, поиск по словам;1863584;газовых компрессоров;Закупка в области: Комплектующие (запасные части) воздушных или газовых компрессоров, не имеющие самостоятельных группировок;https://etpgpb.ru/procedure/tender/gaz/247009-zakupka-v-oblasti-komplektuyuschie-zapasnye-chasti-vozdushnyh-ili-gazovyh-kompressorov-ne-imeyuschie-samostoyatelnyh-gruppirovok/;снять как доказательство воздушной машины
;;ЭТП ГПБ, поиск по словам;1863653;газовых компрессоров;Закупка в области: Комплектующие (запасные части) воздушных или газовых компрессоров, не имеющие самостоятельных группировок;https://etpgpb.ru/procedure/tender/gaz/247011-zakupka-v-oblasti-komplektuyuschie-zapasnye-chasti-vozdushnyh-ili-gazovyh-kompressorov-ne-imeyuschie-samostoyatelnyh-gruppirovok/;снять как доказательство воздушной машины
;;ЭТП ГПБ, поиск по словам;1849363;газовых компрессоров;Закупка в области: Комплектующие (запасные части) воздушных или газовых компрессоров, не имеющие самостоятельных группировок;https://etpgpb.ru/procedure/tender/gaz/246471-zakupka-v-oblasti-komplektuyuschie-zapasnye-chasti-vozdushnyh-ili-gazovyh-kompressorov-ne-imeyuschie-samostoyatelnyh-gruppirovok/;снять как доказательство воздушной машины
;;ЭТП ГПБ, поиск по словам;1859270;газовых компрессоров;Закупка в области: Комплектующие (запасные части) воздушных или газовых компрессоров, не имеющие самостоятельных группировок;https://etpgpb.ru/procedure/tender/gaz/246884-zakupka-v-oblasti-komplektuyuschie-zapasnye-chasti-vozdushnyh-ili-gazovyh-kompressorov-ne-imeyuschie-samostoyatelnyh-gruppirovok/;снять как доказательство воздушной машины
;;ЭТП ГПБ, поиск по словам;1834306;газовых компрессоров;Закупка в области: Комплектующие (запасные части) воздушных или газовых компрессоров, не имеющие самостоятельных группировок;https://etpgpb.ru/procedure/tender/gaz/245785-zakupka-v-oblasti-komplektuyuschie-zapasnye-chasti-vozdushnyh-ili-gazovyh-kompressorov-ne-imeyuschie-samostoyatelnyh-gruppirovok/;снять как доказательство воздушной машины
;;ЭТП ГПБ, поиск по словам;1955792;газовых компрессоров;Закупка в области: Комплектующие (запасные части) воздушных или газовых компрессоров, не имеющие самостоятельных группировок;https://etpgpb.ru/procedure/tender/gaz/252265-zakupka-v-oblasti-komplektuyuschie-zapasnye-chasti-vozdushnyh-ili-gazovyh-kompressorov-ne-imeyuschie-samostoyatelnyh-gruppirovok/;снять как доказательство воздушной машины
;;ЭТП ГПБ, поиск по словам;1266815;газовых компрессоров;Закупка в области: Комплектующие (запасные части) воздушных или газовых компрессоров, не имеющие самостоятельных группировок;https://etpgpb.ru/procedure/tender/gaz/217973-zakupka-v-oblasti-komplektuyuschie-zapasnye-chasti-vozdushnyh-ili-gazovyh-kompressorov-ne-imeyuschie-samostoyatelnyh-gruppirovok/;снять как доказательство воздушной машины
;;ЭТП ГПБ, поиск по словам;1266917;газовых компрессоров;Закупка в области: Комплектующие (запасные части) воздушных или газовых компрессоров, не имеющие самостоятельных группировок;https://etpgpb.ru/procedure/tender/gaz/217980-zakupka-v-oblasti-komplektuyuschie-zapasnye-chasti-vozdushnyh-ili-gazovyh-kompressorov-ne-imeyuschie-samostoyatelnyh-gruppirovok/;снять как доказательство воздушной машины
;;ЭТП ГПБ, поиск по словам;1333508;газовых компрессоров;Закупка в области: Комплектующие (запасные части) воздушных или газовых компрессоров, не имеющие самостоятельных группировок;https://etpgpb.ru/procedure/tender/gaz/221717-zakupka-v-oblasti-komplektuyuschie-zapasnye-chasti-vozdushnyh-ili-gazovyh-kompressorov-ne-imeyuschie-samostoyatelnyh-gruppirovok/;снять как доказательство воздушной машины
;;ЭТП ГПБ, поиск по словам;1326586;газовых компрессоров;Закупка в области: Комплектующие (запасные части) воздушных или газовых компрессоров, не имеющие самостоятельных группировок;https://etpgpb.ru/procedure/tender/gaz/221398-zakupka-v-oblasti-komplektuyuschie-zapasnye-chasti-vozdushnyh-ili-gazovyh-kompressorov-ne-imeyuschie-samostoyatelnyh-gruppirovok/;снять как доказательство воздушной машины
;;ЭТП ГПБ, поиск по словам;1271333;газовых компрессоров;Закупка в области: Комплектующие (запасные части) воздушных или газовых компрессоров, не имеющие самостоятельных группировок;https://etpgpb.ru/procedure/tender/gaz/218231-zakupka-v-oblasti-komplektuyuschie-zapasnye-chasti-vozdushnyh-ili-gazovyh-kompressorov-ne-imeyuschie-samostoyatelnyh-gruppirovok/;снять как доказательство воздушной машины
;;ЭТП ГПБ, поиск по словам;1359256;газовых компрессоров;Закупка в области: Комплектующие (запасные части) воздушных или газовых компрессоров, не имеющие самостоятельных группировок;https://etpgpb.ru/procedure/tender/gaz/223178-zakupka-v-oblasti-komplektuyuschie-zapasnye-chasti-vozdushnyh-ili-gazovyh-kompressorov-ne-imeyuschie-samostoyatelnyh-gruppirovok/;снять как доказательство воздушной машины
;;ЭТП ГПБ, поиск по словам;1708994;газовых компрессоров;Закупка в области: Комплектующие (запасные части) воздушных или газовых компрессоров, не имеющие самостоятельных группировок;https://etpgpb.ru/procedure/tender/gaz/240148-zakupka-v-oblasti-komplektuyuschie-zapasnye-chasti-vozdushnyh-ili-gazovyh-kompressorov-ne-imeyuschie-samostoyatelnyh-gruppirovok/;снять как доказательство воздушной машины
;;ЭТП ГПБ, поиск по словам;1709023;газовых компрессоров;Закупка в области: Комплектующие (запасные части) воздушных или газовых компрессоров, не имеющие самостоятельных группировок;https://etpgpb.ru/procedure/tender/gaz/240157-zakupka-v-oblasti-komplektuyuschie-zapasnye-chasti-vozdushnyh-ili-gazovyh-kompressorov-ne-imeyuschie-samostoyatelnyh-gruppirovok/;снять как доказательство воздушной машины
;;ЭТП ГПБ, поиск по словам;1705946;газовых компрессоров;Закупка в области: Комплектующие (запасные части) воздушных или газовых компрессоров, не имеющие самостоятельных группировок;https://etpgpb.ru/procedure/tender/gaz/240029-zakupka-v-oblasti-komplektuyuschie-zapasnye-chasti-vozdushnyh-ili-gazovyh-kompressorov-ne-imeyuschie-samostoyatelnyh-gruppirovok/;снять как доказательство воздушной машины
;;ЭТП ГПБ, поиск по словам;1726443;газовых компрессоров;Закупка в области: Комплектующие (запасные части) воздушных или газовых компрессоров, не имеющие самостоятельных группировок;https://etpgpb.ru/procedure/tender/gaz/241200-zakupka-v-oblasti-komplektuyuschie-zapasnye-chasti-vozdushnyh-ili-gazovyh-kompressorov-ne-imeyuschie-samostoyatelnyh-gruppirovok/;снять как доказательство воздушной машины
;;ЭТП ГПБ, поиск по словам;1763501;газовых компрессоров;Закупка в области: Комплектующие (запасные части) воздушных или газовых компрессоров, не имеющие самостоятельных группировок;https://etpgpb.ru/procedure/tender/gaz/243050-zakupka-v-oblasti-komplektuyuschie-zapasnye-chasti-vozdushnyh-ili-gazovyh-kompressorov-ne-imeyuschie-samostoyatelnyh-gruppirovok/;снять как доказательство воздушной машины
;;ЭТП ГПБ, поиск по словам;1614400;газовых компрессоров;Закупка в области: Комплектующие (запасные части) воздушных или газовых компрессоров, не имеющие самостоятельных группировок;https://etpgpb.ru/procedure/tender/gaz/235250-zakupka-v-oblasti-komplektuyuschie-zapasnye-chasti-vozdushnyh-ili-gazovyh-kompressorov-ne-imeyuschie-samostoyatelnyh-gruppirovok/;снять как доказательство воздушной машины
;;ЭТП ГПБ, поиск по словам;1643229;газовых компрессоров;Закупка в области: Комплектующие (запасные части) воздушных или газовых компрессоров, не имеющие самостоятельных группировок;https://etpgpb.ru/procedure/tender/gaz/236843-zakupka-v-oblasti-komplektuyuschie-zapasnye-chasti-vozdushnyh-ili-gazovyh-kompressorov-ne-imeyuschie-samostoyatelnyh-gruppirovok/;снять как доказательство воздушной машины
;;ЭТП ГПБ, поиск по словам;1998137;газовых компрессоров;Закупка в области: Комплектующие (запасные части) воздушных или газовых компрессоров, не имеющие самостоятельных группировок;https://etpgpb.ru/procedure/tender/gaz/255459-zakupka-v-oblasti-komplektuyuschie-zapasnye-chasti-vozdushnyh-ili-gazovyh-kompressorov-ne-imeyuschie-samostoyatelnyh-gruppirovok/;снять как доказательство воздушной машины
;;ЭТП ГПБ, поиск по словам;1992231;газовых компрессоров;Закупка в области: Комплектующие (запасные части) воздушных или газовых компрессоров, не имеющие самостоятельных группировок;https://etpgpb.ru/procedure/tender/gaz/255092-zakupka-v-oblasti-komplektuyuschie-zapasnye-chasti-vozdushnyh-ili-gazovyh-kompressorov-ne-imeyuschie-samostoyatelnyh-gruppirovok/;снять как доказательство воздушной машины
2460040655;АО Газпром закупки;ЭТП ГПБ, поиск по словам;32312584410;азотных компрессоров;"Поставка запасных частей для азотных компрессоров для нужд ООО ""Газпром переработка Благовещенск"" (ФАВ 23509)";https://etpgpb.ru/procedure/tender/gaz/203886-postavka-zapasnyh-chastey-dlya-azotnyh-kompressorov-dlya-nuzhd-ooo-gazprom-pererabotka-blagoveschensk-fav-23509/;снять как доказательство воздушной машины
7022000310;АО Томскнефть ВНК;ЭТП ГПБ, поиск по словам;АП027186;газовых компрессоров;Открытый  конкурентный двухэтапный отбор на право заключения Договора на выполнение работ по текущему и капитальному ремонту газовых компрессоров, текущему ремонту мультифазных насосов на объектах АО «Томскнефть» ВНК;https://etpgpb.ru/procedure/tender/etp/680590-otkrytyy-konkurentnyy-dvuhetapnyy-otbor-na-pravo-zaklyucheniya-dogovora-na-vypolnenie-rabot-po-tekuschemu-i-kapitalnomu-remontu-gaz;снять как доказательство воздушной машины
7022000310;АО Томскнефть ВНК;ЭТП ГПБ, поиск по словам;АП100391;газовых компрессоров;"Открытый двухэтапный конкурентный отбор в электронной форме на право заключения договора на выполнение текущего и капитального ремонта газовых компрессоров, текущий ремонт мультифазных насосов для АО ""Томскнефть"" ВНК";https://etpgpb.ru/procedure/tender/etp/1136466-otkrytyy-dvuhetapnyy-konkurentnyy-otbor-v-elektronnoy-forme-na-pravo-zaklyucheniya-dogovora-na-vypolnenie-tekuschego-i-kapitalnogo;снять как доказательство воздушной машины
2304030699;Курортный комплекс Надежда;ЭТП ГПБ, поиск по словам;546999;холодильного компрессора;Поставка холодильного компрессора, фильтров;https://etpgpb.ru/procedure/tender/price_request/546999-postavka-holodilnogo-kompressora-filtrov/;снять как доказательство воздушной машины
7817012398;"ФКУ ""РКИБ"" МИНЗДРАВА РОССИИ";ЭТП ГПБ, поиск по словам;0372100005224000129;гелиевого компрессора;поставка адсорбера для гелиевого компрессора 10125659 (Sumitomo F70L) 0372100005224000129;https://etpgpb.ru;снять как доказательство воздушной машины
0266048970;"ООО ""Газпром нефтехим Салават""";ЭТП ГПБ, поиск по словам;ГПК209587;азотного компрессора;1478/20.09.22/КО/Э Поставка запчастей для азотного компрессора;https://etpgpb.ru/procedure/tender/gaz/188934-1478-20-09-22-ko-e-postavka-zapchastey-dlya-azotnogo-kompressora/;снять как доказательство воздушной машины
