nomer;predmet;tip;zakazchik;zakazchik_inn;organizator;organizator_inn;cena;data_nachala;data_okonchaniya;status;region;ssylka;centrobezhnyy_predmet;klyuch;istochnik;data_sbora
9566113;КОМПРЕССОРЫ;котировочная сессия;Государственное бюджетное учреждение культуры города Москвы «Детский театр эстрады»;7710042865;;;16340;14.06.2023;15.06.2023;Проведена;г Москва;https://zakupki.mos.ru/auction/9566113;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
3784642;Компрессор;закупка по потребностям;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КАНЕВСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ КРАСНОДАРСКОГО КРАЯ";2334006580;;;17200;26.08.2021;30.08.2021;Прием предложений завершен;край Краснодарский;https://zakupki.mos.ru/need/3784642;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
9756235;КОМПРЕССОРЫ;котировочная сессия;Государственное бюджетное учреждение города Москвы «Жилищник района Ясенево»;7728866101;;;195305;16.04.2024;16.04.2024;Проведена;г Москва;https://zakupki.mos.ru/auction/9756235;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
3773266;Компрессор;закупка по потребностям;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КАНЕВСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ КРАСНОДАРСКОГО КРАЯ";2334006580;;;6913.28;13.08.2021;17.08.2021;Прием предложений завершен;край Краснодарский;https://zakupki.mos.ru/need/3773266;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
9954986;КОМПРЕССОРЫ;котировочная сессия;Государственное бюджетное учреждение города Москвы «Автомобильные дороги Зеленоградского административного округа»;7735580463;;;43350;31.03.2025;01.04.2025;Проведена;г Москва;https://zakupki.mos.ru/auction/9954986;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
5212508;Компрессор;B2B;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕРВИС ИНЖИНИРИНГ СИСТЕМС""";3849096450;;;;18.11.2024;21.11.2024;Прием предложений завершен;г Москва;https://zakupki.mos.ru/need/5212508;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
5020458;Компрессор;закупка по потребностям;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ МОСКОВСКОЙ ОБЛАСТИ ""СЕРГИЕВО-ПОСАДСКАЯ РАЙОННАЯ БОЛЬНИЦА""";5042009621;;;242000;10.06.2024;11.06.2024;Прием предложений завершен;обл Московская;https://zakupki.mos.ru/need/5020458;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
32008944941;Компрессор;конкурентная процедура;Государственное автономное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 2 Департамента здравоохранения города Москвы»;7729119166;;;66226;02.03.2020;10.03.2020;Завершены;г Москва;https://zakupki.mos.ru/tender/31098421;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
4003917;Блок защиты компрессора INT69 для компрессоров HANBELL;закупка по потребностям;"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ""СПОРТИВНАЯ ШКОЛА ""ТЕМП""";5920016280;;;120006;25.03.2022;25.03.2022;Отменена;край Пермский;https://zakupki.mos.ru/need/4003917;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
6035617;Поставка компрессора;закупка по потребностям;"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ТУЛЬСКОЙ ОБЛАСТИ ""КОМПЛЕКСНЫЙ ЦЕНТР СОЦИАЛЬНОГО ОБСЛУЖИВАНИЯ НАСЕЛЕНИЯ № 5""";7118008455;;;42000;22.04.2026;27.04.2026;Прием предложений завершен; Тульская область;https://zakupki.mos.ru/need/6035617;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
5997001;Поставка компрессора;B2B;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КРОНШТАДТСКИЙ МОРСКОЙ ЗАВОД""";7843003128;;;;31.03.2026;06.04.2026;Прием предложений завершен;г Москва;https://zakupki.mos.ru/need/5997001;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
5974666;Компрессор для холодильников;закупка по потребностям;"ГОСУДАРСТВЕННОЕ КАЗЁННОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ МОСКОВСКОЙ ОБЛАСТИ ""ИВАНТЕЕВСКИЙ ДЕТСКИЙ ПСИХОНЕВРОЛОГИЧЕСКИЙ САНАТОРИЙ""";5016013452;;;44000;19.03.2026;20.03.2026;Прием предложений завершен; Московская область;https://zakupki.mos.ru/need/5974666;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
10138408;КОМПРЕССОРЫ ПРОМЫШЛЕННЫЕ;котировочная сессия;Государственное унитарное предприятие города Москвы по эксплуатации московских водоотводящих систем «Мосводосток»;7705013033;;;585900;02.03.2026;02.03.2026;Проведена;г Москва;https://zakupki.mos.ru/auction/10138408;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
5659329;Поставка компрессоров;закупка по потребностям;"Муниципальное автономное учреждение ""Школьное питание""";4205154739;;;257690;18.09.2025;23.09.2025;Прием предложений завершен;обл Кемеровская - Кузбасс;https://zakupki.mos.ru/need/5659329;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
10021180;поставка компрессора;котировочная сессия;"ГОСУДАРСТВЕННОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""КЕМЕРОВСКИЙ ПРОФЕССИОНАЛЬНО-ТЕХНИЧЕСКИЙ ТЕХНИКУМ""";4206009237;;;300000;07.08.2025;08.08.2025;Не состоялась;обл Кемеровская - Кузбасс;https://zakupki.mos.ru/auction/10021180;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
5600380;Закупка компрессора;B2B;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЮЖНЫЙ ЦЕНТР СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";3023004670;;;4000;02.08.2025;05.08.2025;Прием предложений завершен;г Москва;https://zakupki.mos.ru/need/5600380;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
5503480;Воздушный компрессор;B2B;"Общество с ограниченной ответственностью ""Фертоинг""";7802208912;;;;21.05.2025;28.05.2025;Отменена;г Санкт-Петербург;https://zakupki.mos.ru/need/5503480;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
9942264;Компрессор для аэрографа;котировочная сессия;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ПСКОВСКОЙ ОБЛАСТИ ""ПСКОВСКИЙ ПОЛИТЕХНИЧЕСКИЙ КОЛЛЕДЖ""";6027132830;;;13527.99;12.03.2025;13.03.2025;Проведена;обл Псковская;https://zakupki.mos.ru/auction/9942264;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
5152159;Запчасти компрессоров;B2B;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕРВИС ИНЖИНИРИНГ СИСТЕМС""";3849096450;;;;08.10.2024;20.10.2024;Прием предложений завершен;г Москва;https://zakupki.mos.ru/need/5152159;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
5113791;Поставка компрессора;закупка по потребностям;;5040040263;;;27000;03.09.2024;04.09.2024;Прием предложений завершен;обл Московская;https://zakupki.mos.ru/need/5113791;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
9825187;КОМПРЕССОРЫ ПРОМЫШЛЕННЫЕ;котировочная сессия;Государственное автономное учреждение города Москвы Инженерный научно-практический центр «Гормедтехника Департамента здравоохранения города Москвы»;7725262013;;;27653;21.08.2024;22.08.2024;Проведена;г Москва;https://zakupki.mos.ru/auction/9825187;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
9713746;Автомобильный компрессор;котировочная сессия;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1253»;7704178709;;;14301;08.02.2024;08.02.2024;Не состоялась;г Москва;https://zakupki.mos.ru/auction/9713746;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
4854167;Автомобильный компрессор;закупка по потребностям;"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ""САНКТ-ПЕТЕРБУРГСКАЯ ДЕТСКАЯ ШКОЛА ИСКУССТВ ИМЕНИ М.И.ГЛИНКИ""";7811066809;;;6243.33;02.02.2024;05.02.2024;Прием предложений завершен;г Санкт-Петербург;https://zakupki.mos.ru/need/4854167;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
9555234;Демонтаж компрессоров;котировочная сессия;Государственное автономное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 24 Департамента здравоохранения города Москвы»;7726317762;;;50300;26.05.2023;26.05.2023;Проведена;г Москва;https://zakupki.mos.ru/auction/9555234;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
9554769;КОМПРЕССОРЫ ПРОМЫШЛЕННЫЕ;котировочная сессия;Государственное бюджетное учреждение города Москвы «Жилищник района Ясенево»;7728866101;;;51750;26.05.2023;26.05.2023;Проведена;г Москва;https://zakupki.mos.ru/auction/9554769;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
4492913;Поставка компрессора.;закупка по потребностям;"МУП ""ТЕПЛО КОЛОМНЫ""";5022030985;;;123802.67;21.04.2023;25.04.2023;Прием предложений завершен;обл Московская;https://zakupki.mos.ru/need/4492913;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
4058023;Поставка компрессора;закупка по потребностям;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ""ДЕТСКО-ЮНОШЕСКАЯ СПОРТИВНАЯ ШКОЛА"" ГОРОДСКОГО ОКРУГА КРАСНОЗНАМЕНСК МОСКОВСКОЙ ОБЛАСТИ";5006008439;;;46653;25.04.2022;27.04.2022;Прием предложений завершен;обл Московская;https://zakupki.mos.ru/need/4058023;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
6054760;Поставка компрессора;закупка по потребностям;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДЕТСКИЙ САД № 97 КРАСНОСЕЛЬСКОГО РАЙОНА САНКТ-ПЕТЕРБУРГА ""ПЛАНЕТА ДЕТСТВА""";7805812495;;;22990;05.05.2026;06.05.2026;Прием предложений завершен;г Санкт-Петербург;https://zakupki.mos.ru/need/6054760;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
10194174;КОМПРЕССОРЫ ПРОМЫШЛЕННЫЕ;котировочная сессия;Государственное бюджетное учреждение культуры города Москвы «Парк культуры и отдыха «Сокольники»;7718059719;;;443666.68;05.05.2026;06.05.2026;Не состоялась;г Москва;https://zakupki.mos.ru/auction/10194174;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
5981311;Поставка компрессора;закупка по потребностям;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ФИНАНСОВО-ПРОЕКТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ МОСКОВСКОЙ ОБЛАСТИ""";5024070944;;;512885.34;23.03.2026;25.03.2026;Прием предложений завершен; Московская область;https://zakupki.mos.ru/need/5981311;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
5949521;Компрессоры воздушные;B2B;"ООО ""ВК""";7743001840;;;;04.03.2026;10.03.2026;Прием предложений завершен;г Москва;https://zakupki.mos.ru/need/5949521;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
10136482;КОМПРЕССОРЫ ПРОМЫШЛЕННЫЕ;котировочная сессия;Государственное бюджетное учреждение города Москвы «Жилищник района Ясенево»;7728866101;;;136460;26.02.2026;26.02.2026;Проведена;г Москва;https://zakupki.mos.ru/auction/10136482;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
5913253;Компрессор TRK5480YTZ;B2B;"АКЦИОНЕРНОЕ ОБЩЕСТВО ЦЕНТР СУДОРЕМОНТА ""ЗВЕЗДОЧКА""";2902060361;;;;11.02.2026;17.02.2026;Прием предложений завершен;;https://zakupki.mos.ru/need/5913253;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
10117689;Лопатка для компрессора;котировочная сессия;Государственное бюджетное учреждение города Москвы по эксплуатации высотных административных и жилых домов районов Донского, Чертаново Северное;9726094132;;;944;29.01.2026;29.01.2026;Не состоялась;г Москва;https://zakupki.mos.ru/auction/10117689;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
5647282;Поставка компрессора;закупка по потребностям;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ЯМАЛО-НЕНЕЦКОГО АВТОНОМНОГО ОКРУГА ""НАДЫМСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""";8903009263;;;20000;11.09.2025;15.09.2025;Прием предложений завершен;АО Ямало-Ненецкий;https://zakupki.mos.ru/need/5647282;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
10024079;Демонтаж компрессоров;котировочная сессия;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 185 имени Героя Советского Союза, Героя Социалистического Труда В.С. Гризодубовой»;7743018900;;;50000;12.08.2025;13.08.2025;Проведена;г Москва;https://zakupki.mos.ru/auction/10024079;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
9969836;Компрессор поршневой;котировочная сессия;Государственное бюджетное учреждение города Москвы «Жилищник района Солнцево»;7729466410;;;63107.33;24.04.2025;24.04.2025;Проведена;г Москва;https://zakupki.mos.ru/auction/9969836;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
5428693;Поставка компрессоров;B2B;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРИМОРСКИЙ ЗАВОД""";2508008331;;;;28.03.2025;02.04.2025;Прием предложений завершен;г Москва;https://zakupki.mos.ru/need/5428693;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
9940431;Компрессор для аэрографа;котировочная сессия;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ПСКОВСКОЙ ОБЛАСТИ ""ПСКОВСКИЙ ПОЛИТЕХНИЧЕСКИЙ КОЛЛЕДЖ""";6027132830;;;10155;10.03.2025;11.03.2025;Не состоялась;обл Псковская;https://zakupki.mos.ru/auction/9940431;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
5339521;Поставка Компрессора;закупка по потребностям;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МУРМАНЭНЕРГОСБЫТ""";5190907139;;;154500;11.02.2025;18.02.2025;Прием предложений завершен;обл Мурманская;https://zakupki.mos.ru/need/5339521;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
9866925;КОМПРЕССОР АВТОМОБИЛЬНЫЙ;котировочная сессия;Государственное автономное образовательное учреждение дополнительного профессионального образования города Москвы «Центр педагогического мастерства»;7725618950;;;19693.98;05.11.2024;05.11.2024;Проведена;г Москва;https://zakupki.mos.ru/auction/9866925;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
5153380;Поставка компрессора;закупка по потребностям;"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""АКАДЕМИЯ УПРАВЛЕНИЯ ГОРОДСКОЙ СРЕДОЙ, ГРАДОСТРОИТЕЛЬСТВА И ПЕЧАТИ""";7804105239;;;23400;08.10.2024;09.10.2024;Прием предложений завершен;г Санкт-Петербург;https://zakupki.mos.ru/need/5153380;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
5101805;Поставка компрессора;закупка по потребностям;"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ЮГО-ЗАПАДНОЕ УПРАВЛЕНИЕ РЕГИОНАЛЬНЫХ ДОРОГ И БЛАГОУСТРОЙСТВА""";7805814492;;;343000;23.08.2024;24.08.2024;Прием предложений завершен;г Санкт-Петербург;https://zakupki.mos.ru/need/5101805;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
4990575;Поставка компрессора.;закупка по потребностям;"МУП ""ТЕПЛО КОЛОМНЫ""";5022030985;;;98044.67;17.05.2024;21.05.2024;Прием предложений завершен;обл Московская;https://zakupki.mos.ru/need/4990575;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
4935937;Приобретение компрессора;закупка по потребностям;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""АЗИМУТ""";5011018009;;;123420;02.04.2024;05.04.2024;Прием предложений завершен;обл Московская;https://zakupki.mos.ru/need/4935937;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
4805416;Поставка компрессора;закупка по потребностям;"ГОСУДАРСТВЕННОЕ КРАЕВОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР СПОРТИВНОЙ ПОДГОТОВКИ ПЕРМСКОГО КРАЯ""";5904103908;;;150000;22.12.2023;22.12.2023;Прием предложений завершен;край Пермский;https://zakupki.mos.ru/need/4805416;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
