inn;marka_zapisana;pochemu_eto_poziciya;tekst;chem_dokazano;ssylka;istochnik
0266048970;Р-19;в цитате эта строка стоит после «поз.»/«техн. №»;резервуар, поз. Р-19, площадка В, ТСЦ, НПЗ, ООО «Газпром нефтехим Салават», г. Салават;заключение ЭПБ № 41-ЗС-36763-2021;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-36763-2021;реестр заключений ЭПБ, monitor-pb.ru
0266048970;Р-82;в цитате эта строка стоит после «поз.»/«техн. №»;резервуар, поз. Р-82, площадка Г, ТСЦ, НПЗ, ООО «Газпром нефтехим Салават», г. Салават;заключение ЭПБ № 41-ЗС-39589-2020;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-39589-2020;реестр заключений ЭПБ, monitor-pb.ru
0266048970;Р-23;в цитате эта строка стоит после «поз.»/«техн. №»;резервуар, поз. Р-23, площадка Г, ТСЦ, НПЗ, ООО «Газпром нефтехим Салават», г. Салават;заключение ЭПБ № 41-ЗС-45190-2021;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-45190-2021;реестр заключений ЭПБ, monitor-pb.ru
0266048970;Р-71;в цитате эта строка стоит после «поз.»/«техн. №»;резервуар, поз. Р-71, площадка Г, ТСЦ, НПЗ, ООО «Газпром нефтехим Салават», г. Салават;заключение ЭПБ № 41-ЗС-45193-2021;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-45193-2021;реестр заключений ЭПБ, monitor-pb.ru
0266048970;Р-73;в цитате эта строка стоит после «поз.»/«техн. №»;резервуар, поз. Р-73, площадка Г, ТСЦ, НПЗ, ООО «Газпром нефтехим Салават», г. Салават;заключение ЭПБ № 41-ЗС-45197-2021;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-45197-2021;реестр заключений ЭПБ, monitor-pb.ru
0266048970;Р-40;в цитате эта строка стоит после «поз.»/«техн. №»;резервуар, поз. Р-40, площадка Б, ТСЦ, НПЗ, ООО «Газпром нефтехим Салават», г. Салават;заключение ЭПБ № 41-ЗС-59904-2020;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-59904-2020;реестр заключений ЭПБ, monitor-pb.ru
0266048970;Р-42;в цитате эта строка стоит после «поз.»/«техн. №»;резервуар, поз. Р-42, площадка Б, ТСЦ, НПЗ, ООО «Газпром нефтехим Салават», г. Салават;заключение ЭПБ № 41-ЗС-60506-2021;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-60506-2021;реестр заключений ЭПБ, monitor-pb.ru
0266048970;Р-26;в цитате эта строка стоит после «поз.»/«техн. №»;резервуар, поз. Р-26, Резервуарный парк, Площадка В, ТСЦ, НПЗ, ООО «Газпром нефтехим Салават», г. Салават;заключение ЭПБ № 41-ЗС-29174-2022;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-29174-2022;реестр заключений ЭПБ, monitor-pb.ru
0266048970;Р-52;в цитате эта строка стоит после «поз.»/«техн. №»;резервуар, поз. Р-52, резервуарный парк, площадка Б, ТСЦ, НПЗ, ООО «Газпром нефтехим Салават», г. Салават;заключение ЭПБ № 41-ЗС-49700-2022;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-49700-2022;реестр заключений ЭПБ, monitor-pb.ru
0266048970;Р-84;в цитате эта строка стоит после «поз.»/«техн. №»;резервуар, поз. Р-84, резервуарный парк, площадка Г, ТСЦ, НПЗ, ООО «Газпром нефтехим Салават», г. Салават;заключение ЭПБ № 41-ЗС-49701-2022;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-49701-2022;реестр заключений ЭПБ, monitor-pb.ru
0266048970;Р-69;в цитате эта строка стоит после «поз.»/«техн. №»;резервуар, поз. Р-69, резервуарный парк, площадка Г, ТСЦ, НПЗ, ООО «Газпром нефтехим Салават», г. Салават;заключение ЭПБ № 41-ЗС-58842-2022;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-58842-2022;реестр заключений ЭПБ, monitor-pb.ru
0266048970;Е-17;в цитате эта строка стоит после «поз.»/«техн. №»;емкость, поз. Е-17, зав. № 26129 Площадка Д, ТСЦ, НПЗ, ООО «Газпром нефтехим Салават», г. Салават;заключение ЭПБ № 41-ТУ-58396-2020;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-58396-2020;реестр заключений ЭПБ, monitor-pb.ru
0266048970;Р-81;в цитате эта строка стоит после «поз.»/«техн. №»;здание и сооружение резервуар, поз. Р-81, площадка Г, ТСЦ, НПЗ, ООО «Газпром нефтехим Салават», г. Салават;заключение ЭПБ № 41-ЗС-32114-2020;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-32114-2020;реестр заключений ЭПБ, monitor-pb.ru
0266048970;Р-35;в цитате эта строка стоит после «поз.»/«техн. №»;здание и сооружение резервуар, поз. Р-35, площадка В, ТСЦ, НПЗ, ООО «Газпром нефтехим Салават», г. Салават;заключение ЭПБ № 41-ЗС-32139-2020;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-32139-2020;реестр заключений ЭПБ, monitor-pb.ru
0266048970;Р-66;в цитате эта строка стоит после «поз.»/«техн. №»;резервуар, поз. Р-66, резервуарный парк установок АВТ, цех № 3, НПЗ, ООО «Газпром нефтехим Салават», г. Салават;заключение ЭПБ № 41-ЗС-49702-2022;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-49702-2022;реестр заключений ЭПБ, monitor-pb.ru
0266048970;Е-14;в цитате эта строка стоит после «поз.»/«техн. №»;монжус, поз. Е-14, зав. № 1, установка ГФХ, цех № 8, НПЗ, ООО «Газпром нефтехим Салават», г. Салават;заключение ЭПБ № 41-ТУ-50243-2020;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-50243-2020;реестр заключений ЭПБ, monitor-pb.ru
0266048970;Е-15;в цитате эта строка стоит после «поз.»/«техн. №»;монжус, поз. Е-15, зав. № 2, установка ГФХ, цех № 8, НПЗ, ООО «Газпром нефтехим Салават», г. Салават;заключение ЭПБ № 41-ТУ-50249-2020;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-50249-2020;реестр заключений ЭПБ, monitor-pb.ru
0266048970;Р-70;в цитате эта строка стоит после «поз.»/«техн. №»;Резервуар, поз. Р-70, площадка Г, ТСЦ, НПЗ, ООО «Газпром нефтехим Салават», г. Салават, предназначен для хранения нефтепродуктов;заключение ЭПБ № 41-ЗС-51980-2020;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-51980-2020;реестр заключений ЭПБ, monitor-pb.ru
0266048970;Е-19;в цитате эта строка стоит после «поз.»/«техн. №»;воздухосборник, поз. Е-19, зав. № 1040, рег. № 58790, площадка «Д», ТСЦ, НПЗ, ООО «Газпром нефтехим Салават», г. Салават;заключение ЭПБ № 41-ТУ-41162-2021;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-41162-2021;реестр заключений ЭПБ, monitor-pb.ru
0266048970;Е-22;в цитате эта строка стоит после «поз.»/«техн. №»;Резервуар поз.Е-22 (установка ХВО, цех № 54, ГХЗ, ООО «Газпром нефтехим Салават»);заключение ЭПБ № 41-ЗС-32107-2019;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-32107-2019;реестр заключений ЭПБ, monitor-pb.ru
0266048970;Р-23;в цитате эта строка стоит после «поз.»/«техн. №»;резервуар поз.Р-23, ТУ №1, ТСЦ, завод «Мономер», ООО «Газпром нефтехим Салават»;заключение ЭПБ № 41-ЗС-66078-2021;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-66078-2021;реестр заключений ЭПБ, monitor-pb.ru
0266048970;ВХ-12;в цитате эта строка стоит после «поз.»/«техн. №»;воздушный холодильник, поз. ВХ-12, зав. № 3610, установка КК-2, цех № 10, НПЗ, ООО «Газпром нефтехим Салават», г. Салават;заключение ЭПБ № 41-ТУ-37039-2020;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-37039-2020;реестр заключений ЭПБ, monitor-pb.ru
0266048970;Е-11;в цитате эта строка стоит после «поз.»/«техн. №»;емкость, поз. Е-11, зав. № 72, рег. № 3057, установка КиФГ, цех № 8, НПЗ, ООО «Газпром нефтехим Салават», г. Салават;заключение ЭПБ № 41-ТУ-56454-2019;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-56454-2019;реестр заключений ЭПБ, monitor-pb.ru
0266048970;К-26;в цитате эта строка стоит после «поз.»/«техн. №»;Скруббер, поз. К-26, зав. № 11182, рег. № 46257, установка ОГиКГ, цех № 8, НПЗ, ООО «Газпром нефтехим Салават», г. Салават;заключение ЭПБ № 41-ТУ-56867-2019;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-56867-2019;реестр заключений ЭПБ, monitor-pb.ru
0266048970;Р-26;в цитате эта строка стоит после «поз.»/«техн. №»;резервуар поз.Р-26, товарный участок № 1, ТСЦ, завод «Мономер», ООО «Газпром нефтехим Салават»;заключение ЭПБ № 41-ЗС-28373-2021;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-28373-2021;реестр заключений ЭПБ, monitor-pb.ru
0266048970;Р-73;в цитате эта строка стоит после «поз.»/«техн. №»;Резервуар РВС-5000 поз.Р-73 (площадка «Г», ТСЦ, НПЗ, ООО «Газпром нефтехим Салават»);заключение ЭПБ № 41-ЗС-31541-2017;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-31541-2017;реестр заключений ЭПБ, monitor-pb.ru
0266048970;Р-71;в цитате эта строка стоит после «поз.»/«техн. №»;Резервуар РВС-5000 поз.Р-71 (площадка «Г», ТСЦ, НПЗ, ООО «Газпром нефтехим Салават»);заключение ЭПБ № 41-ЗС-31551-2017;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-31551-2017;реестр заключений ЭПБ, monitor-pb.ru
0266048970;Р-18;в цитате эта строка стоит после «поз.»/«техн. №»;Резервуар РВС-3200 поз.Р-18 (площадка «В», ТСЦ, НПЗ, ООО «Газпром нефтехим Салават»);заключение ЭПБ № 41-ЗС-33574-2017;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-33574-2017;реестр заключений ЭПБ, monitor-pb.ru
0266048970;Е-437;в цитате эта строка стоит после «поз.»/«техн. №»;резервуар, поз. Е-437, установка «Компрессия и ПС и ОП», цех № 46, завод «Мономер», ООО «Газпром нефтехим Салават», г. Салават;заключение ЭПБ № 41-ЗС-45297-2021;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-45297-2021;реестр заключений ЭПБ, monitor-pb.ru
0266048970;Е-455;в цитате эта строка стоит после «поз.»/«техн. №»;резервуар, поз. Е-455, установка «Компрессия и ПС и ОП», цех № 46, завод «Мономер», ООО «Газпром нефтехим Салават», г. Салават;заключение ЭПБ № 41-ЗС-52336-2021;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-52336-2021;реестр заключений ЭПБ, monitor-pb.ru
0266048970;Е-405;в цитате эта строка стоит после «поз.»/«техн. №»;резервуар, поз. Е-405, установка «Компрессия и ПС и ОП», цех № 46, завод «Мономер», ООО «Газпром нефтехим Салават», г. Салават;заключение ЭПБ № 41-ЗС-52367-2021;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-52367-2021;реестр заключений ЭПБ, monitor-pb.ru
0266048970;Е-417;в цитате эта строка стоит после «поз.»/«техн. №»;Резервуар, поз. Е-417, установка «Компрессия и ПС и ОП», цех № 46, завод «Мономер», ООО «Газпром нефтехим Салават», г. Салават;заключение ЭПБ № 41-ЗС-56246-2021;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-56246-2021;реестр заключений ЭПБ, monitor-pb.ru
0266048970;А-26;в цитате эта строка стоит после «поз.»/«техн. №»;емкость, поз. А-26, зав. № 15, рег. № 6354, установка ГФУ-1, цех № 10, НПЗ, ООО «Газпром нефтехим Салават», г. Салават;заключение ЭПБ № 41-ТУ-32104-2020;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-32104-2020;реестр заключений ЭПБ, monitor-pb.ru
0266048970;Т-343;в цитате эта строка стоит после «поз.»/«техн. №»;теплообменник, поз. Т-343, зав. № 64939, рег. № 79207, установка «Стирол», цех № 46, завод «Мономер», ООО «Газпром нефтехим Салават», г. Салават;заключение ЭПБ № 41-ТУ-56433-2019;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-56433-2019;реестр заключений ЭПБ, monitor-pb.ru
0266048970;Т-063;в цитате эта строка стоит после «поз.»/«техн. №»;испаритель, поз. Т-063, зав. № 120308, рег. № 79154, установка «Этилбензол», цех № 46, завод «Мономер», ООО «Газпром нефтехим Салават», г. Салават;заключение ЭПБ № 41-ТУ-56440-2019;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-56440-2019;реестр заключений ЭПБ, monitor-pb.ru
0266048970;Т-214;в цитате эта строка стоит после «поз.»/«техн. №»;холодильник, поз. Т-214, зав. № 4145, рег. № 79184, установка «Стирол», цех № 46, завод «Мономер», ООО «Газпром нефтехим Салават», г. Салават;заключение ЭПБ № 41-ТУ-56514-2019;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-56514-2019;реестр заключений ЭПБ, monitor-pb.ru
0266048970;К-23;в цитате эта строка стоит после «поз.»/«техн. №»;колонна ректификационная, поз. К-23, зав. № 72402, рег. № 46323, установка ОГиКГ, цех № 8, НПЗ, ООО «Газпром нефтехим Салават», г. Салават;заключение ЭПБ № 41-ТУ-63143-2019;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-63143-2019;реестр заключений ЭПБ, monitor-pb.ru
0266048970;Е-16;в цитате эта строка стоит после «поз.»/«техн. №»;техническое устройство, емкость, поз. Е-16, зав. № 26120 Площадка Д, ТСЦ, НПЗ, ООО «Газпром нефтехим Салават», г. Салават;заключение ЭПБ № 49-ТУ-56389-2020;https://monitor-pb.ru/conclusion/49-%D0%A2%D0%A3-56389-2020;реестр заключений ЭПБ, monitor-pb.ru
0266048970;Н-12;в цитате эта строка стоит после «поз.»/«техн. №»;Площадка основного производства ООО «Газпром нефтехим Салават» рег.№ А41-00137-0002, I класс опасности Центробежный насос марки 2,5 НФ поз.Н-12, зав. № 1005 (установка ГФХ, цех № 8, НПЗ, ООО «Газпром нефтехим Салават»);заключение ЭПБ № 41-ТУ-29108-2018;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-29108-2018;реестр заключений ЭПБ, monitor-pb.ru
0266048970;Н-13;в цитате эта строка стоит после «поз.»/«техн. №»;Площадка основного производства ООО «Газпром нефтехим Салават» рег.№ А41-00137-0002, I класс опасности Центробежный насос марки 2,5 НФ поз.Н-13, зав. № 978 (установка ГФХ, цех № 8, НПЗ, ООО «Газпром нефтехим Салават»);заключение ЭПБ № 41-ТУ-29117-2018;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-29117-2018;реестр заключений ЭПБ, monitor-pb.ru
0266048970;Р-40;в цитате эта строка стоит после «поз.»/«техн. №»;Резервуар поз. Р-40 (АВТ-1, цех №3, Нефтеперерабатывающий завод, ООО «Газпром нефтехим Салават»);заключение ЭПБ № 41-ЗС-20373-2019;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-20373-2019;реестр заключений ЭПБ, monitor-pb.ru
0266048970;Р-4/1;в цитате эта строка стоит после «поз.»/«техн. №»;Резервуар поз. Р-4/1(Установка № 1, цех № 34, завод «Мономер», ООО «Газпром нефтехим Салават»);заключение ЭПБ № 41-ЗС-62591-2019;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-62591-2019;реестр заключений ЭПБ, monitor-pb.ru
0266048970;Р-4/1;в цитате эта строка стоит после «поз.»/«техн. №»;Резервуар поз. Р-4/1(Установка № 1, цех № 34, завод «Мономер», ООО «Газпром нефтехим Салават»);заключение ЭПБ № 41-ЗС-63529-2019;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-63529-2019;реестр заключений ЭПБ, monitor-pb.ru
0266048970;Е-15;в цитате эта строка стоит после «поз.»/«техн. №»;Емкость поз.Е-15, зав. № 11052 (установка СЩС, цех № 8, НПЗ, ООО «Газпром нефтехим Салават»);заключение ЭПБ № 41-ТУ-12829-2018;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-12829-2018;реестр заключений ЭПБ, monitor-pb.ru
0266048970;Е-13;в цитате эта строка стоит после «поз.»/«техн. №»;Резервуар поз. Е-13, ЕСК, реагентное хозяйство Общество с ограниченной ответственностью «Газпром нефтехим_Салават»;заключение ЭПБ № 41-ТУ-33803-2016;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-33803-2016;реестр заключений ЭПБ, monitor-pb.ru
0266048970;Р-59;в цитате эта строка стоит после «поз.»/«техн. №»;Резервуар РВС-400 поз. Р-59, НПЗ, ТСЦ, площадка «В», ООО «Газпром нефтехим Салават»;заключение ЭПБ № 41-ТУ-35136-2016;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-35136-2016;реестр заключений ЭПБ, monitor-pb.ru
