inn;predpriyatie;ofic_nazvanie;status;adres;rukovoditel;dolzhnost_rukovoditelya;okved;marki_mashin;vozdushnyh_zaklyucheniy;posledneye_zaklyuchenie;oshibka
4219000048;"АО  ""ЦОФ ""Абашевская""""";"АО ""ЦОФ ""АБАШЕВСКАЯ""";ACTIVE;Кемеровская область - Кузбасс, г Новокузнецк, р-н Орджоникидзевский, Стрелочный тупик, д 12;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РАСПАДСКАЯ УГОЛЬНАЯ КОМПАНИЯ""";;05.10.22;DT 90/552, MACO146, NP1110, SCN2022, ГИСТ72-2, Д320-50;13;2026-07-23;
8608048498;"ООО ""ЛУКОЙЛ-ЗАПАДНАЯ СИБИРЬ""";"ООО ""ЛУКОЙЛ-ЗАПАДНАЯ СИБИРЬ""";ACTIVE;Ханты-Мансийский Автономный округ - Югра, г Когалым, ул Прибалтийская, д 20;Яскин Сергей Александрович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;06.10.1;ГРФ 500, КЦ 101/5, КЦ-101/1, КЦ-101/3, КЦ-101/4, КЦ-101/5;13;2021-03-15;
6618000220;"ОАО ""Святогор""";"АО ""СВЯТОГОР""";ACTIVE;Свердловская обл, г Красноуральск, ул Кирова, зд 2;Тропников Дмитрий Леонидович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;24.44;Э-1700-11, Э-1700-11-2М, Э1700-11, Э1700-11-2М;12;2025-04-17;
4633001577;"АО ""МИХАЙЛОВСКИЙ ГОК ИМ. А.В. ВАРИЧЕВА""";"АО ""МИХАЙЛОВСКИЙ ГОК ИМ. А.В. ВАРИЧЕВА""";ACTIVE;Курская обл, г Железногорск, ул Ленина, д 21;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ УПРАВЛЯЮЩАЯ КОМПАНИЯ ""МЕТАЛЛОИНВЕСТ""";;07.10.2;ТВ-175, ТВ-80;12;2024-04-01;
4407006010;"ООО ""СВИСС КРОНО""";"ООО ""СВИСС КРОНО""";ACTIVE;Костромская обл, г Шарья, пгт Ветлужский, ул Центральная, д 4;Папе Лутц;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;16.21.13;K50-30, SRB 125, SRB101, SRB125, НПО-2023/2105-02-29, НПО-2023/2105-04-7;11;2025-11-06;
7705739450;"ООО ""НЕСТЛЕ РОССИЯ""";"ООО ""НЕСТЛЕ РОССИЯ""";ACTIVE;г Москва, Павелецкая пл, д 2 стр 1;Войтюк Денис Витальевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;10.92;BAT-001-002;11;2025-08-27;
1103019252;"АО ""Воркутауголь""";"АО ""ВОРКУТАУГОЛЬ""";ACTIVE;Респ Коми, г Воркута, ул Ленина, д 62;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВОРКУТИНСКАЯ УПРАВЛЯЮЩАЯ КОМПАНИЯ""";;05.10.22;RBS 175, ТВ-80/1, ТВ-80/1,4;10;2026-07-21;
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";ACTIVE;г Оренбург, ул Чкалова, д 1/2;Николаев Олег Александрович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;06.20.1;У-170/171, У-31/32, ЦК-135/8, ЦК-135/8 М1;10;2019-01-28;
6323049893;"ООО ""ТОЛЬЯТТИКАУЧУК""";"ООО ""ТОЛЬЯТТИКАУЧУК""";ACTIVE;Самарская обл, г Тольятти, ул Новозаводская, д 8;Морозов Юрий Витальевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;20.14.1;ТВ-80-1, ТК-0131, ЦК 135/8, ЦК-135/8, ЦНВ 200/3;10;2026-07-09;
6451114900;"ПАО ""САРАТОВСКИЙ НПЗ""";"ПАО ""САРАТОВСКИЙ НПЗ""";ACTIVE;г Саратов, ул Брянская, д 1;Камлык Евгений Анатольевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;19.20.1;ТВ-300-1;9;2022-11-07;
5606001611;"ООО ""ММСК""";"ООО ""ММСК""";ACTIVE;Оренбургская обл, г Медногорск, ул Заводская, д 1;Исхаков Ильфат Ильдусович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;24.44;;9;2024-04-15;
4203001617;"ПАО ""ЦОФ ""Березовская""""";"АО ""ЦЕНТРАЛЬНОЕ""";ACTIVE;г Кемерово, пр-кт Ленина, д 59В, помещ 1;Фалелеев Виктор Николаевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;05.10.22;DME 150, EPC 840-250, S 75-3, VSF 120/10, WF-100/11, В-1200;9;2025-05-29;
0270007455;"АО ""УЧАЛИНСКИЙ ГОК""";"АО ""УЧАЛИНСКИЙ ГОК""";ACTIVE;Респ Башкортостан, г Учалы, ул Горнозаводская, д 2;Гибадуллин Закария Равгатович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;07.29.1;SM 4000-900-2, К-250-61-5;9;2024-12-03;
5615002700;"ПАО ""ОРСКНЕФТЕОРГСИНТЕЗ""";"ПАО ""ОРСКНЕФТЕОРГСИНТЕЗ""";ACTIVE;Оренбургская обл, г Орск, ул Гончарова, д 1А;Дудников Юрий Владимирович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;19.20.1;;8;2025-11-18;
4029045298;"АО ""БиоТех Росва""";"АО ""БИОТЕХ РОСВА""";ACTIVE;г Калуга, тер Промзона индустриальный парк Росва, зд 1;Верхотуров Алексей Витальевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;10.62.9;;8;2022-11-30;
7728640182;"ООО ""ГАЗПРОМНЕФТЬ -СМ""";"ООО ""ГАЗПРОМНЕФТЬ-СМ""";ACTIVE;г Санкт-Петербург, Дегтярный пер, д 1Б стр 1, помещ 22Н;Егоров Владимир Егорович;ВРЕМЕННО-ИСПОЛНЯЮЩИЙ ОБЯЗАННОСТИ ГЕНЕРАЛЬНОГО ДИРЕКТОРА;19.20.9;MARE6000, В-617/1, ТВ-50-1, ТВ-50-1,6, ТВ-80-1, ТВ-80-1,4;8;2025-01-21;
3627000397;"АО ""МИНУДОБРЕНИЯ""";"АО ""МИНУДОБРЕНИЯ""";ACTIVE;Воронежская обл, г Россошь, ул Химзаводская, зд 2;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОСХИМ""";;20.15.7;К-250-61-5, К250-61-5;7;2024-01-31;
3445042160;"ООО ""ГАЗПРОМ ТРАНСГАЗ ВОЛГОГРАД""";"ООО ""ГАЗПРОМ ТРАНСГАЗ ВОЛГОГРАД""";ACTIVE;г Волгоград, ул Рабоче-Крестьянская, д 58;Марамыгин Юрий Александрович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;49.50.21;;7;2025-07-31;
4212024138;"АО ""СУЭК-КУЗБАСС""";"АО ""СУЭК-КУЗБАСС""";ACTIVE;652507, КЕМЕРОВСКАЯ ОБЛАСТЬ - КУЗБАСС, М.О. ЛЕНИНСК-КУЗНЕЦКИЙ, Г. ЛЕНИНСК-КУЗНЕЦКИЙ, УЛ. ВАСИЛЬЕВА, Д. 1;;;05.10.16;РН-100, РН-150;7;2025-11-17;
5036074848;"ООО ""ХАЙДЕЛЬБЕРГЦЕМЕНТ РУС""";"ООО ""ХАЙДЕЛЬБЕРГЦЕМЕНТ РУС""";ACTIVE;188561, ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, М.Р-Н СЛАНЦЕВСКИЙ, Г.П. СЛАНЦЕВСКОЕ, Г. СЛАНЦЫ, Ш. КИНГИСЕППСКОЕ, Д. 1, ПОМЕЩ. 1;Хаджийски Антон Николаев;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;23.51;К250-61-5;7;2026-07-06;
6625004271;"АО ""ПНТЗ""";"АО ""ПНТЗ""";LIQUIDATED;Свердловская обл, г Первоуральск, ул Торговая, стр 1;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТРУБНАЯ МЕТАЛЛУРГИЧЕСКАЯ КОМПАНИЯ""";;24.20;К250-61-2, К250-61-5;7;2015-09-23;
6451122250;"ООО ""САРАТОВОРГСИНТЕЗ""";"ООО ""САРАТОВОРГСИНТЕЗ""";ACTIVE;г Саратов, пл Советско-Чехословацкой дружбы, зд 1 стр 1;Иванов Алексей Юрьевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;20.14.4;;6;2023-12-20;
1106014140;"ООО ""ЛУКОЙЛ-Коми"" (ИНН 1106014140)";"ООО ""ЛУКОЙЛ-КОМИ""";LIQUIDATED;Респ Коми, г Усинск, ул Нефтяников, д 31;Третьяков Олег Владимирович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;06.10.1;FDRC 80-400, RRF-350, КМ 100-65-200;6;2022-05-06;
7113502396;"ООО ""КАРГИЛЛ""";"ООО ""КАРГИЛЛ""";ACTIVE;Тульская обл, г Ефремов, ул Молодежная, д 10;Кляйн Олег Робертович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;10.41.54;DN 125, RВS 46, НПО-2023/0131-12-20, НПО-2023/0131-12-38, НПО-2023/0131-14-16, НПО-2023/0131-27-8;6;2026-07-21;
6335007320;"АО ""ПРОМСИНТЕЗ""";"АО ""ПРОМСИНТЕЗ""";ACTIVE;Самарская обл, г Чапаевск, ул Куйбышева, д 1;Шихарбеев Дмитрий Владимирович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;20.51;ТВ-200-1;6;2026-06-15;
7117000076;"АО ""Пластик""";"АО ""ПЛАСТИК""";ACTIVE;Тульская обл, г Узловая, ул Тульская, д 1;Кизимов Николай Владимирович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;20.16;;6;2022-09-20;
7723332561;"ООО ""НПП ""НЕФТЕХИМИЯ""";"ООО ""НПП ""НЕФТЕХИМИЯ""";ACTIVE;г Москва, Капотня 2-й кв-л, д 1 к 13;Горобец Евгений Александрович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;20.16;НКО-0068-2024, НКО-0069-2024, РК-804, ТУ-2017;6;2025-05-06;
7728060368;"ОАО ""КБК ""ЧЕРЕМУШКИ""";"ОАО ""КБК ""ЧЕРЕМУШКИ""";ACTIVE;г Москва, ул Намёткина, д 10А;Мамаев Дмитрий Викторович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;10.71.1;ЭФ-106;6;2024-04-17;
5404037541;"ООО  ""ГОФ Анжерская""";"ООО ""ГОФ АНЖЕРСКАЯ""";ACTIVE;г Новосибирск, пл Труда, д 1, офис 624;Чевга Алексей Николаевич;ДИРЕКТОР;05.10.23;RDH 710, ВДН-12, ВР 80-75, ВР 85-77, ТВ-80-1, ТВ-80/1;6;2025-05-29;
2204001528;"ФКП  ""БОЗ""";"ФКП ""БОЗ""";LIQUIDATED;Алтайский край, г Бийск;Крючков Максим Викторович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;20.51;ТВ 100-1, ТВ 200-1, ТВ 200-1,12, ТВ-100-1, ТВ-100-1,12, ТВ100-1;6;2019-06-04;
7723451304;"ООО ""ГК ""СИНЕРГИЯ""";"ООО ""ГК ""СИНЕРГИЯ""";ACTIVE;г Москва, ул Симоновский Вал, д 7 к 2, офис 6;Говорова Анна Игоревна;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;71.12;ТВ-200-1, ТВ-200-1,12;6;2025-11-05;
4218000253;"АО ""ЦОФ ""КУЗНЕЦКАЯ""";"АО ""ЦОФ ""КУЗНЕЦКАЯ""";ACTIVE;Кемеровская область - Кузбасс, г Новокузнецк, р-н Заводской, Северное шоссе, д 16;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РАСПАДСКАЯ УГОЛЬНАЯ КОМПАНИЯ""";;05.10.22;EBW 48, МО-318, ТВ-80, ТВ-80-1, ТВ-80-1,8, ТВ200-1;6;2023-06-26;
