srok;zapros;nomer;data;inn_zakazchika;zakazchik;obekt;tip;inn_eo;ekspertnaya_org;vyvod;istochnik;istochnik_zakazchik
expired;центробежный компрессор;13-ТУ-06662-2022;17.05.2022;4823006703;"ПАО ""НЛМК""";Центробежный кислородный компрессор 543ЦКК-400/40, ст. № 5, инв. № 31583, площадка воздухоразделительных установок № 2;ТУ;4823073763;"ООО ""МЕЖРЕГИОНАЛЬНЫЙ ИНЖИНИРИНГОВЫЙ ЦЕНТР ЭКСПЕРТИЗЫ И ДИАГНОСТИКИ""";не в полной мере;https://monitor-pb.ru/conclusion/13-%D0%A2%D0%A3-06662-2022;https://monitor-pb.ru/customer/4823006703
expired;центробежный компрессор;53-ТУ-41480-2022;27.05.2022;6325004584;"АО ""СНПЗ""";Центробежный компрессор 5VR200-490G, техн. № ЦК-1, зав. № 430819, инв. № 012063, цех № 15, установка ЛГ 35/11-300;ТУ;6312031510;"ООО ПФ ""ЭДТОН""";не в полной мере;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-41480-2022;https://monitor-pb.ru/customer/6325004584
expired;центробежный компрессор;13-ТУ-03714-2022;22.03.2022;4823006703;"ПАО ""НЛМК""";Центробежный воздушный компрессор К-1500-62-2, ст. № 4, инв. № 87843, площадка воздухоразделительных установок № 2;ТУ;4823073763;"ООО ""МЕЖРЕГИОНАЛЬНЫЙ ИНЖИНИРИНГОВЫЙ ЦЕНТР ЭКСПЕРТИЗЫ И ДИАГНОСТИКИ""";не в полной мере;https://monitor-pb.ru/conclusion/13-%D0%A2%D0%A3-03714-2022;https://monitor-pb.ru/customer/4823006703
expired;центробежный компрессор;13-ТУ-06663-2022;17.05.2022;4823006703;"ПАО ""НЛМК""";Центробежный воздушный компрессор К-1500-62-2,ст. № 5, инв. № 62837, площадка воздухоразделительных установок № 2;ТУ;4823073763;"ООО ""МЕЖРЕГИОНАЛЬНЫЙ ИНЖИНИРИНГОВЫЙ ЦЕНТР ЭКСПЕРТИЗЫ И ДИАГНОСТИКИ""";не в полной мере;https://monitor-pb.ru/conclusion/13-%D0%A2%D0%A3-06663-2022;https://monitor-pb.ru/customer/4823006703
expired;центробежный компрессор;13-ТУ-10746-2021;07.10.2021;4823006703;"ПАО ""НЛМК""";центробежный азотный компрессор К-345-92-1, ст.№2, инв.№58727», площадка воздухоразделительных установок №1;ТУ;4823073763;"ООО ""МЕЖРЕГИОНАЛЬНЫЙ ИНЖИНИРИНГОВЫЙ ЦЕНТР ЭКСПЕРТИЗЫ И ДИАГНОСТИКИ""";не в полной мере;https://monitor-pb.ru/conclusion/13-%D0%A2%D0%A3-10746-2021;https://monitor-pb.ru/customer/4823006703
expired;центробежный компрессор;26-ТУ-01740-2020;05.02.2020;5191431170;"АО ""КОЛЬСКАЯ ГМК""";холодильник промежуточный центробежного компрессора К-250-61-2, № 1, инв.№ 20187, площадка цеха энерго и электроснабжения, АО «Кольская ГМК» (пл. Заполярный, Мурманской обл.).;ТУ;7811558423;"ООО ""ГТЭ""";не в полной мере;https://monitor-pb.ru/conclusion/26-%D0%A2%D0%A3-01740-2020;https://monitor-pb.ru/customer/5191431170
expired;центробежный компрессор;26-ТУ-04555-2020;25.03.2020;5191431170;"АО ""КОЛЬСКАЯ ГМК""";холодильник промежуточный центробежного компрессора К-250-61-2, № 2, инв.№ 64854, площадка цеха энерго и электроснабжения, АО «Кольская ГМК» (пл. Заполярный, Мурманской обл.).;ТУ;7811558423;"ООО ""ГТЭ""";не в полной мере;https://monitor-pb.ru/conclusion/26-%D0%A2%D0%A3-04555-2020;https://monitor-pb.ru/customer/5191431170
expired;центробежный компрессор;26-ТУ-09639-2020;15.07.2020;5191431170;"АО ""КОЛЬСКАЯ ГМК""";компрессор центробежный К-250-61-5 № 3, зав.№ 274, инв.№ 66508 площадка цеха энерго и электроснабжения, АО «Кольская ГМК» (пл. Заполярный, Мурманской обл.).;ТУ;7811558423;"ООО ""ГТЭ""";не в полной мере;https://monitor-pb.ru/conclusion/26-%D0%A2%D0%A3-09639-2020;https://monitor-pb.ru/customer/5191431170
expired;центробежный компрессор;66-ТУ-15352-2015;29.12.2015;2443000518;"АО ""АНПЗ ВНК""";центробежный компрессор 5ЦД-208/30-45М заводской номер 96001, технологический номер ЦК-201 АО «АНПЗ ВНК», цех №1, ГК;ТУ;7701027236;"ООО ""ИНТЕРЮНИС""";не в полной мере;https://monitor-pb.ru/conclusion/66-%D0%A2%D0%A3-15352-2015;https://monitor-pb.ru/customer/2443000518
expired;центробежный компрессор;13-ТУ-08083-2018;09.07.2018;4823006703;"ПАО ""НЛМК""";Центробежный воздушный компрессор К-1500-62-1, ст. № 3, инв. № 43548, площадка воздухоразделительных установок № 1 кислородного цеха.;ТУ;4823073763;"ООО ""МЕЖРЕГИОНАЛЬНЫЙ ИНЖИНИРИНГОВЫЙ ЦЕНТР ЭКСПЕРТИЗЫ И ДИАГНОСТИКИ""";не в полной мере;https://monitor-pb.ru/conclusion/13-%D0%A2%D0%A3-08083-2018;https://monitor-pb.ru/customer/4823006703
expired;центробежный компрессор;26-ТУ-00923-2020;23.01.2020;5191431170;"АО ""КОЛЬСКАЯ ГМК""";холодильник промежуточный II ступени центробежного компрессора К-250-61-2, № 3, инв.№ 66508, площадка цеха энерго и электроснабжения, АО «Кольская ГМК» (пл. Заполярный, Мурманской обл.).;ТУ;7811558423;"ООО ""ГТЭ""";не в полной мере;https://monitor-pb.ru/conclusion/26-%D0%A2%D0%A3-00923-2020;https://monitor-pb.ru/customer/5191431170
expired;центробежный компрессор;53-ТУ-32783-2022;02.03.2022;6314006396;"АО ""КНПЗ""";компрессор центробежный 5(7)VR 200/490G технологический индекс ЦК-1, зав. № 430818,установка ЛГ-35/11-300 №2 цеха №1;ТУ;6312031510;"ООО ПФ ""ЭДТОН""";не в полной мере;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-32783-2022;https://monitor-pb.ru/customer/6314006396
expired;центробежный компрессор;53-ТУ-39173-2022;29.04.2022;6330017980;"АО ""ННК""";Центробежный компрессор марки К-400-51-2, технологический индекс 3/3, заводской № 6008, АО «Новокуйбышевская нефтехимическая компания» цех №5, отделение 0502.;ТУ;6316081279;"ООО ""НПК ""СИНКО""";не в полной мере;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-39173-2022;https://monitor-pb.ru/customer/6330017980
expired;центробежный компрессор;59-ТУ-18640-2017;29.05.2017;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";техническое устройство – Центробежный компрессор марки К-354-101-1, тех. № ТК-1, зав.№ 9628 (Площадка Вынгаяхинской компрессорной станции промысловой (Вынгапуровский ГПЗ) АО СибурТюменьГаз»);ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";не в полной мере;https://monitor-pb.ru/conclusion/59-%D0%A2%D0%A3-18640-2017;https://monitor-pb.ru/customer/7202116628
expired;центробежный компрессор;70-ТУ-08424-2020;03.07.2020;8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";компрессор центробежный кислородный КТК-12,5/35 ст. 19/11М, зав. № 90004, инв. № 30800025314;ТУ;7709842345;"ООО ""БЕЗОПАСНОСТЬ В ПРОМЫШЛЕННОСТИ""";не в полной мере;https://monitor-pb.ru/conclusion/70-%D0%A2%D0%A3-08424-2020;https://monitor-pb.ru/customer/8401005730
expired;центробежный компрессор;43-ТУ-20669-2018;21.12.2018;1658008723;"ПАО ""КАЗАНЬОРГСИНТЕЗ""";"Компрессор центробежный марки К-210-62-1м, Зав. №3960; Техн. №В-6, эксплуатируемые в цехе №0771-0776, завода «Этилен» ПАО «Казаньоргсинтез», г. Казань, Республика Татарстан";ТУ;1658200184;"ООО ""ТЕХНОПРОМ"" (ИНН 1658200184)";не соответствует;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-20669-2018;https://monitor-pb.ru/customer/1658008723
expired;центробежный компрессор;68-ТУ-32520-2019;13.12.2019;4218000951;"АО ""ЕВРАЗ ЗСМК""";"техническое устройство: центробежный компрессор типа К-1500-62-2 станционный № 11, заводской № 4226, й АО ""ЕВРАЗ ЗСМК"" АЭ.16.00125.002";ТУ;4220024710;"ООО ""ЭНЕРГОПРОМ-М""";не в полной мере;https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-32520-2019;https://monitor-pb.ru/customer/4218000951
expired;центробежный компрессор;70-ТУ-08422-2020;03.07.2020;8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";компрессор центробежный кислородный КТК-12,5/35 ст. № 13/42 М, зав. № 83010, инв. № 30800023127;ТУ;7709842345;"ООО ""БЕЗОПАСНОСТЬ В ПРОМЫШЛЕННОСТИ""";не в полной мере;https://monitor-pb.ru/conclusion/70-%D0%A2%D0%A3-08422-2020;https://monitor-pb.ru/customer/8401005730
expired;центробежный компрессор;13-ТУ-12045-2015;16.11.2015;4823006703;"ПАО ""НЛМК""";Компрессор центробежный кислородный марки КТК-12.5/35, инв. №77980, зав. №74003, ст. № 3, эксплуатируемый на участке компрессии кислорода и азота, площадка кислородной станции №1;ТУ;1660016351;"АО ""НИИТУРБОКОМПРЕССОР ИМ.В.Б.ШНЕППА""";не в полной мере;https://monitor-pb.ru/conclusion/13-%D0%A2%D0%A3-12045-2015;https://monitor-pb.ru/customer/4823006703
expired;центробежный компрессор;57-ТУ-30283-2019;30.07.2019;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";на техническое устройство - Центробежный компрессор марки К-890-121-1, техн. № КЦ-101/1, зав. № 8753 (Площадка переработки попутного нефтяного газа Няганьгазпереработка АО «СибурТюменьГаз», УПГ-2);ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";не в полной мере;https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-30283-2019;https://monitor-pb.ru/customer/7202116628
expired;центробежный компрессор;28-ТУ-17576-2020;23.10.2020;3528000597;"ПАО ""СЕВЕРСТАЛЬ""";центробежный компрессор КТК - 12,5/35, ст. № 14 зав.№ 80002 «Северсталь», применяемое на ОПО «Площадка кислородного цеха»,свидетельство регистрации А28-00205-0049 от 06.08.2020г., класс опасности – I.;ТУ;7106071773;"ООО ""ЭКСПЕРТИЗА ПБИС""";не в полной мере;https://monitor-pb.ru/conclusion/28-%D0%A2%D0%A3-17576-2020;https://monitor-pb.ru/customer/3528000597
expired;центробежный компрессор;59-ТУ-03364-2018;30.01.2018;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";техническое устройство - Центробежный компрессор марки К-890-122-1, техн. № КЦ-201/1, зав. № 9346 (Площадка переработки попутного нефтяного газа Губкинского ГПЗ АО «СибурТюменьГаз», ЦПГ, УПГ-2);ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";не в полной мере;https://monitor-pb.ru/conclusion/59-%D0%A2%D0%A3-03364-2018;https://monitor-pb.ru/customer/7202116628
expired;центробежный компрессор;13-ТУ-04977-2015;29.06.2015;4823006703;"ПАО ""НЛМК""";Компрессор центробежный кислородный марки КТК-12,5/35, зав. № 74008, ст. № 6, инв. № 77980, эксплуатируемый на участке компрессии кислорода и азота, площадка кислородной станции № 1 Кислородного цеха;ТУ;1660016351;"АО ""НИИТУРБОКОМПРЕССОР ИМ.В.Б.ШНЕППА""";не в полной мере;https://monitor-pb.ru/conclusion/13-%D0%A2%D0%A3-04977-2015;https://monitor-pb.ru/customer/4823006703
expired;центробежный компрессор;13-ТУ-06606-2015;03.08.2015;4823006703;"ПАО ""НЛМК""";Компрессор центробежный азотный марки КТК-12.5/35, зав. № 76008, ст. № 8, инв. № 45530, эксплуатируемый на участке компрессии кислорода и азота, площадка кислородной станции № 1 кислородного цеха;ТУ;1660016351;"АО ""НИИТУРБОКОМПРЕССОР ИМ.В.Б.ШНЕППА""";не в полной мере;https://monitor-pb.ru/conclusion/13-%D0%A2%D0%A3-06606-2015;https://monitor-pb.ru/customer/4823006703
expired;центробежный компрессор;13-ТУ-14483-2015;22.12.2015;4823006703;"ПАО ""НЛМК""";Компрессор центробежный азотный марки КТК-12.5/35, инв. № 45530, зав. № 76008, ст. № 8, эксплуатируемый на участке компрессии кислорода и азота, площадка кислородной станции № 1 кислородного цеха;ТУ;1660016351;"АО ""НИИТУРБОКОМПРЕССОР ИМ.В.Б.ШНЕППА""";не в полной мере;https://monitor-pb.ru/conclusion/13-%D0%A2%D0%A3-14483-2015;https://monitor-pb.ru/customer/4823006703
expired;центробежный компрессор;43-ЗС-02230-2021;20.02.2021;1658008723;"ПАО ""КАЗАНЬОРГСИНТЕЗ""";"«Фундамент центробежного компрессора марки К-605-182-1М, эксплуатируемого на опасном производственном объекте «Площадка производства этилена, завод «Этилена» (цеха №201-203; 204-205; 2021-2045; 771-776; 58-68; 65-76)»";ЗС;1650261026;"ООО ""Алгоритм НЧ""";не в полной мере;https://monitor-pb.ru/conclusion/43-%D0%97%D0%A1-02230-2021;https://monitor-pb.ru/customer/1658008723
expired;центробежный компрессор;28-ТУ-00739-2024;16.01.2024;3528000597;"ПАО ""СЕВЕРСТАЛЬ""";"центробежный компрессор КТК-12,5/35, ст.№ 14 зав.№80002, применяемый на ОПО I класса опасности, рег. № А28-00205-0049 «Площадка кислородного цеха» ПАО ""Северсталь"" г. Череповец Вологодская область";ТУ;6671344191;"ООО ""Промэнергобезопасность""";не соответствует;https://monitor-pb.ru/conclusion/28-%D0%A2%D0%A3-00739-2024;https://monitor-pb.ru/customer/3528000597
expired;центробежный компрессор;28-ТУ-21130-2021;13.12.2021;3528000597;"ПАО ""СЕВЕРСТАЛЬ""";"центробежный компрессор КТК-12,5/35, ст.№ 2 зав.№ 63001, применяемый на ОПО I класса опасности, рег. № А28-00205-0049 «Площадка кислородного цеха» ПАО ""Северсталь"" г. Череповец Вологодская область.";ТУ;6671344191;"ООО ""Промэнергобезопасность""";не в полной мере;https://monitor-pb.ru/conclusion/28-%D0%A2%D0%A3-21130-2021;https://monitor-pb.ru/customer/3528000597
expired;центробежный компрессор;28-ТУ-21131-2021;13.12.2021;3528000597;"ПАО ""СЕВЕРСТАЛЬ""";"центробежный компрессор КТК-12,5/35, ст.№ 3 зав.№ 63003, применяемый на ОПО I класса опасности, рег. № А28-00205-0049 «Площадка кислородного цеха» ПАО ""Северсталь"" г. Череповец Вологодская область.";ТУ;6671344191;"ООО ""Промэнергобезопасность""";не в полной мере;https://monitor-pb.ru/conclusion/28-%D0%A2%D0%A3-21131-2021;https://monitor-pb.ru/customer/3528000597
expired;центробежный компрессор;58-ТУ-21114-2021;24.06.2021;8602060555;"ПАО ""СУРГУТНЕФТЕГАЗ""";центробежный компрессор 2/2-С-102В 553В6, зав.№553-6-3844F, применяемый на опасном производственном объекте Площадка газоперерабатывающего завода Управления по переработке газа рег. №А58-70020-0341 (ЦПГ №1 УКПГ №1 КС-1) ПАО «Сургутнефтегаз»;ТУ;8605020617;"ООО ""АЛЬЯНСЭКСПЕРТ""";не в полной мере;https://monitor-pb.ru/conclusion/58-%D0%A2%D0%A3-21114-2021;https://monitor-pb.ru/customer/8602060555
expired;центробежный компрессор;28-ТУ-01390-2021;01.02.2021;3528000597;"ПАО ""СЕВЕРСТАЛЬ""";"Центробежный компрессор КТК-12,5/35, ст.№ 13 зав.№ 74018, применяемый на ОПО I класса опасности, рег. № А28-00205-0049 «Площадка кислородного цеха» ПАО ""Северсталь"" г. Череповец Вологодская область.";ТУ;6671344191;"ООО ""Промэнергобезопасность""";не в полной мере;https://monitor-pb.ru/conclusion/28-%D0%A2%D0%A3-01390-2021;https://monitor-pb.ru/customer/3528000597
expired;центробежный компрессор;28-ТУ-01392-2021;01.02.2021;3528000597;"ПАО ""СЕВЕРСТАЛЬ""";"Центробежный компрессор КТК-12,5/35, ст.№ 16 зав.№ 78011, применяемый на ОПО I класса опасности, рег. № А28-00205-0049 «Площадка кислородного цеха» ПАО ""Северсталь"" г. Череповец Вологодская область.";ТУ;6671344191;"ООО ""Промэнергобезопасность""";не в полной мере;https://monitor-pb.ru/conclusion/28-%D0%A2%D0%A3-01392-2021;https://monitor-pb.ru/customer/3528000597
expired;центробежный компрессор;28-ТУ-21088-2021;13.12.2021;3528000597;"ПАО ""СЕВЕРСТАЛЬ""";"на техническое устройство центробежный компрессор КТК-12,5/35, ст.№ 6 зав.№ 69011, применяемый на ОПО I класса опасности, рег. № А28-00205-0049 «Площадка кислородного цеха» ПАО ""Северсталь"" г. Череповец Вологодская область.";ТУ;6671344191;"ООО ""Промэнергобезопасность""";не в полной мере;https://monitor-pb.ru/conclusion/28-%D0%A2%D0%A3-21088-2021;https://monitor-pb.ru/customer/3528000597
expired;центробежный компрессор;68-ТУ-17993-2022;30.05.2022;4219000048;"АО  ""ЦОФ ""Абашевская""""";технические устройства: технологического оборудования цеха «ВШХ»: насос центробежный секционный НЦС180-340, инв. № 6661, поз. № 1914, зав. № 180053, технологического оборудования цеха «Сушки»: компрессор поршневой ЕСР 630-250, инв. № 6741, зав.№ 24318-7219752 , насос центробежный шламовый ШН250-34, инв. № 6559, поз. № 1038, зав. № 2301, технологического оборудования цеха «ПСХ»: насос центробежный двустороннего входа Д320-50, инв.№6668, поз.№1414, зав.№ 7У6, применяемые на опасном производственном объекте II класса опасности АО «ЦОФ «Абашевская»;ТУ;4216000113;"АО ""СШМНУ""";не в полной мере;https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-17993-2022;https://monitor-pb.ru/customer/4219000048
