inn;predpriyatie;istochnik;chem_dokazano;tekst;ssylka;pochemu
0256006322;"АО ""БМК""";ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура ГП827240;Запрос предложений на насосы.;https://etpgpb.ru/procedure/tender/etp/146918-zapros-predlozheniy-na-nasosy/;в тексте факта нет ни одного слова машины — доказательством быть не может
0256006322;"АО ""БМК""";ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура ГП006967;Запрос предложений. Насосные агрегаты, запасные части к насосам.;https://etpgpb.ru/procedure/tender/etp/357174-zapros-predlozheniy-nasosnye-agregaty-zapasnye-chasti-k-nasosam/;в тексте факта нет ни одного слова машины — доказательством быть не может
0256006322;"АО ""БМК""";ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура ГП910712;Запрос предложений. Насосы.;https://etpgpb.ru/procedure/tender/etp/267498-zapros-predlozheniy-nasosy/;в тексте факта нет ни одного слова машины — доказательством быть не может
0256006322;"АО ""БМК""";ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура ГП813064;Запрос предложений на запорную арматуру;https://etpgpb.ru/procedure/tender/etp/134372-zapros-predlozheniy-na-zapornuyu-armaturu/;в тексте факта нет ни одного слова машины — доказательством быть не может
0256006322;"АО ""БМК""";ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура ГП907371;Запрос предложений. Запасные части к тепловозам.;https://etpgpb.ru/procedure/tender/etp/248940-zapros-predlozheniy-zapasnye-chasti-k-teplovozam/;в тексте факта нет ни одного слова машины — доказательством быть не может
0256006322;"АО ""БМК""";ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура ГП913216;Запрос предложений запасные части для ж/д техники;https://etpgpb.ru/procedure/tender/etp/199814-zapros-predlozheniy-zapasnye-chasti-dlya-zh-d-tehniki/;в тексте факта нет ни одного слова машины — доказательством быть не может
0256006322;"АО ""БМК""";ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура ГП925681;Запрос предложений на Комплектующие к автотранспорту;https://etpgpb.ru/procedure/tender/etp/202397-zapros-predlozheniy-na-komplektuyuschie-k-avtotransportu/;в тексте факта нет ни одного слова машины — доказательством быть не может
0256006322;"АО ""БМК""";ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура ГП801221;Запрос цен на Запасные части для ремонта локомотивов.;https://etpgpb.ru/procedure/tender/etp/133304-zapros-tsen-na-zapasnye-chasti-dlya-remonta-lokomotivov/;в тексте факта нет ни одного слова машины — доказательством быть не может
0256006322;"АО ""БМК""";ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура ГП813667;Запрос предложений на ремонт локомотива ТГМ-6.;https://etpgpb.ru/procedure/tender/etp/135978-zapros-predlozheniy-na-remont-lokomotiva-tgm-6/;в тексте факта нет ни одного слова машины — доказательством быть не может
0266008329;Газпром нефтехим Салават;ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура 31603560256;125/14.04.16/ММУ/ЗПЭ Поставка электрооборудования и контрольно-измерительных приборов;https://etpgpb.ru/procedure/tender/etp/53374-125-14-04-16-mmu-zpe-postavka-elektrooborudovaniya-i-kontrolno-izmeritelnyh-priborov/;в тексте факта нет ни одного слова машины — доказательством быть не может
0266008329;Газпром нефтехим Салават;ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура 31401356152;1539/17.07.14/ЗПЭ Поставка комплекта для контроля резьбы;https://etpgpb.ru/procedure/tender/gaz/18381-1539-17-07-14-zpe-postavka-komplekta-dlya-kontrolya-rezby/;в тексте факта нет ни одного слова машины — доказательством быть не может
0266033685;ПВК;ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура 32312497169;"113/16.06.23/ПВК/МИ/Э/СМСП Поставка электробензоинструментов для нужд ООО ""Промводоканал""";https://etpgpb.ru/procedure/tender/gaz/202283-113-16-06-23-pvk-mi-e-smsp-postavka-elektrobenzoinstrumentov-dlya-nuzhd-ooo-promvodokanal/;в тексте факта нет ни одного слова машины — доказательством быть не может
0266033685;ПВК;ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура 32312603909;"147/21.07.23/ПВК/МИ/Э/СМСП Поставка электробензоинструментов для нужд ООО ""Промводоканал""";https://etpgpb.ru/procedure/tender/gaz/204317-147-21-07-23-pvk-mi-e-smsp-postavka-elektrobenzoinstrumentov-dlya-nuzhd-ooo-promvodokanal/;в тексте факта нет ни одного слова машины — доказательством быть не может
0266033685;ПВК;ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура 32312786310;"174/22.09.23/ПВК/МИ/Э/СМСП Поставка электробензоинструментов для нужд ООО ""Промводоканал""";https://etpgpb.ru/procedure/tender/gaz/207321-174-22-09-23-pvk-mi-e-smsp-postavka-elektrobenzoinstrumentov-dlya-nuzhd-ooo-promvodokanal/;в тексте факта нет ни одного слова машины — доказательством быть не может
0266033685;ПВК;ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура 32413332263;"75/28.02.24/ПВК/КО/Э Поставка хозтоваров для нужд ООО ""ПВК""";https://etpgpb.ru/procedure/tender/gaz/213786-75-28-02-24-pvk-ko-e-postavka-hoztovarov-dlya-nuzhd-ooo-pvk/;в тексте факта нет ни одного слова машины — доказательством быть не может
0266033685;ПВК;ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура 32616017474;"112/18.05.26/ПВК/МИ/Э/СМСП Поставка насосов для нужд ООО ""ПВК""";https://etpgpb.ru/procedure/tender/gaz/250963-112-18-05-26-pvk-mi-e-smsp-postavka-nasosov-dlya-nuzhd-ooo-pvk/;в тексте факта нет ни одного слова машины — доказательством быть не может
0266033685;ПВК;ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура 32312515328;"123/22.06.23/ПВК/МИ/Э/СМСП Поставка запчастей к погружным насосам для нужд ООО ""Промводоканал""";https://etpgpb.ru/procedure/tender/gaz/202617-123-22-06-23-pvk-mi-e-smsp-postavka-zapchastey-k-pogruzhnym-nasosam-dlya-nuzhd-ooo-promvodokanal/;в тексте факта нет ни одного слова машины — доказательством быть не может
0266033685;ПВК;ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура 32514751946;"60/16.04.25/ПВК/МИ/Э/СМСП Поставка комплектующих для насосов FLYGT для нужд ООО ""ПВК""";https://etpgpb.ru/procedure/tender/gaz/229606-60-16-04-25-pvk-mi-e-smsp-postavka-komplektuyuschih-dlya-nasosov-flygt-dlya-nuzhd-ooo-pvk/;в тексте факта нет ни одного слова машины — доказательством быть не может
0266033685;ПВК;ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура 450334;Поставка масла;https://etpgpb.ru/procedure/tender/price_request/450334-postavka-masla/;в тексте факта нет ни одного слова машины — доказательством быть не может
0266036534;АО СХЗ;ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура 32110119822;№48/24.03.21/ЗПЭ Поставка запчастей WOMA;https://etpgpb.ru/procedure/tender/etp/463138-48-24-03-21-zpe-postavka-zapchastey-woma/;в тексте факта нет ни одного слова машины — доказательством быть не может
0266036534;АО СХЗ;ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура 32009261492;Поставка насосов;https://etpgpb.ru/procedure/tender/etp/362613-postavka-nasosov/;в тексте факта нет ни одного слова машины — доказательством быть не может
0266036534;АО СХЗ;ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура 32110005800;№28/16.02.21/ЗПЭ Поставка запчастей к насосам;https://etpgpb.ru/procedure/tender/etp/449364-28-16-02-21-zpe-postavka-zapchastey-k-nasosam/;в тексте факта нет ни одного слова машины — доказательством быть не может
0266036534;АО СХЗ;ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура 31908160463;133/31.07.19/ЗПЭ Поставка насоса;https://etpgpb.ru/procedure/tender/etp/257250-133-31-07-19-zpe-postavka-nasosa/;в тексте факта нет ни одного слова машины — доказательством быть не может
0266036534;АО СХЗ;ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура 31908174721;137/06.08.19/ЗПЭ Поставка насосной станции;https://etpgpb.ru/procedure/tender/etp/258657-137-06-08-19-zpe-postavka-nasosnoy-stantsii/;в тексте факта нет ни одного слова машины — доказательством быть не может
0266036534;"АО ""СХЗ""";Сбербанк-АСТ;Сбербанк-АСТ: организация в выгрузке по нашему предмету;20.14.7;;в тексте факта нет ни одного слова машины — доказательством быть не может
0266040210;"ООО ""Акрил Салават""";ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура ГП652218;104/28.04.26/АС/КО/Э Поставка контроллеров;https://etpgpb.ru/procedure/tender/etp/1246198-104-28-04-26-as-ko-e-postavka-kontrollerov/;в тексте факта нет ни одного слова машины — доказательством быть не может
0266040210;"ООО ""Акрил Салават""";ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура ГПК301854;"23/23.01.23/АС/КО/Э Поставка масел для нужд ООО ""Акрил Салават""";https://etpgpb.ru/procedure/tender/gaz/195316-23-23-01-23-as-ko-e-postavka-masel-dlya-nuzhd-ooo-akril-salavat/;в тексте факта нет ни одного слова машины — доказательством быть не может
0266040210;"ООО ""Акрил Салават""";ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура ГПК305156;"153/30.05.23/АС/КО Поставка масел для нужд ООО ""Акрил Салават""";https://etpgpb.ru/procedure/tender/gaz/201224-153-30-05-23-as-ko-postavka-masel-dlya-nuzhd-ooo-akril-salavat/;в тексте факта нет ни одного слова машины — доказательством быть не может
0266040210;"ООО ""Акрил Салават""";ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура ГПК309085;"218/06.09.23/АС/КО/Э Поставка запасных частей на центробежные насосы для нужд ООО ""Акрил Салават""";https://etpgpb.ru/procedure/tender/gaz/206592-218-06-09-23-as-ko-e-postavka-zapasnyh-chastey-na-tsentrobezhnye-nasosy-dlya-nuzhd-ooo-akril-salavat/;в тексте факта нет ни одного слова машины — доказательством быть не может
0266040210;"ООО ""Акрил Салават""";ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура ГПК305154;"152/30.05.23/АС/КО Поставка вентиляторов для нужд ООО ""Акрил Салават""";https://etpgpb.ru/procedure/tender/gaz/201218-152-30-05-23-as-ko-postavka-ventilyatorov-dlya-nuzhd-ooo-akril-salavat/;в тексте факта нет ни одного слова машины — доказательством быть не может
0266040210;"ООО ""Акрил Салават""";ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура ГПК306121;"165/14.06.23/АС/КО/Э Поставка оборудования для обслуживания шкафов автоматизированных систем управления для нужд ООО ""Акрил Салават""";https://etpgpb.ru/procedure/tender/gaz/202116-165-14-06-23-as-ko-e-postavka-oborudovaniya-dlya-obsluzhivaniya-shkafov-avtomatizirovannyh-sistem-upravleniya-dlya-nuzhd-ooo-akril-;в тексте факта нет ни одного слова машины — доказательством быть не может
0266048970;ГАЗПРОМ НЕФТЕХИМ САЛАВАТ;ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура 31806702824;66/09.07.18/ПВК/ЗПЭ Поставка насосов;https://etpgpb.ru/procedure/tender/etp/165510-66-09-07-18-pvk-zpe-postavka-nasosov/;в тексте факта нет ни одного слова машины — доказательством быть не может
0266048970;ГАЗПРОМ НЕФТЕХИМ САЛАВАТ;ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура 31908614008;185/04.12.19/ПВК/МИ/Э/СМСП Поставка запасных частей для насосов РНЗ;https://etpgpb.ru/procedure/tender/etp/296755-185-04-12-19-pvk-mi-e-smsp-postavka-zapasnyh-chastey-dlya-nasosov-rnz/;в тексте факта нет ни одного слова машины — доказательством быть не может
0266048970;ГАЗПРОМ НЕФТЕХИМ САЛАВАТ;ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура 32008938349;Поставка ЗИП к насосам;https://etpgpb.ru/procedure/tender/etp/326843-postavka-zip-k-nasosam/;в тексте факта нет ни одного слова машины — доказательством быть не может
0266048970;ГАЗПРОМ НЕФТЕХИМ САЛАВАТ;ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура 31908514677;120/13.11.19/ПВК/МИ/Э/СМСП Поставка базового ремонтного комплекта к насосу;https://etpgpb.ru/procedure/tender/etp/288353-120-13-11-19-pvk-mi-e-smsp-postavka-bazovogo-remontnogo-komplekta-k-nasosu/;в тексте факта нет ни одного слова машины — доказательством быть не может
0266048970;ГАЗПРОМ НЕФТЕХИМ САЛАВАТ;ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура 32008923996;130/26.02.20/НСТЭЦ/МИ/Э/СМСП Поставка насосных агрегатов;https://etpgpb.ru/procedure/tender/etp/325287-130-26-02-20-nstets-mi-e-smsp-postavka-nasosnyh-agregatov/;в тексте факта нет ни одного слова машины — доказательством быть не может
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура 32009654147;165/06.11.20/ПВК/МИ/Э/СМСП Поставка запасных частей пресса промывочного;https://etpgpb.ru/procedure/tender/etp/410008-165-06-11-20-pvk-mi-e-smsp-postavka-zapasnyh-chastey-pressa-promyvochnogo/;в тексте факта нет ни одного слова машины — доказательством быть не может
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура 32009846139;245/24.12.20/ПВК/МИ/Э/СМСП Поставка насосного оборудования;https://etpgpb.ru/procedure/tender/etp/431748-245-24-12-20-pvk-mi-e-smsp-postavka-nasosnogo-oborudovaniya/;в тексте факта нет ни одного слова машины — доказательством быть не может
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура 32009823457;233/20.12.20/ПВК/МИ/Э/СМСП Поставка запасных частей к насосам типа Д;https://etpgpb.ru/procedure/tender/etp/429695-233-20-12-20-pvk-mi-e-smsp-postavka-zapasnyh-chastey-k-nasosam-tipa-d/;в тексте факта нет ни одного слова машины — доказательством быть не может
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура 32009823451;232/20.12.20/ПВК/МИ/Э/СМСП Поставка запасных частей к насосам Grindex;https://etpgpb.ru/procedure/tender/etp/429689-232-20-12-20-pvk-mi-e-smsp-postavka-zapasnyh-chastey-k-nasosam-grindex/;в тексте факта нет ни одного слова машины — доказательством быть не может
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура 32009823709;234/21.12.20/ПВК/МИ/Э/СМСП Поставка комплектующих для насоса;https://etpgpb.ru/procedure/tender/etp/429717-234-21-12-20-pvk-mi-e-smsp-postavka-komplektuyuschih-dlya-nasosa/;в тексте факта нет ни одного слова машины — доказательством быть не может
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура 32009698249;198/19.11.20/ПВК/МИ/Э/СМСП Поставка запасных частей, вращающих сеток водяного фильтра береговых насосов;https://etpgpb.ru/procedure/tender/etp/415309-198-19-11-20-pvk-mi-e-smsp-postavka-zapasnyh-chastey-vraschayuschih-setok-vodyanogo-filtra-beregovyh-nasosov/;в тексте факта нет ни одного слова машины — доказательством быть не может
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура 32009806366;218/15.12.20/ПВК/МИ/Э/СМСП Поставка запчастей к насосам Flygt;https://etpgpb.ru/procedure/tender/etp/427980-218-15-12-20-pvk-mi-e-smsp-postavka-zapchastey-k-nasosam-flygt/;в тексте факта нет ни одного слова машины — доказательством быть не может
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура 32110620428;104/06.09.21/ПВК/КО/Э Поставка запасных частей к насосам Grundfos;https://etpgpb.ru/procedure/tender/etp/532724-104-06-09-21-pvk-ko-e-postavka-zapasnyh-chastey-k-nasosam-grundfos/;в тексте факта нет ни одного слова машины — доказательством быть не может
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура 32110622989;114/07.09.21/ПВК/МИ/Э/СМСП Поставка запасных частей к насосам;https://etpgpb.ru/procedure/tender/etp/533059-114-07-09-21-pvk-mi-e-smsp-postavka-zapasnyh-chastey-k-nasosam/;в тексте факта нет ни одного слова машины — доказательством быть не может
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура 32110633435;134/13.09.21/ПВК/МИ/Э/СМСП Поставка запчастей к насосам Flygt;https://etpgpb.ru/procedure/tender/etp/534458-134-13-09-21-pvk-mi-e-smsp-postavka-zapchastey-k-nasosam-flygt/;в тексте факта нет ни одного слова машины — доказательством быть не может
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура 32110671512;198/26.09.21/ПВК/МИ/Э/СМСП Поставка муфт;https://etpgpb.ru/procedure/tender/etp/539950-198-26-09-21-pvk-mi-e-smsp-postavka-muft/;в тексте факта нет ни одного слова машины — доказательством быть не может
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура 32110674528;224/27.09.21/ПВК/МИ/Э/СМСП Поставка запчастей к мотопомпам Robin-Subaru;https://etpgpb.ru/procedure/tender/etp/540349-224-27-09-21-pvk-mi-e-smsp-postavka-zapchastey-k-motopompam-robin-subaru/;в тексте факта нет ни одного слова машины — доказательством быть не может
0266048970;ГАЗПРОМ НЕФТЕХИМ САЛАВАТ;ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура 32009863980;541/29.12.20/НСТЭЦ/МИ/Э/СМСП Поставка торцевого уплотнения;https://etpgpb.ru/procedure/tender/etp/433151-541-29-12-20-nstets-mi-e-smsp-postavka-tortsevogo-uplotneniya/;в тексте факта нет ни одного слова машины — доказательством быть не может
0266048970;ГАЗПРОМ НЕФТЕХИМ САЛАВАТ;ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура 32009864617;546/29.12.20/НСТЭЦ/МИ/Э/СМСП Поставка трубного пучка к маслоохладителю ПЭНа;https://etpgpb.ru/procedure/tender/etp/433212-546-29-12-20-nstets-mi-e-smsp-postavka-trubnogo-puchka-k-masloohladitelyu-pena/;в тексте факта нет ни одного слова машины — доказательством быть не может
0266048970;ГАЗПРОМ НЕФТЕХИМ САЛАВАТ;ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура 32110650608;369/17.09.21/НСТЭЦ/МИ/Э/СМСП Поставка насосного агрегата Flygt;https://etpgpb.ru/procedure/tender/etp/536763-369-17-09-21-nstets-mi-e-smsp-postavka-nasosnogo-agregata-flygt/;в тексте факта нет ни одного слова машины — доказательством быть не может
0266048970;ГАЗПРОМ НЕФТЕХИМ САЛАВАТ;ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура 32110645187;349/16.09.21/НСТЭЦ/МИ/Э/СМСП Поставка насосного оборудования;https://etpgpb.ru/procedure/tender/etp/536006-349-16-09-21-nstets-mi-e-smsp-postavka-nasosnogo-oborudovaniya/;в тексте факта нет ни одного слова машины — доказательством быть не может
0266048970;ГАЗПРОМ НЕФТЕХИМ САЛАВАТ;ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура 32110866725;618/24.11.21/НСТЭЦ/МИ/Э/СМСП Поставка насосного агрегата Flygt;https://etpgpb.ru/procedure/tender/etp/567349-618-24-11-21-nstets-mi-e-smsp-postavka-nasosnogo-agregata-flygt/;в тексте факта нет ни одного слова машины — доказательством быть не может
0266048970;ГАЗПРОМ НЕФТЕХИМ САЛАВАТ;ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура 32009860755;523/28.12.20/НСТЭЦ/МИ/Э/СМСП Поставка ремкомплектов для насосов;https://etpgpb.ru/procedure/tender/etp/432816-523-28-12-20-nstets-mi-e-smsp-postavka-remkomplektov-dlya-nasosov/;в тексте факта нет ни одного слова машины — доказательством быть не может
0266048970;ГАЗПРОМ НЕФТЕХИМ САЛАВАТ;ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура 32009860833;526/28.12.20/НСТЭЦ/МИ/Э/СМСП Поставка материалов насосного оборудования;https://etpgpb.ru/procedure/tender/etp/432836-526-28-12-20-nstets-mi-e-smsp-postavka-materialov-nasosnogo-oborudovaniya/;в тексте факта нет ни одного слова машины — доказательством быть не может
0266048970;ГАЗПРОМ НЕФТЕХИМ САЛАВАТ;ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура 32009860828;533/28.12.20/НСТЭЦ/МИ/Э/СМСП Поставка внутреннего корпуса насоса;https://etpgpb.ru/procedure/tender/etp/432835-533-28-12-20-nstets-mi-e-smsp-postavka-vnutrennego-korpusa-nasosa/;в тексте факта нет ни одного слова машины — доказательством быть не может
0266048970;ГАЗПРОМ НЕФТЕХИМ САЛАВАТ;ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура 31908248721;310/28.08.19/НСТЭЦ/МИ/Э/СМСП Поставка насоса KSB MACD250-200-315 VC с муфтой комплект без эл. двигателя, без рамы;https://etpgpb.ru/procedure/tender/etp/265018-310-28-08-19-nstets-mi-e-smsp-postavka-nasosa-ksb-macd250-200-315-vc-s-muftoy-komplekt-bez-el-dvigatelya-bez-ramy/;в тексте факта нет ни одного слова машины — доказательством быть не может
0266048970;ГАЗПРОМ НЕФТЕХИМ САЛАВАТ;ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура 31908371457;349/04.10.19/НСТЭЦ/МИ/Э/СМСП Поставка мембран (диафрагм) для пневмопривода;https://etpgpb.ru/procedure/tender/etp/275434-349-04-10-19-nstets-mi-e-smsp-postavka-membran-diafragm-dlya-pnevmoprivoda/;в тексте факта нет ни одного слова машины — доказательством быть не может
0266048970;ГАЗПРОМ НЕФТЕХИМ САЛАВАТ;ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура 31908447551;367/28.10.19/НСТЭЦ/МИ/Э/СМСП Поставка гидродинамической машины «Посейдон Е3-210-10» или эквивалент;https://etpgpb.ru/procedure/tender/etp/282566-367-28-10-19-nstets-mi-e-smsp-postavka-gidrodinamicheskoy-mashiny-poseydon-e3-210-10-ili-ekvivalent/;в тексте факта нет ни одного слова машины — доказательством быть не может
0266048970;ГАЗПРОМ НЕФТЕХИМ САЛАВАТ;ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура 31908544300;401/19.11.19/НСТЭЦ/МИ/Э/СМСП Поставка электрического погружного насоса KTZ611-53 или эквивалент;https://etpgpb.ru/procedure/tender/etp/290948-401-19-11-19-nstets-mi-e-smsp-postavka-elektricheskogo-pogruzhnogo-nasosa-ktz611-53-ili-ekvivalent/;в тексте факта нет ни одного слова машины — доказательством быть не может
0266048970;"ООО ""Газпром нефтехим Салават""";ЭТП ГПБ, поиск по словам;ЭТП ГПБ, процедура ГПК210400;"1591/18.10.22/КО/Э Поставка комплектов внутренних частей для сальникового уплотнения к поршневому штоку для нужд ООО ""Газпром нефтехим Салават""";https://etpgpb.ru/procedure/tender/gaz/190463-1591-18-10-22-ko-e-postavka-komplektov-vnutrennih-chastey-dlya-salnikovogo-uplotneniya-k-porshnevomu-shtoku-dlya-nuzhd-ooo-gazprom-;в тексте факта нет ни одного слова машины — доказательством быть не может
