fio;dolzhnost_doslovno;predpriyatie;inn;inn_istochnik;tip_dokumenta;pole;nomer_procedury;ssylka;data_dokumenta_ili_snyatiya;primechanie
А. С. Алябьев;"Согласующие лица: Зам. директора по науке и производству";ООО «Газпром нефтехим Салават»;;ИНН не установлен для этой процедуры;приложение к закупке (.pdf, имя файла — GUID);Согласующие лица;92728667;https://rostender.info/tender/92728667;2026-07-30;
М. Л. Павлов;"Согласующие лица: Руководитель научной части";ООО «Газпром нефтехим Салават»;;ИНН не установлен для этой процедуры;приложение к закупке (.pdf, GUID);Согласующие лица;92728667;https://rostender.info/tender/92728667;2026-07-30;
О. Р. Тухватуллин;"Инициатор мероприятия" (должность в документе не напечатана);ООО «Газпром нефтехим Салават»;;ИНН не установлен для этой процедуры;приложение к закупке (.pdf, GUID);Инициатор мероприятия;92728667;https://rostender.info/tender/92728667;2026-07-30;"должности рядом нет — не выводить её из соседних строк"
Руденко М. Г.;"Инициатор мероприятия" (должность в документе не напечатана);ООО «Газпром нефтехим Салават»;0266048970;"реестр ЭПБ + процедура 87311825 в выдаче по ИНН";ТЗ на поставку коммутаторов / терминала ВКС (.docx);Инициатор мероприятия;87311825;https://rostender.info/tender/87311825;2026-07-30;"тот же лист согласования в 92690415, 92690416, 87305625"
Нагаев А. А.;"Согласующие лица: Начальник отдела ОИТ УИТиС";ООО «Газпром нефтехим Салават»;0266048970;реестр ЭПБ + процедура в выдаче по ИНН;ТЗ на поставку коммутаторов (.docx);Согласующие лица;87311825;https://rostender.info/tender/87311825;2026-07-30;
Баязитов М. Р.;"Инициатор мероприятия" (должность в документе не напечатана);ООО «Газпром нефтехим Салават»;0266048970;реестр ЭПБ + процедура 88118846 в выдаче по ИНН;ТЗ на радиотрансляционное оборудование (.docx);Инициатор мероприятия;88118846;https://rostender.info/tender/88118846;2026-07-30;
Понявин С. А.;"Согласующие лица: Начальник ЦСО УИТиС";ООО «Газпром нефтехим Салават»;0266048970;реестр ЭПБ + процедура в выдаче по ИНН;ТЗ на поставку радиостанций (.docx);Согласующие лица;92690422;https://rostender.info/tender/92690422;2026-07-30;
К. В. Котельникова;"Инициатор мероприятия – И. о. начальника ЛПН";ООО «Газпром нефтехим Салават»;0266048970;реестр ЭПБ + процедура 87466623 в выдаче по ИНН;документация о закупке (.rar, текст виден только во фрагменте выдачи);Инициатор мероприятия;87466623;https://rostender.info/tender/87466623;2026-07-30;"файл в RAR, распаковать в песочнице нечем — цитата из фрагмента поиска, не из документа"
А. А. Смоленский;"Инициатор мероприятия: Начальник участка №3 ЦА ГХЗ";ООО «Газпром нефтехим Салават»;0266048970;реестр ЭПБ + процедура 87345438 в выдаче по ИНН;ТЗ УГМетр калибратор-измеритель (фрагмент выдачи);Инициатор мероприятия;87345438;https://rostender.info/tender/87345438;2026-07-30;цитата из фрагмента выдачи
Р. Ф. Каримов;"Инициатор мероприятия Начальник отдела генеральных планов УКС";ООО «Газпром нефтехим Салават»;0266048970;реестр ЭПБ + процедуры 87342560 и 86543221 в выдаче по ИНН;ТЗ на ОНМ 2027 (фрагмент выдачи);Инициатор мероприятия;87342560;https://rostender.info/tender/87342560;2026-07-30;цитата из фрагмента выдачи
Р. Ф. Салимов;"Инициатор мероприятия Главный инженер";не установлено (лист согласования по шаблону группы «Салават»);;ИНН не установлен;ТЗ (.docx, фрагмент выдачи);Инициатор мероприятия;86472386;https://rostender.info/tender/86472386;2026-07-30;"заказчик по документу не подтверждён; шаблон совпадает с салаватским, но это не доказательство"
А. З. Ахметшин;"Инициатор мероприятия: Заместитель генерального директора";ООО «Газпром нефтехим Салават»;0266048970;реестр ЭПБ + процедура 88369194 в выдаче по ИНН;документация о закупке (фрагмент выдачи);Инициатор мероприятия;88369194;https://rostender.info/tender/88369194;2026-07-30;"во фрагменте далее идёт «(главный инженер…» — полная формулировка обрезана, дословно не проверена"
С. Б. Федянин;"Инициатор мероприятия (ответственное должностное лицо ООО «ПВК»)";ООО «ПромВодоКанал» (ООО «ПВК»);;ИНН не установлен;ТЗ на обследование/вибродиагностику (.doc);Инициатор мероприятия;91287018;https://rostender.info/tender/91287018;2026-07-30;"куратор в том же листе — ООО «Газпром нефтехим Салават»; тот же лист в 90514503, 93470680"
С. Н. Яковлев;"Инициатор мероприятия: И.о. главного энергетика ООО «ПВК»";ООО «ПромВодоКанал» (ООО «ПВК»);;ИНН не установлен;ТЗ (.docx);Инициатор мероприятия;91368054;https://rostender.info/tender/91368054;2026-07-30;"целевая роль; тот же лист в 91287585"
М. Г. Дудин;"Инициатор мероприятия (Начальник ЭГЛ)";ООО «ПромВодоКанал» (ООО «ПВК»);;ИНН не установлен;ТЗ (.docx);Инициатор мероприятия;91372200;https://rostender.info/tender/91372200;2026-07-30;"в ПЗ той же процедуры — «И.о. начальника ЭГЛ»"
С. В. Гаврилюк;"Директор ООО «ПВК»";ООО «ПромВодоКанал» (ООО «ПВК»);;ИНН не установлен;ТЗ на обследование (.doc);Согласующие лица;91287018;https://rostender.info/tender/91287018;2026-07-30;
В. С. Юрасова;"Инициатор мероприятия (Начальник ЭГЛ)";ООО «ПромВодоКанал» (ООО «ПВК»);;ИНН не установлен;документация о закупке (фрагмент выдачи);Инициатор мероприятия;87931412;https://rostender.info/tender/87931412;2026-07-30;цитата из фрагмента выдачи
В. Е. Казанцев;"Инициатор мероприятия Ведущий специалист по ТМО и ТХ";ООО «НСПГУ»;;ИНН не установлен;пояснительная записка (.docx);Инициатор мероприятия;91294623;https://rostender.info/tender/91294623;2026-07-30;"ТМО и ТХ = теплотехническое/механическое оборудование и теплохимия; тот же лист в 91298204, 91298234"
В. А. Меньшикова;"Инициатор мероприятия" (должность в документе не напечатана);ООО «НСТЭЦ»;;ИНН не установлен;ТЗ диагностика автотранспорта (.docx);Инициатор мероприятия;90459119;https://rostender.info/tender/90459119;2026-07-30;
А. В. Кривошеев;"Начальник ИЦ";ООО «НСТЭЦ»;;ИНН не установлен;ТЗ диагностика автотранспорта (.docx);подпись рядом с инициатором;90459119;https://rostender.info/tender/90459119;2026-07-30;"стоит следующей строкой после инициатора — привязка должности к ФИО из таблицы, проверять глазами"
О. В. Еремеев;"Инициатор мероприятия" (должность в документе не напечатана);ООО «НСТЭЦ»;;ИНН не установлен;документация о закупке (фрагмент выдачи);Инициатор мероприятия;87351994;https://rostender.info/tender/87351994;2026-07-30;цитата из фрагмента выдачи
М. И. Потапов;"УТВЕРЖДАЮ Главный инженер ОП ТЭЦ-17";ОП ТЭЦ-17 (обособленное подразделение, юрлицо в документе не названо);;ИНН не установлен;техническое задание (.docx) + смета (.xlsx);гриф УТВЕРЖДАЮ;94027308;https://rostender.info/tender/94027308;2026-07-30;"три процедуры одного заказчика: 94027308, 94024414, 94024413"
А. В. Тащилин;"УТВЕРЖДАЮ Главный инженер АО «Транснефть – Приволга»";АО «Транснефть – Приволга»;;ИНН не установлен;опросный лист ОЛ-2418293 (.docx);гриф УТВЕРЖДАЮ;94034214;https://rostender.info/tender/94034214;2026-07-30;"в документе «подписано в СЭД» — живой подписи нет"
И. В. Шведов;"УТВЕРЖДАЮ: Главный инженер АО «ТЭЦ «Белый Ручей»";АО «ТЭЦ «Белый Ручей»;;ИНН не установлен;ТЗ июль 2026 (.doc);гриф УТВЕРЖДАЮ;94014500;https://rostender.info/tender/94014500;2026-07-30;
А. П. Власенко;"«УТВЕРЖДАЮ» Главный инженер ООО «Михайловское тепловое хозяйство»";ООО «Михайловское тепловое хозяйство»;;ИНН не установлен;техническое задание (.docx);гриф УТВЕРЖДАЮ;94032463;https://rostender.info/tender/94032463;2026-07-30;
А. В. Ткаченко;"«Утверждаю» Главный инженер" (АКЦИОНЕРНОЕ ОБЩЕСТВО «ЮЖНАЯ ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ» в шапке);АО «Южная энергетическая компания»;;ИНН не установлен;ТЗ генератор сварочный (.docx);гриф УТВЕРЖДАЮ;94031863;https://rostender.info/tender/94031863;2026-07-30;
С. А. Стяжкин;"УТВЕРЖДАЮ Главный инженер Затонской ТЭЦ филиала ООО «БГК»";ООО «БГК» (Затонская ТЭЦ);0277077282;реестр ЭПБ Ростехнадзора (ИНН напечатан в самой записи);приложение №3 к ТЗ (.7z);гриф УТВЕРЖДАЮ;94031387;https://rostender.info/tender/94031387;2026-07-30;"ИНН относится к ООО «БГК» целиком, не к филиалу"
Д. В. Рогожников;"«УТВЕРЖДАЮ» Главный инженер СПб ГУП «Горэлектротранс»";СПб ГУП «Горэлектротранс»;;ИНН не установлен;документация 327-2026-ЭА (.docx);гриф УТВЕРЖДАЮ;94031853;https://rostender.info/tender/94031853;2026-07-30;
М. А. Неофитов;"УТВЕРЖДАЮ Главный инженер АО «НИИМаш»";АО «НИИМаш»;;ИНН не установлен;раздел 4 извещения — техническое задание (.DOCX);гриф УТВЕРЖДАЮ;94022087;https://rostender.info/tender/94022087;2026-07-30;"тот же человек в 94031108 без названия организации"
В. С. Пешкин;"УТВЕРЖДАЮ Главный инженер АО «Балтийский завод»";АО «Балтийский завод»;;ИНН не установлен;проект договора / ТЗ (.docx);гриф УТВЕРЖДАЮ;94031881;https://rostender.info/tender/94031881;2026-07-30;"он же в 94030661"
А. Г. Шамбин;"УТВЕРЖДАЮ Главный инженер ООО «РЭС-Энерго»";ООО «РЭС-Энерго»;;ИНН не установлен;техническое задание (.docx);гриф УТВЕРЖДАЮ;94030164;https://rostender.info/tender/94030164;2026-07-30;
Д. В. Перов;"Утверждаю Главный инженер КОГУП «Облкоммунсервис»";КОГУП «Облкоммунсервис»;;ИНН не установлен;документация аукциона (.doc);гриф УТВЕРЖДАЮ;94029996;https://rostender.info/tender/94029996;2026-07-30;"восемь процедур одного заказчика в выборке: 94029996, 94029999, 94029998, 94028116, 94025174, 94024062, 94022878"
Р. А. Петров;"Утверждаю: Главный инженер ПК «Шесхарис» АО «Черномортранснефть»";АО «Черномортранснефть», ПК «Шесхарис»;2315072242;реестр ЭПБ Ростехнадзора;техническое задание (.docx);гриф УТВЕРЖДАЮ;94027192;https://rostender.info/tender/94027192;2026-07-30;"ИНН относится к АО «Черномортранснефть»; ПК «Шесхарис» — производственный комплекс, не отдельное юрлицо"
Яцко В. В.;"Утверждаю: Главный инженер МБУ «Пензавтодор»";МБУ «Пензавтодор»;;ИНН не установлен;описание объекта закупки (.docx);гриф УТВЕРЖДАЮ;94027645;https://rostender.info/tender/94027645;2026-07-30;"он же в 94023602"
С. И. Кандрушин;"«УТВЕРЖДАЮ» Главный инженер Сургутского УМН";Сургутское УМН (управление магистральных нефтепроводов);;ИНН не установлен;опросный лист ОЛ-05-86-АСУТП (.docx);гриф УТВЕРЖДАЮ;94027122;https://rostender.info/tender/94027122;2026-07-30;"дата в грифе 2023 г. — документ переиспользован, роль могла смениться"
Архипов А. И.;"УТВЕРЖДАЮ: Главный инженер ООО «Русагро-Тамбов»";ООО «Русагро-Тамбов»;;ИНН не установлен;ТЗ - 21949;гриф УТВЕРЖДАЮ;94025100;https://rostender.info/tender/94025100;2026-07-30;
П. В. Пантюшкин;"УТВЕРЖДАЮ Главный инженер ТМУП «ТТС»";ТМУП «ТТС»;;ИНН не установлен;задание (.docx);гриф УТВЕРЖДАЮ;94023327;https://rostender.info/tender/94023327;2026-07-30;
Д. П. Барынкин;"«Утверждаю» Главный инженер МУП «Энгельс-Водоканал»";МУП «Энгельс-Водоканал»;;ИНН не установлен;приложение 1 ТЗ (.doc);гриф УТВЕРЖДАЮ;94021132;https://rostender.info/tender/94021132;2026-07-30;"водоканал — целевой сегмент по компрессорам"
Н. В. Анисимов;"УТВЕРЖДАЮ Главный инженер ООО «Кольская АЭС-Авто»";ООО «Кольская АЭС-Авто»;;ИНН не установлен;документация (.zip);гриф УТВЕРЖДАЮ;94020836;https://rostender.info/tender/94020836;2026-07-30;"НЕ путать с АО «Кольская ГМК» (ИНН 5191431170) — другое юрлицо, совпадает только слово «Кольская»"
Р. Р. Хабиров;"УТВЕРЖДАЮ Главный инженер ПАО «КАМАЗ»";ПАО «КАМАЗ»;;ИНН не установлен;техническое задание (.zip);гриф УТВЕРЖДАЮ;94020125;https://rostender.info/tender/94020125;2026-07-30;
М. В. Мишуков;"УТВЕРЖДАЮ: Главный инженер АО «Объединенные электрические сети»";АО «Объединенные электрические сети»;;ИНН не установлен;конкурсная документация (.docx);гриф УТВЕРЖДАЮ;94017149;https://rostender.info/tender/94017149;2026-07-30;
И. М. Халиуллин;"УТВЕРЖДАЮ: Главный инженер АО «НПФ «Башкирская золотодобывающая компания»";АО «НПФ «Башкирская золотодобывающая компания»;;ИНН не установлен;ТЗ на поставку насосной станции (.docx);гриф УТВЕРЖДАЮ;94009971;https://rostender.info/tender/94009971;2026-07-30;
М. А. Рогов;"УТВЕРЖДАЮ Главный инженер" (АО «ЗАВОД «Киров-Энергомаш» в шапке);АО «Завод «Киров-Энергомаш»;;ИНН не установлен;том 2 техническое задание (.zip);гриф УТВЕРЖДАЮ;94015535;https://rostender.info/tender/94015535;2026-07-30;
Дмитриев Э. В.;"Утверждаю: Главный инженер АО «Курские электрические сети»";АО «Курские электрические сети»;;ИНН не установлен;ОЗП-0065-КЭС-26 (.7z);гриф УТВЕРЖДАЮ;94015822;https://rostender.info/tender/94015822;2026-07-30;
Д. Р. Марданов;"УТВЕРЖДАЮ Главный инженер АО «Связьтранснефть»";АО «Связьтранснефть»;;ИНН не установлен;РЭН 2026 ОЭПСС 124 (.docx);гриф УТВЕРЖДАЮ;94024277;https://rostender.info/tender/94024277;2026-07-30;
А. В. Трифанин;"Утверждаю: Главный инженер ООО «ККС» Заместитель генерального директора";ООО «ККС»;;ИНН не установлен;ТЗ ЗИП теплообменников (.docx);гриф УТВЕРЖДАЮ;94015169;https://rostender.info/tender/94015169;2026-07-30;"в грифе два титула подряд — какой из них его, по тексту не решается; проверять глазами"
Э. Р. Бахитов;"Главный инженер" / "Заместитель генерального директора" — в протоколе два титула подряд;не установлено;;ИНН не установлен;протокол цены (.docx);протокол закупки, свой шаблон;94033959;https://rostender.info/tender/94033959;2026-07-30;"три процедуры с тем же протоколом: 94033959, 94033945, 94033832; привязка ФИО к одному из двух титулов не доказана"
Золотарев Борис Николаевич;"Генеральный директор АО «КНП»";АО «КНП»;;ИНН не установлен;декларация промышленной безопасности внутри проектной документации (.zip), раздел 1.1.3;1.1.3 Фамилии, инициалы и должности руководителей организации;90511553;https://rostender.info/tender/90511553;2026-07-30;"тот же документ приложен и к процедуре 88037755 — одно наблюдение, не два (совпадает md5 и размер)"
Антипов Игорь Николаевич;"Директор филиала «Северный» АО «КНП»";АО «КНП», филиал «Северный»;;ИНН не установлен;декларация промышленной безопасности внутри ПСД (.zip), раздел 1.1.3;1.1.3 Фамилии, инициалы и должности руководителей организации;90511553;https://rostender.info/tender/90511553;2026-07-30;"в разделе 1.1.3 этой декларации технического руководителя НЕТ — только первое лицо и директор филиала"
