inn;predpriyatie;god_fakta;god_registracii;raznica;chto_za_data;vердикт;reg_date;predmet;ssylka
9701248398;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАУЧНО-ТЕХНОЛОГИЧЕ";2021;2023;2;когда планируют разместить закупку;НЕВОЗМОЖНО: действие раньше регистрации;2023-04-28;;
9909071164;"""ЭНЛ "" - Филиал компании ""Эксон Нефтегаз Лимитед"" (Багамские";2019;2021;2;дата заключения экспертизы;НЕВОЗМОЖНО: действие раньше регистрации;2021-11-29;;
9909071164;"""ЭНЛ "" - Филиал компании ""Эксон Нефтегаз Лимитед"" (Багамские";2019;2021;2;дата заключения экспертизы;НЕВОЗМОЖНО: действие раньше регистрации;2021-11-29;;
0274394540;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАШАВТОТРАНС""";2024;2025;1;когда планируют разместить закупку;НЕВОЗМОЖНО: действие раньше регистрации;2025-04-18;;
0276178778;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦИАЛИЗИРОВАННОЕ АВТОМОБИЛЬНОЕ ХОЗЯЙ";2023;2024;1;когда планируют разместить закупку;НЕВОЗМОЖНО: действие раньше регистрации;2024-11-01;;
0276178778;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦИАЛИЗИРОВАННОЕ АВТОМОБИЛЬНОЕ ХОЗЯЙ";2023;2024;1;когда планируют разместить закупку;НЕВОЗМОЖНО: действие раньше регистрации;2024-11-01;;
2466301060;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""УПРАВЛЕНИЕ ЗЕЛЕНОГО СТРОИТЕЛЬСТВА""";2023;2024;1;когда планируют разместить закупку;НЕВОЗМОЖНО: действие раньше регистрации;2024-12-02;;
3808298922;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ИРКУТСКАВТОДОР"" Г. ИРКУТСКА";2025;2026;1;когда планируют разместить закупку;НЕВОЗМОЖНО: действие раньше регистрации;2026-06-26;;
4715030610;Пикалевский глиноземный завод;2015;2016;1;дата процедуры;НЕВОЗМОЖНО: действие раньше регистрации;2016-04-04;;
4715030610;Пикалевский глиноземный завод;2015;2016;1;дата процедуры;НЕВОЗМОЖНО: действие раньше регистрации;2016-04-04;;
4715030610;Пикалевский глиноземный завод;2015;2016;1;дата процедуры;НЕВОЗМОЖНО: действие раньше регистрации;2016-04-04;;
4715030610;Пикалевский глиноземный завод;2015;2016;1;дата процедуры;НЕВОЗМОЖНО: действие раньше регистрации;2016-04-04;;
4715030610;Пикалевский глиноземный завод;2015;2016;1;дата процедуры;НЕВОЗМОЖНО: действие раньше регистрации;2016-04-04;;
5260497721;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НИЖЕГОРОДСКИЙ ПАССАЖИРСКИЙ АВТОМОБИЛЬН";2023;2024;1;когда планируют разместить закупку;НЕВОЗМОЖНО: действие раньше регистрации;2024-11-19;;
5260497721;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НИЖЕГОРОДСКИЙ ПАССАЖИРСКИЙ АВТОМОБИЛЬН";2023;2024;1;когда планируют разместить закупку;НЕВОЗМОЖНО: действие раньше регистрации;2024-11-19;;
5473018885;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НОВОСИБГОРТРАНС""";2023;2024;1;когда планируют разместить закупку;НЕВОЗМОЖНО: действие раньше регистрации;2024-12-17;;
5473018885;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НОВОСИБГОРТРАНС""";2023;2024;1;когда планируют разместить закупку;НЕВОЗМОЖНО: действие раньше регистрации;2024-12-17;;
6726024309;Золотая нива (ИК Арлан);2017;2018;1;дата процедуры;НЕВОЗМОЖНО: действие раньше регистрации;2018-04-26;;
5614085615;"ООО ""СИНТЕЗСПИРТ""";1959;2020;61;год поставки машины заводом-изготовителем;норма: машина старше юрлица;2020-10-06;;
4715030610;"ООО ""ПГЛЗ""";1956;2016;60;год поставки машины заводом-изготовителем;норма: машина старше юрлица;2016-04-04;;
4715030610;"ООО ""ПГЛЗ""";1956;2016;60;год поставки машины заводом-изготовителем;норма: машина старше юрлица;2016-04-04;;
5614085615;"ООО ""СИНТЕЗСПИРТ""";1966;2020;54;год поставки машины заводом-изготовителем;норма: машина старше юрлица;2020-10-06;;
7701984274;"АО ""МОСВОДОКАНАЛ""";1963;2012;49;год поставки машины заводом-изготовителем;норма: машина старше юрлица;2012-12-29;;
7448000013;"АО ""ЧЦЗ""";1955;2002;47;год поставки машины заводом-изготовителем;норма: машина старше юрлица;2002-06-25;;
5606001611;"ООО ""ММСК""";1956;2000;44;год поставки машины заводом-изготовителем;норма: машина старше юрлица;2000-03-21;;
3627000397;"АО ""МИНУДОБРЕНИЯ""";1957;2000;43;год поставки машины заводом-изготовителем;норма: машина старше юрлица;2000-06-07;;
3627000397;"АО ""МИНУДОБРЕНИЯ""";1960;2000;40;год поставки машины заводом-изготовителем;норма: машина старше юрлица;2000-06-07;;
3627000397;"АО ""МИНУДОБРЕНИЯ""";1964;2000;36;год поставки машины заводом-изготовителем;норма: машина старше юрлица;2000-06-07;;
4026007424;"ПАО ""КАЛУЖСКИЙ ТУРБИННЫЙ ЗАВОД""";1957;1993;36;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1993-01-31;;
4026007424;"ПАО ""КАЛУЖСКИЙ ТУРБИННЫЙ ЗАВОД""";1957;1993;36;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1993-01-31;;
5614085615;"ООО ""СИНТЕЗСПИРТ""";1988;2020;32;год поставки машины заводом-изготовителем;норма: машина старше юрлица;2020-10-06;;
3627000397;"АО ""МИНУДОБРЕНИЯ""";1969;2000;31;год поставки машины заводом-изготовителем;норма: машина старше юрлица;2000-06-07;;
8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";1966;1997;31;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1997-07-04;;
7113000847;"ОАО ""ЕЗСК""";1962;1992;30;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1992-12-23;;
8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";1968;1997;29;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1997-07-04;;
6320005915;"ПАО ""КУЙБЫШЕВАЗОТ""";1964;1992;28;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1992-12-14;;
6320005915;"ПАО ""КУЙБЫШЕВАЗОТ""";1964;1992;28;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1992-12-14;;
8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";1969;1997;28;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1997-07-04;;
6320005915;"ПАО ""КУЙБЫШЕВАЗОТ""";1965;1992;27;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1992-12-14;;
6320005915;"ПАО ""КУЙБЫШЕВАЗОТ""";1965;1992;27;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1992-12-14;;
1651000010;"ПАО ""НИЖНЕКАМСКНЕФТЕХИМ""";1967;1993;26;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1993-08-18;;
6320005915;"ПАО ""КУЙБЫШЕВАЗОТ""";1966;1992;26;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1992-12-14;;
6320005915;"ПАО ""КУЙБЫШЕВАЗОТ""";1966;1992;26;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1992-12-14;;
6320005915;"ПАО ""КУЙБЫШЕВАЗОТ""";1967;1992;25;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1992-12-14;;
3448003962;"АО ""КАУСТИК""";1968;1992;24;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1992-10-05;;
1651000010;"ПАО ""НИЖНЕКАМСКНЕФТЕХИМ""";1970;1993;23;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1993-08-18;;
8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";1974;1997;23;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1997-07-04;;
3448003962;"АО ""КАУСТИК""";1970;1992;22;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1992-10-05;;
6320005915;"ПАО ""КУЙБЫШЕВАЗОТ""";1970;1992;22;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1992-12-14;;
6320005915;"ПАО ""КУЙБЫШЕВАЗОТ""";1970;1992;22;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1992-12-14;;
8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";1975;1997;22;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1997-07-04;;
8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";1975;1997;22;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1997-07-04;;
1651000010;"ПАО ""НИЖНЕКАМСКНЕФТЕХИМ""";1972;1993;21;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1993-08-18;;
6320005915;"ПАО ""КУЙБЫШЕВАЗОТ""";1971;1992;21;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1992-12-14;;
7601001107;"ПАО ""СЛАВНЕФТЬ-ЯНОС""";1972;1993;21;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1993-05-07;;
8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";1976;1997;21;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1997-07-04;;
1651000010;"ПАО ""НИЖНЕКАМСКНЕФТЕХИМ""";1973;1993;20;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1993-08-18;;
6320005915;"ПАО ""КУЙБЫШЕВАЗОТ""";1972;1992;20;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1992-12-14;;
6320005915;"ПАО ""КУЙБЫШЕВАЗОТ""";1972;1992;20;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1992-12-14;;
8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";1977;1997;20;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1997-07-04;;
1651000010;"ПАО ""НИЖНЕКАМСКНЕФТЕХИМ""";1974;1993;19;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1993-08-18;;
3448003962;"АО ""КАУСТИК""";1973;1992;19;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1992-10-05;;
3448003962;"АО ""КАУСТИК""";1973;1992;19;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1992-10-05;;
7449006184;"ПАО ""ЧКПЗ""";1976;1995;19;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1995-06-07;;
8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";1978;1997;19;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1997-07-04;;
8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";1978;1997;19;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1997-07-04;;
6320005915;"ПАО ""КУЙБЫШЕВАЗОТ""";1974;1992;18;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1992-12-14;;
6320005915;"ПАО ""КУЙБЫШЕВАЗОТ""";1974;1992;18;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1992-12-14;;
8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";1979;1997;18;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1997-07-04;;
8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";1979;1997;18;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1997-07-04;;
8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";1980;1997;17;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1997-07-04;;
6320005915;"ПАО ""КУЙБЫШЕВАЗОТ""";1976;1992;16;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1992-12-14;;
8602060555;"ПАО ""СУРГУТНЕФТЕГАЗ""";1980;1996;16;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1996-06-27;;
3627000397;"АО ""МИНУДОБРЕНИЯ""";1985;2000;15;год поставки машины заводом-изготовителем;норма: машина старше юрлица;2000-06-07;;
6320005915;"ПАО ""КУЙБЫШЕВАЗОТ""";1977;1992;15;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1992-12-14;;
6320005915;"ПАО ""КУЙБЫШЕВАЗОТ""";1977;1992;15;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1992-12-14;;
7710373095;"ФИЛИАЛ ПАО ""ТМК"" СИНАРСКИЙ ТРУБНЫЙ ЗАВОД";1986;2001;15;год поставки машины заводом-изготовителем;норма: машина старше юрлица;2001-04-17;;
1651000010;"ПАО ""НИЖНЕКАМСКНЕФТЕХИМ""";1979;1993;14;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1993-08-18;;
1651000010;"ПАО ""НИЖНЕКАМСКНЕФТЕХИМ""";1979;1993;14;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1993-08-18;;
3448003962;"АО ""КАУСТИК""";1978;1992;14;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1992-10-05;;
8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";1983;1997;14;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1997-07-04;;
6320004728;"АО ""ТОАЗ""";1979;1992;13;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1992-12-08;;
6320004728;"АО ""ТОАЗ""";1979;1992;13;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1992-12-08;;
8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";1984;1997;13;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1997-07-04;;
1651000010;"ПАО ""НИЖНЕКАМСКНЕФТЕХИМ""";1981;1993;12;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1993-08-18;;
1651000010;"ПАО ""НИЖНЕКАМСКНЕФТЕХИМ""";1982;1993;11;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1993-08-18;;
1651000010;"ПАО ""НИЖНЕКАМСКНЕФТЕХИМ""";1982;1993;11;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1993-08-18;;
3803100054;"АО ""РУСАЛ БРАТСК""";1981;1992;11;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1992-11-26;;
7710373095;"ФИЛИАЛ ПАО ""ТМК"" ПЕРВОУРАЛЬСКИЙ НОВОТРУБНЫЙ ЗАВОД";1990;2001;11;год поставки машины заводом-изготовителем;норма: машина старше юрлица;2001-04-17;;
8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";1986;1997;11;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1997-07-04;;
8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";1986;1997;11;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1997-07-04;;
3448003962;"АО ""КАУСТИК""";1982;1992;10;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1992-10-05;;
6320004728;"АО ""ТОАЗ""";1982;1992;10;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1992-12-08;;
7710373095;"ФИЛИАЛ ПАО ""ТМК"" СИНАРСКИЙ ТРУБНЫЙ ЗАВОД";1991;2001;10;год поставки машины заводом-изготовителем;норма: машина старше юрлица;2001-04-17;;
8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";1987;1997;10;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1997-07-04;;
8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";1988;1997;9;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1997-07-04;;
8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";1988;1997;9;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1997-07-04;;
8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";1988;1997;9;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1997-07-04;;
3627000397;"АО ""МИНУДОБРЕНИЯ""";1992;2000;8;год поставки машины заводом-изготовителем;норма: машина старше юрлица;2000-06-07;;
5606001611;"ООО ""ММСК""";1992;2000;8;год поставки машины заводом-изготовителем;норма: машина старше юрлица;2000-03-21;;
6320005915;"ПАО ""КУЙБЫШЕВАЗОТ""";1984;1992;8;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1992-12-14;;
7710373095;"ФИЛИАЛ ПАО ""ТМК"" ПЕРВОУРАЛЬСКИЙ НОВОТРУБНЫЙ ЗАВОД";1993;2001;8;год поставки машины заводом-изготовителем;норма: машина старше юрлица;2001-04-17;;
8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";1989;1997;8;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1997-07-04;;
6320004728;"АО ""ТОАЗ""";1985;1992;7;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1992-12-08;;
8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";1990;1997;7;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1997-07-04;;
8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";1990;1997;7;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1997-07-04;;
2465000141;"АО ""РУСАЛ КРАСНОЯРСК""";1986;1992;6;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1992-11-16;;
6320005915;"ПАО ""КУЙБЫШЕВАЗОТ""";1986;1992;6;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1992-12-14;;
8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";1991;1997;6;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1997-07-04;;
8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";1991;1997;6;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1997-07-04;;
8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";1991;1997;6;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1997-07-04;;
8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";1991;1997;6;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1997-07-04;;
8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";1992;1997;5;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1997-07-04;;
8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";1992;1997;5;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1997-07-04;;
8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";1992;1997;5;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1997-07-04;;
8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";1992;1997;5;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1997-07-04;;
2465000141;"АО ""РУСАЛ КРАСНОЯРСК""";1988;1992;4;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1992-11-16;;
3448003962;"АО ""КАУСТИК""";1988;1992;4;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1992-10-05;;
3448003962;"АО ""КАУСТИК""";1988;1992;4;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1992-10-05;;
3803100054;"АО ""РУСАЛ БРАТСК""";1988;1992;4;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1992-11-26;;
5103070023;"АО ""АПАТИТ""";1992;1996;4;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1996-07-04;;
7736050003;"ПАО ""ГАЗПРОМ""";1989;1993;4;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1993-02-25;;
8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";1993;1997;4;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1997-07-04;;
8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";1993;1997;4;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1997-07-04;;
8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";1993;1997;4;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1997-07-04;;
8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";1993;1997;4;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1997-07-04;;
2124009521;"ПАО ""ХИМПРОМ""";1991;1994;3;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1994-06-30;;
2465000141;"АО ""РУСАЛ КРАСНОЯРСК""";1989;1992;3;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1992-11-16;;
3448003962;"АО ""КАУСТИК""";1989;1992;3;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1992-10-05;;
3448003962;"АО ""КАУСТИК""";1989;1992;3;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1992-10-05;;
3803100054;"АО ""РУСАЛ БРАТСК""";1989;1992;3;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1992-11-26;;
2465000141;"АО ""РУСАЛ КРАСНОЯРСК""";1990;1992;2;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1992-11-16;;
6320005915;"ПАО ""КУЙБЫШЕВАЗОТ""";1990;1992;2;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1992-12-14;;
2465000141;"АО ""РУСАЛ КРАСНОЯРСК""";1991;1992;1;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1992-11-16;;
6320005915;"ПАО ""КУЙБЫШЕВАЗОТ""";1991;1992;1;год поставки машины заводом-изготовителем;норма: машина старше юрлица;1992-12-14;;
