inn;nomer_procedury;skolko_zapisey;istochniki;tipy;tekst;pochemu
0268004714;ГП527440;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Реализация бывших в употреблении не востребованных турбокомпрессоров ВИОЛА типа 5RМD56 в количестве 4 комплектов;один документ записан несколькими фактами — счётчик «Фактов» завышен
0268004714;ГП414739;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Реализация бывших в употреблении не востребованных турбокомпрессоров ВИОЛА типа 5RМD56 в количестве 4 комплектов;один документ записан несколькими фактами — счётчик «Фактов» завышен
0268004714;ИМ004758;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Сбор коммерческих предложений (Турбокомпрессор ВИОЛА);один документ записан несколькими фактами — счётчик «Фактов» завышен
0268004714;ИМ004755;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Сбор коммерческих предложений (Турбокомпрессор ТГ-500-1,08);один документ записан несколькими фактами — счётчик «Фактов» завышен
0274018377;629877;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная, вид по слову;Запрос цен на поставку Воздуходувки электрической c возможностmью выдувания и всасывания воздушного потока;один документ записан несколькими фактами — счётчик «Фактов» завышен
1102054991;31300356402;2;ЭТП ГПБ, поиск по словам;не установлен;Капитальный ремонт специального автотранспорта филиала УТЖУ ООО «Газпром переработка»;один документ записан несколькими фактами — счётчик «Фактов» завышен
1434031363;RH24122500020;2;Росэлторг;паровая турбина, не компрессор;"Выполнение работ по капитальному ремонту маслосистемы турбоагрегата с восстановлением сепараторной маслоочистной установки для очистки и осушки турбинного масла типа ПСМ2-4 ""Амурск";один документ записан несколькими фактами — счётчик «Фактов» завышен
1434045743;ГП701857;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Закупка запасных частей для экскаватора CАТ345 (турбокомпрессор 4613746- 1шт., прокладка 2746851 - 1шт.);один документ записан несколькими фактами — счётчик «Фактов» завышен
1435117944;KIM000003983;2;Росэлторг;услуга или чужая техника, не наша машина | центробежная;Турбокомпрессор Автодизель для дизельных двигателей ЯМЗ-530 300x300x250ММ 10КГ 5340.1118010 Российская Федерация;один документ записан несколькими фактами — счётчик «Фактов» завышен
2208052474;ЗП4051839;2;ТЭК-Торг | ТЭК-Торг, контакты;центробежная, вид по слову;Выполнение работ по реконструкции воздуходувной станции с заменой воздуходувки;один документ записан несколькими фактами — счётчик «Фактов» завышен
2221064060;32615798520;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;не применимо;"Выполнение работ на объектах: «Речной водозабор ""1-й речной водозабор"" насосная станция 1-го подъема, нежилое. Литер: А (бытовые помещения)», «Здание воздуходувной станции КОС-1, у";один документ записан несколькими фактами — счётчик «Фактов» завышен
2221064060;32615673541;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Поставка станции частотного управления турбокомпрессорами ВОС-1 в первом полугодии 2026 года для нужд ООО «БАРНАУЛЬСКИЙ ВОДОКАНАЛ»;один документ записан несколькими фактами — счётчик «Фактов» завышен
2224152758;32008931921;2;Росэлторг;центробежная;Выполнение работ по капитальному ремонту турбокомпрессора ТВ-80-1,8 котельного цеха;один документ записан несколькими фактами — счётчик «Фактов» завышен
2235003211;0117300056124000030;2;ТЭК-Торг | ТЭК-Торг, контакты;центробежная;Поставка Турбовоздуходувки на аэродинамических подшипниках;один документ записан несколькими фактами — счётчик «Фактов» завышен
2235003211;0117300056124000026;2;ТЭК-Торг | ТЭК-Торг, контакты;центробежная;Поставка Турбовоздуходувки на аэродинамических подшипниках;один документ записан несколькими фактами — счётчик «Фактов» завышен
2235003211;0117300056124000024;2;ТЭК-Торг | ТЭК-Торг, контакты;центробежная;Поставка Турбовоздуходувки RAETTS на аэродинамических подшипниках;один документ записан несколькими фактами — счётчик «Фактов» завышен
2365001416;32413994879;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Поставка электродвигателя для работы в составе турбокомпрессора воздушного ТВ-80/1.6 по объекту: Очистные сооружения канализации города Туапсе;один документ записан несколькими фактами — счётчик «Фактов» завышен
2607018122;731203;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Турбокомпрессор;один документ записан несколькими фактами — счётчик «Фактов» завышен
2607018122;876181;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Турбокомпрессор;один документ записан несколькими фактами — счётчик «Фактов» завышен
2617010041;0321100002421000093;2;ТЭК-Торг | ТЭК-Торг, контакты;центробежная, вид по слову;Поставка воздуходувки электрической;один документ записан несколькими фактами — счётчик «Фактов» завышен
2709001590;32312672606;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Поставка турбокомпрессора для ПС Mantsinen 70R, согласно техническому заданию для нужд АО «Порт Ванино» (ГП827674);один документ записан несколькими фактами — счётчик «Фактов» завышен
2709001590;32110526796;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;услуга или чужая техника, не наша машина;Поставка турбокомпрессора «Borg Warner» для ДВС Mersedes OM444LA (Liebherr №17) (ГП518614);один документ записан несколькими фактами — счётчик «Фактов» завышен
2722010040;ГП505149;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная, вид по слову;на поставка воздуходувки марки BACKER DTLF-2.400;один документ записан несколькими фактами — счётчик «Фактов» завышен
2722010040;ГП507263;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;оказание услуг по выполнению технического обслуживания объекта АО «ННК-Хабаровский НПЗ» – турбокомпрессора модели ТА-2000 № СВ-17898 (Здание азотной станции, цеха №8).;один документ записан несколькими фактами — счётчик «Фактов» завышен
2724132118;893644;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Турбокомпрессор;один документ записан несколькими фактами — счётчик «Фактов» завышен
2724132118;977998;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;услуга или чужая техника, не наша машина;Турбокомпрессор № 287-0049 на экскаватор CAT 323 DL ДВС GDC71905;один документ записан несколькими фактами — счётчик «Фактов» завышен
3435900531;ГП430663;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Открытый тендер на право заключения договора подряда на капитальный ремонт электродвигателя для турбокомпрессора ТА-6000 К-1;один документ записан несколькими фактами — счётчик «Фактов» завышен
3435900531;ГП130612;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Открытый тендер на право заключения договора подряда по ремонту турбокомпрессора ТА-6000 (К1) участка по производству и подготовки воздуха;один документ записан несколькими фактами — счётчик «Фактов» завышен
3445042160;31603771071;2;ЭТП ГПБ, поиск по словам;услуга или чужая техника, не наша машина;"Поставка запасных частей к автомобилям КАМАЗ, ЗИЛ для нужд ООО ""Газпром трансгаз Волгоград""";один документ записан несколькими фактами — счётчик «Фактов» завышен
3445042160;31603808145;2;ЭТП ГПБ, поиск по словам;вид не назван (общая формулировка);Проведение работ по капитальному ремонту оборудования АГНКС: компрессорной установки ГДР АГНКС-1 и технологического насосно-компрессорного оборудования АГНКС-3 для нужд ООО «Газпро;один документ записан несколькими фактами — счётчик «Фактов» завышен
3445042160;31502981847;2;ЭТП ГПБ, поиск по словам;не установлен;"Поставка запасных частей к АГНКС-500 для нужд ООО ""Газпром трансгаз Волгоград""";один документ записан несколькими фактами — счётчик «Фактов» завышен
3460019060;513637;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;не применимо;Здание воздуходувной станции общей площадью 1986,4 кв. м инв. №000009943.;один документ записан несколькими фактами — счётчик «Фактов» завышен
3665046177;32110256729;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Техническое обслуживание турбокомпрессора;один документ записан несколькими фактами — счётчик «Фактов» завышен
3801009466;929867;2;ТЭК-Торг | ТЭК-Торг, контакты;центробежная, вид по слову;Проведение дефектовки (оценки технического состояния) и ремонта сухого газодинамического уплотнения газового нагнетателя марки Н-300-61-1 позиции В-1/2 установки ГК-3 цеха 11 НПП А;один документ записан несколькими фактами — счётчик «Фактов» завышен
3834002314;ГП537384;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Турбокомпрессор ТК 34Н-04С У2;один документ записан несколькими фактами — счётчик «Фактов» завышен
3849096450;B0307261021432;2;Росэлторг;услуга или чужая техника, не наша машина;Масло компрессорное VDL 100;один документ записан несколькими фактами — счётчик «Фактов» завышен
3849096450;B1209251141312;2;Росэлторг;центробежная;Уплотнение думмиса ч.342.886.03.00.00 к турбокомпрессору ТВ-80-1,8;один документ записан несколькими фактами — счётчик «Фактов» завышен
4214000608;ГП904860;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Турбовоздуходувка в комплекте с ЗИП, согласно ТЗ;один документ записан несколькими фактами — счётчик «Фактов» завышен
4214000608;ГП124211;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Поставка турбокомпрессора воздушного ТВ-200-1,4 для ГОФТ согласно ТЗ;один документ записан несколькими фактами — счётчик «Фактов» завышен
4214000608;ГП219976;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Поставка турбокомпрессора воздушного ТВ-200-1,4 для ГОФТ согласно ТЗ;один документ записан несколькими фактами — счётчик «Фактов» завышен
4214000608;ГП819075;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная, вид по слову;Блок воздуходувки Kaeser BB68C (Omega Profil), согласно ТЗ;один документ записан несколькими фактами — счётчик «Фактов» завышен
4214000608;ГП336385;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;"Турбокомпрессоры для ГОФ ""Томусинская"" и для разреза ""Сибиргинский"" согласно ТЗ.";один документ записан несколькими фактами — счётчик «Фактов» завышен
4214000608;ГП154292;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Поставка турбокомпрессора ТВ-50, турбокомпрессора ТВ-80;один документ записан несколькими фактами — счётчик «Фактов» завышен
4214000608;ГП917701;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Турбокомпрессор ТВ-80 (в комплекте с ЗИП), согласно ТЗ;один документ записан несколькими фактами — счётчик «Фактов» завышен
4214000608;ГП302295;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Поставка турбокомпрессора воздушного ТВ-200-1,4 согласно ТЗ;один документ записан несколькими фактами — счётчик «Фактов» завышен
4214000608;ГП814564;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Турбокомпрессор типа ТВ-200-1,4, в сборе с рамой и электродвигателем. Согласно ТЗ;один документ записан несколькими фактами — счётчик «Фактов» завышен
4214000608;ГП002967;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Турбокомпрессор типа ТВ-200-1,4 в сборе с рамой и электродвигателем согласно ТЗ.;один документ записан несколькими фактами — счётчик «Фактов» завышен
4214000608;ГП125343;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Турбокомпрессор типа ТВ-200-1,4 в сборе с рамой и электродвигателем согласно ТЗ для ЦОФК;один документ записан несколькими фактами — счётчик «Фактов» завышен
4214000608;ГП331351;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;услуга или чужая техника, не наша машина;Запасные части к экскаваторной технике, турбокомпрессоры к ДВС, один ДВС, подшипники, АКПП;один документ записан несколькими фактами — счётчик «Фактов» завышен
4217048100;ГП934068;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная, вид по слову;Приобретение воздуходувки ANLET BWH-6522;один документ записан несколькими фактами — счётчик «Фактов» завышен
4222010511;32514662334;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Поставка турбокомпрессора воздушного с эл. двигателем на раме;один документ записан несколькими фактами — счётчик «Фактов» завышен
4222010511;31806642848;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;ЗАКУПКА МНОГОСТУПЕНЧАТОГО ВОЗДУШНОГО ТУРБОКОМПРЕССОРА ТВ-80;один документ записан несколькими фактами — счётчик «Фактов» завышен
4222010511;31806807498;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;ЗАКУПКА МНОГОСТУПЕНЧАТОГО ВОЗДУШНОГО ТУРБОКОМПРЕССОРА ТВ-80;один документ записан несколькими фактами — счётчик «Фактов» завышен
4223036696;ГП616748;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;вихревая или роторная воздуходувка, принцип не центробежный;Воздуходувка вихревая ERSTEVAK EVL 89/57 3Ф. 7,5 кВт 320м3/ч;один документ записан несколькими фактами — счётчик «Фактов» завышен
4345000249;32616225930;2;РТС-тендер | ЭТП ГПБ, поиск по словам;не установлен;Поставка насосов;один документ записан несколькими фактами — счётчик «Фактов» завышен
4345000249;32616231666;2;РТС-тендер | ЭТП ГПБ, поиск по словам;не установлен;Поставка дизельной насосной станции;один документ записан несколькими фактами — счётчик «Фактов» завышен
4345047310;31604092865;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Поставка и установка центробежных компрессоров Centac C700-С115МХЗ;один документ записан несколькими фактами — счётчик «Фактов» завышен
4345047310;31806131723;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Работы по техническому обслуживанию двух центробежных компрессоров производства компании «Ingersoll Rand»;один документ записан несколькими фактами — счётчик «Фактов» завышен
470507656525;ИМ011668;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;турбокомпрессор ЦК-135/М1;один документ записан несколькими фактами — счётчик «Фактов» завышен
4909047148;KIM000008871;2;Росэлторг;садовый инструмент, не машина | центробежный насос, не компрессор;Агрегат насосный центробежный консольный К100-65-200А 90М3/Ч АИР160М2 18500ВТ 3000ОБ/МИН 40М 380В 400x1270x441ММ 275КГ ГОСТ 22247-96 Российская Федерация;один документ записан несколькими фактами — счётчик «Фактов» завышен
4909095279;32616194607;2;РТС-тендер | Росэлторг;паровая турбина, не компрессор;ОКПД2 45.20.21 Оказание услуг по техническому обслуживанию и ремонту грузовых автомобилей (включая поставку комплектующих) в рамках реализации проекта «Реконструкция энергетическог;один документ записан несколькими фактами — счётчик «Фактов» завышен
4909095279;32616241142;2;РТС-тендер | Росэлторг;паровая турбина, не компрессор;ОКПД2 23.64.10.110 Поставка ремонтных смесей в рамках реализации проекта «Реконструкция энергетического производственно-технологического комплекса Владивостокской ТЭЦ-2 с заменой т;один документ записан несколькими фактами — счётчик «Фактов» завышен
4909095279;32616233122;2;РТС-тендер | Росэлторг;паровая турбина, не компрессор;Право заключения договора на ОКПД 2 23.91.11 Поставка расходных материалов в г. Владивосток, в рамках реализации проекта «Реконструкция энергетического производственно-технологичес;один документ записан несколькими фактами — счётчик «Фактов» завышен
4909095279;32616225128;2;РТС-тендер | Росэлторг;паровая турбина, не компрессор;Право заключения договора на ОКПД2 25.73.30 Поставка вспомогательного ручного инструмента в г. Владивосток, в рамках реализации проекта «Реконструкция энергетического производствен;один документ записан несколькими фактами — счётчик «Фактов» завышен
5001000066;ГП806273;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Ревизия трех холодильных машин на базе центробежных компрессоров с водяным охлаждением конденсаторного типа CVGF 1000, производства Trane. г. Магнитогорск;один документ записан несколькими фактами — счётчик «Фактов» завышен
5001000066;ГП112019;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;не установлен;КОНКУРЕНТНЫЙ ОТБОР В ЭЛЕКТРОННОЙ ФОРМЕ На оборудование для турбодетандеров для проектов НОВАТЕК Мурманск и Иркутский Завод Полимеров. Многолотовая закупка.;один документ записан несколькими фактами — счётчик «Фактов» завышен
5001000066;ГП722624;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Закупка центробежного компрессора азотного;один документ записан несколькими фактами — счётчик «Фактов» завышен
5001000066;ГП612861;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Центробежный дожимающий компрессор, проект Магнитогорск;один документ записан несколькими фактами — счётчик «Фактов» завышен
5001000066;ГП505440;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Запрос предложений на поставку воздушного центробежного компрессора;один документ записан несколькими фактами — счётчик «Фактов» завышен
5001000066;ГП412036;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Запрос предложений на поставку центробежных воздушных компрессоров;один документ записан несколькими фактами — счётчик «Фактов» завышен
5001000066;ГП603444;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Запрос (ценовых) котировок на центробежный компрессор, проект Азербайджан;один документ записан несколькими фактами — счётчик «Фактов» завышен
5001000066;ГП601224;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Запрос предложений на поставку центробежного воздушного компрессора;один документ записан несколькими фактами — счётчик «Фактов» завышен
5001000066;ГП618267;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Запрос (ценовых) котировок на Центробежные воздушные компрессора;один документ записан несколькими фактами — счётчик «Фактов» завышен
5001000066;ГП604787;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Запрос (ценовых) котировок на центробежный компрессор, проект Азербайджан;один документ записан несколькими фактами — счётчик «Фактов» завышен
5001000066;ГП606125;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Запрос (ценовых) котировок на центробежный компрессор, проект Азербайджан;один документ записан несколькими фактами — счётчик «Фактов» завышен
