inn;kpp;predpriyatie;vzyato;pochemu
7720613388;504201001;АО ЗТЗ;0;нет страницы по КПП 504201001 — предприятия на площадке нет
5907001774;590701001;ПАО НПОИСКРА;0;обойдено
3809003787;384901001;СибВАМИ;0;нет страницы по КПП 384901001 — предприятия на площадке нет
4217168581;390601001;АЦ Гермес (ГКК);0;нет страницы по КПП 390601001 — предприятия на площадке нет
7704784450;770401001;"АО ""ИНТЕР РАО-ЭЛЕКТРОГЕНЕРАЦИЯ""";16;в выдаче 2 чужих ИНН — проверить
5406323202;550301001;"АО ""ТГК-11""";0;обойдено
1433000147;143301001;"АК ""АЛРОСА"" (ПАО)";0;обойдено
5908007560;590801001;"АО ""ГАЛОПОЛИМЕР ПЕРМЬ""";0;нет страницы по КПП 590801001 — предприятия на площадке нет
7530000048;753001001;"ПАО ""ППГХО""";0;обойдено
1102054991;780201001;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""";0;обойдено
7723006328;772301001;"АО ""ГАЗПРОМНЕФТЬ - МНПЗ""";0;нет страницы по КПП 772301001 — предприятия на площадке нет
1644003838;164401001;"ПАО ""ТАТНЕФТЬ"" ИМ. В.Д. ШАШИНА";12;в выдаче 2 чужих ИНН — проверить
9106001900;910601001;"АО ""СЗ""";0;нет страницы по КПП 910601001 — предприятия на площадке нет
6615001962;668101001;"АО ""ЕВРАЗ КГОК""";0;нет страницы по КПП 668101001 — предприятия на площадке нет
4312126856;431201001;"ООО ""ГАЛОПОЛИМЕР КИРОВО-ЧЕПЕЦК""";0;нет страницы по КПП 431201001 — предприятия на площадке нет
1651025328;165101001;"АО ""ТАИФ-НК""";0;нет страницы по КПП 165101001 — предприятия на площадке нет
