organizator;inn_organizatora;inn_primechanie;zakazchiki;inn_zakazchikov;predmet;summa;data_publikacii;region;stadiya;tip_procedury;sekciya;reestrovyy_nomer;ssylka;zapros;centrobezhnyy_predmet;centro_priznak;centro_shum
"ПАО ""УРАЛМАШЗАВОД""";6663005798;;"ПАО ""УРАЛМАШЗАВОД""";6663005798;Центробежный вентилятор в комплекте с электродвигателем (аналоги рассматриваем);;2020-07-14;Свердловская область;completed;Запрос (ценовых) котировок;Закупки.Бизнес;ГП031017;https://etpgpb.ru/procedures/etp/370218-tsentrobezhnyy-ventilyator-v-komplekte-s-elektrodvigatelem-analogi-rassmatrivaem/;центробежный;да;центробежный+газовая машина;
ПАО УРАЛКУЗ;7420000133;;ПАО УРАЛКУЗ;7420000133;Капитальный ремонт центробежного компрессора, согласно ТЗ.;0.0;2024-03-12;Челябинская область;completed;Запрос предложений;Закупки.Бизнес;ГП415897;https://etpgpb.ru/procedures/etp/922852-kapitalnyy-remont-tsentrobezhnogo-kompressora-soglasno-tz/;компрессор+центробежный;да;центробежный+газовая машина;
"ООО ""ОБСКИЙ ГХК""";;нет в словаре площадки;"ООО ""ОБСКИЙ ГХК""";;Поставка, проведение шефмонтажных, пусконаладочных работ газоперекачивающих агрегатов с газотурбинными приводами и центробежными компрессорами;0.0;2022-09-30;Ямало-Ненецкий автономный округ;completed;Запрос предложений;Закупки.Бизнес;ГП257644;https://etpgpb.ru/procedures/etp/685535-postavka-provedenie-shefmontazhnyh-puskonaladochnyh-rabot-gazoperekachivayuschih-agregatov-s-gazoturbinnymi-privodami-i-tsentrobezhnymi-kompressorami/;компрессор+центробежный;да;центробежный+газовая машина;
;;в словаре площадки ИНН пустой;"ООО ""НОВАТЭК НТЦ""";7204151850;Вентилятор центробежный;;2025-03-20;Тюменская область;completed;Попозиционная закупка;Закупки.Бизнес;КП000001878;https://etpgpb.ru/procedures/commerce/1935-ventilyator-tsentrobezhnyy/;центробежный;да;центробежный+газовая машина;
АО ВМП АВИТЕК;4345047310;;АО ВМП АВИТЕК;4345047310;Поставка и установка центробежных компрессоров Centac C700-С115МХЗ;38942000.0;2016-09-13;Кировская область;completed;Запрос котировок;Закупки.Бизнес223;31604092865;https://etpgpb.ru/procedures/etp/69835-postavka-i-ustanovka-tsentrobezhnyh-kompressorov-centac-c700-s115mhz/;компрессор+центробежный;да;центробежный+газовая машина;
ГАЗПРОМ НЕФТЕХИМ САЛАВАТ;;нет в словаре площадки;ГАЗПРОМ НЕФТЕХИМ САЛАВАТ;;Ремонтные работы турбокомпрессора центробежного Cameron ТА-6000;0.0;2025-08-25;Республика Башкортостан;completed;Предварительный отбор;Закупки.Бизнес;ГП544256;https://etpgpb.ru/procedures/etp/1157130-remontnye-raboty-turbokompressora-tsentrobezhnogo-cameron-ta-6000/;турбокомпрессор+центробежный;да;"турбокомпрессор; центробежный+газовая машина";
ООО «РУСГАЗШЕЛЬФ»;7719472189;;ООО «РУСГАЗШЕЛЬФ»;7719472189;Поставка агрегата газоперекачивающего (без центробежного компрессора и газотурбинного двигателя);0.0;2026-07-06;Москва;commission;Запрос предложений;Закупки.Бизнес;ГП619624;https://etpgpb.ru/procedures/etp/1268174-postavka-agregata-gazoperekachivayuschego-bez-tsentrobezhnogo-kompressora-i-gazoturbinnogo-dvigatelya/;компрессор+центробежный;да;центробежный+газовая машина;
"ФГУП ""НПЦАП""";7728171283;;"ФГУП ""НПЦАП""";7728171283;Вентиляторы центробежные;90288.0;2021-06-22;Москва;completed;Запрос (ценовых) котировок;Закупки.Бизнес223;32110403438;https://etpgpb.ru/procedures/etp/500786-ventilyatory-tsentrobezhnye/;центробежный;да;центробежный+газовая машина;
АО РАТЕП;5043000212;;АО РАТЕП;5043000212;Открытый аукцион (на понижение) в электронной форме на право заключения договора купли-продажи вентиляторов центробежных взрывозащищенных.;341609.5;2016-07-27;Московская область;completed;Аукцион на понижение;Закупки.Бизнес223;31603932163;https://etpgpb.ru/procedures/etp/65108-otkrytyy-auktsion-na-ponizhenie-v-elektronnoy-forme-na-pravo-zaklyucheniya-dogovora-kupli-prodazhi-ventilyatorov-tsentrobezhnyh-vzryvozaschischennyh/;центробежный;да;центробежный+газовая машина;
ПАО УРАЛКУЗ;7420000133;;ПАО УРАЛКУЗ;7420000133;Техническое обслуживание центробежного компрессора SAMSUNG SM 6100-2600 ст. № 4, согласно ТЗ.;0.0;2023-11-28;Челябинская область;completed;Попозиционная;Закупки.Бизнес;ГП359549;https://etpgpb.ru/procedures/etp/875030-tehnicheskoe-obsluzhivanie-tsentrobezhnogo-kompressora-samsung-sm-6100-2600-st-4-soglasno-tz/;компрессор+центробежный;да;центробежный+газовая машина;
ГАЗПРОМ НЕФТЕХИМ САЛАВАТ;;нет в словаре площадки;ГАЗПРОМ НЕФТЕХИМ САЛАВАТ;;Поставка запчастей к центробежному компрессору CAMERON марки ТА-6000;0.0;2025-11-18;Республика Башкортостан;completed;Предварительный отбор;Закупки.Бизнес;ГП535695;https://etpgpb.ru/procedures/etp/1188835-postavka-zapchastey-k-tsentrobezhnomu-kompressoru-cameron-marki-ta-6000/;компрессор+центробежный;да;центробежный+газовая машина;
ФИЛИАЛ ООО КРИОГАЗ В Г. ЕКАТЕРИНБУРГ;5001071638;;ФИЛИАЛ ООО КРИОГАЗ В Г. ЕКАТЕРИНБУРГ;5001071638;поставка запасных частей для центробежных компрессоров Ingerssoll Rand  (Cameron compression systems);418498.19;2018-10-19;Свердловская область;completed;Запрос предложений;Закупки.Бизнес;ГП822835;https://etpgpb.ru/procedures/etp/182550-postavka-zapasnyh-chastey-dlya-tsentrobezhnyh-kompressorov-ingerssoll-rand-cameron-compression-systems/;компрессор+центробежный;да;центробежный+газовая машина;
"АО ""АЙСОРС""";9706009675;;"АО ""АЙСОРС""";9706009675;Закупка центробежного вентилятора;0.0;2023-08-09;Москва;completed;Попозиционная;Закупки.Бизнес;АП051462;https://etpgpb.ru/procedures/etp/825789-zakupka-tsentrobezhnogo-ventilyatora/;центробежный;да;центробежный+газовая машина;
"АО ""ЦЭНКИ""";9702013720;;АО ЦЭНКИ;;Поставка вентилятора центробежного;159000.05;2020-05-29;Москва;completed;Запрос котировок в электронной форме для СМСП;Закупки.Бизнес223;32009196813;https://etpgpb.ru/procedures/etp/355770-postavka-ventilyatora-tsentrobezhnogo/;центробежный;да;центробежный+газовая машина;
"ООО ""ТЮМЕНЬ ВОДОКАНАЛ""";7204095194;;ТЮМЕНЬ ВОДОКАНАЛ;;КО-015-ТМЦ-ПП-23 на право заключения договора на поставку Вентилятора центробежного, проводимый нецентрализованно для нужд ООО «Тюмень Водоканал»;443055.56;2023-03-06;Тюменская область;completed;Попозиционная;Закупки.Бизнес223;32312169508;https://etpgpb.ru/procedures/etp/753530-ko-015-tmts-pp-23-na-pravo-zaklyucheniya-dogovora-na-postavku-ventilyatora-tsentrobezhnogo-provodimyy-netsentralizovanno-dlya-nuzhd-ooo-tyumen-vodokanal/;центробежный;да;центробежный+газовая машина;
ПАО УРАЛКУЗ;7420000133;;ПАО УРАЛКУЗ;7420000133;Капитальный ремонт центробежного компрессора К-345-91-1, согласно ТЗ.;;2019-09-24;Челябинская область;completed;Попозиционная;Закупки.Бизнес;ГП933616;https://etpgpb.ru/procedures/etp/271800-kapitalnyy-remont-tsentrobezhnogo-kompressora-k-345-91-1-soglasno-tz/;компрессор+центробежный;да;центробежный+газовая машина;
ФИЛИАЛ ООО КРИОГАЗ В Г. ЕКАТЕРИНБУРГ;5001071638;;ФИЛИАЛ ООО КРИОГАЗ В Г. ЕКАТЕРИНБУРГ;5001071638;Запасные части для центробежных компрессоров Ingerssoll Rand  (Cameron compression systems);21535.56;2018-02-12;Свердловская область;completed;Запрос предложений;Закупки.Бизнес;ГП802902;https://etpgpb.ru/procedures/etp/139085-zapasnye-chasti-dlya-tsentrobezhnyh-kompressorov-ingerssoll-rand-cameron-compression-systems/;компрессор+центробежный;да;центробежный+газовая машина;
"ПАО ""УРАЛМАШЗАВОД""";6663005798;;"ПАО ""УРАЛМАШЗАВОД""";6663005798;Вентилятор центробежный FS-1800;0.0;2021-11-02;Свердловская область;completed;Запрос (ценовых) котировок;Закупки.Бизнес;АП007620;https://etpgpb.ru/procedures/etp/557145-ventilyator-tsentrobezhnyy-fs-1800/;центробежный;да;центробежный+газовая машина;
"АО ""КРИОГЕНМАШ""";;нет в словаре площадки;АО КРИОГЕНМАШ;5001000066;Запрос предложений на поставку Центробежного воздушного компрессора станции сухого воздуха, проект ЗапСибНефтехим;;2016-03-30;Московская область;completed;Запрос предложений;Закупки.Бизнес;ГП615586;https://etpgpb.ru/procedures/etp/51465-zapros-predlozheniy-na-postavku-tsentrobezhnogo-vozdushnogo-kompressora-stantsii-suhogo-vozduha-proekt-zapsibneftehim/;компрессор+центробежный;да;центробежный+компрессор;
"ПАО ""УРАЛМАШЗАВОД""";6663005798;;"ПАО ""УРАЛМАШЗАВОД""";6663005798;"Вентилятор центробежный; Ziehl-abegg; RF22P-2DD.5H.1R, ЕС";0.0;2021-10-05;Свердловская область;completed;Запрос (ценовых) котировок;Закупки.Бизнес;АП004676;https://etpgpb.ru/procedures/etp/543958-ventilyator-tsentrobezhnyy-ziehl-abegg-rf22p-2dd-5h-1r-es/;центробежный;да;центробежный+газовая машина;
ФИЛИАЛ ООО КРИОГАЗ В Г. ЕКАТЕРИНБУРГ;5001071638;;ФИЛИАЛ ООО КРИОГАЗ В Г. ЕКАТЕРИНБУРГ;5001071638;поставка запасных частей для центробежных компрессоров Ingerssoll Rand  (Cameron compression systems);86335.0;2016-05-24;Свердловская область;completed;Запрос предложений;Закупки.Бизнес;ГП617035;https://etpgpb.ru/procedures/etp/57594-postavka-zapasnyh-chastey-dlya-tsentrobezhnyh-kompressorov-ingerssoll-rand-cameron-compression-systems/;компрессор+центробежный;да;центробежный+газовая машина;
ПАО УРАЛКУЗ;7420000133;;ПАО УРАЛКУЗ;7420000133;Капитальный ремонт центробежного компрессора К-345-91-1 № 3, согласно ТЗ.;;2020-07-24;Челябинская область;completed;Попозиционная;Закупки.Бизнес;ГП043518;https://etpgpb.ru/procedures/etp/373868-kapitalnyy-remont-tsentrobezhnogo-kompressora-k-345-91-1-3-soglasno-tz/;компрессор+центробежный;да;центробежный+газовая машина;
ПАО УРАЛКУЗ;7420000133;;ПАО УРАЛКУЗ;7420000133;Капитальный ремонт центробежного компрессора К-345-91-1 № 3, согласно ТЗ.;;2020-10-15;Челябинская область;completed;Попозиционная;Закупки.Бизнес;ГП034860;https://etpgpb.ru/procedures/etp/401651-kapitalnyy-remont-tsentrobezhnogo-kompressora-k-345-91-1-3-soglasno-tz/;компрессор+центробежный;да;центробежный+газовая машина;
ПАО УРАЛКУЗ;7420000133;;ПАО УРАЛКУЗ;7420000133;Капитальный ремонт центробежного компрессора К-345-91-1 № 3, согласно ТЗ.;;2020-09-30;Челябинская область;completed;Попозиционная;Закупки.Бизнес;ГП045840;https://etpgpb.ru/procedures/etp/395416-kapitalnyy-remont-tsentrobezhnogo-kompressora-k-345-91-1-3-soglasno-tz/;компрессор+центробежный;да;центробежный+газовая машина;
ПАО УРАЛКУЗ;7420000133;;ПАО УРАЛКУЗ;7420000133;Техническое обслуживание центробежного компрессора SAMSUNG SM 6100-2600, согласно ТЗ.;0.0;2022-06-03;Челябинская область;completed;Попозиционная;Закупки.Бизнес;ГП206576;https://etpgpb.ru/procedures/etp/643023-tehnicheskoe-obsluzhivanie-tsentrobezhnogo-kompressora-samsung-sm-6100-2600-soglasno-tz/;компрессор+центробежный;да;центробежный+газовая машина;
ПАО УРАЛКУЗ;7420000133;;ПАО УРАЛКУЗ;7420000133;Капитальный ремонт центробежного компрессора К-345-91-1 № 3, согласно ТЗ.;0.0;2021-06-24;Челябинская область;completed;Попозиционная;Закупки.Бизнес;ГП142752;https://etpgpb.ru/procedures/etp/501819-kapitalnyy-remont-tsentrobezhnogo-kompressora-k-345-91-1-3-soglasno-tz/;компрессор+центробежный;да;центробежный+газовая машина;
ПАО УРАЛКУЗ;7420000133;;ПАО УРАЛКУЗ;7420000133;Техническое обслуживание центробежного компрессора Atlas Copco на ПАО «Уралкуз», согласно ТЗ.;0.0;2023-04-18;Челябинская область;completed;Попозиционная;Закупки.Бизнес;ГП328872;https://etpgpb.ru/procedures/etp/775616-tehnicheskoe-obsluzhivanie-tsentrobezhnogo-kompressora-atlas-copco-na-pao-uralkuz-soglasno-tz/;компрессор+центробежный;да;центробежный+газовая машина;
ПАО УРАЛКУЗ;7420000133;;ПАО УРАЛКУЗ;7420000133;Текущий ремонт центробежного компрессора К-250-61-1 № 6, согласно ТЗ.;0.0;2021-10-14;Челябинская область;completed;Попозиционная;Закупки.Бизнес;ГП122967;https://etpgpb.ru/procedures/etp/548495-tekuschiy-remont-tsentrobezhnogo-kompressora-k-250-61-1-6-soglasno-tz/;компрессор+центробежный;да;центробежный+газовая машина;
ПАО УРАЛКУЗ;7420000133;;ПАО УРАЛКУЗ;7420000133;Капитальный ремонт центробежного компрессора К-250-61-1 № 7, согласно ТЗ.;0.0;2022-02-07;Челябинская область;completed;Попозиционная;Закупки.Бизнес;ГП202938;https://etpgpb.ru/procedures/etp/597207-kapitalnyy-remont-tsentrobezhnogo-kompressora-k-250-61-1-7-soglasno-tz/;компрессор+центробежный;да;центробежный+газовая машина;
"ПАО ""ЧМК""";7450001007;;"ПАО ""ЧМК""";7450001007;Запасные части для центробежных компрессоров;;2017-11-02;Челябинская область;completed;Попозиционные торги;Закупки.Бизнес;ГП711204;https://etpgpb.ru/procedures/etp/102402-zapasnye-chasti-dlya-tsentrobezhnyh-kompressorov/;компрессор+турбокомпрессор+центробежный;да;центробежный+газовая машина;
ФКУ КП-48 ГУФСИН РОССИИ ПО КРАСНОЯРСКОМУ КРАЮ;;нет в словаре площадки;;;Поставка дымососа центробежного котельного 0319100029926000020;356434.67;2026-03-25;Красноярский край;commission;Электронный аукцион;Закупки.Гос44;0319100029926000020;;центробежный;да;центробежный+газовая машина;
ПАО УРАЛКУЗ;7420000133;;ПАО УРАЛКУЗ;7420000133;Капитальный ремонт центробежного компрессора К-250-61-1 ст.№6, согласно ТЗ.;;2018-09-26;Челябинская область;completed;Попозиционные торги;Закупки.Бизнес;ГП833093;https://etpgpb.ru/procedures/etp/178330-kapitalnyy-remont-tsentrobezhnogo-kompressora-k-250-61-1-st-6-soglasno-tz/;компрессор+центробежный;да;центробежный+газовая машина;
"ООО ""ГАЗПРОМ ТРАНСГАЗ ТОМСК""";7017005289;;"ООО ""ГАЗПРОМ ТРАНСГАЗ ТОМСК""";7017005289;Оказание услуги по разработке рекомендаций вибрационной наладки центробежного нагнетателя НЦ-16ДКС/100;566012.3;2015-06-23;Томская область;completed;Запрос предложений;Закупки ГК «Газпром»;31502490252;https://etpgpb.ru/procedures/gaz/38655-okazanie-uslugi-po-razrabotke-rekomendatsiy-vibratsionnoy-naladki-tsentrobezhnogo-nagnetatelya-nts-16dks-100/;нагнетатель+центробежный;да;"нагнетатель; центробежный+газовая машина";
ПАО УРАЛКУЗ;7420000133;;ПАО УРАЛКУЗ;7420000133;"Капитальный ремонт центробежного компрессора К-345-91-1 на ПАО ""Уралкуз"", согласно ТЗ.";;2019-08-07;Челябинская область;completed;Попозиционная;Закупки.Бизнес;ГП908675;https://etpgpb.ru/procedures/etp/258667-kapitalnyy-remont-tsentrobezhnogo-kompressora-k-345-91-1-na-pao-uralkuz-soglasno-tz/;компрессор+центробежный;да;центробежный+газовая машина;
ПАО НПОИСКРА;5907001774;;ПАО НПОИСКРА;5907001774;Изготовление и поставка компрессора центробежного, изготовленного по техническому заданию ИЯТЛ.064415.251 ТЗ;218300000.0;2018-08-10;Пермский край;completed;Запрос котировок;Закупки.Бизнес223;31806807904;https://etpgpb.ru/procedures/etp/170640-izgotovlenie-i-postavka-kompressora-tsentrobezhnogo-izgotovlennogo-po-tehnicheskomu-zadaniyu-iyatl-064415-251-tz/;компрессор+центробежный;да;центробежный+газовая машина;
"ООО ""НОВАТЭК-ТАРКОСАЛЕНЕФТЕГАЗ""";;нет в словаре площадки;"ООО ""НОВАТЭК-ТАРКОСАЛЕНЕФТЕГАЗ""";;Средний ремонт центробежных компрессоров 295ГЦ2, 245ГЦ2, 225-51-1С, 4ГЦ2-146/41-102 ГТУ;0.0;2023-10-04;Ямало-Ненецкий автономный округ;completed;Запрос предложений;Закупки.Бизнес;ГП310628;https://etpgpb.ru/procedures/etp/848099-sredniy-remont-tsentrobezhnyh-kompressorov-295gts2-245gts2-225-51-1s-4gts2-146-41-102-gtu/;компрессор+центробежный;да;центробежный+газовая машина;
ГАЗПРОМ НЕФТЕХИМ САЛАВАТ;;нет в словаре площадки;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";0266048970;52753-22-24 от 20.10.2025 - ЗИП центробежного компрессора поз. 3ГЦ2-34/40-55 УХЛ-2;0.0;2025-10-20;Республика Башкортостан;completed;Предварительный отбор;Закупки.Бизнес;ГП534563;https://etpgpb.ru/procedures/etp/1177610-52753-22-24-ot-20-10-2025-zip-tsentrobezhnogo-kompressora-poz-3gts2-34-40-55-uhl-2/;компрессор+центробежный;да;центробежный+газовая машина;
ПАО НПОИСКРА;5907001774;;ПАО НПОИСКРА;5907001774;Поставщик обязуется поставить ЗИП компрессора центробежного НЦ-16ПХГ, (далее по тексту Товар).;939441.6;2021-06-16;Пермский край;completed;Запрос (ценовых) котировок;Закупки.Бизнес223;32110385871;https://etpgpb.ru/procedures/etp/498537-postavschik-obyazuetsya-postavit-zip-kompressora-tsentrobezhnogo-nts-16phg-dalee-po-tekstu-tovar/;компрессор+центробежный;да;центробежный+газовая машина;
"АО ""АРКТИКГАЗ""";8904002359;;"АО ""АРКТИКГАЗ""";8904002359;200-ЗЦ-2023_УСС_Поставка ЗИП для центробежных компрессоров;0.0;2023-10-09;Ямало-Ненецкий автономный округ;completed;Запрос предложений;Закупки.Бизнес;ГП322445;https://etpgpb.ru/procedures/etp/850328-200-zts-2023-uss-postavka-zip-dlya-tsentrobezhnyh-kompressorov/;компрессор+центробежный;да;центробежный+газовая машина;
