srok;zapros;nomer;data;inn_zakazchika;zakazchik;obekt;tip;inn_eo;ekspertnaya_org;vyvod;istochnik;istochnik_zakazchik;zav_nomer;klass;dubl
active;центробежный компрессор;22-ТУ-03911-2025;24.02.2025;5321029508;"ПАО ""АКРОН""";Холодильный центробежный компрессор GC-049, зав. № М-00030, производство нитроаммофоски, цеха нитроаммофоски № 2;ТУ;7709122844;"ООО НПП ""МЕХАНИК""";соответствует;https://monitor-pb.ru/conclusion/22-%D0%A2%D0%A3-03911-2025;https://monitor-pb.ru/customer/5321029508;M-00030;компрессор;да
active;центробежный компрессор;38-ТУ-325649-2025;03.10.2025;3801046700;"АО ""АЗП""";Компрессор центробежный IRSА-62 поз. М-4, зав. № 1805647 (цех 124/125, объект 1928к);ТУ;3801065799;"ООО ""ТЕХДИЭКС""";соответствует;https://monitor-pb.ru/conclusion/38-%D0%A2%D0%A3-325649-2025;https://monitor-pb.ru/customer/3801046700;1805647;компрессор;да
active;центробежный компрессор;38-ТУ-325682-2025;03.10.2025;3801046700;"АО ""АЗП""";Компрессор центробежный 5 RPD135 поз. М-6, зав. № 1805662 (цех 124/125, объект 1928к);ТУ;3801065799;"ООО ""ТЕХДИЭКС""";соответствует;https://monitor-pb.ru/conclusion/38-%D0%A2%D0%A3-325682-2025;https://monitor-pb.ru/customer/3801046700;1805662;компрессор;да
active;центробежный компрессор;43-ТУ-45860-2025;11.04.2025;1658008723;"ПАО ""КАЗАНЬОРГСИНТЕЗ""";Воздухоохладитель I секции центробежного компрессора ЦК135/8 (М1), поз.№ВО-26В/1, зав.№90020;ТУ;1661021756;"ЗАО ""ДИНАМИКА""";соответствует;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-45860-2025;https://monitor-pb.ru/customer/1658008723;90020;обвязка;да
active;центробежный компрессор;43-ТУ-45880-2025;11.04.2025;1658008723;"ПАО ""КАЗАНЬОРГСИНТЕЗ""";Воздухоохладитель II секции центробежного компрессора ЦК135/8 (М1), поз.№ВО-26В/2, зав.№90020;ТУ;1661021756;"ЗАО ""ДИНАМИКА""";соответствует;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-45880-2025;https://monitor-pb.ru/customer/1658008723;90020;обвязка;да
active;центробежный компрессор;48-ТУ-722927-2026;03.03.2026;4823006703;"ПАО ""НЛМК""";Кислородный №1- азотный центробежный компрессор КТК 12,5/35, СТ.№9 инв.№52157;ТУ;4826127181;"ООО ИТЦ ""МОНОЛИТ""";соответствует;https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-722927-2026;https://monitor-pb.ru/customer/4823006703;;компрессор;да
active;центробежный компрессор;01-ТУ-17879-2024;21.06.2024;4028026750;"ООО ""Холодильник""";"на технические устройства: поршневой компрессор П-110А, зав. №13445, поз. №1; поршневой компрессор П-110А, зав. №90903, поз. №2; поршневой компрессор П-110А, зав. №23198, поз. №3; винтовой компрессор ВХ-30-2-6, зав. №92001, поз №1; винтовой компрессор ВХ-30-2-6, зав. №92008, поз №2; винтовой компрессор ВХ-350-7-0, зав. №07261, поз №3; центробежный герметичный электронасос 2ХГ-5К-4,5-1, зав. №26772, поз. №2; центробежный герметичный электронасос 2ХГ-5К-4,5-1, зав. №38719, поз. №3, применяемые на опасном производственном объекте ООО «Холодильник» «Аммиачно-холодильная установка» (рег. №А09-00224-0001, III класс опасности) по адресу: 248008, Калужская обл., г. Калуга, ул. Тарутинская, д. 184А.";ТУ;7718782029;"ООО ""ЕДИНЫЙ СТАНДАРТ""";соответствует;https://monitor-pb.ru/conclusion/01-%D0%A2%D0%A3-17879-2024;https://monitor-pb.ru/customer/4028026750;13445;компрессор;да
active;центробежный компрессор;13-ТУ-22497-2024;26.12.2024;4823006703;"ПАО ""НЛМК""";Центробежный компрессор 543 ЦКК-400/40, ст. №5, инв. №31583, Кислородного цеха;ТУ;4823055443;"ООО ""ЦЕНТР ПРОЕКТИРОВАНИЯ И ИЗЫСКАНИЙ""";соответствует;https://monitor-pb.ru/conclusion/13-%D0%A2%D0%A3-22497-2024;https://monitor-pb.ru/customer/4823006703;;компрессор;да
active;центробежный компрессор;38-ТУ-325665-2025;03.10.2025;3801046700;"АО ""АЗП""";Компрессор центробежный 8 RPА 70 поз. М-5, зав. № 1805620 (цех 124/125, объект 1928к);ТУ;3801065799;"ООО ""ТЕХДИЭКС""";соответствует;https://monitor-pb.ru/conclusion/38-%D0%A2%D0%A3-325665-2025;https://monitor-pb.ru/customer/3801046700;1805620;компрессор;да
active;центробежный компрессор;38-ТУ-626612-2026;20.01.2026;3801046700;"АО ""АЗП""";Компрессор центробежный ЦК-135/8 М1 поз. В-2, зав. № 93012 (цех 167, объект 1996);ТУ;3801065799;"ООО ""ТЕХДИЭКС""";соответствует;https://monitor-pb.ru/conclusion/38-%D0%A2%D0%A3-626612-2026;https://monitor-pb.ru/customer/3801046700;93012;компрессор;нет
active;центробежный компрессор;43-ТУ-45877-2025;11.04.2025;1658008723;"ПАО ""КАЗАНЬОРГСИНТЕЗ""";Масляный фильтр II секции, поз.№ФМ-26В/2, зав.№90020 центробежного компрессора ЦК135/8 (М1);ТУ;1661021756;"ЗАО ""ДИНАМИКА""";соответствует;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-45877-2025;https://monitor-pb.ru/customer/1658008723;90020;обвязка;да
active;центробежный компрессор;48-ТУ-488402-2025;24.11.2025;4823006703;"ПАО ""НЛМК""";Кислородный-центробежный воздушный компрессор К-1500-62-2 ст.№5, инв.№62837;ТУ;4823055443;"ООО ""ЦЕНТР ПРОЕКТИРОВАНИЯ И ИЗЫСКАНИЙ""";соответствует;https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-488402-2025;https://monitor-pb.ru/customer/4823006703;;компрессор;да
active;центробежный компрессор;67-ТУ-55671-2025;11.07.2025;3801046700;"АО ""АЗП""";Компрессор центробежный ЦК-135/8 М1 поз. В-1, зав. № 86002 (цех 167, объект 1996);ТУ;3801065799;"ООО ""ТЕХДИЭКС""";соответствует;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-55671-2025;https://monitor-pb.ru/customer/3801046700;86002;компрессор;нет
active;центробежный компрессор;03-ТУ-00022-2025;09.01.2025;6227007322;"АО ""РНПК""";Центробежный компрессор 2550-31-1, поз. Н-108, установка УККФ, цех № 2;ТУ;7725843681;"ООО ""ГАЗМАШПРОЕКТ""";соответствует;https://monitor-pb.ru/conclusion/03-%D0%A2%D0%A3-00022-2025;https://monitor-pb.ru/customer/6227007322;;компрессор;н/д
active;центробежный компрессор;03-ТУ-00023-2025;09.01.2025;6227007322;"АО ""РНПК""";Центробежный компрессор 2550-31-1, поз. Н-107, установка УККФ, цех № 2;ТУ;7725843681;"ООО ""ГАЗМАШПРОЕКТ""";соответствует;https://monitor-pb.ru/conclusion/03-%D0%A2%D0%A3-00023-2025;https://monitor-pb.ru/customer/6227007322;;компрессор;н/д
active;центробежный компрессор;03-ТУ-00024-2025;09.01.2025;6227007322;"АО ""РНПК""";Центробежный компрессор 414-61-1, поз. ГК-302, установка УККФ, цех № 2;ТУ;7725843681;"ООО ""ГАЗМАШПРОЕКТ""";соответствует;https://monitor-pb.ru/conclusion/03-%D0%A2%D0%A3-00024-2025;https://monitor-pb.ru/customer/6227007322;;компрессор;н/д
active;центробежный компрессор;03-ТУ-00025-2025;09.01.2025;6227007322;"АО ""РНПК""";Центробежный компрессор 414-61-1, поз. ГК-301, установка УККФ, цех № 2;ТУ;7725843681;"ООО ""ГАЗМАШПРОЕКТ""";соответствует;https://monitor-pb.ru/conclusion/03-%D0%A2%D0%A3-00025-2025;https://monitor-pb.ru/customer/6227007322;;компрессор;н/д
active;центробежный компрессор;03-ТУ-36215-2024;25.10.2024;6227007322;"АО ""РНПК""";Центробежный компрессор 1200-25-3, поз. ВН-4, установка Биоочистка, цех № 20;ТУ;7725843681;"ООО ""ГАЗМАШПРОЕКТ""";соответствует;https://monitor-pb.ru/conclusion/03-%D0%A2%D0%A3-36215-2024;https://monitor-pb.ru/customer/6227007322;;компрессор;н/д
active;центробежный компрессор;38-ТУ-626669-2026;20.01.2026;3801046700;"АО ""АЗП""";Компрессор центробежный ЦК-135/8 поз. ТК-2Б, зав. № 66004 (цех 126/127, объект 1487/1488);ТУ;3801065799;"ООО ""ТЕХДИЭКС""";соответствует;https://monitor-pb.ru/conclusion/38-%D0%A2%D0%A3-626669-2026;https://monitor-pb.ru/customer/3801046700;66004;компрессор;да
active;центробежный компрессор;41-ТУ-24130-2022;15.04.2022;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";Центробежный компрессор типа RC8-6S+RB-6B, техн. № ТК-4, зав. № 900RC+910RC;ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-24130-2022;https://monitor-pb.ru/customer/7202116628;900RC+910RC;компрессор;нет
active;центробежный компрессор;41-ТУ-56670-2019;04.12.2019;0274051582;"ПАО АНК ""БАШНЕФТЬ""";Центробежный компрессор К250-61-5, поз. К-3, зав. №30, установка ЦВК-4, Газокаталитическое производство;ТУ;7701027236;"ООО ""ИНТЕРЮНИС""";соответствует;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-56670-2019;https://monitor-pb.ru/customer/0274051582;30;компрессор;нет
active;центробежный компрессор;48-ТУ-351313-2025;10.10.2025;4823006703;"ПАО ""НЛМК""";Кислородный цех, Центробежный воздушный компрессор К-1500-62-2 ст.№1, инв.№87688;ТУ;4823055443;"ООО ""ЦЕНТР ПРОЕКТИРОВАНИЯ И ИЗЫСКАНИЙ""";соответствует;https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-351313-2025;https://monitor-pb.ru/customer/4823006703;;компрессор;нет
active;центробежный компрессор;48-ТУ-351343-2025;10.10.2025;4823006703;"ПАО ""НЛМК""";Кислородный цех, Центробежный воздушный компрессор К-1500-62-2 ст.№1, инв.№87690;ТУ;4823055443;"ООО ""ЦЕНТР ПРОЕКТИРОВАНИЯ И ИЗЫСКАНИЙ""";соответствует;https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-351343-2025;https://monitor-pb.ru/customer/4823006703;;компрессор;нет
active;центробежный компрессор;58-ТУ-29766-2022;02.08.2022;8602060555;"ПАО ""СУРГУТНЕФТЕГАЗ""";техническое устройство: компрессор центробежный 16ГЦ-360/4-56 зав.№8/3-3;ТУ;8605020617;"ООО ""АЛЬЯНСЭКСПЕРТ""";соответствует;https://monitor-pb.ru/conclusion/58-%D0%A2%D0%A3-29766-2022;https://monitor-pb.ru/customer/8602060555;8/3-3;компрессор;нет
active;центробежный компрессор;58-ТУ-29770-2022;02.08.2022;8602060555;"ПАО ""СУРГУТНЕФТЕГАЗ""";техническое устройство: компрессор центробежный 16ГЦ-360/4-56 зав.№8/1-3;ТУ;8605020617;"ООО ""АЛЬЯНСЭКСПЕРТ""";соответствует;https://monitor-pb.ru/conclusion/58-%D0%A2%D0%A3-29770-2022;https://monitor-pb.ru/customer/8602060555;8/1-3;компрессор;нет
active;центробежный компрессор;59-ТУ-543923-2025;12.12.2025;5905018998;"АО ""СИБУР-ХИМПРОМ""";Центробежный компрессор типа К-210-61-1, поз. А-301, зав. № 3452;ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/59-%D0%A2%D0%A3-543923-2025;https://monitor-pb.ru/customer/5905018998;3452;компрессор;нет
active;центробежный компрессор;59-ТУ-657691-2026;28.01.2026;5905018998;"АО ""СИБУР-ХИМПРОМ""";центробежный компрессор типа К-55-61-1, поз. А-201, зав. № 2954;ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/59-%D0%A2%D0%A3-657691-2026;https://monitor-pb.ru/customer/5905018998;2954;компрессор;да
active;центробежный компрессор;63-ТУ-64245-2025;11.09.2025;6330000553;"АО ""НК НПЗ""";Центробежный компрессор марки 32ВЦ-100/9 М1., технологический индекс ЦК-4, зав. №93026, инв. №36113;ТУ;5001100952;"ООО ""ОРГЭНЕРГОНЕФТЬ""";соответствует;https://monitor-pb.ru/conclusion/63-%D0%A2%D0%A3-64245-2025;https://monitor-pb.ru/customer/6330000553;93026;компрессор;да
active;центробежный компрессор;86-ТУ-38357-2025;03.09.2025;8602060555;"ПАО ""СУРГУТНЕФТЕГАЗ""";Компрессор центробежный тип RC6B зав.№ С13881 опасный производственный объект Площадка газоперерабатывающего завода Управление по переработке газа;ТУ;8606004424;"ООО ""ЮТАР""";соответствует;https://monitor-pb.ru/conclusion/86-%D0%A2%D0%A3-38357-2025;https://monitor-pb.ru/customer/8602060555;C13881;компрессор;нет
active;центробежный компрессор;30-ТУ-880401-2026;17.06.2026;1102054991;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""";Техническое устройство: Компрессор центробежный 5RSA39 RINA I-Y совместно с мультипликатором центробежного компрессора, включая основной шестеренчатый маслонасос SKODA, тех.No ЦК-201, зав.No 2805040, инв.No 104697, применяемое на опасном производственном объекте Комбинированная установка гидроочистки топлив блока гидроочистки дизельной фракции У-1.732 «Площадка производства No3», ООО «Газпром переработка», филиал Астраханский ГПЗ.;ТУ;7728370070;"ООО ""ПРОМГАЗИНЖИНИРИНГ""";соответствует;https://monitor-pb.ru/conclusion/30-%D0%A2%D0%A3-880401-2026;https://monitor-pb.ru/customer/1102054991;;компрессор;н/д
active;центробежный компрессор;48-ТУ-18084-2022;28.03.2022;8904034777;"ООО ""ГАЗПРОМ ДОБЫЧА ЯМБУРГ""";техническое устройство применяемое на опасном производственном объекте: Компрессор центробежный для транспортирования природного газа, установленный в ГПА Ц3-16/76-2,2, тип компрессора 16Ц2-290/45-76, зав.№4, инв.№234629;ТУ;7805704098;"ООО ""МОНОЛИТ-СПБ""";соответствует;https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-18084-2022;https://monitor-pb.ru/customer/8904034777;4;компрессор;нет
active;центробежный компрессор;48-ТУ-18086-2022;28.03.2022;8904034777;"ООО ""ГАЗПРОМ ДОБЫЧА ЯМБУРГ""";техническое устройство применяемое на опасном производственном объекте: Компрессор центробежный для транспортирования природного газа установленный в ГПА-Ц3-16С/76-2,2 тип компрессора 16Ц2-290/45-76, зав.№2 инв.№234627;ТУ;7805704098;"ООО ""МОНОЛИТ-СПБ""";соответствует;https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-18086-2022;https://monitor-pb.ru/customer/8904034777;2;компрессор;нет
active;центробежный компрессор;48-ТУ-18089-2022;28.03.2022;8904034777;"ООО ""ГАЗПРОМ ДОБЫЧА ЯМБУРГ""";техническое устройство применяемое на опасном производственном объекте: Компрессор центробежный для транспортирования природного газа установленный в ГПА-Ц3-16/76-2,2 тип компрессора 16ГЦ2-290/45-76, зав.№1 инв.№234626;ТУ;7805704098;"ООО ""МОНОЛИТ-СПБ""";соответствует;https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-18089-2022;https://monitor-pb.ru/customer/8904034777;1;компрессор;нет
active;центробежный компрессор;03-ТУ-03513-2022;01.03.2022;6227007322;"АО ""РНПК""";Центробежный компрессор D16R4S, поз. К-3000, установка СКА, цех № 2;ТУ;5029124262;"ООО ""ПРОММАШ ТЕСТ"" (ИНН 5029124262)";соответствует;https://monitor-pb.ru/conclusion/03-%D0%A2%D0%A3-03513-2022;https://monitor-pb.ru/customer/6227007322;;компрессор;н/д
active;центробежный компрессор;38-ТУ-325609-2025;03.10.2025;3801046700;"АО ""АЗП""";Компрессор центробежный 2RVD102+7RMA99+4RVA88 поз. М-1, зав. № 1.805.669 (цех 124/125, объект 1928к);ТУ;3801065799;"ООО ""ТЕХДИЭКС""";соответствует;https://monitor-pb.ru/conclusion/38-%D0%A2%D0%A3-325609-2025;https://monitor-pb.ru/customer/3801046700;1.805.669;компрессор;да
active;центробежный компрессор;38-ТУ-818645-2026;13.05.2026;3801009466;"АО ""АНХК""";Центробежный компрессор марки ЦК-135/8М1, поз. ВК-2, зав. № 88025, НПП, цех 11, установка 72/4;ТУ;5001100952;"ООО ""ОРГЭНЕРГОНЕФТЬ""";соответствует;https://monitor-pb.ru/conclusion/38-%D0%A2%D0%A3-818645-2026;https://monitor-pb.ru/customer/3801009466;88025;компрессор;нет
active;центробежный компрессор;53-ТУ-14153-2024;18.06.2024;6320005915;"ПАО ""КУЙБЫШЕВАЗОТ""";Центробежный компрессор К-1290-121-1 технологический № 402, заводской № 4937, применяемое Цех№ 11;ТУ;6312086734;"ООО ""ПЭБ""";соответствует;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-14153-2024;https://monitor-pb.ru/customer/6320005915;4937;компрессор;да
active;центробежный компрессор;53-ТУ-39247-2024;26.12.2024;7709930344;"ООО ""ПРАКСАЙР АЗОТ ТОЛЬЯТТИ""";Центробежный компрессор марки ЦК-135/8, техн. № 2, зав. № 76035;ТУ;6321439320;"ООО ""ИЦ ФОРТИС""";соответствует;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-39247-2024;https://monitor-pb.ru/customer/7709930344;76035;компрессор;да
active;центробежный компрессор;53-ТУ-39249-2024;26.12.2024;7709930344;"ООО ""ПРАКСАЙР АЗОТ ТОЛЬЯТТИ""";Центробежный компрессор марки ЦК-135/8, техн. № 1, зав. № 78002;ТУ;6321439320;"ООО ""ИЦ ФОРТИС""";соответствует;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-39249-2024;https://monitor-pb.ru/customer/7709930344;78002;компрессор;да
active;центробежный компрессор;62-ТУ-33220-2019;18.12.2019;8912001990;"ОАО ""Севернефтегазпром""";техническое устройство «Приспособление для монтажа сменной проточной части центробежного компрессора, зав. №б/н»;ТУ;7017216956;"ООО ""РУСЭНЕРГО""";соответствует;https://monitor-pb.ru/conclusion/62-%D0%A2%D0%A3-33220-2019;https://monitor-pb.ru/customer/8912001990;;компрессор;н/д
active;центробежный компрессор;41-ТУ-25619-2022;21.04.2022;8904034777;"ООО ""ГАЗПРОМ ДОБЫЧА ЯМБУРГ""";Заключение экспертизы промышленной безопасности на техническое устройство применяемое на опасном производственном объекте: Компрессор центробежный для транспортирования природного газа 16ГЦ2-450/26,5-45, зав.№3, инв.№302567Заключение экспертизы промышленной безопасности на техническое устройство применяемое на опасном производственном объекте: Компрессор центробежный для транспортирования природного газа 16ГЦ2-450/26,5-45, зав.№3, инв.№302567;ТУ;7805704098;"ООО ""МОНОЛИТ-СПБ""";соответствует;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-25619-2022;https://monitor-pb.ru/customer/8904034777;3;компрессор;нет
active;центробежный компрессор;03-ТУ-03507-2022;01.03.2022;6227007322;"АО ""РНПК""";Центробежный компрессор Elliot 20M91, поз. К-2003, установка УПВ, цех № 2;ТУ;5029124262;"ООО ""ПРОММАШ ТЕСТ"" (ИНН 5029124262)";соответствует;https://monitor-pb.ru/conclusion/03-%D0%A2%D0%A3-03507-2022;https://monitor-pb.ru/customer/6227007322;;компрессор;н/д
active;центробежный компрессор;03-ТУ-03511-2022;01.03.2022;6227007322;"АО ""РНПК""";Центробежный компрессор Elliot 20MB7, поз. К-1000, установка ГВГ, цех № 2;ТУ;5029124262;"ООО ""ПРОММАШ ТЕСТ"" (ИНН 5029124262)";соответствует;https://monitor-pb.ru/conclusion/03-%D0%A2%D0%A3-03511-2022;https://monitor-pb.ru/customer/6227007322;;компрессор;н/д
active;центробежный компрессор;03-ТУ-20329-2023;12.12.2023;6227007322;"АО ""РНПК""";Центробежный компрессор 4RSA-36B, поз. ТК-602, установка ЛЧ-35-11/600, цех № 3;ТУ;7725843681;"ООО ""ГАЗМАШПРОЕКТ""";соответствует;https://monitor-pb.ru/conclusion/03-%D0%A2%D0%A3-20329-2023;https://monitor-pb.ru/customer/6227007322;;компрессор;н/д
active;центробежный компрессор;03-ТУ-24444-2024;05.03.2024;6227007322;"АО ""РНПК""";Центробежный компрессор PAP Plus 150DA3, поз. К-7001/1, участок ХВП-2, цех № 12;ТУ;7725843681;"ООО ""ГАЗМАШПРОЕКТ""";соответствует;https://monitor-pb.ru/conclusion/03-%D0%A2%D0%A3-24444-2024;https://monitor-pb.ru/customer/6227007322;;компрессор;н/д
active;центробежный компрессор;03-ТУ-27238-2024;20.05.2024;6227007322;"АО ""РНПК""";Центробежный компрессор PAP Plus 150DA3, поз. К-7001/2М, участок ХВП-2, цех № 12;ТУ;7725843681;"ООО ""ГАЗМАШПРОЕКТ""";соответствует;https://monitor-pb.ru/conclusion/03-%D0%A2%D0%A3-27238-2024;https://monitor-pb.ru/customer/6227007322;;компрессор;н/д
active;центробежный компрессор;11-ТУ-759309-2026;26.03.2026;1121003135;"АО ""СЛПК""";техническое устройство, применяемое на опасном производственном объекте: Компрессор центробежный К-250-61-5, зав.№ 515, ст. № 4;ТУ;7710283356;"ООО ""ИКЦ ""ПРОМТЕХБЕЗОПАСНОСТЬ""";соответствует;https://monitor-pb.ru/conclusion/11-%D0%A2%D0%A3-759309-2026;https://monitor-pb.ru/customer/1121003135;515;компрессор;да
active;центробежный компрессор;13-ТУ-10219-2024;30.07.2024;4823006703;"ПАО ""НЛМК""";Азотный центробежный компрессор К-345-92-1, ст. №3, инв. №31591, Кислородного цеха;ТУ;4826127181;"ООО ИТЦ ""МОНОЛИТ""";соответствует;https://monitor-pb.ru/conclusion/13-%D0%A2%D0%A3-10219-2024;https://monitor-pb.ru/customer/4823006703;;компрессор;да
active;центробежный компрессор;22-ТУ-29843-2023;27.12.2023;5321029508;"ПАО ""АКРОН""";Центробежный компрессор поз. GC-049, зав. № М-0029, производства нитроаммофоски, цех нитроаммофоски № 1;ТУ;7709122844;"ООО НПП ""МЕХАНИК""";соответствует;https://monitor-pb.ru/conclusion/22-%D0%A2%D0%A3-29843-2023;https://monitor-pb.ru/customer/5321029508;M-0029;компрессор;да
active;центробежный компрессор;48-ТУ-27505-2021;08.06.2021;5920000593;"ООО ""ГАЗПРОМ ТРАНСГАЗ ЧАЙКОВСКИЙ""";Корпус центробежного нагнетателя (компрессора) ЦБН типа НЦ 16/76 зав. № 49, станц. № 62, инв. № 143274;ТУ;7805704098;"ООО ""МОНОЛИТ-СПБ""";соответствует;https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-27505-2021;https://monitor-pb.ru/customer/5920000593;49;компрессор;нет
active;центробежный компрессор;48-ТУ-63945-2022;19.10.2022;5920000593;"ООО ""ГАЗПРОМ ТРАНСГАЗ ЧАЙКОВСКИЙ""";корпус центробежного нагнетателя (компрессора) ЦБН типа НЦ-16/76 зав. №174, станц. №63, инв. №143169;ТУ;7805704098;"ООО ""МОНОЛИТ-СПБ""";соответствует;https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-63945-2022;https://monitor-pb.ru/customer/5920000593;174;компрессор;нет
active;центробежный компрессор;51-ТУ-20098-2023;02.08.2023;6314006396;"АО ""КНПЗ""";компрессор центробежный TD/DZ-1000 технологический индекс ТК-2, зав. № 121253/6;ТУ;6315579093;"ООО ""ИЦ ""АЭ-СИСТЕМЫ""";соответствует;https://monitor-pb.ru/conclusion/51-%D0%A2%D0%A3-20098-2023;https://monitor-pb.ru/customer/6314006396;121253/6;компрессор;да
