uroven_doveriya;predpriyatie_podtverzhdeno;novoe_predpriyatie;zapros;nomer;data;inn_zakazchika;zakazchik;obekt;tip;inn_eo;ekspertnaya_org;vyvod;istochnik;istochnik_zakazchik
только по процессу;нет;да;дожимная компрессорная станция;01-ЗС-23288-2023;25.09.2023;7725054856;"АО ""ВТИ""";сооружение: дожимная стационарная блочно-контейнерная компрессорная станция ДККС-810-1/2,5-13 (зав. №1) находящаяся по адресу: г. Москва, ул. Ленинская Слобода, д.23 стр.1;ЗС;7743319664;"ООО ""ТЕХПРОМАУДИТ""";соответствует;https://monitor-pb.ru/conclusion/01-%D0%97%D0%A1-23288-2023;https://monitor-pb.ru/customer/7725054856
только по процессу;нет;да;дожимная компрессорная станция;59-ЗС-14877-2025;02.06.2025;8905000428;"АО ""ГАЗПРОМНЕФТЬ-ННГ""";ЗАКЛЮЧЕНИЕ экспертизы промышленной безопасности №ННГ-54/10000/1146/Р/54 На здание на опасном производственном объекте Здание «Блок-бокс компрессорной ДНС-4», инв. № 86000240 расположенное на ОПО «Участок подготовки нефти с площадкой дожимной насосной станции №3 Холмогорского месторождения», рег.№ А59-60009-0533, II класс опасности, АО «Газпромнефть-Ноябрьскнефтегаз»;ЗС;8602253860;"ООО ""ЭКСПЕРТ-КОНТРОЛЬ""";соответствует;https://monitor-pb.ru/conclusion/59-%D0%97%D0%A1-14877-2025;https://monitor-pb.ru/customer/8905000428
только по процессу;нет;да;дожимная компрессорная станция;59-ЗС-04725-2020;10.02.2020;8905000428;"АО ""ГАЗПРОМНЕФТЬ-ННГ""";здание: «Станция блочная компрессорная» инвентарный № 85057059, заводской № б/н эксплуатируемое на опасном производственном объекте «Участок предварительной подготовки нефти совместно с площадкой дожимной насосной станции №1 Вынгапуровского месторождения» рег.№ А59-60009-0555 АО «Газпромнефть-ННГ».;ЗС;7720769385;"ООО ""ИНДУСТРИЯ""";соответствует;https://monitor-pb.ru/conclusion/59-%D0%97%D0%A1-04725-2020;https://monitor-pb.ru/customer/8905000428
только по процессу;нет;да;дожимная компрессорная станция;59-ЗС-04713-2020;10.02.2020;8905000428;"АО ""ГАЗПРОМНЕФТЬ-ННГ""";здание: блок-бокс «Станция компрессорная БКСА» инвентарный № 89055787, заводской № б/н эксплуатируемое на опасном производственном объекте «Площадка дожимной насосной станции №2 с УПСВ (ДНС-2 с УПСВ) Вынгапуровского месторождения» рег.№ А59-60009-0556 АО «Газпромнефть-ННГ».;ЗС;7720769385;"ООО ""ИНДУСТРИЯ""";соответствует;https://monitor-pb.ru/conclusion/59-%D0%97%D0%A1-04713-2020;https://monitor-pb.ru/customer/8905000428
только по процессу;нет;да;дожимная компрессорная станция;59-ЗС-04733-2020;10.02.2020;8905000428;"АО ""ГАЗПРОМНЕФТЬ-ННГ""";здание: «Блок-бокс компрессорной» инвентарный № 89270979, заводской № б/н эксплуатируемое на опасном производственном объекте «Участок предварительной подготовки нефти совместно с площадкой дожимной насосной станции №1 Вынгапуровского месторождения» рег.№ А59-60009-0555 АО «Газпромнефть-ННГ».;ЗС;7720769385;"ООО ""ИНДУСТРИЯ""";соответствует;https://monitor-pb.ru/conclusion/59-%D0%97%D0%A1-04733-2020;https://monitor-pb.ru/customer/8905000428
только по процессу;нет;да;дожимная компрессорная станция;59-ЗС-13560-2025;19.05.2025;8905000428;"АО ""ГАЗПРОМНЕФТЬ-ННГ""";ЗАКЛЮЧЕНИЕ экспертизы промышленной безопасности №ННГ-245/10000/1146/Р/245 На здание на опасном производственном объекте Здание «Станция компрессорной БКС на ДНС-2», инв. № 89055787 расположенное на ОПО «Площадка дожимной насосной станции №2 с установкой предварительного сброса воды (ДНС-2 с УПСВ) Вынгапуровского месторождения», рег.№ А59-60009-0556, II класс опасности, АО «Газпромнефть-Ноябрьскнефтегаз»;ЗС;8602253860;"ООО ""ЭКСПЕРТ-КОНТРОЛЬ""";соответствует;https://monitor-pb.ru/conclusion/59-%D0%97%D0%A1-13560-2025;https://monitor-pb.ru/customer/8905000428
только по процессу;нет;да;дожимная компрессорная станция;48-ЗС-20145-2023;20.03.2023;8905000428;"АО ""ГАЗПРОМНЕФТЬ-ННГ""";Здание: «Блок-бокс компрессорной ДНС-4» инвентарный № 86000240, заводской № б/н, эксплуатируемое на опасном производственном объекте «Участок предварительной подготовки нефти с площадкой дожимной насосной станции №3 Холмогорского месторождения» рег.№ А59-60009-0533 АО «Газпромнефть-ННГ»;ЗС;7720769385;"ООО ""ИНДУСТРИЯ""";соответствует;https://monitor-pb.ru/conclusion/48-%D0%97%D0%A1-20145-2023;https://monitor-pb.ru/customer/8905000428
только по процессу;нет;да;дожимная компрессорная станция;74-ТП-00831-2018;22.02.2018;2540080100;"АО ""ДВЭУК""";"Документация ""Техническое перевооружение мини-ТЭЦ ""Центральная"". Замена дожимных компрессорных станций""";ТП;2536282255;"ООО ""ИНЖЕНЕРНО-ТЕХНИЧЕСКАЯ КОМПАНИЯ ТЕХНОЛОГИЯ""";соответствует;https://monitor-pb.ru/conclusion/74-%D0%A2%D0%9F-00831-2018;https://monitor-pb.ru/customer/2540080100
только по процессу;нет;да;дожимная компрессорная станция;39-ЗС-41430-2025;05.08.2025;7704784450;"АО ""ИНТЕР РАО-ЭЛЕКТРОГЕНЕРАЦИЯ""";"Заключение экспертизы промышленной безопасности на здание и сооружение: «Газопровод ППГ БППГ-1» (Внутренний стальной газопровод с рабочим давлением 0,79-4,4 МПа) с установленными на нем техническими устройствами» в составе «Дожимной компрессорной станции на базе компрессоров ARIEL типа JGZ/6 энергоблока № 1, Рег.№193, Зав.№F21336, Зав.№F21337» расположенное по адресу: Калининградская обл, Гурьевский район, поселок Луговое, ул. Энергетическая,1; Калининградская обл., г. Калининград, пер. Энергетиков, дом №2, Филиал «Калининградская ТЭЦ-2»АО «Интер РАО - Электрогенерация»";ЗС;4826129830;"ООО ""КОНСТРУКЦИЯ""";соответствует;https://monitor-pb.ru/conclusion/39-%D0%97%D0%A1-41430-2025;https://monitor-pb.ru/customer/7704784450
только по процессу;нет;да;дожимная компрессорная станция;21-ЗС-22829-2024;17.10.2024;7704784450;"АО ""ИНТЕР РАО-ЭЛЕКТРОГЕНЕРАЦИЯ""";"Трубопровод отвода газового конденсата БППГ-2, в составе Дожимной компрессорной станции на базе компрессоров ARIEL типа JGZ/6 в комплекте с пунктом подготовки газа энергоблока №2, Рег.№195, расположенное по адресу: Калининградская обл, Гурьевский район, поселок Луговое, ул. Энергетическая,1; Калининградская обл., г. Калининград, пер. Энергетиков, дом№2, Филиал «Калининградская ТЭЦ-2» АО «Интер РАО - Электрогенерация»";ЗС;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/21-%D0%97%D0%A1-22829-2024;https://monitor-pb.ru/customer/7704784450
только по процессу;нет;да;дожимная компрессорная станция;21-ЗС-22831-2024;17.10.2024;7704784450;"АО ""ИНТЕР РАО-ЭЛЕКТРОГЕНЕРАЦИЯ""";"«Газопровод ППГ БППГ-2» (Внутренний стальной газопровод с рабочим давлением 0,79-4,4 МПа) в составе Дожимной компрессорной станции на базе компрессоров ARIEL типа JGZ/6 в комплекте с пунктом подготовки газа энергоблока №2, Рег.№195, расположенное по адресу: Калининградская обл, Гурьевский район, поселок Луговое, ул. Энергетическая,1; Калининградская обл., г. Калининград, пер. Энергетиков, дом№2, Филиал «Калининградская ТЭЦ-2» АО «Интер РАО - Электрогенерация»";ЗС;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/21-%D0%97%D0%A1-22831-2024;https://monitor-pb.ru/customer/7704784450
только по процессу;нет;да;дожимная компрессорная станция;39-ЗС-377577-2025;20.10.2025;7704784450;"АО ""ИНТЕР РАО-ЭЛЕКТРОГЕНЕРАЦИЯ""";"Заключение экспертизы промышленной безопасности № 3100-2025-ЗС на сооружение – Трубопровод отвода газового конденсата БППГ-1, в составе Дожимной компрессорной станции на базе компрессоров ARIEL типа JGZ/6 в комплекте с пунктом подготовки газа энергоблока №1, Рег.№ 193 эксплуатируемое на опасном производственном объекте «Сеть газопотребления филиала ""Калининградская ТЭЦ-2""» (рег. № А01-12185-0020, II класс опасности), место нахождение (адрес) ОПО: Калининградская обл, Гурьевский район, поселок Луговое, ул. Энергетическая, 1; Калининградская обл., г. Калининград, пер Энергетиков, дом №2";ЗС;5029198296;"ООО ""ТЕХНОЛОГИЯ"" (ИНН 5029198296)";соответствует;https://monitor-pb.ru/conclusion/39-%D0%97%D0%A1-377577-2025;https://monitor-pb.ru/customer/7704784450
только по процессу;нет;да;дожимная компрессорная станция;21-ЗС-08485-2025;21.05.2025;7704784450;"АО ""ИНТЕР РАО-ЭЛЕКТРОГЕНЕРАЦИЯ""";"здание и сооружение: «Газопровод дожимной компрессорной станции на базе компрессоров ARIEL типа JGZ/6 Рег. № 195, Зав. № F33393, Зав. № F33394 с установленными на нем техническими устройствами» расположенное по адресу: Калининградская обл, Гурьевский р-он, п. Луговое, ул. Энергетическая, 1; Калининградская обл., г. Калининград, пер. Энергетиков, д.2, филиал «Калининградская ТЭЦ-2» АО «Интер РАО - Электрогенерация»";ЗС;4826129830;"ООО ""КОНСТРУКЦИЯ""";соответствует;https://monitor-pb.ru/conclusion/21-%D0%97%D0%A1-08485-2025;https://monitor-pb.ru/customer/7704784450
только по процессу;нет;да;дожимная компрессорная станция;25-ЗС-21152-2025;24.06.2025;7704784450;"АО ""ИНТЕР РАО-ЭЛЕКТРОГЕНЕРАЦИЯ""";"Заключение экспертизы промышленной безопасности на здание и сооружение: «Газопровод дожимной компрессорной станции на базе компрессоров ARIEL типа JGZ/6 энергоблока № 1, Рег.№193, Зав.№F21336, Зав.№F21337 с установленными на нем техническими устройствами» расположенное по адресу: Калининградская обл, Гурьевский район, поселок Луговое, ул. Энергетическая,1; Калининградская обл., г. Калининград, пер. Энергетиков, дом №2, Филиал «Калининградская ТЭЦ-2» АО «Интер РАО - Электрогенерация»";ЗС;4826129830;"ООО ""КОНСТРУКЦИЯ""";соответствует;https://monitor-pb.ru/conclusion/25-%D0%97%D0%A1-21152-2025;https://monitor-pb.ru/customer/7704784450
только по процессу;нет;да;дожимная компрессорная станция;82-ЗС-531165-2025;05.12.2025;9102070194;"АО ""КРЫМТЭЦ""";ЗАКЛЮЧЕНИЕ ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ № 3966-2025-ЗС здания, на опасном производственном объекте: «Площадка Сакской ТЭЦ АО «КРЫМТЭЦ»» здание дожимной компрессорной станции (ДКС) Эксплуатирующая организация: Акционерное общество «КРЫМТЕПЛОЭЛЕКТРОЦЕНТРАЛЬ»;ЗС;5029198296;"ООО ""ТЕХНОЛОГИЯ"" (ИНН 5029198296)";соответствует;https://monitor-pb.ru/conclusion/82-%D0%97%D0%A1-531165-2025;https://monitor-pb.ru/customer/9102070194
только по процессу;нет;да;дожимная компрессорная станция;70-ТУ-09588-2017;25.12.2017;2457081355;"АО ""НОРИЛЬСКТРАНСГАЗ""";"Аппарат воздушного охлаждения газа горизонтального типа, эксплуатируемый на открытой площадке Южно-Соленинской компрессорной станции (дожимной) АО «Норильсктрансгаз» (ОПО III класса опасности, рег. №А70-00257-0009 от 16.02.2017 г.); назначение – охлаждение природного газа на выходе I-ой очереди ДКС.";ТУ;7816374814;"ООО ""ГЦЭ - СЕВЕР""";не соответствует;https://monitor-pb.ru/conclusion/70-%D0%A2%D0%A3-09588-2017;https://monitor-pb.ru/customer/2457081355
только по процессу;нет;да;дожимная компрессорная станция;28-ЗС-31373-2024;25.12.2024;7610070114;"АО ""ОДК-Газовые турбины""";ЗАКЛЮЧЕНИЕ ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ рег. № НПО-2024/1183-03-1 на сооружение на опасном производственном объекте Регистрационный № ОПО: А18-03731-0013 Класс опасности ОПО: II Наименование ОПО: Сеть газопотребления ОИС Объект экспертизы: Газопровод высокого давления 1 а категории от дожимной компрессорной станции (ДКС) до штатных систем топливопитания испытываемых агрегатов Адрес объекта экспертизы: Ярославская область, г. Рыбинск, ул. Толбухина, 16;ЗС;3328401520;"АО НПО ""ТЕХКРАНЭНЕРГО""";соответствует;https://monitor-pb.ru/conclusion/28-%D0%97%D0%A1-31373-2024;https://monitor-pb.ru/customer/7610070114
только по процессу;нет;да;дожимная компрессорная станция;46-ТУ-02809-2019;23.01.2019;7706757331;"АО ""РИР""";комплекса технических устройств дожимной компрессорной станции (ДКС), применяемого (входящего в состав) на опасном производственном объекте «Сеть газопотребления ТЭЦ», рег. №Р01-00120-0014, эксплуатируемого филиалом АО «Объединенная теплоэнергетическая компания» (АО «ОТЭК) в г. Глазове;ТУ;1831168759;"ООО ""КОРПОРАЦИЯ АЛЬТОН""";соответствует;https://monitor-pb.ru/conclusion/46-%D0%A2%D0%A3-02809-2019;https://monitor-pb.ru/customer/7706757331
только по процессу;нет;да;дожимная компрессорная станция;41-ЗС-84150-2022;23.12.2022;7706757331;"АО ""РИР""";корпус 76Т (здание дожимной компрессорной станции (дкс) с благоустройством инв. № 10100000351), филиал акционерного общества «Русатом Инфраструктурные решения» в г. Глазове по адресу: г. Глазов, Удмуртская республика, Россия;ЗС;0277104715;"ООО ПЭК ""ГАРАНТ""";соответствует;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-84150-2022;https://monitor-pb.ru/customer/7706757331
только по процессу;нет;да;дожимная компрессорная станция;61-ЗС-18482-2018;03.10.2018;5406323202;"АО ""ТГК-11""";здание дожимной компрессорной станции ТЭЦ-3 АО «ТГК-11», эксплуатируемое на опасном производственном объекте «Сеть газопотребления структурного подразделения «ТЭЦ-3» АО «ТГК-11», рег. №А60-06376-0043, по адресу: 644035, г. Омск, пр. Губкина, д.7;ЗС;2721215817;"ООО ""ИТК ""ДИАГНОСТИКА И КОНТРОЛЬ""";соответствует;https://monitor-pb.ru/conclusion/61-%D0%97%D0%A1-18482-2018;https://monitor-pb.ru/customer/5406323202
только по процессу;нет;да;дожимная компрессорная станция;61-ЗС-89294-2023;07.12.2023;5406323202;"АО ""ТГК-11""";"Заключение № 252-ЗС/2023-ЭПБ экспертизы промышленной безопасности сооружения на опасном производственном объекте. Сооружение ""Дожимная компрессорная станция"", эксплуатируемое структурным подразделением ""ТЭЦ-3"" АО ""ТГК-11"" на опасном производственном объекте ""Сеть газопотребления структурного подразделения ""ТЭЦ-3"" АО ""ТГК-11"" (рег. № А60-06376-0043, III класс опасности) расположенное по адресу: г. Омск, пр. Губкина, дом 7";ЗС;7720751331;"ООО ""ПРОЕКТИР""";соответствует;https://monitor-pb.ru/conclusion/61-%D0%97%D0%A1-89294-2023;https://monitor-pb.ru/customer/5406323202
только по процессу;нет;да;доменное дутьё;11-ТУ-11912-2023;30.08.2023;7105008031;"АО ""Тулачермет""";Трубопровод пара на увлажнение дутья доменной печи №3, рег.№19-П;ТУ;7105509750;"ООО ""ЭКСПЕРТ СВ""";соответствует;https://monitor-pb.ru/conclusion/11-%D0%A2%D0%A3-11912-2023;https://monitor-pb.ru/customer/7105008031
только по процессу;нет;да;дожимная компрессорная станция;16-ТУ-10223-2014;27.06.2014;5257072937;"ОАО ""ТГК-6""";"компрессорный модуль зав. №230204 в составе (сепаратор зав. №240204, теплообменник 2ХПСМ300-2Х56 зав. №3451008, фильтр газовый зав. №270204) дожимной стационарной блочно-контейнерной компрессорной станции ДККС-16-3 У1 зав. №001, принадлежащий ИвТЭЦ-1 Ивановского филиала ОАО ""ТГК-6""";ТУ;3702547262;"ООО ""Промэнергоэкспертиза"" (ИНН 3702547262)";соответствует;https://monitor-pb.ru/conclusion/16-%D0%A2%D0%A3-10223-2014;https://monitor-pb.ru/customer/5257072937
только по процессу;нет;да;дожимная компрессорная станция;16-ТУ-10226-2014;27.06.2014;5257072937;"ОАО ""ТГК-6""";"компрессорный модуль зав. №320204 в составе (сепаратор зав. №330204, теплообменник 2ХПСМ300-2Х56 зав. №1600605, фильтр газовый зав. №360204) дожимной стационарной блочно-контейнерной компрессорной станции ДККС-16-3 У1 зав. №001, принадлежащий ИвТЭЦ-1 Ивановского филиала ОАО ""ТГК-6""";ТУ;3702547262;"ООО ""Промэнергоэкспертиза"" (ИНН 3702547262)";соответствует;https://monitor-pb.ru/conclusion/16-%D0%A2%D0%A3-10226-2014;https://monitor-pb.ru/customer/5257072937
только по процессу;нет;да;дожимная компрессорная станция;02-ЗС-07143-2019;15.05.2019;5053067248;"ООО ""Агрокомплекс ""Иванисово""";Здание дожимной компрессорной станции, расположенное по адресу: Московская область, г. Электросталь, проезд Энергетиков, д. 2, на опасном производственном объекте рег.№ А02-91508-0001 «Сеть газопотребления ЭПТК «ГТУ-ТЭЦ г. Электросталь» (ТЭЦ-29), II класс. Заказчик: Общество с ограниченной ответственностью «Агрокомплекс «Иванисово» (ООО «Агрокомплекс «Иванисово»);ЗС;3327130042;"ООО ""ПРОМТЕХЭКСПЕРТ"" (ИНН 3327130042)";не в полной мере;https://monitor-pb.ru/conclusion/02-%D0%97%D0%A1-07143-2019;https://monitor-pb.ru/customer/5053067248
только по процессу;нет;да;дожимная компрессорная станция;02-ТУ-09857-2019;26.06.2019;5053067248;"ООО ""Агрокомплекс ""Иванисово""";газовое оборудование и внутренние газопроводы дожимной компрессорной станции, принадлежащие: ООО «Агрокомплекс «Иванисово» и находящихся по адресу: Московская область, г. Электросталь, пр-д Энергетиков, дом 2.;ТУ;5018098596;"ООО ""ТЕПЛО КРАН ЭКСПЕРТ""";соответствует;https://monitor-pb.ru/conclusion/02-%D0%A2%D0%A3-09857-2019;https://monitor-pb.ru/customer/5053067248
только по процессу;нет;да;дожимная компрессорная станция;41-ЗС-11394-2022;02.03.2022;0277106840;"ООО ""БАШНЕФТЬ-ДОБЫЧА""";Здание воздушная компрессорная, инв. № 726586 на опасном производственном объекте Площадка дожимной насосной станции ДНС «Южная» ООО «Башнефть-Добыча» рег. № А41-05127-0071 (II класс опасности);ЗС;7425003297;"АО НТЦ ""ДИАГНОСТИКА""";не в полной мере;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-11394-2022;https://monitor-pb.ru/customer/0277106840
только по процессу;нет;да;дожимная компрессорная станция;41-ЗС-57606-2022;22.09.2022;0277106840;"ООО ""БАШНЕФТЬ-ДОБЫЧА""";Здание воздушная компрессорная, инв. № 726586 на опасном производственном объекте Площадка дожимной насосной станции ДНС «Южная» ООО «Башнефть-Добыча» рег. № А41-05127-0071 (II класс опасности);ЗС;7425003297;"АО НТЦ ""ДИАГНОСТИКА""";не в полной мере;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-57606-2022;https://monitor-pb.ru/customer/0277106840
только по процессу;нет;да;дожимная компрессорная станция;01-ТП-09807-2025;16.05.2025;7704173066;"ООО ""ВЕГА-ГАЗ""";ЗАКЛЮЧЕНИЕ ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ № 0023-2025 Документации на техническое перевооружение опасного производственного объекта «Площадка Газоперерабатывающей установки - 1 (ГПУ-1) производства пиролиза углеводородов нефти, очистки, компримирования, разделения пирогаза» (рег. № А35-00154-0035, III класс опасности): «Техническое перевооружение АСУТП дожимной компрессорной станции КЦ-301 установки ГПУ-1 с узлом утилизации тепла отходящих дымовых газов ООО «СТАВРОЛЕН», шифр 34100032-02-01_2024-КА (разработчик ООО «Вега-ГАЗ»/ ООО «ЛУКОЙЛ-ТЕХНОЛОГИИ», 2025 год);ТП;7727318350;"ООО ""ЭКСПЕРТСЕРВИС-М""";соответствует;https://monitor-pb.ru/conclusion/01-%D0%A2%D0%9F-09807-2025;https://monitor-pb.ru/customer/7704173066
только по процессу;нет;да;дожимная компрессорная станция;78-ОБ-513503-2025;01.12.2025;7813488933;"ООО ""ГК ""ТЭК""";Заключение экспертизы промышленной безопасности №729/2025-ОБ обоснования безопасности опасного производственного объекта «Участок комплексной подготовки газа Семаковского газового месторождения» ООО «РусГазАльянс» (в составе проектной документации «Обустройство газового месторождения Семаковское. Первая очередь». Этап 1. Установка комплексной подготовки газа (УКПГ), дожимная компрессорная станция (ДКС). Расширение.»);ОБ;7802644404;"ООО ""ТРИЭКС""";соответствует;https://monitor-pb.ru/conclusion/78-%D0%9E%D0%91-513503-2025;https://monitor-pb.ru/customer/7813488933
