fio;dolzhnost_doslovno;predpriyatie_v_istochnike;inn;nash_spisok;data_istochnika;tochnost_daty;ssylka;uroven_privyazki;telefon;kommentariy
Игнатов Игорь Валериевич;главный инженер — первый заместитель генерального директора ООО «Газпром добыча Уренгой» (назначен в мае 2022);ООО «Газпром добыча Уренгой»;8904034784;воздушный топ;2022-05;дата назначения из текста источника;https://urengoy-dobycha.gazprom.ru/about/managers/ignatov/;L2 страница руководства своего сайта;;"единственная годная запись, добытая ШИРОКОЙ фразой; страница с сервера не открылась (WinError 10060), данные из сниппета SERP"
Язев Кирилл;главный инженер АО «РНПК»;АО «РНПК» (Рязанская НПК);6227007322;воздушный топ;2020-10-19;мета-тег публикации;https://ryazannews.ru/fn_620528.html;L3 СМИ, полное название в тексте;;на дату публикации был врио руководителя предприятия
Степанников Сергей;главный инженер АО «Куйбышевский НПЗ»;АО «Куйбышевский НПЗ»;6314006396;воздушный топ;2019-04-29;мета-тег публикации;https://www.samara.kp.ru/daily/26972/4029248/;L3 СМИ, полное название в тексте;;
Романов Максим;главный инженер АО «Новокуйбышевский НПЗ»;АО «Новокуйбышевский НПЗ»;6330000553;воздушный топ;2019-01-21;мета-тег публикации;https://www.samara.kp.ru/daily/26931.5/3982048/;L3 СМИ, полное название в тексте;;
Каленюк Денис;заместитель генерального директора – главный инженер;ООО «ЛУКОЙЛ-Пермнефтеоргсинтез»;5905099475;воздушный топ;;дата не установлена;https://vk.com/wall-194320725_454;L4 соцсеть (страница не читается с сервера);;есть второй след в PDF на mopo.lukoil.ru — тоже без даты
Братчиков Владислав Владимирович;главный инженер ООО «ЛУКОЙЛ-Пермнефтеоргсинтез»;ООО «ЛУКОЙЛ-Пермнефтеоргсинтез»;5905099475;воздушный топ;;дата не установлена;https://inndex.ru/ul/perm/ogrn-1025901216571-b49-ooo-lukoyl-permnefteorgsintez;L4 справочник (ОГРН в URL совпадает с предприятием);;конфликт с Каленюком: кто действующий — не установлено
Прокопенко А.В.;главный инженер ООО «Ставролен»;ООО «Ставролен»;2624022320;воздушный топ;;дата не установлена;https://inndex.ru/ul/budennovsk/ogrn-1022603220518-574-ooo-stavrolen;L4 справочник (ОГРН в URL совпадает);;на той же странице второй «главный инженер» — Афонин А.В.
Афонин А.В.;главный инженер;ООО «Ставролен»;2624022320;воздушный топ;;дата не установлена;https://inndex.ru/ul/budennovsk/ogrn-1022603220518-574-ooo-stavrolen;L4 справочник;;два имени на одну роль без дат — обе непригодны для звонка без проверки
Лебедев Михаил Юрьевич;главный инженер;ФКП «Завод имени Я.М.Свердлова»;5249002485;воздушный топ;;дата не установлена;https://inndex.ru/ul/dzerzhinsk/ogrn-1025201752982-714-fkp-zavod-imeni-yamsverdlova;L4 справочник (ОГРН в URL совпадает);;
Романенко Павел Михайлович;первым заместителем генерального директора - главным инженером «ПОЛИЭФ» назначен;АО «ПОЛИЭФ»;0258005638;воздушный топ;;дата не установлена (пост с меткой #НовоеНазначение);https://vk.com/wall-78442975_844;L4 соцсеть (vk.com с сервера не читается);;"событие назначения; дату надо взять со страницы вручную"
Юрин Михаил (М.Н. Юрин);главный инженер АО «ПОЛИЭФ» (позже генеральный директор);АО «ПОЛИЭФ»;0258005638;воздушный топ;;дата не установлена;https://kaskad-stroy.com/pdf/recall/otzyv_ot_Polief.pdf;L4 отзыв на сайте подрядчика;;УСТАРЕЛО: ушёл на позицию генерального директора
Михайленко Сергей;главный инженер ООО «ОФ «Прокопьевскуголь»;ООО «ОФ «Прокопьевскуголь»;4223036696;воздушный топ;2014-08-11;видимая дата на странице;https://27trk.ru/news/prokopievsk/76239/;L3 СМИ, полное юрлицо в тексте;;старше 2 лет
Чураков Сергей;главный инженер ОФ «Прокопьевскуголь»;ООО «ОФ «Прокопьевскуголь»;4223036696;воздушный топ;2017-08-15;видимая дата на странице;https://uk42.ru/index.php?id=5706;L3 СМИ, название площадки в тексте;;сменил Михайленко за 3 года
Диконенко Виктор Владимирович;главный инженер;ООО «Норильскникельремонт»;2457061937;воздушный топ;;дата не установлена;https://vk.com/wall-201333740_25;L4 соцсеть (не читается с сервера);;
Картыжов Степан;главный инженер;ОАО «Щекиноазот»;7118004789;воздушный топ;;дата не установлена;https://m.ok.ru/group/59807739215988/topic/154013538592116;L4 соцсеть;;ФИО вырезано из фразы «Сегодня Степан Картыжов — главный инженер», проверить
Антонюк Сергей Владимирович;главный инженер, ООО «Краснодар Водоканал»;ООО «Краснодар Водоканал»;2308111927;водоканалы;;дата не установлена (страница без даты);https://krasnodar.rosvodokanal.ru/about/development/public_council/composition/;L2 свой сайт, состав общественного совета;;самая надёжная привязка в выборке: юрлицо подписано в той же строке
Родин Герасим;главный инженер ООО «Краснодар Водоканал»;ООО «Краснодар Водоканал»;2308111927;водоканалы;2022-02-20;мета-тег публикации;https://kubantv.ru/obshhestvo/pervyj-jetap-rekonstrukcii-golovatovskogo-kollektora-zavershilsja-v-krasnodare/;L3 СМИ, полное название в тексте;;ВНИМАНИЕ: тот же человек числится главным инженером АО «ОмскВодоканал» — обе компании в Росводоканале
Родин Герасим Борисович;главный инженер;АО «ОмскВодоканал»;5504097128;водоканалы;;дата не установлена;https://inndex.ru/ul/omsk/ogrn-1045507037344-26c-ao-omskvodokanal;L4 справочник (ОГРН в URL совпадает);;см. предыдущую строку: одно ФИО в двух юрлицах (ловушка В3)
Хохлов Денис;главный инженер «ОмскВодоканала» (исполняет обязанности генерального директора);АО «ОмскВодоканал»;5504097128;водоканалы;2022-01-12;видимая дата на странице;https://superomsk.ru/news/109836-sdelano_vajnoe_utochnenie_po_novomu_glave_omskvodo/;L3 СМИ, привязка по названию;;подтверждён вторым источником omsk.bezformata 2022-01-11
Толмачев Андрей;главный инженер «Челныводоканала»;ООО «Челныводоканал»;1650297657;водоканалы;2022-04-06;мета-тег публикации;https://chelny-biz.ru/news/484716/;L3 СМИ, привязка по названию;;подтверждён вторым СМИ chelny-izvest.ru
Асадуллин Динар Илгизарович;главный инженер ООО «Челныводоканал»;ООО «Челныводоканал»;1650297657;водоканалы;2016-06;видимая дата на странице;https://skp.tatarstan.ru/index.htm/news/2469111.htm;L3 госсайт, полное юрлицо в списке;;УСТАРЕЛО относительно Толмачева (2022)
Тишанинов Сергей;главный инженер «РВК-Воронеж»;ООО «РВК-Воронеж»;7726671234;водоканалы;2025-07-01;видимая дата на странице;https://gorduma-voronezh.ru/news/detail.php?ID=11207;L3 сайт гордумы, выступление на комиссии;;свежее 2 лет
Щукин Сергей;ГЛАВНЫЙ ИНЖЕНЕР ОАО «ХИМКИНСКИЙ ВОДОКАНАЛ»;ОАО «Химкинский водоканал»;5047081156;водоканалы;2026-04-02;видимая дата на странице;https://www.himkismi.ru/news/society/v-khimkakh-resursosnabzhayushchie-organizatsii-vedut-blagoustroystvo-posle-provedennykh-rabot-/;L3 СМИ, полное название в подписи титра;;"свежее 2 лет; сменил Чудова за 21 месяц"
Чудов Вячеслав Валерьевич;ГЛАВНЫЙ ИНЖЕНЕР ОАО «ХИМКИНСКИЙ ВОДОКАНАЛ»;ОАО «Химкинский водоканал»;5047081156;водоканалы;2024-07-09;видимая дата на странице;https://www.himkismi.ru/news/gkh/v-novogorsk-parke-zavershaetsya-stroitelstvo-vodoreguliruyushchego-uzla/;L3 СМИ, полное название в подписи титра;;УСТАРЕЛО: в 2026 роль у Щукина
Смехов Василий;главный инженер «Горводоканала» г. Сургута;СГМУП «Горводоканал» (Сургут);8602016725;водоканалы;2023-10-12;видимая дата на странице;https://ugra-tv.ru/news/zhkkh/eshchye_odin_punkt_sliva_stochnykh_vod_poyavitsya_v_surgute/;L3 СМИ, город назван в подписи;;
Щербаков Константин;главный инженер «Горводоканала»;СГМУП «Горводоканал» (Сургут);8602016725;водоканалы;2022-02-23;мета-тег публикации;https://stribuna.ru/articles/economics/na_remont_inzhenernykh_setey_surguta_nuzhen_pochti_milliard_rubley/;L3 СМИ, сургутское издание;;УСТАРЕЛО относительно Смехова (2023)
Ким Семен;главный инженер Водоканала;СГМУП «Горводоканал» (Сургут);8602016725;водоканалы;2021-05-03;мета-тег публикации;https://sitv.ru/arhiv/news/v-surgute-uvolilsya-direktor-krupnogo-municzipalnogo-predpriyatiya/;L3 СМИ, сургутское издание;;третье имя на одну роль за 30 месяцев
Айзятов Равиль;главный инженер АО «Уренгойгорводоканал»;АО «Уренгойгорводоканал»;8904046652;водоканалы;2015-07-21;мета-тег публикации;https://sever-press.ru/news/sever-press/v-domakh-novogo-urengoya-iz-za-remonta-vodoprovodnykh-setej-techet-rzhavaya-voda/;L3 СМИ, полное название в тексте;;УСТАРЕЛО
Тюрин Станислав;главный инженер АО «Уренгойгорводоканал»;АО «Уренгойгорводоканал»;8904046652;водоканалы;2017-06-15;мета-тег публикации;https://tv-impulse.ru/news/city-life/sotrudniki-laquo-urengoygorvodokanala-raquo-gotovyatsya-k-nbsp-zime/;L3 СМИ, полное название в тексте;;сменил Айзятова за 23 месяца
Лукьянчук Максим;заместитель генерального директора – главный инженер ГУП «Водоканал Санкт-Петербурга»;ГУП «Водоканал Санкт-Петербурга»;7830000426;водоканалы №1 по выручке;2025-04-14;дата в URL публикации;https://www.polyplastic.ru/press/news/2025/04/14/item22888;L3 пресс-релиз поставщика, полное название;;свежее 2 лет
Павлюченко Дмитрий Иванович;главный инженер ООО «Барнаульский водоканал»;ООО «Барнаульский водоканал»;2221064060;водоканалы;;дата не установлена;https://inndex.ru/ul/barnaul/ogrn-1042201872800-5c4-ooo-barnaulskiy-vodokanal;L4 справочник (ОГРН в URL);;ОГРН из URL с ИНН не сверен: inndex.ru закрывает соединение серверу
Сухарев Андрей Николаевич;главным инженером АО «Теплосеть Санкт-Петербурга» назначен решением Совета директоров;АО «Теплосеть Санкт-Петербурга»;;нет в базе;;дата не установлена;https://aotek.spb.ru/press/news/andrey-sukharev-naznachen-glavnym-inzhenerom-ao-teploset-sankt-peterburga/;L2 свой сайт (ИНН 7830001028 в подвале);;событие назначения на своём сайте — самый чистый формат из найденных
Лырин Олег;техническим директором-главным инженером ООО «Воркутинские ТЭЦ» назначен (с 25 февраля);ООО «Воркутинские ТЭЦ»;;нет в базе;2026;видимая (НЕНАДЁЖНО);https://1000inf.ru/news/94240/;L3 СМИ, полное юрлицо в тексте;;дату публикации проверить вручную
Айгистов Марат;назначен главным инженером АЛРОСА;АК «АЛРОСА»;;нет в базе;2022-03-22;видимая дата на странице;https://almaz-media.tv/syuzhetyi/mirnyy/16469-marat-ajgistov-naznachen-glavnym-inzhenerom-alrosa.html;L3 региональное ТВ;;
Балыкин Вадим;назначен главным инженером (ранее генеральный директор ТПП «Урайнефтегаз»);ООО «ЛУКОЙЛ-Западная Сибирь»;;нет в базе;2025-01-27;мета-тег публикации;https://ura.news/news/1052880892;L3 СМИ;;предприятие названо в заголовке как «дочка Лукойла в ХМАО» — юрлицо уточнить
Уланов Денис Александрович;Главным инженером ПАО «ТГК-14» c 13 августа 2024 года назначен;ПАО «ТГК-14»;;нет в базе;2024-08-13;дата назначения из текста источника;https://www.eprussia.ru/news/base/2024/3627196.htm;L3 отраслевое СМИ, полное название;;"свежее 2 лет; дата события, а не публикации"
Свиридов Алексей;главный инженер — первый заместитель генерального директора ООО «Газпром трансгаз Югорск»;ООО «Газпром трансгаз Югорск»;;нет в базе;2023-08;дата в URL публикации;https://yugorsk-tr.gazprom.ru/press/news/2023/08/aleksey-sviridov-naznachen-glavnym-inzhenerom-pervym-zamestitelem-generalnogo-direktora-ooo-gazprom-transgaz-yugorsk/;L2 свой сайт предприятия;;
Горшков Николай;Главным инженером ООО «Дубровская ТЭЦ» назначен;ООО «Дубровская ТЭЦ»;;нет в базе;;дата не установлена;https://dubrovtec.ru/news/nikolay-gorshkov-naznachen-glavnym-inzhenerom-ooo-dubrovskaya-tec;L2 свой сайт предприятия;;
Иванов Станислав;На должность главного инженера Пензенского филиала ПАО «Т Плюс» назначен;ПАО «Т Плюс», Пензенский филиал;;нет в базе;;дата не установлена;https://penzavzglyad.ru/news/177988/stanislav-ivanov-naznachen-glavnym-inzhenerom-penzenskogo-filiala-pao-t-plyus;L3 СМИ, филиал назван;;роль на уровне филиала
Вепрев Михаил;главный инженер Пермского филиала ПАО «Т Плюс»;ПАО «Т Плюс», Пермский филиал;;нет в базе;2024-07-26;мета-тег публикации;https://perm.aif.ru/gorod/infrastructure/v-permi-sokratyatsya-sroki-podklyucheniya-zdaniy-k-inzhenernym-setyam-kompaniy;L3 СМИ;;ИСПРАВЛЕНО: автомат приписал его ООО «НГИ Прикамья» (ИНН 5902817382) — в тексте это другой человек, Касаткин, главный управляющий
Монастырский Денис;назначен главным инженером предприятия (Синарский трубный завод);АО «СинТЗ»;;нет в базе;2025-02-18;видимая (НЕНАДЁЖНО);https://ku66.ru/news/na_sintz_naznachili_novogo_glavnogo_inzhenera;L3 городское СМИ;;"предшественник — Засельский Евгений; ранее роль занимала Тихонцева Надежда (vk.com/wall-125739004_1757)"
