inn;nash_zakazchik_epb;nazvanie_v_erknm;vid_nadzora;vid_knm;status;data_nachala;organ;adres_obekta;erpid;tekst_predosterezheniya;istochnik;data_sbora
1102024468;"ООО ""ГАЗПРОМ ТРАНСГАЗ УХТА""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ ТРАНСГАЗ УХТА""";Региональный государственный контроль (надзор) в области технического состояния и эксплуатации самоходных машин и других видов техники;Объявление предостережения;Предостережение объявлено;2026-06-04;СЛУЖБА ТЕХНИЧЕСКОГО КОНТРОЛЯ (НАДЗОРА) РЕСПУБЛИКИ КОМИ;респ Коми, г Ухта, наб Газовиков, д 10/1;11261417100021958123;" На основании задания на проведение контрольного (надзорного) мероприятия без взаимодействия отделом надзора за самоходными машинами Службы технического контроля (надзора) Республики Коми (далее – Служба) проведено наблюдение за соблюдением обязательных требований (мониторинг безопасности) на предмет выявления соответствия объектов контроля (надзора) параметрам, утвержденным индикаторами риска нарушения обязательных требований в отношении владельцев самоходных машин и других видов техники, за которыми зарегистрировано более 200 ед. техники согласно сведениям государственной информационной системы Республики Коми управления органами гостехнадзора (ГИС «Гостехнадзор»). В ходе проведения мероприятия по контролю выполнены действия по сбору, анализу данных об объектах контроля, имеющихся у Службы, в том числе данных, которые поступают в ходе межведомственного информационного взаимодействия, предоставляются контролируемыми лицами в рамках исполнения обязательных требований, а также данных, содержащихся в государственных и муниципальных информационных системах (ГИС «Гостехнадзор»). Согласно сведениям ГИС РК Гостехнадзор за ООО ""ГАЗПРОМ ТРАНСГАЗ УХТА"" зарегистрировано 515 единицы техники, ";ЕРКНМ, открытые данные: https://proverki.gov.ru/blob/erknm-opendata/2026/6/data-20260729-structure-20220125.zip (срез первых 40 МБ архива);2026-07-29
1121003135;"АО ""СЛПК""";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СЫКТЫВКАРСКИЙ ЛПК""";Федеральный государственный карантинный фитосанитарный контроль (надзор);Объявление предостережения;Предостережение объявлено;2026-06-04;Североморское межрегиональное управление Федеральной службы по ветеринарному и фитосанитарному надзору;;10260851000021955147; В рамках проведения наблюдения за соблюдением обязательных требований в соответствии с заданием от 27.05.2026 №843 по результатам мониторинга Федеральной государственной информационной системы лесного комплекса (далее – ФГИС ЛК), а также ФГИС «Аргус-Фито» установлено, что в ФГИС ЛК имеются записи по реализации акционерным обществом «Сыктывкарский ЛПК» (АО «СЛПК», ИНН 1121003135) подкарантинной продукции – бревна сосновые для распиловки и строгания объемом 41,650 куб. м. На вышеуказанную подкарантинную продукцию в сопровождении транспортной накладной от 24.11.2025 №1_17 оформлен электронно-сопроводительный документ на транспортировку древесины (далее - ЭСД) №b0ed8b80-4de1-4cf7-b285-b902678327e3, в котором собственником и грузоотправителем древесины является АО «СЛПК». Пунктом отправления продукции является лесосека с учетным номером 11:8:1:433:ЛС3, расположенная на территории 427 квартала Гривенского участкового лесничества Койгородского лесничества Республики Коми. Пункт назначения — место складирования древесины с учетным номером 11:00:МСД3803, расположенное по адресу г. Сыктывкар, м. Човью, ул. Промышленная, 58. Перевозку осуществило общество с ограниченной ответственностью «Ком;ЕРКНМ, открытые данные: https://proverki.gov.ru/blob/erknm-opendata/2026/6/data-20260729-structure-20220125.zip (срез первых 40 МБ архива);2026-07-29
1433000147;"АК ""АЛРОСА"" (ПАО)";"АКЦИОНЕРНАЯ КОМПАНИЯ ""АЛРОСА"" (ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО)";Федеральный государственный пожарный надзор;Объявление предостережения;Предостережение объявлено;2026-06-05;ГЛАВНОЕ УПРАВЛЕНИЕ МИНИСТЕРСТВА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ДЕЛАМ ГРАЖДАНСКОЙ ОБОРОНЫ, ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ И ЛИКВИДАЦИИ ПОСЛЕДСТВИЙ СТИХИЙНЫХ БЕДСТВИЙ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ);Респ Саха /Якутия/, у Мирнинский, г Удачный ул. Мира;14260061000221968567;08 апреля 2026 года при формировании отчетных сведений по Указанию СЗ-253-4- 239 от 03.04.2026г ГУ МЧС России по РС(Я) установлено, что в подразделениях пожарной охраны Мирнинского пожарно-спасательного гарнизона Республики Саха (Якутия) отсутствуют выводы автоматического дублирования сигналов систем пожарной сигнализации зданий классов функциональной пожарной опасности Ф1.1, Ф1.2, Ф4.1, Ф4.2 с использованием системы передачи извещений о пожаре, а именно объект защиты: ВЗИС.ВАХТОВЫЙ ПОСЕЛОК НА 192 ЖИТЕЛЯ (ЗДАНИЕ В) (объект не капитального строительства) расположенного по адресу: Респ Саха /Якутия/, у Мирнинский, г Удачный (ул. Мира);ЕРКНМ, открытые данные: https://proverki.gov.ru/blob/erknm-opendata/2026/6/data-20260729-structure-20220125.zip (срез первых 40 МБ архива);2026-07-29
1433000147;"АК ""АЛРОСА"" (ПАО)";"АКЦИОНЕРНАЯ КОМПАНИЯ ""АЛРОСА"" (ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО)";Федеральный государственный пожарный надзор;Объявление предостережения;Предостережение объявлено;2026-06-05;ГЛАВНОЕ УПРАВЛЕНИЕ МИНИСТЕРСТВА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ДЕЛАМ ГРАЖДАНСКОЙ ОБОРОНЫ, ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ И ЛИКВИДАЦИИ ПОСЛЕДСТВИЙ СТИХИЙНЫХ БЕДСТВИЙ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ);Респ Саха /Якутия/, у Мирнинский, г Удачный, ул Мира 710000001980, ,;14260061000221968586;08 апреля 2026 года при формировании отчетных сведений по Указанию СЗ-253-4- 239 от 03.04.2026г ГУ МЧС России по РС(Я) установлено, что в подразделениях пожарной охраны Мирнинского пожарно-спасательного гарнизона Республики Саха (Якутия) отсутствуют выводы автоматического дублирования сигналов систем пожарной сигнализации зданий классов функциональной пожарной опасности Ф1.1, Ф1.2, Ф4.1, Ф4.2 с использованием системы передачи извещений о пожаре, а именно объект защиты: ВЗИС.ВАХТОВЫЙ ПОСЕЛОК НА 192 ЖИТЕЛЯ (ЗДАНИЕ А) (объект не капитального строительства) расположенного по адресу: Респ Саха /Якутия/, у Мирнинский, г Удачный, ул Мира ( 710000001980, ,);ЕРКНМ, открытые данные: https://proverki.gov.ru/blob/erknm-opendata/2026/6/data-20260729-structure-20220125.zip (срез первых 40 МБ архива);2026-07-29
1433000147;"АК ""АЛРОСА"" (ПАО)";"АКЦИОНЕРНАЯ КОМПАНИЯ ""АЛРОСА"" (ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО)";Федеральный государственный пожарный надзор;Объявление предостережения;Предостережение объявлено;2026-06-05;ГЛАВНОЕ УПРАВЛЕНИЕ МИНИСТЕРСТВА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ДЕЛАМ ГРАЖДАНСКОЙ ОБОРОНЫ, ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ И ЛИКВИДАЦИИ ПОСЛЕДСТВИЙ СТИХИЙНЫХ БЕДСТВИЙ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ);Респ Саха /Якутия/, у Мирнинский, г Удачный, ул Мира , 710000001982, ,;14260061000221968653;08 апреля 2026 года при формировании отчетных сведений по Указанию СЗ-253-4- 239 от 03.04.2026г ГУ МЧС России по РС(Я) установлено, что в подразделениях пожарной охраны Мирнинского пожарно-спасательного гарнизона Республики Саха (Якутия) отсутствуют выводы автоматического дублирования сигналов систем пожарной сигнализации зданий классов функциональной пожарной опасности Ф1.1, Ф1.2, Ф4.1, Ф4.2 с использованием системы передачи извещений о пожаре, а именно объект защиты: ВЗИС.ВАХТОВЫЙ ПОСЕЛОК НА 192 ЖИТЕЛЯ (ЗДАНИЕ С) объект не капитального строительства расположенного по адресу: Респ Саха /Якутия/, у Мирнинский, г Удачный, ул Мира (, 710000001982, ,);ЕРКНМ, открытые данные: https://proverki.gov.ru/blob/erknm-opendata/2026/6/data-20260729-structure-20220125.zip (срез первых 40 МБ архива);2026-07-29
1433000147;"АК ""АЛРОСА"" (ПАО)";"АКЦИОНЕРНАЯ КОМПАНИЯ ""АЛРОСА"" (ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО)";Федеральный государственный пожарный надзор;Объявление предостережения;Предостережение объявлено;2026-06-05;ГЛАВНОЕ УПРАВЛЕНИЕ МИНИСТЕРСТВА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ДЕЛАМ ГРАЖДАНСКОЙ ОБОРОНЫ, ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ И ЛИКВИДАЦИИ ПОСЛЕДСТВИЙ СТИХИЙНЫХ БЕДСТВИЙ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ);Респ Саха /Якутия/, у Мирнинский, г Удачный, ул Мира , 710000001981, ,;14260061000221968770;08 апреля 2026 года при формировании отчетных сведений по Указанию СЗ-253-4- 239 от 03.04.2026г ГУ МЧС России по РС(Я) установлено, что в подразделениях пожарной охраны Мирнинского пожарно-спасательного гарнизона Республики Саха (Якутия) отсутствуют выводы автоматического дублирования сигналов систем пожарной сигнализации зданий классов функциональной пожарной опасности Ф1.1, Ф1.2, Ф4.1, Ф4.2 с использованием системы передачи извещений о пожаре, а именно объект защиты:ВЗИС.ВАХТОВЫЙ ПОСЕЛОК НА 192 ЖИТЕЛЯ (ЗДАНИЕ Д) (объект не капитального строительства) расположенного по адресу: Респ Саха /Якутия/, у Мирнинский, г Удачный, ул Мира (, 710000001981, ,);ЕРКНМ, открытые данные: https://proverki.gov.ru/blob/erknm-opendata/2026/6/data-20260729-structure-20220125.zip (срез первых 40 МБ архива);2026-07-29
1433000147;"АК ""АЛРОСА"" (ПАО)";"АКЦИОНЕРНАЯ КОМПАНИЯ ""АЛРОСА"" (ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО)";Федеральный государственный пожарный надзор;Объявление предостережения;Предостережение объявлено;2026-06-05;ГЛАВНОЕ УПРАВЛЕНИЕ МИНИСТЕРСТВА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ДЕЛАМ ГРАЖДАНСКОЙ ОБОРОНЫ, ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ И ЛИКВИДАЦИИ ПОСЛЕДСТВИЙ СТИХИЙНЫХ БЕДСТВИЙ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ);Респ Саха /Якутия/, у Мирнинский, с Арылах;14260061000221968664;В рамках осуществления федерального государственного пожарного надзора и профилактической работы по обеспечению пожарной безопасности на объектах социальной инфраструктуры Мирнинского района в апреле 2026 года проведен комплекс профилактических визитов. В связи с предстоящей организацией и функционированием на базе учреждений детских пришкольных и трудовых лагерей, характеризующихся массовым пребыванием несовершеннолетних, повышенной пожарной опасностью и специфическими требованиями к обеспечению безопасности, ОНД и ПР по Мирнинскому району предостерегает вас о недопустимости нарушений требований пожарной безопасности в период подготовки и работы летних смен.;ЕРКНМ, открытые данные: https://proverki.gov.ru/blob/erknm-opendata/2026/6/data-20260729-structure-20220125.zip (срез первых 40 МБ архива);2026-07-29
1433000147;"АК ""АЛРОСА"" (ПАО)";"АКЦИОНЕРНАЯ КОМПАНИЯ ""АЛРОСА"" (ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО)";Федеральный государственный пожарный надзор;Объявление предостережения;Предостережение объявлено;2026-06-05;ГЛАВНОЕ УПРАВЛЕНИЕ МИНИСТЕРСТВА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ДЕЛАМ ГРАЖДАНСКОЙ ОБОРОНЫ, ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ И ЛИКВИДАЦИИ ПОСЛЕДСТВИЙ СТИХИЙНЫХ БЕДСТВИЙ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ);респ. Саха (Якутия), у. Мирнинский, п. Айхал, ул. Алмазная, Дом 8;14260061000221968422;"08 апреля 2026 года при формировании отчетных сведений по Указанию СЗ-253-4- 239 от 03.04.2026г ГУ МЧС России по РС(Я) установлено, что в подразделениях пожарной охраны Мирнинского пожарно-спасательного гарнизона Республики Саха (Якутия) отсутствуют выводы автоматического дублирования сигналов систем пожарной сигнализации зданий классов функциональной пожарной опасности Ф1.1, Ф1.2, Ф4.1, Ф4.2 с использованием системы передачи извещений о пожаре, а именно объект защиты: Общежитие АК ""Алроса"" расположенного по адресу: респ. Саха (Якутия), у. Мирнинский, п. Айхал, ул. Алмазная, Дом 8";ЕРКНМ, открытые данные: https://proverki.gov.ru/blob/erknm-opendata/2026/6/data-20260729-structure-20220125.zip (срез первых 40 МБ архива);2026-07-29
1433000147;"АК ""АЛРОСА"" (ПАО)";"АКЦИОНЕРНАЯ КОМПАНИЯ ""АЛРОСА"" (ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО)";Федеральный государственный пожарный надзор;Объявление предостережения;Предостережение объявлено;2026-06-05;ГЛАВНОЕ УПРАВЛЕНИЕ МИНИСТЕРСТВА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ДЕЛАМ ГРАЖДАНСКОЙ ОБОРОНЫ, ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ И ЛИКВИДАЦИИ ПОСЛЕДСТВИЙ СТИХИЙНЫХ БЕДСТВИЙ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ);Респ Саха /Якутия/, у Мирнинский, г Мирный, пр-кт Ленинградский дом 1;14260061000221968603;08 апреля 2026 года при формировании отчетных сведений по Указанию СЗ-253-4- 239 от 03.04.2026г ГУ МЧС России по РС(Я) установлено, что в подразделениях пожарной охраны Мирнинского пожарно-спасательного гарнизона Республики Саха (Якутия) отсутствуют выводы автоматического дублирования сигналов систем пожарной сигнализации зданий классов функциональной пожарной опасности Ф1.1, Ф1.2, Ф4.1, Ф4.2 с использованием системы передачи извещений о пожаре, а именно объект защиты: ОБЩЕЖИТИЕ СТ АЛМАЗТЕХМОНТАЖ АК АЛРОСА (ПАО) расположенного по адресу: Респ Саха /Якутия/, у Мирнинский, г Мирный, пр-кт Ленинградский (дом 1);ЕРКНМ, открытые данные: https://proverki.gov.ru/blob/erknm-opendata/2026/6/data-20260729-structure-20220125.zip (срез первых 40 МБ архива);2026-07-29
1433000147;"АК ""АЛРОСА"" (ПАО)";"АКЦИОНЕРНАЯ КОМПАНИЯ ""АЛРОСА"" (ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО)";Федеральный государственный пожарный надзор;Объявление предостережения;Предостережение объявлено;2026-06-05;ГЛАВНОЕ УПРАВЛЕНИЕ МИНИСТЕРСТВА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ДЕЛАМ ГРАЖДАНСКОЙ ОБОРОНЫ, ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ И ЛИКВИДАЦИИ ПОСЛЕДСТВИЙ СТИХИЙНЫХ БЕДСТВИЙ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ);Респ Саха /Якутия/, у Мирнинский, г Мирный 710000001925, , зем. участок:;14260061000221968623;08 апреля 2026 года при формировании отчетных сведений по Указанию СЗ-253-4- 239 от 03.04.2026г ГУ МЧС России по РС(Я) установлено, что в подразделениях пожарной охраны Мирнинского пожарно-спасательного гарнизона Республики Саха (Якутия) отсутствуют выводы автоматического дублирования сигналов систем пожарной сигнализации зданий классов функциональной пожарной опасности Ф1.1, Ф1.2, Ф4.1, Ф4.2 с использованием системы передачи извещений о пожаре, а именно объект защиты: Дом-блок (общежитие)(1) объект не капитального строительства расположенного по адресу: Респ Саха /Якутия/, у Мирнинский, г Мирный ( 710000001925, , зем. участок:);ЕРКНМ, открытые данные: https://proverki.gov.ru/blob/erknm-opendata/2026/6/data-20260729-structure-20220125.zip (срез первых 40 МБ архива);2026-07-29
1433000147;"АК ""АЛРОСА"" (ПАО)";"АКЦИОНЕРНАЯ КОМПАНИЯ ""АЛРОСА"" (ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО)";Федеральный государственный пожарный надзор;Объявление предостережения;Предостережение объявлено;2026-06-05;ГЛАВНОЕ УПРАВЛЕНИЕ МИНИСТЕРСТВА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ДЕЛАМ ГРАЖДАНСКОЙ ОБОРОНЫ, ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ И ЛИКВИДАЦИИ ПОСЛЕДСТВИЙ СТИХИЙНЫХ БЕДСТВИЙ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ);"Респ Саха /Якутия/, у Мирнинский, г Мирный, ул Тихонова 1 &quot;А&quot;";14260061000221968743;"08 апреля 2026 года при формировании отчетных сведений по Указанию СЗ-253-4- 239 от 03.04.2026г ГУ МЧС России по РС(Я) установлено, что в подразделениях пожарной охраны Мирнинского пожарно-спасательного гарнизона Республики Саха (Якутия) отсутствуют выводы автоматического дублирования сигналов систем пожарной сигнализации зданий классов функциональной пожарной опасности Ф1.1, Ф1.2, Ф4.1, Ф4.2 с использованием системы передачи извещений о пожаре, а именно объект защиты: Санаторий Горняк здание спального корпуса расположенного по адресу: Респ Саха /Якутия/, у Мирнинский, г Мирный, ул Тихонова (1 ""А"")";ЕРКНМ, открытые данные: https://proverki.gov.ru/blob/erknm-opendata/2026/6/data-20260729-structure-20220125.zip (срез первых 40 МБ архива);2026-07-29
1433000147;"АК ""АЛРОСА"" (ПАО)";"АКЦИОНЕРНАЯ КОМПАНИЯ ""АЛРОСА"" (ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО)";Федеральный государственный пожарный надзор;Объявление предостережения;Предостережение объявлено;2026-06-05;ГЛАВНОЕ УПРАВЛЕНИЕ МИНИСТЕРСТВА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ДЕЛАМ ГРАЖДАНСКОЙ ОБОРОНЫ, ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ И ЛИКВИДАЦИИ ПОСЛЕДСТВИЙ СТИХИЙНЫХ БЕДСТВИЙ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ);Респ Саха /Якутия/, у Мирнинский, г Удачный, ул Мира 710000001983, ,;14260061000221968843;08 апреля 2026 года при формировании отчетных сведений по Указанию СЗ-253-4- 239 от 03.04.2026г ГУ МЧС России по РС(Я) установлено, что в подразделениях пожарной охраны Мирнинского пожарно-спасательного гарнизона Республики Саха (Якутия) отсутствуют выводы автоматического дублирования сигналов систем пожарной сигнализации зданий классов функциональной пожарной опасности Ф1.1, Ф1.2, Ф4.1, Ф4.2 с использованием системы передачи извещений о пожаре, а именно объект защиты: ВЗИС. ВАХТОВЫЙ ПОСЕЛОК НА 192 ЖИТЕЛЯ (ЗДАНИЕ Е) расположенного по адресу: Респ Саха /Якутия/, у Мирнинский, г Удачный, ул Мира (710000001983, ,);ЕРКНМ, открытые данные: https://proverki.gov.ru/blob/erknm-opendata/2026/6/data-20260729-structure-20220125.zip (срез первых 40 МБ архива);2026-07-29
1433000147;"АК ""АЛРОСА"" (ПАО)";"АКЦИОНЕРНАЯ КОМПАНИЯ ""АЛРОСА"" (ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО)";Федеральный государственный пожарный надзор;Объявление предостережения;Предостережение объявлено;2026-06-05;ГЛАВНОЕ УПРАВЛЕНИЕ МИНИСТЕРСТВА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ДЕЛАМ ГРАЖДАНСКОЙ ОБОРОНЫ, ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ И ЛИКВИДАЦИИ ПОСЛЕДСТВИЙ СТИХИЙНЫХ БЕДСТВИЙ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ);Респ Саха /Якутия/, у Мирнинский, г Мирный 710000001926, , зем. участок:;14260061000221968802;08 апреля 2026 года при формировании отчетных сведений по Указанию СЗ-253-4- 239 от 03.04.2026г ГУ МЧС России по РС(Я) установлено, что в подразделениях пожарной охраны Мирнинского пожарно-спасательного гарнизона Республики Саха (Якутия) отсутствуют выводы автоматического дублирования сигналов систем пожарной сигнализации зданий классов функциональной пожарной опасности Ф1.1, Ф1.2, Ф4.1, Ф4.2 с использованием системы передачи извещений о пожаре, а именно объект защиты: Дом-блок (общежитие)(2) (объект не капитального строительства) расположенного по адресу: Респ Саха /Якутия/, у Мирнинский, г Мирный ( 710000001926, , зем. участок:);ЕРКНМ, открытые данные: https://proverki.gov.ru/blob/erknm-opendata/2026/6/data-20260729-structure-20220125.zip (срез первых 40 МБ архива);2026-07-29
1433000147;"АК ""АЛРОСА"" (ПАО)";"АКЦИОНЕРНАЯ КОМПАНИЯ ""АЛРОСА"" (ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО)";Федеральный государственный строительный надзор;Выездная проверка;Завершено;2026-06-04;ЛЕНСКОЕ УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ПО ЭКОЛОГИЧЕСКОМУ, ТЕХНОЛОГИЧЕСКОМУ И АТОМНОМУ НАДЗОРУ;678170, Республика Саха /Якутия/, у. Мирнинский, г. Мирный;14260031000021872782;;ЕРКНМ, открытые данные: https://proverki.gov.ru/blob/erknm-opendata/2026/6/data-20260729-structure-20220125.zip (срез первых 40 МБ архива);2026-07-29
1434031363;"АО ""ДГК"" (ИНН 1434031363)";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДАЛЬНЕВОСТОЧНАЯ ГЕНЕРИРУЮЩАЯ КОМПАНИЯ""";Региональный государственный жилищный контроль (надзор);Объявление предостережения;Предостережение объявлено;2026-06-04;ГЛАВНОЕ УПРАВЛЕНИЕ РЕГИОНАЛЬНОГО ГОСУДАРСТВЕННОГО КОНТРОЛЯ И ЛИЦЕНЗИРОВАНИЯ ПРАВИТЕЛЬСТВА ХАБАРОВСКОГО КРАЯ;680054, Хабаровский край, г. Хабаровск, ул. Уборевича, д 68;27261182700021949997;"В ходе исследования страниц государственной информационной системе жилищно-коммунального хозяйства установлено, что приборы учета горячего водоснабжения в жилом помещении № 132 в многоквартирном доме № 68 по ул. Уборевича в г. Хабаровске (далее - МКД № 68) не отображаются в государственной информационной системе жилищно-коммунального хозяйства. - ст. 8 Федерального закона от 21.07.2014 ""О государственной информационной системе жилищно-коммунального хозяйства""; - п. 3 главы 9 Состава, сроков и периодичности размещения информации поставщиками информации в государственной информационной системе, утвержденных приказом Министерства строительства и жилищно-коммунального хозяйства Российской Федерации от 7 февраля 2024 г. № 79/пр ""Об установлении состава, сроков и периодичности размещения информации поставщиками информации в государственной информационной системе жилищно-коммунального хозяйства"".";ЕРКНМ, открытые данные: https://proverki.gov.ru/blob/erknm-opendata/2026/6/data-20260729-structure-20220125.zip (срез первых 40 МБ архива);2026-07-29
1644003838;"ПАО ""ТАТНЕФТЬ"" ИМ. В.Д. ШАШИНА";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТАТНЕФТЬ"" ИМЕНИ В.Д. ШАШИНА";Федеральный государственный строительный надзор;Выездная проверка;Завершено;2026-06-29;ПРИВОЛЖСКОЕ УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ПО ЭКОЛОГИЧЕСКОМУ, ТЕХНОЛОГИЧЕСКОМУ И АТОМНОМУ НАДЗОРУ;;16260031000022012690;;ЕРКНМ, открытые данные: https://proverki.gov.ru/blob/erknm-opendata/2026/6/data-20260729-structure-20220125.zip (срез первых 40 МБ архива);2026-07-29
1644003838;"ПАО ""ТАТНЕФТЬ"" ИМ. В.Д. ШАШИНА";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТАТНЕФТЬ"" ИМЕНИ В.Д. ШАШИНА";Федеральный государственный контроль (надзор) за соблюдением требований установленных техническими регламентами в отношении колесных транспортных средств (шасси) и компонентов транспортных средств (шасси), находящихся в обращении (до начала их эксплуатации), автомобильного бензина, дизельного топлива, судового топлива и мазута, и обязательных требований, подлежащих применению до дня вступления в силу технических регламентов в соответствии с Федеральным законом от 27 декабря 2002 г. №184-ФЗ О техническом регулировании, в отношении электрической энергии в электрических сетях общего назначения переменного трехфазного и однофазного тока частотой 50 Гц;Объявление предостережения;Предостережение объявлено;2026-06-29;ПРИВОЛЖСКО-УРАЛЬСКОЕ МЕЖРЕГИОНАЛЬНОЕ ТЕРРИТОРИАЛЬНОЕ УПРАВЛЕНИЕ ФЕДЕРАЛЬНОГО АГЕНТСТВА ПО ТЕХНИЧЕСКОМУ РЕГУЛИРОВАНИЮ И МЕТРОЛОГИИ;;52260423171622205749; При рассмотрении сведений о признаках нарушения обязательных требований Технического регламента Таможенного союза ТР ТС 013/2011 «О требованиях к автомобильному и авиационному бензину, дизельному и судовому топливу, топливу для реактивных двигателей и мазуту» (далее – Технический регламент, ТР ТС 013/2011), содержащихся в паспорте от 20.05.2026 № 750 автомобильного бензина АИ-95-К5, (далее – паспорт), полученном при истребовании документов в ходе проведения обязательного профилактического визита, установлено следующее. Согласно указанной в паспорте информации, изготовителем автомобильного бензина АИ-95-К5 является публичное акционерное общество «Татнефть» имени В.Д. Шашина. В нарушение обязательных требований, установленных пунктом 4.13 Технического регламента, в паспорте автомобильного бензина, выданном ПАО «Татнефть» имени В.Д. Шашина, отсутствуют нормативные значения и фактические результаты испытаний, подтверждающие соответствие автомобильного бензина АИ-95-К5 требованиям Технического регламента по показателю объемная доля оксигенатов: эфиров, содержащих 5 и более атомов углерода в молекуле. Указанный в паспорте показатель объемная доля оксигенатов: эфиров (С5 и выше) отсутств;ЕРКНМ, открытые данные: https://proverki.gov.ru/blob/erknm-opendata/2026/6/data-20260729-structure-20220125.zip (срез первых 40 МБ архива);2026-07-29
1644003838;"ПАО ""ТАТНЕФТЬ"" ИМ. В.Д. ШАШИНА";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТАТНЕФТЬ"" ИМЕНИ В.Д. ШАШИНА";Федеральный государственный экологический контроль (надзор);Выездная проверка;Завершено;2026-06-05;Волжско-Камское межрегиональное управление Федеральной службы по надзору в сфере природопользования;;16260023732921940599;;ЕРКНМ, открытые данные: https://proverki.gov.ru/blob/erknm-opendata/2026/6/data-20260729-structure-20220125.zip (срез первых 40 МБ архива);2026-07-29
1644003838;"ПАО ""ТАТНЕФТЬ"" ИМ. В.Д. ШАШИНА";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТАТНЕФТЬ"" ИМЕНИ В.Д. ШАШИНА";Федеральный государственный строительный надзор;Выездная проверка;Завершено;2026-06-04;ПРИВОЛЖСКОЕ УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ПО ЭКОЛОГИЧЕСКОМУ, ТЕХНОЛОГИЧЕСКОМУ И АТОМНОМУ НАДЗОРУ;;16260031000021895094;;ЕРКНМ, открытые данные: https://proverki.gov.ru/blob/erknm-opendata/2026/6/data-20260729-structure-20220125.zip (срез первых 40 МБ архива);2026-07-29
