marka;nash_profil;tip;sreda;seriya;proizvoditel;pochemu;nashih_upominaniy;nashih_predpriyatiy;znayut;ssylka;godno_kak_slovo_poiska
120H0255;;;;;;;1;1;1s-неопознанные;;
121-С;;;;;;;0;0;1s-неопознанные;;
122;;;;;;;0;0;1s-неопознанные;;
125;;;;;;;0;0;1s-неопознанные;;
125-2,2;;;;;;;0;0;1s-неопознанные;;
12М1-В1.У2-Н;;;не ясно;;;Контекст не содержит сведений о рабочей среде оборудования.;4;1;1s-среда;;
12НА-9;;;;;;;5;2;только наша база;;
12П;;;;;;;0;0;1s-неопознанные;;
12ПНГ-1;;;;;;;0;0;1s-неопознанные;;
12С;;;;;;;0;0;1s-неопознанные;;
13;;;;;;;12;7;только наша база;;
13-3;;;;;;;0;0;1s-неопознанные;;
13-33;;;;;;;0;0;1s-неопознанные;;
130;;;;;;;0;0;1s-неопознанные;;
132;;;;;;;0;0;1s-неопознанные;;
13F7;;;;;;;1;1;1s-неопознанные;;
13Д 3753;;;;;;;1;1;1s-неопознанные;;
13М2;;;;;;;3;1;1s-неопознанные;;
13РЧ;;;;;;;0;0;1s-неопознанные;;
14;;;;;;;10;4;только наша база;;
14-79;;;;;;;0;0;1s-неопознанные;;
140;;;;;;;0;0;1s-неопознанные;;
140-1,5;;;;;;;0;0;1s-неопознанные;;
1400;;;;;;;0;0;1s-неопознанные;;
140В-1;;;;;;;0;0;1s-неопознанные;;
140ТК-12;;;;;;;4;1;1s-неопознанные;;
14W;;;;;;;0;0;1s-неопознанные;;
14И-14С;;;;;;;3;1;1s-неопознанные;;
14К-750;;;;;;;3;1;1s-неопознанные;;
15;;;;;;;104;30;только наша база;;
15-30;;;;;;;0;0;1s-неопознанные;;
15-400;;;;;;;0;0;1s-неопознанные;;
150;;;;;;;0;0;1s-неопознанные;;
150B-2;;;;;;;0;0;1s-неопознанные;;
150DA3;;;воздух;;;Серия PAP Plus расшифровывается как Plant Air Package и предназначена для сжатия воздуха.;2;1;1s-среда, 1s-неопознанные;;
150В-1;;;;;;;0;0;1s-неопознанные;;
150В-2;;;;;;;0;0;1s-неопознанные;;
150С-01;;;;;;;0;0;1s-неопознанные;;
150С-02;;;;;;;0;0;1s-неопознанные;;
151С-3;;;;;;;4;1;1s-неопознанные;;
151С-5;;;;;;;4;1;1s-неопознанные;;
151С-7;;;;;;;4;1;1s-неопознанные;;
1557;;;;;;;0;0;1s-неопознанные;;
156,24;;;;;;;0;0;1s-неопознанные;;
1562;;;;;;;0;0;1s-неопознанные;;
158;;;;;;;0;0;1s-неопознанные;;
15К-500-61-1;;;воздух;;;Компрессор серии К-500 является воздушным компрессором рудничной станции.;3;1;1s-среда, 1s-неопознанные;;
15Х5М;;;;;;;1;1;1s-неопознанные;;
16;;;;;;;5;3;только наша база;;
16/20;;;;;;;5;2;только наша база;;
160;;;;;;;0;0;1s-неопознанные;;
160-30;;;;;;;0;0;1s-неопознанные;;
160-4;;;;;;;0;0;1s-неопознанные;;
1600;;;;;;;0;0;1s-неопознанные;;
160S2;;;;;;;3;2;только наша база;;
160В-1;;;;;;;0;0;1s-неопознанные;;
160В-2;;;;;;;2;1;1s-неопознанные;;
165;;;;;;;0;0;1s-неопознанные;;
16SO7-08;;;;;;;1;1;1s-неопознанные;;
16U16;;;газ;;;Установлен на компрессорной станции магистральных газопроводов (ЛПУМГ), это нагнетатель природного газа.;1;1;1s-среда;;
16V34SG;;;;;;;2;1;1s-неопознанные;;
16ZVBU40/48;;;воздух;;;Турбокомпрессор VTR-400 подает наддувочный воздух в главный судовой дизельный двигатель.;0;0;1s-среда;;
16ГЦ-360;;;;;;;0;0;1s-неопознанные;;
16ГЦ-360/4-56;;;газ;;;Обозначение ГЦ указывает на газовый центробежный компрессор.;4;1;1s-среда;;
16ГЦ2;;;;;;;18;3;только наша база;;
16МГ90,04;;;;;;;0;0;1s-неопознанные;;
16С0973-ГПЗ-КССГ1;;;;;;;1;1;1s-неопознанные;;
17-21;;;;;;;0;0;1s-неопознанные;;
170;;позиционное обозначение установки;;;;;0;0;1s-провайдером, 1s-неопознанные;;
170-15;;;;;;;0;0;1s-неопознанные;;
1700;;;;;;;0;0;1s-неопознанные;;
170МК-1;;;;;;;1;1;1s-неопознанные;;
171;;;;;;;0;0;1s-неопознанные;;
171А 35;;;;;;;2;1;1s-неопознанные;;
171ГПА-1;;;газ;;;Буквы ГПА в обозначении означают газоперекачивающий агрегат.;1;1;1s-среда, 1s-неопознанные;;
171ГПА-2;;;газ;;;Обозначение ГПА и эксплуатация на газоперерабатывающем заводе свидетельствуют о работе с газом.;2;2;1s-среда, 1s-неопознанные;;
171Н-02;;;газ;;;Центробежный компрессор ЦК-135/8 М1 с номером 171Н-02 установлен на газоперерабатывающем заводе.;1;1;1s-среда, 1s-неопознанные;;
177Е-1;;;;;;;3;1;1s-неопознанные;;
17PF30;;;;;;;2;1;1s-неопознанные;;
17С2771;;;;;;;1;1;1s-неопознанные;;
18,1;;;;;;;0;0;1s-неопознанные;;
18,10;;;;;;;0;0;1s-неопознанные;;
18,2;;;;;;;0;0;1s-неопознанные;;
18,3;;;;;;;0;0;1s-неопознанные;;
18,4;;;;;;;0;0;1s-неопознанные;;
18,5;;;;;;;0;0;1s-неопознанные;;
18,6;;;;;;;0;0;1s-неопознанные;;
18,7;;;;;;;0;0;1s-неопознанные;;
18,8;;;;;;;0;0;1s-неопознанные;;
18,9;;;;;;;0;0;1s-неопознанные;;
180;;позиционное обозначение установки;;;;;0;0;1s-провайдером, 1s-неопознанные;;
180М2;;;;;;;12;1;1s-неопознанные;;
18А-007;;;;;;;3;1;1s-неопознанные;;
18А-008;;;;;;;3;1;1s-неопознанные;;
196;;;;;;;0;0;1s-неопознанные;;
197;;;;;;;0;0;1s-неопознанные;;
19A06-0185;;;воздух;;;Данный артикул относится к турбокомпрессору дизельного двигателя, сжимающему воздух.;3;1;1s-среда;;
1A-1B;;;;;;;0;0;1s-неопознанные;;
1BB-40;;;;;;;0;0;1s-неопознанные;;
1C-RVP-ATEX3;;;;;;;0;0;1s-неопознанные;;
1CTC710R;;;;;;;1;1;1s-неопознанные;;
1LA5L;;;;;;;6;1;1s-неопознанные;;
1LG4310-4AA90;;;;;;;2;1;1s-неопознанные;;
1LG6;;;;;;;3;1;1s-неопознанные;;
1P-RVP-SPEC;;;;;;;0;0;1s-неопознанные;;
1PH 50HZ;;;;;;;0;0;1s-неопознанные;;
1RC-1101A;;;;;;;0;0;1s-неопознанные;;
1RC-1101А;;;;;;;1;1;1s-неопознанные;;
1RC-1101В;;;;;;;1;1;1s-неопознанные;;
1RC-1801А;;;;;;;1;1;1s-неопознанные;;
1RC-1801В;;;;;;;1;1;1s-неопознанные;;
1SAQ0205;;;;;;;5;1;1s-неопознанные;;
1TD 205;;;;;;;1;1;1s-неопознанные;;
1TD-1231А;;;;;;;1;1;1s-неопознанные;;
1TD-205;;;;;;;1;1;1s-неопознанные;;
1TP 205A;;;;;;;0;0;1s-неопознанные;;
1TZ-1231;;;;;;;1;1;1s-неопознанные;;
1TТ-501;;;;;;;1;1;1s-неопознанные;;
1X1333;;;не ясно;;;Заводской номер и контекст не указывают на тип рабочей среды.;1;1;1s-среда, 1s-неопознанные;;
1А;;;;;;;5;3;только наша база;;
1А-1М;;;воздух;;;Компрессор К485-61-1М2 установки каталитического крекинга 1А-1М предназначен для подавления регенерационного воздуха.;4;1;1s-среда, 1s-неопознанные;;
1А22-50-2А;;;;;;;3;1;1s-неопознанные;;
1А24-30-2А;;;;;;;4;1;1s-неопознанные;;
1А24-50-24;;;;;;;3;1;1s-неопознанные;;
1АСЦЛ20-24Г-Л-У2;;;газ;;;Насос серии СЦЛ с индексом Г предназначен для перекачки газового бензина и жидких углеводородов.;1;1;1s-среда, 1s-неопознанные;;
1АТКП-435-1600;;;газ;;;Обозначение серии АТКП указывает на агрегат турбокомпрессорный пропановый для работы с углеводородным газом.;1;1;1s-среда;;
1АФК-1-65Х210;;;;;;;1;1;1s-неопознанные;;
1АФТ 65;;;;;;;1;1;1s-неопознанные;;
1АХ1;;;;;;;0;0;1s-неопознанные;;
1АХ2;;;;;;;0;0;1s-неопознанные;;
1В-128;;;;;;;1;1;1s-неопознанные;;
1В20;;;;;;;0;0;1s-неопознанные;;
1В20/10;;;не ясно;;;Обозначение 1В20/10 относится к винтовым насосам для жидкостей, а не к компрессорам воздуха или газа.;6;1;1s-среда;;
1ВВ 20;;;;;;;0;0;1s-неопознанные;;
1ВВ-40;;;;;;;0;0;1s-неопознанные;;
1ВВ-40/9;;;;;;;4;2;только наша база;;
1Г 22-80-2В;;;;;;;4;1;1s-неопознанные;;
1Г21-50-4В;;;;;;;3;1;1s-неопознанные;;
1Г266;;;;;;;0;0;1s-неопознанные;;
1Г32А;;;;;;;3;1;1s-неопознанные;;
1Е-2;;;;;;;3;1;1s-неопознанные;;
1Е-504;;;;;;;1;1;1s-неопознанные;;
1Е1Е;;;;;;;1;1;1s-неопознанные;;
1ЕВОЕ 136-55-4;;;;;;;3;1;1s-неопознанные;;
1КСН-15;;;;;;;1;1;1s-неопознанные;;
1КСН-30М;;;;;;;1;1;1s-неопознанные;;
1КСП-24;;;;;;;1;1;1s-неопознанные;;
1КЭД-50-0,25-2;;;;;;;0;0;1s-неопознанные;;
1МКТ20-2-0;;;;;;;1;1;1s-неопознанные;;
1МП-475-027;;;не ясно;;;Обозначение относится к металлообрабатывающему станку, а не к компрессорному оборудованию.;17;1;1s-среда, 1s-неопознанные;;
1Н-416;;;;;;;1;1;1s-неопознанные;;
1П-1;;;;;;;0;0;1s-неопознанные;;
1П-2;;;;;;;0;0;1s-неопознанные;;
1П-4;;;;;;;0;0;1s-неопознанные;;
1П20-2-02;;;;;;;7;1;1s-неопознанные;;
1РМ-406;;;;;;;4;1;1s-неопознанные;;
1С-1;;;;;;;1;1;1s-неопознанные;;
1ТР-1203А;;;;;;;0;0;1s-неопознанные;;
1ТР-205А;;;;;;;0;0;1s-неопознанные;;
1ТС-201B;;;не ясно;;;В контексте и обозначении нет сведений о рабочей среде.;1;1;1s-среда, 1s-неопознанные;;
1ТС-201А;;;не ясно;;;В контексте и обозначении нет сведений о рабочей среде.;1;1;1s-среда, 1s-неопознанные;;
1ТС-201С;;;воздух;;;Обозначение VK указывает на серию центробежных изотермических воздушных компрессоров.;4;1;1s-среда, 1s-неопознанные;;
1У-121;;;;;;;0;0;1s-неопознанные;;
1ХГО-9/1;;;не ясно;;;В приведенном контексте отсутствуют данные о рабочей среде технологического трубопровода.;3;1;1s-среда;;
1ЦГ 100/32-К-11;;;;;;;6;2;только наша база;;
1ЦГ 12;;;;;;;10;3;только наша база;;
1ЦГ-12;;;;;;;3;2;только наша база;;
1Щ-2;;;;;;;1;1;1s-неопознанные;;
1Э2-65;;;;;;;1;1;1s-неопознанные;;
1ЭКВ180;;;;;;;0;0;1s-неопознанные;;
2,1;;;;;;;0;0;1s-неопознанные;;
2,2;;;;;;;0;0;1s-неопознанные;;
2,2ПВ;;;;;;;0;0;1s-неопознанные;;
2,3;;позиционное обозначение установки;;;;числовое позиционное обозначение на схеме;0;0;1s-провайдером, 1s-неопознанные;;
2,3,4;;;;;;;0;0;1s-неопознанные;;
2,5;;;;;;;0;0;1s-неопознанные;;
2,5М;;;;;;;0;0;1s-неопознанные;;
2,6;;;;;;;0;0;1s-неопознанные;;
2-1;;;;;;;0;0;1s-неопознанные;;
2-10;;;;;;;13;4;только наша база;;
2-15;;;;;;;0;0;1s-неопознанные;;
2-2;;;;;;;1;1;1s-неопознанные;;
2-26;;;;;;;0;0;1s-неопознанные;;
2-3;;;;;;;0;0;1s-неопознанные;;
2-36;;;;;;;0;0;1s-неопознанные;;
2-48;;;;;;;4;2;только наша база;;
2-5,6;;;;;;;0;0;1s-неопознанные;;
2-8;;;;;;;1;1;1s-неопознанные;;
2-934;;;;;;;0;0;1s-неопознанные;;
2-ZR;;;;;;;0;0;1s-неопознанные;;
2.;;;;;;;12;6;только наша база;;
20-32;;;;;;;0;0;1s-неопознанные;;
200;;позиционное обозначение установки;;;;;0;0;1s-провайдером, 1s-неопознанные;;
200Д90;;;;;;;3;2;только наша база;;
200М;;;;;;;0;0;1s-неопознанные;;
200С-1;;;;;;;0;0;1s-неопознанные;;
2011;;;;;;;0;0;1s-неопознанные;;
2013;;;;;;;0;0;1s-неопознанные;;
201В1;;;;;;;3;1;1s-неопознанные;;
201В2;;;;;;;3;1;1s-неопознанные;;
201П1;;;;;;;3;1;1s-неопознанные;;
201П2;;;;;;;3;1;1s-неопознанные;;
202;;;;;;;0;0;1s-неопознанные;;
2020;;;;;;;0;0;1s-неопознанные;;
202ВП-10;;;;;;;0;0;1s-неопознанные;;
205;;;;;;;0;0;1s-неопознанные;;
205ГП 30;;;;;;;0;0;1s-неопознанные;;
205ГП-30;;;;;;;0;0;1s-неопознанные;;
205ГП30;;;;;;;0;0;1s-неопознанные;;
205ГП6;;;;;;;0;0;1s-неопознанные;;
20M91;;;газ;;;Компрессор расположен на установке производства водорода УПВ.;1;1;1s-среда, 1s-неопознанные;;
20MB10;;;не ясно;;;В контексте и обозначении марки машины нет достаточных данных для однозначного определения сжимаемой среды.;3;1;1s-среда, 1s-неопознанные;;
20MB7;;;газ;;;Машина работает на установке гидроочистки вакуумного газойля ГВГ.;1;1;1s-среда, 1s-неопознанные;;
20V34SG;;;оба;;;Турбокомпрессор NAPIER 357 двигателя Wartsila 20V34SG использует энергию выхлопных газов для сжатия наддувочного воздуха.;4;1;1s-среда, 1s-неопознанные;;
20В-1;;;газ;;;Обозначение ТГ расшифровывается как турбокомпрессор газовый и в контексте прямо указан газовый компрессор.;3;3;1s-среда, 1s-неопознанные;;
20В-1/1;;;газ;;;ТГ- турбогенератор или турбокомпрессор газовый, эксплуатируемый в производстве серы, что указывает на кислый газ.;1;1;1s-среда;;
20В-1/2;;;газ;;;Аналогично позиции 20, турбокомпрессор ТГ-170-1,7М1В на производстве серы предназначен для компримирования газа.;1;1;1s-среда;;
20М6-5;;;газ;;;Компрессор эксплуатируется на установке замедленного коксования для сжатия жирного газа;1;1;1s-среда, 1s-неопознанные;;
20ТХМВ-4000;;;газ;;;Обозначение ТХМВ относится к турбохолодильным машинам, работающим на хладагенте.;1;1;1s-среда;;
21;;;;;;;7;2;только наша база;;
21,5;;;;;;;0;0;1s-неопознанные;;
21-1000;;;;;;;0;0;1s-неопознанные;;
210;;;;;;;0;0;1s-неопознанные;;
210-200;;;;;;;0;0;1s-неопознанные;;
210К1ХЛ;;;;;;;4;1;1s-неопознанные;;
210Л1ХЛ;;;;;;;1;1;1s-неопознанные;;
21А280-7-1;;;;;;;18;5;только наша база;;
21А280-7-3;;;;;;;31;8;1s-неопознанные;;
21А410-7-7;;;;;;;11;3;только наша база;;
21А800;;;;;;;4;1;1s-неопознанные;;
21В245-04Н;;;не ясно;;;Маркировка указывает на электродвигатель и в контексте нет достаточных данных о рабочей среде компрессора.;5;1;1s-среда, 1s-неопознанные;;
21ВХ280-7-1;;;;;;;6;2;только наша база;;
21ВХ280-7-23;;;;;;;7;3;только наша база;;
21ВХ410-7-7;;;;;;;9;2;только наша база;;
21К1-06;;;;;;;1;1;1s-неопознанные;;
21К1-06КУ;;;;;;;1;1;1s-неопознанные;;
21К1ХЛ;;;;;;;4;1;1s-неопознанные;;
22-2;;;;;;;0;0;1s-неопознанные;;
22-Z;;;;;;;0;0;1s-неопознанные;;
220;;позиционное обозначение установки;;;;числовая позиция;0;0;1s-провайдером, 1s-неопознанные;;
220М;;;;;;;0;0;1s-неопознанные;;
22HWA 370-16;;;;;;;6;2;1s-неопознанные;;
22ВФ-2,5;;;;;;;0;0;1s-неопознанные;;
22ГП-2;;;;;;;3;1;1s-неопознанные;;
22Е-10;;;газ;;;Ёмкость перелива масла двигателя 22Е-10 связана с нагнетателем в составе ГПА.;1;1;1s-среда, 1s-неопознанные;;
22Е-11;;;не ясно;;;Маркировка 22Е-11 относится к масляной емкости и не дает информации о рабочей среде компрессора.;1;1;1s-среда, 1s-неопознанные;;
22М-03;;;;;;;0;0;1s-неопознанные;;
22НСГ 160/20А;;;;;;;4;2;только наша база;;
22НСГ-130;;;;;;;0;0;1s-неопознанные;;
22НСГ-40;;;;;;;0;0;1s-неопознанные;;
22НСГ-40/40;;;;;;;4;2;только наша база;;
22ФУ-200;;;;;;;1;1;1s-неопознанные;;
22ФУУ400;;;;;;;3;1;1s-неопознанные;;
22ЦКО-42;;;;;;;0;0;1s-неопознанные;;
22ЦКО-42/8-38М1;;;газ;;;Компрессор эксплуатируется в цехе производства метанола для сжатия технологического газа.;4;1;1s-среда;;
23;;;;;;;29;4;только наша база;;
230;;;;;;;0;0;1s-неопознанные;;
230ММ 91;;;;;;;3;1;1s-неопознанные;;
238ДЕ2;;;;;;;2;1;1s-неопознанные;;
23ВФ-10;;;;;;;0;0;1s-неопознанные;;
23ВФ-10/1;;;;;;;15;4;только наша база;;
23ВФ-11;;;;;;;0;0;1s-неопознанные;;
23ВФ-4,7;;;;;;;0;0;1s-неопознанные;;
240;;;;;;;0;0;1s-неопознанные;;
240НМ2;;;оба;;;"Дизельный двигатель ЯМЗ 240НМ2 использует турбокомпрессор для наддува воздухом, но сам двигатель сжигает топливо; по контекстному списку комплектующих среда «оба».";2;1;1s-среда, 1s-неопознанные;;
244;;;;;;;0;0;1s-неопознанные;;
