oboznachenie;inn;predpriyatie;nomer_zaklyucheniya;data;obekt
4ГЦ1-250/5;8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";66-ТУ-02440-2025;14.02.2025;ЗАКЛЮЧЕНИЕ экспертизы промышленной безопасности № 0093-ЗЭ-2025 Техническое устройство: Ком
4ГЦ1-250/5;8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";66-ТУ-18008-2024;13.11.2024;ЗАКЛЮЧЕНИЕ экспертизы промышленной безопасности № 0016-ЗЭ-2024 Техническое устройство: Ком
4ГЦ1-250/5;8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";66-ТУ-03854-2024;21.03.2024;ЗАКЛЮЧЕНИЕ экспертизы промышленной безопасности № 0021-ЗЭ-2024 Техническое устройство: Ком
4ГЦ1-250/5;8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";70-ТУ-07745-2015;17.12.2015;Компрессор кислородный центробежный тип 4ГЦ-1-250/5, ст. №2/50 М, зав. №93001, инв. №02533
4ГЦ1-250/5;8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";70-ТУ-07212-2017;25.10.2017;компрессор кислородный, центробежный 4ГЦ-1-250/5, ст. № 1/49М, зав. № 87001, инв.№ 024945,
4ГЦ1-250/5;8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";70-ТУ-02858-2016;28.04.2016;Компрессор кислородный центробежный 4ГЦ-1-250/5, ст. № 5/53М, зав. № 92001, инв. № 025405,
4ГЦ2-109/18-76;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";54-ТУ-24270-2022;16.12.2022;центробежный компрессор марки 4ГЦ2-109/18-76, поз. КЦ 102/1, зав. № 88001 (Филиал АО «Сибу
4ГЦ2-109/18-76;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";59-ТУ-22847-2020;02.07.2020;техническое устройство, применяемое на опасном производственном объекте - Центробежный ком
4ГЦ2-109/18-76;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";41-ТУ-82953-2023;07.11.2023;техническое устройство Центробежный компрессор типа 4ГЦ2-109/18-76, техн. № КЦ-102/2, зав.
4ГЦ2-109/18-76;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";54-ТУ-21037-2021;07.12.2021;техническое устройство: центробежный компрессор марки 4ГЦ2-109/18-76 техн. № КЦ-102/2, зав
4ГЦ2-109/18-76;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";41-ТУ-91340-2023;30.11.2023;Заключение № 2067/05-2023 экспертизы промышленной безопасности на техническое устройство Ц
4ГЦ2-109/18-76;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";54-ТУ-24270-2022;16.12.2022;центробежный компрессор марки 4ГЦ2-109/18-76, поз. КЦ 102/1, зав. № 88001 (Филиал АО «Сибу
4ГЦ2-109/18-76;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";59-ТУ-22847-2020;02.07.2020;техническое устройство, применяемое на опасном производственном объекте - Центробежный ком
4ГЦ2-109/18-76;8610012450;"ООО ""Няганьгазпереработка""";57-ТУ-03336-2018;30.01.2018;Центробежный компрессор марки 4ГЦ2-109/18-76, техн. № КЦ-102, зав. № 89001 (Площадка газоп
4ГЦ2-109/18-76;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";57-ТУ-33727-2014;22.12.2014;на центробежный компрессор типа 4ГЦ2-109/18-76, поз. КЦ-102/2, установленный в машинном за
4ГЦ2-109/18-76;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";59-ТУ-47211-2019;07.11.2019;центробежный компрессор марки 4ГЦ2-109/18-76техн. № КЦ-202, зав. № 89003 (Площадка перераб
4ГЦ2-109/18-76;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";59-ТУ-00087-2017;09.01.2017;техническое устройство – Центробежный компрессор марки 4ГЦ2-109/18-76, тех. № КЦ-102/1, за
4ГЦ2-109/18-76;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";57-ТУ-46384-2018;04.12.2018;техническое устройство - Центробежный компрессор марки 4ГЦ2-109/18-76, техн. № КЦ-102/1, з
4ГЦ2-109/18-76;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";59-ТУ-03722-2018;01.02.2018;техническое устройство – Центробежный компрессор марки 4ГЦ2-109/18-76,техн. № КЦ-102/2, за
4ГЦ2-109/18-76;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";57-ТУ-42350-2015;09.11.2015;центробежный компрессор типа 4ГЦ2-109/18-76, поз. КЦ-102/2, установленный в машинном зале 
4ГЦ2-124/14-79;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";41-ТУ-81331-2024;05.12.2024;на техническое устройство - Компрессор центробежный типа 4ГЦ2-124/14-79 ГТУ, техн. № ТК-90
4ГЦ2-124/14-79;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";41-ТУ-81344-2024;05.12.2024;на техническое устройство - Компрессор центробежный типа 4ГЦ2-124/14-79 ГТУ, техн. № ТК-90
4ГЦ2-130/6-65;1102054991;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""";49-ТУ-100174-2023;21.12.2023;Заключение № 279 ОГПЗ -23 экспертизы промышленной безопасности на техническое устройство ц
4ГЦ2-130/6-65;1102054991;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""";49-ТУ-101616-2023;26.12.2023;Заключение № 276 ОГПЗ -23 экспертизы промышленной безопасности на техническое устройство ц
4ГЦ2-184/13,5-76;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";57-ТУ-44485-2018;23.11.2018;Техническое устройство – центробежный компрессор типа 4ГЦ2-184/13,5-76, поз. КЦ-102/2, зав
4ГЦ2-184/13,5-76;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";57-ТУ-51052-2018;20.12.2018;Техническое устройство – центробежный компрессор типа 4ГЦ2-184/13,5-76, поз. КЦ-102/1, зав
4ГЦ2-184/13,5-76;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";57-ТУ-51052-2018;20.12.2018;Техническое устройство – центробежный компрессор типа 4ГЦ2-184/13,5-76, поз. КЦ-102/1, зав
4ГЦ2-184/13,5-76;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";57-ТУ-44485-2018;23.11.2018;Техническое устройство – центробежный компрессор типа 4ГЦ2-184/13,5-76, поз. КЦ-102/2, зав
4ГЦ2-230/24-31;1102054991;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""";58-ТУ-41633-2023;01.12.2023;Заключение экспертизы промышленной безопасности № 604-СЗСК-23 на техническое устройство: ц
4ГЦ2-230/24-31;1102054991;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""";58-ТУ-41634-2023;01.12.2023;Заключение экспертизы промышленной безопасности № 610-СЗСК-23 на техническое устройство: ц
4ГЦ2-230/24-31;1102054991;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""";58-ТУ-55484-2020;22.12.2020;компрессор центробежный 4ГЦ2-230/24-31 УХЛ4 поз. ЦК-101/2, зав.№ 94001, инв.№ 301554, эксп
4ГЦ2-230/24-31;1102054991;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""";58-ТУ-55485-2020;22.12.2020;компрессор центробежный 4ГЦ2-230/24-31 УХЛ4 поз. ЦК-101/1, зав.№ 93001, инв.№ 301553, эксп
543ГЦ1-400/40;7414003633;"ПАО ""ММК""";56-ТУ-13734-2024;08.08.2024;кислородный компрессор 543ГЦ1-400/40 ст. №13 (зав. №89001), применяемый на опасном произво
5ГЦ1-400/0,3-1,7;7601001107;"ПАО ""СЛАВНЕФТЬ-ЯНОС""";18-ТУ-15456-2017;18.09.2017;на техническое устройство, применяемое на опасном производственном объекте - центробежный 
5ГЦ2-300/4,5-64;8604035473;"ООО ""РН-ЮГАНСКНЕФТЕГАЗ""";86-ТУ-401482-2025;28.10.2025;Группа технических устройств – центробежные компрессоры 5ГЦ2-300/4,5-64 зав. № 3001, 5ГЦ2-
5ГЦ2-300/4,5-64;8604035473;"ООО ""РН-ЮГАНСКНЕФТЕГАЗ""";58-ТУ-07735-2022;02.03.2022;группу технических устройств - центробежные компрессоры 5ГЦ2-300/4,5-64 зав. № 3001, 5ГЦ2-
66ГЦ-1162/1,3-38;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";41-ТУ-81330-2024;05.12.2024;на техническое устройство - Компрессор центробежный типа 66ГЦ-1162/1,3-38, техн. № ТК-801/
66ГЦ-1162/1,3-38;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";41-ТУ-90259-2023;28.11.2023;техническое устройство Центробежный компрессор марки 66ГЦ-1162/1,3-38, техн. № ТК-201/1, з
6ГЦ-375/4-77;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";41-ТУ-82479-2022;20.12.2022;Центробежный турбокомпрессор типа 6ГЦ-375/4-77ГТУ техн. № ТКА-4, зав. № 12001 (Площадка пе
ГПА-Ц-16/56;8904034784;"ООО ""ГАЗПРОМ ДОБЫЧА УРЕНГОЙ""";20-ТУ-25377-2024;12.11.2024;Заключение экспертизы промышленной безопасности № 8477-ЗЭ-2024 на техническое устройство: 
ГПА-Ц-16/56;8904034784;"ООО ""ГАЗПРОМ ДОБЫЧА УРЕНГОЙ""";20-ТУ-17192-2024;27.08.2024;Заключение экспертизы промышленной безопасности №ДП-2024-048.0400 на техническое устройств
ГПА-Ц-16/56;8904034784;"ООО ""ГАЗПРОМ ДОБЫЧА УРЕНГОЙ""";59-ТУ-23385-2023;08.08.2023;ЗАКЛЮЧЕНИЕ № ЗЭ-МСПб-ЦБН-0136.04-2023 ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ на техническое 
ГПА-Ц-16/56;8904034784;"ООО ""ГАЗПРОМ ДОБЫЧА УРЕНГОЙ""";59-ТУ-24625-2023;15.08.2023;ЗАКЛЮЧЕНИЕ № ЗЭ-МСПб-ЦБН-0102.04-2023 ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ на техническое 
ГПА-Ц-16/56;8904034784;"ООО ""ГАЗПРОМ ДОБЫЧА УРЕНГОЙ""";59-ТУ-24641-2023;15.08.2023;ЗАКЛЮЧЕНИЕ № ЗЭ-МСПб-ЦБН-0133.04-2023 ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ на техническое 
ГПА-Ц-16/56;8904034784;"ООО ""ГАЗПРОМ ДОБЫЧА УРЕНГОЙ""";59-ТУ-23388-2023;08.08.2023;ЗАКЛЮЧЕНИЕ № ЗЭ-МСПб-ЦБН-0137.04-2023 ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ на техническое 
ГПА-Ц-16/56;8904034784;"ООО ""ГАЗПРОМ ДОБЫЧА УРЕНГОЙ""";57-ТУ-44679-2019;24.10.2019;Корпус центробежного нагнетателя и ротор газоперекачивающего агрегата ГПА-Ц-16/56, рег. № 
ГПА-Ц-16/56;8904034784;"ООО ""ГАЗПРОМ ДОБЫЧА УРЕНГОЙ""";57-ТУ-44691-2019;24.10.2019;Корпус центробежного нагнетателя и ротор газоперекачивающего агрегата ГПА-Ц-16/56, тех. № 
ГПА-Ц-16/76;8622000931;"ООО ""ГАЗПРОМ ТРАНСГАЗ ЮГОРСК""";57-ТУ-16384-2019;19.04.2019;корпус и ротор центробежного нагнетателя ГПА-Ц-16/76, зав. № 162, ст. № 51, инв. № 137190 
ГПА-Ц-16/76;8904034784;"ООО ""ГАЗПРОМ ДОБЫЧА УРЕНГОЙ""";20-ТУ-17191-2024;27.08.2024;Заключение экспертизы промышленной безопасности №ДП-2024-048.0399 на техническое устройств
ГПА-Ц-16/76;8904034784;"ООО ""ГАЗПРОМ ДОБЫЧА УРЕНГОЙ""";47-ТУ-63888-2024;09.10.2024;Заключение экспертизы промышленной безопасности № ДП-2024-048.0784 на техническое устройст
ГПА-Ц-16/76;8904034784;"ООО ""ГАЗПРОМ ДОБЫЧА УРЕНГОЙ""";59-ТУ-23383-2023;08.08.2023;ЗАКЛЮЧЕНИЕ №ЗЭ-МСПб-ЦБН-0134.04-2023 ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ на техническое у
ГПА-Ц-16/76;8904034784;"ООО ""ГАЗПРОМ ДОБЫЧА УРЕНГОЙ""";59-ТУ-23384-2023;08.08.2023;ЗАКЛЮЧЕНИЕ № ЗЭ-МСПб-ЦБН-0135.04-2023 ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ на техническое 
ГПА-Ц-16/76;8904034784;"ООО ""ГАЗПРОМ ДОБЫЧА УРЕНГОЙ""";57-ТУ-44687-2019;24.10.2019;Корпус центробежного нагнетателя и ротор газоперекачивающего агрегата ГПА-Ц-16/76, зав. № 
ГПА-Ц-16/76;8904034784;"ООО ""ГАЗПРОМ ДОБЫЧА УРЕНГОЙ""";57-ТУ-44682-2019;24.10.2019;Корпус центробежного нагнетателя и ротор газоперекачивающего агрегата ГПА-Ц-16/76, зав. № 
ГПА-ЦЗ-16С;8905026850;"ООО ""ГАЗПРОМ ДОБЫЧА НОЯБРЬСК""";57-ТУ-04675-2020;10.02.2020;Центробежный нагнетатель (корпус центробежного нагнетателя ГПА-ЦЗ-16С/76-1,44) зав.№ 1, ст
ГЦ1-119/1,35-14,3;3814007314;"АО ""САЯНСКХИМПЛАСТ""";67-ТУ-04106-2022;05.04.2022;Компрессор ГЦ 1-119/1,35-14,3 УХЛ 4, поз. L-601-1А, зав. № 03002 место расположения «Площа
ГЦ1-119/1,35-14,3;3814007314;"АО ""САЯНСКХИМПЛАСТ""";67-ТУ-08037-2022;21.06.2022;Компрессор ГЦ 1-119/1,35-14,3 УХЛ 4, поз. L-601-1В, зав. № 03001 место расположения «Площа
ТАКАТ 50.07;7717133960;"ПАО НК ""РУССНЕФТЬ""";58-ТУ-16352-2024;06.05.2024;Компрессор МКУ «ТАКАТ 50.07», зав. №89019, peг. №б/н, Тагринское месторождение, 33960.1-01
ТАКАТ 50.07;0277106840;"ООО ""БАШНЕФТЬ-ДОБЫЧА""";23-ТУ-26431-2023;05.12.2023;Заключение экспертизы промышленной безопасности № БНД/У/8/298/22/ОГМ.2142.2023: на техниче
УНЦ-16-76/1,44;5260080007;"ООО ""ГАЗПРОМ ТРАНСГАЗ НИЖНИЙ НОВГОРОД""";40-ТУ-00568-2020;20.02.2020;техническое устройство: нагнетатель центробежный типа УНЦ-16-76/1,44 (ротор зав. № б/н и к
