inn;predpriyatie;vsego;vzyato;pochemu
1644003838;"ПАО ""ТАТНЕФТЬ"" ИМ. В.Д. ШАШИНА";117;117;обойдено
9106001900;"АО ""СЗ""";0;0;обойдено
6629022962;"АО ""УЭХК""";0;0;обойдено
6615001962;"АО ""ЕВРАЗ КГОК""";0;0;обойдено
4312126856;"ООО ""ГАЛОПОЛИМЕР КИРОВО-ЧЕПЕЦК""";12;12;обойдено
1651025328;"АО ""ТАИФ-НК""";181;181;обойдено
7204095194;"ООО ""ТЮМЕНЬ ВОДОКАНАЛ""";0;0;обойдено
2465142996;"ООО ""РН-ВАНКОР""";6107;600;ВЗЯТО НЕ ВСЁ: страниц 408, взято 40 — поднять --stranic
7422000795;"ФГУП ""ПО ""МАЯК""";0;0;обойдено
5919470019;"ОАО ""СМЗ"" (ИНН 5919470019)";0;0;обойдено
2903000446;"АО ""АРХАНГЕЛЬСКИЙ ЦБК"", АЦБК";0;0;обойдено
5001071638;"ООО ""КРИОГАЗ"" (ИНН 5001071638)";0;0;обойдено
5003063216;"ООО ""КРИОГАЗ СЕВЕРО-ЗАПАД""";0;0;обойдено
7449006184;ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ЧЕЛЯБИНСКИЙ КУЗНЕЧНО-ПРЕССОВЫЙ ЗАВОД;0;0;обойдено
6310000160;"АО ""СМЗ"" (ИНН 6310000160)";0;0;обойдено
0268008010;"АО ""БСК""";30;30;обойдено
3528000597;"ПАО ""СЕВЕРСТАЛЬ""";3;3;в выдаче 2 разных организаторов — проверить
4823006703;"ПАО ""НЛМК""";0;0;обойдено
7414003633;"ПАО ""ММК""";19;19;обойдено
1651000010;"ПАО ""НИЖНЕКАМСКНЕФТЕХИМ""";0;0;обойдено
3448046860;"ООО ""ПРАКСАЙР ВОЛГОГРАД""";0;0;обойдено
1651000041;"АО ""НИЖНЕКАМСКТЕХУГЛЕРОД""";0;0;обойдено
7709930344;"ООО ""ПРАКСАЙР АЗОТ ТОЛЬЯТТИ""";0;0;обойдено
7610052644;"ПАО""ОДК-Сатурн""";0;0;обойдено
5243000185;"ЗАО ""Арзамасский хлеб""";0;0;обойдено
7703370008;"ПАО ""МЕЧЕЛ""";15;15;обойдено
7830001910;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАЛТИЙСКИЙ ЗАВОД""";0;0;обойдено
7714572888;АОСТНГ;0;0;обойдено
1434045743;Эльгауголь;0;0;обойдено
5001000041;"АО ""ЛГР""";0;0;обойдено
4715022874;Пикалевская сода;0;0;обойдено
7327077188;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ УЛЬЯНОВСКИЙ АВТОМОБИЛЬНЫЙ ЗАВОД;0;0;обойдено
5249105219;"АО ""КОРУНД-ЦИАН""";0;0;обойдено
1653006666;"МУП ""ВОДОКАНАЛ""";0;0;обойдено
1902025326;"ООО ""СКС""";0;0;обойдено
2012006949;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЧЕЧЕНЦЕМЕНТ""";0;0;обойдено
8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";7283;600;ВЗЯТО НЕ ВСЁ: страниц 486, взято 40 — поднять --stranic
7703647595;"АО ""ОХК ""УРАЛХИМ""";27;27;в выдаче 4 разных организаторов — проверить
7721632827;"АО ""КОНЦЕРН РОСЭНЕРГОАТОМ""";0;0;обойдено
2902059091;"АО ""ПО ""СЕВМАШ""";0;0;обойдено
1658087524;"ООО ""ЗАПСИБНЕФТЕХИМ""";24;24;обойдено
6623029538;"АО ""НПК ""Уралвагонзавод""";0;0;обойдено
0277014204;"ПАО ""УФАОРГСИНТЕЗ""";244;244;в выдаче 3 разных организаторов — проверить
1658008723;"ПАО ""КАЗАНЬОРГСИНТЕЗ""";0;0;обойдено
3128005752;"АО ""ОЭМК ИМ. А.А. УГАРОВА""";0;0;обойдено
4253042369;"ООО ""ЭР ЛИКИД КУЗБАСС""";0;0;обойдено
7729082090;МОСКОВСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ИМЕНИ М.В.ЛОМОНОСОВА, МГУ ИМЕНИ М.В.ЛОМОНОСОВА, МОСКОВСКИЙ УНИВЕРСИТЕТ ИЛИ МГУ;20;20;обойдено
1101205461;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОМИ ТЕПЛОВАЯ КОМПАНИЯ""";0;0;обойдено
6612006391;РУСАЛ Кремний Урал;0;0;обойдено
2536210349;"АО ""ЦСД""";2;2;обойдено
2460237901;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАЗАРОВСКАЯ ГРЭС""";0;0;обойдено
3304000103;МУВКП;0;0;обойдено
5322015508;"ООО СТАРОРУССКОЕ ""ЖКХ""";0;0;обойдено
2453013555;"АО ""ПО ЭХЗ""";0;0;обойдено
6615015316;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ КАЧКАНАРСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ""ГОРОДСКИЕ ЭНЕРГОСИСТЕМЫ""";42;42;в выдаче 2 разных организаторов — проверить
7701984274;"АО ""Мосводоканал""";0;0;обойдено
6315376946;"ПАО ""Т ПЛЮС""";0;0;обойдено
1434031363;"АО ""ДГК"" (ИНН 1434031363)";0;0;обойдено
3808229774;"ООО ""БАЙКАЛЬСКАЯ ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ""";10;10;обойдено
2631015563;"АО ""НЕВИННОМЫССКИЙ АЗОТ""";0;0;обойдено
6451122250;"ООО ""САРАТОВОРГСИНТЕЗ""";0;0;обойдено
0268004714;"АО ""СНХЗ""";0;0;обойдено
6320004728;"АО ""ТОАЗ""";3;3;обойдено
7116000066;"АО ""НАК ""АЗОТ""";0;0;обойдено
2303025270;"ООО ""ЕВРОХИМ-БМУ""";0;0;обойдено
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";0;0;обойдено
3801009466;"АО ""АНХК""";211;211;в выдаче 2 разных организаторов — проверить
3445042160;"ООО ""ГАЗПРОМ ТРАНСГАЗ ВОЛГОГРАД""";0;0;обойдено
8904034777;"ООО ""ГАЗПРОМ ДОБЫЧА ЯМБУРГ""";0;0;обойдено
7722245108;"ООО ""МЕЧЕЛ-ЭНЕРГО""";0;0;обойдено
2434012299;"ООО ""СОВРУДНИК""";12;12;обойдено
7424024375;"ПАО ""ЮГК""";0;0;обойдено
5920000593;"ООО ""ГАЗПРОМ ТРАНСГАЗ ЧАЙКОВСКИЙ""";0;0;обойдено
7839395419;"АО ""АДМИРАЛТЕЙСКИЕ ВЕРФИ""";0;0;обойдено
7017156263;"ООО ""ГАЗПРОМ МЕТАНОЛ""";0;0;обойдено
2462206345;"АО ""Красмаш""";0;0;обойдено
5256049357;"ООО ""АВТОЗАВОДСКАЯ ТЭЦ""";1;1;обойдено
5501041254;"АО ""ГАЗПРОМНЕФТЬ-ОНПЗ""";0;0;обойдено
5103070023;"АО ""АПАТИТ""";0;0;обойдено
1102024468;"ООО ""ГАЗПРОМ ТРАНСГАЗ УХТА""";0;0;обойдено
8617002073;"ООО ""ГАЗПРОМ ТРАНСГАЗ СУРГУТ""";0;0;обойдено
8608048498;"ООО ""ЛУКОЙЛ-ЗАПАДНАЯ СИБИРЬ""";0;0;обойдено
4214000608;"ПАО ""ЮЖНЫЙ КУЗБАСС""";0;0;обойдено
7450001007;"ПАО ""ЧМК""";27;27;обойдено
5191431170;"АО ""КОЛЬСКАЯ ГМК""";2218;300;"ОБОРВАЛОСЬ на середине: JSON не разобран: Expecting value: line 1 column 1 (char 0) | начало: <!DOCTYPE html><html lang=""ru""><head>
    <meta ch"
6325004584;"АО ""СНПЗ""";591;300;"ОБОРВАЛОСЬ на середине: JSON не разобран: Expecting value: line 1 column 5 (char 4) | начало:     request_id: rNCB1K1VVuQ1
    ip: 91.206.14.169"
5501023216;"АО ""ОМСКИЙ КАУЧУК""";98;98;в выдаче 2 разных организаторов — проверить
8602067092;"ПАО ""ЮНИПРО""";3937;300;"ОБОРВАЛОСЬ на середине: JSON не разобран: Expecting value: line 1 column 1 (char 0) | начало: <!DOCTYPE html><html lang=""ru""><head>
    <meta ch"
4221000535;"АО ""РУСАЛ НОВОКУЗНЕЦК""";2;2;обойдено
7728640182;"ООО ""ГАЗПРОМНЕФТЬ -СМ""";0;0;обойдено
7840346335;"АО ""ГРУППА ""ИЛИМ""";990;255;"ОБОРВАЛОСЬ на середине: JSON не разобран: Expecting value: line 1 column 5 (char 4) | начало:     request_id: oNCcvJ133Cg1
    ip: 91.206.14.169"
7117000076;"АО ""Пластик""";0;0;обойдено
5615002700;"ПАО ""ОРСКНЕФТЕОРГСИНТЕЗ""";0;0;обойдено
7723332561;"ООО ""НПП ""НЕФТЕХИМИЯ""";0;0;обойдено
7716182080;"ООО ""ДИАЛЛ АЛЬЯНС""";0;0;обойдено
7415036215;"АО ""ЭнСер""";0;0;обойдено
6618000220;"ОАО ""Святогор""";0;0;обойдено
0269034133;"ООО ""Туймазинское ГПП""";893;195;"ОБОРВАЛОСЬ на середине: JSON не разобран: Expecting value: line 1 column 1 (char 0) | начало: <!DOCTYPE html><html lang=""ru""><head>
    <meta ch"
0266036534;"АО ""СХЗ"" (ИНН 0266036534)";2;2;обойдено
4205037640;"ООО ""ОФ ""Тайбинская""";0;0;обойдено
5452114972;"АО ""Ерофеев""";3;3;обойдено
3435900186;"АО ""ВТЗ""";2;2;обойдено
7601001107;"ПАО ""СЛАВНЕФТЬ-ЯНОС""";5224;135;"ОБОРВАЛОСЬ на середине: JSON не разобран: Expecting value: line 1 column 5 (char 4) | начало:     request_id: oNCsIK1BBmI1
    ip: 91.206.14.169"
5321029508;"ПАО ""АКРОН""";0;0;обойдено
5607019523;"АО ""УРАЛЬСКАЯ СТАЛЬ""";0;0;обойдено
5603045522;"ООО ""РН-БГПП""";14;14;в выдаче 3 разных организаторов — проверить
4633001577;"АО ""МИХАЙЛОВСКИЙ ГОК ИМ. А.В. ВАРИЧЕВА""";0;0;обойдено
6335007320;"АО ""ПРОМСИНТЕЗ""";15;15;обойдено
5036074848;"ООО ""ХАЙДЕЛЬБЕРГЦЕМЕНТ РУС""";0;0;обойдено
2457061920;"ООО ""НОРИЛЬСКИЙ ОБЕСПЕЧИВАЮЩИЙ КОМПЛЕКС""";145;45;"ОБОРВАЛОСЬ на середине: JSON не разобран: Expecting value: line 1 column 1 (char 0) | начало: <!DOCTYPE html><html lang=""ru""><head>
    <meta ch"
2465000141;"АО ""РУСАЛ КРАСНОЯРСК""";1;1;обойдено
4715030610;"ООО ""ПГЛЗ""";0;0;обойдено
4909095279;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""УСТЬ-СРЕДНЕКАНГЭССТРОЙ""";0;0;обойдено
7701791321;"ООО ""СК ""РУСВЬЕТПЕТРО""";2574;600;ВЗЯТО НЕ ВСЁ: страниц 172, взято 40 — поднять --stranic
4100000668;"ПАО ""КАМЧАТСКЭНЕРГО""";0;0;обойдено
5017046933;"МУП ""Истринская теплосеть""";0;0;обойдено
2536112729;"КГУП ""Примтеплоэнерго""";0;0;обойдено
4026000490;"МУП ГЭТ ""УКТ"" Г.КАЛУГИ";0;0;обойдено
3435900563;"АО ""ВОЛЖСКИЙ ОРГСИНТЕЗ""";0;0;обойдено
7702352454;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";47598;600;ВЗЯТО НЕ ВСЁ: страниц 3174, взято 40 — поднять --stranic
2607018122;"ПАО ""ОГК-2""";0;0;обойдено
7019035722;"АО ""ГАЗПРОМ ДОБЫЧА ТОМСК""";0;0;обойдено
4222010511;"ПАО ""ЮК ГРЭС""";0;0;обойдено
2902060361;"АО ""ЦС ""ЗВЕЗДОЧКА""";0;0;обойдено
3665046177;АО КБХА;2;2;обойдено
7201000726;"АО ""ТРАНСНЕФТЬ - СИБИРЬ""";0;0;обойдено
7843003128;"АО ""КРОНШТАДТСКИЙ МОРСКОЙ ЗАВОД""";0;0;обойдено
1435117944;"Акционерное общество ""Сахаэнерго""";0;0;обойдено
2503026908;"АО ""ДВЗ ""Звезда""";0;0;обойдено
0276178778;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦИАЛИЗИРОВАННОЕ АВТОМОБИЛЬНОЕ ХОЗЯЙСТВО ПО УБОРКЕ ГОРОДА""";0;0;обойдено
5005038631;"МУП ""Белоозерское ЖКХ""";0;0;обойдено
0268000188;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""СТЕРЛИТАМАКВОДОКАНАЛ"" ГОРОДСКОГО ОКРУГА ГОРОД СТЕРЛИТАМАК РЕСПУБЛИКИ БАШКОРТОСТАН";8;8;обойдено
1103047637;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОРКУТИНСКИЙ ВОДОКАНАЛ"" МУНИЦИПАЛЬНОГО ОКРУГА ""ВОРКУТА"" РЕСПУБЛИКИ КОМИ";0;0;обойдено
5003026493;"ООО ""ГАЗПРОМ БУРЕНИЕ""";140;140;в выдаче 2 разных организаторов — проверить
5250043567;"ООО ""ЛУКОЙЛ-НИЖЕГОРОДНЕФТЕОРГСИНТЕЗ""";0;0;обойдено
2722010040;"АО ""ННК-ХАБАРОВСКИЙ НПЗ""";0;0;обойдено
5001000066;"АО ""КРИОГЕНМАШ""";0;0;обойдено
3834002314;"ПАО ""КОРШУНОВСКИЙ ГОК""";19;19;обойдено
1902014500;"АО ""РУСАЛ САЯНОГОРСК""";0;0;обойдено
9701011913;"ООО ""ЗАРУБЕЖНЕФТЬ-ДОБЫЧА ХАРЬЯГА""";486;486;в выдаче 2 разных организаторов — проверить
7736186950;"ООО ""ГАЗПРОМ ЭНЕРГО""";0;0;обойдено
8605003932;"ПАО ""СН-МНГ""";46;46;обойдено
6317024749;"АО ""ТРАНСНЕФТЬ-ПРИВОЛГА""";0;0;обойдено
6673125685;"ООО ""ЮЖУРАЛМАШ""";7;7;обойдено
5610218014;"ООО ""ГАЗПРОМНЕФТЬ-ОРЕНБУРГ""";0;0;обойдено
7702038150;"ГУП ""Московский метрополитен""";0;0;обойдено
5501085734;"ООО ""ПОЛИОМ""";0;0;обойдено
0278039018;"АО ""ТРАНСНЕФТЬ - УРАЛ""";0;0;обойдено
6318105574;"АО ""МЕТАЛЛИСТ-САМАРА""";0;0;обойдено
1500004950;"Акционерное общество ""Инфраструктурные Проекты""";0;0;обойдено
8901014564;"ООО ""ЯРГЕО""";0;0;обойдено
4345047310;"АО ""ВМП ""АВИТЕК""";4607;600;ВЗЯТО НЕ ВСЁ: страниц 308, взято 40 — поднять --stranic
5501072598;"ООО ""РМЗ ""ГПН-ОНПЗ""""";0;0;обойдено
5906042295;"ООО ""ТЕПЛО-М""";0;0;обойдено
4714004270;"ФГУП ""ФЭО""";0;0;обойдено
7805059786;"АО ""МЗ ""ПЕТРОСТАЛЬ""";0;0;обойдено
3815011264;"ООО ""РУСАЛ ТАЙШЕТ""";0;0;обойдено
0266040210;"ООО ""АКРИЛ САЛАВАТ""";0;0;обойдено
5911013780;"АО ""БСЗ"" (ИНН 5911013780)";0;0;обойдено
7705551779;"ООО ""РИ-ИНВЕСТ""";0;0;обойдено
7302040242;"АО ""ГНЦ НИИАР""";0;0;обойдено
3801079671;"ООО""ТРАНСНЕФТЬ - ВОСТОК""";0;0;обойдено
4102009338;"АО ""СВРЦ""";0;0;обойдено
7327063643;"АО ""ТЕПЛИЧНОЕ""";0;0;обойдено
3202001147;"АО ""МАЛЬЦОВСКИЙ ПОРТЛАНДЦЕМЕНТ""";0;0;обойдено
5254001230;"ФГУП ""РФЯЦ - ВНИИЭФ""";0;0;обойдено
5503109356;"ООО ""ТГКом""";0;0;обойдено
3127000014;"АО ""ЛЕБЕДИНСКИЙ ГОК""";0;0;обойдено
2723188252;"ООО ""Амурсталь""";0;0;обойдено
2224152758;"АО ""СГК-АЛТАЙ""";0;0;обойдено
4212002310;"ООО ""Сиб-Дамель""";0;0;обойдено
7721261080;"ГУП ""ЛПЗ""";0;0;обойдено
5024070944;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ФИНАНСОВО-ПРОЕКТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ МОСКОВСКОЙ ОБЛАСТИ""";0;0;обойдено
5048052077;"МП ""ЖКХ Чеховского района""";0;0;обойдено
6623122216;"ООО ""ЯМЗ"" (ИНН 6623122216)";0;0;обойдено
5904081443;"ПЕРМСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРОДСКОЕ КОММУНАЛЬНОЕ И ТЕПЛОВОЕ ХОЗЯЙСТВО""";0;0;обойдено
5260123469;"ООО ""Завод синтанолов""";0;0;обойдено
5905018998;"АО ""СИБУР-ХИМПРОМ""";0;0;обойдено
1627005779;"АО ""АММОНИЙ""";0;0;обойдено
5249051203;"АО ""СИБУР-НЕФТЕХИМ""";0;0;обойдено
4407006010;"ООО ""СВИСС КРОНО""";0;0;обойдено
0274051582;"ПАО АНК ""БАШНЕФТЬ""";616;75;ОБОРВАЛОСЬ на середине: тело пусто. ключи: captcha_type,chromium_exe,data_found,error,html,html_full_len,html_truncated,http_status,proxy_used,s
4205000908;"КАО ""АЗОТ""";2;2;обойдено
6623000680;"ПАО ""ЕВРАЗ""";9;9;обойдено
6323049893;"ООО ""ТОЛЬЯТТИКАУЧУК""";8;8;обойдено
6330017980;"АО ""ННК""";164;164;обойдено
2434000335;"АО ""ПОЛЮС КРАСНОЯРСК""";0;0;обойдено
4708007089;"ООО""КИНЕФ""";0;0;обойдено
6704000505;"ПАО ""Дорогобуж""";5;5;обойдено
1106014140;"ООО ""ЛУКОЙЛ-Коми"" (ИНН 1106014140)";0;0;обойдено
0266033685;"ООО ""ПВК""";0;0;обойдено
2204001528;"ФКП  ""БОЗ""";0;0;обойдено
0270007455;"АО ""УЧАЛИНСКИЙ ГОК""";0;0;обойдено
6625004271;"АО ""ПНТЗ""";0;0;обойдено
7705739450;"ООО ""НЕСТЛЕ РОССИЯ""";0;0;обойдено
5920014645;"АО ""УРАЛОРГСИНТЕЗ""";0;0;обойдено
2801147023;"ООО ""Маломырский рудник""";0;0;обойдено
6167055777;"ООО ""МЭЗ ЮГ РУСИ""";11;11;в выдаче 2 разных организаторов — проверить
2310040800;"АО ""КТК-Р""";0;0;обойдено
3232000609;"ОАО ""Бежицкий хлебокомбинат""";151;151;обойдено
4218000951;"АО ""ЕВРАЗ ЗСМК""";0;0;обойдено
2443000518;"АО ""АНПЗ ВНК""";192;192;в выдаче 3 разных организаторов — проверить
3448017919;"ООО ""ЛУКОЙЛ-ВОЛГОГРАДНЕФТЕПЕРЕРАБОТКА""";0;0;обойдено
3801046700;"АО ""АЗП""";67;67;в выдаче 3 разных организаторов — проверить
7206025040;"ООО ""СИБУР Тобольск""";0;0;обойдено
0268036071;"ОАО ""Синтез-Каучук""";0;0;обойдено
6451114900;"ПАО ""САРАТОВСКИЙ НПЗ""";152;152;в выдаче 3 разных организаторов — проверить
3627000397;"АО ""МИНУДОБРЕНИЯ""";0;0;обойдено
8913008332;"ООО ""ПУРНЕФТЕПЕРЕРАБОТКА""";12;12;в выдаче 2 разных организаторов — проверить
2205001753;"АО ""АЛТАЙ-КОКС""";0;0;обойдено
7101006354;"ООО ""Проктер энд Гэмбл-Новомосковск""";0;0;обойдено
1102057865;"ООО  ""ЛУКОЙЛ-УНП""";0;0;обойдено
5606001611;"ООО ""ММСК""";0;0;обойдено
5250051800;"ООО ""СИБУР-КСТОВО""";0;0;обойдено
3801072394;"ООО ""ААТЗ""";3;3;обойдено
1121003135;"АО ""СЛПК""";0;0;обойдено
