marka;vid;sereya;proizvoditel;sreda;uverennost;pochemu;predpriyatiy;upominaniy;goditsya_dlya_poiska;kto_razobral
Н-26;позиционное обозначение установки;;;;;;8;21;;1-я сессия
Т-101;позиционное обозначение установки;;;;;;8;45;;1-я сессия
Т-103;позиционное обозначение установки;;;;;;8;11;;1-я сессия
Т-11;позиционное обозначение установки;;;;;;8;10;;1-я сессия
1000;позиционное обозначение установки;;;;;;7;433;;1-я сессия
400;позиционное обозначение установки;;;;;;7;9;;1-я сессия
4М10-40;поршневой;;;;;серия 4М10 (Краснодарский компрессорный завод / Сумское НПО), поршневой компрессор;7;28;;1-я сессия
PN-7,5;не компрессор (другое оборудование);;;;;обозначение номинального давления (PN 7,5) арматуры или оборудования;7;21;;1-я сессия
PN-75;не компрессор (другое оборудование);;;;;обозначение номинального давления (PN 75) или элемента трубопроводов;7;13;;1-я сессия
PN-8,0;не компрессор (другое оборудование);;;;;обозначение номинального давления (PN 8,0 bar/MPa) арматуры или трубопроводов;7;47;;1-я сессия
Е-103;позиционное обозначение установки;;;;;;7;9;;1-я сессия
Е-19;позиционное обозначение установки;;;;;;7;13;;1-я сессия
Е-305;позиционное обозначение установки;;;;;;7;8;;1-я сессия
К-1700;центробежный воздушный;;;;;серия К (Невский завод), центробежный воздушный компрессор/нагнетатель К-1700;7;32;;1-я сессия
Н-17;позиционное обозначение установки;;;;;;7;10;;1-я сессия
Н-21;позиционное обозначение установки;;;;;;7;11;;1-я сессия
Н-22;позиционное обозначение установки;;;;;;7;20;;1-я сессия
Н-32;позиционное обозначение установки;;;;;;7;10;;1-я сессия
П-1;позиционное обозначение установки;;;;;;7;16;;1-я сессия
С-102;позиционное обозначение установки;;;;;;7;23;;1-я сессия
Т-2;позиционное обозначение установки;;;;;;7;18;;1-я сессия
11-1000;позиционное обозначение установки;;;;;;6;248;;1-я сессия
30-45М;не знаю;;;;;;6;15;;1-я сессия
5ЦД-208;центробежный газовый или технологический;;;;;серия 5ЦД/ЦД, Невский завод / Сумское НПО, центробежный компрессор;6;15;;1-я сессия
DUB-362Z;не знаю;;;;;;6;8;;1-я сессия
PN-1,6;не компрессор (другое оборудование);;;;;обозначение номинального давления (PN 1,6 МПа);6;22;;1-я сессия
PN-16;не компрессор (другое оборудование);;;;;обозначение номинального давления (PN 16 bar / 1,6 МПа);6;31;;1-я сессия
АК-0,6;поршневой;;;;;серия АК, поршневой компрессорный агрегат;6;11;;1-я сессия
ВОК-79,2;не знаю;;;;;;6;21;;1-я сессия
ВОТ-380;не компрессор (другое оборудование);;;;;ВОТ - высокотемпературный органический теплоноситель;6;17;;1-я сессия
ВП-50;поршневой;;;;;серия ВП, поршневой воздушный компрессор;6;22;;1-я сессия
ВЦ-4-75;вентилятор или дымосос;;;;;серия ВЦ, вентилятор центробежный;6;6;;1-я сессия
ГПА-16;центробежный газовый или технологический;;;;;серия ГПА-16, газоперекачивающий агрегат с центробежным нагнетателем природного газа;6;101;;1-я сессия
ГТК-10-4;центробежный газовый или технологический;;;;;серия ГТК-10-4 (ТМЗ/НЗЛ), газоперекачивающий агрегат с центробежным компрессором природного газа;6;77;;1-я сессия
Е-105;позиционное обозначение установки;;;;;позиция оборудования на схеме (Е - емкость);6;12;;1-я сессия
Е-106;позиционное обозначение установки;;;;;позиция на схеме, Е - емкость;6;6;;1-я сессия
К-301;позиционное обозначение установки;;;;;позиция оборудования на схеме (К - колонна/компрессор);6;9;;1-я сессия
КС-19;не компрессор (другое оборудование);;;;;марка компрессорного масла (КС-19);6;16;;1-я сессия
КТК-7;позиционное обозначение установки;;;;;обозначение технологического комплекса/установки;6;17;;1-я сессия
ЛГ-35;не компрессор (другое оборудование);;;;;технологическая установка риформинга/гидроочистки (ЛГ-35);6;41;;1-я сессия
М-15;позиционное обозначение установки;;;;;;6;32;;1-я сессия
Н-16;позиционное обозначение установки;;;;;позиция оборудования на схеме (Н - насос);6;10;;1-я сессия
Н-24;позиционное обозначение установки;;;;;позиция оборудования на схеме (Н - насос);6;7;;1-я сессия
Н-45;позиционное обозначение установки;;;;;позиция оборудования на схеме (Н - насос);6;8;;1-я сессия
П-2;позиционное обозначение установки;;;;;позиция оборудования на схеме (П - печь);6;21;;1-я сессия
Р-101;позиционное обозначение установки;;;;;позиция оборудования на схеме (Р - реактор/ресивер);6;18;;1-я сессия
С-10;позиционное обозначение установки;;;;;позиция оборудования на схеме (С - сепаратор);6;28;;1-я сессия
С-103;позиционное обозначение установки;;;;;позиция оборудования на схеме (С - сепаратор);6;21;;1-я сессия
Т-10;позиционное обозначение установки;;;;;позиция оборудования на схеме (Т - теплообменник);6;11;;1-я сессия
Т-3;позиционное обозначение установки;;;;;позиция оборудования на схеме (Т - теплообменник);6;12;;1-я сессия
Т-6;позиционное обозначение установки;;;;;позиция оборудования на схеме (Т - теплообменник);6;14;;1-я сессия
Т-7;позиционное обозначение установки;;;;;позиция оборудования на схеме (Т - теплообменник);6;24;;1-я сессия
УКПГ-1В;позиционное обозначение установки;;;;;УКПГ - установка комплексной подготовки газа;6;28;;1-я сессия
УКПГ-3С;не компрессор (другое оборудование);;;;;Установка комплексной подготовки газа (УКПГ-3С, технологический комплекс);6;46;;1-я сессия
0,4;позиционное обозначение установки;;;;;;5;9;;1-я сессия
1-1;позиционное обозначение установки;;;;;;5;10;;1-я сессия
1-4;позиционное обозначение установки;;;;;;5;6;;1-я сессия
3ГП-12;поршневой;;;;;серия 3ГП, поршневой компрессор;5;12;;1-я сессия
8-2;позиционное обозначение установки;;;;;;5;11;;1-я сессия
9М1;воздуходувка Рутса или вихревая;;;;;серия 9М1, воздуходувка ротационная Рутса;5;18;;1-я сессия
BR-776;позиционное обозначение установки;;;;;;5;10;;1-я сессия
А-1;позиционное обозначение установки;;;;;;5;6;;1-я сессия
АВШ-3,7;поршневой;;;;;серия АВШ, поршневой компрессор высокого давления;5;11;;1-я сессия
АФК-65;не компрессор (другое оборудование);;;;;арматура фонтанная кованая;5;41;;1-я сессия
Б-1;позиционное обозначение установки;;;;;позиционный номер оборудования;5;14;;1-я сессия
Б-2;позиционное обозначение установки;;;;;позиционный номер оборудования;5;12;;1-я сессия
В-1;позиционное обозначение установки;;;;;позиционный номер оборудования;5;48;;1-я сессия
В-101;позиционное обозначение установки;;;;;позиционный номер оборудования;5;13;;1-я сессия
В-12;позиционное обозначение установки;;;;;позиционный номер оборудования;5;20;;1-я сессия
Е-104;позиционное обозначение установки;;;;;;5;12;;1-я сессия
Е-107;позиционное обозначение установки;;;;;;5;6;;1-я сессия
Е-13;позиционное обозначение установки;;;;;;5;5;;1-я сессия
Е-14;позиционное обозначение установки;;;;;;5;6;;1-я сессия
Е-15;позиционное обозначение установки;;;;;;5;9;;1-я сессия
Е-18;позиционное обозначение установки;;;;;;5;5;;1-я сессия
Е-201;позиционное обозначение установки;;;;;позиция на схеме, Е - емкость;5;20;;1-я сессия
Е-202;позиционное обозначение установки;;;;;;5;11;;1-я сессия
Е-21;позиционное обозначение установки;;;;;;5;10;;1-я сессия
Е-24;позиционное обозначение установки;;;;;;5;5;;1-я сессия
Е-25;позиционное обозначение установки;;;;;;5;5;;1-я сессия
К-201А;позиционное обозначение установки;;;;;позиция на схеме, К - компрессор или колонна;5;16;;1-я сессия
К-3;позиционное обозначение установки;;;;;;5;11;;1-я сессия
КЦ-101;позиционное обозначение установки;;;;;позиционный номер оборудования;5;109;;1-я сессия
ЛЧ-35-11;позиционное обозначение установки;;;;;обозначение технологической установки (риформинг/гидроочистка);5;31;;1-я сессия
Н-14;позиционное обозначение установки;;;;;позиция на схеме, Н - насос;5;15;;1-я сессия
Н-25;позиционное обозначение установки;;;;;;5;9;;1-я сессия
Н-3;позиционное обозначение установки;;;;;позиция на схеме, Н - насос;5;16;;1-я сессия
Н-3,4;позиционное обозначение установки;;;;;;5;10;;1-я сессия
Н-5;позиционное обозначение установки;;;;;позиция на схеме, Н - насос;5;14;;1-я сессия
П-101;позиционное обозначение установки;;;;;позиция на схеме, П - печь;5;17;;1-я сессия
П-3;позиционное обозначение установки;;;;;позиция на схеме, П - печь;5;16;;1-я сессия
ПК-1,2;позиционное обозначение установки;;;;;позиционный номер оборудования;5;12;;1-я сессия
ППУА-1600;не компрессор (другое оборудование);;;;;передвижная паропромысловая установка;5;14;;1-я сессия
С-200;позиционное обозначение установки;;;;;позиция на схеме, С - сепаратор;5;29;;1-я сессия
С-321М;позиционное обозначение установки;;;;;позиционный номер оборудования;5;15;;1-я сессия
Т-104;позиционное обозначение установки;;;;;;5;7;;1-я сессия
Т-12;позиционное обозначение установки;;;;;;5;12;;1-я сессия
Т-203;позиционное обозначение установки;;;;;;5;6;;1-я сессия
Т-301;позиционное обозначение установки;;;;;;5;8;;1-я сессия
ТА-3000;центробежный воздушный;;;;;турбокомпрессор Turbo Air 3000 (Ingersoll Rand / Cameron);5;5;;1-я сессия
ТК-101;позиционное обозначение установки;;;;;;5;11;;1-я сессия
УКПГ-2С;позиционное обозначение установки;;;;;обозначение установки комплексной подготовки газа;5;19;;1-я сессия
Х-1;позиционное обозначение установки;;;;;;5;9;;1-я сессия
Х-101;позиционное обозначение установки;;;;;позиция на схеме, Х - холодильник;5;17;;1-я сессия
ЦДНГ-11;не компрессор (другое оборудование);;;;;цех добычи нефти и газа;5;21;;1-я сессия
0,8;позиционное обозначение установки;;;;;;4;14;;1-я сессия
1,4;позиционное обозначение установки;;;;;;4;14;;1-я сессия
11-600;позиционное обозначение установки;;;;;;4;31;;1-я сессия
170;позиционное обозначение установки;;;;;;4;14;;1-я сессия
2,3;позиционное обозначение установки;;;;;числовое позиционное обозначение на схеме;4;4;;1-я сессия
3,4;позиционное обозначение установки;;;;;;4;7;;1-я сессия
3,5;позиционное обозначение установки;;;;;;4;31;;1-я сессия
305ВП-16;поршневой;;;;;Завод Борец / ККЗ, серия ВП;4;9;;1-я сессия
3ГП-5;поршневой;;;;;серия ГП (3ГП-5), Краснодарский компрессорный завод / Борец, поршневой компрессор;4;4;;1-я сессия
490;позиционное обозначение установки;;;;;;4;12;;1-я сессия
4ВУ1-5;поршневой;;;;;серия 4ВУ1 (4ВУ1-5/9), Мелитопольский компрессорный завод, поршневой компрессор;4;4;;1-я сессия
600;позиционное обозначение установки;;;;;;4;20;;1-я сессия
6ВВ-32;винтовой;;;;;серия 6ВВ, Казанькомпрессормаш;4;6;;1-я сессия
7ВКГ-50;винтовой;;;;;серия ВКГ (7ВКГ-50), Казанькомпрессормаш, винтовой газовый компрессор;4;4;;1-я сессия
BG-86;не компрессор (другое оборудование);;;;;STIHL BG-86, ручная бензиновая воздуходувка;4;4;;1-я сессия
DABL-760;воздуходувка Рутса или вихревая;;;;;DABL, вихревая воздуходувка;4;8;;1-я сессия
EB-7660TH;не компрессор (другое оборудование);;;;;Makita EB7660TH, садовая/промышленная бензиновая воздуходувка;4;5;;1-я сессия
FL-8500;позиционное обозначение установки;;;;;;4;7;;1-я сессия
GBR-376;не знаю;;;;;;4;4;;1-я сессия
S-125;позиционное обозначение установки;;;;;;4;7;;1-я сессия
SM-4000;центробежный воздушный;;;;;Samsung / Hanwha Techwin, серия SM;4;8;;1-я сессия
SM-6000;центробежный воздушный;;;;;центробежный воздушный турбокомпрессор Samsung / Hanwha SM-6000;4;29;;1-я сессия
А-14;позиционное обозначение установки;;;;;позиционное обозначение на технологической схеме;4;4;;1-я сессия
АТП-5-5;не знаю;;;;;;4;17;;1-я сессия
АФК-1Э;не компрессор (другое оборудование);;;;;передвижной агрегат фильтрования масла АФК-1Э;4;18;;1-я сессия
В-10;позиционное обозначение установки;;;;;;4;7;;1-я сессия
В-11;позиционное обозначение установки;;;;;;4;19;;1-я сессия
В-1200;центробежный воздушный;;;;;серия В, Невский завод, турбовоздуходувка;4;6;;1-я сессия
В-1А;позиционное обозначение установки;;;;;;4;6;;1-я сессия
В-2;позиционное обозначение установки;;;;;;4;14;;1-я сессия
В-2А;позиционное обозначение установки;;;;;;4;7;;1-я сессия
ВКМ-2020;винтовой;;;;;серия ВКМ, Челябинский компрессорный завод (ЧКЗ), винтовой компрессорный модуль;4;4;;1-я сессия
ВШВ-3;поршневой;;;;;серия ВШВ, Уральский компрессорный завод;4;7;;1-я сессия
ГПА-32;центробежный газовый или технологический;;;;;серия ГПА-32 (Ладога), Невский завод, газоперекачивающий агрегат с центробежным компрессором;4;4;;1-я сессия
ДЭН-132ШМ;винтовой;;;;;ЧКЗ, серия ДЭН;4;10;;1-я сессия
Е-115;позиционное обозначение установки;;;;;;4;5;;1-я сессия
Е-16;позиционное обозначение установки;;;;;;4;5;;1-я сессия
Е-17;позиционное обозначение установки;;;;;позиционное обозначение на технологической схеме;4;4;;1-я сессия
Е-2;позиционное обозначение установки;;;;;;4;8;;1-я сессия
Е-204;позиционное обозначение установки;;;;;;4;7;;1-я сессия
Е-206;позиционное обозначение установки;;;;;позиционное обозначение на технологической схеме;4;4;;1-я сессия
Е-3;позиционное обозначение установки;;;;;;4;8;;1-я сессия
Е-302;позиционное обозначение установки;;;;;позиционное обозначение на технологической схеме;4;4;;1-я сессия
Е-31;позиционное обозначение установки;;;;;позиционное обозначение на технологической схеме;4;4;;1-я сессия
ЗГП-12;поршневой;;;;;серия 3ГП, завод Борец / Краснодарский КЗ;4;7;;1-я сессия
К-0,4;позиционное обозначение установки;;;;;;4;33;;1-я сессия
К-104;позиционное обозначение установки;;;;;;4;12;;1-я сессия
К-108;позиционное обозначение установки;;;;;;4;12;;1-я сессия
К-11;позиционное обозначение установки;;;;;позиционное обозначение на технологической схеме;4;5;;1-я сессия
К-131;позиционное обозначение установки;;;;;;4;7;;1-я сессия
К-203;позиционное обозначение установки;;;;;;4;5;;1-я сессия
К-345;позиционное обозначение установки;;;;;;4;12;;1-я сессия
КС-19П;не компрессор (другое оборудование);;;;;марка компрессорного масла КС-19п;4;30;;1-я сессия
Л-24;позиционное обозначение установки;;;;;;4;34;;1-я сессия
ЛЧ-35;позиционное обозначение установки;;;;;;4;28;;1-я сессия
М-2;позиционное обозначение установки;;;;;;4;15;;1-я сессия
М-303;позиционное обозначение установки;;;;;;4;8;;1-я сессия
МО-318;не компрессор (другое оборудование);;;;;;4;5;;1-я сессия
Н-18;позиционное обозначение установки;;;;;;4;6;;1-я сессия
Н-19;позиционное обозначение установки;;;;;;4;5;;1-я сессия
Н-2;позиционное обозначение установки;;;;;;4;8;;1-я сессия
Н-20;позиционное обозначение установки;;;;;;4;8;;1-я сессия
Н-40;позиционное обозначение установки;;;;;;4;5;;1-я сессия
Н-42;позиционное обозначение установки;;;;;;4;7;;1-я сессия
НЦ-16;центробежный газовый или технологический;;;;;центробежный нагнетатель природного газа НЦ-16;4;19;;1-я сессия
ОГ-200;не компрессор (другое оборудование);;;;;отстойник горизонтальный / нефтегазовый сепаратор;4;13;;1-я сессия
П-1,2;позиционное обозначение установки;;;;;позиционное обозначение на технологической схеме;4;4;;1-я сессия
П-102;позиционное обозначение установки;;;;;;4;13;;1-я сессия
П-11;позиционное обозначение установки;;;;;;4;7;;1-я сессия
П-201;позиционное обозначение установки;;;;;;4;7;;1-я сессия
П-4;позиционное обозначение установки;;;;;;4;52;;1-я сессия
ПКС-5,25А;поршневой;;;;;передвижная поршневая компрессорная станция ПКС-5,25А (ПТМЗ);4;15;;1-я сессия
Р-302;позиционное обозначение установки;;;;;;4;7;;1-я сессия
С-301;позиционное обозначение установки;;;;;;4;7;;1-я сессия
С-322М;позиционное обозначение установки;;;;;;4;16;;1-я сессия
С-415М;поршневой;;;;;Бежецкий завод АСО, серия С-415М;4;7;;1-я сессия
Т-14;позиционное обозначение установки;;;;;;4;6;;1-я сессия
Т-15;позиционное обозначение установки;;;;;;4;6;;1-я сессия
Т-16;позиционное обозначение установки;;;;;;4;8;;1-я сессия
Т-8;позиционное обозначение установки;;;;;;4;30;;1-я сессия
ТК-601;позиционное обозначение установки;;;;;;4;13;;1-я сессия
ТУ-38;не компрессор (другое оборудование);;;;;обозначение технических условий (ТУ 38);4;8;;1-я сессия
ТЭЦ-11;позиционное обозначение установки;;;;;;4;31;;1-я сессия
У-2,5;позиционное обозначение установки;;;;;;4;27;;1-я сессия
УКПГ-2В;не компрессор (другое оборудование);;;;;установка комплексной подготовки газа;4;9;;1-я сессия
УКПГ-5В;не компрессор (другое оборудование);;;;;установка комплексной подготовки газа;4;8;;1-я сессия
Ц-4-75;вентилятор или дымосос;;;;;серия Ц4-75, вентилятор центробежный;4;8;;1-я сессия
ЦК-301;позиционное обозначение установки;;;;;;4;16;;1-я сессия
10-2;позиционное обозначение установки;;;;;;3;15;;1-я сессия
11-300;позиционное обозначение установки;;;;;числовое позиционное обозначение на схеме;3;42;;1-я сессия
180;позиционное обозначение установки;;;;;;3;10;;1-я сессия
3-3,5;позиционное обозначение установки;;;;;;3;8;;1-я сессия
300Б;поршневой;;;;;серия 300Б, судовой поршневой компрессор высокого давления;3;11;;1-я сессия
4М10;поршневой;;;;;серия 4М10, Сумское НПО / Борец, поршневой компрессор;3;27;;1-я сессия
9М2;воздуходувка Рутса или вихревая;;;;;серия 9М2, воздуходувка Рутса;3;16;;1-я сессия
GМ-80L;воздуходувка Рутса или вихревая;;;;;Aerzen серия GM, воздуходувка Рутса;3;10;;1-я сессия
KE-1020A;позиционное обозначение установки;;;;;;3;14;;1-я сессия
LMC-331F;центробежный газовый или технологический;;;;;Sundyne, центробежный компрессор серии LMC;3;11;;1-я сессия
PN-16,0;не компрессор (другое оборудование);;;;;обозначение номинального давления (PN);3;11;;1-я сессия
PN-160;не компрессор (другое оборудование);;;;;Jurop PN-160, пластинчато-роторный вакуумный насос;3;36;;1-я сессия
PN-40;не компрессор (другое оборудование);;;;;обозначение номинального давления (PN);3;8;;1-я сессия
А-8-1;позиционное обозначение установки;;;;;;3;20;;1-я сессия
АМ-40-8-400;не компрессор (другое оборудование);;;;;аппарат воздушного охлаждения;3;11;;1-я сессия
АУ-200;поршневой;;;;;серия АУ, аммиачный поршневой холодильный агрегат;3;12;;1-я сессия
В-1,1;позиционное обозначение установки;;;;;;3;12;;1-я сессия
В-201;позиционное обозначение установки;;;;;;3;14;;1-я сессия
В-8;позиционное обозначение установки;;;;;;3;13;;1-я сессия
ВД-13,5;вентилятор или дымосос;;;;;серия ВД, вентилятор высокого давления;3;16;;1-я сессия
ГП-12;не компрессор (другое оборудование);;;;;газопоршневой агрегат ГП;3;20;;1-я сессия
ГПУ-16;не компрессор (другое оборудование);;;;;газопоршневая или газотурбинная установка;3;24;;1-я сессия
ДП-2023-017;не знаю;;;;;;3;16;;1-я сессия
ДП-2025-076;не знаю;;;;;;3;10;;1-я сессия
ДЭН-110;винтовой;;;;;ЧКЗ, винтовой компрессор серии ДЭН;3;17;;1-я сессия
ДЭН-110ШМ;винтовой;;;;;ЧКЗ серия ДЭН, винтовой воздушный компрессор;3;10;;1-я сессия
ДЭН-160;винтовой;;;;;ЧКЗ, винтовой компрессор серии ДЭН;3;16;;1-я сессия
ДЭН-160ШМ;винтовой;;;;;серия ДЭН (ДЭН-160), Челябинский компрессорный завод (ЧКЗ), винтовой компрессор;3;34;;1-я сессия
Е-4;позиционное обозначение установки;;;;;;3;9;;1-я сессия
ЗЭ-75;не компрессор (другое оборудование);;;;;задвижка с электроприводом ЗЭ;3;23;;1-я сессия
К-1;позиционное обозначение установки;;;;;;3;9;;1-я сессия
К-105;позиционное обозначение установки;;;;;;3;14;;1-я сессия
КА-15;не знаю;;;;;;3;32;;1-я сессия
КС-11;позиционное обозначение установки;;;;;;3;12;;1-я сессия
М-101;позиционное обозначение установки;;;;;позиционное обозначение на технологической схеме;3;36;;1-я сессия
Н-1;позиционное обозначение установки;;;;;;3;11;;1-я сессия
Н-1050-13-1;центробежный газовый или технологический;;;;;серия Н (нагнетатель), центробежный газовый компрессор;3;9;;1-я сессия
Н-27;позиционное обозначение установки;;;;;;3;9;;1-я сессия
Н-33;позиционное обозначение установки;;;;;;3;12;;1-я сессия
Н-4;позиционное обозначение установки;;;;;;3;9;;1-я сессия
НЦ-230;не компрессор (другое оборудование);;;;;насос центробежный;3;8;;1-я сессия
ПК-101;позиционное обозначение установки;;;;;позиционное обозначение на технологической схеме;3;29;;1-я сессия
С-300;позиционное обозначение установки;;;;;позиционное обозначение на технологической схеме;3;25;;1-я сессия
С-401;позиционное обозначение установки;;;;;;3;9;;1-я сессия
СТД-3150;не компрессор (другое оборудование);;;;;серия СТД, синхронный электродвигатель;3;17;;1-я сессия
Т-201;позиционное обозначение установки;;;;;;3;9;;1-я сессия
Т-206;позиционное обозначение установки;;;;;;3;8;;1-я сессия
ТК-1;позиционное обозначение установки;;;;;;3;9;;1-я сессия
ТМ-1500;не компрессор (другое оборудование);;;;;силовой масляный трансформатор ТМ-1500;3;11;;1-я сессия
ТЭЦ-10;не компрессор (другое оборудование);;;;;теплоэлектроцентраль (промышленный объект);3;9;;1-я сессия
УКПГ-11В;не компрессор (другое оборудование);;;;;УКПГ, установка комплексной подготовки газа;3;35;;1-я сессия
УКПГ-1С;не компрессор (другое оборудование);;;;;установка комплексной подготовки газа;3;24;;1-я сессия
Ф-201;позиционное обозначение установки;;;;;;3;10;;1-я сессия
Х-3;позиционное обозначение установки;;;;;;3;17;;1-я сессия
ХК-101;позиционное обозначение установки;;;;;;3;11;;1-я сессия
ХК-3;позиционное обозначение установки;;;;;;3;10;;1-я сессия
ХТК-2,5;центробежный газовый или технологический;;;;;серия ХТК, холодильный турбокомпрессор;3;18;;1-я сессия
Ц-13-50;центробежный воздушный;;;;;серия Ц, центробежный компрессор;3;15;;1-я сессия
ЦТК-275;не компрессор (другое оборудование);;;;;цистерна транспортная криогенная;3;11;;1-я сессия
Л-35/11-1000;не опознано;;;неизвестно;низкая;Обозначение не соответствует ни одной известной серии компрессорного оборудования;7;419;;2-я сессия
А-270;не опознано;;;неизвестно;низкая;Короткое обозначение без однозначной привязки к известной серии;1;385;;2-я сессия
Л-35-11/1000;не опознано;;;неизвестно;низкая;Схоже с Л-35/11-1000, но серия не распознана;6;356;;2-я сессия
ТВ-80-1;турбовоздуходувка/нагнетатель;ТВ;;воздух;средняя;Префикс ТВ соответствует серии турбовоздуходувок, цифры — типоразмер и модификация;53;344;да;2-я сессия
К-250-61-5;центробежный компрессор;К-250-61;Казанькомпрессормаш;воздух;высокая;Стандартная расшифровка серии К-250-61: центробежный воздушный компрессор, 5-я модификация;52;323;да;2-я сессия
ЦК-135/8;центробежный компрессор;ЦК;;воздух;высокая;Серия ЦК — центробежные компрессоры, 135— производительность, 8 — давление;32;300;да;2-я сессия
К-500-61-1;центробежный компрессор;К-500-61;Казанькомпрессормаш;воздух;высокая;Серия К-500-61: центробежный воздушный компрессор, 1-я модификация;28;267;да;2-я сессия
ГАЦ-28-6М3;не опознано;;;неизвестно;низкая;Аббревиатура ГАЦ не соответствует однозначно известной серии компрессорного оборудования;1;267;;2-я сессия
Н-370-18-1;позиционное обозначение;;;неизвестно;высокая;"Prefix Н на технологических схемах — стандартное обозначение насоса; приведено в задании как пример позиционного обозначения";9;248;;2-я сессия
ЛФ-35-21/1000;не опознано;;;неизвестно;низкая;Похоже на варианты Л-35/11-1000, но серия ЛФ не распознана;1;222;;2-я сессия
К-1500-62-2;центробежный компрессор;К-1500-62;Казанькомпрессормаш;воздух;высокая;Серия К-1500-62: крупный центробежный воздушный компрессор, 2-я модификация;18;221;да;2-я сессия
АВТ-11;позиционное обозначение;;;неизвестно;высокая;"АВТ — атмосферно-вакуумная трубчатка (нефтепереработка), цифра — номер установки; приведено в задании как пример позиционного обозначения";2;194;;2-я сессия
5/35;не опознано;;;неизвестно;низкая;Только числа, без буквенного префикса — обрывок строки или технический параметр;12;184;;2-я сессия
