inn;company_id;predpriyatie;vsego_na_ploshchadke;vzyato;zakupok;po_sekciyam;pochemu
6608001915;4996;ЕКАТЕРИНБУРГСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ВОДОПРОВОДНО-КАНАЛИЗАЦИОННОГО ХОЗЯЙСТВА;621;621;621;"{""fz223"": 434, ""commerce"": 187, ""trade_portal"": 12}";обойдено
7726671234;4997;"ООО ""РВК-ВОРОНЕЖ""";2705;2705;2705;"{""fz223"": 2702, ""commerce"": 3}";обойдено
5504097128;4998;АО ОМСКВОДОКАНАЛ;3965;3965;3965;"{""fz223"": 3963, ""commerce"": 2, ""nelikvid"": 2}";обойдено
7817045594;5001;ИЖОРАРЕМСЕРВИС;918;918;918;"{""commerce"": 918}";обойдено
7712040285;5005;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ""АЛМАЗ"" ИМЕНИ АКАДЕМИКА А.А.РАСПЛЕТИНА""";2521;2521;2483;"{""fz223"": 2154, ""commerce"": 367, ""trade_portal"": 4, ""nelikvid"": 288}";обойдено
3665046177;5008;АО КБХА;1468;1468;1448;"{""fz223"": 1265, ""commerce"": 203, ""nelikvid"": 122}";обойдено
1102024468;5047;"ООО ""ГАЗПРОМ ТРАНСГАЗ УХТА""";2429;2429;2253;"{""fz223"": 759, ""commerce"": 1670, ""gazprom"": 19, ""trade_portal"": 272, ""nelikvid"": 1103}";обойдено
2801091892;5056;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АМУРСКИЕ КОММУНАЛЬНЫЕ СИСТЕМЫ""";144;144;144;"{""fz223"": 144}";обойдено
4345047310;5064;"АО ""ВМП ""АВИТЕК""";1055;1055;1053;"{""fz223"": 1046, ""commerce"": 9, ""nelikvid"": 9}";обойдено
5911029807;5078;"ПАО ""УРАЛКАЛИЙ""";0;0;0;{};обойдено
7701791321;5103;"Общество с ограниченной ответственностью ""Совместная Компания ""РУСВЬЕТПЕТРО""";31;31;26;"{""fz223"": 17, ""commerce"": 14, ""trade_portal"": 1, ""nelikvid"": 13}";обойдено
7705880068;5112;Русский Уголь;726;726;726;"{""commerce"": 726}";обойдено
3302001983;5137;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВЛАДИМИРВОДОКАНАЛ"" ГОРОДА ВЛАДИМИРА";87;87;87;"{""fz223"": 85, ""commerce"": 2, ""trade_portal"": 1}";обойдено
8901014564;5164;"ООО ""ЯРГЕО""";717;717;717;"{""commerce"": 717, ""trade_portal"": 435, ""zakupki_biznes"": 5, ""nelikvid"": 14}";обойдено
5907001774;5188;ПАО НПОИСКРА;3585;3585;3585;"{""fz223"": 3371, ""commerce"": 214, ""trade_portal"": 1}";обойдено
4250000459;5402;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БЕРЕЗОВСКИЕ КОММУНАЛЬНЫЕ СИСТЕМЫ""";65;65;65;"{""fz223"": 65}";обойдено
7414003633;5416;"ПАО ""ММК""";37;37;37;"{""commerce"": 37, ""trade_portal"": 14}";обойдено
7727298791;5421;"ООО УК ""УЗТМ-КАРТЭКС""";613;613;613;"{""commerce"": 613, ""nelikvid"": 1}";обойдено
7716182080;5429;"ООО ""ДИАЛЛ АЛЬЯНС""";349;349;348;"{""commerce"": 349, ""nelikvid"": 12}";обойдено
6663005798;5432;"ПАО ""УРАЛМАШЗАВОД""";14658;4158;4135;"{""commerce"": 14658, ""zakupki_biznes"": 3, ""nelikvid"": 342}";взято не всё, потолок площадки
7703370008;5447;"ПАО ""МЕЧЕЛ""";1240;1240;1240;"{""fz223"": 1, ""commerce"": 1239, ""zakupki_biznes"": 2, ""nelikvid"": 3}";обойдено
0266048970;5463;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";17189;6235;6179;"{""fz223"": 1879, ""commerce"": 15310, ""trade_portal"": 250, ""nelikvid"": 370}";взято не всё, потолок площадки
2709001590;5465;"АО ""ПОРТ ВАНИНО""";1120;1120;1120;"{""fz223"": 1116, ""commerce"": 4}";обойдено
7806369727;5470;АО НЗЛ;5438;4363;4362;"{""fz223"": 24, ""commerce"": 5414, ""trade_portal"": 3783, ""geh_group"": 5433, ""nelikvid"": 5}";взято не всё, потолок площадки
7722245108;5475;"ООО ""МЕЧЕЛ-ЭНЕРГО""";341;341;341;"{""fz223"": 335, ""commerce"": 6}";обойдено
7722245108;5476;"ООО ""МЕЧЕЛ-ЭНЕРГО""";1180;1180;1180;"{""fz223"": 1162, ""commerce"": 18}";обойдено
7722245108;5494;"ООО ""МЕЧЕЛ-ЭНЕРГО""";71;71;71;"{""fz223"": 56, ""commerce"": 15}";обойдено
4205002327;5501;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КЕМВОД""";177;177;177;"{""fz223"": 177}";обойдено
7722245108;5503;"ООО ""МЕЧЕЛ-ЭНЕРГО""";47;47;47;"{""fz223"": 33, ""commerce"": 14}";обойдено
6673091980;5506;ПЖТ-55;181;181;175;"{""commerce"": 181, ""nelikvid"": 32}";обойдено
7714572888;5509;АОСТНГ;7192;4829;4829;"{""commerce"": 7192, ""trade_portal"": 2876, ""nelikvid"": 12}";взято не всё, потолок площадки
7722245108;5540;"ООО ""МЕЧЕЛ-ЭНЕРГО""";76;76;76;"{""fz223"": 62, ""commerce"": 14}";обойдено
4217048100;5576;СИБЭНЕРГОУГОЛЬ;33;33;33;"{""commerce"": 33}";обойдено
1102054991;5580;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""";33;33;33;"{""commerce"": 33}";обойдено
1102054991;5593;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""";189;189;187;"{""commerce"": 189, ""nelikvid"": 33}";обойдено
4214000608;5596;"ПАО ""ЮЖНЫЙ КУЗБАСС""";20;20;20;"{""commerce"": 20}";обойдено
1102054991;5618;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""";3261;3261;3260;"{""fz223"": 2533, ""commerce"": 712, ""gazprom"": 2545, ""trade_portal"": 707, ""nelikvid"": 4}";обойдено
7722220390;5692;ИК АРЛАН (АО ПАВЛИК);4;4;4;"{""commerce"": 4}";обойдено
5610077370;5736;"ООО ""ОРЕНБУРГ ВОДОКАНАЛ""";1955;1955;1955;"{""fz223"": 1948, ""commerce"": 7}";обойдено
1644003838;5801;"ПАО ""ТАТНЕФТЬ"" ИМ. В.Д. ШАШИНА";103;103;95;"{""commerce"": 103, ""trade_portal"": 1, ""nelikvid"": 9}";обойдено
9106001900;5849;"АО ""СЗ""";781;781;781;"{""commerce"": 781, ""trade_portal"": 6, ""nelikvid"": 58}";обойдено
5836623790;5877;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГОРВОДОКАНАЛ""";863;863;863;"{""fz223"": 863}";обойдено
7731263174;5886;"АО ""ГПТП ""Гранит""";170;170;164;"{""fz223"": 53, ""commerce"": 117, ""trade_portal"": 16, ""nelikvid"": 102}";обойдено
7728778215;5901;"ООО ""УЛЬЯНОВСКОБЛВОДОКАНАЛ""";495;495;495;"{""fz223"": 494, ""commerce"": 1, ""trade_portal"": 1}";обойдено
6315376946;5916;"ПАО ""Т ПЛЮС""";190;190;190;"{""fz223"": 142, ""commerce"": 48}";обойдено
7736046504;5950;АВИАПРЕДПРИЯТИЕ ГАЗПРОМ АВИА;1009;1009;1009;"{""fz223"": 2, ""commerce"": 1007, ""trade_portal"": 714, ""nelikvid"": 293}";обойдено
5003113668;6107;УММ;585;585;585;"{""commerce"": 585, ""nelikvid"": 1}";обойдено
7728171283;6146;"ФГУП ""НПЦАП""";3869;3869;3869;"{""fz223"": 3856, ""commerce"": 13, ""trade_portal"": 13}";обойдено
6025001060;6175;"МП ""ВОДОКАНАЛ"" Г. ВЕЛИКИЕ ЛУКИ";6;6;6;"{""fz223"": 6}";обойдено
2221064060;6214;"ООО ""БАРНАУЛЬСКИЙ ВОДОКАНАЛ""";1857;1857;1857;"{""fz223"": 1857}";обойдено
5920005217;6252;"ПКГУП ""ЧАЙКОВСКИЙ ВОДОКАНАЛ""";110;110;110;"{""fz223"": 110}";обойдено
7731084175;6253;АО КОНЦЕРН ВКО АЛМАЗ - АНТЕЙ;432;432;426;"{""fz223"": 417, ""commerce"": 15, ""nelikvid"": 15}";обойдено
7729082090;6290;МОСКОВСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ИМЕНИ М.В.ЛОМОНОСОВА, МГУ ИМЕНИ М.В.ЛОМОНОСОВА, МОСКОВСКИЙ УНИВЕРСИТЕТ ИЛИ МГУ;4784;4099;4099;"{""fz223"": 4685, ""commerce"": 99, ""trade_portal"": 99}";взято не всё, потолок площадки
5260000192;6349;"ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НИЖЕГОРОДСКОЙ ОБЛАСТИ ""НИЖЕГОРОДСКИЙ ПАССАЖИРСКИЙ АВТОМОБИЛЬНЫЙ ТРАНСПОРТ""";2;2;2;"{""fz223"": 2}";обойдено
4705029366;6425;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЛЕНИНГРАДСКИЕ ОБЛАСТНЫЕ КОММУНАЛЬНЫЕ СИСТЕМЫ""";7;7;7;"{""fz223"": 7}";обойдено
2204001528;6429;"ФКП  ""БОЗ""";3;3;3;"{""fz223"": 3}";обойдено
7736186950;6455;"ООО ""ГАЗПРОМ ЭНЕРГО""";638;638;638;"{""fz223"": 1, ""commerce"": 637, ""trade_portal"": 623, ""nelikvid"": 15}";обойдено
7707049388;6498;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОСТЕЛЕКОМ""";1045;1045;1045;"{""commerce"": 1045, ""trade_portal"": 1044}";обойдено
6501146467;6514;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДАЛЬМОРНЕФТЕГЕОФИЗИКА""";14;14;14;"{""fz223"": 14}";обойдено
7726747370;6520;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РВК-АРХАНГЕЛЬСК""";922;922;922;"{""fz223"": 921, ""commerce"": 1}";обойдено
7728171283;6529;"ФГУП ""НПЦАП""";193;193;193;"{""fz223"": 193}";обойдено
5199000024;6547;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АРКТИЧЕСКИЕ МОРСКИЕ ИНЖЕНЕРНО-ГЕОЛОГИЧЕСКИЕ ЭКСПЕДИЦИИ""";3;3;3;"{""fz223"": 3}";обойдено
7743937082;6548;"ФЕДЕРАЛЬНОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ""РОССИЙСКИЙ ДОРОЖНЫЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ""";588;588;588;"{""fz223"": 566, ""commerce"": 22, ""trade_portal"": 3}";обойдено
7707049388;6556;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОСТЕЛЕКОМ""";635;635;635;"{""commerce"": 635, ""trade_portal"": 635}";обойдено
4715030610;6562;"ООО ""ПГЛЗ""";5;5;5;"{""commerce"": 5}";обойдено
7420000133;6563;ПАО УРАЛКУЗ;2148;2148;2148;"{""commerce"": 2148}";обойдено
7704010978;6578;ГЛАВУПДК ПРИ МИД РОССИИ;2660;2660;2660;"{""fz223"": 2292, ""commerce"": 368, ""nelikvid"": 26}";обойдено
7707049388;6582;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОСТЕЛЕКОМ""";5;5;5;"{""commerce"": 5, ""trade_portal"": 5}";обойдено
6604017216;6585;"МУП БВКХ ""ВОДОКАНАЛ""";7;7;7;"{""fz223"": 7}";обойдено
4222010511;6615;"ПАО ""ЮК ГРЭС""";2159;2159;2159;"{""fz223"": 2159}";обойдено
5001071638;6621;"ООО ""КРИОГАЗ"" (ИНН 5001071638)";42;42;42;"{""commerce"": 42, ""trade_portal"": 11}";обойдено
6612005052;6628;"АО ""РУСАЛ УРАЛ""";1;1;1;"{""commerce"": 1}";обойдено
6673125685;6639;"ООО ""ЮЖУРАЛМАШ""";1886;1886;1830;"{""commerce"": 1886, ""nelikvid"": 229}";обойдено
0256006322;6679;"АО ""БМК""";2071;2070;2063;"{""commerce"": 2071, ""nelikvid"": 68}";взято не всё, потолок площадки
5920000593;6687;"ООО ""ГАЗПРОМ ТРАНСГАЗ ЧАЙКОВСКИЙ""";1;1;1;"{""commerce"": 1, ""trade_portal"": 1}";обойдено
7708117908;6700;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЦЕМРОС""";5;5;5;"{""commerce"": 5}";обойдено
7838024362;6701;"ООО ""ПЕТЕРБУРГТЕПЛОЭНЕРГО""";1014;1014;1014;"{""fz223"": 1006, ""commerce"": 8, ""trade_portal"": 4, ""geh_group"": 1007, ""nelikvid"": 2}";обойдено
7705581646;6708;УК СОДРУЖЕСТВО;299;299;299;"{""commerce"": 299}";обойдено
3460019060;6739;КОНЦЕССИИ ВОДОСНАБЖЕНИЯ;1039;1039;1039;"{""fz223"": 643, ""commerce"": 396, ""trade_portal"": 389, ""nelikvid"": 1}";обойдено
6315376946;6762;"ПАО ""Т ПЛЮС""";74;74;74;"{""fz223"": 13, ""commerce"": 61, ""trade_portal"": 60}";обойдено
6315376946;6763;"ПАО ""Т ПЛЮС""";87;87;87;"{""fz223"": 13, ""commerce"": 74, ""trade_portal"": 73}";обойдено
6315376946;6764;"ПАО ""Т ПЛЮС""";38;38;38;"{""fz223"": 7, ""commerce"": 31, ""trade_portal"": 28}";обойдено
6665002150;6767;АО КУМЗ;7419;4045;4045;"{""commerce"": 7419, ""trade_portal"": 1, ""zakupki_biznes"": 2, ""nelikvid"": 395}";взято не всё, потолок площадки
7707049388;6772;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОСТЕЛЕКОМ""";52;52;52;"{""commerce"": 52, ""trade_portal"": 52}";обойдено
7722692000;6775;"АО ""ОРКК""";26;26;26;"{""fz223"": 26}";обойдено
2304073741;6809;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОНЦЕССИИ ВОДОСНАБЖЕНИЯ - ГЕЛЕНДЖИК""";543;543;543;"{""fz223"": 425, ""commerce"": 118, ""trade_portal"": 118}";обойдено
5920000593;6818;"ООО ""ГАЗПРОМ ТРАНСГАЗ ЧАЙКОВСКИЙ""";2377;2377;2377;"{""fz223"": 1220, ""commerce"": 438, ""gazprom"": 1939, ""trade_portal"": 433}";обойдено
2127309097;6876;ПО КТЗ;1;1;1;"{""commerce"": 1}";обойдено
5501041254;6888;"АО ""ГАЗПРОМНЕФТЬ-ОНПЗ""";758;758;758;"{""commerce"": 758, ""pao_gazpromneft"": 758}";обойдено
4345000249;6937;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОКАНАЛ""";1528;1528;1527;"{""fz223"": 1496, ""commerce"": 32, ""nelikvid"": 32}";обойдено
7707049388;6941;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОСТЕЛЕКОМ""";1476;1476;1476;"{""fz223"": 1, ""commerce"": 1475, ""trade_portal"": 1475}";обойдено
5243027892;6948;АРЗАМАССКИЙ ВОДОКАНАЛ;273;273;273;"{""fz223"": 248, ""commerce"": 25, ""trade_portal"": 25}";обойдено
7707049388;6955;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОСТЕЛЕКОМ""";998;998;998;"{""fz223"": 1, ""commerce"": 997, ""trade_portal"": 997}";обойдено
7723006328;6958;"АО ""ГАЗПРОМНЕФТЬ - МНПЗ""";247;247;247;"{""commerce"": 247, ""pao_gazpromneft"": 246, ""nelikvid"": 1}";обойдено
7707049388;7077;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОСТЕЛЕКОМ""";623;623;623;"{""commerce"": 623, ""trade_portal"": 623}";обойдено
8605003932;7095;"ПАО ""СН-МНГ""";1381;1381;1381;"{""commerce"": 1381, ""pao_gazpromneft"": 1377}";обойдено
7725027605;7123;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""КОСМИЧЕСКАЯ СВЯЗЬ""";804;804;804;"{""fz223"": 803, ""commerce"": 1, ""trade_portal"": 1}";обойдено
5001071638;7130;"ООО ""КРИОГАЗ"" (ИНН 5001071638)";15;15;15;"{""commerce"": 15}";обойдено
7707049388;7156;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОСТЕЛЕКОМ""";354;354;354;"{""commerce"": 354, ""trade_portal"": 354}";обойдено
5610218014;7195;"ООО ""ГАЗПРОМНЕФТЬ-ОРЕНБУРГ""";372;372;366;"{""commerce"": 372, ""pao_gazpromneft"": 371, ""nelikvid"": 14}";обойдено
1102054991;7233;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""";216;216;192;"{""fz223"": 28, ""commerce"": 188, ""nelikvid"": 175}";обойдено
7728640182;7251;"ООО ""ГАЗПРОМНЕФТЬ -СМ""";607;607;607;"{""commerce"": 607, ""pao_gazpromneft"": 536}";обойдено
7404070888;7306;"Общество с ограниченной ответственностью ""Торговый Дом Златоустовский электрометаллургический завод""";0;0;0;{};обойдено
5920000593;7345;"ООО ""ГАЗПРОМ ТРАНСГАЗ ЧАЙКОВСКИЙ""";15;15;15;"{""commerce"": 15, ""trade_portal"": 15}";обойдено
6315376946;7389;"ПАО ""Т ПЛЮС""";784;784;784;"{""fz223"": 17, ""commerce"": 767, ""trade_portal"": 766}";обойдено
6315376946;7390;"ПАО ""Т ПЛЮС""";653;653;653;"{""fz223"": 10, ""commerce"": 643, ""trade_portal"": 642}";обойдено
6315376946;7399;"ПАО ""Т ПЛЮС""";353;353;353;"{""fz223"": 55, ""commerce"": 298, ""trade_portal"": 297}";обойдено
6315376946;7410;"ПАО ""Т ПЛЮС""";236;236;236;"{""fz223"": 42, ""commerce"": 194, ""trade_portal"": 193}";обойдено
6315376946;7414;"ПАО ""Т ПЛЮС""";418;418;418;"{""fz223"": 97, ""commerce"": 321, ""trade_portal"": 310}";обойдено
6315376946;7418;"ПАО ""Т ПЛЮС""";30;30;30;"{""fz223"": 1, ""commerce"": 29, ""trade_portal"": 27}";обойдено
6315376946;7435;"ПАО ""Т ПЛЮС""";193;193;193;"{""fz223"": 4, ""commerce"": 189, ""trade_portal"": 188}";обойдено
5038004331;7436;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ МОСКОВСКОЙ ОБЛАСТИ ""МОСОБЛЛЕС""";1;1;1;"{""commerce"": 1, ""trade_portal"": 1}";обойдено
1102054991;7455;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""";42;42;38;"{""commerce"": 42, ""nelikvid"": 37}";обойдено
6315376946;7478;"ПАО ""Т ПЛЮС""";149;149;149;"{""fz223"": 3, ""commerce"": 146, ""trade_portal"": 146}";обойдено
7806151791;7493;АО РЭПХ;0;0;0;{};обойдено
5501177142;7512;"ООО ""ГАЗПРОМНЕФТЬ - КС""";362;362;362;"{""commerce"": 362}";обойдено
7712040126;7516;ПАО АЭРОФЛОТ;1183;1183;1142;"{""commerce"": 1183, ""trade_portal"": 87, ""nelikvid"": 225}";обойдено
2607018122;7529;"ПАО ""ОГК-2""";282;282;270;"{""fz223"": 3, ""commerce"": 279, ""geh_group"": 26, ""nelikvid"": 278}";обойдено
7806151791;7531;АО РЭПХ;555;555;555;"{""fz223"": 555, ""gazprom"": 141, ""geh_group"": 555}";обойдено
1102054991;7596;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""";90;90;81;"{""commerce"": 90, ""nelikvid"": 86}";обойдено
7728640182;7675;"ООО ""ГАЗПРОМНЕФТЬ -СМ""";1103;1103;1103;"{""commerce"": 1103, ""pao_gazpromneft"": 60}";обойдено
7707049388;7687;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОСТЕЛЕКОМ""";1;1;1;"{""fz223"": 1}";обойдено
7707049388;7726;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОСТЕЛЕКОМ""";681;681;681;"{""commerce"": 681, ""trade_portal"": 681}";обойдено
7707049388;7734;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОСТЕЛЕКОМ""";1;1;1;"{""fz223"": 1}";обойдено
1102054991;7738;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""";20;20;17;"{""commerce"": 20, ""nelikvid"": 19}";обойдено
