inn;kpp;inn_kpp;imya
2624022320;;;площадка не знает этот ИНН
5905099475;;;площадка не знает этот ИНН
4223036696;;;площадка не знает этот ИНН
6626002291;;;площадка не знает этот ИНН
1656025681;165601001;1656025681_165601001;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ ""КАЗАНСКИЙ ГОСУДАРСТВЕННЫЙ КАЗЕННЫЙ ПОРОХОВОЙ ЗАВОД"""
7017075536;;;площадка не знает этот ИНН
6320005915;632401001;6320005915_632401001;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""КУЙБЫШЕВАЗОТ"""
0258005638;;;площадка не знает этот ИНН
1004001744;100401001;1004001744_100401001;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАРЕЛЬСКИЙ ОКАТЫШ"""
6670061296;;;площадка не знает этот ИНН
5504097128;550401001;5504097128_550401001;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ОМСКВОДОКАНАЛ"""
5009034660;500901001;5009034660_500901001;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ГОРОДСКОГО ОКРУГА ДОМОДЕДОВО ""ДОМОДЕДОВСКИЙ ВОДОКАНАЛ"""
7726671234;366501001;7726671234_366501001;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РВК-ВОРОНЕЖ"""
7830000426;783450001;7830000426_783450001;"Государственное унитарное предприятие ""Водоканал Санкт-Петербурга"""
7830000426;784201001;7830000426_784201001;"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОКАНАЛ САНКТ-ПЕТЕРБУРГА"""
7830000426;783450001-deleted-397988;7830000426-deleted-397988_783450001-deleted-397988;"Государственное унитарное предприятие ""Водоканал Санкт-Петербурга"""
2221064060;222401001;2221064060_222401001;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАРНАУЛЬСКИЙ ВОДОКАНАЛ"""
0277077282;;;площадка не знает этот ИНН
5249002485;525350001;5249002485_525350001;"федеральное казенное предприятие ""Завод имени Я.М.Свердлова"""
5249002485;524901001;5249002485_524901001;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ ""ЗАВОД ИМЕНИ Я.М.СВЕРДЛОВА"""
0266008329;;;площадка не знает этот ИНН
6330000553;;;площадка не знает этот ИНН
2457061937;;;площадка не знает этот ИНН
3803100054;380401001;3803100054_380401001;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РУСАЛ БРАТСКИЙ АЛЮМИНИЕВЫЙ ЗАВОД"""
7321316986;;;площадка не знает этот ИНН
4205003440;420501001;4205003440_420501001;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КУЗБАССКАЯ ТОПЛИВНАЯ КОМПАНИЯ"""
7118004789;711801001;7118004789_711801001;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЩЕКИНОАЗОТ"""
6314006396;;;площадка не знает этот ИНН
6227007322;;;площадка не знает этот ИНН
6665002150;660850001;6665002150_660850001;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАМЕНСК-УРАЛЬСКИЙ МЕТАЛЛУРГИЧЕСКИЙ ЗАВОД"""
6665002150;661201001;6665002150_661201001;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАМЕНСК-УРАЛЬСКИЙ МЕТАЛЛУРГИЧЕСКИЙ ЗАВОД"""
7705581646;391301001;7705581646_391301001;Общество с ограниченной ответственностью Управляющая компания «Содружество»
3849096450;384901001;3849096450_384901001;"ОБЩЕСТВО С ОГРАНИЧЕННОЙОТВЕТСТВЕННОСТЬЮ ""СЕРВИСИНЖИНИРИНГ СИСТЕМС"""
7720613388;504201001;7720613388_504201001;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЗАГОРСКИЙ ТРУБНЫЙ ЗАВОД"""
5907001774;590701001;5907001774_590701001;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ""ИСКРА"""
3809003787;;;площадка не знает этот ИНН
4217168581;;;площадка не знает этот ИНН
7704784450;890443001;7704784450_890443001;"ФИЛИАЛ ""УРЕНГОЙСКАЯ ГРЭС"""
7704784450;770401001;7704784450_770401001;"Акционерное общество ""Интер РАО - Электрогенерация"""
5406323202;540701001;5406323202_540701001;"Открытое акционерное общество ""Территориальная генерирующая компания №11"""
5406323202;550301001;5406323202_550301001;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТЕРРИТОРИАЛЬНАЯ ГЕНЕРИРУЮЩАЯ  КОМПАНИЯ №11"""
1433000147;143301001;1433000147_143301001;"АКЦИОНЕРНАЯ КОМПАНИЯ ""АЛРОСА"" (ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО)"
5908007560;590801001;5908007560_590801001;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГАЛОПОЛИМЕР ПЕРМЬ"""
7530000048;753001001;7530000048_753001001;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРИАРГУНСКОЕ ПРОИЗВОДСТВЕННОЕ ГОРНО-ХИМИЧЕСКОЕ ОБЪЕДИНЕНИЕ"""
1102054991;;;площадка не знает этот ИНН
7723006328;772301001;7723006328_772301001;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГАЗПРОМНЕФТЬ - МОСКОВСКИЙ НПЗ"""
1644003838;164445008;1644003838_164445008;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТАТНЕФТЬ"" ИМЕНИ В.Д. ШАШИНА"
1644003838;164401001;1644003838_164401001;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТАТНЕФТЬ"" ИМЕНИ В.Д. ШАШИНА"
9106001900;;;площадка не знает этот ИНН
6629022962;668201001;6629022962_668201001;Акционерное общество «Уральский электрохимический комбинат»
6629022962;785150001;6629022962_785150001;"Акционерное общество ""Уральский электрохимический комбинат"""
6615001962;;;площадка не знает этот ИНН
4312126856;431201001;4312126856_431201001;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЛОПОЛИМЕР КИРОВО-ЧЕПЕЦК"""
1651025328;165101001;1651025328_165101001;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТАИФ-НК"""
7204095194;720301001;7204095194_720301001;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЮМЕНЬ ВОДОКАНАЛ"""
2465142996;;;площадка не знает этот ИНН
7422000795;785150001;7422000795_785150001;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ""МАЯК"""
7422000795;741301001;7422000795_741301001;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ""МАЯК"""
7422000795;785150001-deleted;7422000795-deleted_785150001-deleted;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ""МАЯК"""
5919470019;591901001;5919470019_591901001;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""СОЛИКАМСКИЙ МАГНИЕВЫЙ ЗАВОД"""
2903000446;;;площадка не знает этот ИНН
5001071638;500101001;5001071638_500101001;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КРИОГАЗ"""
5001071638;665843001;5001071638_665843001;"ФИЛИАЛ ООО ""КРИОГАЗ"" В Г. ЕКАТЕРИНБУРГ"
5003063216;781701001;5003063216_781701001;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КРИОГАЗ СЕВЕРО-ЗАПАД"""
7449006184;744901001;7449006184_744901001;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЧЕЛЯБИНСКИЙ КУЗНЕЧНО-ПРЕССОВЫЙ ЗАВОД"""
7449006184;742150001;7449006184_742150001;"Публичное ационерное общество ""Челябинский кузнечно-прессовый завод"""
7449006184;785050001;7449006184_785050001;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЧЕЛЯБИНСКИЙ КУЗНЕЧНО-ПРЕССОВЫЙ ЗАВОД"""
6310000160;;;площадка не знает этот ИНН
0268008010;026801001;0268008010_026801001;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАШКИРСКАЯ СОДОВАЯ КОМПАНИЯ"""
3528000597;997550001;3528000597_997550001;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""СЕВЕРСТАЛЬ"""
3528000597;352801001;3528000597_352801001;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""СЕВЕРСТАЛЬ"""
4823006703;482301001;4823006703_482301001;"Публичное акционерное общество ""Новолипецкий металлургический комбинат"""
7414003633;744501001;7414003633_744501001;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""МАГНИТОГОРСКИЙ МЕТАЛЛУРГИЧЕСКИЙ КОМБИНАТ"""
7414003633;745501001;7414003633_745501001;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""МАГНИТОГОРСКИЙ МЕТАЛЛУРГИЧЕСКИЙ КОМБИНАТ"""
7414003633;997550001;7414003633_997550001;"Публичное акционерное общество ""Магнитогорский металлургический комбинат"""
1651000010;165101001;1651000010_165101001;"Публичное Акционерное Общество ""Нижнекамскнефтехим"""
3448046860;344801001;3448046860_344801001;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРАКСАЙР ВОЛГОГРАД"""
1651000041;;;площадка не знает этот ИНН
7709930344;632401001;7709930344_632401001;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРАКСАЙР АЗОТ ТОЛЬЯТТИ"""
7610052644;761001001;7610052644_761001001;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ОДК-САТУРН"""
5243000185;524301001;5243000185_524301001;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АРЗАМАССКИЙ ХЛЕБ"""
7703370008;;;площадка не знает этот ИНН
7830001910;780101001;7830001910_780101001;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАЛТИЙСКИЙ ЗАВОД"""
7714572888;781001001;7714572888_781001001;Акционерное общество «СтройТрансНефтеГаз»
1434045743;;;площадка не знает этот ИНН
5001000041;500101001;5001000041_500101001;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЛИНДЕ ГАЗ РУС"""
4715022874;;;площадка не знает этот ИНН
7327077188;732701001;7327077188_732701001;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УЛЬЯНОВСКИЙ АВТОМОБИЛЬНЫЙ ЗАВОД"""
5249105219;;;площадка не знает этот ИНН
1653006666;166001001;1653006666_166001001;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ГОРОДА КАЗАНИ ""ВОДОКАНАЛ"""
1902025326;;;площадка не знает этот ИНН
2012006949;201201001;2012006949_201201001;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЧЕЧЕНЦЕМЕНТ"""
8401005730;245702001;8401005730_245702001;"ЗАПОЛЯРНЫЙ ФИЛИАЛ ПУБЛИЧНОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ГОРНО-МЕТАЛЛУРГИЧЕСКАЯ КОМПАНИЯ ""НОРИЛЬСКИЙ НИКЕЛЬ"" (ЗАПОЛЯРНЫЙ ФИЛИАЛ ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ"")"
8401005730;840101001;8401005730_840101001;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОРНО-МЕТАЛЛУРГИЧЕСКАЯ КОМПАНИЯ ""НОРИЛЬСКИЙ НИКЕЛЬ"""
7703647595;770301001;7703647595_770301001;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ОБЪЕДИНЕННАЯ ХИМИЧЕСКАЯ КОМПАНИЯ ""УРАЛХИМ"""
7721632827;365143004;7721632827_365143004;Филиал АО «Концерн Росэнергоатом» «Опытно-демонстрационный инженерный центр по выводу из эксплуатации»
7721632827;390943002;7721632827_390943002;"Филиал АО ""Концерн Росэнергоатом"" ""Дирекция строящейся Балтийской атомной станции"""
7721632827;691643001;7721632827_691643001;"Филиал АО «Концерн Росэнергоатом"" ""Калининская атомная станция"""
7721632827;663943002;7721632827_663943002;Филиал АО «Концерн Росэнергоатом» Белоярская атомная станция
7721632827;997650001;7721632827_997650001;"акционерное общество ""Концерн Росэнергоатом"""
7721632827;772643004;7721632827_772643004;Филиал АО «Концерн Росэнергоатом» по реализации капитальных проектов
7721632827;365143001;7721632827_365143001;"Акционерное общество ""Российский концерн по производству электрической и тепловой энергии на атомных станциях"" (Филиал ""Нововоронежская атомная станция"")"
7721632827;472643003;7721632827_472643003;Филиал АО «Концерн Росэнергоатом» «Опытно-демонстрационный инженерный центр по выводу из эксплуатации блоков АЭС с реакторными установками канального типа»
7721632827;772543002;7721632827_772543002;Акционерное общество «Российский концерн по производству электрической и тепловой энергии на атомных станциях»
7721632827;870043001;7721632827_870043001;Филиал АО «Концерн Росэнергоатом» «Плавучая атомная теплоэлектростанция»
7721632827;463443001;7721632827_463443001;"Филиал АО ""Концерн Росэнергоатом"" ""Курская атомная станция"""
7721632827;614343002;7721632827_614343002;"Филиал Акционерного общества ""Российский концерн по производству электрической и тепловой энергии на атомных станциях"" ""Ростовская атомная станция"""
7721632827;772101001;7721632827_772101001;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЙ КОНЦЕРН ПО ПРОИЗВОДСТВУ ЭЛЕКТРИЧЕСКОЙ И ТЕПЛОВОЙ ЭНЕРГИИ НА АТОМНЫХ СТАНЦИЯХ"""
7721632827;511743001;7721632827_511743001;"ФИЛИАЛ АО ""КОНЦЕРН РОСЭНЕРГОАТОМ"" ""КОЛЬСКАЯ АТОМНАЯ СТАНЦИЯ"""
7721632827;472643001;7721632827_472643001;"ФИЛИАЛ АО ""КОНЦЕРН РОСЭНЕРГОАТОМ"" ""ЛЕНИНГРАДСКАЯ АТОМНАЯ СТАНЦИЯ"""
7721632827;643943001;7721632827_643943001;"ФИЛИАЛ АО ""КОНЦЕРН РОСЭНЕРГОАТОМ"" ""БАЛАКОВСКАЯ АТОМНАЯ СТАНЦИЯ"""
7721632827;672443001;7721632827_672443001;"ФИЛИАЛ АО ""КОНЦЕРН РОСЭНЕРГОАТОМ"" ""СМОЛЕНСКАЯ АТОМНАЯ СТАНЦИЯ"""
7721632827;870343001;7721632827_870343001;"ФИЛИАЛ АО ""КОНЦЕРН РОСЭНЕРГОАТОМ"" ""БИЛИБИНСКАЯ АТОМНАЯ СТАНЦИЯ"""
2902059091;997850001;2902059091_997850001;"акционерное общество ""Производственное объединение ""Северное машиностроительное предприятие"""
2902059091;231702001;2902059091_231702001;"ОЗДОРОВИТЕЛЬНО-ЛЕЧЕБНЫЙ ЦЕНТР-ПАНСИОНАТ ""ОРБИТА-1"""
2902059091;997850001-deleted;2902059091_997850001-deleted;"акционерное общество ""Производственное объединение ""Северное машиностроительное предприятие"""
2902059091;290201001;2902059091_290201001;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ""СЕВЕРНОЕ МАШИНОСТРОИТЕЛЬНОЕ ПРЕДПРИЯТИЕ"""
1658087524;;;площадка не знает этот ИНН
6623029538;220943001;6623029538_220943001;"Акционерное общество ""Научно-производственная корпорация ""Уралвагонзавод"" имени Ф.Э.Дзержинского"
6623029538;662301001;6623029538_662301001;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ПРОИЗВОДСТВЕННАЯ КОРПОРАЦИЯ ""УРАЛВАГОНЗАВОД"" ИМЕНИ Ф.Э. ДЗЕРЖИНСКОГО"""
0277014204;;;площадка не знает этот ИНН
1658008723;165801001;1658008723_165801001;"КАЗАНСКОЕ ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ОРГАНИЧЕСКИЙ СИНТЕЗ"""
3128005752;;;площадка не знает этот ИНН
4253042369;;;площадка не знает этот ИНН
7729082090;772931016;7729082090_772931016;Типография Московского государственного университета имени М.В.Ломоносова
7729082090;772931002;7729082090_772931002;Дирекция инженерной эксплуатации Московского государственного университета имени М.В. Ломоносова
7729082090;772931001;7729082090_772931001;Санаторий-профилакторий Московского государственного университета имени М.В.Ломоносова
7729082090;772931003;7729082090_772931003;Управление общежитиями Московского государственного университета имени М.В.Ломоносова
7729082090;231802001;7729082090_231802001;"обособленное подразделение Пансионат ""Буревестник"" федерального государственного бюджетного образовательного учреждения высшего профессионального образования ""Московский государственный университет имени М.В.Ломоносова"""
7729082090;772931011;7729082090_772931011;Высшая школа перевода (факультет) Московского государственного университета им. М.В. Ломоносова
7729082090;772931019;7729082090_772931019;Управление капитального строительства Московского государственного университета имени М.В.Ломоносова
7729082090;772931013;7729082090_772931013;"Высшая школа инновационного бизнеса (факультет) федерального государственного образовательного учреждения высшего профессионального образования ""Московский государственный университет имени М.В.Ломоносова"" (Корпоративный университет)"
7729082090;772931008;7729082090_772931008;Московская школа экономики Московского государственного университета имени М.В. Ломоносова
7729082090;772931015;7729082090_772931015;Высшая школа государственного аудита (факультет) Московского государственного университета имени М.В. Ломоносова
7729082090;772931017;7729082090_772931017;Высшая школа (факультет) телевидения Московского государственного университета имени М.В. Ломоносова
7729082090;503931001;7729082090_503931001;Филиал Московского государственного университета имени М.В. Ломоносова в городе Пущино
7729082090;502831001;7729082090_502831001;"Дом отдыха ""Красновидово"" - структурное подразделение Московского государственного университета им.М.В.Ломоносова"
7729082090;772931004;7729082090_772931004;Высшая школа бизнеса Московского государственного университета имени М.В. Ломоносова
7729082090;772931014;7729082090_772931014;Высшая школа государственного администрирования Московского государственного университета имени М.В. Ломоносова
7729082090;772902002;7729082090_772902002;Экономический факультет Московского государственного университета имени М.В.Ломоносова
7729082090;772931018;7729082090_772931018;Высшая школа современных социальных наук (факультет) Московского государственного университета имени М.В. Ломоносова
7729082090;772945001;7729082090_772945001;Центр телекоммуникаций и информационных технологий Московского государственного университета имени М.В.Ломоносова
7729082090;772931007;7729082090_772931007;Факультет биоинженерии и биоинформатики Московского государственного университета им. М.В. Ломоносова
7729082090;770345001;7729082090_770345001;Издательство Московского государственного университета имени М.В.Ломоносова
1101205461;110101001;1101205461_110101001;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОМИ ТЕПЛОВАЯ КОМПАНИЯ"""
6612006391;;;площадка не знает этот ИНН
2536210349;253601001;2536210349_253601001;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЦЕНТР СУДОРЕМОНТА ""ДАЛЬЗАВОД"""
2460237901;;;площадка не знает этот ИНН
3304000103;330401001;3304000103_330401001;МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ВОДОПРОВОДНО-КАНАЛИЗАЦИОННОЕ ПРЕДПРИЯТИЕ Г.ГУСЬ-ХРУСТАЛЬНЫЙ
5322015508;532201001;5322015508_532201001;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТАРОРУССКОГО РАЙОНА ""ЖИЛИЩНОЕ КОММУНАЛЬНОЕ ХОЗЯЙСТВО""  "
2453013555;245301001;2453013555_245301001;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ""ЭЛЕКТРОХИМИЧЕСКИЙ ЗАВОД"
2453013555;785150001;2453013555_785150001;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ""ЭЛЕКТРОХИМИЧЕСКИЙ ЗАВОД"
6615015316;661501001;6615015316_661501001;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ КАЧКАНАРСКОГО ГОРОДСКОГО ОКРУГА ""ГОРОДСКИЕ ЭНЕРГОСИСТЕМЫ"""
6615015316;668101001;6615015316_668101001;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ КАЧКАНАРСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ""ГОРОДСКИЕ ЭНЕРГОСИСТЕМЫ"""
7701984274;770101001;7701984274_770101001;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСВОДОКАНАЛ"""
6315376946;997450001;6315376946_997450001;"Открытое акционерное общество ""Волжская территориальная генерирующая компания"""
6315376946;332943001;6315376946_332943001;"ФИЛИАЛ ""ВЛАДИМИРСКИЙ"" ПАО ""Т Плюс"""
6315376946;561243001;6315376946_561243001;"филиал ""Оренбургский"" Публичное акционерное общество «Т Плюс»"
6315376946;434543001;6315376946_434543001;"Филиал ""Кировский"" Публичное акционерное общество ""Т Плюс"""
6315376946;583443002;6315376946_583443002;"ФИЛИАЛ ""ПЕНЗЕНСКИЙ"" ПАО ""Т ПЛЮС"""
6315376946;732743001;6315376946_732743001;"Публичное акционерное общество ""Т Плюс"" филиал ""Ульяновский"""
6315376946;110143001;6315376946_110143001;Филиал «Коми» Публичного акционерного общества «Т Плюс»
6315376946;502401001;6315376946_502401001;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""Т ПЛЮС"""
6315376946;132843002;6315376946_132843002;"Филиал ""МордовсФилиал ""Мордовский"" публичного акционерного общества ""Т Плюс"""
6315376946;526043001;6315376946_526043001;"филиал ""Нижегородский"" Публичного акционерного общества «Т Плюс»"
6315376946;667143001;6315376946_667143001;"Филиал ""Свердловский"" Публичное Акционерное Общество ""Т Плюс"""
6315376946;213043001;6315376946_213043001;"Филиал ""Марий Эл и Чувашии"" ПАО ""Т Плюс"""
6315376946;645043001;6315376946_645043001;"ФИЛИАЛ ""САРАТОВСКИЙ"" ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""Т ПЛЮС"" ФИЛИАЛ ""САРАТОВСКИЙ"""
6315376946;183243001;6315376946_183243001;"Филиал ""Удмуртский"" Публичного акционерного общества ""Т Плюс"""
6315376946;590443003;6315376946_590443003;"филиал ""Пермский"" ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""Т ПЛЮС"""
6315376946;631543004;6315376946_631543004;Самарский филиал Публичного акционерного общества «Т Плюс»
1434031363;143401001;1434031363_143401001;"Открытое акционерное общество ""Дальневосточная генерирующая компания"""
1434031363;272101001;1434031363_272101001;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДАЛЬНЕВОСТОЧНАЯ ГЕНЕРИРУЮЩАЯ КОМПАНИЯ"""
3808229774;380101001;3808229774_380101001;"Общество с ограниченной ответственностью ""Байкальская энергетическая компания"""
3808229774;380801001;3808229774_380801001;"Общество с ограниченной ответственностью ""Байкальская энергетическая компания"""
3808229774;380101001-deleted-1171797;3808229774-deleted-1171797_380101001-deleted-1171797;"Общество с ограниченной ответственностью ""Байкальская энергетическая компания"""
2631015563;;;площадка не знает этот ИНН
6451122250;645101001;6451122250_645101001;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""САРАТОВОРГСИНТЕЗ"""
0268004714;;;площадка не знает этот ИНН
6320004728;;;площадка не знает этот ИНН
7116000066;;;площадка не знает этот ИНН
2303025270;;;площадка не знает этот ИНН
5610058025;561001001;5610058025_561001001;"Общество с ограниченной ответственностью ""Газпром добыча Оренбург"""
3801009466;380101001;3801009466_380101001;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АНГАРСКАЯ НЕФТЕХИМИЧЕСКАЯ КОМПАНИЯ"""
3445042160;344501001;3445042160_344501001;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ ТРАНСГАЗ ВОЛГОГРАД""  "
8904034777;;;площадка не знает этот ИНН
7722245108;771401001;7722245108_771401001;"Общество с ограниченной ответственностью ""МЕЧЕЛ-ЭНЕРГО"""
7722245108;746001001;7722245108_746001001;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕЧЕЛ-ЭНЕРГО"""
2434012299;243401001;2434012299_243401001;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОВРУДНИК"""
7424024375;742401001;7424024375_742401001;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЮЖУРАЛЗОЛОТО ГРУППА КОМПАНИЙ"""
5920000593;997250001;5920000593_997250001;"Общество с ограниченной ответственностью ""Газпром трансгаз Чайковский"""
