inn;predpriyatie;razryad;pochemu;tip_mashiny;sreda;kak_uznali_sredu;marki;citata;chem_dokazano;ssylka_na_istochnik;sostoyanie;strok_faktov;lyudej_u_menya
2311209369;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ""ИНДУСТРИАЛЬНЫЙ ПАРК КРАСНОДАР""";B;B. доказано маркой или серией машины;центробежная;воздух;провайдер разобрал обозначение A140;A 140;Проведение единоразового технического обслуживания турбокомпрессоров ABB A 140;план 2220645728 позиция 157, сумма 2 284 800,00 ₽;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=08cedeee-6dc2-4edc-8327-48d03115e25b_b7c282f9-6a1f-498d-aea9-620ae57bb52f&infoGuid=08cedeee-6dc2-4edc-8327-48d03115e25b;планировал;4;0
2453013555;"АО ""ПО ЭХЗ""";B;B. доказано маркой или серией машины;центробежная;воздух;провайдер разобрал обозначение DEMK8-2-18;DEMK 8-2-18 | TA-3000;Фильтр одинарный (элемент фильтра масленной ситемы) входного воздушного фильтра марки ВВФ DEMK 8-2-18 Cameron каталожный номер AAP1404040-00207 для турбокомпрессора марки TA-3000 Compression System;Фабрикант, процедура 2577708 (ИНН по справочнику ЕГРЮЛ);https://fabrikant.ru/trades/atom/PriceMonitoring/?action=view&id=228469;покупает;3;2
7810715360;"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ КУЛЬТУРЫ ""МУЗЕЙНО-ВЫСТАВОЧНЫЙ ЦЕНТР""";B;B. доказано маркой или серией машины;центробежная по серии;воздух и газ названы оба;провайдер разобрал обозначение К7.1;К7.1 | К7.2;"Выполнение работ по ремонту компрессорно-конденсаторного блока системы VRF К7.1, К7.2 для нужд СПБ ГБУК ""МВЦ"" в 2021 году";процедура 3861750;https://zakupki.mos.ru/need/3861750;покупает;3;2
4012005152;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ АГРО-ИНВЕСТ;B;B. доказано маркой или серией машины;центробежная;воздух;провайдер разобрал обозначение ТО35;ТО 35;Проведение ТО 35 000 турбокомпрессоров марки TPL65VA33;процедура B3010231549391;https://www.roseltorg.ru/procedure/B3010231549391/1;покупает;2;0
3308004388;"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РАДУГАЭНЕРГО""";B;B. доказано маркой или серией машины;центробежная;воздух;провайдер разобрал обозначение TCR16/42710;TCR16/42710 | JS420;Выполнение работ по сервисному обслуживанию турбокомпрессора типа PBS Turbo TCR16/42710 на ГПУ Jenbacher JS420;план 2220639947 позиция 77, сумма 558 000,00 ₽;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=e08d99e1-b763-464d-b00f-76dabd0e4518_a87f7eb5-f046-497e-800a-5aec31b14d4c&infoGuid=e08d99e1-b763-464d-b00f-76dabd0e4518;планировал;2;0
7118004789;"ОАО ""Щекиноазот""";B;B. доказано маркой или серией машины;центробежная;воздух;провайдер разобрал обозначение 2ТГ80-1,8;2ТГ80-1,8;трубопровод кислорода, обвязка турбокомпрессора 2ТГ80-1,8 №1, рег. №1098, расположенный в кислородном цехе, ОАО «Щекиноазот»;заключение ЭПБ № 11-ЗС-12534-2019;https://monitor-pb.ru/conclusion/11-%D0%97%D0%A1-12534-2019;есть;1;1
7327077188;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ УЛЬЯНОВСКИЙ АВТОМОБИЛЬНЫЙ ЗАВОД;B;B. доказано маркой или серией машины;центробежная;воздух;провайдер разобрал обозначение К250-61-5;К250-61-5 | СПА-02;уплотнения ротора к турбокомпрессору К250-61-5 по чертежу №280Н.08. СПА-02;Фабрикант, процедура  (ИНН по справочнику ЕГРЮЛ);https://fabrikant.ru/market/view.html?action=view_pdo&type=360&id=1389907;покупает;1;0
2536210349;"АО ""ЦСД""";B;B. доказано маркой или серией машины;центробежная;воздух;провайдер разобрал обозначение РДН-35ZV-D2-BZP27;РДН-35ZV-D2-BZP27;поставка турбокомпрессора РДН-35ZV-D2-BZP27;Фабрикант, процедура 2245000-1 (ИНН по справочнику ЕГРЮЛ);https://fabrikant.ru/trades/osk/PriceRequest/?action=view&id=13633#lot_1;покупает;1;0
6320004728;"АО ""ТОАЗ""";B;B. доказано маркой или серией машины;центробежная;воздух;марка М1-01 однозначна по всему корпусу;М1-01, | 3В-11;Турбокомпрессор газовый Тип ТГ-80-1.8 М1-01, зав.№ 47, техн. № 3В-11, цех № 10, корп. 525;заключение ЭПБ № 53-ТУ-15491-2016;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-15491-2016;есть;1;0
7716182080;"ООО ""ДИАЛЛ АЛЬЯНС""";B;B. доказано маркой или серией машины;центробежная по серии;воздух и газ названы оба;сказано прямо в тексте;К-2410;Поставка компрессоров технического воздуха К-2410, включая шеф-монтажные и и пусконаладочные работы (2 шт.), для объекта: «Реконструкция УКПГ «Карпенское» с увеличением производительности до 900 млн. м3/год»;ЭТП ГПБ, процедура ГП245991;https://etpgpb.ru/procedure/tender/etp/683859-postavka-kompressorov-tehnicheskogo-vozduha-k-2410-vklyuchaya-shef-montazhnye-i-i-puskonaladochnye-raboty-2-sht-dlya-obekta-rekonst;покупает;1;0
4026000490;"МУП ГЭТ ""УКТ"" Г.КАЛУГИ";B;B. доказано маркой или серией машины;центробежная;воздух;провайдер разобрал обозначение ЭАУ139-26;ЭАУ139-26;ЭАУ139-26 Поставка турбокомпрессора;Сбербанк-АСТ, лот SBR003-260113443000126.1;;покупает;1;0
7843003128;"АО ""КРОНШТАДТСКИЙ МОРСКОЙ ЗАВОД""";B;B. доказано маркой или серией машины;центробежная;воздух;провайдер разобрал обозначение VTR-320H;VTR-320H;Ротор турбокомпрессора VTR-320H: Выполнить работы по статической и динамической балансировке ротора турбокомпрессора VTR-320H;Фабрикант, процедура 5084318-1 (ИНН по справочнику ЕГРЮЛ);https://fabrikant.ru/v2/trades/procedure/view/U2GamObQn5nE05Aikmostg;покупает;1;0
5501072598;"ООО ""РМЗ ""ГПН-ОНПЗ""""";B;B. доказано маркой или серией машины;центробежная по серии;воздух;марка К-101В однозначна по всему корпусу;К-101В | TZL 320;Поставка запчастей к компрессору К-101В марки 1 TZL 320 Neuman&Esser GmbH&Co;ЭТП ГПБ, процедура АП032045;https://etpgpb.ru/procedure/tender/etp/709593-postavka-zapchastey-k-kompressoru-k-101v-marki-1-tzl-320-neuman-i-esser-gmbh-i-co/;покупает;1;0
4205001274;"ПАО ""КОКС""";B;B. доказано маркой или серией машины;центробежная;воздух;провайдер разобрал обозначение ТВ300-1,6;ТВ300-1,6,;техническое устройство - турбокомпрессор № 2 ТВ300-1,6, инвентарный № 406877,из состава ЦУХПК № 2 Эксплуатируется на опасном производственном объекте I класса опасности (Цех улавливания химических продуктов №1, 2, регистрационный номер в реестре ОПО А68-00031-;заключение ЭПБ № 68-ТУ-47918-2022;https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-47918-2022;есть;1;0
3901500276;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""33 СУДОРЕМОНТНЫЙ ЗАВОД""";B;B. доказано маркой или серией машины;центробежная;воздух;провайдер разобрал обозначение VTR-250;VTR-250;"Выполнить работы по динамической балансировке роторов турбокомпрессоров типа VTR-250 фирмы ""Броун-Бовери"" на корабле проект 775 зав. № 5, согласно ведомости исполнения работ по ГОЗ (пункт 158)";Фабрикант, процедура 2373555-131705585030 (ИНН по справочнику ЕГРЮЛ);https://fabrikant.ru/trades/osk/ProposalRequest/?action=view&id=25690#lot_1;покупает;1;0
6312139922;АО РКЦ ПРОГРЕСС;B;B. доказано маркой или серией машины;центробежная по серии;воздух;марка К-250-61-1 однозначна по всему корпусу;К-250-61-1, | К250-61-5, | К-500;Запчасти к компрессорам К-250-61-1, К250-61-5, К-500;ЭТП ГПБ, процедура 31806353624;https://etpgpb.ru/procedure/tender/etp/149672-zapchasti-k-kompressoram-k-250-61-1-k250-61-5-k-500/;покупает;1;0
6673092454;"ООО ""ЭСК""";B;B. доказано маркой или серией машины;центробежная;воздух;провайдер разобрал обозначение К-500-61-5;К-500-61-5;Продажа комплектов запасных частей от турбокомпрессоров марки К-500-61-5 (б/у);ЭТП ГПБ, процедура 31502606761;https://etpgpb.ru/procedure/tender/etp/30099-prodazha-komplektov-zapasnyh-chastey-ot-turbokompressorov-marki-k-500-61-5-b-u/;покупает;1;0
9203501030;"ФГУП ""13 СРЗ ЧФ"" МИНОБОРОНЫ РОССИИ";B;B. доказано маркой или серией машины;центробежная;воздух;провайдер разобрал обозначение VTP-160;VTP-160 | IV 50;турбокомпрессор VTP-160, Z4S208 IV 50 35000 об., 650 C - 1 шт.;Фабрикант, процедура 2201414-231502629338 (ИНН по справочнику ЕГРЮЛ);https://fabrikant.ru/trades/osk/ProposalRequest/?action=view&id=12984#lot_2;покупает;1;0
1328016109;"АО ""ТЕПЛИЧНОЕ""";B;B. доказано маркой или серией машины;центробежная;воздух;провайдер разобрал обозначение TPS52;TPS 52;Открытый конкурс в электронной форме на право заключения договора на выполнение работ по техническому обслуживанию двух турбокомпрессоров АВВ типа TPS 52 F32;Сбербанк-АСТ, лот SBR003-260007009700035.1;;покупает;1;0
7805014746;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПЕТРОЛЕСПОРТ""";B;B. доказано маркой или серией машины;центробежная;воздух;провайдер разобрал обозначение DRF-450;DRF-450;Запчасти для ричстакера DRF-450: 1. Турбокомпрессор 923976.4370 - 1 шт. 2. Прокладка 924015.0505 - 1 шт. 3. Прокладка 923109.0143 - 1 шт. 4. Прокладка 923976.0159 - 1 шт. 5. Уплотнение 923976.0966 - 1 шт. 6. Уплотнение 923976.0160 - 1 шт. 7. Уплотнение 923976.;Фабрикант, процедура  (ИНН по справочнику ЕГРЮЛ);https://fabrikant.ru/market/view.html?action=view_pdo&type=60&id=24730;покупает;1;0
6317023569;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""САМАРСКИЙ РЕЧНОЙ ПОРТ""";B;B. доказано маркой или серией машины;центробежная;воздух;провайдер разобрал обозначение B4190;B4190;Поставка турбокомпрессоров для двигателя B4190;процедура 32110040095;https://www.roseltorg.ru/procedure/32110040095/1;покупает;1;0
7729466258;Государственное бюджетное учреждение города Москвы «Жилищник района Ново-Переделкино»;B;B. доказано маркой или серией машины;центробежная;воздух;провайдер разобрал обозначение CN-200;CN-200;Турбокомпрессор CN-200/352421143H с коллекторами;процедура SP9240886;https://www.roseltorg.ru/procedure/SP9240886/1;покупает;1;0
