Запрос;Паттерн;Тип провала;Релевантность/2;Источник;Нашлось;Что не так;Топ-3 выдачи
BERG ОВ 75;model;wrong_top;1;site;20;"серия ОВ не найдена; ВК-75 и ВК-7.5 перемешаны в топе";Винтовой компрессор BERG ВК-75 10 бар | Винтовой компрессор BERG ВК-7.5 10 бар, IP54 | Винтовой компрессор BERG ВК-75 12 бар
Cross Air Borey 200;model;wrong_top;1;site;14;топ разбавлен Borey 20 и Borey 180;Дизельный передвижной компрессор Cross Air Bo | Дизельный передвижной компрессор Cross Air Bo | Дизельный передвижной компрессор Cross Air Bo
BERG ВК-18;model;wrong_top;1;site;20;топ смешивает ВК-18.5 (18,5 кВт) и ВК-185 (185 кВт) из-за нечёткого числового матчинга;Винтовой компрессор BERG ВК-18,5 16 бар, IP54 | Винтовой компрессор BERG ВК-18.5 10 бар | Винтовой компрессор BERG ВК-185 10 бар
et SD 390;model;wrong_top;1;site;8;в топ-8 попали нерелевантные ET SDN 850 и Dalgakiran IMPETUS;Дизельный винтовой компрессор ET-Compressors  | Дизельный винтовой компрессор ET-Compressors  | Дизельный винтовой компрессор ET-Compressors 
Dali DLZJ 29;model;wrong_top;1;site;4;в топ попал DLZJ-31, не соответствующий запросу;Дизельный винтовой компрессор Dali DLZJ-29/23 | Дизельный винтовой компрессор Dali DLZJ-29/23 | Дизельный винтовой компрессор Dali DLZJ-29/23
Atlas Copco GX 4;model;wrong_top;1;site;13;топ разбавлен GX2 и GX7, запрос чётко на GX4;Винтовой компрессор Atlas Copco GX4 10P 4 кВт | Винтовой компрессор Atlas Copco GX4 10P TM(20 | Винтовой компрессор Atlas Copco GX4 10FF TM(2
масло;category;wrong_top;0;site;20;поиск бьёт по подстроке в слове «безмасляный», масло для компрессоров не выдаётся;Бензиновый компрессор ATLAS COPCO XAS 27 Hp | Винтовой безмасляный компрессор DALGAKIRAN Ea | Винтовой безмасляный компрессор DALGAKIRAN Ea
BERG ОВ 160;model;wrong_top;1;site;20;ОВ-160 не найден, весь топ подменён серией ВК-160;Винтовой компрессор BERG ВК-160 10 бар | Винтовой компрессор BERG ВК-160 12 бар | Винтовой компрессор BERG ВК-160 16 бар, IP54
Ironmac IC 7.5;model;wrong_top;1;site;20;В топ 8 затесались IC 75/10 (75 кВт) — нерелевантный шум от числового совпадения;Винтовой компрессор Ironmac IC 7,5/10 C | Винтовой компрессор Ironmac IC 7,5/10 C VSD D | Винтовой компрессор Ironmac IC 7,5/10 C VSD D
Atlas Copco U 130;model;wrong_top;1;site;20;Позиции 2–8 заняты посторонними ABAC FORMULA, нужная модель только одна на1-м месте;Дизельный компрессор ATLAS COPCO U 130 Kd (бе | Винтовой компрессор ABAC FORMULA 7.5-13 | Винтовой компрессор ABAC FORMULA.E 7.5-13
BERG ВК-4;model;wrong_top;1;site;20;"Модель ВК-4 не существует; поиск вернул ВК-45 по префиксу без предупреждения покупателя";Винтовой компрессор BERG ВК-45 10 бар | Винтовой компрессор BERG ВК-45 12 бар | Винтовой компрессор BERG ВК-45 16 бар, IP54
BERG ОВ 90;model;wrong_top;1;site;20;ОВ-90 не найден, весь топ подменён серией ВК-90;Винтовой компрессор BERG ВК-90 10 бар | Винтовой компрессор BERG ВК-90 12 бар | Винтовой компрессор BERG ВК-90 16 бар, IP54
DALGAKIRAN DMD DryAir 15;model;too_few;1;site;2;"Всего 2 результата; 2-я позиция — чужой артикул DMD 120";Адсорбционный осушитель Dalgakiran DryAir DMD | Адсорбционный осушитель Dalgakiran DryAir DMD
Hansmann RSE 15;model;wrong_top;1;site;7;В топ-8 попали RSE 90 и RSE 132 — другие модели серии;Винтовой компрессор Hansmann RSE 15 10 бар | Винтовой компрессор Hansmann RSE 15 12 бар | Винтовой компрессор Hansmann RSE 15 8 бар
REMEZA КС 3-8;model;wrong_top;1;site;20;8-я позиция — нерелевантный REMEZA BK75-2,5;Спиральный компрессор REMEZA КС 3-8 | Спиральный компрессор REMEZA КС 3-8 M (с осуш | Спиральный компрессор REMEZA КС 3-8-270
реле давления;category;wrong_top;0;site;20;Показаны компрессоры вместо реле давления (запчасть/аксессуар);Компрессор высокого давления DALGAKIRAN DKK 4 | Компрессор высокого давления DALGAKIRAN DKKB  | Компрессор высокого давления DALGAKIRAN DKKB 
Atlas Copco XAS 87;model;too_few;1;site;2;"Всего 2 результата; XAS 27 на 2-й позиции — другой артикул";Дизельный компрессор ATLAS COPCO XAS 87 Kd | Бензиновый компрессор ATLAS COPCO XAS 27 Hp
DALGAKIRAN DPR D;model;wrong_top;1;site;20;Весь топ — только мощность 110 кВт, другие модели серии DPR D не представлены;Винтовой компрессор Dalgakiran DPR D 110-10 | Винтовой компрессор Dalgakiran DPR D 110-10 I | Винтовой компрессор Dalgakiran DPR D 110-13
осушитель;category;wrong_top;0;site;20;"весь топ — безмасляные компрессоры; категория осушителей поиском не распознана";Безмасляный компрессор REMEZA СБ4-24.OLD10Д | Винтовой безмасляный компрессор EKOMAK WIS20V | Винтовой безмасляный компрессор EKOMAK WIS20V
enger;brand;wrong_top;1;site;20;"брендовый запрос возвращает только генераторы азота; компрессоры Enger в топ-8 отсутствуют";Генератор азота ENGER GN025-98TWL | Генератор азота ENGER GN1000-98TWL | Генератор азота ENGER GN1000-99TWL
Фильтр магистральный;category;wrong_top;0;site;20;Вместо магистральных фильтров весь топ занят винтовыми компрессорами Cross Air CA11;Винтовой компрессор Cross Air CA11-10RA-500 | Винтовой компрессор Cross Air CA11-10RA-500,  | Винтовой компрессор Cross Air CA11-10RA-500DR
ET 900;model;model_not_found;1;site;20;Модель ET 900 не найдена, топ заполнен произвольными компрессорами ET без связи с запросом;Винтовой компрессор ET SL 7,5 10 бар, IP55 | Винтовой безмасляный компрессор ET SOF Dry 55 | Компрессор высокого давления ET SL 90-30 VS P
Ironmac IC 15;model;wrong_top;1;site;20;IC 150 и IC 20 попали в топ-8 — числовое пересечение размывает выдачу;Винтовой компрессор Ironmac IC 15/10 DIGI WiF | Винтовой компрессор Ironmac IC 15/10 DIGI WiF | Винтовой компрессор Ironmac IC 15/8 DIGI WiFi
Atlas Copco ZT 18;model;wrong_top;1;site;20;ZT 15 попал на позиции 7–8, должны быть только ZT 18;Винтовой компрессор безмасляный AC ZT 18 FF 1 | Винтовой компрессор безмасляный AC ZT 18 FF 7 | Винтовой компрессор безмасляный AC ZT 18 FF 8
Atlas Copco GA 355;model;wrong_top;1;site;19;Позиции 5–8 заняты масляными фильтрами Sotras вместо компрессоров GA355;Винтовой компрессор ATLAS COPCO GA 355/10 | Винтовой компрессор ATLAS COPCO GA 355/13 | Винтовой компрессор ATLAS COPCO GA 355/7,5
ABAC GENESIS 11;model;wrong_top;1;site;7;Компрессор GENESIS 18.5 и запчасти (фильтры воздушные ABAC) загрязняют топ-8;Винтовой компрессор ABAC GENESIS 11-8-500 | Винтовой компрессор ABAC GENESIS 11-10-500 | Винтовой компрессор ABAC GENESIS 11-13-500
DALGAKIRAN DMD DryAir 75;model;wrong_top;1;site;2;"Топ-1 — DMD 25 (не 75); расхождение названий серий DryAir vs DRYER";Адсорбционный осушитель Dalgakiran DryAir DMD | Адсорбционный осушитель Dalgakiran DRYER DMD 
Ironmac IC 20 10;model;wrong_top;1;site;20;Топ-1–3 верные (IC 20/10), с позиции 4 идут 15/16 бар;Винтовой компрессор Ironmac IC 20/10 C | Винтовой компрессор Ironmac IC 20/10 DIGI WiF | Винтовой компрессор Ironmac IC 20/10 DIGI WiF
Atlas Copco sf 4;model;wrong_top;1;site;20;Позиции 7–8 — SF 6 вместо SF 4, фокус на модели не удержан;Спиральный компрессор ATLAS COPCO SF 4 на рам | Спиральный компрессор ATLAS COPCO SF 4-8 Skid | Спиральный компрессор ATLAS COPCO SF 4-8 Моно
Cross Air Borey 11;model;wrong_top;1;site;3;"Топ-2–3 — Borey 170 (другая модель); Borey 11 только на позиции 1";Бензиновый стационарный компрессор Cross Air  | Дизельный передвижной компрессор Cross Air Bo | Дизельный стационарный компрессор Cross Air B
atlas cd 250;model;wrong_top;0;site;20;Вместо осушителя Atlas Copco CD 250 в топе — Ekomak ЕКО 250 CD и нерелевантные дизели XRVS;Винтовой компрессор Ekomak ЕКО 250 CD/7 | Винтовой компрессор Ekomak ЕКО 250 CD/8 | Винтовой компрессор Ekomak ЕКО 250 CD/10
DALGAKIRAN TIDY3;model;wrong_top;1;site;20;В топ-8 примешаны модели TIDY30 — отдельная серия, не соответствующая запросу;Винтовой компрессор Dalgakiran TIDY3-4 | Винтовой компрессор Dalgakiran TIDY3-7 | Винтовой компрессор Dalgakiran TIDY3-4-200
et ofs 5;model;model_not_found;1;site;20;"Точной модели OFS 5 нет; топ показывает OFS 5,5 и OFS 11/5,5 — разные позиции";Спиральный компрессор ET OFS 5,5 belt 10 | Спиральный компрессор ET OFS 5,5 belt 8 | Спиральный компрессор ET OFS 5,5-200 PM ES 10
винтовой компрессор;category;wrong_top;1;webmaster;20;Топ идентичен запросу «купить винтовой компрессор» — монобренд ABAC FORMULA, поиск игнорирует коммерческий модификатор;Винтовой компрессор ABAC FORMULA 11-10 | Винтовой компрессор ABAC FORMULA 11-13 | Винтовой компрессор ABAC FORMULA 11-8
адсорбционный осушитель;category;wrong_top;1;webmaster;20;Первый результат — винтовой компрессор Kraftmann, не осушитель;"Винтовой компрессор Kraftmann POLARIS 45 W | Осушитель адсорбционный &quot;Airrus&quot; ОА | Осушитель адсорбционный &quot;Airrus&quot; ОА"
компрессор dali;brand;wrong_top;1;webmaster;20;Топ монополизирован серией низкого давления DLVF/EN, винтовые DL-серии вытеснены из топ-8;Компрессор низкого давления DALI DLVF-132/3 | Компрессор низкого давления DALI DLVF-200/3 | Компрессор низкого давления DALI DLVF-37/3
генератор кислорода;category;wrong_top;0;webmaster;20;Показаны генераторы азота вместо кислорода;Генератор азота ENGER GN025-98TWL | Генератор азота ENGER GN1000-98TWL | Генератор азота ENGER GN1000-99TWL
рефрижераторный осушитель;category;wrong_top;0;webmaster;20;Вместо рефрижераторных осушителей — винтовые компрессоры ABAC FORMULA ME;Винтовой компрессор ABAC FORMULA ME30-10 | Винтовой компрессор ABAC FORMULA ME30-13 | Винтовой компрессор ABAC FORMULA ME30-7.5
адсорбционный осушитель воздуха;category;wrong_top;1;webmaster;20;Первая позиция — винтовой компрессор, не осушитель;"Винтовой компрессор Kraftmann POLARIS 45 W | Осушитель адсорбционный &quot;Airrus&quot; ОА | Осушитель адсорбционный &quot;Airrus&quot; ОА"
компрессор берг;brand;wrong_top;1;webmaster;20;Топ — только дизельные BERG, без винтовых моделей бренда;Компрессор дизельный BERG М-10-12 | Компрессор дизельный BERG М-12-10 | Компрессор дизельный BERG М-13-13
рефрижераторный осушитель воздуха;category;wrong_top;0;webmaster;20;Тот же баг что и без слова «воздуха»: выдаются компрессоры ABAC FORMULA ME;Винтовой компрессор ABAC FORMULA ME30-10 | Винтовой компрессор ABAC FORMULA ME30-13 | Винтовой компрессор ABAC FORMULA ME30-7.5
компрессоры berg;brand;wrong_top;1;webmaster;20;Топ — только винтовые BERG, дизельные модели бренда отсутствуют;Винтовой компрессор BERG ВК-11Р 16 бар | Винтовой компрессор BERG ВК-15Р 16 бар | Винтовой компрессор BERG ВК-22Р 16 бар
компрессорное оборудование;category;wrong_top;1;webmaster;20;Широкий категорийный запрос, топ монополизирован одним брендом (ABAC SPINN), нет разнообразия типов и брендов;Винтовой компрессор ABAC SPINN 11-10 FM | Винтовой компрессор ABAC SPINN 11-10-TM270 | Винтовой компрессор ABAC SPINN 11-10-TM500
конденсатоотводчик;category;wrong_top;0;webmaster;20;Показаны безмасляные компрессоры ЗИФ вместо аксессуаров для отвода конденсата;Винтовой безмасляный компрессор ЗИФ-СВЭ-БМ-11 | Винтовой безмасляный компрессор ЗИФ-СВЭ-БМ-12 | Винтовой безмасляный компрессор ЗИФ-СВЭ-БМ-14
компрессоры ekomak;brand;wrong_top;1;webmaster;20;"Топ только спиральные SPR; основная линейка Ekomak — винтовые DMD — вытеснена из топа";Спиральный компрессор EKOMAK SPR 2/8 230V | Спиральный компрессор EKOMAK SPR 3/8 230V | Спиральный компрессор EKOMAK SPR 3/8 400V
азотная установка;category;empty_but_should;0;webmaster;0;Магазин продаёт генераторы газов, но поиск возвращает 0 результатов;
компрессор для лазерного станка;spec;wrong_top;1;webmaster;20;Высокобарные компрессоры косвенно подходят, но нет явной привязки к лазерным станкам и специализированных позиций;Компрессор винтовой ZEGA SEL 15-16 | Компрессор винтовой ZEGA SEL 22-16 | Компрессор винтовой ZEGA SEGV15S-16 IP65
компрессоры винтовые berg;brand;wrong_top;1;webmaster;20;Дизельные BERG М-серии занимают топ, несмотря на ключевое слово «винтовые»;Компрессор дизельный BERG М-7-8 | Компрессор дизельный BERG М-5-8 | Компрессор дизельный BERG М-20-8
берг компрессор;brand;wrong_top;1;webmaster;20;Топ только дизельные М-серия, стационарные винтовые ВК не представлены при брендовом запросе;Компрессор дизельный BERG М-10-12 | Компрессор дизельный BERG М-12-10 | Компрессор дизельный BERG М-13-13
модульная компрессорная станция;category;wrong_top;1;webmaster;20;Суффикс MDL в названиях ENGER ошибочно поднял генераторы азота вместо модульных компрессорных станций;Генератор азота ENGER GN3-59MDL | Генератор азота ENGER GN5-49MDL | Генератор азота ENGER GN5-59MDL
рефрижераторный осушитель сжатого воздуха;category;wrong_top;0;webmaster;20;Вместо осушителей показаны компрессоры ALMiG V-DRIVE — полное несовпадение категории;Винтовой компрессор ALMiG V-DRIVE 30/10 | Винтовой компрессор ALMiG V-DRIVE 30/13 | Винтовой компрессор ALMiG V-DRIVE 30/6
осушитель рефрижераторного типа;spec;wrong_top;1;webmaster;20;Показаны компрессоры со встроенным осушителем (с осушителем), а не отдельные рефрижераторные осушители;Винтовой компрессор Kraftmann APOLLO 15 PLUS  | Винтовой компрессор Kraftmann APOLLO 22 PLUS  | Винтовой компрессор Kraftmann APOLLO 30 PLUS 
винтовые ременные компрессоры;spec;wrong_top;1;webmaster;20;Показаны винтовые компрессоры ZEGA SSE, но привод (ременной vs прямой) из названий не очевиден — релевантность под вопросом;Винтовой компрессор ZEGA SSE335S 8 | Винтовой компрессор ZEGA SSE335S 10 | Винтовой компрессор ZEGA SSE480S 8
винтовой компрессор с ресивером;spec;wrong_top;1;webmaster;20;топ показывает компрессоры «с осушителем», а не «с ресивером»;Винтовой компрессор REMEZA ВК7Е-8-500Д (с осу | Винтовой компрессор REMEZA ВК10Е-8-500Д (с ос | Винтовой компрессор REMEZA ВК15Е-8-500Д (с ос
азотный генератор;category;empty_but_should;0;webmaster;0;генераторы азота входят в ассортимент (генераторы газов), выдача пуста;
винтовой компрессор с частотным преобразователем;spec;wrong_top;1;webmaster;20;модели PLUS могут быть ЧП-версиями, но из названий это не следует — покупатель не убедится;Винтовой компрессор Kraftmann APOLLO 6 PLUS ( | Винтовой компрессор Kraftmann APOLLO 7 PLUS ( | Винтовой компрессор Kraftmann ALTAIR 16 PLUS 
berg компрессор;brand;wrong_top;1;webmaster;20;в топ-8 только дизельные BERG, винтовые — основной ассортимент марки — вытеснены вниз;Компрессор дизельный BERG М-10-12 | Компрессор дизельный BERG М-12-10 | Компрессор дизельный BERG М-13-13
компрессор воздушный berg;brand;wrong_top;1;webmaster;20;"дизельные и винтовые BERG перемешаны без логики; дизельные здесь нерелевантны";Винтовой компрессор BERG ВК-11Р 16 бар | Компрессор дизельный BERG М-7-8 | Винтовой компрессор BERG ВК-15Р 16 бар
компрессоры;category;wrong_top;1;webmaster;20;половина топа — воздуходувки ROBUSCHI, которые не являются компрессорами;Винтовой компрессор Global GL 18 7 | Винтовой компрессор Global GL 18 8 | Винтовой компрессор Global GL 22 7
рефрижераторный осушитель воздуха для компрессора;category;wrong_top;0;webmaster;20;весь топ — компрессоры ABAC, рефрижераторные осушители не показаны вообще;Винтовой компрессор ABAC FORMULA ME30-10 | Винтовой компрессор ABAC FORMULA ME30-13 | Винтовой компрессор ABAC FORMULA ME30-7.5
азотная станция;category;empty_but_should;0;webmaster;0;В каталоге есть генераторы азота ENGER — поиск не связал синоним «станция» с категорией;
компрессор для производства;category;wrong_top;1;webmaster;20;Широкий запрос, но топ отдан только компрессорам высокого давления — нет электрических и поршневых;Компрессор высокого давления Enger YD-1/40 | Компрессор высокого давления Enger YD-1/40 VS | Компрессор высокого давления Enger YD-1.5/40
компрессор винтовой с осушителем и ресивером;spec;wrong_top;1;webmaster;20;Выдаёт только модели «с осушителем», без ресивера в комплекте — запрос содержит оба условия;Винтовой компрессор REMEZA ВК7Е-8-500Д (с осу | Винтовой компрессор REMEZA ВК10Е-8-500Д (с ос | Винтовой компрессор REMEZA ВК15Е-8-500Д (с ос
компрессор промышленный;category;wrong_top;1;webmaster;20;Топ целиком занят дизельными MASTER BLAST, электрические и поршневые промышленные модели не представлены;Компрессор винтовой дизельный MASTER BLAST BP | Компрессор винтовой дизельный MASTER BLAST BP | Компрессор винтовой дизельный MASTER BLAST BP
осушитель воздуха рефрижераторного типа;spec;wrong_top;0;webmaster;20;Показаны компрессоры со встроенным осушителем, а не самостоятельные рефрижераторные осушители;Винтовой компрессор Kraftmann APOLLO 15 PLUS  | Винтовой компрессор Kraftmann APOLLO 22 PLUS  | Винтовой компрессор Kraftmann APOLLO 30 PLUS 
кислородная установка;category;wrong_top;0;webmaster;20;Та же проблема: кислородный интент заменён азотным, магазин позиционирует «генераторы газов» в целом;Генератор азота ENGER GN025-98TWL | Генератор азота ENGER GN1000-98TWL | Генератор азота ENGER GN1000-99TWL
азотные установки;category;empty_but_should;0;webmaster;0;синоним «азотные установки» не распознан — в каталоге есть генераторы азота ENGER;
модульные компрессорные станции;category;wrong_top;0;webmaster;20;весь топ — генераторы азота с суффиксом MDL, компрессорные станции не показаны;Генератор азота ENGER GN3-59MDL | Генератор азота ENGER GN5-49MDL | Генератор азота ENGER GN5-59MDL
ресивер воздушный;category;wrong_top;0;webmaster;20;показаны компрессоры, укомплектованные ресивером, а не отдельные ресиверы;Винтовой компрессор ET SL 7,5 D VS PM V верти | Винтовой компрессор ET SL 7,5 D VS PM V верти | Винтовой компрессор ET SL 7,5 D VS PM V верти
кислородный генератор;category;out_of_scope;0;webmaster;0;;
адсорбционный осушитель для компрессора;spec;wrong_top;0;webmaster;20;показаны компрессоры Atlas Copco со встроенным осушителем — отдельные адсорбционные осушители в топ не попали;Винтовой компрессор Atlas Copco GA18 VSD+13FF | Винтовой компрессор Atlas Copco GA22 VSD+13FF | Винтовой компрессор Atlas Copco GA26 VSD+13FF
кислородная станция;category;wrong_top;0;webmaster;20;Показаны генераторы азота вместо кислородных станций/генераторов кислорода;Генератор азота ENGER GN025-98TWL | Генератор азота ENGER GN1000-98TWL | Генератор азота ENGER GN1000-99TWL
осушитель воздуха для компрессора;category;wrong_top;0;webmaster;20;Показаны безмасляные компрессоры EKOMAK вместо осушителей;Винтовой безмасляный компрессор EKOMAK WIS20V | Винтовой безмасляный компрессор EKOMAK WIS20V | Винтовой безмасляный компрессор EKOMAK WIS25V
винтовые компрессоры с частотным преобразователем;spec;wrong_top;1;webmaster;20;Топ занят моделями «с осушителем» (PLUS), а не с ЧРП/VSD;Винтовой компрессор Kraftmann ALTAIR 16 PLUS  | Винтовой компрессор Kraftmann ALTAIR 20 PLUS  | Винтовой компрессор Kraftmann ALTAIR 24 PLUS 
азотные генераторы;category;empty_but_should;0;webmaster;0;Нулевая выдача, хотя генераторы азота есть в ассортименте;
винтовой компрессор с частотником;spec;wrong_top;1;webmaster;20;Топ размыт: VSD-модели смешаны с моделями без частотника;Винтовой компрессор ZEGA SEV 5.5S 8 | Винтовой безмасляный компрессор ENGER LUF75A  | Винтовой безмасляный компрессор ENGER LUF75W 
винтовые компрессоры berg;brand;wrong_top;1;webmaster;20;Топ засорён дизельными моделями BERG, хотя запрос явно указывает 'винтовые';Компрессор дизельный BERG М-7-8 | Компрессор дизельный BERG М-5-8 | Компрессор дизельный BERG М-20-8
рефрижераторный осушитель для компрессора;spec;wrong_top;0;webmaster;20;Выдаёт компрессоры ABAC FORMULA вместо самостоятельных рефрижераторных осушителей;Винтовой компрессор ABAC FORMULA ME30-10 | Винтовой компрессор ABAC FORMULA ME30-13 | Винтовой компрессор ABAC FORMULA ME30-7.5
осушитель рефрижераторный;category;wrong_top;0;webmaster;20;Выдаёт компрессоры ABAC FORMULA вместо рефрижераторных осушителей;Винтовой компрессор ABAC FORMULA ME30-10 | Винтовой компрессор ABAC FORMULA ME30-13 | Винтовой компрессор ABAC FORMULA ME30-7.5
компрессоры винтовые;category;wrong_top;1;webmaster;20;Топ перекошен в сторону дизельных моделей DAS, для общего запроса по категорииожидается репрезентативная выдача;Винтовой компрессор DAS DPK 5200 D | Дизельный винтовой компрессор DAS DPK 7200 D  | Винтовой компрессор DAS DPK 9000 D
компрессор berg bk;brand;model_not_found;0;webmaster;0;латиница BK не матчится с кириллицей ВК — товар в каталоге есть, поиск возвращает ноль;
осушитель сжатого воздуха рефрижераторного типа;spec;wrong_top;0;webmaster;20;выданы компрессоры со встроенным осушителем вместо самостоятельных рефрижераторных осушителей;Винтовой компрессор Kraftmann APOLLO 15 PLUS  | Винтовой компрессор Kraftmann APOLLO 30 PLUS  | Винтовой компрессор Kraftmann APOLLO 6 PLUS (
осушитель для компрессора;category;wrong_top;0;webmaster;20;Топ занят безмасляными компрессорами EKOMAK вместо осушителей;Винтовой безмасляный компрессор EKOMAK WIS20V | Винтовой безмасляный компрессор EKOMAK WIS20V | Винтовой безмасляный компрессор EKOMAK WIS25V
винтовая компрессорная установка;category;wrong_top;1;webmaster;20;Топ открывается нишевыми низкодавленческими безмасляными REMEZA BK вместо типовых маслозаполненных установок;Винтовой безмасляный компрессор низкого давле | Винтовой безмасляный компрессор низкого давле | Винтовой компрессор ABAC SPINN 11-10 FM
электрический компрессор;category;wrong_top;1;webmaster;20;Топ монополизирован мобильными Enger EC, стационарные электрические компрессоры не представлены;Компрессор электрический передвижной Enger EC | Компрессор электрический передвижной Enger EC | Компрессор электрический передвижной Enger EC
кислородные станции;category;wrong_top;0;webmaster;20;Показаны генераторы азота вместо кислородных станций/генераторов;Генератор азота ENGER GN025-98TWL | Генератор азота ENGER GN1000-98TWL | Генератор азота ENGER GN1000-99TWL
dali компрессор;brand;wrong_top;1;webmaster;20;Топ целиком из компрессоров низкого давления Dali, стандартные модели не представлены;Компрессор низкого давления DALI DLVF-132/3 | Компрессор низкого давления DALI DLVF-200/3 | Компрессор низкого давления DALI DLVF-37/3
осушитель сжатого воздуха;category;wrong_top;0;webmaster;20;Выдача: безмасляные компрессоры ЗИФ вместо осушителей сжатого воздуха;Винтовой безмасляный компрессор ЗИФ-СВЭ-БМ-11 | Винтовой безмасляный компрессор ЗИФ-СВЭ-БМ-12 | Винтовой безмасляный компрессор ЗИФ-СВЭ-БМ-14
установка получения азота;category;wrong_top;0;webmaster;11;Выдача: дизельные компрессоры Dali вместо азотных генераторов/установок;Дизельный винтовой компрессор Dali DLZJ-18/17 | Дизельный винтовой компрессор Dali DLZJ-15/14 | Дизельный винтовой компрессор Dali DLZJ-29/23
компрессор 8 бар;spec;wrong_top;1;webmaster;20;Все топ-8 — только бренд MIG, нет мультибрендовой выдачи по параметру давления;Винтовой компрессор MIG 11 8 бар | Винтовой компрессор MIG К 15 8 бар | Винтовой компрессор MIG 15 8 бар
ресивер для компрессора;category;category_not_found;0;webmaster;20;Вместо ресиверов выдаются винтовые компрессоры — категория ресиверов не всплывает;Винтовой компрессор Hansmann RSA 11 16 бар | Винтовой компрессор ARIACOM NT15 V DF 15 бар | Винтовой компрессор ATLAS COPCO GA 90+
