inn;predpriyatie;obekt;deystvuet_do;status;data;vyvod;ekspertnaya_org;ssylka
6608007434;"ООО ""ГАЗПРОМ ТРАНСГАЗ ЕКАТЕРИНБУРГ""";"техническое устройство: центробежный нагнетатель Н-196, зав. № 114, ст. № 3, инв. № 140894 (ОПО ""Площадка компрессорной станции Медногорского линейного производственного управления магистральных газопроводов"", рег.№А54-00834-0147, II класс опасности)";31.12.2046;Действует;23.12.2022;соответствует;"ООО ""МОНОЛИТ-СПБ""";https://monitor-pb.ru/conclusion/54-%D0%A2%D0%A3-25124-2022
6453010110;"ООО ""ГАЗПРОМ ТРАНСГАЗ САРАТОВ""";центробежный нагнетатель типа Н-370-17-1, зав. № 3103 ст. № 4, инв. № 138924;11.09.2044;Действует;09.01.2020;соответствует;"ООО ""ЭНЕРГОЭКСПЕРТ"" (ИНН 0278209559)";https://monitor-pb.ru/conclusion/51-%D0%A2%D0%A3-00009-2020
6453010110;"ООО ""ГАЗПРОМ ТРАНСГАЗ САРАТОВ""";техническое устройство центробежный нагнетатель типа Н-520-12-1 зав. № 3955, ст. № 9, инв. № 139024;27.06.2044;Действует;13.07.2020;соответствует;"ООО ""ЭНЕРГОЭКСПЕРТ"" (ИНН 0278209559)";https://monitor-pb.ru/conclusion/51-%D0%A2%D0%A3-09944-2020
6453010110;"ООО ""ГАЗПРОМ ТРАНСГАЗ САРАТОВ""";техническое устройство: Центробежный нагнетатель типа Н-196-1,45 зав. № 92М, ст. № 2, опасный производственный объект (ОПО): площадка компрессорных станций Екатериновского ЛПУ МГ, регистрационный номер ОПО: А51-01028-0275, класс опасности ОПО: II класс, место установки: КЦ-1 КС «Екатериновка» Ектериновское ЛПУ МГ, ООО «Газпром трансгаз Саратов».;02.10.2042;Действует;19.01.2018;соответствует;"ООО ""ГАЗМАШПРОЕКТ""";https://monitor-pb.ru/conclusion/51-%D0%A2%D0%A3-01275-2018
6453010110;"ООО ""ГАЗПРОМ ТРАНСГАЗ САРАТОВ""";техническое устройство: Центробежный нагнетатель типа Н-370-17-1 зав. № 4195, ст. № 15, опасный производственный объект (ОПО): площадка компрессорных станций Александровогайского ЛПУ МГ, регистрационный номер ОПО: А51-01028-0002, класс опасности ОПО: II класс, место установки: КЦ -3 КС «Александров-Гай», ООО «Газпром трансгаз Саратов».;12.09.2042;Действует;19.01.2018;соответствует;"ООО ""ГАЗМАШПРОЕКТ""";https://monitor-pb.ru/conclusion/51-%D0%A2%D0%A3-01273-2018
6453010110;"ООО ""ГАЗПРОМ ТРАНСГАЗ САРАТОВ""";техническое устройство: Центробежный нагнетатель типа Н-370-14-1 зав. № 3111, ст. № 21, опасный производственный объект (ОПО): площадка компрессорных станций ЭКЦ-I, ЭКЦ-II, ТКЦ Петровского ЛПУ МГ, регистрационный номер ОПО: А51-01028-0069, класс опасности ОПО: II класс, место установки: КЦ-3 Петровского ЛПУ МГ, ООО «Газпром трансгаз Саратов».;24.07.2042;Действует;19.01.2018;соответствует;"ООО ""ГАЗМАШПРОЕКТ""";https://monitor-pb.ru/conclusion/51-%D0%A2%D0%A3-01274-2018
5260080007;"ООО ""ГАЗПРОМ ТРАНСГАЗ НИЖНИЙ НОВГОРОД""";Корпус центробежного нагнетателя природного газа, типа Н-196, зав. № 86, ст. №1, инв. № 000202166;26.11.2039;Действует;29.11.2016;соответствует;"ООО ""ГАЗМАШПРОЕКТ""";https://monitor-pb.ru/conclusion/40-%D0%A2%D0%A3-04480-2016
6608007434;"ООО ""ГАЗПРОМ ТРАНСГАЗ ЕКАТЕРИНБУРГ""";техническое устройство: центробежный нагнетатель 280-11-6, ГПА ст.№8, зав.№104, инв. № 140928,;16.10.2039;Действует;13.03.2020;соответствует;"ООО ""ГАЗМАШПРОЕКТ""";https://monitor-pb.ru/conclusion/54-%D0%A2%D0%A3-03519-2020
6453010110;"ООО ""ГАЗПРОМ ТРАНСГАЗ САРАТОВ""";Газоперекачивающие агрегаты ГПА ст. №№ 1, 2, 3, 4, 5, 6, 7 типа Ц-6,3 с центробежными нагнетателями Н-196, инвентарные №№ 139436, 139437, 139438, 139439, 139440, 139630, 139631;10.08.2039;Действует;03.02.2020;соответствует;"ООО ""ЭНЕРГОЭКСПЕРТ"" (ИНН 0278209559)";https://monitor-pb.ru/conclusion/51-%D0%A2%D0%A3-01738-2020
9909071164;"""ЭНЛ "" - Филиал компании ""Эксон Нефтегаз Лимитед"" (Багамские Острова) в городе Южно-Сахалинске";техническое устройство, применяемое на опасном производственном объекте: компрессорная установка (модуль 03), на базе центробежных компрессоров моделей BCL-404/B и BCL-406/A зав. № № С12258, С12257 ОПО рег. № A77-00543-0018, класс опасности I “Участок предварительной подготовки нефти (Береговой комплекс подготовки Чайво), производственная зона”;01.08.2039;Действует;28.11.2019;соответствует;"ООО ""Фармакон""";https://monitor-pb.ru/conclusion/77-%D0%A2%D0%A3-00837-2019
9909071164;"""ЭНЛ "" - Филиал компании ""Эксон Нефтегаз Лимитед"" (Багамские Острова) в городе Южно-Сахалинске";техническое устройство, применяемое на опасном производственном объекте: компрессорная установка (модуль 04), на базе центробежных компрессоров моделей BCL-404/B и BCL-406/A зав. № № С12259,С12260 ОПО рег. № A77-00543-0018, класс опасности I “Участок предварительной подготовки нефти (Береговой комплекс подготовки Чайво), производственная зона”;01.07.2039;Действует;28.11.2019;соответствует;"ООО ""Фармакон""";https://monitor-pb.ru/conclusion/77-%D0%A2%D0%A3-00836-2019
6608007434;"ООО ""ГАЗПРОМ ТРАНСГАЗ ЕКАТЕРИНБУРГ""";техническое устройство - нагнетатель центробежный RF2ВВ/30, ст.№2, КС Алексеевская, КЦ-2, Алексеевского ЛПУМГ, зав.№997, инв.№140776;26.12.2037;Действует;24.05.2023;соответствует;"ООО ""НТЦ ""АНКЛАВ""";https://monitor-pb.ru/conclusion/54-%D0%A2%D0%A3-07149-2023
6608007434;"ООО ""ГАЗПРОМ ТРАНСГАЗ ЕКАТЕРИНБУРГ""";техническое устройство - нагнетатель центробежный RF2ВВ/30, ст.№4, КС Алексеевская, КЦ-2, Алексеевского ЛПУМГ, зав.№1001, инв.№140778;26.12.2037;Действует;24.05.2023;соответствует;"ООО ""НТЦ ""АНКЛАВ""";https://monitor-pb.ru/conclusion/54-%D0%A2%D0%A3-07151-2023
6608007434;"ООО ""ГАЗПРОМ ТРАНСГАЗ ЕКАТЕРИНБУРГ""";нагнетатель центробежный RF2ВВ/30, ст.№1, КС Алексеевская, КЦ-2, Алексеевского ЛПУМГ, зав.№996, инв.№140775;14.11.2037;Действует;19.04.2023;соответствует;"ООО ""НТЦ ""АНКЛАВ""";https://monitor-pb.ru/conclusion/54-%D0%A2%D0%A3-05457-2023
2722130919;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА БЛАГОВЕЩЕНСК""";Заключение экспертизы промышленной безопасности на техническое устройство центробежный компрессор типа RoTech 275H-120, поз. 1-40-43 KA-501, зав. № 285-295 (установка выделения этана и широкой фракции легких углеводородов, удаления азота и получение азотно-гелиевой смеси (установка 1–40), Амурский газоперерабатывающий завод, ООО «Газпром переработка Благовещенск»);31.12.2036;Действует;20.03.2023;соответствует;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";https://monitor-pb.ru/conclusion/72-%D0%A2%D0%A3-02529-2023
2722130919;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА БЛАГОВЕЩЕНСК""";Заключение экспертизы промышленной безопасности на техническое устройство центробежный компрессор типа RoTech 275H-120, поз. 2-40-43 KA-501, зав. № 285-296 (установка выделения этана и широкой фракции легких углеводородов, удаления азота и получение азотно-гелиевой смеси (установка 2-40), Амурский газоперерабатывающий завод, ООО «Газпром переработка Благовещенск»);31.12.2036;Действует;30.03.2023;соответствует;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";https://monitor-pb.ru/conclusion/72-%D0%A2%D0%A3-03077-2023
6453010110;"ООО ""ГАЗПРОМ ТРАНСГАЗ САРАТОВ""";технического устройства, применяемого на опасном производственном объекте: Центробежный нагнетатель природного газа типа Н-196-1,45 (ГПА-Ц-6,3-56), станционный № 5, заводской № 113М, инвентарный № 139440, опасный производственный объект (ОПО): площадка компрессорной станции КС-1  Екатериновского ЛПУМГ, регистрационный номер ОПО: А51-01028-0275, класс опасности ОПО: 2 класс, место установки: КЦ-1 КС «Екатериновка» Екатериновское ЛПУМГ,;05.12.2036;Действует;02.03.2017;соответствует;"ООО ""ГАЗМАШПРОЕКТ""";https://monitor-pb.ru/conclusion/51-%D0%A2%D0%A3-02763-2017
4633001577;"АО ""МИХАЙЛОВСКИЙ ГОК ИМ. А.В. ВАРИЧЕВА""";на техническое устройство: воздуходувка ТВ-175(ЦО-1) инв.№4234478, рег.№42.применяемый на опасном производственном объекте III класса опасности «дробильно-обогатительный комплекс» рег. №А07-00722-0010 АО «МИХАЙЛОВСКИЙ ГОК им. А.В.ВАРИЧЕВА», расположенный по адресу: Россия, Курская обл., г.Железногорск, ул. Ленина, 21;30.08.2036;Действует;12.12.2022;соответствует;"ООО ""ДАР-СПЕЦ""";https://monitor-pb.ru/conclusion/07-%D0%A2%D0%A3-19055-2022
6453010110;"ООО ""ГАЗПРОМ ТРАНСГАЗ САРАТОВ""";технического устройства, применяемого на опасном производственном объекте-Центробежный нагнетатель природного газа типа Н-370-14-1, станционный № 20, заводской № 3112, инвентарный № 139128, опасный производственный объект (ОПО): площадка компрессорных станций ЭКЦ-I, ЭКЦ-II, ТКЦ Петровского  ЛПУМГ, регистрационный номер ОПО: А51-01028-0069, класс опасности ОПО: 2 класс, место установки: КЦ-2 КС «Петровск» Петровское ЛПУМГ,;16.08.2036;Действует;27.02.2017;соответствует;"ООО ""ГАЗМАШПРОЕКТ""";https://monitor-pb.ru/conclusion/51-%D0%A2%D0%A3-02569-2017
6453010110;"ООО ""ГАЗПРОМ ТРАНСГАЗ САРАТОВ""";технического устройства, применяемого на опасном производственном объекте: Центробежный нагнетатель природного газа типа Н-196-1,45 (ГПА-Ц-6,3-56), станционный № 9, заводской № 17, инвентарный № 139260, опасный производственный объект (ОПО): площадка компрессорных станций Сторожевского ЛПУМГ, регистрационный номер ОПО: А51-01028-0111, класс опасности ОПО: 2 класс, место установки: КЦ-3 КС «Сторожевка» Сторожевское ЛПУМГ.;03.06.2036;Действует;02.03.2017;соответствует;"ООО ""ГАЗМАШПРОЕКТ""";https://monitor-pb.ru/conclusion/51-%D0%A2%D0%A3-02759-2017
5501041254;"АО ""ГАЗПРОМНЕФТЬ-ОНПЗ""";"Заключение № 2021-12-0468 экспертизы промышленной безопасности на техническое устройство – центробежный компрессор (нагнетатель) Н900-31-4М, зав. № 99.201.1, тех. № ЦК-201/1 применяемый на опасном производственном объекте – площадке комбинированной установки глубокой переработки мазута КТ-1/1 Производства №2
АО «Газпромнефть-Омский НПЗ».";03.10.2035;Действует;29.12.2021;соответствует;"ООО ""Центр технической безопасности и диагностики ""Полисервис""";https://monitor-pb.ru/conclusion/61-%D0%A2%D0%A3-34436-2021
5920014645;"АО ""УРАЛОРГСИНТЕЗ""";Турбокомпрессор «Виола», тех. поз. М-103/2, зав. №2805042 цеха №2 отделения ИФ-3, эксплуатируемый на опасном производственном объекте «Площадка производства непредельных, ароматических углеводородов и эфиров», рег. №А48-10040-0025, АО «Уралоргсинтез» г. Чайковский;31.12.2034;Действует;15.07.2024;соответствует;"ООО ""КОРПОРАЦИЯ АЛЬТОН""";https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-43261-2024
1102024468;"ООО ""ГАЗПРОМ ТРАНСГАЗ УХТА""";«Газоперекачивающий агрегат ГТ-750-6 с центробежным нагнетателем 370-17-1», зав. № 429, ст. № 13, инв. № 126405, применяемые на ОПО: Площадка компрессорной станции Приводинского ЛПУМГ, рег. № А25-00261-0630;25.11.2034;Действует;05.02.2025;соответствует;"ООО ""ДЕЛЬТА-ПРОЕКТ""";https://monitor-pb.ru/conclusion/27-%D0%A2%D0%A3-02421-2025
5260080007;"ООО ""ГАЗПРОМ ТРАНСГАЗ НИЖНИЙ НОВГОРОД""";технического устройства, применяемое на опасном производственном объекте № 1515-ЗЭ-ЦБН-2024: Нагнетатель центробежный типа Н-235-21-1 зав. № 8286, ст.№ 77, в составе Oборуд.к/ц KC-22 Помары м/г Ямбург-Eлец-2 агр.ЭГПA-12 .5 7/8286, инв. № 000202005;25.11.2034;Действует;10.02.2025;соответствует;"ООО ""НИИПГАЗА""";https://monitor-pb.ru/conclusion/40-%D0%A2%D0%A3-00836-2025
0276053659;"ООО ""ГАЗПРОМ ТРАНСГАЗ УФА""";Нагнетатель центробежный типа Н-370-18-1 зав. № 6945, ротор зав. № 2236, ст. № 26, инв. №080842;07.11.2034;Действует;18.02.2025;соответствует;"ООО ""НИИПГАЗА""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-11114-2025
3445042160;"ООО ""ГАЗПРОМ ТРАНСГАЗ ВОЛГОГРАД""";Нагнетатель центробежный типа Н-196 зав. № 233, ст. № 26, инв. № 205419;07.11.2034;Действует;11.02.2025;соответствует;"ООО ""НИИПГАЗА""";https://monitor-pb.ru/conclusion/39-%D0%A2%D0%A3-01759-2025
0276053659;"ООО ""ГАЗПРОМ ТРАНСГАЗ УФА""";Нагнетатель центробежный типа Н-370-18-1 зав. № 6259, сменная проточная часть нагнетателя СПЧ 370 1.4/76-16/5300 зав. № 0376, ГПА ст. № 13, инв. № 341987;01.11.2034;Действует;18.02.2025;соответствует;"ООО ""НИИПГАЗА""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-11075-2025
0276053659;"ООО ""ГАЗПРОМ ТРАНСГАЗ УФА""";Нагнетатель центробежный типа Н-370-18-1 зав. № 7085, ротор зав. № 29-14, ст. № 35,инв. № 080938;28.10.2034;Действует;24.12.2024;соответствует;"ООО ""НИИПГАЗА""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-88551-2024
5920000593;"ООО ""ГАЗПРОМ ТРАНСГАЗ ЧАЙКОВСКИЙ""";Нагнетатель центробежный типа Н-235-23-1 зав. №8780, ст. №48, инв. №142787.;23.10.2034;Действует;20.01.2025;соответствует;"ООО ""НИИПГАЗА""";https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-02783-2025
0276053659;"ООО ""ГАЗПРОМ ТРАНСГАЗ УФА""";Нагнетатель центробежный типа Н-370-18-1 ст. №12, зав. № 6301, сменная проточная часть нагнетателя зав. № 0385, инв. № 352415;15.10.2034;Действует;18.02.2025;соответствует;"ООО ""НИИПГАЗА""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-11115-2025
5920000593;"ООО ""ГАЗПРОМ ТРАНСГАЗ ЧАЙКОВСКИЙ""";Экспертиза промышленной безопасности на техническое устройство, применяемое на опасном производственном объекте: Нагнетатель центробежный типа НЦ-16/76 зав. № 244, ст. № 55, инв. № 143002;10.10.2034;Действует;02.04.2025;соответствует;"ООО ""НИИПГАЗА""";https://monitor-pb.ru/conclusion/46-%D0%A2%D0%A3-17097-2025
5920000593;"ООО ""ГАЗПРОМ ТРАНСГАЗ ЧАЙКОВСКИЙ""";Заключение экспертизы промышленной безопасности на техническое устройство, применяемое на опасном производственном объекте: нагнетатель центробежный типа НЦ-16/76 зав. № 172, ст. № 61, инв. № 143167.;09.10.2034;Действует;17.01.2025;соответствует;"ООО ""НИИПГАЗА""";https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-02305-2025
6608007434;"ООО ""ГАЗПРОМ ТРАНСГАЗ ЕКАТЕРИНБУРГ""";Корпус центробежного нагнетателя типа RF2BB/30, зав. № MO-1073RC, ГПА ст. № 4, инв. №140855;02.10.2034;Действует;24.12.2024;соответствует;"ООО ""НИИПГАЗА""";https://monitor-pb.ru/conclusion/54-%D0%A2%D0%A3-27964-2024
3445042160;"ООО ""ГАЗПРОМ ТРАНСГАЗ ВОЛГОГРАД""";техническое устройство: Нагнетатель центробежный типа Н-196 зав. № 210, ст. № 21, инв. № 205414, ОПО: площадка компрессорной станции Калачеевского ЛПУМГ, рег. №А39-00052-0277, II класс опасности;18.09.2034;Действует;27.05.2025;соответствует;"ООО ""НИИПГАЗА""";https://monitor-pb.ru/conclusion/39-%D0%A2%D0%A3-05535-2025
0276053659;"ООО ""ГАЗПРОМ ТРАНСГАЗ УФА""";"Нагнетатель центробежный типа Н-370-18-1 ст. No11,
зав. № 6445, сменная проточная часть нагнетателя зав. № 0140, инв. № 003133";31.07.2034;Действует;11.11.2024;соответствует;"ООО ""НИИПГАЗА""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-73054-2024
6608007434;"ООО ""ГАЗПРОМ ТРАНСГАЗ ЕКАТЕРИНБУРГ""";Корпус центробежного нагнетателя ГПА ст. № 4, тип Н-196 зав. № 76М, инв. № 140902;26.07.2034;Действует;27.12.2024;соответствует;"ООО ""ГЦЭ - СЕВЕР""";https://monitor-pb.ru/conclusion/54-%D0%A2%D0%A3-28309-2024
6608007434;"ООО ""ГАЗПРОМ ТРАНСГАЗ ЕКАТЕРИНБУРГ""";Корпус центробежного нагнетателя ГПА ст. № 9, тип Н-280-11-6, зав. № 115, инв. № 140884;26.07.2034;Действует;16.12.2024;соответствует;"ООО ""ГЦЭ - СЕВЕР""";https://monitor-pb.ru/conclusion/54-%D0%A2%D0%A3-27103-2024
0276053659;"ООО ""ГАЗПРОМ ТРАНСГАЗ УФА""";Нагнетатель центробежный типа Н-235-21-1 ст. №36, зав. №7224, с ротором нагнетателя зав. №7046, инв. №081065 КС-19А «Шаран»;12.07.2034;Действует;11.11.2024;соответствует;"ООО ""НИИПГАЗА""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-72736-2024
5920000593;"ООО ""ГАЗПРОМ ТРАНСГАЗ ЧАЙКОВСКИЙ""";Нагнетатель центробежный типа Н 650-22-2 зав. №8623, ст. №32, инв. №142765.;12.07.2034;Действует;20.01.2025;соответствует;"ООО ""НИИПГАЗА""";https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-02782-2025
0276053659;"ООО ""ГАЗПРОМ ТРАНСГАЗ УФА""";Нагнетатель центробежный типа Н-370-18-1 ст. №12, зав. № 6302, сменная проточная часть нагнетателя зав. № 0375, инв. № 341994;05.07.2034;Действует;20.01.2025;соответствует;"ООО ""НИИПГАЗА""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-02807-2025
6608007434;"ООО ""ГАЗПРОМ ТРАНСГАЗ ЕКАТЕРИНБУРГ""";Корпус центробежного нагнетателя ГПА ст. № 11, тип Н-280-12-7, зав. № 348, инв. № 140791Корпус центробежного нагнетателя ГПА ст. № 12, тип Н-280-12-7, зав. № 550, инв. № 140791;20.06.2034;Действует;23.12.2024;соответствует;"ООО ""ГЦЭ - СЕВЕР""";https://monitor-pb.ru/conclusion/54-%D0%A2%D0%A3-27903-2024
6608007434;"ООО ""ГАЗПРОМ ТРАНСГАЗ ЕКАТЕРИНБУРГ""";Корпус центробежного нагнетателя ГПА ст. № 10, тип Н-280-12-7, зав. № 92, инв. № 140851;19.06.2034;Действует;18.12.2024;соответствует;"ООО ""ГЦЭ - СЕВЕР""";https://monitor-pb.ru/conclusion/54-%D0%A2%D0%A3-27472-2024
6608007434;"ООО ""ГАЗПРОМ ТРАНСГАЗ ЕКАТЕРИНБУРГ""";Корпус центробежного нагнетателя ГПА ст. № 8, тип Н-280-12-7, зав. № 89, инв. № 140849;14.06.2034;Действует;18.12.2024;соответствует;"ООО ""ГЦЭ - СЕВЕР""";https://monitor-pb.ru/conclusion/54-%D0%A2%D0%A3-27471-2024
6608007434;"ООО ""ГАЗПРОМ ТРАНСГАЗ ЕКАТЕРИНБУРГ""";Корпус центробежного нагнетателя ГПА ст. № 7, тип Н-280-12-7, зав. № 90, инв. № 140842;14.06.2034;Действует;18.12.2024;соответствует;"ООО ""ГЦЭ - СЕВЕР""";https://monitor-pb.ru/conclusion/54-%D0%A2%D0%A3-27473-2024
6608007434;"ООО ""ГАЗПРОМ ТРАНСГАЗ ЕКАТЕРИНБУРГ""";Корпус центробежного нагнетателя ГПА ст. № 9, тип Н-280-12-7, зав. № 91, инв. № 140850;13.06.2034;Действует;18.12.2024;соответствует;"ООО ""ГЦЭ - СЕВЕР""";https://monitor-pb.ru/conclusion/54-%D0%A2%D0%A3-27469-2024
6608007434;"ООО ""ГАЗПРОМ ТРАНСГАЗ ЕКАТЕРИНБУРГ""";Корпус центробежного нагнетателя ГПА ст. № 6, тип Н-280-12-7, зав. № 88, инв. № 140848;13.06.2034;Действует;18.12.2024;соответствует;"ООО ""ГЦЭ - СЕВЕР""";https://monitor-pb.ru/conclusion/54-%D0%A2%D0%A3-27470-2024
5920000593;"ООО ""ГАЗПРОМ ТРАНСГАЗ ЧАЙКОВСКИЙ""";Нагнетатель центробежный типа Н 650-22-2 зав. №0013, ст. №23, инв. №142758;07.06.2034;Действует;18.10.2024;соответствует;"ООО ""НИИПГАЗА""";https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-66687-2024
0276053659;"ООО ""ГАЗПРОМ ТРАНСГАЗ УФА""";Нагнетатель центробежный типа Н-370-18-1, зав. № 6442, сменная проточная часть нагнетателя зав.№ 0154инв. №003134;06.06.2034;Действует;16.09.2024;соответствует;"ООО ""НИИПГАЗА""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-57965-2024
