"url";"отрасль (раздел)";"сфера";"производитель";"оборудование";"заказчик";"город";"дата";"название (h1)"
"https://prokompressor.ru/projects/avtoservis/berg-borisov/";"avtoservis";"Автосервис";"Berg";"винтовой компрессор ""Berg"" ВК-15/15Р";"ИП Борисов";"";"март 2022 г.";"Винтовой компрессор ""Berg"" ВК-15/15Р для ИП Борисов"
"https://prokompressor.ru/projects/avtoservis/berg-lavrenov/";"avtoservis";"Автосервис";"Berg";"винтовой компрессор ""Berg"" ВК-15/16Р";"ИП Лавренов";"Лесосибирск";"июнь 2022 г.";"Винтовой компрессор ""Berg"" ВК-15/16Р для ИП Лавренов"
"https://prokompressor.ru/projects/avtoservis/berg-spetstehstroy/";"avtoservis";"Автосервис";"Berg";"винтовой компрессор ""Berg"" ВК-15Р 8";"ООО ""Спецтехстрой""";"Барнаул";"декабрь 2022 г.";"Винтовой компрессор ""Berg"" ВК-15Р 8 для ООО ""Спецтехстрой"""
"https://prokompressor.ru/projects/avtoservis/berg-am-service/";"avtoservis";"Автосервис";"Berg";"винтовой компрессор ""Berg"" ВК-15Р";"ООО ""Ам-Сервис";"Барнаул";"июнь 2022 г.";"Винтовой компрессор ""Berg"" ВК-15Р для ООО ""Ам-Сервис"
"https://prokompressor.ru/projects/avtoservis/berg-kemstarplus/";"avtoservis";"Автосервис";"Berg";"винтовой компрессор ""Berg"" ВК-18.5/8 Р";"ООО ""Кемстарплюс""";"Кемерово";"ноябрь 2020 г.";"Винтовой компрессор ""Berg"" ВК-18.5/8 Р для ООО ""Кемстарплюс"""
"https://prokompressor.ru/projects/avtoservis/berg-malinina/";"avtoservis";"Автосервис";"Berg";"винтовой компрессор ""Berg"" ВК-22/10";"ИП Малинина";"Владимир";"август 2021 г.";"Винтовой компрессор ""Berg"" ВК-22/10"
"https://prokompressor.ru/projects/avtoservis/berg-kurbanov-m-f/";"avtoservis";"Автосервис";"Berg";"винтовой компрессор ""Berg"" ВК-22Р";"ИП Курбанов М.Ф.";"Радужный";"апрель 2022 г.";"Винтовой компрессор ""Berg"" ВК-22Р для ИП Курбанов М.Ф."
"https://prokompressor.ru/projects/avtoservis/berg-skan-oil/";"avtoservis";"Автосервис";"Berg";"винтовой компрессор ""Berg"" ВК-30";"ООО ""Скан-Оил""";"Санкт-Петербург";"январь 2022 г.";"Винтовой компрессор ""Berg"" ВК-30 для ООО ""Скан-Оил"""
"https://prokompressor.ru/projects/avtoservis/berg-evocargo/";"avtoservis";"Автосервис";"Berg";"винтовой компрессор ""Berg"" ВК-4PВ-250/8";"ООО ""Эвокарго""";"";"апрель 2021 г.";"Винтовой компрессор ""Berg"" ВК-4PВ-250/8"
"https://prokompressor.ru/projects/avtoservis/berg-raevo/";"avtoservis";"Автосервис";"Berg";"винтовой компрессор ""Berg"" ВК-4Р 10";"ООО ""РАЕВО ГОЛЬФ""";"Московская область";"май 2022 г.";"Винтовой компрессор ""Berg"" ВК-4Р 10 для ООО ""РАЕВО ГОЛЬФ"""
"https://prokompressor.ru/projects/avtoservis/berg-uldashev/";"avtoservis";"Автосервис";"Berg";"винтовой компрессор ""Berg"" ВК-5.5Р/10";"ИП Юлдашев";"";"июль 2022 г.";"Винтовой компрессор ""Berg"" ВК-5.5Р/10 для ИП Юлдашев"
"https://prokompressor.ru/projects/avtoservis/berg-galeev/";"avtoservis";"Автосервис";"Berg";"винтовой компрессор ""Berg"" ВК-7.5";"ИП Галеев";"Благовещенск";"август 2022 г.";"Винтовой компрессор ""Berg"" ВК-7.5 для ИП Галеев"
"https://prokompressor.ru/projects/avtoservis/berg-prutovih/";"avtoservis";"Автосервис";"Berg";"винтовой компрессор ""Berg"" ВК-7.5/10";"ИП Прутовых";"Москва";"сентябрь 2021 г.";"Винтовой компрессор ""Berg"" ВК-7.5/10 для ИП Прутовых"
"https://prokompressor.ru/projects/avtoservis/berg-kuzina/";"avtoservis";"Автосервис";"Berg";"винтовой компрессор ""Berg"" ВК-7.5/10 Е";"ИП Кузина";"Дубна";"декабрь 2021 г.";"Винтовой компрессор ""Berg"" ВК-7.5/10 Е для ИП Кузина"
"https://prokompressor.ru/projects/avtoservis/berg-stroy-komplect/";"avtoservis";"Автосервис";"Berg";"винтовой компрессор ""Berg"" ВК-7.5/10 Р";"ООО ТД ""СтройКомплект""";"";"декабрь 2020 г.";"Винтовой компрессор ""Berg"" ВК-7.5/10 Р для ООО ТД ""СтройКомплект"""
"https://prokompressor.ru/projects/avtoservis/berg-vaskonyan/";"avtoservis";"Автосервис";"Berg";"винтовой компрессор ""Berg"" ВК-7.5/10 РЕ";"ИП Восканян";"Москва";"декабрь 2021 г.";"Винтовой компрессор ""Berg"" ВК-7.5/10 РЕ для ИП Восканян"
"https://prokompressor.ru/projects/avtoservis/berg-snab/";"avtoservis";"Автосервис";"Berg";"винтовой компрессор ""Berg"" ВК-7.5/8";"ООО ""АвтоСнаб""";"Самара";"август 2020 г.";"Винтовой компрессор ""Berg"" ВК-7.5/8 для ООО ""АвтоСнаб"""
"https://prokompressor.ru/projects/avtoservis/berg-razyeva/";"avtoservis";"Автосервис";"Berg";"винтовой компрессор ""Berg"" ВК-7.5/8 Р";"ИП Разуева";"Смоленск";"сентябрь 2021 г.";"Винтовой компрессор ""Berg"" ВК-7.5/8 Р для ИП Разуева"
"https://prokompressor.ru/projects/avtoservis/berg-gelios/";"avtoservis";"Автосервис";"Berg";"винтовой компрессор ""Berg"" ВК-7.5/8 Р";"ООО ""Гелиос""";"Самара";"ноябрь 2021 г.";"Винтовой компрессор ""Berg"" ВК-7.5/8 Р для ООО ""Гелиос"""
"https://prokompressor.ru/projects/avtoservis/berg-kovaleva/";"avtoservis";"Автосервис";"Berg";"винтовой компрессор ""Berg"" ВК-7.5/8Р";"ИП Ковалева";"";"декабрь 2022 г.";"Винтовой компрессор ""Berg"" ВК-7.5/8Р для ИП Ковалева"
"https://prokompressor.ru/projects/avtoservis/ttm-centr-berg/";"avtoservis";"Автосервис";"Berg";"винтовой компрессор ""Berg"" ВК-7.5/8Р";"ООО ""ТТМ-Центр""";"";"май 2022 г.";"Винтовой компрессор ""Berg"" ВК-7.5/8Р для ООО ""ТТМ-Центр"""
"https://prokompressor.ru/projects/avtoservis/berg-akvamarin/";"avtoservis";"Автосервис";"Berg";"винтовой компрессор ""BERG"" ВК-7.5Р 10";"ООО ""Аквамарин""";"Москва";"ноябрь 2024 г.";"Винтовой компрессор ""BERG"" ВК-7.5Р 10 для ООО ""Аквамарин"""
"https://prokompressor.ru/projects/avtoservis/berg-murman/";"avtoservis";"Автосервис";"Berg";"винтовой компрессор ""Berg"" ВК-7.5Р";"ООО ""Мурман Суфуд""";"Мурманск";"июнь 2022 г.";"Винтовой компрессор ""Berg"" ВК-7.5Р для ООО ""Мурман Суфуд"""
"https://prokompressor.ru/projects/avtoservis/berg-kuzovnoi-remont/";"avtoservis";"Автосервис";"Berg";"винтовой компрессор ""Berg"" ВК-7.5/10 Р";"";"";"декабрь 2021 г.";"Винтовые компрессоры ""Berg"" ВК-7.5/10 Р"
"https://prokompressor.ru/projects/avtoservis/berg-avtoservis-kemerovo/";"avtoservis";"Автосервис";"Berg";"винтовой компрессор ""Berg"" ВК-7.5/8 Р";"";"Кемерово";"март 2022 г.";"Винтовые компрессоры ""Berg"" ВК-7.5/8 Р"
"https://prokompressor.ru/projects/avtoservis/berg-alfa-s/";"avtoservis";"Автосервис";"Berg";"винтовые компрессоры ""Berg"" ВК-7.5РО-500";"ООО ""Альфа-С""";"";"февраль 2022 г.";"Винтовые компрессоры ""Berg"" ВК-7.5РО-500 для ООО ""Альфа-С"""
"https://prokompressor.ru/projects/avtoservis/comaro-morozov/";"avtoservis";"Автосервис";"Comaro";"винтовой компрессор ""Comaro"" LB 11-10/500";"ИП Морозов";"Москва";"август 2022 г.";"Винтовой компрессор ""Comaro"" LB 11-10/500 для ИП Морозов"
"https://prokompressor.ru/projects/avtoservis/comaro-dizeltrans/";"avtoservis";"Автосервис";"Comaro";"винтовой компрессор ""Comaro"" SB 37-10";"ООО ""Дизельтранс""";"Смоленск";"октябрь 2020 г.";"Винтовой компрессор ""Comaro"" SB 37-10"
"https://prokompressor.ru/projects/avtoservis/krona-comaro/";"avtoservis";"Автосервис";"Comaro";"вертикальный ресивер ""Remeza"" РВ 500.11.00";"ООО ""Крона""";"";"сентябрь 2020 г.";"Винтовой компрессор ""Comaro"" SB 7,5-10 и вертикальный ресивер ""Remeza"" РВ 500.11.00"
"https://prokompressor.ru/projects/avtoservis/comaro-vorobev/";"avtoservis";"Автосервис";"Comaro";"винтовой компрессор ""Comaro"" SB L 11-8";"ИП Воробьев";"Санкт-Петербург";"август 2021 г.";"Винтовой компрессор ""Comaro"" SB L 11-8 для ИП Воробьев"
"https://prokompressor.ru/projects/avtoservis/comaro-tts/";"avtoservis";"Автосервис";"Comaro";"винтовой компрессор ""COMARO"" XB 15-08";"ООО ""ТТС""";"Усолье-Сибирское";"август 2021 г.";"Винтовой компрессор ""COMARO"" XB 15-08"
"https://prokompressor.ru/projects/avtoservis/comaro-poddubniy/";"avtoservis";"Автосервис";"Comaro";"винтовой компрессор ""COMARO"" XB 22-08";"ИП Поддубный";"Южно-Сахалинск";"октябрь 2021 г.";"Винтовой компрессор ""COMARO"" XB 22-08 для ИП Поддубный"
"https://prokompressor.ru/projects/avtoservis/lr-prime-comaro/";"avtoservis";"Автосервис";"Comaro";"винтовой компрессор ""COMARO"" XB 7,5-8";"ООО ""ЛР-Прайм""";"Москва";"апрель 2021 г.";"Винтовой компрессор ""COMARO"" XB 7,5-8 для ООО ""ЛР-Прайм"""
"https://prokompressor.ru/projects/avtoservis/comprag-trakzapchast/";"avtoservis";"Автосервис";"Comprag";"винтовой компрессор ""Comprag"" АR 1510-500/10";"ООО ""ТракЗапчасть""";"Сургут";"август 2020 г.";"Винтовой компрессор ""Comprag"" АR 1510-500/10"
"https://prokompressor.ru/projects/avtoservis/avtooil-cross-air/";"avtoservis";"Автосервис";"Cross Air";"винтовой компрессор ""Cross Air"" CA-5.5/10-RA";"ООО ""Автоойл""";"";"сентябрь 2021 г.";"Винтовой компрессор ""Cross Air"" CA-5.5/10-RA"
"https://prokompressor.ru/projects/avtoservis/crossair-avtoplaza/";"avtoservis";"Автосервис";"Cross Air";"винтовой компрессор ""Cross Air"" CA-5.5/8-RA";"Автоплаза";"";"ноябрь 2020 г.";"Винтовой компрессор ""Cross Air"" CA-5.5/8-RA для Автоплаза"
"https://prokompressor.ru/projects/avtoservis/cross-air-svinarev/";"avtoservis";"Автосервис";"Cross Air";"винтовой компрессор ""Cross Air"" CA-5.5/8-RA";"ИП Свинарев";"";"август 2021 г.";"Винтовой компрессор ""Cross Air"" CA-5.5/8-RA для ИП Свинарев"
"https://prokompressor.ru/projects/avtoservis/cross-air-fedotov/";"avtoservis";"Автосервис";"Cross Air";"винтовой компрессор ""Cross Air"" CA-5.5/8-RA";"ИП Федотов";"Няндома";"октябрь 2021 г.";"Винтовой компрессор ""Cross Air"" CA-5.5/8-RA для ИП Федотов"
"https://prokompressor.ru/projects/avtoservis/cross-air-motomarket/";"avtoservis";"Автосервис";"Cross Air";"винтовой компрессор ""Cross Air"" CA-5.5/8-RA";"ООО ""Мотомаркет""";"";"август 2020 г.";"Винтовой компрессор ""Cross Air"" CA-5.5/8-RA для ООО ""Мотомаркет"""
"https://prokompressor.ru/projects/avtoservis/crossair-lukyanov/";"avtoservis";"Автосервис";"Cross Air";"винтовой компрессор ""Cross Air"" CA-7,5/8-RA";"ИП Лукьянов";"";"март 2021 г.";"Винтовой компрессор ""Cross Air"" CA-7,5/8-R."
"https://prokompressor.ru/projects/avtoservis/cross-air-alt-krai/";"avtoservis";"Автосервис";"Cross Air";"винтовой компрессор ""Cross Air"" CA-7,5/8-RA";"";"";"май 2021 г.";"Винтовой компрессор ""Cross Air"" CA-7,5/8-RA"
"https://prokompressor.ru/projects/avtoservis/cross-air/";"avtoservis";"Автосервис";"Cross Air";"винтовой компрессор ""Cross Air"" CA-7,5/8-RA";"ИП Шишков";"Ульяновск";"октябрь 2021 г.";"Винтовой компрессор ""Cross Air"" CA-7,5/8-RA для ИП Шишков"
"https://prokompressor.ru/projects/avtoservis/cross-air-duvalova/";"avtoservis";"Автосервис";"Cross Air";"винтовой компрессор ""Cross Air"" CA11-8GA";"ИП Дувалова";"Москва";"февраль 2025 г.";"Винтовой компрессор ""Cross Air"" CA11-8GA для ИП Дувалова"
"https://prokompressor.ru/projects/avtoservis/cross-air-markus-terra/";"avtoservis";"Автосервис";"Cross Air";"винтовой компрессор ""Cross Air"" CA7,5-8RA";"ООО ""Маркус Терра""";"Кемерово";"май 2022 г.";"Винтовой компрессор ""Cross Air"" CA7,5-8RA для ООО ""Маркус Терра"""
"https://prokompressor.ru/projects/avtoservis/ekomak-3tehnoliniya/";"avtoservis";"Автосервис";"Ekomak";"винтовой компрессор ""Ekomak"" DMD 100 CR/10";"ООО ""Технолиния""";"";"ноябрь 2020 г.";"Винтовой компрессор ""Ekomak"" DMD 100 CR/10"
"https://prokompressor.ru/projects/avtoservis/ekomak-leskina/";"avtoservis";"Автосервис";"Ekomak";"винтовой компрессор ""Ekomak"" DMD 200 CRD 8";"ИП Лескина О.Н.";"Выкса";"апрель 2021 г.";"Винтовой компрессор ""Ekomak"" DMD 200 CRD 8"
"https://prokompressor.ru/projects/avtoservis/vintovoy-kompressor-enger-hc-15bt-10-dlya-ooo-est-treyd/";"avtoservis";"Автосервис";"Enger";"";"ООО ""ЕТС Трейд""";"Нижневартовск";"июль 2025 г.";"Винтовой компрессор Enger HC-15BT 10 для ООО ""ЕСТ Трейд"""
"https://prokompressor.ru/projects/avtoservis/vintovoy-kompressor-enger-hc-11bt-10-dlya-ooo-sibdortrans/";"avtoservis";"Автосервис";"Enger";"Винтовой компрессор Enger HC-11BT 10";"ООО ""Сибдортранс""";"Барнаул";"август 2025 г.";"Винтовой компрессор Enger HC-11BT 10 для ООО ""Сибдортранс"""
"https://prokompressor.ru/projects/avtoservis/vintovoy-kompressor-enger-hc-15bt-10-dlya-ooo-est-treyd/";"avtoservis";"Автосервис";"Enger";"";"ООО ""ЕТС Трейд""";"Нижневартовск";"июль 2025 г.";"Винтовой компрессор Enger HC-15BT 10 для ООО ""ЕСТ Трейд"""
"https://prokompressor.ru/projects/avtoservis/vintovoy-kompressor-enger-hc-7-5bf-8-dlya-ooo-nds/";"avtoservis";"Автосервис";"Enger";"Винтовой компрессор Enger HC-7,5BF 8";"ООО ""НДС""";"Екатеринбург";"ноябрь 2025 г.";"Винтовой компрессор Enger HC-7,5BF 8 для ООО ""НДС"""
"https://prokompressor.ru/projects/avtoservis/skb-fini/";"avtoservis";"Автосервис";"Fini";"винтовой компрессор ""FINI"" PLUS 8-10-270 ES";"ООО ""СКБ""";"Красноярск";"февраль 2022 г.";"Винтовой компрессор ""FINI"" PLUS 8-10-270 ES для ООО ""СКБ"""
"https://prokompressor.ru/projects/avtoservis/avtoprofi-hansmann/";"avtoservis";"Автосервис";"Hansmann";"винтовой компрессор ""Hansmann"" RS7.5A";"ООО ""Автопрофи""";"";"октябрь 2024 г.";"Винтовой компрессор ""Hansmann"" RS7.5A для ООО ""Автопрофи"""
"https://prokompressor.ru/projects/avtoservis/berg-avtoservis-kulakov/";"avtoservis";"Автосервис";"Hansmann";"Винтовой компрессор Hansmann RS7.5A-8";"";"Барнаул";"август 2022 г.";"Винтовой компрессор Hansmann RS7.5A-8"
"https://prokompressor.ru/projects/avtoservis/ironmac-avtopark/";"avtoservis";"Автосервис";"Ironmac";"винтовой компрессор ""Ironmac"" IC10 AM/8";"ООО ""Автопарк""";"Иркутск";"март 2021 г.";"Винтовой компрессор ""Ironmac"" IC10 AM/8"
"https://prokompressor.ru/projects/avtoservis/ironmac-rusakov/";"avtoservis";"Автосервис";"Ironmac";"винтовой компрессор ""Ironmac"" IC10 AM/8";"ИП Русаков";"";"март 2021 г.";"Винтовой компрессор ""Ironmac"" IC10 AM/8"
"https://prokompressor.ru/projects/avtoservis/remeza-master/";"avtoservis";"Автосервис";"Remeza";"винтовой компрессор ""Ремеза"" ВК 10Е-10";"ООО ""Мастер""";"Бийск";"август 2021 г.";"Винтовой компрессор ""Ремеза"" ВК 10Е-10 для нужд СТО"
"https://prokompressor.ru/projects/avtoservis/sakura-remeza/";"avtoservis";"Автосервис";"Remeza";"винтовой компрессор ""Ремеза"" ВК30-10";"ООО ""Сакура-Ойл""";"Красноярск";"январь 2022 г.";"Винтовой компрессор ""Ремеза"" ВК30-10 для ООО ""Сакура-Ойл"""
"https://prokompressor.ru/projects/avtoservis/avtoservise-xeleron/";"avtoservis";"Автосервис";"Xeleron";"винтовой компрессор ""Xeleron"" Dry T500 Z10A10 (IP54)";"";"";"октябрь 2021 г.";"Винтовой компрессор ""Xeleron"" Dry T500 Z10A10 (IP54) для автосервиса"
"https://prokompressor.ru/projects/avtoservis/neokomnk-xeleron/";"avtoservis";"Автосервис";"Xeleron";"винтовой компрессор ""Xeleron"" Z15A/10";"ООО ""Неокомнк-Сервис""";"Новокузнецк";"январь 2022 г.";"Винтовой компрессор ""Xeleron"" Z15A/10 для ООО ""Неокомнк-Сервис"""
"https://prokompressor.ru/projects/avtoservis/xeleron-vityaz/";"avtoservis";"Автосервис";"Xeleron";"винтовые компрессоры Xeleron Z10A/10 (IP54) и Xeleron Z30A/10";"КХ ""Витязь""";"";"ноябрь 2021 г.";"Винтовые компрессоры Xeleron Z10A/10 (IP54) и Xeleron Z30A/10 для КХ ""Витязь"""
"https://prokompressor.ru/projects/derevoobrabotka/psl-berg/";"derevoobrabotka";"Деревообработка";"Berg";"винтовой компрессор ""Berg"" ВК-15/8 Р";"ООО ""ПЕЧОРА СЕВЕР ЛЕС""";"Печора";"март 2022 г.";"Винтовой компрессор ""Berg"" ВК-15/8 Р для ООО ""ПЕЧОРА СЕВЕР ЛЕС"""
"https://prokompressor.ru/projects/derevoobrabotka/berg-trans-sheksna/";"derevoobrabotka";"Деревообработка";"Berg";"винтовой компрессор ""Berg"" ВК-15Р";"ООО ""Транс-Шексна""";"Череповец";"январь 2022 г.";"Винтовой компрессор ""Berg"" ВК-15Р для ООО ""Транс-Шексна"""
"https://prokompressor.ru/projects/derevoobrabotka/berg-5plus/";"derevoobrabotka";"Деревообработка";"Berg";"винтовой компрессор ""Berg"" ВК-15Р/10";"ООО ""Пять Плюс""";"Тверь";"апрель 2022 г.";"Винтовой компрессор ""Berg"" ВК-15Р/10 для ООО ""Пять Плюс"""
"https://prokompressor.ru/projects/derevoobrabotka/berg-stimul/";"derevoobrabotka";"Деревообработка";"Berg";"винтовой компрессор ""Berg"" ВК-22P";"ООО ""Стимул""";"Новосибирск";"июнь 2022 г.";"Винтовой компрессор ""Berg"" ВК-22P для ООО ""Стимул"""
"https://prokompressor.ru/projects/derevoobrabotka/berg-rassmagina/";"derevoobrabotka";"Деревообработка";"Berg";"винтовой компрессор ""Berg"" ВК-22РО-500";"ИП Рассмагина";"";"июль 2022 г.";"Винтовой компрессор ""Berg"" ВК-22РО-500 для ИП Рассмагина"
"https://prokompressor.ru/projects/derevoobrabotka/berg-manufaktura/";"derevoobrabotka";"Деревообработка";"Berg";"винтовой компрессор ""Berg"" ВК-30";"ООО ""Правдинская мануфактура""";"Москва";"апрель 2022 г.";"Винтовой компрессор ""Berg"" ВК-30 для ООО ""Правдинская мануфактура"""
"https://prokompressor.ru/projects/derevoobrabotka/berg-czl/";"derevoobrabotka";"Деревообработка";"Berg";"винтовой компрессор ""Berg"" ВК-37/8 Р";"ООО ""Центр Защиты Леса""";"Выборг";"ноябрь 2020 г.";"Винтовой компрессор ""Berg"" ВК-37/8 Р для ООО ""Центр Защиты Леса"""
"https://prokompressor.ru/projects/derevoobrabotka/zarechniy-berg/";"derevoobrabotka";"Деревообработка";"Berg";"винтовой компрессор ""Berg"" ВК-5.5/8 Р";"ИП Заречный";"Иркутская область";"ноябрь 2021 г.";"Винтовой компрессор ""Berg"" ВК-5.5/8 Р для ИП Заречный"
"https://prokompressor.ru/projects/derevoobrabotka/nlc-berg/";"derevoobrabotka";"Деревообработка";"Berg";"винтовой компрессор ""Berg"" ВК-7.5 Е";"ООО ""Нагорская Лесная Компания""";"";"декабрь 2021 г.";"Винтовой компрессор ""Berg"" ВК-7.5 Е для ООО ""Нагорская Лесная Компания"""
"https://prokompressor.ru/projects/derevoobrabotka/nlc-berg-3/";"derevoobrabotka";"Деревообработка";"Berg";"винтовой компрессор ""Berg"" ВК-7.5 Е";"ООО ""Нагорская Лесная Компания""";"";"декабрь 2023 г.";"Винтовой компрессор ""Berg"" ВК-7.5 Е для ООО ""Нагорская Лесная Компания"""
"https://prokompressor.ru/projects/derevoobrabotka/berg-novgorodov/";"derevoobrabotka";"Деревообработка";"Berg";"винтовой компрессор ""Berg"" ВК-7.5/10 Е";"ООО ""Марица""";"";"ИП Новгородов";"Винтовой компрессор ""Berg"" ВК-7.5/10 Е для ИП Новгородов"
"https://prokompressor.ru/projects/derevoobrabotka/berg-nlk/";"derevoobrabotka";"Деревообработка";"Berg";"винтовой компрессор ""Berg"" ВК-7.5/8 E";"ООО ""Нагорская Лесная Компания""";"";"июнь 2021 г.";"Винтовой компрессор ""Berg"" ВК-7.5/8 E"
"https://prokompressor.ru/projects/derevoobrabotka/berg-gskt/";"derevoobrabotka";"Деревообработка";"Berg";"винтовой компрессор ""Berg"" ВК-7.5/8 Е и вертикальный ресивер ""Remeza"" РВ 500.11.00";"ООО ""ГСТ-3""";"Новосибирская область";"июнь 2021 г.";"Винтовой компрессор ""Berg"" ВК-7.5/8 Е и вертикальный ресивер ""Remeza"" РВ 500.11.00"
"https://prokompressor.ru/projects/derevoobrabotka/berg-pallet-nch/";"derevoobrabotka";"Деревообработка";"Berg";"Винтовой компрессор ""Berg"" ВК-7.5Р";"ООО ""Паллет-НЧ""";"Казань";"июнь 2022 г.";"Винтовой компрессор ""Berg"" ВК-7.5Р для ООО ""Паллет-НЧ"""
"https://prokompressor.ru/projects/derevoobrabotka/comaro-raspil/";"derevoobrabotka";"Деревообработка";"Comaro";"винтовой компрессор ""Comaro"" LB 15-8/500 Е";"ИП Солдатова О.С.";"Московская область";"ноябрь 2020 г.";"Винтовой компрессор ""Comaro"" LB 15-8/500 Е"
"https://prokompressor.ru/projects/derevoobrabotka/comaro-ajna/";"derevoobrabotka";"Деревообработка";"Comaro";"винтовой компрессор ""COMARO"" XB 22-08";"ИП Котов";"Вознесенское";"март 2021 г.";"Винтовой компрессор ""COMARO"" XB 22-08"
"https://prokompressor.ru/projects/derevoobrabotka/comaro-grush/";"derevoobrabotka";"Деревообработка";"Comaro";"винтовой компрессор ""COMARO"" XB 7,5-8";"ИП Грушенец В.А.";"Лесозаводск";"декабрь 2020 г.";"Винтовой компрессор ""COMARO"" XB 7,5-8"
"https://prokompressor.ru/projects/derevoobrabotka/comaro-drevkontur/";"derevoobrabotka";"Деревообработка";"Comaro";"винтовой компрессор ""COMARO"" XB 7,5-8";"АО ДП ""ДРЕВКОНТУР""";"Солнечный";"май 2021 г.";"Винтовой компрессор ""COMARO"" XB 7,5-8"
"https://prokompressor.ru/projects/derevoobrabotka/compag-dorsibplus/";"derevoobrabotka";"Деревообработка";"Comprag";"винтовой компрессор ""Comprag"" А 1808/8";"ООО ""Дорсиб Плюс""";"Новосибирск";"апрель 2021 г.";"Винтовой компрессор ""Comprag"" А 1808/8"
"https://prokompressor.ru/projects/derevoobrabotka/comprag-resurs-2/";"derevoobrabotka";"Деревообработка";"Comprag";"винтовой компрессор ""Comprag"" АR-11-500/10";"ООО ""Ресурс""";"Санкт-Петербург";"июль 2022 г.";"Винтовой компрессор ""Comprag"" АR-11-500/10 для ООО ""Ресурс"""
"https://prokompressor.ru/projects/derevoobrabotka/comprag-stolyarich/";"derevoobrabotka";"Деревообработка";"Comprag";"винтовой компрессор ""Comprag"" АRD 2208-500/8 с осушителем";"ООО ""Сибинтегра""";"";"август 2020 г.";"Винтовой компрессор ""Comprag"" АRD 2208-500/8 с осушителем"
"https://prokompressor.ru/projects/derevoobrabotka/comprag-resurs/";"derevoobrabotka";"Деревообработка";"Comprag";"винтовой компрессор ""Comprag"" АRD-07-270/8";"ООО ""Ресурс""";"Санкт-Петербург";"февраль 2022 г.";"Винтовой компрессор ""Comprag"" АRD-07-270/8 для ООО ""Ресурс"""
