kp0233_OLD_-_-_OLD_c_-_B_D_4.jpeg | фото_с_объекта | нет | средняя | производственный цех с рядом модульных компрессорных установок на заводе
kp0164_OLD_-_LINGYU_-_._-_._ae293b3f004876c81f9c3c5b2f2fa75 | фото_товара | нет | средняя | компрессор с воздушным охлаждением на площадке

kp0322_OLD_-_-_2-_._B_D_-_-_2-_._WhatsApp_Image_2022-07-06_a | фото_с_объекта | нет | высокая | современная компрессорная станция с несколькими установками

kp0314_OLD_-_-_2-_._B_D_-_-_2-_._WhatsApp_Image_2022-07-05_a | фото_товара | нет | средняя | блок винтового компрессора белого цвета крупным планом

kp0219_OLD_-_-_.jpg | схема_чертёж | да | высокая | принципиальная схема работы винтового компрессора с русскими подписями

kp0595_OLD_-_40_KITO_ZSW_2-_-1_._WhatsApp_Image_2023-08-03_a | фото_товара | нет | средняя | упакованный компрессор на поддоне на складе

kp0270_OLD_-_-_-_HANDE_-_AIPU_3_7_.jpg | фото_товара | нет | высокая | два безмасляных компрессора CLASS 0 OIL-FREE

kp0616_OLD_-_-_1_project-5.jpg | фото_товара | нет | высокая | винтовой компрессор ENGER HA-15DFRE-400 на ресивере с осушителем
kp0772_OLD_-_-_-_22.09.2022_-_22-09.jpg | схема_чертёж | да | средняя | Схема линии осушения воздуха 400 м³/мин с холодильниками, фильтрами, ресиверами и точкой росы -50°C

kp0605_OLD_-_-_1_chastotnik.jpg | фото_с_объекта | нет | нет | Частотный преобразователь INOVANCE в электрошкафу

kp0583_OLD_-_40_KITO_ZSW_2-_-1_._photo_5210750084554279472_y | фото_с_объекта | нет | средняя | Компрессорная установка KITO на желтой платформе в производственном цехе

kp0112_OLD_-_LINGYU_-_._-_._._-_Enger_WhatsApp_Image_2022-10 | фото_товара | нет | высокая | Два адсорбционных осушителя с рефрижераторами на открытой площадке

kp0562_OLD_-_40_KITO_Booster_OIL_10-40_Bar_-_RS-485_._._Boos | фото_товара | нет | высокая | 3D-рендер бустерной компрессорной станции с радиаторами и охладителем

kp1150__ENGER_-_ENGER_-_-_OFSZ_12.jpeg | схема_чертёж | да | высокая | Схема водяного охлаждения безмасляных компрессоров ENGER OFSZ с описанием

kp0195_OLD_-_-_B_D_-_-_c_-_B_D_4.jpeg | фото_с_объекта | нет | средняя | Производственная линия сборки компрессоров в цехе

kp0483_OLD_-_-_-_liniya_refr_2.jpg | схема_чертёж | да | высокая | Схема комплектации станции ENGER: компрессор, ресиверы, осушитель, генератор азота, фильтры
kp0635_OLD_-_-_1_Image_20250219120753_-.jpg | фото_товара | нет | высокая | компрессор винтовой на колесах с ресивером, студийное фото на белом фоне

kp0248_OLD_-_-_.png | схема_чертёж | да | высокая | 3D схема насоса в разрезе с цветными стрелками потока

kp1147__ENGER_-_ENGER_-_-_OFSZ_1.jpeg | маркетинг | нет | средняя | обложка коммерческого предложения ENGER OFSZ-160A с изображением компрессора

kp0387_OLD_-_-_-_liniya_ref_.jpg | схема_чертёж | да | высокая | схема компрессорной линии с фильтрами, ресивером, осушителем и генератором кислорода

kp1153__ENGER_-_ENGER_-_-_OFSZ_15.jpeg | маркетинг | нет | средняя | презентация модульных компрессорных станций ENGER в контейнерах (МКС)

kp0272_OLD_-_-_-_HANDE_-_AIPU_40_.jpg | фото_с_объекта | да | средняя | открытый электрошкаф со стеллажами вакуумных насосов на производстве

kp0762_OLD_-_-_-_17.09.2022_-_._._b0fc185628c91bc4694270d189 | фото_с_объекта | нет | нет | вакуумный насос синий с белым шкафом управления на рельсах

kp0579_OLD_-_40_KITO_ZSW_2-_-1_._photo_5210750084554279463_y | фото_с_объекта | нет | нет | панель управления с сенсорным экраном и кнопками на производственном объекте
kp1170__ENGER_-_ENGER_-_OFSA_4.jpeg | маркетинг | да | высокая | Маркетинговый лист ENGER: винтовые безмасляные компрессоры OFSA, описание технологии, таблица классов чистоты масла, сертификация 100% oil-free

kp0498_OLD_-_-_membr_generator_azota.png | схема_чертёж | да | высокая | Техническая схема мембранного генератора AIRRANE: принцип разделения газов, микрофотографии мембраны, таблица скоростей проникновения различных газов

kp0231_OLD_-_-_KAPA_-_-_.jpg | фото_с_объекта | нет | средняя | Панорамное фото промышленного завода с китайскими иероглифами, складские и производственные помещения, парковка

kp0606_OLD_-_-_1_controller.jpg | фото_товара | нет | средняя | Панель управления компрессором: сенсорный HMI-экран и красная аварийная кнопка Emergency Stop

kp0301_OLD_-_-_-_HANDE_-_AIPU_.jpeg | схема_чертёж | да | высокая | Схема в разрезе безмасляного компрессора AIRUI с подписями основных компонентов (панель управления, насос, фильтр, двигатель, клапаны) на китайском

kp0699_OLD_-_-_2_.jpg | схема_чертёж | да | высокая | Техническая схема винтового блока двухступенчатого компрессора: IPM-двигатели на постоянных магнитах, винтовые блоки первой и второй ступени

kp0657_OLD_-_-_2_HANDE_-_-_._2-_35ae69337cab01920562aa0f423b | фото_с_объекта | нет | средняя | Компрессоры в открытых корпусах на объекте: видны внутренности, электродвигатели, трубопроводы, установка перед запуском
kp0103_OLD_-_LINGYU_-_._-_._WhatsApp_Image_2022-10-23_at_21 | фото_с_объекта | да | средняя | промышленная холодильная/компрессорная установка с 4 вентиляторами, трубопроводами и насосами на синей раме в цеху

kp0240_OLD_-_-_oil-free.png | маркетинг | нет | средняя | круглый зеленый логотип OIL-FREE с листиком, экологическая маркировка безмасляного оборудования

kp0687_OLD_-_-_2_.png | фото_товара | да | высокая | крупный план синих винтовых роторов компрессора, техническая деталь узла сжатия

kp0089_OLD_-_LINGYU_-_._-_._5_.jpg | фото_с_объекта | да | высокая | промышленный цех с несколькими установками ENGER, компрессорами, ресиверами и системой трубопроводов

kp0296_OLD_-_-_-_HANDE_-_AIPU_.jpg | схема_чертёж | да | средняя | диаграмма процесса очистки в 4 этапа со спиралями разных цветов, технологическая схема

kp0347_OLD_-_-_2-_._Enger_5.jpg | фото_с_объекта | да | средняя | компрессор Atlas Copco с контроллером и дожимным холодильником в машинном отделении

kp0271_OLD_-_-_-_HANDE_-_AIPU_30_.jpg | фото_товара | да | высокая | электрошкаф управления с сенсорным HMI, 8 вакуумными насосами по бокам и монтажной панелью с автоматикой
kp0109_OLD_-_LINGYU_-_._-_._._-_Enger_WhatsApp_Image_2022-10 | фото_товара | да | высокая | Два генератора азота ENGER на производственной площадке, маркировка A и B

kp0220_OLD_-_-_._.jpg | схема_чертёж | да | средняя | Схема водяного вакуумного насоса с обозначениями компонентов на русском

kp0504_OLD_-_-_.jpg | фото_товара | нет | нет | Четыре белых фильтрующих картриджа на белом фоне

kp0722_OLD_-_-_5_.jpg | схема_чертёж | да | средняя | Схема разреза винтового компрессора с указанием 5 фильтров и ресивера

kp1171__ENGER_-_ENGER_-_OFSA_5.jpeg | маркетинг | да | средняя | Маркетинговая страница про компрессоры ENGER OFSA с описанием винтового блока и покрытия роторов

kp0750_OLD_-_-_-_17.09.2022_68865010e2d8a15ebd6fff2501aaa1b_ | фото_с_объекта | да | высокая | Ряд генераторов азота ENGER установленных на промышленном объекте

kp0587_OLD_-_40_KITO_ZSW_2-_-1_._photo_5210750084554279478_y | фото_с_объекта | нет | средняя | Насосная/компрессорная станция на объекте с зеленым ресивером и шкафом управления
kp0430_OLD_-_-_-_liniya_ads_2_.jpg | схема_чертёж | да | высокая | Схема комплексной системы сжатого воздуха и азота ENGER с компрессором, ресиверами, осушителем, фильтрами, генератором азота

kp0342_OLD_-_-_2-_._Enger_2.jpg | фото_товара | нет | высокая | Винтовой компрессор ENGER OFSZ-90W на выставочном стенде, серый корпус

kp0726_OLD_-_-_HANDE_-_-_._fc4b9bd83a5664b86481eae1ee65632.p | маркетинг | да | средняя | Рекламное фото 4-ступенчатой системы фильтрации ATS с текстовыми пояснениями классов фильтров

kp0581_OLD_-_40_KITO_ZSW_2-_-1_._photo_5210750084554279470_y | фото_с_объекта | да | средняя | Азотная станция KITO в производственном цеху на монтажной платформе

kp0383_OLD_-_-_-_liniya_ads_.jpg | схема_чертёж | да | высокая | Технологическая схема системы подготовки воздуха для генерации кислорода с компрессором ENGER и стерилизующими фильтрами

kp0154_OLD_-_LINGYU_-_._-_._2.jpg | фото_товара | нет | средняя | Рефрижераторный осушитель ENGER в производственном помещении

kp0269_OLD_-_-_-_HANDE_-_AIPU_22_.jpg | фото_товара | нет | средняя | Винтовые компрессоры в деревянной упаковке на складе, сине-белые корпуса

kp1244__ENGER_-_-_-_-_Enger2.jpg | фото_с_объекта | да | высокая | Действующая компрессорная станция с азотными генераторами, ресиверами и вспомогательным оборудованием
kp0249_OLD_-_-_.jpg | схема_чертёж | да | высокая | 3D разрез винтового блока компрессора с направлениями потоков
kp0644_OLD_-_-_1_7.jpg | фото_с_объекта | нет | средняя | компрессор в кожухе на объекте под навесом с китайскими фонариками
kp0501_OLD_-_-_.png | схема_чертёж | да | средняя | схема работы мембранного осушителя в двух режимах с потоками воздуха
kp0485_OLD_-_-_-_liniya_refr_.jpg | схема_чертёж | да | высокая | блок-схема системы подготовки воздуха с компрессором, осушителем и генератором азота
kp0268_OLD_-_-_-_HANDE_-_AIPU_11_15_-_2.jpg | фото_товара | нет | средняя | безмасляные компрессоры CLASS 0 OILFREE на складе на поддонах
kp0646_OLD_-_-_1_8.jpg | фото_товара | нет | высокая | компрессор с открытой дверцей, виден винтовой блок и двигатель
kp0530_OLD_-_40_40_YDL_.png | фото_товара | нет | высокая | промышленная компрессорная станция ENGER на раме с обвязкой
kp0363_OLD_-_-_2-_._.jpg | схема_чертёж | да | средняя | схема каскадного управления тремя компрессорами ENGER через единый контроллер
kp0529_OLD_-_40_40_YDL_.jpg | фото_товара | нет | высокая | компрессорная установка ENGER на раме, студийное фото, белый фон
kp0345_OLD_-_-_2-_._Enger_4.jpg | фото_с_объекта | нет | средняя | компрессорная установка на раме в промышленном помещении
kp0318_OLD_-_-_2-_._B_D_-_-_2-_._WhatsApp_Image_2022-07-05_a | фото_с_объекта | нет | средняя | компрессор BD-DM75A в цехе, два человека у оборудования
kp0812_OLD_-_8_OFSD.jpg | схема_чертёж | да | высокая | технологическая схема системы воздухоподготовки с компрессорами ENGER, ресиверами, генератором азота
kp0151_OLD_-_LINGYU_-_._-_._2.jpg | фото_с_объекта | нет | средняя | холодильная установка ENGER с панелью управления в помещении
kp0441_OLD_-_-_-_2.jpg | схема_чертёж | да | высокая | схема комплектации системы OFSZ-75A с компрессором, фильтрами, ресиверами, генератором азота
kp0426_OLD_-_-_-_GN400-49TW.jpg | фото_с_объекта | нет | средняя | монтаж оборудования, ресивер с трубопроводами, работники в процессе установки
kp1159__ENGER_-_ENGER_-_-_OFSZ_5.jpeg | таблица_характеристик | да | средняя | описание винтовых блоков ENGER OFSZ с техническими характеристиками и изображениями
