organizaciya,inn,marka,moshchnost,god,cena,tip_oborudovaniya,istochnik,dokument,ssylka,kak_privyazano,ogovorka
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НОВАТЭК-СПГ ТОПЛИВО""",9729312558,,,2025-01-23,,компрессорная станция,ЕГРЗ (реестр заключений экспертизы),"74-2-1-3-002230-2025, Реконструкция, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '74-2-1-3-002230-2025',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: ""Реконструкция объекта ""Комплекс сжижения природного газа (КСПГ) производительностью 5 т/ч в непосредственной близости ГРС-3 г. Магнитогорск. Объект (этап строительства) II. Завод "
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВЫКСУНСКИЙ МЕТАЛЛУРГИЧЕСКИЙ ЗАВОД""",5247004695,,,2024-12-28,,компрессорная станция,ЕГРЗ (реестр заключений экспертизы),"52-2-1-3-082738-2024, Реконструкция, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '52-2-1-3-082738-2024',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: ""Высокотехнологичный центр финишной отделки обсадных труб диаметром 139,7-426,0 мм для нефтегазового сектора с созданием муфтовых резьбовых соединений для сложных условий добычи в "
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МЕССОЯХАНЕФТЕГАЗ""",8910002621,,,2024-12-20,,компрессорная станция,ЕГРЗ (реестр заключений экспертизы),"89-1-1-3-078175-2024, Реконструкция, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '89-1-1-3-078175-2024',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: Реконструкция компрессорной станции с установкой подготовки газа Восточно-Мессояхского месторождения"
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МАШИНОСТРОИТЕЛЬНОЕ КОНСТРУКТОРСКОЕ БЮРО ""ФАКЕЛ"" ИМЕНИ АКАДЕМИКА П.Д.ГРУШИНА""",5047051923,,,2024-12-18,,компрессорная станция,ЕГРЗ (реестр заключений экспертизы),"50-2-1-2-077180-2024, Капитальный ремонт, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '50-2-1-2-077180-2024',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: Капитальный ремонт поврежденных конструктивных элементов строения 72Г (компрессорная станция, корп. 72Г, инв. №44), расположенного по адресу: МО, г. Химки, ул. Академика Грушина, в"
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МАШИНОСТРОИТЕЛЬНОЕ КОНСТРУКТОРСКОЕ БЮРО ""ФАКЕЛ"" ИМЕНИ АКАДЕМИКА П.Д.ГРУШИНА""",5047051923,,,2024-12-03,,компрессорная станция,ЕГРЗ (реестр заключений экспертизы),"50-2-1-2-072564-2024, Капитальный ремонт, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '50-2-1-2-072564-2024',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: Капитальный ремонт поврежденных конструктивных элементов строения 72Г (компрессорная станция, корп. 72Г, инв. №44), расположенного по адресу: МО, г. Химки, ул. Академика Грушина, в"
Государственное бюджетное учреждение здравоохранения Республики Башкортостан Городская клиническая больница № 1 города С,0268025810,,,2024-08-23,,компрессорная станция,ЕГРЗ (реестр заключений экспертизы),"02-1-1-2-049046-2024, Капитальный ремонт, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '02-1-1-2-049046-2024',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: Капитальный ремонт сетей медицинского сжатого воздуха на цокольном, 1-ом, 2-ом и 7-ом этажах с установкой компрессорной станции в ГБУЗ ГКБ №1 г. Стерлитамак по адресу: г. Стерлитам"
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""САБЛАЙН СЕРВИС""",7721218278,,,2024-06-20,,компрессорная станция,ЕГРЗ (реестр заключений экспертизы),"50-2-1-2-031416-2024, Реконструкция, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '50-2-1-2-031416-2024',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: ""Реконструкция здания блока вспомогательных цехов под склад и здания компрессорной под административно-офисный центр"" по адресу: Московская область, г.о. Балашиха, г. Балашиха, ул."
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НЕСТЛЕ КУБАНЬ""",2353018969,,,2024-05-20,,компрессорная станция,ЕГРЗ (реестр заключений экспертизы),"23-2-1-2-024102-2024, Реконструкция, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '23-2-1-2-024102-2024',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: Здание литер Б. Воздушная компрессорная."
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ПРОИЗВОДСТВЕННОЕ ПРЕДПРИЯТИЕ ""АЛМАЗ""",6453119615,,,2024-05-14,,компрессорная станция,ЕГРЗ (реестр заключений экспертизы),"64-1-1-2-022859-2024, Капитальный ремонт, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '64-1-1-2-022859-2024',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: ""Капитальный ремонт основных строительных конструкций здания водородной и азотно-компрессорной станции АО ""НПП ""Алмаз"" г. Саратов"""
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТЕПЛОЭНЕРГО""",5257087027,,,2024-04-19,,компрессорная станция,ЕГРЗ (реестр заключений экспертизы),"52-1-1-2-018677-2024, Капитальный ремонт, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '52-1-1-2-018677-2024',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: Капитальный ремонт сетей теплоснабжения в г.Нижний Новгород. ""Квартальная теплотрасса отопления от котельной ул. Энгельса, 1б (УТ-8)"" кад. 52:18:0010036:297 на участке: ""Теплотрасс"
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ОМСКИЙ БЕКОН""",5515000025,,,2024-02-20,,компрессорная станция,ЕГРЗ (реестр заключений экспертизы),"55-1-1-3-006692-2024, Реконструкция, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '55-1-1-3-006692-2024',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: ""Аммиачный компрессорный цех для мясоперерабатывающего цеха МПЦ1"" в здании мясоперерабатывающего корпуса инв.№9 кадастровый 55:34:040 201:286"
"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТАТНЕФТЬ"" ИМЕНИ В.Д. ШАШИНА",1644003838,,,2024-02-02,,компрессорная станция,ЕГРЗ (реестр заключений экспертизы),"16-2-1-2-004068-2024, Реконструкция, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '16-2-1-2-004068-2024',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: Реконструкция цеха по ремонту насосно-компрессорных труб. Цех производства стеклопластиковых труб г. Бавлы"
"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТАТНЕФТЬ"" ИМЕНИ В.Д. ШАШИНА",1644003838,,,2024-01-31,,компрессорная станция,ЕГРЗ (реестр заключений экспертизы),"16-2-1-2-003603-2024, Реконструкция, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '16-2-1-2-003603-2024',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: Реконструкция цеха по ремонту насосно-компрессорных труб. Цех производства стеклопластиковых труб г. Бавлы"
"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГАЗПРОМ""",7736050003,,,2023-12-28,,компрессорная станция,ЕГРЗ (реестр заключений экспертизы),"89-1-1-3-083354-2023, Реконструкция, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '89-1-1-3-083354-2023',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: ""Дожимная компрессорная станция на УКПГ-3С Заполярного НГКМ (2 очередь). Этап 1. Реконструкция комплекса твердых бытовых отходов ЗГНКМ. Инв. № 240056"""
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛУКОЙЛ-ЗАПАДНАЯ СИБИРЬ""",8608048498,,,2023-12-21,,компрессорная станция,ЕГРЗ (реестр заключений экспертизы),"86-1-1-3-079428-2023, Реконструкция, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '86-1-1-3-079428-2023',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: ""Реконструкция вакуумно-компрессорной станции №1 (ВКС-1) система газопроводов попутного нефтяного газа по месторождениям ТПП ""Покачевнефтегаз"" Покачевского нефтяного месторождения"""
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ""СПЛАВ"" ИМЕНИ А.Н. ГАНИЧЕВА""",7105515987,,,2023-11-27,,компрессорная станция,ЕГРЗ (реестр заключений экспертизы),"71-1-1-2-071797-2023, Капитальный ремонт, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '71-1-1-2-071797-2023',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: Капитальный ремонт электросилового хозяйства в корпусе «Д», в здании компрессорной АО «НПО «СПЛАВ» им.А.Н. Ганичева», расположенному по адресу: г. Тула, ул. Щегловская засека, д. 3"
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СПГ ПРОЕКТ ИНЖИНИРИНГ""",6685145037,,,2023-11-27,,компрессорная станция,ЕГРЗ (реестр заключений экспертизы),"72-2-1-3-072088-2023, Реконструкция, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '72-2-1-3-072088-2023',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: Реконструкция Крио АГЗС с использованием СПГ со строительством автомобильной газонаполнительной компрессорной станции (АГНКС) в г. ИШИМ"
"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ КАПИТАЛЬНОГО СТРОИТЕЛЬСТВА"" АДМИНИСТРАЦИИ КРАСНОКАМСКОГО ГОРОДСКОГО ОКРУГА",5916000368,,,2023-11-17,,компрессорная станция,ЕГРЗ (реестр заключений экспертизы),"59-1-2-3-069714-2023, Реконструкция, Отрицательное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '59-1-2-3-069714-2023',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: «Реконструкция здания компрессорной под зал бокса и спортивного игрового зала»"
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГАЗПРОМНЕФТЬ-НОЯБРЬСКНЕФТЕГАЗ""",8905000428,,,2023-11-12,,компрессорная станция,ЕГРЗ (реестр заключений экспертизы),"89-1-1-3-068211-2023, Реконструкция, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '89-1-1-3-068211-2023',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: «Реконструкция ВКС ЦПС Вынгаяхинского месторождения. Вакуумная компрессорная станция»"
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КУЗБАССОБЛГАЗ""",4205244870,,,2023-10-23,,компрессорная станция,ЕГРЗ (реестр заключений экспертизы),"42-2-1-3-063744-2023, Реконструкция, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '42-2-1-3-063744-2023',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: Автомобильная газонаполнительная компрессорная станция, по адресу:654044, Российская Федерация, Кемеровская область - Кузбасс, Новокузнецкий городской округ, г. Новокузнецк, Новоил"
"Акционерное общество ""Мессояханефтегаз""",8910002621,,,2023-10-05,,компрессорная станция,ЕГРЗ (реестр заключений экспертизы),"89-2-1-3-060018-2023, Реконструкция, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '89-2-1-3-060018-2023',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: Реконструкция блока топливного газа инв. № МНГ_01 00002202 на ГТЭС ВМЛУ (основание под рамами компрессорных установок)"
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ПРОИЗВОДСТВЕННОЕ ПРЕДПРИЯТИЕ ""АЛМАЗ""",6453119615,,,2023-08-21,,компрессорная станция,ЕГРЗ (реестр заключений экспертизы),"64-1-1-2-049073-2023, Капитальный ремонт, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '64-1-1-2-049073-2023',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: Капитальный ремонт основных строительных конструкций здания водородной и азотно-компрессорной станции АО ""НПП ""Алмаз"" г. Саратов"
