model;srok;zapros;nomer;data;inn_zakazchika;zakazchik;obekt;tip;inn_eo;ekspertnaya_org;vyvod;istochnik;istochnik_zakazchik
Ангарская нефтехимическая компания;any;Ангарская нефтехимическая компания;67-ТУ-01740-2014;07.03.2014;3801009466;"АО ""АНХК""";"резервуар вертикального стального цилиндрического, объемом 1000 м3, №18 ОАО ""Ангарская нефтехимическая компания""(ОАО ""АНХК""), ХЗ, цех 86/57, объект 346, г.Ангарск Иркутской области";ТУ;7106503857;"ООО ""Промтехэкспертиза"" (ИНН 7106503857)";соответствует;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-01740-2014;https://monitor-pb.ru/customer/3801009466
Ангарская нефтехимическая компания;any;Ангарская нефтехимическая компания;67-ТУ-01854-2014;13.03.2014;3801009466;"АО ""АНХК""";Регенератор, поз.3, рег. № 1540, установленный в цехе №12/44, объект 1740, Химический завод,, ОАО «Ангарская нефтехимическая компания» (ОАО «АНХК»), г.Ангарск, Иркутская область;ТУ;7106503857;"ООО ""Промтехэкспертиза"" (ИНН 7106503857)";соответствует;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-01854-2014;https://monitor-pb.ru/customer/3801009466
Ангарская нефтехимическая компания;any;Ангарская нефтехимическая компания;67-ТУ-01859-2014;13.03.2014;3801009466;"АО ""АНХК""";Регенератор, поз.2, рег. № 1539, установленный в цехе 12/44, объект 1740, Химический завод,, ОАО «Ангарская нефтехимическая компания» (ОАО «АНХК»), г.Ангарск, Иркутская область;ТУ;7106503857;"ООО ""Промтехэкспертиза"" (ИНН 7106503857)";соответствует;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-01859-2014;https://monitor-pb.ru/customer/3801009466
Ангарская нефтехимическая компания;any;Ангарская нефтехимическая компания;67-ТУ-04828-2014;30.06.2014;3801009466;"АО ""АНХК""";№ 05-ТУ-0221-13 техническое устройство: воздушно-водяной скруббер, рег. №25948, зав.№7675-2 г. Ангарск ОАО «Ангарская нефтехимическая компания» (объект А67-00371-0001);ТУ;7106503857;"ООО ""Промтехэкспертиза"" (ИНН 7106503857)";соответствует;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-04828-2014;https://monitor-pb.ru/customer/3801009466
Ангарская нефтехимическая компания;any;Ангарская нефтехимическая компания;67-ТУ-01590-2014;03.03.2014;3801009466;"АО ""АНХК""";Резервуар вертикальный стальной цилиндрический, объемом 1000 м3, № 106, ОАО «Ангарская нефтехимическая компания» (ОАО «АНХК»), НПЗ, цех 12, установка 101, парк 25, г. Ангарск Иркутской области;ТУ;7106503857;"ООО ""Промтехэкспертиза"" (ИНН 7106503857)";соответствует;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-01590-2014;https://monitor-pb.ru/customer/3801009466
Ангарская нефтехимическая компания;any;Ангарская нефтехимическая компания;67-ТУ-01801-2014;12.03.2014;3801009466;"АО ""АНХК""";Резервуар вертикальный стальной цилиндрический, объемом 50 м3, № Р-9б, ОАО «Ангарская нефтехимическая компания» (ОАО «АНХК»), ХЗ, цехе 135/136, парк 1677, г.Ангарск Иркутской области;ТУ;7106503857;"ООО ""Промтехэкспертиза"" (ИНН 7106503857)";соответствует;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-01801-2014;https://monitor-pb.ru/customer/3801009466
Ангарская нефтехимическая компания;any;Ангарская нефтехимическая компания;67-ТУ-01804-2014;12.03.2014;3801009466;"АО ""АНХК""";Трубопроводы межступенчатой обвязки компресора ЦК135/8, поз.7/1, объект 1489, цех 12/44, ХЗ, ОАО «Ангарская нефтехимическая компания» (ОАО «АНХК»), г.Ангарск Иркутской области;ТУ;7106503857;"ООО ""Промтехэкспертиза"" (ИНН 7106503857)";соответствует;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-01804-2014;https://monitor-pb.ru/customer/3801009466
Ангарская нефтехимическая компания;any;Ангарская нефтехимическая компания;67-ТУ-01808-2014;12.03.2014;3801009466;"АО ""АНХК""";Конденсатор, поз.41/6, рег.№ 21821, установленный в цехе № 39/71, объект 1606, Химический завод, ОАО «Ангарская нефтехимическая компания» (ОАО «АНХК»), г.Ангарск Иркутской области;ТУ;7106503857;"ООО ""Промтехэкспертиза"" (ИНН 7106503857)";соответствует;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-01808-2014;https://monitor-pb.ru/customer/3801009466
Ангарская нефтехимическая компания;any;Ангарская нефтехимическая компания;67-ТУ-01809-2014;12.03.2014;3801009466;"АО ""АНХК""";Конденсатор, поз.72/2, рег.№ 21197, установленный в цехе № 39/71, объект 1606, Химический завод, ОАО «Ангарская нефтехимическая компания» (ОАО «АНХК»), г.Ангарск Иркутской области;ТУ;7106503857;"ООО ""Промтехэкспертиза"" (ИНН 7106503857)";соответствует;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-01809-2014;https://monitor-pb.ru/customer/3801009466
Ангарская нефтехимическая компания;any;Ангарская нефтехимическая компания;67-ТУ-01810-2014;12.03.2014;3801009466;"АО ""АНХК""";Емкость, поз.Е-7, рег.№ 29363, установленный в цехе № 39/71, объект 1632, Химический завод, ОАО «Ангарская нефтехимическая компания» (ОАО «АНХК»), г.Ангарск Иркутской области;ТУ;7106503857;"ООО ""Промтехэкспертиза"" (ИНН 7106503857)";соответствует;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-01810-2014;https://monitor-pb.ru/customer/3801009466
Ангарская нефтехимическая компания;any;Ангарская нефтехимическая компания;67-ТУ-01814-2014;12.03.2014;3801009466;"АО ""АНХК""";Емкость, поз.Е-12, рег.№ 29552, установленную в цехе № 39/71, объект 1632, Химический завод, ОАО «Ангарская нефтехимическая компания» (ОАО «АНХК»), г.Ангарск Иркутской области;ТУ;7106503857;"ООО ""Промтехэкспертиза"" (ИНН 7106503857)";соответствует;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-01814-2014;https://monitor-pb.ru/customer/3801009466
Ангарская нефтехимическая компания;any;Ангарская нефтехимическая компания;67-ТУ-01816-2014;12.03.2014;3801009466;"АО ""АНХК""";Емкость, поз.Е-1, рег.№ 29360, установленную в цехе № 39/71, объект 1632, Химический завод, ОАО «Ангарская нефтехимическая компания» (ОАО «АНХК»), г.Ангарск Иркутской области;ТУ;7106503857;"ООО ""Промтехэкспертиза"" (ИНН 7106503857)";соответствует;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-01816-2014;https://monitor-pb.ru/customer/3801009466
Ангарская нефтехимическая компания;any;Ангарская нефтехимическая компания;67-ТУ-01850-2014;13.03.2014;3801009466;"АО ""АНХК""";Сборник орошения поз.152, рег.№ 8216, установленный в цехе № 39/71, объект 1606, Химический завод, ОАО «Ангарская нефтехимическая компания» (ОАО «АНХК»), г.Ангарск Иркутской области;ТУ;7106503857;"ООО ""Промтехэкспертиза"" (ИНН 7106503857)";соответствует;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-01850-2014;https://monitor-pb.ru/customer/3801009466
Ангарская нефтехимическая компания;any;Ангарская нефтехимическая компания;67-ТУ-01851-2014;13.03.2014;3801009466;"АО ""АНХК""";Резервуар вертикального стального цилиндрического, объемом 400 м3, № 207, ОАО «Ангарская нефтехимическая компания» (ОАО «АНХК»), НПЗ, цех 8/14, парк 76/2, г.Ангарск Иркутской области;ТУ;7106503857;"ООО ""Промтехэкспертиза"" (ИНН 7106503857)";соответствует;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-01851-2014;https://monitor-pb.ru/customer/3801009466
Ангарская нефтехимическая компания;any;Ангарская нефтехимическая компания;67-ТУ-04753-2014;26.06.2014;3801009466;"АО ""АНХК""";№ 05-ТУ-0188-13 техническое устройство: сосуд разделитель, рег. №1578, поз. №Е-8, зав. №351, г. Ангарск, ОАО «Ангарская нефтехимическая компания» (объект А67-00371-0001);ТУ;7106503857;"ООО ""Промтехэкспертиза"" (ИНН 7106503857)";соответствует;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-04753-2014;https://monitor-pb.ru/customer/3801009466
Ангарская нефтехимическая компания;any;Ангарская нефтехимическая компания;67-ТУ-04816-2014;27.06.2014;3801009466;"АО ""АНХК""";№ 05-ТУ-0199-13 техническое устройство: хранилище перлита, рег. №1575, поз. №Е-3, зав. №366 г. Ангарск ОАО «Ангарская нефтехимическая компания» (объект А67-00371-0001);ТУ;7106503857;"ООО ""Промтехэкспертиза"" (ИНН 7106503857)";соответствует;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-04816-2014;https://monitor-pb.ru/customer/3801009466
Ангарская нефтехимическая компания;any;Ангарская нефтехимическая компания;67-ТУ-00576-2014;05.02.2014;3801009466;"АО ""АНХК""";на Фильтр поз. Ф-1, рег.№ 884, установленный в цехе № 39/71, объект 976, Химический завод, ОАО «Ангарская нефтехимическая компания» (ОАО «АНХК»), г.Ангарск Иркутской области;ТУ;7106503857;"ООО ""Промтехэкспертиза"" (ИНН 7106503857)";соответствует;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-00576-2014;https://monitor-pb.ru/customer/3801009466
Ангарская нефтехимическая компания;any;Ангарская нефтехимическая компания;67-ТУ-00577-2014;05.02.2014;3801009466;"АО ""АНХК""";на Емкость поз. Е-3, рег.№ 978, установленный в цехе № 39/71, объект 973, Химический завод, ОАО «Ангарская нефтехимическая компания» (ОАО «АНХК»), г.Ангарск Иркутской области;ТУ;7106503857;"ООО ""Промтехэкспертиза"" (ИНН 7106503857)";соответствует;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-00577-2014;https://monitor-pb.ru/customer/3801009466
Ангарская нефтехимическая компания;any;Ангарская нефтехимическая компания;67-ТУ-00579-2014;05.02.2014;3801009466;"АО ""АНХК""";на Емкость поз. Е-1, рег.№ 976, установленный в цехе № 39/71, объект 973, Химический завод, ОАО «Ангарская нефтехимическая компания» (ОАО «АНХК»), г.Ангарск Иркутской области;ТУ;7106503857;"ООО ""Промтехэкспертиза"" (ИНН 7106503857)";соответствует;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-00579-2014;https://monitor-pb.ru/customer/3801009466
Ангарская нефтехимическая компания;any;Ангарская нефтехимическая компания;67-ТУ-01653-2014;05.03.2014;3801009466;"АО ""АНХК""";Резервуар вертикального стального цилиндрического, объемом 1500 м3, поз. Р-7 ОАО «Ангарская нефтехимическая компания» (ОАО «АНХК»), ЗМ, цех № 103, объект 141/142 г.Ангарск Иркутской области;ТУ;7106503857;"ООО ""Промтехэкспертиза"" (ИНН 7106503857)";соответствует;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-01653-2014;https://monitor-pb.ru/customer/3801009466
Ангарская нефтехимическая компания;any;Ангарская нефтехимическая компания;67-ТУ-01661-2014;05.03.2014;3801009466;"АО ""АНХК""";Охладитель газа концевой (поз.11), рег. 1174, установленный в цехе № 12/44, объект 1489, Химический завод, ОАО «Ангарская нефтехимическая компания» (ОАО «АНХК»), г.Ангарск Иркутской области;ТУ;7106503857;"ООО ""Промтехэкспертиза"" (ИНН 7106503857)";соответствует;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-01661-2014;https://monitor-pb.ru/customer/3801009466
Ангарская нефтехимическая компания;any;Ангарская нефтехимическая компания;67-ТУ-01796-2014;12.03.2014;3801009466;"АО ""АНХК""";Резервуар вертикальный стальной цилиндрический, объемом 50 м3, поз. Р-8, ОАО «Ангарская нефтехимическая компания» (ОАО «АНХК»), ХЗ, цех 135/136, объект 1677, г.Ангарск Иркутской области;ТУ;7106503857;"ООО ""Промтехэкспертиза"" (ИНН 7106503857)";соответствует;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-01796-2014;https://monitor-pb.ru/customer/3801009466
Ангарская нефтехимическая компания;any;Ангарская нефтехимическая компания;67-ТУ-04758-2014;26.06.2014;3801009466;"АО ""АНХК""";№ 05-ТУ-0132-13 техническое устройство: холодильник АМАРА, поз. №19/3, цех 19/47, об.80 г. Ангарск ОАО «Ангарская нефтехимическая компания» (объект А67-00371-0001);ТУ;7106503857;"ООО ""Промтехэкспертиза"" (ИНН 7106503857)";соответствует;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-04758-2014;https://monitor-pb.ru/customer/3801009466
Ангарская нефтехимическая компания;any;Ангарская нефтехимическая компания;67-ТУ-04817-2014;27.06.2014;3801009466;"АО ""АНХК""";№ 05-ТУ-0194-13 техническое устройство: холодильник III ступени, рег. №1531, поз. №8/1, зав. №412 г. Ангарск ОАО «Ангарская нефтехимическая компания» (объект А67-00371-0001);ТУ;7106503857;"ООО ""Промтехэкспертиза"" (ИНН 7106503857)";соответствует;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-04817-2014;https://monitor-pb.ru/customer/3801009466
Ангарская нефтехимическая компания;any;Ангарская нефтехимическая компания;67-ТУ-04942-2014;01.07.2014;3801009466;"АО ""АНХК""";№ 21-ТУ-0005-14.Трубопровод рег. № 2295-Ж, цех 39/71, объект 149/172, химический завод ОАО «Ангарская нефтехимическая компания»г. Ангарск (объект А67-00371-0001).;ТУ;7106503857;"ООО ""Промтехэкспертиза"" (ИНН 7106503857)";соответствует;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-04942-2014;https://monitor-pb.ru/customer/3801009466
Ангарская нефтехимическая компания;any;Ангарская нефтехимическая компания;67-ТУ-00247-2014;29.01.2014;3801009466;"АО ""АНХК""";Охладитель газа 1 группы, поз 9, рег. № 1170 установленный в цехе № 12/44, объект 1489, Химический завод ОАО «Ангарская нефтехимическая компания» (ОАО «АНХК»), г. Ангарск Иркутской области;ТУ;7106503857;"ООО ""Промтехэкспертиза"" (ИНН 7106503857)";соответствует;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-00247-2014;https://monitor-pb.ru/customer/3801009466
Ангарская нефтехимическая компания;any;Ангарская нефтехимическая компания;67-ТУ-00581-2014;05.02.2014;3801009466;"АО ""АНХК""";на Холодильник V ступени ГК-1, рег. № 1064, установленный в цехе № 135/136, объект 1691, Химический завод, ОАО «Ангарская нефтехимическая компания» (ОАО «АНХК»), г.Ангарск Иркутской области;ТУ;7106503857;"ООО ""Промтехэкспертиза"" (ИНН 7106503857)";соответствует;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-00581-2014;https://monitor-pb.ru/customer/3801009466
Ангарская нефтехимическая компания;any;Ангарская нефтехимическая компания;67-ТУ-01666-2014;05.03.2014;3801009466;"АО ""АНХК""";Резервуар вертикального стального цилиндрического, объемом 1000 м3, № 389, ОАО «Ангарская нефтехимическая компания» (ОАО «АНХК»), НЗП, цех № 11, объект 70/6-7, парк 66, г.Ангарск Иркутской области;ТУ;7106503857;"ООО ""Промтехэкспертиза"" (ИНН 7106503857)";соответствует;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-01666-2014;https://monitor-pb.ru/customer/3801009466
Ангарская нефтехимическая компания;any;Ангарская нефтехимическая компания;67-ТУ-04821-2014;30.06.2014;3801009466;"АО ""АНХК""";№ 05-ТУ-0210-13 техническое устройство: продувочная емкость, рег. №321, зав.№ 708, цех 19/47, об.78 г. Ангарск ОАО «Ангарская нефтехимическая компания» (объект А67-00371-0001);ТУ;7106503857;"ООО ""Промтехэкспертиза"" (ИНН 7106503857)";соответствует;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-04821-2014;https://monitor-pb.ru/customer/3801009466
Ангарская нефтехимическая компания;any;Ангарская нефтехимическая компания;67-ТУ-04833-2014;30.06.2014;3801009466;"АО ""АНХК""";№ 05-ТУ-0227-13 техническое устройство: ресивер азота поз.2, рег. №21464, цех 39/71, об.1601 г. Ангарск ОАО «Ангарская нефтехимическая компания» (объект А67-00371-0001);ТУ;7106503857;"ООО ""Промтехэкспертиза"" (ИНН 7106503857)";соответствует;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-04833-2014;https://monitor-pb.ru/customer/3801009466
Ангарская нефтехимическая компания;any;Ангарская нефтехимическая компания;67-ТУ-04938-2014;01.07.2014;3801009466;"АО ""АНХК""";№ 05-ТУ-0201-13.Техническое устройство: верхняя колонна, регистрационный №1457 Предприятие: 665830, Иркутская обл., г. Ангарск, а/б 65 ОАО «Ангарская нефтехимическая компания» (объект А67-00371-0001).;ТУ;7106503857;"ООО ""Промтехэкспертиза"" (ИНН 7106503857)";соответствует;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-04938-2014;https://monitor-pb.ru/customer/3801009466
Ангарская нефтехимическая компания;any;Ангарская нефтехимическая компания;67-ТУ-05680-2014;22.07.2014;3801009466;"АО ""АНХК""";№ 21-ТУ-0034-14 трубопровод азота рег. № б/н, цех 39/71, объект 149/172, химический завод, ОАО «Ангарская нефтехимическая компания», г.Ангарск (объект А67-00371-0001);ТУ;7106503857;"ООО ""Промтехэкспертиза"" (ИНН 7106503857)";соответствует;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-05680-2014;https://monitor-pb.ru/customer/3801009466
Ангарская нефтехимическая компания;any;Ангарская нефтехимическая компания;67-ДЛ-01519-2014;27.02.2014;6311107879;"ООО НПФ ""РосНефтеГаз-Холдинг""";"проектную документацию ""На ликвидацию парка об. 1337 цеха 39/71 Химического завода ОАО «Ангарская нефтехимическая компания»";ДЛ;7719183966;"НО АССОЦИАЦИЯ ""РОСТЕХЭКСПЕРТИЗА""";соответствует;https://monitor-pb.ru/conclusion/67-%D0%94%D0%9B-01519-2014;https://monitor-pb.ru/customer/6311107879
Ангарская нефтехимическая компания;any;Ангарская нефтехимическая компания;67-ТУ-00582-2014;05.02.2014;3801009466;"АО ""АНХК""";на Подземную емкость поз. Е-3, рег.№ 5898, установленный в цехе № 39/71, объект 960, Хими-ческий завод, ОАО «Ангарская нефтехимическая компания» (ОАО «АНХК»), г.Ангарск Иркутской области;ТУ;7106503857;"ООО ""Промтехэкспертиза"" (ИНН 7106503857)";соответствует;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-00582-2014;https://monitor-pb.ru/customer/3801009466
Ангарская нефтехимическая компания;any;Ангарская нефтехимическая компания;67-ТУ-04657-2014;25.06.2014;3801009466;"АО ""АНХК""";№ 05-ТУ-0236-13 техническое устройство: гидрозатвор К34/2, рег. № 727. Предприятие: 665830, Иркутская обл., г. Ангарск, а/б 65 ОАО «Ангарская нефтехимическая компания» (объект А67-00371-0001);ТУ;7106503857;"ООО ""Промтехэкспертиза"" (ИНН 7106503857)";соответствует;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-04657-2014;https://monitor-pb.ru/customer/3801009466
Ангарская нефтехимическая компания;any;Ангарская нефтехимическая компания;67-ТУ-04664-2014;25.06.2014;3801009466;"АО ""АНХК""";№ 05-ТУ-0234-13 техническое устройство: гидрозатвор К34/1, рег. № 729 Предприятие: 665830, Иркутская обл., г. Ангарск, а/б 65 ОАО «Ангарская нефтехимическая компания» (объект А67-00371-0001);ТУ;7106503857;"ООО ""Промтехэкспертиза"" (ИНН 7106503857)";соответствует;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-04664-2014;https://monitor-pb.ru/customer/3801009466
Ангарская нефтехимическая компания;any;Ангарская нефтехимическая компания;67-ТУ-09871-2014;30.10.2014;3801009466;"АО ""АНХК""";№ 21-ТУ-0039-14 каплеотбойник, рег. 22368, цех 19/47, объект 69, Химический завод ОАО «Ангарская нефтехимическая компания» (ОАО «АНХК») г. Ангарск Иркутской области (объект А67-00371-0001);ТУ;7106503857;"ООО ""Промтехэкспертиза"" (ИНН 7106503857)";соответствует;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-09871-2014;https://monitor-pb.ru/customer/3801009466
Ангарская нефтехимическая компания;any;Ангарская нефтехимическая компания;67-ТУ-01594-2014;03.03.2014;3801009466;"АО ""АНХК""";Резервуар вертикальный стальной цилиндрический, объемом 700 м3, № 123, ОАО «Ангарская нефтехимическая компания» (ОАО «АНХК»), НПЗ, установленный в цехе № 11, объект 70/13, парк 14, г.Ангарск Иркутской области;ТУ;7106503857;"ООО ""Промтехэкспертиза"" (ИНН 7106503857)";соответствует;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-01594-2014;https://monitor-pb.ru/customer/3801009466
Ангарская нефтехимическая компания;any;Ангарская нефтехимическая компания;67-ТУ-02714-2014;11.04.2014;3801009466;"АО ""АНХК""";№ 21-ТУ-0564-13 печь П-1а, находящаяся в эксплуатации на ОАО «Ангарская нефтехимическая компания» (ОАО «АНХК»), ЗМ, цех 101, установка А-37/3, г.Ангарск Иркутской области;ТУ;7106503857;"ООО ""Промтехэкспертиза"" (ИНН 7106503857)";соответствует;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-02714-2014;https://monitor-pb.ru/customer/3801009466
Ангарская нефтехимическая компания;any;Ангарская нефтехимическая компания;67-ТУ-04659-2014;25.06.2014;3801009466;"АО ""АНХК""";№ 05-ТУ-0237-13 техническое устройство: гидрозатвор К34/3, рег. № 730. Предприятие: 665830, Иркутская обл., г. Ангарск, а/б 65 ОАО «Ангарская нефтехимическая компания» (объект А67-00371-0001);ТУ;7106503857;"ООО ""Промтехэкспертиза"" (ИНН 7106503857)";соответствует;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-04659-2014;https://monitor-pb.ru/customer/3801009466
Ангарская нефтехимическая компания;any;Ангарская нефтехимическая компания;67-ДЛ-01516-2014;27.02.2014;6311107879;"ООО НПФ ""РосНефтеГаз-Холдинг""";"проектную документацию ""На ликвидация производственного здания об. 452 цеха 39/71 Химического завода ОАО «Ангарская нефтехимическая компания»";ДЛ;7719183966;"НО АССОЦИАЦИЯ ""РОСТЕХЭКСПЕРТИЗА""";соответствует;https://monitor-pb.ru/conclusion/67-%D0%94%D0%9B-01516-2014;https://monitor-pb.ru/customer/6311107879
Ангарская нефтехимическая компания;any;Ангарская нефтехимическая компания;67-ТУ-00585-2014;05.02.2014;3801009466;"АО ""АНХК""";на Ротор центробежного компрессора К-500-61-1, поз.№ 5, установленный на объекте 1740 цеха 12/44, Химический завод ОАО «Ангарская нефтехимическая компания» (ОАО «АНХК»), г. Ангарск Иркутской области.;ТУ;7106503857;"ООО ""Промтехэкспертиза"" (ИНН 7106503857)";соответствует;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-00585-2014;https://monitor-pb.ru/customer/3801009466
