email;domain;rol;gruppa;fajl_istochnik
zakupki@adm.tver.ru;adm.tver.ru;снабжение/закупки;вход;centro/tektorg-kontakty-centro.csv
zakupki@rossorgo.ru;rossorgo.ru;снабжение/закупки;вход;centro/tektorg-kontakty-centro.csv
tender@npofakel.ru;npofakel.ru;снабжение/закупки;вход;centro/tektorg-kontakty-centro.csv
zakupki@fa.ru;fa.ru;снабжение/закупки;вход;centro/tektorg-kontakty-centro.csv
zakupki@odpts.ru;odpts.ru;снабжение/закупки;вход;centro/tektorg-kontakty-centro.csv
tender@gskb.ru;gskb.ru;снабжение/закупки;вход;centro/tektorg-kontakty-centro.csv
pto@kaes-service.ru;kaes-service.ru;производство/ПТО/ОТК;техническая;centro/aes-zakupki.csv
glmeh@tbf.ru;tbf.ru;главный механик;техническая;centro/tenderpro/tp-kartochki.csv
snab@percarbonat.ru;percarbonat.ru;снабжение/закупки;вход;centro/tenderpro/tp-kartochki.csv
tender@se-system.ru;se-system.ru;снабжение/закупки;вход;centro/tenderpro/tp-kartochki.csv
tender@russalt.ru;russalt.ru;снабжение/закупки;вход;centro/tenderpro/tp-kartochki.csv
snab@d-vs.ru;d-vs.ru;снабжение/закупки;вход;centro/tenderpro/tp-kartochki.csv
zakupki@percarbonat.ru;percarbonat.ru;снабжение/закупки;вход;centro/tenderpro/tp-kartochki.csv
tender@mosvodostok.net;mosvodostok.net;снабжение/закупки;вход;centro/dop/vodokanaly.csv
zakup@bervodokanal.ru;bervodokanal.ru;снабжение/закупки;вход;centro/dop/vodokanaly.csv
