oboznachenie;tip;sreda;rasshifrovka;uverennost
К-400-51-2;центробежный;технологический газ;центробежный компрессор К-400-51-2 (нефтехимия);высокая
К-250-61-2;центробежный;технологический газ;центробежный компрессор К-250-61-2 (нефтехимия, газопереработка);высокая
К1/1-2;не машина;не знаю;позиция по схеме (компрессор 32ВЦ-100/9М3);высокая
С-1410;не машина;не знаю;технологический индекс компрессора YORK М538 А;высокая
М538 А;центробежный;природный газ;центробежный компрессор YORK М538 А (цех переработки газа);высокая
С-140;не машина;не знаю;технологический индекс (неполный С-1400А);средняя
К354-101-1;центробежный;природный газ;центробежный компрессор К354-101-1 (ТПП Повхнефтегаз);высокая
ЛГ-35/8-30;не машина;не знаю;обозначение установки/линии (неполное ЛГ-35/8-300Б);средняя
ХТМФ-348-4000-1;центробежный;технологический газ;центробежный компрессор ХТМФ-348-4000-1 (хладоновый/фреоновый);средняя
CK-01;не машина;не знаю;технологический индекс 400-CK-01;высокая
ГФУ-1;не машина;не знаю;установка газофракционирующая (цех/участок);высокая
ЦКО-160/15;центробежный;технологический газ;центробежный компрессор 43 ЦКО-160/15 (нефтехимия);высокая
ЦК 135;центробежный;воздух;центробежный компрессор ЦК 135/8М1 (воздушный);высокая
ЦБК 1;центробежный;не знаю;центробежный компрессор ЦБК 16ГЦ2-450/26;средняя
ЦБК-1349.05-2026;не машина;не знаю;номер заключения экспертизы ЗЭ-МСПб-ЦБК-1349.05-2026;высокая
ЦБК-1350.05-2026;не машина;не знаю;номер заключения экспертизы ЗЭ-МСПб-ЦБК-1350.05-2026;высокая
Р-10/1;не машина;не знаю;отделение цеха ПМЦК;высокая
М-2/2;не машина;не знаю;позиция по схеме (встречается на разных компрессорах);высокая
М-2/3;не машина;не знаю;позиция по схеме (встречается на разных компрессорах);высокая
ЦВК-5;не машина;не знаю;цех вакуум-компрессорный, площадка производства;высокая
К 250-61-5;центробежный;технологический газ;центробежный компрессор К 250-61-5 (газокаталитическое производство);высокая
КТК 7/14;центробежный;технологический газ;центробежный компрессор КТК 7/14 (каустическое производство);средняя
КЦ-101/5;не машина;не знаю;технологический номер (позиция на компрессорной станции);высокая
К380-103-1;центробежный;природный газ;центробежный компрессор К380-103-1 (попутный нефтяной газ);высокая
УКГ-2;не машина;не знаю;установка компримирования газа, площадка/участок;высокая
Кларк 55;центробежный;природный газ;центробежный компрессор Кларк 553В6 (переработка попутного нефтяного газа);высокая
УПГ-2;не машина;не знаю;установка переработки газа, площадка/участок;высокая
УПГ-1;не машина;не знаю;установка переработки газа, площадка/участок;высокая
АТКА-735-4000;центробежный;воздух;центробежный воздушный компрессор АТКА-735-4000;высокая
VR 200/490;центробежный;технологический газ;центробежный компрессор 5(7)VR 200/490G (каталитический риформинг);высокая
ЛГ-35/11-300;не машина;не знаю;установка каталитического риформинга бензинов;высокая
К-525;центробежный;не знаю;турбокомпрессор К-525;средняя
К1290-121-1М2;центробежный;природный газ;центробежный компрессор К1290-121-1М2 (газохимзавод, установка компрессии);высокая
К-890-121-1;центробежный;природный газ;центробежный компрессор К-890-121-1 (переработка попутного нефтяного газа);высокая
КЦ-101/2;не машина;не знаю;технический номер компрессора К-890-121-1;высокая
М-2/4;не машина;не знаю;позиция компрессора по схеме;высокая
Р-10/2;не машина;не знаю;обозначение отделения в цехе ПМЦК;высокая
ХТК-2,5/3,5;центробежный;технологический газ;центробежный компрессор холодильный, применяется в хлорном производстве;средняя
С-471-В;не машина;не знаю;позиция компрессора по схеме;высокая
С-471-Д;не машина;не знаю;позиция компрессора по схеме;высокая
К 890-121-1;центробежный;природный газ;центробежный компрессор для попутного нефтяного газа на УППНГ;высокая
КЦ-101/2 УППНГ;не машина;не знаю;технический номер компрессора с указанием площадки УППНГ;высокая
ТКV-324;центробежный;технологический газ;центробежный компрессор на установке гидроочистки дизельного топлива;средняя
RD9-8;центробежный;технологический газ;центробежный компрессор на установке газоразделения;средняя
С3000-С45;центробежный;воздух;центробежный воздушный компрессор Centac для установки АКП;высокая
П-4/1;не машина;не знаю;обозначение отделения установки АКП;высокая
П-4/2;не машина;не знаю;обозначение отделения установки АКП;высокая
КЦ-101/3 УППНГ;не машина;не знаю;технический номер компрессора с указанием площадки УППНГ;высокая
КССГ-1;не машина;не знаю;обозначение площадки компрессорной станции сухого газа;высокая
КССГ-2;не машина;не знаю;обозначение площадки компрессорной станции сухого газа;высокая
СПЧ 370-76-1,24;центробежный;не знаю;ротор центробежного нагнетателя, серия СПЧ;низкая
РТКВ-200-4М;центробежный;технологический газ;центробежный компрессор на установке производства газокаталитического;средняя
К-890-122-1;центробежный;природный газ;центробежный компрессор для попутного нефтяного газа на ГПЗ;высокая
КЦ-201/2;не машина;не знаю;технический номер компрессора К-890-122-1;высокая
УКГ-1;не машина;не знаю;обозначение установки компримирования газа;высокая
КЦ-101/3;не машина;не знаю;технический номер компрессора;высокая
ВД-301;не машина;не знаю;технологический индекс компрессора РТКВ-200-4М;высокая
КЦ-101/1;не машина;не знаю;технический номер компрессора;высокая
КЦ-101/1 УППНГ;не машина;не знаю;технический номер компрессора с указанием площадки УППНГ;высокая
КМ-300;не машина;не знаю;технический номер компрессора ТКА-Ц-16/76;высокая
КМ-200;не машина;не знаю;технический номер компрессора ТКА-Ц-16/76;высокая
ПХУ-2;не машина;не знаю;обозначение площадки хранения углеводородов;высокая
ЛГ-35-11/300-95;не машина;не знаю;обозначение установки каталитического риформинга;высокая
ПФУ-3 АО;не машина;не знаю;обозначение цеха производства фторуглеродов;высокая
GB732;не машина;не знаю;часть технологического индекса компрессора;высокая
ЦК-135-8С;центробежный;не знаю;центробежный компрессор для технологических нужд;низкая
К500-61-5;центробежный;технологический газ;центробежный компрессор на установке АКП;средняя
КЦ-102/2;не машина;не знаю;технический номер компрессора;высокая
БП59-ТУ;не машина;не знаю;номер заключения экспертизы;высокая
АТКФ-348;центробежный;технологический газ;центробежный компрессор хлорный, применяется в производстве фторполимеров;средняя
ХТМФ-348-4000;центробежный;технологический газ;центробежный компрессор холодильный для производства фторполимеров;средняя
C-710;не машина;не знаю;позиция компрессора по схеме;высокая
ЦВК-3;не машина;не знаю;обозначение цеха воздушных компрессоров или установки;высокая
ЦК 115/9;центробежный;не знаю;центробежный компрессор для технологических нужд;низкая
EBARA 400;центробежный;технологический газ;центробежный компрессор EBARA 400TE05M для производства акриловой кислоты;средняя
ГПП-2;не машина;не знаю;обозначение площадки газоперерабатывающего производства;высокая
С-103;не машина;не знаю;технологическая позиция по схеме;высокая
У-171;не машина;не знаю;номер установки;высокая
К-1500-62-2;центробежный;воздух;воздушный центробежный компрессор К-1500-62-2;высокая
ТК-403/1;не машина;не знаю;технологическая позиция по схеме;высокая
М-2/1;не машина;не знаю;позиция машины по схеме;высокая
Р-10/1 АО;не машина;не знаю;обозначение отделения предприятия;высокая
К-250;центробежный;не знаю;центробежный компрессор К-250;средняя
КЦ-102/1;не машина;не знаю;технологическая позиция по схеме;высокая
Н2470-31-1;центробежный;технологический газ;центробежный компрессор для каталитического крекинга;средняя
С 12051;не машина;не знаю;заводской номер компрессора;высокая
А53-04576-0001;не машина;не знаю;регистрационный номер объекта;высокая
J-1501;не машина;не знаю;технологическая позиция по схеме;высокая
J-1101;не машина;не знаю;технологическая позиция по схеме;высокая
С-386;не машина;не знаю;заводской номер компрессора;высокая
MITSUBISHI 4;центробежный;технологический газ;центробежный компрессор MITSUBISHI 4V-7C КВД для производства метанола;высокая
MITSUBISHI 5;центробежный;технологический газ;центробежный компрессор MITSUBISHI 5V-6 КНД для производства метанола;высокая
С-385;не машина;не знаю;заводской номер компрессора;высокая
Л-35/11-1000;не машина;не знаю;номер установки каталитического риформирования;высокая
ТК-10;не машина;не знаю;технологическая позиция по схеме;высокая
К-901;не машина;не знаю;технологический индекс компрессорной установки;высокая
ГЦ-86/3-7,1-У2;центробежный;не знаю;центробежный компрессор ГЦ-86/3-7,1-У2;средняя
ЛЧ-35/11-600 ООО;не машина;не знаю;номер установки производства моторных топлив;высокая
ТК-601;не машина;не знаю;технологическая позиция по схеме;высокая
ЛФ-35-21/1000 ООО;не машина;не знаю;номер установки каталитического риформинга;высокая
BCL 605;центробежный;водород;центробежный компрессор BCL 605 для каталитического риформинга;средняя
ТК-801/3;не машина;не знаю;технологическая позиция по схеме;высокая
ТК-201/1;не машина;не знаю;технологическая позиция по схеме;высокая
КЦ-201/1;не машина;не знаю;технологическая позиция по схеме;высокая
УКиОГ-2;не машина;не знаю;обозначение установки компримирования и осушки газа;высокая
ЦБК-1347.05-2026;не машина;не знаю;номер заключения экспертизы;высокая
ЦБК-1351.05-2026;не машина;не знаю;номер заключения экспертизы;высокая
ЦБК-1346.05-2026;не машина;не знаю;номер заключения экспертизы;высокая
ЦБК-1348.05-2026;не машина;не знаю;номер заключения экспертизы;высокая
К-1001;не машина;не знаю;технологическая позиция по схеме;высокая
ВK-101/1;не машина;не знаю;технологическая позиция по схеме;высокая
С-0047-26;не машина;не знаю;номер заключения экспертизы;высокая
GA 425/7;центробежный;не знаю;центробежный компрессор GA 425/7 BORSIG;средняя
М-303;не машина;не знаю;позиция машины по схеме;высокая
КЦ-101/4;не машина;не знаю;технологический номер позиции компрессора К-380-103-1 или К890-121-1;высокая
А68-00341-0025;не машина;не знаю;регистрационный номер опасного производственного объекта;высокая
С-302;не машина;не знаю;позиция сепаратора на приеме компрессора;высокая
НПС 200-700;центробежный;не знаю;центробежный компрессор на установке СБОУУ2;средняя
Н-204;не машина;не знаю;технологический индекс позиции компрессора НПС 200-700;высокая
СБОУУ2;не машина;не знаю;обозначение технологического блока установки;высокая
А41-05559-0001 I;не машина;не знаю;регистрационный номер ОПО с указанием класса опасности;высокая
К-270-61-1;центробежный;технологический газ;центробежный компрессор на установке гидрокрекинга;средняя
К-100;не машина;не знаю;обозначение не встречается в приведенных строках реестра;высокая
ПМН-2/1;насос;не знаю;пусковой маслонасос к компрессору К890-121-1;высокая
К890-121-1;центробежный;природный газ;центробежный компрессор попутного нефтяного газа;высокая
ПМН-2/2;насос;не знаю;пусковой маслонасос к компрессору К890-121-1;высокая
ПМН-3/2;насос;не знаю;пусковой маслонасос к компрессору К890-121-1;высокая
ПМН-3/1;насос;не знаю;пусковой маслонасос к компрессору К890-121-1;высокая
ПМН-4/1;насос;не знаю;пусковой маслонасос к компрессору К890-121-1;высокая
ПМН-4/2;насос;не знаю;пусковой маслонасос к компрессору К890-121-1;высокая
ПМН-5/1;насос;не знаю;пусковой маслонасос к компрессору К890-121-1;высокая
ПМН-5/2;насос;не знаю;пусковой маслонасос к компрессору К890-121-1;высокая
КЦ-202;не машина;не знаю;технологический номер позиции компрессора 4ГЦ2-109/18-76;высокая
К-15-41-1;не машина;не знаю;паровая турбина привода компрессора К1290-121-1;высокая
К1290-121-1;центробежный;не знаю;центробежный компрессор на установке компрессии ГХЗ;средняя
УКиОГ-1;не машина;не знаю;название установки компрессии и обработки газа;высокая
ЦВК-2;не машина;не знаю;обозначение установки центробежного воздушного компрессора;высокая
У-380;не машина;не знаю;номер технологической установки;высокая
НИМ-86.001;не машина;не знаю;заводской номер модернизированной проточной части компрессора;высокая
ЦК-02;не машина;не знаю;позиция центробежного компрессора Н48-41-1М;высокая
Н48-41-1М;центробежный;не знаю;центробежный компрессор с модернизированной проточной частью;средняя
Н-95-81-1;центробежный;технологический газ;центробежный компрессор высокого давления на производстве минудобрений;средняя
К4.3-40.8;не машина;не знаю;паровая турбина привода компрессора Н-95-81-1;высокая
К-601;не машина;не знаю;технологический номер трехступенчатой компрессорной установки;высокая
ЦНД-553-В9;центробежный;технологический газ;центробежный компрессор низкого давления трехступенчатой установки на производстве минудобрений;средняя
ЦСД-373-В5;центробежный;технологический газ;центробежный компрессор среднего давления трехступенчатой установки на производстве минудобрений;средняя
ЦВД-272-В7;центробежный;технологический газ;центробежный компрессор высокого давления трехступенчатой установки на производстве минудобрений;средняя
К-602;не машина;не знаю;технологический индекс двухступенчатой компрессорной установки;высокая
К-301;не машина;не знаю;технологический индекс компрессора 2ГЦ2-40/51-60 на газокаталитической установке;высокая
КН-0970-24;не машина;не знаю;номер заключения экспертизы промышленной безопасности;высокая
RD6-4;центробежный;природный газ;центробежный компрессор на газоперерабатывающем заводе;средняя
ЦВК-4 ТЭК;не машина;не знаю;обозначение установки центробежного воздушного компрессора ТЭК;высокая
КМ80-65-16;насос;не знаю;центробежный консольный моноблочный электронасос;высокая
А41-05559-0005 I;не машина;не знаю;регистрационный номер ОПО с указанием класса опасности;высокая
КН-0780-23;не машина;не знаю;Номер заключения экспертизы промышленной безопасности;высокая
CBF-742;центробежный;не знаю;Центробежный компрессор Dresser-Rand модель CBF-742;средняя
C-160;не машина;не знаю;Технологическая позиция компрессора C-160A по схеме;высокая
ЦПГ-1;не машина;не знаю;Обозначение площадки газоперерабатывающего завода;высокая
ЦВК-3 ТЭК;не машина;не знаю;Обозначение установки или цеха с центробежными воздушными компрессорами;высокая
ПМН-1/1;насос;не знаю;Пусковой маслонасос к центробежному компрессору;высокая
А41-00050-0001;не машина;не знаю;Регистрационный номер площадки в государственном реестре;высокая
ТМ1500;центробежный;природный газ;Центробежный компрессор для компрессорной станции магистрального газопровода;высокая
У-274;не машина;не знаю;Номер технологической установки;высокая
GG195;насос;не знаю;Вспомогательный шестеренчатый маслонасос;высокая
LMC331;центробежный;не знаю;Центробежный компрессор модели LMC331F;средняя
Л-24-5;не машина;не знаю;Обозначение технологического трубопровода или цеха;средняя
А54-00438-0095;не машина;не знаю;Регистрационный или инвентарный номер оборудования;высокая
А19-10619-0039 II;не машина;не знаю;Регистрационный номер опасного производственного объекта;высокая
RC5-4;центробежный;не знаю;Центробежный компрессор RC5-4B;средняя
LMC-311;центробежный;не знаю;Центробежный компрессор модели LMC-311P;средняя
Г-43-107;не машина;не знаю;Обозначение комбинированной установки каталитического крекинга;высокая
ЦК-301;не машина;не знаю;Технологическая позиция центробежного компрессора;высокая
ЦК-201/2;не машина;не знаю;Технологическая позиция центробежного нагнетателя;высокая
П 32/15-101/41,5;не машина;не знаю;Обозначение приводной паровой турбины компрессора;высокая
У-174;не машина;не знаю;Номер технологической установки;высокая
RC9-8;центробежный;не знаю;Центробежный компрессор Cooper Bessemer RC9-8B;средняя
К1500-62-2;центробежный;воздух;Центробежный воздушный компрессор К1500-62-2;высокая
А26-00430-0027;не машина;не знаю;Регистрационный номер опасного производственного объекта;высокая
М-303/4;не машина;не знаю;Технологическая позиция компрессора;средняя
Н-63/3;не машина;не знаю;Технологическая позиция центробежного компрессора;высокая
К485-61-1М2;центробежный;технологический газ;Центробежный компрессор каталитического производства;средняя
Н-63/4;не машина;не знаю;Технологическая позиция центробежного компрессора;высокая
А 19-10619-0067;не машина;не знаю;Регистрационный номер опасного производственного объекта;высокая
К-905-61-1;центробежный;воздух;Центробежный воздушный компрессор К-905-61-1;высокая
А53-00301-0006;не машина;не знаю;Регистрационный номер опасного производственного объекта;высокая
ВСН606;центробежный;не знаю;Центробежный компрессор модели ВСН606;средняя
ЦК-301/1;не машина;не знаю;Технологическая позиция центробежного компрессора;высокая
ЦК-201/1;не машина;не знаю;Технологическая позиция центробежного нагнетателя;высокая
ЦК-201/3;не машина;не знаю;Технологическая позиция центробежного нагнетателя;высокая
ЦК-301/2;не машина;не знаю;Технологическая позиция центробежного компрессора;высокая
А26-00430-0040;не машина;не знаю;Регистрационный номер опасного производственного объекта;высокая
BCL 306;центробежный;не знаю;Часть обозначения центробежного компрессора марки 7 RMA 62+2 BCL 306A;средняя
RMA 62;центробежный;не знаю;Часть обозначения центробежного компрессора марки 7 RMA 62;средняя
К-102;не машина;не знаю;Технологический номер центробежного компрессора;высокая
М6014;не машина;не знаю;позиция по схеме центробежного компрессора GM-35ST;высокая
GM-35;центробежный;воздух;центробежный компрессор на участке очистки сточных вод;высокая
А56-70996-0034;не машина;не знаю;регистрационный номер заключения или объекта;высокая
В-1/3;не машина;не знаю;позиция по схеме компрессора К-250-61-5;высокая
R-393 ВЕСНА;центробежный;не знаю;турбокомпрессор, цех СК Нижнекамскнефтехим;средняя
ЛЧ 35/11-1000;не машина;не знаю;обозначение установки каталитического риформинга;высокая
МА 9,5;не машина;не знаю;маслоотделитель/маслоохладитель компрессора К-250-61;высокая
МР 9,5;не машина;не знаю;маслоотделитель компрессора К-250-61-5;высокая
А26-00430-00040;не машина;не знаю;регистрационный номер;высокая
А19-10619-0039;не машина;не знаю;регистрационный номер;высокая
Р-393;центробежный;не знаю;турбокомпрессор ТК-Р-393;средняя
S1.3.9;не машина;не знаю;позиция сепаратора 3-й ступени компрессора;высокая
S1.3.8;не машина;не знаю;позиция сепаратора 2-й ступени компрессора;высокая
GS 425/6;центробежный;не знаю;центробежный компрессор на установке КТУ ПГИБ;средняя
КВД 4;центробежный;не знаю;компрессор высокого давления Mitsubishi 4V-7C;высокая
КНД 5;центробежный;не знаю;компрессор низкого давления Mitsubishi 5V-6;высокая
У-330;не машина;не знаю;номер технологической установки;высокая
GS 425/5;центробежный;не знаю;центробежный компрессор на установке КТУ ПГИБ;средняя
BCL-603;центробежный;технологический газ;центробежный компрессор на установке ЖЕКСА;средняя
К-201;не машина;не знаю;позиция компрессора по схеме;высокая
BCL-406;центробежный;не знаю;центробежный компрессор в составе компрессорной установки;средняя
BCL-404;центробежный;не знаю;центробежный компрессор в составе компрессорной установки;средняя
С12260 ОПО;не машина;не знаю;заводской номер с указанием ОПО;высокая
С12259;не машина;не знаю;заводской номер компрессора;высокая
С12257 ОПО;не машина;не знаю;заводской номер с указанием ОПО;высокая
С12258;не машина;не знаю;заводской номер компрессора;высокая
М-104/3;не машина;не знаю;позиция по схеме компрессора АТКП-435-1600;высокая
М-104/5;не машина;не знаю;позиция по схеме компрессора АТКП-435-1600;высокая
М-112/1;не машина;не знаю;позиция по схеме компрессора АТКП-335-2000;высокая
АТКП-335-2000;центробежный;не знаю;агрегат турбокомпрессорный промышленный;высокая
Д320-50;не знаю;не знаю;оборудование в перечне с насосом и углесосом, тип не определён;низкая
ГИСТ72-2;не знаю;не знаю;оборудование в перечне с насосом и углесосом, тип не определён;низкая
ШН250-34;не знаю;не знаю;оборудование в перечне с насосом и углесосом, тип не определён;низкая
У900/90;вентилятор;воздух;углесос (дымосос) для транспорта угольной пыли и газов;высокая
НЦС180-340;насос;не знаю;насос центробежный секционный;высокая
ЕСР 630-250;не знаю;не знаю;оборудование в перечне с насосом и углесосом, тип не определён;низкая
LMC-331;центробежный;не знаю;вертикальный центробежный компрессор на ОПУ КР Петрофак;средняя
УТНГП-249-НКО;не машина;не знаю;номер заключения экспертизы;высокая
УТНГП-250-НКО;не машина;не знаю;номер заключения экспертизы;высокая
А18-00055-0007 ПАО;не машина;не знаю;регистрационный номер с указанием ПАО;высокая
ЦВК-1;не машина;не знаю;Номер установки (площадки), а не марка компрессора;высокая
ВЦ-100/9;центробежный;не знаю;Центробежный компрессор серии ВЦ;средняя
RC7-6;центробежный;не знаю;Центробежный компрессор Thermodyne серии RC;средняя
Э-200-31-1;центробежный;технологический газ;Центробежный компрессор для установки получения формальдегида;высокая
ТК-0109-НКО;не машина;не знаю;Номер заключения экспертизы;высокая
Н900-31-4М;центробежный;природный газ;Центробежный нагнетатель природного газа;высокая
КТ-1/1;не машина;не знаю;Позиция по схеме или номер установки;высокая
УТНГП-673-НКО;не машина;не знаю;Номер заключения экспертизы;высокая
LMV-33;центробежный;не знаю;Вертикальный центробежный компрессор Sundyne серии LMV;средняя
ЦК-403/2;не машина;не знаю;Позиция по схеме;высокая
Г-39/40;не машина;не знаю;Обозначение установки депарафинизации;высокая
ЦК-20;не машина;не знаю;Позиция по схеме;высокая
ПК-1,2,3;не машина;не знаю;Номера позиций оборудования;высокая
А41-05559-001,1 I;не машина;не знаю;Регистрационный номер ОПО;высокая
Л-35-11/1000;не машина;не знаю;Обозначение установки газокаталитического производства;высокая
СЗСК-23;не машина;не знаю;Номер заключения экспертизы;высокая
ТК-2 Р;центробежный;не знаю;Центробежный компрессор Сулика серии ТК-2Р;средняя
ТК-0112-НКО;не машина;не знаю;Номер заключения экспертизы;высокая
ТК-0113-НКО;не машина;не знаю;Номер заключения экспертизы;высокая
ТК-0139-НКО;не машина;не знаю;Номер заключения экспертизы;высокая
TKE 14.17,4/06 ГУСТА;центробежный;не знаю;Центробежный компрессор Густа-Е;средняя
М-148/3;не машина;не знаю;Технический номер позиции;высокая
ТК-1678-ТУ;не машина;не знаю;Номер заключения экспертизы;высокая
Н70-51-1;центробежный;не знаю;Центробежный компрессор серии Н;средняя
А44-31171-0017;не машина;не знаю;Регистрационный номер ОПО;высокая
ТК-0125-НКО;не машина;не знаю;Номер заключения экспертизы;высокая
ЦНД 2;не машина;не знаю;Обозначение цилиндра низкого давления в составе двухкорпусного компрессора;высокая
А53-01507-0003;не машина;не знаю;Регистрационный номер ОПО;высокая
ЦВД 2;не машина;не знаю;Обозначение цилиндра высокого давления в составе двухкорпусного компрессора;высокая
BCL 607;центробежный;не знаю;Центробежный компрессор серии BCL;средняя
EHNK-50/45;не машина;не знаю;Паровая турбина-привод компрессора;высокая
No 001-2026-009/087;не машина;не знаю;Номер заключения экспертизы;высокая
А62-05642-0001;не машина;не знаю;Регистрационный номер ОПО;высокая
ЦК-402/1;не машина;не знаю;Позиция по схеме;высокая
М-902;не машина;не знаю;Технический номер позиции;высокая
ХТК-2,5/3,5 М;центробежный;технологический газ;Центробежный хлорный компрессор для производства каустической соды;высокая
К-345-92-1;центробежный;не знаю;Центробежный турбокомпрессор серии К;средняя
А43 04198;не машина;не знаю;Регистрационный номер ОПО;высокая
GВ-352;не машина;не знаю;Технический номер позиции;высокая
М-902 III;не машина;не знаю;Технический номер позиции;высокая
АТКА-445;центробежный;не знаю;Турбокомпрессор центробежный АТКА-445, среда не указана в строках реестра;средняя
ERP65-315;насос;не знаю;Центробежный маслонасос, обслуживает систему смазки компрессора;высокая
ТМП-6-20;не знаю;не знаю;Не хватает контекста, упомянут в составе оборудования турбокомпрессора;низкая
Г-11-24;не знаю;не знаю;Не хватает контекста, упомянут в составе оборудования турбокомпрессора;низкая
No 20;не машина;не знаю;Заводской номер турбины К6-30П;высокая
No 1.47700;не машина;не знаю;Заводской номер компрессора 5ЦД-208/30-45М;высокая
НШ280-5;насос;не знаю;Вероятно шестеренный насос НШ280-5;средняя
SNS 80 36;насос;не знаю;Винтовой насос SNS (возможно маслонасос);средняя
ERP65-135;насос;не знаю;Центробежный маслонасос, обслуживает систему смазки компрессора;высокая
ERP65;насос;не знаю;Центробежный маслонасос серии ERP (усеченное обозначение);высокая
MO1294;не машина;не знаю;Часть заводского номера компрессора CL.MO1294RC;высокая
MO1292;не машина;не знаю;Часть заводского номера компрессора CL.MO1292RC;высокая
ЗС-5947-2023;не машина;не знаю;Номер заключения экспертизы ЭПБ-ЗС-5947-2023;высокая
ЦК-402/3;не машина;не знаю;Технологический номер позиции компрессора АТКП-435-1600 на схеме;высокая
ТСП-1;не машина;не знаю;Обозначение установки или участка, не марка компрессора;высокая
НПЧ-208/30-4;не знаю;не знаю;Часть обозначения компрессора 5ЦД-НПЧ-208/30-45М, неполная марка;средняя
ТСП-2;не машина;не знаю;Обозначение установки или участка, не марка компрессора;высокая
TKd 7/18;центробежный;не знаю;Турбокомпрессор TKd 7/18, среда не указана;средняя
ХТМФ-23;центробежный;технологический газ;Центробежный компрессор ХТМФ-235М для технологического газа;высокая
К-210-62;центробежный;воздух;Центробежный компрессор К-210-62-1м воздушный;высокая
ТАТКА-545-345;центробежный;не знаю;Турбокомпрессор центробежный ТАТКА-545-345, среда не указана;средняя
М-15 АО;не машина;не знаю;Технологическая позиция компрессора 1,6МК-12/64-М2 на схеме;высокая
М-3 АО;не машина;не знаю;Технологическая позиция компрессора 1,6МК-12/64-М2 на схеме;высокая
ЛСИ-200;не машина;не знаю;Обозначение установки, не марка компрессора;высокая
