inn;name;name_obzvon;division;segment;okved;okved_all;region;address;egrul_status;director;revenue_rub;revenue_h;priority_max;priority_total;equipment;site;activity;is_competitor;verified;best_email;contacts;contacts_n;phones;signals_n;hotness_max;news_event;news_what;news_url;stages;in_obzvon;in_sender;sent_n;sent_last
5027130197;;"АО ""ЛЮБЕРЕЦКИЙ ВОДОКАНАЛ""";;;;37.00|36.00.1|11.07.1|11.07.2|28.29.1|33.12|33.13|33.14|33.20|36.00|41.20|42.21|42.22.1|42.22.2|42.91|42.91.2|42.91.4|42.99|43.12.3|43.21|43.22|43.29|43.99|43.99.2|43.99.3|43.99.4|43.99.5|43.99.6|62.01|62.02|71.20;;"140000, Московская область, г. Люберцы, пр-кт Октябрьский, д. 213""а""";Действующая компания;;3200000000.0;3,2 млрд руб.;4;47;Промышленные компрессоры от 200 000 ₽ | Рентген-детекторы и рентген-инспекционные системы | Генераторы азота | Генераторы кислорода | МКС — мобильные компрессорные станции | МКС — модульные или блочно-компрессорные станции;;;;;;;;;;;;;;;1;;;
2221064060;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАРНАУЛЬСКИЙ ВОДОКАНАЛ""";"ООО ""БАРНАУЛЬСКИЙ ВОДОКАНАЛ""";;;;37.00|36.00.2|46.90|35.22|35.3|36.0|36.00.1|38.32.5|42.21|42.22.1|42.22.2|42.99|43.22|45.20|46.74.2|49.41.3|73.11|74.90.6;Барнаул;656037, Алтайский край, г. Барнаул, пр-кт Калинина, д. 116;Действующая компания;;3100000000.0;3,1 млрд руб.;5;34;Промышленные компрессоры от 200 000 ₽ | Фотосепараторы | Генераторы кислорода | МКС — мобильные компрессорные станции | МКС — модульные или блочно-компрессорные станции;;;0;;office_brn@rosvodokanal.ru;office_brn@rosvodokanal.ru|общий|;1;[];;;;;;email,site_cand;1;;;
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";"СГМУП ""ГВК""";;;;37.00|36.00.2|36.00.1|38.21|11.07|86.21|43.22;Сургут;628422, Ханты-Мансийский автономный округ - Югра, г. Сургут, ул. Аэрофлотская, д. 4;Действующая компания;Бондаренко Григорий Анатольевич;3000000000.0;3 млрд руб.;4;21;Промышленные компрессоры от 200 000 ₽ | Рентген-детекторы и рентген-инспекционные системы | Генераторы кислорода;;;0;;;;;[];;;;;;site_cand;1;;;
2370011145;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЧИСТЫЙ ДВОР""";"ООО ""ЧИСТЫЙ ДВОР""";;;37.00 Сбор и обработка сточных вод;37.00|26.11.3|26.51.7|27.12|27.90|33.14|33.20|38.11|38.12|38.32.5|43.21|43.29|46.41|46.42|62.01|71.12.45|71.12.53|71.20.9|72.19|81.10|81.29.9|82.99|96.09;Москва;129329, г. Москва, вн. тер. г. муниципальный округ Свиблово, ул. Вересковая, д. 1, к. 1, помещ. 10/1;Действующая компания;Камардина Вероника Яковлевна;2900000000.0;2,9 млрд руб.;4;12;Фотосепараторы | Генераторы азота | Генераторы кислорода;ch-dvor.ru;вывоз и утилизация жидких бытовых отходов, обслуживание туалетных комплексов РЖД;0;provider;chistyy.dvor@inbox.ru;chistyy.dvor@inbox.ru|общий|;1;"[""86348642749""]";;;;;;activity,email,phone,site,verify;1;;;
1650297657;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЧЕЛНЫВОДОКАНАЛ""";"ООО ""ЧЕЛНЫВОДОКАНАЛ""";;;;37.00|20.59.4|36.00.1|36.00.2|42.21|49.41.2|71.20.1|11.07.2|23.52.1|33.13|35.12|36.00|42.22.1|42.22.2|43.12.3|45.11.2|45.11.3|45.19.2|45.19.3|45.20.2|46.90|47.9|49.41.1|52.21.24|56.29|71.12|86.90.9;Набережные;423800, Республика Татарстан, г. Набережные Челны, Хлебный проезд, д. 27;Действующая компания;;2900000000.0;2,9 млрд руб.;4;46;Промышленные компрессоры от 200 000 ₽ | Рентген-детекторы и рентген-инспекционные системы | Генераторы азота | Генераторы кислорода | МКС — мобильные компрессорные станции | МКС — модульные или блочно-компрессорные станции;chelnyvodokanal.ru;;0;phone;compliance@kamaz.org;"compliance@kamaz.org|общий| ; drp@chvk.kamaz.net|общий| ; kanc@chvk.kamaz.net|общий|";3;[];;;;;;email,site,verify;1;;;
3807000276;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОКАНАЛ"" Г.ИРКУТСКА";"МУП ""ВОДОКАНАЛ"" Г.ИРКУТСКА";kc;новостные;37.00;37.00|36.00.2|42.21|43.22|52.21.29|68.20.29|71.20.1|96.09.9|33.12|35.30.14|35.30.2|35.30.3|43.29|43.99.7|46.90|71.11|71.12.41;Иркутск;664081, Иркутская область, г. Иркутск, ул. Станиславского, д. 2;Действующая компания;Ващенко Сергей Витальевич;2800000000.0;2,8 млрд руб.;4;38;Промышленные компрессоры от 200 000 ₽ | Генераторы азота | Генераторы кислорода | МКС — мобильные компрессорные станции | МКС — модульные или блочно-компрессорные станции;irkvkx.ru;Услуги водоснабжения, водоотведения и ремонтно-строительные работы инженерного оборудования.;0;provider;gubina_ed@irkvkx.ru;"gerelovich_td@irkvkx.ru|снабжение/закупки|Герелович Т. ; secretar@irkvkx.ru|приёмная|Молостова А. ; sudomoikin_sa@irkvkx.ru|снабжение/закупки|Судомойкин С. ; gubina_ed@irkvkx.ru|снабжение/закупки|Губина Е. ; urzhumova_ea@irkvkx.ru|снабжение/закупки|Уржумова Елена Александровна";5;"[""+7 (3952) 500-248 (информационный центр)"", ""+7 (3952) 21-46-46 (информационный центр)"", ""+7 (3952) 22-82-71 (диспетчер, круглосуточно)"", ""+7 (3952) 22-82-70 (диспетчер, круглосуточно)"", ""+7 (3952) 21-46-50 (запись на приём)""]";1;3;наём в компрессорную;МУП Водоканал г.Иркутска: Оператор по обслуживанию песчаных фильтров (5 разряда);https://hh.ru/search/vacancy?text=%D0%BE%D0%BF%D0%B5%D1%80%D0%B0%D1%82%D0%BE%D1%80%20%D0%BA%D0%BE%D0%BC%D0%BF%D1%80%D0%B5%D1%81%D1%81%D0%BE%D1%80%D0%BD%D0%BE%D0%B9%20%D1%83%D1%81%D1%82%D0%B0%D0%BD%D0%BE%D0%B2%D0%BA%D0%B8;best_email_v2,checko,crawl,email,etp,hh,phone,site,site_cand,verify;1;1;;
5047081156;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ХИМКИНСКИЙ ВОДОКАНАЛ""";"ОАО ""ХИМКИНСКИЙ ВОДОКАНАЛ""";kc;;37.00;37.00|36.00.2|42.21|42.22.1|42.22.2|43.22|68.32.1|68.32.2;;141501, Московская область, г. Химки, Нагорное шоссе, д. 5;Действующая компания;;2500000000.0;2,5 млрд руб.;4;22;Промышленные компрессоры от 200 000 ₽ | Генераторы кислорода | МКС — мобильные компрессорные станции | МКС — модульные или блочно-компрессорные станции;;;0;;;;;;;;;;;checko,etp;1;;;
8904046652;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""УРЕНГОЙГОРВОДОКАНАЛ""";"АО ""УГВК""";kc;;37.00;37.00|36.00.1|08.99|35.30.3|35.30.4|36.00|36.00.2|41.2|41.20|42.11|42.21|42.22.2|42.22.3|42.91|42.99|43.11|43.12|43.12.3|43.2|43.21|43.22|43.29|43.3|43.31|43.32|43.33|43.34|43.39|43.91|43.99|46.90|49.39.39|49.41|49.5|52.10|52.29|64.99.6|68.31.2|68.31.3|68.31.4|71.12.6|71.20.1|71.20.8|71.20.9|77.11|77.12|77.32|82.99;Ямало-Ненецкий автономный округ;629306, Ямало-Ненецкий автономный округ, г. Новый Уренгой, ул. Юбилейная, д. 5, офис 1;Действующая компания;;2300000000.0;2,3 млрд руб.;5;70;Промышленные компрессоры от 200 000 ₽ | Фотосепараторы | Генераторы азота | Генераторы кислорода | МКС — мобильные компрессорные станции | МКС — модульные или блочно-компрессорные станции;;;0;;;;;;;;;;;checko,etp;1;;;
2130017760;;"АО ""ВОДОКАНАЛ""";;;;37.00|36.00.2|36.00;;428024, Чувашская Республика - Чувашия, г. Чебоксары, Мясокомбинатский проезд, д. 12;Действующая компания;Васильев Владимир Сергеевич;2300000000.0;2,3 млрд руб.;4;10;Промышленные компрессоры от 200 000 ₽ | Генераторы кислорода;;;;;;;;;;;;;;;1;;;
7726445108;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОСКОМСТРОЙ""";"ООО ""МОСКОМСТРОЙ""";kc;;37.00;37.00|38.12|38.22|41.10|41.20|42.21|42.91|46.64|46.69|46.90|47.52.7|52.29|71.11|71.12|77.11|77.31|77.32|77.39.11|81.30;Москва;117525, г. Москва, вн. тер. г. муниципальный округ Чертаново Центральное, ул. Днепропетровская, д. 3, к. 5А, помещ. 1Н/5;Действующая компания;;2000000000.0;2 млрд руб.;5;24;Промышленные компрессоры от 200 000 ₽ | Генераторы кислорода | МКС — мобильные компрессорные станции | МКС — модульные или блочно-компрессорные станции;;;0;;;;;;;;;;;checko,etp;1;;;
6623034200;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВОДОКАНАЛ-НТ""";"ООО ""ВОДОКАНАЛ-НТ""";kc;;37.00;37.00|36.00.2|35.30.2|36.00|42.21|42.22.1|42.22.2|42.91.2|43.99.3|49.50.3|68.32|82.99|86|86.90.9;;622001, Свердловская область, г. Нижний Тагил, ул. Красноармейская, д. 45А;Действующая компания;Таран Вячеслав Владимирович;2000000000.0;2 млрд руб.;5;48;Промышленные компрессоры от 200 000 ₽ | Генераторы кислорода | МКС — мобильные компрессорные станции | МКС — модульные или блочно-компрессорные станции;;;0;;emitina@voda-nt.ru;emitina@voda-nt.ru|снабжение/закупки|Митина Е.;1;;;;;;;best_email_v2,checko,etp;1;;;
3327143997;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАРОМЕМБРАННАЯ ТЕХНОЛОГИЯ - СЕРВИС""";"ООО ""БМТ - СЕРВИС""";kc;;37.00;37.00|28.29.12|46.90|22.29.2|26.51.5|26.51.6|26.51.7|28.29.1|33.12|33.13|33.20|36.00.1|41.20|42.99|43.12.3|43.21|43.91|43.99.7|46.69.9|47.59.9|49.41.2|71.11|71.12.12|72.19;;600029, Владимирская область, г. о. город Владимир, г. Владимир, ул. Куйбышева, д. 28Д;Действующая компания;Ерогин Иван Александрович;1900000000.0;1,9 млрд руб.;4;24;Промышленные компрессоры от 200 000 ₽ | Генераторы азота | Генераторы кислорода | МКС — мобильные компрессорные станции;;;0;;;;;;;;;;;checko,etp;1;;;
0326540932;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОКАНАЛ"" ГОРОДА УЛАН-УДЭ";"МУП ""ВОДОКАНАЛ""";kc;;37.00;37.00|35.30.14|36.00.2|35.30|35.30.1|35.30.2|35.30.3|35.30.4|35.30.5|36.00|36.00.1|38.21|41.10|41.20|42.21|42.22.1|42.22.2|43.21|43.99|49.3|52.21.24|64.99.3|68.20|68.20.2|69.20|70.22|71.11|71.11.1|71.12|71.12.45|71.20|71.20.1|71.20.9|72.19|74.10|74.90|77.11|77.39.1|77.39.29|80.10|80.20|80.30;;670034, Республика Бурятия, г. Улан-Удэ, ул. Красноармейская, д. 24;Действующая компания;Нагибнев Валерий Викторович;1800000000.0;1,8 млрд руб.;5;45;Промышленные компрессоры от 200 000 ₽ | Генераторы азота | Генераторы кислорода | МКС — мобильные компрессорные станции | МКС — модульные или блочно-компрессорные станции;;;0;;;;;;;;;;;checko,etp;1;;;
4703116542;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОИТЕЛЬНО-МОНТАЖНОЕ ЭКСПЛУАТАЦИОННОЕ УПРАВЛЕНИЕ ""ЗАНЕВКА""";"ООО ""СМЭУ ""ЗАНЕВКА""";kc;;37.00;37.00|35.30.4|36.00.2|42.21|33.12|33.13|35.3|35.30.14|35.30.2|35.30.3|36.00.1|41.20|42.22.1|42.22.2|42.91.2|42.91.4|42.99|43.11|43.12.3|43.21|43.22|43.33|43.39|43.91|43.99|43.99.1|43.99.3|43.99.4|43.99.5|43.99.6|43.99.7|46.73|46.73.6|49.41.3|68.20.2|68.32.1|68.32.2|70.22|71.1|71.11|71.12|71.12.13|71.12.45|71.12.5|71.12.6|71.20|77.11|77.12|82.99;;188689, Ленинградская область, Всеволожский район, гп. Янино-1, ул. Заневская, д. 1;Действующая компания;;1800000000.0;1,8 млрд руб.;4;39;Промышленные компрессоры от 200 000 ₽ | Генераторы азота | Генераторы кислорода | МКС — мобильные компрессорные станции | МКС — модульные или блочно-компрессорные станции;;;0;;inna.zolotova@smeu-zanevka.spb.ru;inna.zolotova@smeu-zanevka.spb.ru|снабжение/закупки|Золотова И.;1;;;;;;;best_email_v2,checko,etp;1;;;
4707028015;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""КИНГИСЕППСКИЙ ВОДОКАНАЛ""";"ОАО ""КВК""";kc;;37.00;37.00|36.00.1|36.00.2|38.1|38.2|42.21|42.22.2|43.29|52.10.23|71.12|71.20.1|71.20.9|72.19|77.11|77.39.1|82.99|96.09;Ленинградская область;188480, Ленинградская область, Кингисеппский район, г. Кингисепп, ул. Малая, д. 5;Действующая компания;;1700000000.0;1,7 млрд руб.;5;35;Промышленные компрессоры от 200 000 ₽ | Фотосепараторы | Генераторы азота | Генераторы кислорода | МКС — мобильные компрессорные станции | МКС — модульные или блочно-компрессорные станции;;;0;;isaevaav@oao-kvk.ru;isaevaav@oao-kvk.ru|снабжение/закупки|Исаева Александра Викторовна;1;;;;;;;best_email_v2,checko,etp;1;;;
6321280368;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВТОГРАД-ВОДОКАНАЛ""";"ООО ""АВК""";kc;;37.00;37.00|33.14|35.30.14|36.00.1|68.20.29|33.12|33.13|33.20|35.12|35.14|35.30|36.00|41.20|43.12|43.21|43.22|43.29|52.21|52.29|71.11|71.12|71.12.5|71.12.6|71.20;;445027, Самарская область, г. Тольятти, ул. Фрунзе, зд. 31А, офис 607;Действующая компания;;1700000000.0;1,7 млрд руб.;4;26;Промышленные компрессоры от 200 000 ₽ | Генераторы азота | Генераторы кислорода | МКС — мобильные компрессорные станции | МКС — модульные или блочно-компрессорные станции;;;0;;e.jukova@avkvoda.ru;"e.jukova@avkvoda.ru|снабжение/закупки|Жукова Е. ; v.soldatov@avkvoda.ru|снабжение/закупки|Солдатов В.";2;;;;;;;best_email_v2,checko,etp;1;;;
