domain;sprosili;whois_org;whois_inn;nash_inn;nash_name;verdikt
gvk86.ru;gvk86.ru;"SURGUTSKOE GORODSKOE MUNITSIPALNOE UNITARNOE PREDPRIIATIE ""GORVODOKANAL""";8602016725;8602016725;СГМУП «Горводоканал» (Сургут);совпал
halopolymer-kc.com;halopolymer-kc.com;;;4312126856;"ООО ""ГАЛОПОЛИМЕР КИРОВО-ЧЕПЕЦК""";владелец не указан
halopolymer-perm.com;halopolymer-perm.com;;;5908007560;"АО ""ГАЛОПОЛИМЕР ПЕРМЬ""";владелец не указан
halopolymer.ru;halopolymer.ru;"JSC ""Halopolymer""";7703665192;4312126856,5908007560;"АО ""ГАЛОПОЛИМЕР ПЕРМЬ""";РАЗОШЁЛСЯ
himkismi.ru;himkismi.ru;"Akcionernoe obshchestvo ""Khimki-SMI""";5047065919;5047081156;ОАО «Химкинский водоканал»;РАЗОШЁЛСЯ
himprom.com;himprom.com;Privacy protection service - whoisproxy.ru;;2124009521;"ПАО ""ХИМПРОМ""";нет ИНН в whois
hvod.ru;hvod.ru;ltd 'Himkinsky Vodokanal';5047081156;5047081156;ОАО «Химкинский водоканал»;совпал
irkvkx.ru;irkvkx.ru;;;3807000276;МУП «Водоканал» г. Иркутска;владелец не указан
karelskyokatysh.severstal.com;severstal.com;"JS ""SEVERSTAL-INFOKOM""";;1004001744;"АО ""КАРЕЛЬСКИЙ ОКАТЫШ""";нет ИНН в whois
kem-azot.ru;kem-azot.ru;"KJSC ''Azot""";4205000908;4205000908;"КАО ""АЗОТ""";совпал
keskvodokanal.ru;keskvodokanal.ru;Obshhestvo s ogranichennoj otvetstvennost'yu Kommunal'naya e'nergoservisnaya kompaniya;2308101615;2308101615;ООО «КЭСК» (Краснодар);совпал
kharampurneftegaz.ru;kharampurneftegaz.ru;;;;ООО «Харампурнефтегаз»;владелец не указан
kingisepp-kvk.ru;kingisepp-kvk.ru;;;4707028015;ОАО «Кингисеппский Водоканал» (КВК);владелец не указан
knp.rosneft.ru;rosneft.ru;;;;АО «НК «Роснефть» — Кубаньнефтепродукт»;владелец не указан
kolagmk.ru;kolagmk.ru;"JSC ""Kola GMK""";5191431170;5191431170;"АО ""КОЛЬСКАЯ ГМК""";совпал
kosgvk.ru;kosgvk.ru;"MUP g.Kostromi ""Kostromagorvodokanal""";4401000622;4401000622;МУП г. Костромы «Костромагорводоканал»;совпал
kostomuksha.ru;kostomuksha.ru;;;1004001744;"АО ""КАРЕЛЬСКИЙ ОКАТЫШ""";владелец не указан
krasnodar.rosvodokanal.ru;rosvodokanal.ru;"Ltd. Management Company ""Regional United Systems Vodokanal""";5027116065;2308111927;ООО «Краснодар Водоканал»;РАЗОШЁЛСЯ
kuazot.ru;kuazot.ru;"PJSC ""KUIBYSHEVAZOT""";6320005915;6320005915;"ПАО ""КУЙБЫШЕВАЗОТ""";совпал
kznvodokanal.ru;kznvodokanal.ru;;;1653006666;МУП «Водоканал» (Казань);владелец не указан
lubvodokanal.ru;lubvodokanal.ru;;;5027130197;АО «Люберецкий Водоканал»;владелец не указан
lukoil.com;lukoil.com;LUKOIL-Technologies LLC;;1102057865,2624022320,6451122250,8608048498;"ООО ""ЛУКОЙЛ-ЗАПАДНАЯ СИБИРЬ""";нет ИНН в whois
magadanvodokanal.ru;magadanvodokanal.ru;"MUP g. Magadana ""Vodokanal""";4909036682;4909036682;МУП г. Магадана «Водоканал»;совпал
mctrzn.ru;mctrzn.ru;;;6234147017;МКУ г. Рязани «Муниципальный центр торгов»;владелец не указан
miassvoda.ru;miassvoda.ru;Obshhestvo s ogranichennoj otvetstvennost'yu Gruppa Kommunal'ny'e texnologii;7448180158;7415060560;ОАО «Миассводоканал»;РАЗОШЁЛСЯ
mnp.rosneft.ru;rosneft.ru;;;;АО «НК «Роснефть»-Мурманскнефтепродукт»;владелец не указан
mnpz.gazprom-neft.ru;gazprom-neft.ru;"PJSC ""Gazprom neft""";5504036333;7723006328;"АО ""ГАЗПРОМНЕФТЬ - МНПЗ""";РАЗОШЁЛСЯ
moskbk.com;moskbk.com;"Joint Stock company ""Confectionery and Bread factory ""CHERIOMUSHKI""";;7728060368;"ОАО ""КБК ""ЧЕРЕМУШКИ""";нет ИНН в whois
mupkosnorilsk.ru;mupkosnorilsk.ru;"Municipalnoe unitarnoe predpriyatie municipalnogo obrazovaniya gorod Norilsk ""Kommunalnie obedinennue sistemu""";2457029066;2457029066;МУП «КОС» (Норильск);совпал
neftekhimia.ru;neftekhimia.ru;;;7723332561;"ООО ""НПП ""НЕФТЕХИМИЯ""";владелец не указан
nknpz.rosneft.ru;rosneft.ru;;;6330000553;"АО ""НК НПЗ""";владелец не указан
nnremont.ru;nnremont.ru;"""Norilsknikelremont"" LLC";2457061937;2457061937;"ООО ""НОРИЛЬСКНИКЕЛЬРЕМОНТ""";совпал
nornik.ru;nornik.ru;;;2457061937;"ООО ""НОРИЛЬСКНИКЕЛЬРЕМОНТ""";владелец не указан
novogor.perm.ru;novogor.perm.ru;;;5902817382;ООО «Новогор-Прикамье» (Пермь);владелец не указан
npk.uvz.ru;uvz.ru;"JSC ""SCIENTIFIC AND PRODUCTION URALVAGONZAVOD CORPORATION";6623029538;6623029538;"АО ""НПК ""Уралвагонзавод""";совпал
oaommu.ru;oaommu.ru;"JSC ""Meleuzovskie mineralnye udobreniya""";0263009557;0263009557;"АО ""МЕЛЕУЗОВСКИЕ МИНЕРАЛЬНЫЕ УДОБРЕНИЯ""";совпал
oaoplastic.ru;oaoplastic.ru;;;7117000076;"АО ""Пластик""";владелец не указан
ofpu.ru;ofpu.ru;;;4223036696;"ООО ""ОФ ""ПРОКОПЬЕВСКУГОЛЬ""";владелец не указан
omsk.rosvodokanal.ru;rosvodokanal.ru;"Ltd. Management Company ""Regional United Systems Vodokanal""";5027116065;5504097128;АО «ОмскВодоканал»;РАЗОШЁЛСЯ
orene.ru;orene.ru;"PJSC ""ROSSETI VOLGA""";6450925977;;Филиал ПАО «Россети Волга» - «Оренбургэнерго»;нет нашего ИНН
ornpz.ru;ornpz.ru;;;5615002700;"ПАО ""ОРСКНЕФТЕОРГСИНТЕЗ""";владелец не указан
penzacom.ru;penzacom.ru;;;;Филиал ПАО «Россети Волга» - «Пензаэнерго»;владелец не указан
pnos.lukoil.com;lukoil.com;LUKOIL-Technologies LLC;;5905099475;"ООО ""ЛУКОЙЛ-ПЕРМНЕФТЕОРГСИНТЕЗ""";нет ИНН в whois
