nazvanie;postavok;gody;sovremennoe;strana;sostoyanie;uverennost
Стерлитомакский ХК;12;1960-1995;ООО «БашХим»;Россия;работает;средняя
"МК ""Железара Зеница""";12;1963-1985;ArcelorMittal Zenica;другая;работает;высокая
Североникель;11;1958-1994;АО «Кольская ГМК» (комбинат «Североникель»);Россия;работает;высокая
Красный Октябрь МЗ;11;1961-1989;АО «Волгоградский металлургический завод «Красный Октябрь»;Россия;работает;высокая
Металлургический Комбинат;11;1975-1989;Родовое название, невозможно идентифицировать конкретное предприятие;не знаю;не знаю;низкая
Донецкий МК;10;1949-1980;ПАО «Донецкий металлургический завод»;Украина;не знаю;средняя
Стирол;10;1957-1996;ПАО «Концерн Стирол»;Украина;закрыто;высокая
Нижнекамскнефтехим;10;1967-1982;ПАО «Нижнекамскнефтехим»;Россия;работает;высокая
Каустик;10;1968-1989;Родовое название, использовалось для нескольких химических заводов;не знаю;не знаю;низкая
Качканарский ГОК;10;1968-1988;АО «Качканарский горно-обогатительный комбинат «Ванадий»;Россия;работает;высокая
Омскнефтеоргсинтез;10;1968-1990;АО «Газпромнефть-ОНПЗ»;Россия;работает;высокая
Балхашский ГМК;9;1950-1995;ТОО «Корпорация Казахмыс» — Балхашский горно-металлургический комбинат;Казахстан;работает;высокая
Металлургический завод;9;1960-1982;Родовое название, невозможно идентифицировать конкретное предприятие;не знаю;не знаю;низкая
Кремиковцы МК;9;1961-1990;Металлургический комбинат «Кремиковци»;другая;закрыто;высокая
Уваровский завод двойного суперфосфата;9;1964-1990;ООО «Уваровский химический завод»;Россия;закрыто;средняя
Московская энергетическая установка 25;9;1968-1976;не знаю;Россия;не знаю;низкая
Исфаханский МЗ;9;1969-1976;Исфаханский металлургический комбинат (Иран);другая;работает;средняя
Нижневартовский ГБЗ;9;1973-1991;Нижневартовский газоперерабатывающий завод;Россия;вошло в состав другого;средняя
Новокемеровский ХК;8;1955-1976;не знаю;Россия;не знаю;низкая
Камыш-Бурунский железорудный комбинат;8;1958-1986;Камыш-Бурунский железорудный комбинат (закрыт в 1990-е);Украина;закрыто;высокая
Чимкентский свинцово- цинковый комбинат Чимкентский свинцово-цинковый комбинат;8;1962-1992;;не знаю;не знаю;низкая
МЗ им.А.К.Серова;8;1963-1979;АО «Серовский металлургический завод»;Россия;работает;высокая
Прикаспийский ГМК;8;1967-1986;АО «Прикаспийский горно-металлургический комбинат»;Казахстан;работает;средняя
Новоджамбульский фосфорный завод;8;1979-1991;АО «Казфосфат» (г. Тараз);Казахстан;работает;средняя
Сибнефтегазпереработка;8;1985-1992;объединение, не конкретное предприятие;Россия;ведомство упразднено;средняя
Константиновский ХЗ;7;1954-1968;не знаю;не знаю;не знаю;низкая
Усть-Каменогорский свинцово- цинковый комбинат Усть-Каменогорский свинцово-цинковый комбинат;7;1955-1986;;не знаю;не знаю;низкая
Уфалейский никелевый завод;7;1956-1986;Уфалейский никелевый завод;Россия;закрыто;средняя
Омский завод синтетического каучука;7;1957-1981;АО «Омский каучук»;Россия;работает;высокая
Сумгаитский ХК;7;1959-1979;не знаю;другая;не знаю;средняя
Новокриворожский ГОК;7;1960-1990;ПАО «Ferrexpo Полтавский ГОК» (бывший Новокриворожский ГОК);Украина;работает;высокая
Ачинский глиноземный завод;7;1963-1993;АО «РУСАЛ Ачинск» (Ачинский глиноземный завод);Россия;работает;высокая
Норильский ГОК;7;1965-1988;ПАО «ГМК «Норильский никель» (Заполярный филиал);Россия;работает;высокая
Пермский ГПЗ;7;1971-1991;не знаю;Россия;не знаю;низкая
Кирово-Чепецкий ХК;7;1977-1986;АО «Кирово-Чепецкий химический комбинат»;Россия;работает;высокая
Баглейский коксо-химический завод;6;1951-1986;не знаю;не знаю;не знаю;низкая
2;6;1951-1991;не знаю;не знаю;не знаю;низкая
Минудобрения;6;1957-1992;министерство, не конкретное предприятие;не знаю;ведомство упразднено;высокая
Руставский МЗ;6;1960-1982;АО «Рустави металлургический завод»;другая;работает;средняя
Иранская национальная газовая компания;6;1968-1972;National Iranian Gas Company (NIGC);другая;работает;высокая
Никопольский завод ферросплавов;6;1968-1994;Никопольский завод ферросплавов;Украина;работает;высокая
Металлургический комбинат;6;1971-1976;родовое название, невозможно идентифицировать конкретное предприятие;не знаю;не знаю;низкая
Энергомаш;6;1974-1980;НПО Энергомаш имени академика В.П. Глушко;Россия;работает;высокая
Южно-Турбинный завод;6;1979-1987;Завод Зоря-Машпроект;Украина;работает;высокая
Газпром;6;1989-1994;родовое название компании или ведомства, не одно конкретное предприятие;не знаю;не знаю;низкая
Иртышский полиметаллический комбинат;5;1949-1983;вошел в состав АО Казцинк;Казахстан;вошло в состав другого;высокая
Меткомбинат;5;1952-1979;родовое название, невозможно идентифицировать конкретное предприятие;не знаю;не знаю;низкая
Чусовской МЗ;5;1954-1993;АО Чусовской металлургический завод;Россия;работает;средняя
3;5;1959-1989;не знаю;не знаю;не знаю;низкая
Криворожский УГОК;5;1962-1992;вошел в состав ПАО АрселорМиттал Кривой Рог;Украина;вошло в состав другого;средняя
Самарский завод синтетического каучука;5;1962-1979;не знаю;Россия;не знаю;низкая
Алтын-Топканский свинцово- цинковый комбинат Алтын-Топканский свинцово-цинковый комбинат;5;1963-1966;;не знаю;не знаю;низкая
Химический комбинат;5;1964-1987;родовое название, невозможно идентифицировать конкретное предприятие;не знаю;не знаю;низкая
Красный треугольник;5;1964-1989;АО Красный треугольник;Россия;работает;высокая
Смедеревский МЗ;5;1967-1981;Железара Смедерево;другая;работает;высокая
Средне-Уральский МЗ;5;1967-1990;АО Средне-Уральский медеплавильный завод;Россия;работает;высокая
Череповецкий АТЗ;5;1969-1983;АО ФосАгро-Череповец;Россия;работает;средняя
Алмалыкский ГМК;5;1970-1990;АО Алмалыкский горно-металлургический комбинат;Узбекистан;работает;высокая
Кингисеппский ферро- сплавный завод Кингисеппский ферро-сплавный завод;5;1971-1992;;не знаю;не знаю;низкая
Красноярский алюминиевый завод;5;1986-1991;Красноярский алюминиевый завод ОК РУСАЛ;Россия;работает;высокая
Лениногорский полиметаллический комбинат;5;1986-1991;вошел в состав АО Казцинк;Казахстан;вошло в состав другого;высокая
Навоийский цементный завод;5;1986-1992;не знаю;Узбекистан;не знаю;низкая
Саянский алюминиевый завод;5;1987-1992;Саянский алюминиевый завод ОК РУСАЛ;Россия;работает;высокая
Свободный Сокол МЗ;4;1950-1973;вошел в состав Новолипецкого металлургического комбината;Россия;вошло в состав другого;высокая
Норильский комбинат;4;1950-1965;ПАО Горно-металлургическая компания Норильский никель;Россия;работает;высокая
Курьяновская станция аэрации;4;1951-1954;Курьяновские очистные сооружения;Россия;работает;высокая
Подземгаз;4;1951-1963;трест по подземной газификации углей, как отдельная организация не существует;не знаю;ведомство упразднено;средняя
Электроцинк;4;1955-1964;ОАО «Электроцинк»;Россия;работает;высокая
Дзержинскуголь;4;1956-1992;угольное объединение Донбасса, большинство шахт закрыто или реорганизовано;Украина;не знаю;средняя
5;4;1961-1989;не знаю;не знаю;не знаю;низкая
Армянский СНХ;4;1962-1965;Совет народного хозяйства Армянской ССР, упразднён в 1965 году;другая;ведомство упразднено;высокая
Государственный производственный комитет по;4;1963-1964;название обрезано, ведомство СССР упразднено;не знаю;ведомство упразднено;низкая
Джезказганцветмет;4;1969-1993;вошёл в состав корпорации «Казахмыс» (Kazakhmys);Казахстан;вошло в состав другого;высокая
Полоцкий ХК;4;1972-1972;ОАО «Нафтан»;Белоруссия;работает;высокая
Актюбинский химзавод им.С.М.Кирова;4;1973-1990;АО «Актюбинский завод хромовых соединений»;Казахстан;работает;средняя
Шебекинский био-хим.завод;4;1973-1984;не знаю современное название;Россия;не знаю;средняя
Тольяттиазот;4;1979-1985;ПАО «Тольяттиазот»;Россия;работает;высокая
Братский алюминиевый завод;4;1981-1992;АО «РУСАЛ Братск», входит в UC RUSAL;Россия;работает;высокая
Печенганикель;4;1982-1991;вошёл в состав «Кольской ГМК» (ПАО «ГМК «Норильский никель»);Россия;вошло в состав другого;высокая
Самаркандский ХЗ;4;1984-1988;не знаю современное название;Узбекистан;не знаю;средняя
Химпром;4;1986-1991;родовое название, множество заводов в разных городах носили это имя;не знаю;не знаю;низкая
Ярцевский специальный чугуно- литейный завод Ярцевский специальный чугуно-литейный завод;4;1986-1989;не знаю современное название или статус;Россия;не знаю;средняя
Таджикский алюминиевый завод;4;1988-1992;ГУП «Таджикская алюминиевая компания» (TALCO);другая;работает;высокая
Каратаусский ХЗ;4;1988-1990;не знаю современный статус;Казахстан;не знаю;низкая
Закавказский МЗ;3;1954-1956;не знаю конкретное предприятие;не знаю;не знаю;низкая
Криворожский ЮГОК;3;1954-1970;ПАО «Южный ГОК», входит в группу Метинвест;Украина;работает;высокая
МЗ им.Ворошилова;3;1955-1959;вероятно Днепровский металлургический комбинат;Украина;не знаю;средняя
Абагурская аглофабрика;3;1956-1970;вошла в состав Новокузнецкого металлургического комбината;Россия;вошло в состав другого;высокая
Главгаз СССР Газопровод;3;1957-1960;Главное управление газовой промышленности СССР, ведомство упразднено;не знаю;ведомство упразднено;высокая
Калужский ХМК;3;1957-1970;не знаю;Россия;не знаю;низкая
Косогорский МЗ;3;1958-1988;ПАО Косогорский металлургический завод;Россия;работает;высокая
4;3;1958-2010;не знаю;не знаю;не знаю;низкая
Синтезспирт;3;1959-1988;родовое название заводов синтетического спирта, конкретное предприятие не идентифицируется;не знаю;не знаю;низкая
Новокуйбышевский завод синтетического спирта;3;1959-1961;вошел в состав Новокуйбышевского нефтехимического комбината;Россия;вошло в состав другого;высокая
АТЗ;3;1961-1976;не знаю;не знаю;не знаю;низкая
Главгаз СССР;3;1961-1962;Главное управление газовой промышленности СССР - ведомство, не одно предприятие;не знаю;ведомство упразднено;высокая
Волжский ХК;3;1961-1963;не знаю;не знаю;не знаю;низкая
Димитровградский ХК аммиак аз.кисл;3;1962-1985;ПАО Минеральные удобрения;Россия;работает;высокая
Кировобадский алюминиевый завод;3;1962-1982;Гянджинский алюминиевый завод;другая;не знаю;средняя
Павлодарский алюминиевый завод;3;1962-1964;Казахстанский электролизный завод;Казахстан;работает;высокая
"ХК ""Азоты""";3;1963-1977;родовое название азотных комбинатов, конкретное предприятие не идентифицируется;не знаю;не знаю;низкая
Стерлитомакский завод синтетич.каучука Стерлитомакский завод синтетического каучука;3;1963-1965;ООО Стерлитамакский завод синтетического каучука;Россия;работает;средняя
Новокуйбышевский НХК;3;1964-1980;производственные мощности разделены между несколькими компаниями;Россия;вошло в состав другого;высокая
Северодонецкий ХК;3;1972-1979;ОАО Азот;Украина;не знаю;средняя
Искендерунский МК;3;1972-1979;Iskenderun Demir Celik;другая;работает;высокая
Бакальское рудоуправление;3;1974-1976;Бакальское рудоуправление;Россия;закрыто;высокая
Завод пластмасс;3;1977-1977;родовое название, конкретное предприятие не идентифицируется;не знаю;не знаю;низкая
Капролактам;3;1979-1979;родовое название производства или цеха, конкретное предприятие не идентифицируется;не знаю;не знаю;низкая
Сумгаитхимпром;3;1979-1986;не знаю;другая;не знаю;средняя
Хабаровский кислородный завод;3;1980-1991;не знаю;Россия;не знаю;средняя
Светлоярский БВК;3;1981-1987;Светлоярский завод белково-витаминных концентратов;Россия;закрыто;высокая
Воронежский шинный завод;3;1985-1988;ООО Воронежский шинный завод;Россия;работает;высокая
Кривбассруда;3;1986-1989;не знаю;Украина;не знаю;средняя
Белоцерковский завод резинотехнических изделий;3;1986-1989;не знаю;Украина;не знаю;средняя
Бердский био-хим. завод Бердский био-химический завод;3;1986-1988;Бердский биохимический завод;Россия;закрыто;высокая
Тобольский нефте-химич.завод Тобольский нефте-химический завод;3;1986-1988;Тобольск-Нефтехим (входит в СИБУР);Россия;работает;высокая
Аммофос;3;1986-1993;родовое название для производителей аммофоса, конкретное предприятие установить невозможно;не знаю;не знаю;низкая
Артемуголь;3;1989-1992;ГП «Артемуголь» (Артемовское шахтоуправление);Украина;не знаю;средняя
Губкинский ГПЗ;3;1989-1991;Губкинский газоперерабатывающий завод (входит в Газпром переработка);Россия;работает;высокая
Красноленинский ГПЗ;3;1989-1991;Красноленинский газоперерабатывающий завод (входит в Газпром переработка);Россия;работает;высокая
Лисичанский НПЗ;3;1989-1990;Лисичанский нефтеперерабатывающий завод;Украина;закрыто;средняя
"Коминефть ""Этан""";3;1991-1993;не знаю;Россия;вошло в состав другого;средняя
Амурсталь МК;3;1992-1992;Амурский металлургический комбинат;Россия;закрыто;высокая
"ООО ""Газпром добыча Ноябрьск"" ДКС Западно-Таркосалинского ГП";3;2014-2016;ООО «Газпром добыча Ноябрьск»;Россия;работает;высокая
Московский коксо-газовый завод;2;1950-1967;Московский коксогазовый завод;Россия;закрыто;высокая
Ясиновский коксо-химический завод;2;1952-1955;Ясиновский коксохимический завод;Украина;не знаю;средняя
Пикалевский завод (цв.);2;1954-1955;не знаю;Россия;не знаю;низкая
Луганский коксо-химический завод;2;1954-1955;Алчевский коксохимический завод;Украина;не знаю;средняя
"Трест ""Артемшахтстрой"" с/у 4";2;1955-1956;не знаю;не знаю;ведомство упразднено;низкая
Запорожский железорудный комбинат;2;1955-1964;Запорожский железорудный комбинат;Украина;не знаю;средняя
Усть-Каменогорский комбинат;2;1955-1957;не знаю;Казахстан;не знаю;средняя
ГПЗ N 9;2;1956-1987;не знаю;не знаю;не знаю;низкая
Пикалевский глиноземный завод;2;1956-1956;Пикалевский глиноземный завод (БазэлЦемент-Пикалево);Россия;работает;средняя
Златоустовский МЗ;2;1956-1989;Златоустовский металлургический завод;Россия;работает;высокая
Медногорский медносерный завод;2;1956-1992;Медногорский медно-серный комбинат (входит в УГМК);Россия;работает;высокая
Кировоградский ХЗ;2;1956-1957;не знаю;Украина;не знаю;средняя
Калужский турбинный завод;2;1957-1957;Калужский турбинный завод;Россия;работает;высокая
Волго-Донской комбинат СЖЗ;2;1957-1961;не знаю;не знаю;не знаю;низкая
Чирчикский ХК;2;1957-1958;не знаю;Узбекистан;не знаю;средняя
ТУК;2;1957-1958;аббревиатура слишком общая для точной идентификации;не знаю;не знаю;низкая
Ангренская КС;2;1957-1957;Ангренская компрессорная станция;Узбекистан;не знаю;средняя
Шахта 4/5 Никитовка;2;1958-1962;Шахта 4/5 Никитовка;Украина;не знаю;средняя
Саратовский завод синтетического спирта;2;1958-1961;не знаю;Россия;не знаю;низкая
Уханьский МК;2;1958-1959;Уханьский металлургический комбинат (Китай);другая;работает;высокая
Стерлитомакский завод синтетич.каучука;2;1959-1963;Стерлитамакский завод синтетических каучуков;Россия;работает;высокая
Карабашский завод;2;1960-1961;Карабашский медеплавильный завод;Россия;работает;средняя
Норильский МК;2;1960-1962;Заполярный филиал ПАО ГМК Норильский никель;Россия;работает;высокая
Бердянский нефтемаслозавод;2;1960-1963;Бердянский нефтемаслозавод;Украина;не знаю;средняя
Белоярская ГРЭС;2;1960-1961;Белоярская атомная электростанция;Россия;работает;высокая
Челябинск Челябинский МК;2;1960-1991;Челябинский металлургический комбинат;Россия;работает;высокая
Карабашский ГМК;2;1961-1968;Карабашский медеплавильный завод;Россия;работает;средняя
Воронежский завод синтет. каучука Воронежский завод синтетического каучука;2;1961-1962;Воронежский завод синтетического каучука;Россия;работает;высокая
"Трест ""Кадиевуголь"" шахта им.22 съезда";2;1962-1963;Шахта имени XXII съезда КПСС;Украина;не знаю;низкая
"Трест ""Ленинруда"" Шахта Гвардейская";2;1962-1963;Шахта Гвардейская;Украина;не знаю;низкая
Алавердский медно-хим. комбинат Алавердский медно-химический комбинат;2;1962-1963;Алавердский медно-химический комбинат;другая;не знаю;средняя
Киришский газо-бензиновый завод;2;1963-1973;Киришский нефтеперерабатывающий завод;Россия;работает;высокая
Уфимский ХЗ;2;1963-1964;не знаю какой именно химический завод;Россия;не знаю;низкая
Дорогобужский ЗАУ;2;1963-1987;АО Дорогобуж;Россия;работает;высокая
Невинномысский ХК;2;1964-1964;ПАО Невинномысский Азот;Россия;работает;высокая
Гомель Гомельский суперф. завод;2;1964-1965;Гомельский химический завод;Белоруссия;работает;высокая
Губахинский ХЗ;2;1964-1965;не знаю точного состояния;Россия;не знаю;низкая
Красноуральский медеплавильный завод;2;1965-1993;Красноуральский медеплавильный завод;Россия;работает;высокая
Чебаркульский МЗ;2;1966-1967;Чебаркульский металлургический завод;Россия;работает;средняя
Краматорский МК;2;1966-1971;не знаю точного современного названия;Украина;не знаю;средняя
Лизин;2;1968-1981;не знаю что это за предприятие;не знаю;не знаю;низкая
СХК;2;1968-1977;Сибирский химический комбинат;Россия;работает;высокая
Соколово-Сарбайский ГОК;2;1969-1977;Соколовско-Сарбайское горно-обогатительное производственное объединение;Казахстан;работает;высокая
Абразивный комбинат;2;1972-1986;не знаю;не знаю;не знаю;низкая
Новочеркасский завод синтет. продуктов Новочеркасский завод синтетических продуктов;2;1972-1976;;не знаю;не знаю;низкая
Белоярская АС;2;1972-1973;Белоярская атомная электростанция;Россия;работает;высокая
Саткинский МЗ;2;1973-1980;Саткинский чугунолитейный завод;Россия;работает;средняя
Мосметрострой;2;1975-1976;Мосметрострой;Россия;работает;высокая
Antibiotics Plant;2;1976-1977;не знаю;не знаю;не знаю;низкая
Мингазпром СССР Камышинский завод;2;1980-1981;Камышинский стеклотарный завод;Россия;не знаю;низкая
Усинский ГПЗ;2;1981-1982;Усинский газоперерабатывающий завод;Россия;работает;высокая
МПК;2;1983-1984;не знаю;не знаю;не знаю;низкая
Зестафонский завод ферросплавов;2;1984-1985;Зестафонский завод ферросплавов;другая;работает;высокая
Главтюменьнефтегаз Повховская КС;2;1985-1989;Повховская компрессорная станция;Россия;работает;средняя
Лозовский кузнечно- механический завод Лозовский кузнечно-механический завод;2;1985-1987;;не знаю;не знаю;низкая
Волжский трубный завод;2;1986-1988;Волжский трубный завод;Россия;работает;высокая
Кирово-Чепецкий МК;2;1986-1991;не знаю;Россия;не знаю;низкая
Оскольский эл.мет.комбинат Оскольский электрометаллургический комбинат;2;1986-1991;;не знаю;не знаю;низкая
Синарский трубный завод;2;1986-1991;Синарский трубный завод;Россия;работает;высокая
Когалымская КС;2;1987-1988;Когалымская компрессорная станция;Россия;работает;средняя
Тюменское м/р;2;1987-1988;не знаю;Россия;не знаю;низкая
Купянский литейный завод;2;1987-1988;Купянский литейный завод;Украина;не знаю;средняя
Узбекский завод тугопл. и жаропр. металлов Узбекский завод тугоплавких и жаропрочных металлов;2;1987-1992;;не знаю;не знаю;низкая
Новосибирская ТЭЦ-5;2;1988-1989;Новосибирская ТЭЦ-5;Россия;работает;высокая
Костомукшский ГОК;2;1989-1991;Карельский окатыш;Россия;работает;высокая
Варьеганская КС;2;1989-1990;Варьеганская компрессорная станция;Россия;работает;средняя
Вынгояхинская КС;2;1989-1990;;не знаю;не знаю;низкая
Зиминский ХЗ;2;1989-1990;;не знаю;не знаю;низкая
Газпром Севергазпром;2;1989-1992;;не знаю;не знаю;низкая
Первоуральский новотрубный завод;2;1990-1993;;не знаю;не знаю;низкая
Биохимик;2;1990-1991;;не знаю;не знаю;низкая
Дрогичинский био-хим. завод Дрогичинский био-химический завод;2;1990-1991;;не знаю;не знаю;низкая
Новокузнецк Новокузнецкий МЗ;2;1991-1991;;не знаю;не знаю;низкая
Львовский ХЗ;2;1991-1992;;не знаю;не знаю;низкая
Томский НХК;2;1991-1993;;не знаю;не знаю;низкая
Новосибирская ТЭЦ;2;1991-1991;;не знаю;не знаю;низкая
Электросталь;2;1991-1992;;не знаю;не знаю;низкая
Чимкентский НПЗ;2;1991-1991;;не знаю;не знаю;низкая
Югтрансгаз;2;1994-1995;;не знаю;не знаю;низкая
"Газпром ПХГ ""Касимовское""";2;2002-2005;;не знаю;не знаю;низкая
"КС ""Краснознаменская""";2;2004-2005;;не знаю;не знаю;низкая
"ООО ""Газпром трансгаз Томск"" КС ООО ""Газпром трансгаз Томск""";2;2009-2010;;не знаю;не знаю;низкая
"ООО «Газпром трансгаз Ухта» КС-8 ""Чикшинская"" СМГ "" Бованенково-Ухта";2;2010-2011;;не знаю;не знаю;низкая
"ООО «Газпром трансгаз Чайковский» Реконструкция КС ""Вавожская""";2;2010-2011;;не знаю;не знаю;низкая
"ООО «Газпром трансгаз Ухта» КС-9 ""Малоперанская"" СМГ "" Бованенково-Ухта";2;2011-2014;;не знаю;не знаю;низкая
"ООО «Газпром трансгаз Ухта» КС-6 ""Интинская"" СМГ "" Бованенково-Ухта";2;2011-2013;;не знаю;не знаю;низкая
ООО «Газпром трансгаз Санкт- Петербург» ООО «Газпром трансгаз Санкт-Петербург» ООО «Газпром трансгаз Ухта»;2;2012-2013;;не знаю;не знаю;низкая
"ООО «Газпром трансгаз Ухта» КС-7 ""Сынинская"" СМГ "" Бованенково-Ухта";2;2012-2014;;не знаю;не знаю;низкая
"ООО ""Газпром добыча Ноябрьск"" ДКС ""Западно-Таркосалинского"" ГП";2;2012-2016;;не знаю;не знаю;низкая
ООО «Газпром трансгаз Ухта» КС Нюксеница;2;2013-2014;;не знаю;не знаю;низкая
"ООО ""Газпром трансгаз Самара"" КС «Сызрань»";2;2013-2014;;не знаю;не знаю;низкая
"ООО ""Газпром добыча Надым"" Ямсовейское НГКМ";2;2018-2018;ООО «Газпром добыча Надым» Ямсовейское нефтегазоконденсатное месторождение;Россия;работает;высокая
"ООО ""Газпром добыча Надым"" Бованенковского НГКМ, ГП2";2;2018-2018;ООО «Газпром добыча Надым» Бованенковское нефтегазоконденсатное месторождение;Россия;работает;высокая
ОК-500-1 N 117;1;1948-1948;не знаю;не знаю;не знаю;низкая
Новомосковский жестекат.завод;1;1949-1949;не знаю;Россия;не знаю;низкая
Алмазянский МЗ;1;1950-1950;не знаю;не знаю;не знаю;низкая
Коминтерн МЗ;1;1950-1950;не знаю;не знаю;не знаю;низкая
Прибалхашский медеплав.завод;1;1950-1950;АО «Корпорация Казахмыс» Балхашский горно-металлургический комбинат;Казахстан;работает;высокая
Газосланцевый завод;1;1951-1951;не знаю;не знаю;не знаю;низкая
Ленгаз;1;1951-1951;АО «Газпром газораспределение Ленинградская область»;Россия;работает;средняя
Куйбышевуголь;1;1951-1951;не знаю;не знаю;не знаю;низкая
Саратовский крекинг завод;1;1951-1951;ООО «Саратовский НПЗ»;Россия;работает;средняя
Рутченковский коксо- химический завод Рутченковский коксо-химический завод;1;1952-1952;;не знаю;не знаю;низкая
N 75;1;1952-1952;не знаю;не знаю;не знаю;низкая
Томусшахтстрой;1;1953-1953;не знаю;Россия;не знаю;низкая
НИИ N1 МАП;1;1954-1954;не знаю;Россия;не знаю;низкая
Сталиншахтстрой;1;1954-1954;не знаю;не знаю;не знаю;низкая
Кузнецкий цементный завод;1;1955-1955;АО «Кузнецкий цементный завод»;Россия;работает;средняя
Северский МЗ;1;1955-1955;ПАО «Северский трубный завод»;Россия;работает;средняя
Серп и Молот МЗ;1;1955-1955;АО «Серп и Молот»;Россия;работает;высокая
Челябинский цинковый завод;1;1955-1955;АО «Челябинский цинковый завод»;Россия;работает;высокая
Сталинский КХЗ;1;1955-1955;ПАО «Донецкий металлургический завод»;Украина;не знаю;низкая
Запорожский завод огнеупоров;1;1955-1955;ПАО «Запорожский завод огнеупоров»;Украина;не знаю;средняя
Главкислород;1;1955-1955;Главкислород — родовое имя ведомства, не конкретное предприятие;не знаю;ведомство упразднено;высокая
"Трест ""Ворошиловуголь"" шахта им.Артема";1;1956-1956;не знаю;Украина;не знаю;низкая
"Трест ""Орджоникидзеуголь"" шахта ""Красный Октябрь""";1;1956-1956;не знаю;не знаю;не знаю;низкая
Тихвинский глинозем.завод;1;1956-1956;закрыт в 1990-х годах;Россия;закрыто;средняя
Пашийский цемент.завод;1;1956-1956;ОАО Пашийский цементный завод;Россия;не знаю;средняя
Беловский цинковый завод;1;1956-1956;закрыт в 2000-х годах;Россия;закрыто;средняя
Саранский завод медпреператов;1;1956-1956;ОАО Биохимик;Россия;работает;средняя
Бежицкий сталелитейный завод;1;1957-1957;вошёл в состав АО Брянский машиностроительный завод;Россия;вошло в состав другого;высокая
Самаратрансгаз;1;1957-1957;ООО Газпром трансгаз Самара;Россия;работает;высокая
