inn;zakazchik;data_nachala;vid_nadzora;oborudovanie;marka;nomer_zaklyucheniya;kompressor;sut;erpid
8602067092;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЮНИПРО""";2026-06-18;Федеральный государственный надзор в области промышленной безопасности;котел ст. № 1, рег. № 6661-к;;;нет;Эксплуатация котла после инцидента (свищ) без проведения экспертизы промышленной безопасности и положительного заключения;24260111000022093217
7708503727;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""";2026-06-16;Федеральный государственный надзор в области промышленной безопасности;козловой кран КК-42К (учетный № А74-12972, заводской № 118);КК-42К;;нет;нарушение эксплуатации козлового крана;27260111000022064244
1103019252;"АКЦИОНЕРНОЕ ОБЩЕСТВО ПО ДОБЫЧЕ УГЛЯ ""ВОРКУТАУГОЛЬ""";2026-06-08;Федеральный государственный надзор в области промышленной безопасности;подъемная машина ПМ-30 скипового ствола;ПМ-30;;нет;Устное поручение работнику выполнять работу, не предусмотренную нарядом;11260111000021994629
4312126856;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЛОПОЛИМЕР КИРОВО-ЧЕПЕЦК""";2026-06-05;Федеральный государственный надзор в области промышленной безопасности;;;43-ЗС-703858-2026;;Не выполнены мероприятия безопасной эксплуатации здания корпуса № 144а, не внесены изменения в технологический регламент в связи с реконструкцией;59260111000021975383
7703647595;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ОБЪЕДИНЕННАЯ ХИМИЧЕСКАЯ КОМПАНИЯ ""УРАЛХИМ""";2026-06-05;Федеральный государственный надзор в области промышленной безопасности;пароувлажнителя на поз. Х-42 зав. № 76133-1, год изг. 1976, рег. № 350883;Х-42;;нет;Не внесены изменения в сведения об ОПО в связи с заменой технических устройств, не представлены к экспертизе промышленной безопасности сооружения и здания;59260111000021978572
4312126856;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЛОПОЛИМЕР КИРОВО-ЧЕПЕЦК""";2026-06-05;Федеральный государственный надзор в области промышленной безопасности;;;В009-00109-43/03670089;;Не устранены дефекты и повреждения строительных конструкций зданий корпусов № 165, 234, 238, системы вентиляции не исправны;59260111000021979799
4823006703;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""НОВОЛИПЕЦКИЙ МЕТАЛЛУРГИЧЕСКИЙ КОМБИНАТ""";2026-06-05;Федеральный государственный надзор в области промышленной безопасности;турбокомпрессор К-3000-61-1 CTN №4, инв. №77981;К-3000-61-1;48-ТУ-845161-2026;да;Техническое устройство не соответствует требованиям промышленной безопасности;36260111000021970996
4312126856;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЛОПОЛИМЕР КИРОВО-ЧЕПЕЦК""";2026-06-05;Федеральный государственный надзор в области промышленной безопасности;;;01-ЗС-05294-2023;;Не выполнены мероприятия безопасной эксплуатации зданий корпусов № 145, 145б, 145а;59260111000021974434
4823006703;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""НОВОЛИПЕЦКИЙ МЕТАЛЛУРГИЧЕСКИЙ КОМБИНАТ""";2026-06-04;Федеральный государственный надзор в области промышленной безопасности;кран грузоподъемный мостовой, грейферный зав.№ 3442, уч.№ 13369;;21-14ТУ/26ПБ;нет;техническое устройство не соответствует требованиям промышленной безопасности;36260111000021965389
5406323202;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТЕРРИТОРИАЛЬНАЯ ГЕНЕРИРУЮЩАЯ  КОМПАНИЯ №11""";2026-05-26;Федеральный государственный надзор в области промышленной безопасности;котлоагрегат ст. № 8 (рег. № 98-Э);;;нет;отключен от главного паропровода в связи с появлением небаланса пар/вода 100 т/ч с шумом в топке котла;42260111000021842130
3808229774;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАЙКАЛЬСКАЯ ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ""";2026-05-22;Федеральный государственный надзор в области промышленной безопасности;техническое устройство К-3;К-3;;нет;отсутствие заключения ЭПБ после восстановительного ремонта после инцидента;24260111000021806979
3808229774;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАЙКАЛЬСКАЯ ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ""";2026-05-22;Федеральный государственный надзор в области промышленной безопасности;техническое устройство К/А ст. № 4;К/А;;нет;отсутствие заключения ЭПБ после восстановительного ремонта после инцидента;24260111000021807242
3808229774;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАЙКАЛЬСКАЯ ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ""";2026-05-22;Федеральный государственный надзор в области промышленной безопасности;техническое устройство К/А ст. № 4;К/А;;нет;отсутствие заключения ЭПБ после восстановительного ремонта после инцидента;24260111000021807147
3808229774;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАЙКАЛЬСКАЯ ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ""";2026-05-21;Федеральный государственный надзор в области промышленной безопасности;техническое устройство КА ст. № 4;КА;;нет;отсутствие заключения ЭПБ после восстановительного ремонта после инцидента;24260111000021788639
3808229774;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАЙКАЛЬСКАЯ ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ""";2026-05-21;Федеральный государственный надзор в области промышленной безопасности;техническое устройство К/А ст. № 2;К/А;;нет;отсутствие заключения ЭПБ после восстановительного ремонта после инцидента;24260111000021788927
3448003962;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАУСТИК""";2026-05-21;Федеральный государственный надзор в области промышленной безопасности;резервуар хранения мазута РВС-20000 № 6;РВС-20000;;нет;истекает срок дальнейшей безопасной эксплуатации сооружений;34260111000021792272
0814118403;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СИБИРСКАЯ СЕРВИСНАЯ КОМПАНИЯ""";2026-05-19;Федеральный государственный надзор в области промышленной безопасности;Мобильная буровая установка для ремонта и бурения нефтяных и газовых скважин ZJ-40, зав. № RG11115;ZJ-40;62-ТУ-27943-2022;нет;Истёк срок действия заключения экспертизы промышленной безопасности (действовало до 29.07.2025), иные заключения в реестре отсутствуют;24260111000021755617
5103070023;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АПАТИТ""";2026-05-19;Федеральный государственный надзор в области промышленной безопасности;шахтные электровозы 2К-14 бортовые номера № 1, 2, 7, 25;2К-14;;нет;;78260111000021754002
3808229774;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАЙКАЛЬСКАЯ ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ""";2026-05-18;Федеральный государственный надзор в области промышленной безопасности;участок подающего трубопровода  в ТК-35Д-1*;ТК-35Д-1;;нет;Повреждение трубопровода, требуется ремонт и неразрушающий контроль с последующей экспертизой промышленной безопасности;24260111000021740481
5406323202;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТЕРРИТОРИАЛЬНАЯ ГЕНЕРИРУЮЩАЯ  КОМПАНИЯ №11""";2026-05-18;Федеральный государственный надзор в области промышленной безопасности;котлоагрегат ст. № 7 (рег. № 145-Э);;;нет;Котлоагрегат отключился действием технологической защиты по погасанию факела;42260111000021740796
4214018370;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ОБОГАТИТЕЛЬНАЯ ФАБРИКА ""МЕЖДУРЕЧЕНСКАЯ""";2026-05-15;Федеральный государственный надзор в области промышленной безопасности;грохот позиция 716;;;нет;Укрытие грохота не герметично, имеются отложения пыли, отсутствуют мероприятия по предупреждению загрязнения атмосферы и ликвидации пожаров;42260111000021724029
6315376946;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""Т ПЛЮС""";2026-05-15;Федеральный государственный надзор в области промышленной безопасности;трубопровод тепловой сети М-2 от НО-50Б до Пав. 2.5 и перемычка к М-4 до НО-7, уч.№49-35-5-450;;;нет;Не обеспечивается контроль состояния тепловой изоляции трубопровода на предмет дефектов и протечек;59260111000021724109
5406323202;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТЕРРИТОРИАЛЬНАЯ ГЕНЕРИРУЮЩАЯ  КОМПАНИЯ №11""";2026-05-15;Федеральный государственный надзор в области промышленной безопасности;котлоагрегат ст. № 7 (рег. № 145-Э);;;нет;Котлоагрегат отключен при появлении небаланса пар/вода, сопровождающегося шумом;42260111000021722269
5406323202;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТЕРРИТОРИАЛЬНАЯ ГЕНЕРИРУЮЩАЯ  КОМПАНИЯ №11""";2026-05-15;Федеральный государственный надзор в области промышленной безопасности;котлоагрегат ст. № 8 (рег. № 146-Э);;;нет;Котлоагрегат отключен при появлении небаланса пар/вода, сопровождающегося шумом;42260111000021722287
3808229774;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАЙКАЛЬСКАЯ ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ""";2026-05-08;Федеральный государственный надзор в области промышленной безопасности;тепловая сеть (подающий трубопровод) на участке тепловой сети от ТК-21Д, наружный диаметр – 200 мм;;;нет;повреждение трубопровода, требуется ремонт и проведение экспертизы промышленной безопасности;24260111000021651358
3127000014;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЛЕБЕДИНСКИЙ ГОРНО-ОБОГАТИТЕЛЬНЫЙ КОМБИНАТ""";2026-05-08;Федеральный государственный надзор в области промышленной безопасности;чаша тарельчатого окомкователя;;;нет;несанкционированное опускание чаши с разрушением технических устройств;36260111000021657679
4823006703;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""НОВОЛИПЕЦКИЙ МЕТАЛЛУРГИЧЕСКИЙ КОМБИНАТ""";2026-05-08;Федеральный государственный надзор в области промышленной безопасности;кран грузоподъемный мостовой, зав. № 41752, уч. № 13969;;ТУ-062/126;нет;техническое устройство не соответствует требованиям промышленной безопасности;36260111000021657963
1102057865;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛУКОЙЛ-УХТАНЕФТЕПЕРЕРАБОТКА""";2026-05-08;Федеральный государственный надзор в области промышленной безопасности;экономайзер Э-11 (ООО «ПО «Гефест», заводской № 579, год изготовления 2025);Э-11;;нет;постановка оборудования на регистрационный учет;11260111000021654075
3445042160;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ ТРАНСГАЗ ВОЛГОГРАД""";2026-05-05;Федеральный государственный надзор в области промышленной безопасности;АГРС 1-3 КС Калач инв №205421;;;нет;Ликвидация АГРС выполнена с отступлением от проектной документации: отсутствует ППР по демонтажу, разрешение на производство работ, документы авторского надзора;34260111000021609851
7702583250;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛЛК-ИНТЕРНЕШНЛ""";2026-04-23;Федеральный государственный надзор в области промышленной безопасности;Резервуар РВС-851;;;нет;истекает срок дальнейшей безопасной эксплуатации технических устройств в 2026 году согласно заключению ЭПБ;34260111000021491505
7702583250;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛЛК-ИНТЕРНЕШНЛ""";2026-04-23;Федеральный государственный надзор в области промышленной безопасности;Резервуар поз. № 74;;;нет;истекает срок дальнейшей безопасной эксплуатации технических устройств в 2026 году согласно заключению ЭПБ;34260111000021491760
4209023208;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ОЛИМП""";2026-04-22;Федеральный государственный надзор в области промышленной безопасности;аммиачный насос 2ХГ поз.2, зав.36976;2ХГ;;нет;эксплуатация аммиачного насоса с истекшим сроком службы;42260111000021481026
4823006703;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""НОВОЛИПЕЦКИЙ МЕТАЛЛУРГИЧЕСКИЙ КОМБИНАТ""";2026-04-22;Федеральный государственный надзор в области промышленной безопасности;кран грузоподъемный мостовой, зав. № 451072, уч. № 13876;;ТУ-075/126;нет;эксплуатация крана, не соответствующего требованиям промышленной безопасности согласно заключению ЭПБ;36260111000021482505
4823006703;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""НОВОЛИПЕЦКИЙ МЕТАЛЛУРГИЧЕСКИЙ КОМБИНАТ""";2026-04-21;Федеральный государственный надзор в области промышленной безопасности;кран козловой электрический КК-К-32/5-А5-У1, зав. № 821, уч. № 17648;КК-К-32/5-А5-У1;ТУ-229/425;нет;эксплуатация крана, не соответствующего требованиям промышленной безопасности согласно заключению ЭПБ;36260111000021464233
2205001753;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛТАЙ-КОКС""";2026-04-20;Федеральный государственный надзор в области промышленной безопасности;котлоагрегат ст.№ 2 БКЗ-320-140 ГМ-7;БКЗ-320-140 ГМ-7;;нет;инцидент с остановкой парового котла в следствии образования свища на поверхностях нагрева конвективной шахты;42260111000021448290
7704784450;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ИНТЕР РАО-ЭЛЕКТРОГЕНЕРАЦИЯ""";2026-04-16;Федеральный государственный надзор в области промышленной безопасности;кран мостовой электрический зав. № 447, уч. № 4268-НУ;;89-ТУ-780857-2026;нет;техническое устройство не соответствует требованиям промышленной безопасности;72260111000021426123
5612002469;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ОРЕНБУРГНЕФТЬ""";2026-04-10;Федеральный государственный надзор в области промышленной безопасности;;;49-ЗС-97077-2023;;Несоответствие адреса места нахождения ОПО в Реестре фактическому расположению объекта согласно заключению экспертизы;63260111000021342527
7704784450;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ИНТЕР РАО-ЭЛЕКТРОГЕНЕРАЦИЯ""";2026-04-10;Федеральный государственный надзор в области промышленной безопасности;Трубопровод «Острого» пара энергоблока ст. №2;;;нет;;11260111000021351133
7708503727;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""";2026-04-07;Федеральный государственный надзор в области промышленной безопасности;"воздухосборник ВВ-6,3-0,8 (ООО ""Челябинский Компрессорный Завод"", 2025 год выпуска) заводской № 1690";ВВ-6,3-0,8;;да;;11260111000021309524
4214000608;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""УГОЛЬНАЯ КОМПАНИЯ ""ЮЖНЫЙ КУЗБАСС""";2026-04-06;Федеральный государственный надзор в области промышленной безопасности;вентиляторной установки главного проветривания ВОД-40;ВОД-40;;нет;Требование запрета на эксплуатацию электрооборудования РУ 6кВ, что приведет к отключению вентиляторной установки и созданию аварийной ситуации в шахте;42260111000021284997
6147025090;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ ""КОМБИНАТ ""КАМЕНСКИЙ""";2026-03-31;Федеральный государственный надзор в области промышленной безопасности;кран железнодорожный ЕДК 300/2, зав. № 1370295, уч. № 6785/П;ЕДК 300/2;22-01/1-0709-2025;нет;отрицательное заключение экспертизы промышленной безопасности на железнодорожный кран;23260111000021226644
3808229774;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАЙКАЛЬСКАЯ ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ""";2026-03-26;Федеральный государственный надзор в области промышленной безопасности;КА ст. № 5;;;нет;Необходимо прохождение технического диагностирования с оформлением заключения экспертизы промышленной безопасности после восстановительного ремонта оборудования;24260111000021184425
3808229774;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАЙКАЛЬСКАЯ ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ""";2026-03-26;Федеральный государственный надзор в области промышленной безопасности;К/А № 10;;;нет;Заключение экспертизы промышленной безопасности после восстановительного ремонта после инцидента в реестре не зарегистрировано;24260111000021184575
3808229774;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАЙКАЛЬСКАЯ ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ""";2026-03-26;Федеральный государственный надзор в области промышленной безопасности;К/А № 2;;;нет;Заключение экспертизы промышленной безопасности после восстановительного ремонта после инцидента в реестре не зарегистрировано;24260111000021184772
5406323202;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТЕРРИТОРИАЛЬНАЯ ГЕНЕРИРУЮЩАЯ  КОМПАНИЯ №11""";2026-03-24;Федеральный государственный надзор в области промышленной безопасности;котлоагрегат ст. № 1 (рег. № 137-Э);;;нет;отключен персоналом от главного паропровода по решению технического руководителя с небалансом пар/вода;42260111000021151282
5406323202;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТЕРРИТОРИАЛЬНАЯ ГЕНЕРИРУЮЩАЯ  КОМПАНИЯ №11""";2026-03-24;Федеральный государственный надзор в области промышленной безопасности;котлоагрегат ст. № 8 (рег. № 146-Э);;;нет;отключен персоналом от главного паропровода при появлении небаланса пар/вода 20 тонн/час, сопровождающегося шумом на отметке 29 метров;42260111000021151316
2223033980;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАРНАУЛЬСКИЙ МОЛОЧНЫЙ КОМБИНАТ """;2026-03-23;Федеральный государственный надзор в области промышленной безопасности;Коллектор паровой;;;нет;Эксплуатация оборудования, не поставленного на учет в Сибирском управлении Ростехнадзора;42260111000021135230
7104002774;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОСОГОРСКИЙ МЕТАЛЛУРГИЧЕСКИЙ ЗАВОД""";2026-03-23;Федеральный государственный надзор в области промышленной безопасности;Паропровода направление на ДЦ рег. № Т-719;;;нет;Отсутствует экспертиза промышленной безопасности по продлению срока службы;71260111000021142440
7708503727;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""";2026-03-20;Федеральный государственный контроль (надзор) в области железнодорожного транспорта;компрессор на вагоне ЭТ2М №039-01;;;да;Повреждение уплотнительной прокладки клапанной коробки компрессора, перемерзание трубопроводов, снижение давления в напорной магистрали электропоезда;66260804274321119907
3808229774;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАЙКАЛЬСКАЯ ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ""";2026-03-18;Федеральный государственный надзор в области промышленной безопасности;техническое устройство К-7;К-7;;;отсутствует заключение экспертизы промышленной безопасности после восстановительного ремонта технического устройства после инцидента;24260111000021092039
8913006455;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РН-ПУРНЕФТЕГАЗ""";2026-03-18;Федеральный государственный надзор в области промышленной безопасности;Котёл водогрейный КВ-ГМ-4/95, рег. № 411, зав. № 21953;КВ-ГМ-4/95;89-ТУ-717266-2026;нет;техническое устройство не соответствует требованиям промышленной безопасности согласно заключению экспертизы;72260111000021076141
3808229774;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАЙКАЛЬСКАЯ ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ""";2026-03-18;Федеральный государственный надзор в области промышленной безопасности;техническое устройство К-10;К-10;;;отсутствует заключение экспертизы промышленной безопасности после восстановительного ремонта технического устройства после инцидента;24260111000021091080
7708503727;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""";2026-03-16;Федеральный государственный надзор в области промышленной безопасности;;;27-ДЛ-01258-2024;;Наличие сведений об ОПО в реестре по истечении 2 лет с даты заключения экспертизы о ликвидации объекта;78260111000021072658
5902201970;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛУКОЙЛ-ПЕРМЬ""";2026-03-13;Федеральный государственный надзор в области промышленной безопасности;"1. Ресивер азота В-6,3-1,6-09Г2С (ООО ""Металист"", 2014 год выпуска) заводской № 1; 2. Ресивер воздуха КИП Р-1 (ООО ""Зенит-Химмаш"", 2015 год выпуска) заводской № 5805; 3. Ресивер азота В-20-1,0-09Г2С-8-УХЛ1 (ООО ""ЗНИГО"", 2019 год выпуска) заводской № 119127-00; 4. Ресивер воздуха В-32-1,0-09Г2С-8-УХЛ1 (ООО ""ЗНИГО"", 2019 год выпуска) заводской № 119128-00";;;нет;;11260111000021049820
2124009521;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ХИМПРОМ""";2026-03-11;Федеральный государственный надзор в области промышленной безопасности;воздухосборника V=10СТ.ВЕРТ.Д-2200Н-4500, инв. № 25502, поз. 0-4, рег. № 15175;V=10СТ.ВЕРТ.Д-2200Н-4500;;нет;;16260111000021006924
1434031363;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДАЛЬНЕВОСТОЧНАЯ ГЕНЕРИРУЮЩАЯ КОМПАНИЯ""";2026-03-11;Федеральный государственный надзор в области промышленной безопасности;котлоагрегата ТПЕ-215 ст. № 3, рег. № К - 1454;ТПЕ-215;;нет;пуск в работу котлоагрегата без устранения нарушений, отрицательно влияющих на работоспособность и безопасность эксплуатации;27260111000021009347
5406323202;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТЕРРИТОРИАЛЬНАЯ ГЕНЕРИРУЮЩАЯ  КОМПАНИЯ №11""";2026-03-05;Федеральный государственный надзор в области промышленной безопасности;котлоагрегат ст. № 8 (рег. № 146-Э);;;нет;Котлоагрегат отключен от главного паропровода действием защиты по погасанию факела при появлении шума в топке и небаланса пар/вода 30 тонн/час;42260111000020966822
3808229774;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАЙКАЛЬСКАЯ ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ""";2026-03-03;Федеральный государственный надзор в области промышленной безопасности;К/А ст. № 10;;;нет;После повреждения необходимо техдиагностирование с оформлением заключения ЭПБ, в реестре не зарегистрировано;24260111000020947399
3808229774;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАЙКАЛЬСКАЯ ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ""";2026-03-03;Федеральный государственный надзор в области промышленной безопасности;К – 3;;;нет;После повреждения необходимо техдиагностирование с оформлением заключения ЭПБ, в реестре не зарегистрировано;24260111000020947235
