inn;name;domen;domen_dlya_obhoda;otkuda_domen;region;vyruchka;telefony;pochty
2309136385;"ООО ""КУБАНЬВОДА""";кубань-вода.рус;xn----7sbbbhm1b0al8byg.xn--p1acf;кириллица;Краснодарский край;232400000.0;+7 918 494-82-48 | +7 918 188-12-60 | +7 861 204-02-31;700603@mail.ru | oal@kubanwater.ru
6682012952;"ООО ""ЭКОЛОГИСТИКА""";sro-expert.su;sro-expert.su;почта;Свердловская область;228700000.0;+7 922 169-38-55 | +7 992 001-83-00;ecologistics96@gmail.com
2521005114;"ООО ""РОДНИКОВАЯ ВОДА""";korbanvl.ru;korbanvl.ru;почта;Приморский край;226100000.0;+7 423 374-17-35;bitulina@korbanvl.ru
6915000208;"ГУП ""ВОДОКАНАЛ""";torzhok-vk.ru;torzhok-vk.ru;почта;Тверская область;194200000.0;+7 482 519-14-40 | +7 482 519-89-34 | +7 482 519-15-40 | +7 482 515-14-40 | +7 482 519-16-53;vodokanal-torzhok@yandex.ru | kaloshina@torzhok-vk.ru | vodokanal69_2@mail.ru | sekretar@torzhok-vk.ru | gup.vodokanal.o
4703137398;"ООО ""ВОДОКАНАЛ""";дводоканал.рф;xn--80aaehb0bjofb.xn--p1ai;кириллица;Ленинградская область;103400000.0;+7 813 707-66-32 | +7 921 443-42-10 | +7 921 932-62-01 | +7 813 707-62-41 | +7 921 934-91-84;vdubrovka@list.ru
5606005084;"ООО ""ВОДОСНАБЖЕНИЕ""";водоснаб56.рф;xn--56-6kcedm7dgb4a.xn--p1ai;кириллица;Оренбургская область;103300000.0;+7 353 793-30-53 | +7 835 379-33-05 | +7 353 793-00-82 | +7 353 793-85-28 | +7 353 793-04-29 | +7 353 793-85-85;vodosnabgenie56@mail.ru | pto.mgkk@mail.ru | ko-mgkk@mail.ru | vol-ko-va@inbox.ru | org@esso.ru
2348031315;"ООО ""ТРАНС-ВОДОКАНАЛ""";djljk.ru;djljk.ru;почта;Краснодарский край;102500000.0;+7 861 663-30-26 | +7 861 663-42-57 | +7 861 663-45-69 | +7 918 286-38-80 | +7 918 160-30-99;afipskiy_gkh@mail.ru | afipskiy_jkh@mail.ru | nhfyc@djljk.ru | afipsikiy_jkh@mail.ru | afipskiy¬¬_jkh@mail.ru | afipskiy
0706002881;"ООО ""ЖИВАЯ ВОДА""";aqua-babugent.com;aqua-babugent.com;почта;Кабардино-Балкарская Республика;101900000.0;+7 962 652-29-22 | +7 928 700-54-73 | +7 866 368-92-87;dir@aqua-babugent.com
0318034587;"ООО ""ГОРВОДОКАНАЛ""";ogk3.ru;ogk3.ru;почта;Республика Бурятия;99800000.0;+7 301 454-45-36 | +7 301 454-13-29 | +7 301 454-10-61 | +7 301 454-14-77 | +7 301 221-07-48;hgsf@mail.ru | vodokanal-2006@yandex.ru | ldh@mail.ru | gorvoda@mail.ru | vods░@░░░░.ru | vodokanal_gus@mai.ru | shmatin
0245015565;"ООО ""ЧИСТАЯ ВОДА ""КРИСТАЛЬНАЯ""";vodaufa.ru;vodaufa.ru;почта;Республика Башкортостан;95000000.0;+7 987 240-06-58 | +7 987 240-06-94 | +7 987 130-35-34 | +7 917 400-05-82 | +7 987 240-07-37;online@vodaufa.ru
1006012011;"ООО ""ПКХ ""ВОДООТВЕДЕНИЕ""";водоотведение.ооопкх.рф;xn--b1aafbebax8beba6c.xn--j1ahaaf1b.xn--p1ai;кириллица;Республика Карелия;92000000.0;+7 911 404-49-09 | +7 814 314-28-17 | +7 781 424-28-17 | +7 814 314-29-53 | +7 814 314-25-33 | +7 921 521-54-66 | +7 814;ooopkh@yandex.ru | abonentpkh2013.a@yandex.ru | abonentpkh2013@yandex.ru
6686140730;"МУП ""СРЕДНЕУРАЛЬСКОЕ ВОДОПРОВОДНО-КАНАЛИЗАЦИОННОЕ ХОЗЯЙСТВО""";suvkh.ru;suvkh.ru;почта;Свердловская область;89600000.0;+7 982 761-44-51 | +7 912 600-11-34;suvkh@suvkh.ru | koa@suvkh.ru | bkmzcjdcthutq@mail.ru | kadry@suvkh.ru
2458017056;"МУП ""ВОДОКАНАЛ СНК""";sosnovoborsk.krskcit.ru;sosnovoborsk.krskcit.ru;почта;Красноярский край;88400000.0;+7 391 313-19-02 | +7 391 312-19-02 | +7 839 133-19-02;mupsnk@sosnovoborsk.krskcit.ru | mupsnk@sosnovoborsk.krskcik.ru | 2014_voda@bk.ru | mup@sosnovoborsk.krskcit.ru | mupsnk
1006012029;"ООО ""ПКХ ""ВОДОСНАБЖЕНИЕ""";водоснабжение.ооопкх.рф;xn--80acbihafr4beeb3b.xn--j1ahaaf1b.xn--p1ai;кириллица;Республика Карелия;82700000.0;+7 911 404-49-09 | +7 814 314-28-17 | +7 921 521-54-66;ooopkh@yandex.ru | admspkh@mail.ru | natalya.yurkevich@nw.rt.ru | abonentpkh2013.a@yandex.ru | abonentpkh2013@yandex.ru
7709961550;"ООО ""ТД ""ЗАВОДА ЭМАЛИРОВАННЫХ ТРУБ""";emalirovanie.ru;emalirovanie.ru;почта;Москва;82000000.0;+7 495 766-44-92 | +7 495 932-95-95 | +7 916 585-77-14;mail@emalirovanie.ru
7719456194;"ООО ""ГОСТВОДА СЕРВИС""";gostvoda.ru;gostvoda.ru;почта;Московская область;81800000.0;+7 926 571-25-62 | +7 985 923-13-23 | +7 495 923-13-23;razvilka@gostvoda.ru | gostvodaservis@mail.ru
7731286333;"ООО ""ПАВЛОВСКИЙ ВОДОКАНАЛ""";павловскиесети.рф;xn--80aeamaqcmh4ah3adp.xn--p1ai;кириллица;Московская область;63600000.0;+7 985 279-84-64;tepsety@mail.ru | ooopvk00@mail.ru
4437000263;"ООО ""ВОДОКАНАЛСЕРВИС""";k-sc.ru;k-sc.ru;почта;Костромская область;59600000.0;+7 494 372-14-74 | +7 494 244-00-66 | +7 494 322-14-74;levina_e@k-sc.ru | odo@k-sc.ru | nyll@mail.ru | vks@krasnoye.k-sc.ru | bolotova_n@krasnoye.k-sc.ru | yhlicheva_o@krasnoe
3711032742;"МП ""ВОДОКАНАЛ"" ЛЕЖНЕВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА ИВАНОВСКОЙ ОБЛАСТИ";otsytstvyetpochta.ru;otsytstvyetpochta.ru;почта;Ивановская область;58600000.0;+7 493 572-25-17 | +7 920 672-11-76 | +7 495 722-25-17 | +7 439 572-25-17;kb-stroy2013@yandex.ru | vodokanal_mp@mail.ru | mp_vodokanal@mail.ru | ru.otsytstvyetpochta@otsytstvyetpochta.ru | vk_le
2918012010;"ООО ""НЯНДОМСКАЯ ВОДА""";nvkh.ru;nvkh.ru;почта;Архангельская область;52100000.0;+7 818 386-13-69 | +7 818 386-10-39 | +7 950 251-90-00 | +7 911 585-68-04 | +7 818 386-71-42;info@nvkh.ru | info@nykh.ru | nvoda2019@mail.ru
6372009815;"ООО ""ВОДОКАНАЛ СЕРВИС""";вода163.рф;xn--163-5cdjm3e.xn--p1ai;кириллица;Самарская область;48700000.0;+7 846 604-75-62 | +7 846 604-73-76 | +7 846 604-73-60 | +7 846 604-32-33 | +7 846 604-73-04 | +7 848 263-14-00;dotis@inbox.ru | ooovk@mail.ru | оооvk@mail.ru
7453355653;"ООО ""КРАСНОПОЛЬСКИЙ ВОДОКАНАЛ""";vsvo74.ru;vsvo74.ru;почта;Челябинская область;46600000.0;+7 919 359-98-69;info_kv@vsvo74.ru | gustovdi@npkpit.ru
5919032760;"МУП ""ЯЙВА-ВОДОКАНАЛ""";aleksandrovsk.permkrai.ru;aleksandrovsk.permkrai.ru;почта;Пермский край;46500000.0;+7 342 742-19-96;yayva.woda@yandex.ru | yayva.woda@aleksandrovsk.permkrai.ru
2801162014;"ООО ""КРИСТАЛЬНО-ЧИСТАЯ ВОДА""";74чистая-вода-74.рф;xn--74--74-4nfbru4b1e9ao6eyg.xn--p1ai;кириллица;Амурская область;42000000.0;+7 416 299-01-08 | +7 416 238-57-58 | +7 416 299-01-07 | +7 416 257-61-16 | +7 416 255-11-70;servisuchota@mail.ru
9721114811;"ООО ""АКВАСЕРВИС""";purick.ru;purick.ru;почта;Москва;39400000.0;+7 903 966-03-67;anna77-72@mail.ru | info@purick.ru
3245514841;"ООО ""ВОДОКАНАЛ ДУБРОВСКИЙ""";fc-rsk.ru;fc-rsk.ru;почта;Брянская область;36400000.0;+7 483 240-59-19 | +7 483 268-03-15 | +7 910 330-27-62 | +7 483 268-03-13;dom2016ru@mail.ru | shvedova_sveta@mail.ru | info@fc-rsk.ru
1213005220;"ООО ""ВОДОКАНАЛСЕРВИС""";водоканалсервис-советский.рф;xn----7sbagcbjkd1admdii4anbj0btebdy.xn--p1ai;кириллица;Республика Марий Эл;34800000.0;+7 836 389-49-46 | +7 937 116-69-00 | +7 836 389-41-61 | +7 836 389-48-58 | +7 836 389-40-45 | +7 883 689-49-46;sovetvodokanal@mil.ru | sovetvodokanai@mail.ru | sovetvodokanal@mail.ru | vodser@mail.ru | zakupki_sov@bk.ru
3808284528;"ООО ""АКВАСЕРВИС""";stekm.ru;stekm.ru;почта;Иркутская область;30500000.0;+7 395 585-20-84 | +7 395 585-20-81 | +7 902 564-69-68 | +7 395 585-28-80;burova.95@mail.ru | n.chichkan@stekm.ru | tskolkhon@mail.ru | ooo.akvaservis@inbox.ru
6683018241;"МУП ""ВОДООТВЕДЕНИЕ"" БГО";beloyarka.com;beloyarka.com;почта;Свердловская область;25500000.0;+7 922 205-05-04 | +7 343 772-25-14;kumi@beloyarka.com | vodootvedeniebgo@yandex.ru | vodootvedenie@yandex.ru | subsidbel@mail.ru | vodootvedenuebgo@yandex.
5802008155;"ОДО ""СЕТИ ВОДООТВЕДЕНИЯ Г. КАМЕНКИ""";sura.ru;sura.ru;почта;Пензенская область;24400000.0;+7 841 562-39-30 | +7 841 565-42-26 | +7 841 562-30-90 | +7 841 565-22-41 | +7 841 562-31-12;alex71211@yandex.ru | vst@sura.ru | vdo@mail.ru | vsv@sura.ru | vsd@sura.ru | vdo@sura.ru
3711024205;"АО ""САВИНСКИЙ ВОДОКАНАЛ""";cfo-kia.ru;cfo-kia.ru;почта;Ивановская область;19000000.0;+7 493 569-16-82 | +7 493 560-00-00 | +7 493 569-12-04;savinovoda@mail.ru | andreeva.a@cfo-kia.ru | noy@mail.ru
5431209045;"ООО ""ВОДОКАНАЛ""";ngs.ru;ngs.ru;почта;Новосибирская область;18700000.0;+7 383 472-26-87 | +7 383 472-28-76 | +7 383 472-18-76 | +7 353 472-28-76;vkmsl@ngs.ru | vkmsl@yandex.ru | morozovae.d@yandex.ru | dj@yandex.ru | korolevsa54@gmail.com | ovcharenkomv@mail.ru
6234163611;"ООО ""АКВАСЕРВИС""";akva-stroi.ru;akva-stroi.ru;почта;Рязанская область;18300000.0;+7 491 221-03-86 | +7 920 982-33-28 | +7 491 276-38-12;info@akva-stroi.ru | info@akvastroi.ru | akvaservis@post.rzn.ru
2924005702;"МУП ""ЧИСТАЯ ВОДА""";shenradm.ru;shenradm.ru;почта;Архангельская область;17600000.0;+7 921 818-01-56 | +7 818 514-13-83 | +7 121 818-01-56 | +7 818 514-14-38 | +7 953 261-21-34 | +7 921 083-69-80 | +7 818;shenkmup@yandex.ru | adm@shenradm.ru | snenkmup@yandex.ru
3517803842;"ООО ""ВОДОКАНАЛ-ТАРНОГА""";35.mailop.ru;35.mailop.ru;почта;Вологодская область;17600000.0;+7 817 482-10-88 | +7 817 272-01-03 | +7 817 482-10-44 | +7 817 482-14-45 | +7 921 533-42-05 | +7 817 482-10-45;info@35.mailop.ru | vodokanal-tarnoga@yandex.ru | vodokanal-tarnoda@yandex.ru | teremok.tarnoga@yandex.ru | tapaku2012@y
5823901120;"ООО ""ОЧИСТНЫЕ СООРУЖЕНИЯ""";lenta.ru;lenta.ru;почта;Пензенская область;17400000.0;+7 950 366-22-75 | +7 905 366-22-75 | +7 950 235-99-31 | +7 814 502-19-95 | +7 841 502-23-77 | +7 841 502-19-95;mokshan.os@mail.ru | rosich@lenta.ru | trushina_t.i.@mail.ru | prg@prg.sura.ru
3816034338;"ООО ""ВОДООТВЕДЕНИЕ""";vodazima.ru;vodazima.ru;почта;Иркутская область;15500000.0;+7 395 542-64-31 | +7 395 543-64-31 | +7 908 663-90-19 | +7 394 542-64-31;zimvodcanal@yandex.ru | komfort-citi-bav@mail.ru | zimvodocanal@yandex.ru | zimavodcanal@yandex.ru | vdo@vodazima.ru | z
2723173023;"ООО ""СВОЯ ВОДА""";свояводадв.рф;xn--80adabib0ebx6l.xn--p1ai;кириллица;Хабаровский край;9800000.0;+7 421 268-11-81 | +7 909 802-11-81 | +7 421 264-54-14;681-181@mail.ru | abs604704@mail.ru
4406008449;"ООО ""ВОДОКАНАЛ ГОРОД НЕЯ""";adm44.ru;adm44.ru;почта;Костромская область;8800000.0;+7 494 402-16-14 | +7 494 402-21-25 | +7 494 402-41-10 | +7 494 402-41-04 | +7 953 659-15-01 | +7 494 402-41-40;pto-mkup@yandex.ru | parfenuevo@adm44.ru | mkup.pto@yandex.ru | kochkareva_l@parfenyevo.k-sc.ru | ask@gorvodokanal.com
3625008390;"ООО ""РАМОНЬ-ВОДОКАНАЛ""";govvrn.ru;govvrn.ru;почта;Воронежская область;7100000.0;+7 473 402-36-67 | +7 473 402-37-00 | +7 473 402-12-92;ramon-vodokanal@mail.ru | ramon@govvrn.ru
4623005710;"МУП ""ВОДОПРОВОДНОГО И ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА"" СЕЛО ЗАМОСТЬЕ ПРИ М.О. ""ЗАМОСТЯНСКИЙ СЕЛЬСОВЕТ""";fsb.ru;fsb.ru;почта;Курская область;6000000.0;+7 471 432-48-09 | +7 471 432-49-45;pu.kurskobl2@fsb.ru | 47143@mail.ru
0546026465;"ООО ""АКВАСЕРВИС""";deyom.com;deyom.com;почта;Республика Дагестан;5700000.0;+7 928 684-39-84 | +7 928 584-56-46 | +7 988 693-66-74;minbulatov@yandex.ru | akvaservis@mail.ru | aqvastroy@mail.ru | mesputugno@deyom.com
1032000132;"ООО ""ВОДОКАНАЛ""";eirz-karelia.ru;eirz-karelia.ru;почта;Республика Карелия;4300000.0;+7 814 259-46-02 | +7 921 466-45-11 | +7 911 415-42-01 | +7 909 570-06-80;m.wsf67@mail.ru | main@eirz-karelia.ru | ipumuez@eirz-karelia.ru
5433163935;"ООО ""МОЧИЩЕНСКИЙ ВОДОКАНАЛ""";eo.tensor.ru;eo.tensor.ru;почта;Новосибирская область;3700000.0;+7 383 294-55-45 | +7 383 287-14-87;5433163935_543301001@eo.tensor.ru
5635021027;"ООО ""ВОДОКАНАЛ`""";r56.fssprus.ru;r56.fssprus.ru;почта;Оренбургская область;2900000.0;+7 353 637-17-21;feo@r56.fssprus.ru | mu-com@yandex.ru
3611009323;"ООО ""ЧИСТАЯ ВОДА""";evdakovo.ru;evdakovo.ru;почта;Воронежская область;2300000.0;+7 906 608-54-13;o.turchenko@evdakovo.ru
7002017027;"ООО ""АСИНОВСКИЙ ВОДОКАНАЛ""";sibmail.ru;sibmail.ru;почта;Томская область;1900000.0;+7 382 412-00-55 | +7 923 448-18-02;asino@com.ru | avk_asino@mail.ru | avk_asino@sibmail.ru
9729120662;"ООО ""ВВСВОДА""";wwsvoda.ru;wwsvoda.ru;почта;Москва;1500000.0;+7 915 177-74-77 | +7 495 988-07-18;ruben.terzibashyan@wwsvoda.ru
4714017631;"СМУП ""ВОДОКАНАЛ""";vodokanal.sbor.ru;vodokanal.sbor.ru;почта;Ленинградская область;1100000.0;+7 813 697-23-30 | +7 813 694-26-70 | +7 813 694-16-96 | +7 813 694-36-86;office@vodokanal.sbor.ru | vodokanal@sbor.net
3614010430;"ПК ПО ВОДОСНАБЖЕНИЮ ""ПЕТРОПАВЛОВСКИЙ""";govvrn.ru;govvrn.ru;почта;Воронежская область;694000.0;;petropal.liski@govvrn.ru
6443022269;"ООО ""ЖИВАЯ ВОДА ЭКО""";глоток-молодости.рф;xn----etbeqhfchpadbb6bfk.xn--p1ai;кириллица;Саратовская область;478000.0;+7 917 024-50-12;dmitry.limonin@yandex.ru
7325048047;"ООО ""СЭУ ""СИМБИРСКВОДА""";vkogroup.com;vkogroup.com;почта;Ульяновская область;30000.0;+7 842 234-37-41 | +7 842 246-95-03;buh@vkogroup.com
7204095194;"ООО ""ТЮМЕНЬ ВОДОКАНАЛ""";tyumen.rosvodokanal.ru;tyumen.rosvodokanal.ru;латиница пропущенная;;;;
1650033502;"ПРОФСОЮЗНАЯ ОРГАНИЗАЦИЯ РАБОТНИКОВ ""ЗАВОДА ДВИГАТЕЛЕЙ"" ПЕРВИЧНАЯ ПРОФСОЮЗНАЯ ОРГАНИЗАЦИЯ ОТКРЫТОГО АКЦИОНЕРНОГО ОБЩЕСТВА КАМАЗ, ПРОФЕССИОНАЛЬНОГО СОЮЗА РАБОТНИКОВ АВТОМОБИЛЬНОГО И СЕЛЬСКОХОЗЯЙСТВЕННОГО МАШИНОСТРОЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ (НА ПРАВАХ ПЕРВИЧНОЙ ОРГАНИЗАЦИИ)";profkamaz.ru;profkamaz.ru;латиница пропущенная;;;;
1837013416;"ООО ""ЯРСКИЙ ВОДОКАНАЛ""";oooyarenergo.ru;oooyarenergo.ru;почта;Удмуртская Республика;0.0;+7 341 574-16-43;info@oooyarenergo.ru
4401189488;"ООО ""ВОДОКАНАЛ ТС""";kb44.ru;kb44.ru;почта;Костромская область;0.0;+7 494 244-04-59;auditor2@kb44.ru
6125033620;"ООО ""ВОДОСНАБЖЕНИЕ""";rnc.rosneft.ru;rnc.rosneft.ru;почта;Ростовская область;0.0;+7 989 635-00-17 | +7 938 104-44-12 | +7 950 841-21-24 | +7 908 506-37-44 | +7 863 603-99-43;ooovodosnabjenie@mail.ru | оoovodosnabjenie@mail.ru | info-rostov@rnc.rosneft.ru | vodaistoki@yandex.ru | h20@mail.ru
7457006780;"ООО ""ВОДООТВЕДЕНИЕ""";satkavoda.ru;satkavoda.ru;почта;Челябинская область;0.0;+7 351 616-07-74 | +7 351 616-67-10 | +7 351 619-60-53 | +7 351 619-67-10;info@satkavoda.ru | vo.bakal@mail.ru
0800022490;"ООО ""ИКС ВОДОСНАБЖЕНИЕ КАЛМЫКИЯ""";iks.plus;iks.plus;почта;Республика Калмыкия;0.0;+7 968 408-33-67 | +7 968 408-83-76;mail@iks.plus
2700031054;"ООО ""ИКС ВОДОСНАБЖЕНИЕ ХАБАРОВСК""";iks.plus;iks.plus;почта;Хабаровский край;0.0;+7 913 966-22-33 | +7 922 348-37-24;mail@iks.plus
7743033584;"ООО ""АКВАСЕРВИС 21 ВЕК""";аквасервис21.рф;xn--21-6kcajbuzn7dje.xn--p1ai;кириллица;Москва;0.0;+7 495 722-73-16;aquaservice21@yandex.ru
7106055242;"ООО ""СВОЯ ВОДА""";бурениетула.рф;xn--80abmaotlwweg.xn--p1ai;кириллица;Тульская область;0.0;+7 961 262-98-22 | +7 910 162-61-80 | +7 487 273-10-20 | +7 902 845-56-95;svoyavoda@bk.ru
3917512397;"ООО ""ВОДОКАНАЛ СТРОЙ""";макс39.рф;xn--39-6kc4bi6a.xn--p1ai;кириллица;Калининградская область;0.0;+7 911 491-94-74;
5020090989;"ПК ""ВОДОКАНАЛ""";88km.ru;88km.ru;почта;Московская область;0.0;+7 905 707-27-17;1@88km.ru
5202012350;"ООО ""РАЙВОДОКАНАЛСЕРВИС""";infored.ru;infored.ru;почта;Нижегородская область;0.0;+7 831 475-16-61 | +7 831 475-00-92 | +7 920 077-48-96;rv.abonent@yandex.ru | ooo_rs@mail.ru | support@infored.ru
5501291039;"МУП ""ТЕПЛОВОДОКАНАЛ""";kls.omskportal.ru;kls.omskportal.ru;почта;Омская область;0.0;+7 381 602-17-68;economykomitet@kls.omskportal.ru | mup_vodokanal0819@mail.ru | mup_teplovoda@mail.ru
6214007276;"ООО ""РЯЖСКИЙ ВОДОКАНАЛ""";stat.ryazan.ru;stat.ryazan.ru;почта;Рязанская область;0.0;+7 491 323-08-25 | +7 491 322-22-59 | +7 491 322-23-53 | +7 491 322-61-82 | +7 491 322-14-44;vodokanai@mail.ru | vodokanal.rya@yandex.ru | vodoranal.rya@yandex.ru | vodokanal.rea@yandex.ru | rokgs@stat.ryazan.ru
