oboznachenie;tip;sreda;rasshifrovka;uverennost
К-380-102-2;центробежный;природный газ;Центробежный компрессор для газоперерабатывающего производства;высокая
H-540-41-1;центробежный;не знаю;Центробежный компрессор H-540-41-1;средняя
ОК-500-94;центробежный;кислород;Кислородный центробежный компрессор для установки получения кислорода и азота;высокая
К-901 КВД;центробежный;технологический газ;Компрессор высокого давления для производства аммиака, тип 3М-7;высокая
К-250-61-5М;центробежный;воздух;Воздушный центробежный компрессор К-250-61-5М;высокая
К250-61-1;центробежный;воздух;Воздушный центробежный компрессор К250-61-1;высокая
К500-61-1;центробежный;воздух;Воздушный центробежный компрессор К500-61-1;высокая
К-901 КНД;центробежный;технологический газ;Компрессор низкого давления для производства аммиака, тип 3М9-7;высокая
К-602 КВД;центробежный;технологический газ;Компрессор высокого давления для производства аммиака, тип 3М10-8;высокая
К-601 КНД;центробежный;технологический газ;Компрессор низкого давления для производства аммиака, тип 553-В9;высокая
К-601 КСД;центробежный;технологический газ;Центробежный компрессор среднего давления КСД тип 373-В5/5 в установке производства аммиака;высокая
К-601 КВД;центробежный;технологический газ;Центробежный компрессор высокого давления КВД тип 272-В7/1R в установке производства аммиака;высокая
К-602 КНД;центробежный;технологический газ;Центробежный компрессор низкого давления КНД тип 4М-8-6 в установке производства аммиака;высокая
К-1700-61-1;центробежный;воздух;Центробежный воздушный компрессор К-1700-61-1;высокая
КЦ 135/8;центробежный;не знаю;Центробежный компрессор КЦ 135/8, среда не указана в строках реестра;низкая
КА7-IVS;центробежный;не знаю;Центробежный компрессор типа КА7-IVS в производстве Каустик;низкая
CO 1000;центробежный;не знаю;Центробежный компрессор поз. GB-402 зав. № FF CO 1000 в цехе НАФ;низкая
К-350-61-2;центробежный;воздух;Воздушный центробежный компрессор К-350-61-2;высокая
К-350-62-1;центробежный;не знаю;Центробежный компрессор типа К-350-62-1 в производстве Каустик;низкая
RSA 3;центробежный;не знаю;Центробежный компрессор марки 4 RSA 32/36В на установках ЛСИ-200 и ЛЧ-35-11/600;низкая
ТК-250-61-5;центробежный;не знаю;Центробежный компрессор ТК-250-61-5 в компрессорной цеха 46;низкая
К-400;центробежный;кислород;Центробежный кислородный компрессор 543 ЦКК-400/40 и К-400-51-2;высокая
К485-61-1МА2;центробежный;не знаю;Центробежный компрессор К485-61-1МА2;низкая
Нд-58-1;центробежный;не знаю;Центробежный компрессор марки Нд-58-1;низкая
VK32-3;центробежный;технологический газ;Центробежный компрессор VK32-3EX с газовым турбодетандером в производстве ПОЛИЭФ;средняя
К400-51-1;центробежный;не знаю;Центробежный компрессор К400-51-1;низкая
К-105-61-1;центробежный;холодильный агент;Центробежный компрессор К-105-61-1 в холодильном отделении;высокая
Дана-1;центробежный;не знаю;Центробежный компрессор Дана-1 марки TKP-D на заводе синтетического каучука;низкая
К-400-51-1;центробежный;не знаю;Центробежный турбокомпрессор К-400-51-1;низкая
ОКС-32/244;центробежный;не знаю;Центробежный компрессор ОКС-32/244 на заводе ПППНД;низкая
К 250-61-2;центробежный;не знаю;Центробежный компрессор К 250-61-2 на заводе СПС;низкая
GA-425/7;центробежный;не знаю;Центробежный компрессор GA-425/7 фирмы BORSIG на установке Компрессия завода Мономер;низкая
R-393;центробежный;не знаю;Центробежный турбокомпрессор ТК-R-393 ВЕСНА на заводе СК;низкая
R500/90-640;вентилятор;воздух;Воздуходувка R500/90-640;высокая
SV 1610 F110T;насос;не знаю;Винтовой насос (упомянут в контексте насосов SN660);средняя
SV 3303/2;не машина;не знаю;Позиция или номер по схеме, в строке реестра указаны винтовые насосы SN660;высокая
SА 200/35;не машина;не знаю;Позиция или номер по схеме, в строке реестра указаны винтовые насосы SN660;высокая
A 32/1;не машина;не знаю;Позиция или номер по схеме, в строке реестра указаны винтовые насосы SN660;высокая
Е 150-400;не машина;не знаю;Позиция или номер по схеме, в строке реестра указаны винтовые насосы SN660;высокая
FHE 40-160/40;не машина;не знаю;Позиция или номер по схеме, в строке реестра указаны винтовые насосы SN660;высокая
Ц4-75-5;центробежный;не знаю;Центробежный компрессор советского производства;средняя
LМС-331;центробежный;не знаю;Вертикальный центробежный компрессор (LМС-331F и LМС-331Р);высокая
LМС-33;центробежный;не знаю;Вертикальный центробежный компрессор (серия LМС-331);высокая
SF114;центробежный;не знаю;Центробежный компрессор в составе турбокомпрессорного агрегата;высокая
FDRC 80-400;не знаю;не знаю;Обозначение из списка разнородного оборудования, точный тип не определен;низкая
В1 107;не знаю;не знаю;Обозначение из списка разнородного оборудования, точный тип не определен;низкая
RPA 70;не знаю;не знаю;Техническое устройство, контекст не раскрывает тип машины;низкая
KU011;не знаю;не знаю;Техническое устройство, контекст не раскрывает тип машины;низкая
SCK-42/10;винтовой;не знаю;Винтовой компрессор;средняя
СПЧ1,35/56-6;центробежный;природный газ;Центробежный нагнетатель природного газа серии 200-СПЧ;высокая
НЦ-196-1-45;центробежный;природный газ;Центробежный нагнетатель природного газа;высокая
BCL 604;центробежный;природный газ;Центробежный нагнетатель газа производства Nuovo Pignone (Baker Hughes);высокая
Н-196/56-1,45;центробежный;природный газ;Центробежный нагнетатель природного газа;высокая
Н-45-21-4;центробежный;не знаю;Центробежный нагнетатель;средняя
Вихрь-2;центробежный;природный газ;Инжекторный нагнетатель газа производства СИБ-ДАМЕЛЬ;высокая
ЦНТ-900;центробежный;природный газ;Центробежный нагнетатель природного газа типа ЦНТ;высокая
Н-700-12;центробежный;природный газ;Центробежный нагнетатель природного газа;высокая
Н-900-31-1;центробежный;природный газ;Центробежный нагнетатель природного газа;высокая
Н-900-31-3;центробежный;природный газ;Центробежный нагнетатель природного газа;высокая
Н-1000-31-1;центробежный;природный газ;Центробежный нагнетатель природного газа;высокая
НЦ-12/56-1,44;центробежный;не знаю;Нагнетатель центробежный;средняя
Н-650-23-1;центробежный;природный газ;Центробежный нагнетатель для ГПА;высокая
НЦ 00 НЦ12;не машина;не знаю;Позиция или фрагмент обозначения, не марка;средняя
ЦНВ 800/1,6;центробежный;воздух;Центробежный нагнетатель воздушный;высокая
НЦ-16/7;центробежный;не знаю;Центробежный нагнетатель ЦБН;средняя
НЦВ-6,3-56/1,45;центробежный;не знаю;Центробежный нагнетатель;средняя
GM150;не знаю;не знаю;Нагнетатель, вероятно импортный;низкая
S145/1;не знаю;не знаю;Нагнетатель, вероятно импортный;низкая
Н-7500-2;центробежный;не знаю;Центробежный нагнетатель большой мощности;средняя
S 125/4;не знаю;не знаю;Нагнетатель, вероятно импортный;низкая
VCM 200;не машина;не знаю;Часть обозначения комплектного агрегата;высокая
Н-900;центробежный;не знаю;Центробежный нагнетатель;средняя
О-500-23;не знаю;не знаю;Нагнетатель, возможно осевого типа;низкая
Н-50-32-1;центробежный;технологический газ;Центробежный нагнетатель для этиленового производства;высокая
НГ 360-21-1;центробежный;не знаю;Нагнетатель газовый центробежный;средняя
НЦ 235-21-1;центробежный;не знаю;Центробежный нагнетатель;средняя
Н-1000-31-2;центробежный;не знаю;Центробежный нагнетатель;средняя
ЗАФ-53;не знаю;воздух;Ротационный нагнетатель типа Рутса;средняя
ЦНТ-900-11-1;центробежный;не знаю;Центробежный технологический нагнетатель;средняя
Н670-24-1;центробежный;не знаю;Центробежный нагнетатель;средняя
Н700-03-1;центробежный;не знаю;Центробежный нагнетатель;средняя
TKV-324;центробежный;не знаю;Турбокомпрессор;средняя
ТВ300-1,6;центробежный;технологический газ;Турбокомпрессор для цеха улавливания химпродуктов;средняя
К 400-51-1;центробежный;не знаю;Центробежный турбокомпрессор;средняя
К-500-61-1М;центробежный;не знаю;Центробежный турбокомпрессор;средняя
АТКА-545-5000;центробежный;аммиак;Аммиачный холодильный центробежный турбокомпрессор;высокая
ТК6-RPA;центробежный;не знаю;Центробежный турбокомпрессор Галя-Э;низкая
АТКА-445-8000;центробежный;аммиак;Аммиачный холодильный центробежный турбокомпрессор (серия АТКА);средняя
TKL 13.13-56.9;центробежный;не знаю;Турбокомпрессор Вероника;низкая
ТГ-200-1,4;центробежный;воздух;Воздуходувка/турбокомпрессор для хлорного производства (каустик);средняя
TM2000-3;центробежный;не знаю;Турбокомпрессор Samsung двухступенчатый;низкая
SM6000-2250-1;центробежный;не знаю;Турбокомпрессор Samsung двухступенчатый;низкая
SM6000;центробежный;не знаю;Турбокомпрессор Samsung двухступенчатый (короткая форма обозначения);низкая
SМ6000;центробежный;не знаю;Турбокомпрессор Samsung двухступенчатый (кириллическое М);низкая
ТМ 2000-3;центробежный;не знаю;Турбокомпрессор Samsung двухступенчатый (с пробелом);низкая
ТКФ-248-4000 НУ6;центробежный;не знаю;Центробежный турбокомпрессор фреоновый (модификация НУ6);средняя
ТКФ-248-4000 НУ4;центробежный;холодильный агент;Центробежный турбокомпрессор фреоновый (модификация НУ4);средняя
ТВ-42/1,4-01;центробежный;природный газ;Турбокомпрессор для подготовки газа;высокая
ТКФ-248-4000 НУ;центробежный;холодильный агент;Центробежный турбокомпрессор фреоновый (общая серия НУ);средняя
У150/30;не знаю;не знаю;Недостаточно данных для идентификации;низкая
ЦфШнВ-1.00-ВМ;не машина;не знаю;Центрифуга (технологическое оборудование обогащения);средняя
ФВВ-112;не машина;не знаю;Центрифуга фильтрующая (ФВВ-1121У-02);средняя
ПК-1,2-12;не машина;не знаю;Питатель качающийся для угля;высокая
ГЦМ-360;не машина;не знаю;Грохот центробежный (оборудование обогащения угля);средняя
ТО-360;не машина;не знаю;Технологическое оборудование обогащения угля;низкая
МПЛ-150;не машина;не знаю;Машина для подготовки проб лабораторная;высокая
ГЦМ-350;не машина;не знаю;Грохот центробежный (оборудование обогащения угля);средняя
СВП-500;не машина;не знаю;Технологическое оборудование (вероятно, сито или грохот);низкая
MACO146;не знаю;не знаю;Недостаточно данных для идентификации;низкая
NP1110;не знаю;не знаю;Недостаточно данных для идентификации;низкая
EBW48;не машина;не знаю;Центрифуга шнековая фильтрующая, оборудование обогащения, не компрессор;высокая
ФВШ-1.00-С;не знаю;не знаю;Упоминается в контексте углеобогащения, тип устройства не идентифицирован;низкая
ПМ-35;не машина;не знаю;Пылеуловитель, аппарат очистки воздуха/газа от пыли;высокая
В-1200;вентилятор;не знаю;Вентилятор диаметром 1200 мм, применяется в углеобогащении;средняя
ЭШ-1400;не машина;не знаю;Вероятно элеватор шнековый или питатель, упоминается в контексте углеобогащения;низкая
В-1400;вентилятор;не знаю;Вентилятор диаметром 1400 мм, применяется в углеобогащении;средняя
ПМ 1-16;не машина;не знаю;Вероятно питатель или дозатор, упоминается в контексте углеобогащения;низкая
ГЦ-1000;не машина;не знаю;Гидроциклон диаметром 1000 мм, сепаратор для углеобогащения;высокая
В-900;вентилятор;не знаю;Вентилятор диаметром 900 мм, применяется в углеобогащении;средняя
ГЦ-710;не машина;не знаю;Гидроциклон диаметром 710 мм, сепаратор для углеобогащения;высокая
ГИСЛ-62 У;не знаю;не знаю;Упоминается в контексте углеобогащения, тип устройства не идентифицирован;низкая
