telefon;nositel;fajl;kontekst;est_v_nashih_fajlah
74956459479;href tel:;rtn2.html;" Заместитель начальника управления (495) 645-94-79 доб. 13-30 --> <td colspan=""1"" align=""c";нет
74956459482;href tel:;rtn2.html;"/about_gosnadzor/structure/head/index.php"">Трембицкий Александр Вячеславович Руководитель (495) 645-94-82 <div style=""text-al";нет
74955321529;href tel:;rtn2.html;др Викторович Статс-секретарь - заместитель руководителя (495) 532-15-29 <td co;нет
74956459495;href tel:;rtn2.html;"an=""1"" align=""center""> Козивкин Владимир Владимирович Заместитель руководителя (495) 645-94-95 <a href=""/about_gosnadzor/structu";нет
74956459479;href tel:;rtn2.html;"r/structure/substitute/ferapontov"">Ферапонтов Алексей Викторович Заместитель руководителя (495) 645-94-84 <div style=""text-al";нет
74956453605;href tel:;rtn2.html;""">Алексей Александрович Заместитель руководителя (495) 645-36-05 <a href=""https://www.gosnadzor.ru/about_gosna";нет
74956459490;href tel:;rtn2.html;"p"">Вадим Иванович&nbsp; Заместитель руководителя (495) 645-94-90 <a href=""https://www.gosnadzor.ru/about_gosna";нет
74956465792;href tel:;rtn2.html; Станислав Анатольевич Заместитель руководителя (495) 646-57-92 Виль ;нет
74955321519;href tel:;rtn2.html;"r""> Виль Андрей Андреевич Помощник руководителя (495) 532-15-19 Пилавов Михаил Иванович <td colspan=""1"" style";нет
74956459479;href tel:;rtn2.html;"nter""> Cтуденков Роман Васильевич Помощник руководителя (495) 645-94-79 доб.&nbsp;89-83 Ермак Геннадий Павлович <td co";нет
74956463303;href tel:;rtn2.html; Дудкин Роман Евгеньевич Советник руководителя (495) 646-33-03 Николаев Владислав Игоревич ;нет
74955321326;href tel:;rtn2.html; Николаев Владислав Игоревич Советник руководителя (495) 532-13-26 Шмаль <div styl;нет
74956459479;href tel:;rtn2.html;Шмаль Николай Игоревич Советник руководителя (495) 645-94-79 доб. 50-76 1. Управление информатизации ;нет
74956459479;href tel:;rtn2.html;"t-align: center;"">Инна Игоревна Начальник управления (495) 645-94-79 доб. 30-24&nbsp; Приемная управления <td colspan=""1"" style=""";нет
74956459479;href tel:;rtn2.html;"-79 доб. 30-24&nbsp; Приемная управления (495) 645-94-79 доб. 30-24 IT-UPR@gosnadzor.gov.ru <tr align=""center""";нет
74956459479;href tel:;rtn2.html;" Мингазов Руслан Маратович Начальник отдела&nbsp; (495) 645-94-79 доб. 39-80 Отдел <span st="""" yle=""font-size: 12pt; l";нет
74956459479;href tel:;rtn2.html;"uot;Times New Roman&quot;, serif;"">Начальник отдела (495) 645-94-79 доб. 51-17 Отдел системного администрирования ";нет
74956459479;href tel:;rtn2.html;"pt; line-height: normal;""> Начальник отдела (495) 645-94-79 &nbsp;доб. 21-10 2. Организационно-аналитическое управл";нет
74956481222;href tel:;rtn2.html;> Медведь Артем Тарасович Начальник управления (495) 648-12-22 2upr@gosnadzor.ru ;нет
74956481222;href tel:;rtn2.html;> (495) 648-12-22 Николаенко ;нет
74956459479;href tel:;rtn2.html;": 12pt; line-height: 107%; font-family: &quot;Times New Roman&quot;, serif;"">Сергей Александрович Начальник управления (495) 645-94-79 доб. 51-26 3upr@gosnadzor";нет
74957896014;href tel:;rtn2.html;" Михаил Сергеевич Заместитель начальника управления (495) 789-60-14 Хрулина Надежда Анатольевна <td colspan=""1"" align=""center""";нет
74956459479;href tel:;rtn2.html; Хрулина Надежда Анатольевна Заместитель начальника управления (495) 645-94-79 доб. 60-26 Карсаков Андрей Александрович <td c;нет
74956459479;href tel:;rtn2.html;" colspan=""1"" align=""center"">Карсаков Андрей Александрович Заместитель начальника управления (495) 645-94-79 доб. 30-86 Отдел администрирования доходов бюд";нет
74957896037;href tel:;rtn2.html;"ine-height: normal;""> Начальник отдела (495) 645-94-79 доб. 31-40 Отдел бю";нет
74956459479;href tel:;rtn2.html;" Татьяна Владимировна Начальник отдела (495) 645-94-79 доб. 53-43 <span st="""" yle=""font-size: 1";нет
74956459479;href tel:;rtn2.html; Сергушкина Наталья Алексеевна Начальник отдела (495) 645-94-79 доб.53-30 Отдел реализации г;нет
74956459478;href tel:;rtn2.html; Паничкина Анастасия Ивановна Начальник отдела (495) 645-94-78 4. Управление государственной службы и кадров ;нет
74959269175;href tel:;rtn2.html; Конькова Дарья Сергеевна Начальник управления (495) 926-91-75 4upr@gosnadzor.ru ;нет
74956456680;href tel:;rtn2.html; Волкова Алла Александровна Начальник отдела (495) 645-66-80 Отдел комплектования и прохождения государственной с;нет
74956459479;href tel:;rtn2.html; Ольга Николаевна Начальник отдела (495) 645-94-79 доб. 50-97 Отдел по профилактике коррупционных и иных ;нет
74956459479;href tel:;rtn2.html;Ляшевич Владимир Васильевич Заместитель начальника управления - начальник отдела (495) 645-94-79 доб. 64-14 Отдел руководящих кадров территориальных о;нет
74955321336;href tel:;rtn2.html; Манаков Владислав Александрович Начальник управления (495) 532-13-36 Жидков <div sty;нет
74955321521;href tel:;rtn2.html; Валерий Анатольевич Заместитель начальника управления (495) 532-15-21 Секретариат 5 Управления ;нет
74956459479;href tel:;rtn2.html;" Старостина Екатерина Юрьевна Ведущий специалист-эксперт (495) 645-94-79 доб. 60-21 &nbsp; Рывкина Александ";нет
74956459479;href tel:;rtn2.html;" Рывкина Александра Викторовна Старший специалист 1 разряда (495) 645-94-79 доб. 64-48 &nbsp; <";нет
74956459479;href tel:;rtn2.html; Мацука Эдуард Федорович Начальник отдела (495) 645-94-79 доб. 63-10 Отдел оценок и лицензирования новых блоков атомн;нет
74956459479;href tel:;rtn2.html; Польдяев Владислав Александрович Начальник отдела (495) 645-94-79 доб. 64-34 Отдел по надзору за системами управления, к;нет
74956459479;href tel:;rtn2.html;/span> Начальник отдела (495) 645-94-79 доб. 64-27 Отдел инспекций исследовательских ядерных;нет
74955321528;href tel:;rtn2.html;" Хлабыстов Сергей Борисович Начальник отдела (495) 532-15-28 <span st="""" yle=""font-size: 12pt; line-height: 107%; font-";нет
74956459479;href tel:;rtn2.html;" Василий Сергеевич Начальник отдела (495) 645-94-79 доб.15-27&nbsp; </b";нет
74956459479;href tel:;rtn2.html;"uot;Times New Roman&quot;, serif;"">Начальник отдела (495) 645-94-79 доб. 50-22 6. Управление по регулированию безоп";нет
74956459479;href tel:;rtn2.html;"span=""1"" align=""center"">Белкин Дмитрий Юрьевич Начальник управления (495) 645-94-79 доб. 60-96&nbsp; 6upr@gosnadzor.ru <td c";нет
74956459479;href tel:;rtn2.html;" Гринштейн Вероника Игоревна Главный специалист-эксперт (495) 645-94-79 доб. 60-96&nbsp; Пыжук Екатерина ";нет
74956459479;href tel:;rtn2.html;" Пыжук Екатерина Николаевна Специалист 1 разряда (495) 645-94-79 доб. 50-09 Ивлева Анастасия Сергеевна <td colspan=""1"" style=""text-align: c";нет
74956459479;href tel:;rtn2.html; Ивлева Анастасия Сергеевна Специалист 1 разряда (495) 645-94-79 доб. 64-67 Отдел оценок, лицензирования и инспекций пр;нет
74956459479;href tel:;rtn2.html;"lspan=""1"" align=""center""> Начальник отдела (495) 645-94-79 доб. 60-61 <span st="""" yle=""font-size: 11pt; line-height: 115%; font-family: &quot;Times New ";нет
74955321542;href tel:;rtn2.html;" Roman&quot;, serif;"">Заместитель начальника отдела (495) 532-15-42 доб. 25-44 <span st="""" yle=""font-size: 11pt; line-height: 115%; font-family: &quot;Ti";нет
74956459479;href tel:;rtn2.html;"New Roman&quot;, serif;"">Ведущий специалист-эксперт (495) 645-94-79 доб. 14-05 <span st="""" yle=""font-size: 11pt; line-height: 115%; font-family: &quot;Ti";нет
74956459479;href tel:;rtn2.html;"ндрович Советник (495) 645-94-79 доб. 53-20 <span st="""" yle=""font-size: 11pt; line-height: 115%; font-family: &quot;Ti";нет
74956459479;href tel:;rtn2.html;"New Roman&quot;, serif;"">Главный специалист-эксперт (495) 645-94-79 доб. 50-60 Купалова-Ярополк </div";нет
74956459479;href tel:;rtn2.html;а-Ярополк Валентина Андреевна Советник (495) 645-94-79 доб. 18-09 Отдел оценок, лицензирования и инспекций об;нет
74956459479;href tel:;rtn2.html;Филиппова Елена Владимировна Начальник отдела (495) 645-94-79 доб. 51-94 Молчанова Галина Аркадьевна <td col;нет
74956459479;href tel:;rtn2.html;"-align: center;"">Молчанова Галина Аркадьевна Главный специалист-эксперт (495) 645-94-79 доб. 50-95 Отдел оценок, лицензирова";нет
74955321317;href tel:;rtn2.html;"ext-align: center;"">Вадим Вадимович Начальник отдела (495) 532-13-17 <span st="""" yle=""font-size: 11pt; line-height: 115%; font-family: &quot;Times New Roman&quo";нет
74956459479;href tel:;rtn2.html;" align=""center""> Заместитель начальника отдела (495) 645-94-79 доб. 21-51 <span yle=""font-size: 12pt; line-height: 150%; font-fam";нет
74956459479;href tel:;rtn2.html;v>Советник (495) 645-94-79 доб. 51-89 <span st=;нет
74956459479;href tel:;rtn2.html;"ов Денис Акбанович Главный специалист-эксперт (495) 645-94-79 доб. 60-04 <span st="""" yle=""font-size: 11pt; line-height: 115%; font-family: &quot;Times New";нет
74956459479;href tel:;rtn2.html;"e-height: 115%; font-family: &quot;Times New Roman&quot;, serif;"">Захаров Алексей Генрихович Главный специалист-эксперт (495) 645-94-79 доб. 64-78 Отдел оценок,";нет
74956459479;href tel:;rtn2.html;" Евгений Борисович Советник (495) 645-94-79 доб. 31-09 Скубанов&nbsp; Александр Борисов";нет
74956459479;href tel:;rtn2.html;" center;"">Скубанов&nbsp; Александр Борисович Главный специалист-эксперт (495) 645-94-79 доб. 60-16 Отдел оценок, лицензирования и инспекций ра";нет
74956459479;href tel:;rtn2.html;" Панин Алексей Николаевич Советник (495) 645-94-79 доб. 60-73 Склифасовская Юлия Геннадиевна <td colspan=""1"" a";нет
74956459479;href tel:;rtn2.html;> Склифасовская Юлия Геннадиевна Советник (495) 645-94-79 доб. 51-11 Питер ;нет
74956459479;href tel:;rtn2.html; Елена Владимировна Главный специалист-эксперт (495) 645-94-79 доб. 60-71 7. Управление горного надзора ;нет
74956463300;href tel:;rtn2.html;" Ткаченко Вадим Михайлович Начальник управления (495) 646-33-00 ruda@gosnadzor.ru <td colspan=""1"" style=""text-align: ce";нет
74956463304;href tel:;rtn2.html;"в Виктор Петрович Заместитель начальника управления &nbsp;(495) 646-33-00 <span st="""" yle=""font-size: 12pt; line-height: 107%; font-family";нет
74956463300;href tel:;rtn2.html;"> Главный специалист-эксперт (495) 646-33-00 <span st="""" yle=""font-size: 12pt; line-height: 107%; font-family: &quot;Times New Rom";нет
74956459479;href tel:;rtn2.html;"r"">Ведущий специалист-эксперт (495) 645-94-79 , доб. 59-74 Отдел по надзору за металлургически";нет
74956459479;href tel:;rtn2.html;"r""> Зуев Алексей Геннадьевич Заместитель начальника управления – начальник отдела (495) 645-94-79 , доб. 53-44 metal@gosnadzor.ru <td colspan=""1"" align=""";нет
74956459479;href tel:;rtn2.html;" colspan=""1"" align=""center"">Заместитель начальника отдела (495) 645-94-79 , доб. 21-98 Отдел маркшейдерского ";нет
74956463307;href tel:;rtn2.html;"""1"" align=""center"">Алексеев Андрей Борисович Заместитель начальника управления – начальник отдела (495) 646-33-07 nedra@gosnadzor.ru <spa";нет
74956459479;href tel:;rtn2.html;"mily: &quot;Times New Roman&quot;, serif;"">Советник (495) 645-94-79 , доб. 21-15 Тябина Елена Владимировна <";нет
74956459479;href tel:;rtn2.html; Анастасия Владимировна Начальник отдела (495) 645-94-79 доб. 81-85 Гурова Мария Юрьевна Заместитель начальника от;нет
74956459479;href tel:;rtn2.html;" center;"">Заместитель начальника отдела&nbsp; (495) 645-94-79 , доб. 30-37 <span st="""" yle=""font-size: 12pt; line-height: 107%; font-family: &quot;T";нет
74956459479;href tel:;rtn2.html;span> Начальник отдела (495) 645-94-79 , доб. 60-27 <a hr;нет
74956459479;href tel:;rtn2.html;"gn: center;"">Ненахов Иван Андреевич Заместитель начальника отдела&nbsp; (495) 645-94-79 , доб. 21-81 <span st="""" yle=""font-size: 12pt; line-height: 107%; font-f";нет
74956459479;href tel:;rtn2.html;"mily: &quot;Times New Roman&quot;, serif;"">Советник (495) 645-94-79 , доб. 21-79 Отдел организации надзорных мер";нет
74956459479;href tel:;rtn2.html;"uot;Times New Roman&quot;, serif;"">Начальник отдела (495) 645-94-79 , доб. 84-55 <span st="""" yle=""font-size: 12pt; line-height: 107%; font-family: &quot;Times N";нет
74956459479;href tel:;rtn2.html;"&quot;, serif;"">Заместитель начальника отдела&nbsp; (495) 645-94-79 , доб. 21-89 8. Управление общепромышленного над";нет
74956463311;href tel:;rtn2.html; Фоминых Максим Валентинович Начальник управления (495) 646-33-11 (495) 645-36-04 8upr@gosn;нет
74956453604;href tel:;rtn2.html; Максим Валентинович Начальник управления (495) 646-33-11 (495) 645-36-04 8upr@gosnadzor.ru Ясин;нет
74956463313;href tel:;rtn2.html; Ясинский Иван Степанович Заместитель начальника управления (495) 646-33-13 Секретариат 8 управления ;нет
74956463311;href tel:;rtn2.html;атольевна Специалист 1 разряда (495) 646-33-11 Отдел по надзору за взры;нет
74956463315;href tel:;rtn2.html;"lign=""center"">Бритиков Дмитрий Александрович Заместитель начальника управления - начальник отдела (495) 646-33-15 Отдел по надзору за предприятиями химического ";нет
74956459479;href tel:;rtn2.html; Ермошин Владимир Александрович Заместитель начальника отдела (495) 645-94-79 доб. 30-69 Отдел по надзору за предприятиями оборонно-;нет
74956459479;href tel:;rtn2.html; Смирнов Алексей Владимирович Начальник отдела (495) 645-94-79 доб. 51-80 (495) 646-33-16 ;нет
74956463316;href tel:;rtn2.html;лексей Владимирович Начальник отдела (495) 645-94-79 доб. 51-80 (495) 646-33-16 Отдел организации методического;нет
74956459479;href tel:;rtn2.html;";"">Наталья Анатольевна Заместитель начальника отдела (495) 645-94-79 доб. 30-16 9. Управление государстве";нет
74956463323;href tel:;rtn2.html; Николай Валентинович Заместитель начальника управления (495) 646-33-23 Х;нет
74956459479;href tel:;rtn2.html;"ign: center;"">Константин Николаевич Начальник отдела (495) 645-94-79 доб. 94-75 Рахалин Сергей Николаевич ";нет
74956459479;href tel:;rtn2.html;"ter""> Рахалин Сергей Николаевич Заместитель начальника отдела (495) 645-94-79 доб. 91-99 Васильев Александр Геннадьевич <td colspan=""1"" a";нет
74956459479;href tel:;rtn2.html;"tr> Васильев Александр Геннадьевич Консультант (495) 645-94-79 доб. 30-31 <span st="""" yle=""font-size: 12pt; line-height: 107%; font-family: &quot;Times Ne";нет
74956459479;href tel:;rtn2.html;"/span> Советник (495) 645-94-79 доб. 30-71 Мансуров&nbsp; Сергей Александрович ";нет
74956459479;href tel:;rtn2.html;"pan>Мансуров&nbsp; Сергей Александрович Главный государственный инспектор (495) 645-94-79 доб. 89-82 <span st="""" yle=""font-size: 11pt; font-family: &quot;Times ";нет
74956459479;href tel:;rtn2.html;"Roman&quot;, serif;"">Заместитель начальника отдела (495) 645-94-79 доб. 52-11 Шляхтин Алексей Анатольевич <";нет
74956459479;href tel:;rtn2.html; Шляхтин Алексей Анатольевич Главный государственный инспектор (495) 645-94-79 доб. 91-58 Отдел надзора за п;нет
74956459479;href tel:;rtn2.html; Жемойдиков Александр Георгиевич Начальник отдела (495) 645-94-79 доб. 30-29 Николаев Алексей Александрович <;нет
74956459479;href tel:;rtn2.html;" Николаев Алексей Александрович Заместитель начальника отдела (495) 645-94-79 доб. 21-33 Филиппова Людмила Алексеевна <td colspan=""1"" ali";нет
74956459479;href tel:;rtn2.html; Филиппова Людмила Алексеевна Консультант (495) 645-94-79 доб. 53-46 Мурашов <div style=;нет
74956459479;href tel:;rtn2.html;">Роман Валерьевич&nbsp; Главный специалист-эксперт (495) 645-94-79 доб. 53-41 Саблин Денис Витальевич";нет
74956459479;href tel:;rtn2.html;"text-align: center;"">Саблин Денис Витальевич Главный специалист-эксперт (495) 645-94-79 доб. 54-12 Отдел организации надзорных мероприятий</st";нет
74956459479;href tel:;rtn2.html;"""text-align: center;"">Васильев Константин Владимирович Начальник отдела (495) 645-94-79 доб. 24-41 <span st="""" yle=""font-size: 11pt; font-family: &quot;Times Ne";нет
74956459479;href tel:;rtn2.html;"r""> Короткова&nbsp; Светлана Владимировна Главный специалист-эксперт (495) 645-94-79 доб. 53-34 Отдел мониторинга и контроля при реализаци";нет
74956459479;href tel:;rtn2.html;" Кудусович&nbsp; Главный государственный инспектор (495) 645-94-79 доб. 24-40 Быковский Алексей Георг";нет
74956459479;href tel:;rtn2.html;"center;"">Быковский Алексей Георгиевич Главный государственный инспектор (495) 645-94-79 &nbsp;доб. 21-87 10. Управление госуд";нет
74955321351;href tel:;rtn2.html;" align=""center""> Щурский Олег Михайлович Начальник управления (495) 532-13-51 10upr@gosnadzor.ru ";нет
74956459479;href tel:;rtn2.html; Бибин Евгений Алексеевич Заместитель начальника управления (495) 645-94-79 доб. 15-38 ;нет
74956459479;href tel:;rtn2.html;">Михаил Васильевич Заместитель начальника управления (495) 645-94-79 доб. 51-48 Летаев <div style=""";нет
74956459479;href tel:;rtn2.html;>Сергей Алексеевич Заместитель начальника управления (495) 645-94-79 доб. 50-46 Отдел по надзору за тепловыми электростанци;нет
74956459479;href tel:;rtn2.html;" Померанцев Александр Владимирович Начальник отдела (495) 645-94-79 доб. 60-03 Артёмов Алексей Александрович <td colspan=""1"" al";нет
74956459479;href tel:;rtn2.html; Артёмов Алексей Александрович Заместитель начальника отдела (495) 645-94-79 доб. 64-47 Бакланов ;нет
74956459479;href tel:;rtn2.html; Александр Юрьевич Заместитель начальника отдела (495) 645-94-79 доб. 60-09 Отдел по надзору за электрическими сетями<;нет
74956459479;href tel:;rtn2.html;""">Юрданов Алексей Михайлович Начальник отдела (495) 645-94-79 доб. 50-74 <td colspan=""1"" style=""text-align";нет
74956459479;href tel:;rtn2.html;" Самородов Александр Вячеславович Начальник отдела (495) 645-94-79 доб. 60-56 <span st="""" yle=""font-size: 12pt; line-height: 115%; font-family: &q";нет
74956459479;href tel:;rtn2.html;"y: &quot;Times New Roman&quot;, serif;"">Ефремова Анна Сергеевна Заместитель начальника отдела (495) 645-94-79 &nbsp;доб. 63-18 Отдел организации надзорных мероп";нет
74956459479;href tel:;rtn2.html;"> Машарова Ольга Владимировна Начальник отдела (495) 645-94-79 доб. 60-91 Василевский Александр Антонович <td colspan=""1"" ";нет
74956459479;href tel:;rtn2.html; Василевский Александр Антонович Заместитель начальника отдела (495) 645-94-79 доб. 21-40 Отдел по надзору за гидроэлектростанциями и;нет
74956459479;href tel:;rtn2.html;"""center""> Климов Евгений Александрович Начальник отдела (495) 645-94-79 доб. 24-39 Калиничев Дми";нет
74956459479;href tel:;rtn2.html;ич Заместитель начальника отдела (495) 645-94-79 доб. 35-22 Мудрик Андрей Васильевич Заместитель начальник;нет
74956459479;href tel:;rtn2.html;доб. 35-22 Мудрик Андрей Васильевич Заместитель начальника отдела (495) 645-94-79 доб. 51-19 Отдел по нормативно-правовому регулированию в ;нет
74956459479;href tel:;rtn2.html;""" style=""text-align: center;"">Денисов Сергей Сергеевич Начальник отдела (495) 645-94-79 &nbsp;доб. 64-83 Лукьянова <div";нет
74956459479;href tel:;rtn2.html;"нова Юлия Юрьевна Заместитель начальника отдела (495) 645-94-79 &nbsp;доб. 51-97 11. Правовое управление ";нет
74956463326;href tel:;rtn2.html;" Яковлев Дмитрий Алексеевич Начальник управления (495) 646-33-26 11upr@gosnadzor.ru &nbsp; <";нет
74956459479;href tel:;rtn2.html;"align: center;"">Пащенко Елена Юрьевна Заместитель начальника управления (495) 645-94-79 доб. 60-33 Фролов Владимир Владимирович <td colspan=""1"" ali";нет
74957893954;href tel:;rtn2.html; Фролов Владимир Владимирович Заместитель начальника управления (495) 789-39-54 Отдел правового обеспечения <br;нет
74956459479;href tel:;rtn2.html;" Кулик Александр Александрович Начальник отдела (495) 645-94-79 доб. 12-39 Весна Константин Михайлович <td colspan=""1"" al";нет
74956459479;href tel:;rtn2.html; Весна Константин Михайлович Заместитель начальника отдела (495) 645-94-79 доб. 22-12 Отдел судебно-претензионной работы ;нет
74956459479;href tel:;rtn2.html;"""1"" align=""center"">Картавый Олег Анатольевич Заместитель начальника управления - начальник отдела (495) 645-94-79 доб. 51-27 Отдел организации работ по подтверж";нет
74955321518;href tel:;rtn2.html;> Арефьева Наталия Михайловна Начальник отдела (495) 532-15-18 Отдел организации лицензионной деятельности ;нет
74957893414;href tel:;rtn2.html; Плаксина Виктория Викторовна Начальник отдела (495) 789-34-14 лицензирование отдельных видов деятельности Вечканова ;нет
74955321329;href tel:;rtn2.html;" Вечканова Ирина Александровна Заместитель начальника отдела (495) 532-13-29 лицензирование деятельности в области использования атомной энергии <td colspan=""1""";нет
74956459479;href tel:;rtn2.html;"ter;"">Сапелкина Анна Николаевна Консультант (495) 645-94-79 доб. 51-59 лицензирование деятельности в области использования атомной энергии <td colspan=""1""";нет
74956459479;href tel:;rtn2.html;"n: center;"">Анастасия Валериановна Главный специалист-эксперт (495) 645-94-79 доб. 51-41 лицензирование отдельных видов деятельности ";нет
74956459479;href tel:;rtn2.html;"lign: center;"">Анастасия Анатольевна Ведущий специалист-эксперт (495) 645-94-79 доб. 53-23 лицензирование деятельности в области использования атомной энергии ";нет
74956459479;href tel:;rtn2.html; Соловьева Ольга Сергеевна Советник (495) 645-94-79 доб. 51-39 Кононова Анастасия Викторовна Консультан;нет
74956459479;href tel:;rtn2.html;доб. 51-39 Кононова Анастасия Викторовна Консультант (495) 645-94-79 доб. 53-22 Шилкина Екатерина Викторовна Консультант;нет
74956459479;href tel:;rtn2.html; доб. 53-22 Шилкина Екатерина Викторовна Консультант (495) 645-94-79 доб. 92-01 Беляева Юлия Сергеевна Ведущий специали;нет
74956459479;href tel:;rtn2.html;td> Беляева Юлия Сергеевна Ведущий специалист 3 разряда (495) 645-94-79 доб. 2989 12. Управление международного сотрудничества;нет
74955321366;href tel:;rtn2.html;" Лебедева Елена Александровна И.о. начальник управления (495) 532-13-6 3&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp; 12upr@gosnadzor.ru ";нет
74955321369;href tel:;rtn2.html; Заместитель начальника управления (495) 532-13-69 Отдел загранкомандирований и протокола </st;нет
74955321372;href tel:;rtn2.html; Безвербная Дарья Алексеевна Начальник отдела (495) 532-13-72 Отдел сотрудничества в области надзора и контроля за я;нет
74955321368;href tel:;rtn2.html;r> Иванова Мария Вячеславовна Начальник отдела (495) 532-13-68 Отдел сотрудничества в области надзора и ;нет
74955321367;href tel:;rtn2.html;Чачелов Дмитрий Владимирович Начальник отдела (495) 532-13-67 Отдел содействия в развитии инфраструктуры регулир;нет
74956459479;href tel:;rtn2.html;r> Колобов Валерий Николаевич Начальник отдела (495) 645-94-79 , доб. 64-56 13. Управление по надзору в угольной п;нет
74956476264;href tel:;rtn2.html; Никитин Сергей Геннадьевич Начальник управления (495) 647-62-7 7 ugol@gosnadzor.ru ;нет
74956476271;href tel:;rtn2.html; Мясников Сергей Викторович Заместитель начальника управления (495) 647-62-71 Приемная Управления <td c;нет
74956476264;href tel:;rtn2.html; Ирина Алексеевна Ведущий специалист-эксперт (495) 647-62-64 Кожемякина ;нет
74956459479;href tel:;rtn2.html; Ольга Александровна Главный специалист-эксперт (495) 645-94-79 доб. 30-32 Колосова Татьяна Анатольевна <td co;нет
74956459479;href tel:;rtn2.html;"align: center;"">Колосова Татьяна Анатольевна Главный специалист-эксперт (495) 645-94-79 &nbsp;доб. 30-32 Отдел по надзору за ";нет
74956459479;href tel:;rtn2.html;"ьская Татьяна Викторовна Начальник отдела (495) 645-94-79 доб. 30-20 <span st="""" yle=""font-size: 12pt; line-height: 107%; font-family: &quot;Times New";нет
74956463330;href tel:;rtn2.html;" Нестеров Юрий Леонидович Начальник управления (495) 646-33-30 Neftegaz@gosnadzor.ru <td colspan=""1"" align=""center";нет
74956459479;href tel:;rtn2.html;/tr> Толмачев Денис Сергеевич Начальник отдела (495) 645-94-79 доб. 90-67 Отдел по надзору за объектами нефтехим;нет
74956459479;href tel:;rtn2.html;димирович Начальник отдела (495) 645-94-79 доб. 33-32 Отдел по надзору за объектами трубопроводного транспор;нет
74956459479;href tel:;rtn2.html;"=""1"" align=""center"">Титко Валерий Леонидович Заместитель начальника управления - начальник отдела (495) 645-94-79 доб. 91-86 ";нет
74956459479;href tel:;rtn2.html;> Чумак Евгений Александрович Начальник отдела (495) 645-94-79 доб. 35-24 Отдел организации надзорн;нет
74956459479;href tel:;rtn2.html;> Марченко Ярослав Игоревич Начальник отдела (495) 645-94-79 доб. 21-50 15. Управление специально;нет
74955321506;href tel:;rtn2.html; Боков Дмитрий Александрович Начальник управления (495) 532-15-06 (495) 532-13-73 15upr@gos;нет
74955321373;href tel:;rtn2.html; Дмитрий Александрович Начальник управления (495) 532-15-06 (495) 532-13-73 15upr@gosnadzor.ru ;нет
74956459488;href tel:;rtn2.html;Максим Валерьевич Заместитель начальника управления (495) 645-94-88 Отдел по регулированию физической защиты ядерных материалов;нет
74956459489;href tel:;rtn2.html;"div> Заместитель начальника управления - начальник отдела (495) 645-94-89 Ковалев Константин Владимирович <td colspan=""1"" align=""cent";нет
74956459479;href tel:;rtn2.html;"nter"">Ковалев Константин Владимирович Заместитель начальника отдела (495) 645-94-79 доб. 60-59 О";нет
74956459479;href tel:;rtn2.html;"align: center;"">Артем Александрович Начальник отдела (495) 645-94-79 доб. 60-01 Щербаков ";нет
74956459479;href tel:;rtn2.html;"ign=""center""> Заместитель начальника отдела (495) 645-94-79 доб. 10-11 Отдел по надзору за системами ";нет
74956459479;href tel:;rtn2.html;/tr> Новак Игорь Анатольевич Начальник отдела (495) 645-94-79 доб. 64-03 Плюснина ;нет
