sovetskoe_nazvanie;postavok;gody;sovremennoe;naydeno_v_reestre;inn;zakazchik_v_reestre;otlichitelnoe_slovo;nadezhnost
Миннибаевский газобензиновый завод;13;1961-1994;ПАО «Татнефть» — Миннибаевский газоперерабатывающий завод;да;1644003838;"ПАО ""ТАТНЕФТЬ"" ИМ. В.Д. ШАШИНА";татнефть;сомнительно: совпал только город или холдинг
Североникель;11;1958-1994;АО «Кольская ГМК» (комбинат «Североникель»);да;5191431170;"АО ""КОЛЬСКАЯ ГМК""";кольская;сомнительно: совпал только город или холдинг
Красный Октябрь МЗ;11;1961-1989;АО «Волгоградский металлургический завод «Красный Октябрь»;да;3442123614;"АО ""ВМК ""Красный Октябрь""";красный,октябрь;сомнительно: совпал только город или холдинг
Нижнекамскнефтехим;10;1967-1982;ПАО «Нижнекамскнефтехим»;да;1651000010;"ПАО ""НИЖНЕКАМСКНЕФТЕХИМ""";нижнекамскнефтехим;надёжно
Омскнефтеоргсинтез;10;1968-1990;АО «Газпромнефть-ОНПЗ»;да;5501041254;"АО ""ГАЗПРОМНЕФТЬ-ОНПЗ""";газпромнефть-онпз;надёжно
Нижневартовский ГБЗ;9;1973-1991;Нижневартовский газоперерабатывающий завод;да;8603138726;"ООО ""Нижневартовский ГПК""";нижневартовский;сомнительно: совпал только город или холдинг
Омский завод синтетического каучука;7;1957-1981;АО «Омский каучук»;да;5501023216;"АО ""ОМСКИЙ КАУЧУК""";каучук,омский;сомнительно: совпал только город или холдинг
Ачинский глиноземный завод;7;1963-1993;АО «РУСАЛ Ачинск» (Ачинский глиноземный завод);да;3815011264;"ООО ""РУСАЛ ТАЙШЕТ""";русал;сомнительно: совпал только город или холдинг
Норильский ГОК;7;1965-1988;ПАО «ГМК «Норильский никель» (Заполярный филиал);да;9909071164;"""ЭНЛ "" - Филиал компании ""Эксон Нефтегаз Лимитед"" (Багамские Острова) в городе Южно-Сахалинске";филиал;сомнительно: совпал только город или холдинг
Красный треугольник;5;1964-1989;АО Красный треугольник;да;3442123614;"АО ""ВМК ""Красный Октябрь""";красный;сомнительно: совпал только город или холдинг
Средне-Уральский МЗ;5;1967-1990;АО Средне-Уральский медеплавильный завод;да;6627001318;"АО ""СУМЗ"", АО ""СРЕДНЕУРАЛЬСКИЙ МЕДЕПЛАВИЛЬНЫЙ ЗАВОД""";медеплавильный;надёжно
Череповецкий АТЗ;5;1969-1983;АО ФосАгро-Череповец;да;3528191736;"АО ""ФосАгро-Череповец""";фосагро-череповец;надёжно
Красноярский алюминиевый завод;5;1986-1991;Красноярский алюминиевый завод ОК РУСАЛ;да;3815011264;"ООО ""РУСАЛ ТАЙШЕТ""";русал;сомнительно: совпал только город или холдинг
Саянский алюминиевый завод;5;1987-1992;Саянский алюминиевый завод ОК РУСАЛ;да;3815011264;"ООО ""РУСАЛ ТАЙШЕТ""";русал;сомнительно: совпал только город или холдинг
Норильский комбинат;4;1950-1965;ПАО Горно-металлургическая компания Норильский никель;да;8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";никель,норильский;сомнительно: совпал только город или холдинг
Электроцинк;4;1955-1964;ОАО «Электроцинк»;да;1500000113;ОАО «Электроцинк»;электроцинк;надёжно
Братский алюминиевый завод;4;1981-1992;АО «РУСАЛ Братск», входит в UC RUSAL;да;3815011264;"ООО ""РУСАЛ ТАЙШЕТ""";русал;сомнительно: совпал только город или холдинг
Печенганикель;4;1982-1991;вошёл в состав «Кольской ГМК» (ПАО «ГМК «Норильский никель»);да;8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";никель,норильский;сомнительно: совпал только город или холдинг
Димитровградский ХК аммиак аз.кисл;3;1962-1985;ПАО Минеральные удобрения;да;0263009557;"АО ""МЕЛЕУЗОВСКИЕ МИНЕРАЛЬНЫЕ УДОБРЕНИЯ""";минеральные,удобрения;надёжно
Тобольский нефте-химич.завод Тобольский нефте-химический завод;3;1986-1988;Тобольск-Нефтехим (входит в СИБУР);да;7206025040;"ООО ""СИБУР Тобольск""";сибур;сомнительно: совпал только город или холдинг
Губкинский ГПЗ;3;1989-1991;Губкинский газоперерабатывающий завод (входит в Газпром переработка);да;1102054991;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""";газпром;сомнительно: совпал только город или холдинг
Красноленинский ГПЗ;3;1989-1991;Красноленинский газоперерабатывающий завод (входит в Газпром переработка);да;1102054991;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""";газпром;сомнительно: совпал только город или холдинг
"ООО ""Газпром добыча Ноябрьск"" ДКС Западно-Таркосалинского ГП";3;2014-2016;ООО «Газпром добыча Ноябрьск»;да;1102054991;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""";газпром;сомнительно: совпал только город или холдинг
Карабашский завод;2;1960-1961;Карабашский медеплавильный завод;да;6627001318;"АО ""СУМЗ"", АО ""СРЕДНЕУРАЛЬСКИЙ МЕДЕПЛАВИЛЬНЫЙ ЗАВОД""";медеплавильный;надёжно
Норильский МК;2;1960-1962;Заполярный филиал ПАО ГМК Норильский никель;да;9909071164;"""ЭНЛ "" - Филиал компании ""Эксон Нефтегаз Лимитед"" (Багамские Острова) в городе Южно-Сахалинске";филиал;сомнительно: совпал только город или холдинг
Челябинск Челябинский МК;2;1960-1991;Челябинский металлургический комбинат;да;7449006730;"ПАО ""Челябинский трубопрокатный завод""";челябинский;сомнительно: совпал только город или холдинг
Карабашский ГМК;2;1961-1968;Карабашский медеплавильный завод;да;6627001318;"АО ""СУМЗ"", АО ""СРЕДНЕУРАЛЬСКИЙ МЕДЕПЛАВИЛЬНЫЙ ЗАВОД""";медеплавильный;надёжно
Дорогобужский ЗАУ;2;1963-1987;АО Дорогобуж;да;6704000505;"ПАО ""Дорогобуж""";дорогобуж;надёжно
Невинномысский ХК;2;1964-1964;ПАО Невинномысский Азот;да;2631015563;"АО ""НЕВИННОМЫССКИЙ АЗОТ""";невинномысский;надёжно
Красноуральский медеплавильный завод;2;1965-1993;Красноуральский медеплавильный завод;да;6627001318;"АО ""СУМЗ"", АО ""СРЕДНЕУРАЛЬСКИЙ МЕДЕПЛАВИЛЬНЫЙ ЗАВОД""";медеплавильный;надёжно
СХК;2;1968-1977;Сибирский химический комбинат;да;4205062301;"ОАО ""Сибирский инженерно-аналитический центр""";сибирский;надёжно
Волжский трубный завод;2;1986-1988;Волжский трубный завод;да;3435900563;"АО ""ВОЛЖСКИЙ ОРГСИНТЕЗ""";волжский;надёжно
Когалымская КС;2;1987-1988;Когалымская компрессорная станция;да;8608040266;"БУ ""КОГАЛЫМСКАЯ ГОРОДСКАЯ БОЛЬНИЦА""";когалымская;надёжно
Костомукшский ГОК;2;1989-1991;Карельский окатыш;да;1004001744;"АО ""КАРЕЛЬСКИЙ ОКАТЫШ""";карельский,окатыш;надёжно
"ООО ""Газпром добыча Надым"" Ямсовейское НГКМ";2;2018-2018;ООО «Газпром добыча Надым» Ямсовейское нефтегазоконденсатное месторождение;да;1102054991;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""";газпром;сомнительно: совпал только город или холдинг
"ООО ""Газпром добыча Надым"" Бованенковского НГКМ, ГП2";2;2018-2018;ООО «Газпром добыча Надым» Бованенковское нефтегазоконденсатное месторождение;да;1102054991;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""";газпром;сомнительно: совпал только город или холдинг
Ленгаз;1;1951-1951;АО «Газпром газораспределение Ленинградская область»;да;1102054991;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""";газпром;сомнительно: совпал только город или холдинг
Саратовский крекинг завод;1;1951-1951;ООО «Саратовский НПЗ»;да;6451114900;"ПАО ""САРАТОВСКИЙ НПЗ""";саратовский;сомнительно: совпал только город или холдинг
Кузнецкий цементный завод;1;1955-1955;АО «Кузнецкий цементный завод»;да;6208007944;"ООО ""Серебрянский цементный завод""";цементный;надёжно
Челябинский цинковый завод;1;1955-1955;АО «Челябинский цинковый завод»;да;7449006730;"ПАО ""Челябинский трубопрокатный завод""";челябинский;сомнительно: совпал только город или холдинг
Бежицкий сталелитейный завод;1;1957-1957;вошёл в состав АО Брянский машиностроительный завод;да;3250526497;"ЗАО ""Брянский арсенал""";брянский;надёжно
Самаратрансгаз;1;1957-1957;ООО Газпром трансгаз Самара;да;1102054991;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""";газпром;сомнительно: совпал только город или холдинг
Невинномысский АТЗ;1;1961-1961;Невинномысский Азот;да;2631015563;"АО ""НЕВИННОМЫССКИЙ АЗОТ""";невинномысский;надёжно
Буруктальский никелевый комбинат;1;1962-1962;АО «Бурибаевский горно-обогатительный комбинат»;да;0248002003;"АО ""Бурибаевский ГОК""";бурибаевский;надёжно
Академия Наук СССР институт физических проблем;1;1963-1963;Институт физических проблем имени П. Л. Капицы Российской академии наук;да;7701881977;"ООО ""ИНСТИТУТ ТЕХНОЛОГИЙ""";институт;надёжно
Средне-Уральский медосплав. завод Среднеуральский медеплавильный завод;1;1963-1963;АО «Среднеуральский медеплавильный завод»;да;6627001318;"АО ""СУМЗ"", АО ""СРЕДНЕУРАЛЬСКИЙ МЕДЕПЛАВИЛЬНЫЙ ЗАВОД""";медеплавильный,среднеуральский;надёжно
Мосводоканал;1;1963-1963;АО «Мосводоканал»;да;7701984274;"АО ""Мосводоканал""";мосводоканал;надёжно
Архангельский бум. комбинат;1;1964-1964;АО «Архангельский целлюлозно-бумажный комбинат»;да;2903000446;"АО ""АРХАНГЕЛЬСКИЙ ЦБК"", АЦБК";архангельский;надёжно
Ярославнефтеоргсинтез;1;1972-1972;ПАО «Славнефть-ЯНОС»;да;7601001107;"ПАО ""СЛАВНЕФТЬ-ЯНОС""";славнефть-янос;надёжно
Карабашский МПЗ;1;1974-1974;Карабашский медеплавильный завод;да;6627001318;"АО ""СУМЗ"", АО ""СРЕДНЕУРАЛЬСКИЙ МЕДЕПЛАВИЛЬНЫЙ ЗАВОД""";медеплавильный;надёжно
Челябинский кузнечно- прессовый завод Челябинский кузнечно-прессовый завод;1;1976-1976;ПАО «Челябинский кузнечно-прессовый завод»;да;7449006730;"ПАО ""Челябинский трубопрокатный завод""";челябинский;сомнительно: совпал только город или холдинг
Норильский медно-никелевый комбинат;1;1977-1977;ПАО «ГМК «Норильский никель»;да;8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";никель,норильский;сомнительно: совпал только город или холдинг
Сургутский ГПЗ;1;1977-1977;Сургутский газоперерабатывающий завод (ООО «Газпром переработка»);да;1102054991;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""";газпром;сомнительно: совпал только город или холдинг
Нижневартовскнефтегаз;1;1979-1979;АО «Самотлорнефтегаз» (входит в ТНК-BP, затем «Роснефть»);да;8603089934;"АО ""САМОТЛОРНЕФТЕГАЗ""";самотлорнефтегаз;надёжно
Чебоксарский ХК;1;1979-1979;ПАО «Химпром» (Чебоксары);да;2124009521;"ПАО ""ХИМПРОМ""";химпром;сомнительно: совпал только город или холдинг
Сургутнефтегаз;1;1980-1980;ПАО «Сургутнефтегаз»;да;8602060555;"ПАО ""СУРГУТНЕФТЕГАЗ""";сургутнефтегаз;надёжно
Холмогорское месторождение;1;1980-1980;Холмогорское нефтегазовое месторождение (ХМАО, разработка «Газпромнефть-Хантос»);да;8618006063;"ООО ""ГАЗПРОМНЕФТЬ-ХАНТОС""";газпромнефть-хантос;надёжно
Белозерский ГПЗ;1;1982-1982;Белозерский газоперерабатывающий завод (Тюменская область, «Сибур Тобольск»);да;7206025040;"ООО ""СИБУР Тобольск""";сибур,тобольск;надёжно
Россошанский ХЗ;1;1985-1985;ООО «Минудобрения» (Россошь, Воронежская область);да;3627000397;"АО ""МИНУДОБРЕНИЯ""";минудобрения;надёжно
Димитровградский ХК аммиак аз.кисл Димитровградский завод;1;1985-1985;АО «Димитровградхиммаш» (Димитровград, Ульяновская область);да;4700000109;"АО ""ГАЗПРОМ ГАЗОРАСПРЕДЕЛЕНИЕ ЛЕНИНГРАДСКАЯ ОБЛАСТЬ""";область;сомнительно: совпал только город или холдинг
Новокузнецкий МЗ;1;1985-1985;ЕВРАЗ Западно-Сибирский металлургический комбинат (Новокузнецк);да;4218000951;"АО ""ЕВРАЗ ЗСМК""";евраз;сомнительно: совпал только город или холдинг
Криогенмаш;1;1986-1986;АО «Криогенмаш» (Балашиха, Московская область);да;5835082644;"ООО ""КриогенМаш""";криогенмаш;надёжно
Новороссийский цементный завод;1;1986-1986;Новороссийский цементный завод (входит в холдинг «Новоросцемент»);да;2315112840;"ООО ""НОВОРОССИЙСКИЙ КИСЛОРОДНЫЙ ЗАВОД""";новороссийский;надёжно
Нижневартовская БПТОиК;1;1988-1988;Нижневартовская база производственно-технического обеспечения и комплектации;да;8620018330;"АО ""НИЖНЕВАРТОВСКАЯ ГРЭС""";нижневартовская;надёжно
Волготрансгаз;1;1988-1988;Волготрансгаз (филиал ПАО «Газпром»);да;1102054991;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""";газпром;сомнительно: совпал только город или холдинг
Оскольский эл.мет.комбинат;1;1989-1989;Оскольский электрометаллургический комбинат (ОЭМК);да;2323025302;"ООО ""АБИНСКИЙ ЭЛЕКТРОМЕТАЛЛУРГИЧЕСКИЙ ЗАВОД""";электрометаллургический;надёжно
Уфимский НПЗ;1;1989-1989;Уфимский нефтеперерабатывающий завод (входит в состав АО «Башнефть»);да;0274051582;"ПАО АНК ""БАШНЕФТЬ""";башнефть;надёжно
Спасскцемент;1;1990-1990;Спасский цементный завод «Спасскцемент»;да;6208007944;"ООО ""Серебрянский цементный завод""";цементный;надёжно
Саратовтрансгаз;1;1990-1990;ООО «Газпром трансгаз Саратов»;да;1102054991;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""";газпром;сомнительно: совпал только город или холдинг
Нижний Тагил Нижнетагильский МК;1;1991-1991;Нижнетагильский металлургический комбинат (ЕВРАЗ НТМК);да;4218000951;"АО ""ЕВРАЗ ЗСМК""";евраз;сомнительно: совпал только город или холдинг
Богословский алюм.завод Богословский алюминиевый завод;1;1991-1991;Богословский алюминиевый завод (РУСАЛ БАЗ);да;3815011264;"ООО ""РУСАЛ ТАЙШЕТ""";русал;сомнительно: совпал только город или холдинг
Апатит;1;1992-1992;АО «Апатит» (ФосАгро);да;5103070023;"АО ""АПАТИТ""";апатит;сомнительно: совпал только город или холдинг
Тарасовский ГПЗ;1;1992-1992;Тарасовский газоперерабатывающий завод (в составе «Газпром переработка»);да;1102054991;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""";газпром;сомнительно: совпал только город или холдинг
Волгоградтрансгаз;1;1994-1994;ООО «Газпром трансгаз Волгоград»;да;1102054991;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""";газпром;сомнительно: совпал только город или холдинг
"КС ""Изборская""";1;2006-2006;Компрессорная станция «Изборская» (ООО «Газпром трансгаз Санкт-Петербург»);да;1102054991;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""";газпром;сомнительно: совпал только город или холдинг
"КС ""Грязовец""";1;2008-2008;Компрессорная станция «Грязовец» (ООО «Газпром трансгаз Ухта»);да;1102054991;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""";газпром;сомнительно: совпал только город или холдинг
"ООО ""Газпром трансгаз Санкт- Петербург"" КС ""Изборская""";1;2009-2009;Компрессорная станция «Изборская» (ООО «Газпром трансгаз Санкт-Петербург»);да;1102054991;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""";газпром;сомнительно: совпал только город или холдинг
"КС ""Торжок""";1;2009-2009;ООО «Газпром трансгаз Санкт-Петербург», компрессорная станция «Торжок»;да;1102054991;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""";газпром;сомнительно: совпал только город или холдинг
"ООО «Газпром трансгаз Ухта» Реконструкция КС ""Грязовец""";1;2009-2009;ООО «Газпром трансгаз Ухта», компрессорная станция «Грязовец»;да;1102054991;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""";газпром;сомнительно: совпал только город или холдинг
"КС ""Мышкин""";1;2010-2010;ООО «Газпром трансгаз Санкт-Петербург», компрессорная станция «Мышкин»;да;1102054991;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""";газпром;сомнительно: совпал только город или холдинг
"ГКС Северо-Даниловского м/р ТПП ""Урайнефтегаз""";1;2011-2011;ООО «ЛУКОЙЛ-Западная Сибирь» (бывшее территориально-производственное предприятие «Урайнефтегаз»);да;8608048498;"ООО ""ЛУКОЙЛ-ЗАПАДНАЯ СИБИРЬ""";лукойл-западная,сибирь;надёжно
"ООО ""Газпром добыча Уренгой"" ДКС УКПГ-8В";1;2014-2014;ООО «Газпром добыча Уренгой»;да;1102054991;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""";газпром;сомнительно: совпал только город или холдинг
"ООО ""Газпром добыча Надым"" ДКС Медвежьего НГКМ";1;2014-2014;ООО «Газпром добыча Надым»;да;1102054991;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""";газпром;сомнительно: совпал только город или холдинг
"ООО ""Газпром трансгаз Краснодар"" КС «Майкопская»";1;2015-2015;ООО «Газпром трансгаз Краснодар», компрессорная станция «Майкопская»;да;1102054991;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""";газпром;сомнительно: совпал только город или холдинг
"ООО ""Газпром добыча Уренгой"" ДКС УКПГ-5В";1;2015-2015;ООО «Газпром добыча Уренгой»;да;1102054991;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""";газпром;сомнительно: совпал только город или холдинг
"ООО ""Газпром трансгаз Саратов"" КС ""Петровск""";1;2015-2015;ООО «Газпром трансгаз Саратов», компрессорная станция «Петровск»;да;1102054991;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""";газпром;сомнительно: совпал только город или холдинг
"ООО ""Газпром добыча Ноябрьск"" ЦДКС Чаяндинского НГКМ";1;2016-2016;ООО «Газпром добыча Ноябрьск»;да;1102054991;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""";газпром;сомнительно: совпал только город или холдинг
"ООО ""Газпром добыча Ямбург"" ДКС Заполярного НГКМ";1;2016-2016;ООО «Газпром добыча Ямбург»;да;1102054991;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""";газпром;сомнительно: совпал только город или холдинг
"ООО ""Газпром добыча Надым"" ДКС Юбилейного НГКМ";1;2016-2016;ООО «Газпром добыча Надым»;да;1102054991;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""";газпром;сомнительно: совпал только город или холдинг
"ООО ""Газпром комплектация"" ДКС УКПГ-1АВ Уренгойского НГКМ";1;2017-2017;ООО «Газпром комплектация»;да;1102054991;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""";газпром;сомнительно: совпал только город или холдинг
"ООО ""Газпром комплектация"" ДКС УКПГ-8В Уренгойского НГКМ";1;2017-2017;ООО «Газпром комплектация»;да;1102054991;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""";газпром;сомнительно: совпал только город или холдинг
"ООО ""Газпром комплектация"" Юбилейное НГКМ";1;2017-2017;ООО «Газпром комплектация»;да;1102054991;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""";газпром;сомнительно: совпал только город или холдинг
"ООО Газпром трансгаз Ухта"" АО ""ОДК-ГТ"" КС Грязовецкая";1;2018-2018;ООО «Газпром трансгаз Ухта», компрессорная станция «Грязовец»;да;1102054991;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""";газпром;сомнительно: совпал только город или холдинг
"ООО ""Газпроминвест"" (Газпром трансгаз СПб) КС ""Славянская""";1;2018-2018;ООО «Газпром трансгаз Санкт-Петербург», компрессорная станция «Славянская»;да;1102054991;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""";газпром;сомнительно: совпал только город или холдинг
"ООО ""Газпром добыча Надым"" Бованенковского НГКМ, ГП3";1;2018-2018;ООО «Газпром добыча Надым»;да;1102054991;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""";газпром;сомнительно: совпал только город или холдинг
"ООО ""ЛУКОЙЛ-Западная Сибирь"" ДКС Находкинского месторождения";1;2018-2018;ООО «ЛУКОЙЛ-Западная Сибирь»;да;8608048498;"ООО ""ЛУКОЙЛ-ЗАПАДНАЯ СИБИРЬ""";лукойл-западная,сибирь;надёжно
"АО ""Арктикгаз"" ДКС ""Яро-Яхинского НГКМ""";1;2018-2018;Акционерное общество «Арктикгаз»;да;8904002359;"АО ""АРКТИКГАЗ""";арктикгаз;надёжно
Новолипецкий МК;43;1950-1990;Публичное акционерное общество «Новолипецкий металлургический комбинат»;нет;;;;
Нижнетагильский МК;33;1948-1991;Акционерное общество «Нижнетагильский металлургический комбинат»;нет;;;;
Южуралникель;24;1955-1992;Акционерное общество «Южуралникель»;нет;;;;
Ангарскнефтеоргсинтез;24;1957-1990;Акционерное общество «Ангарская нефтехимическая компания»;нет;;;;
Стерлитомакский ХК;12;1960-1995;ООО «БашХим»;нет;;;;
Качканарский ГОК;10;1968-1988;АО «Качканарский горно-обогатительный комбинат «Ванадий»;нет;;;;
МЗ им.А.К.Серова;8;1963-1979;АО «Серовский металлургический завод»;нет;;;;
Кирово-Чепецкий ХК;7;1977-1986;АО «Кирово-Чепецкий химический комбинат»;нет;;;;
Энергомаш;6;1974-1980;НПО Энергомаш имени академика В.П. Глушко;нет;;;;
Чусовской МЗ;5;1954-1993;АО Чусовской металлургический завод;нет;;;;
Свободный Сокол МЗ;4;1950-1973;вошел в состав Новолипецкого металлургического комбината;нет;;;;
Курьяновская станция аэрации;4;1951-1954;Курьяновские очистные сооружения;нет;;;;
Тольяттиазот;4;1979-1985;ПАО «Тольяттиазот»;нет;;;;
Абагурская аглофабрика;3;1956-1970;вошла в состав Новокузнецкого металлургического комбината;нет;;;;
Косогорский МЗ;3;1958-1988;ПАО Косогорский металлургический завод;нет;;;;
Новокуйбышевский завод синтетического спирта;3;1959-1961;вошел в состав Новокуйбышевского нефтехимического комбината;нет;;;;
Стерлитомакский завод синтетич.каучука Стерлитомакский завод синтетического каучука;3;1963-1965;ООО Стерлитамакский завод синтетического каучука;нет;;;;
Новокуйбышевский НХК;3;1964-1980;производственные мощности разделены между несколькими компаниями;нет;;;;
Воронежский шинный завод;3;1985-1988;ООО Воронежский шинный завод;нет;;;;
"Коминефть ""Этан""";3;1991-1993;не знаю;нет;;;;
Пикалевский глиноземный завод;2;1956-1956;Пикалевский глиноземный завод (БазэлЦемент-Пикалево);нет;;;;
Златоустовский МЗ;2;1956-1989;Златоустовский металлургический завод;нет;;;;
Медногорский медносерный завод;2;1956-1992;Медногорский медно-серный комбинат (входит в УГМК);нет;;;;
Калужский турбинный завод;2;1957-1957;Калужский турбинный завод;нет;;;;
Стерлитомакский завод синтетич.каучука;2;1959-1963;Стерлитамакский завод синтетических каучуков;нет;;;;
Белоярская ГРЭС;2;1960-1961;Белоярская атомная электростанция;нет;;;;
Воронежский завод синтет. каучука Воронежский завод синтетического каучука;2;1961-1962;Воронежский завод синтетического каучука;нет;;;;
Киришский газо-бензиновый завод;2;1963-1973;Киришский нефтеперерабатывающий завод;нет;;;;
Чебаркульский МЗ;2;1966-1967;Чебаркульский металлургический завод;нет;;;;
Белоярская АС;2;1972-1973;Белоярская атомная электростанция;нет;;;;
Саткинский МЗ;2;1973-1980;Саткинский чугунолитейный завод;нет;;;;
Мосметрострой;2;1975-1976;Мосметрострой;нет;;;;
Усинский ГПЗ;2;1981-1982;Усинский газоперерабатывающий завод;нет;;;;
Главтюменьнефтегаз Повховская КС;2;1985-1989;Повховская компрессорная станция;нет;;;;
Синарский трубный завод;2;1986-1991;Синарский трубный завод;нет;;;;
Новосибирская ТЭЦ-5;2;1988-1989;Новосибирская ТЭЦ-5;нет;;;;
Варьеганская КС;2;1989-1990;Варьеганская компрессорная станция;нет;;;;
Северский МЗ;1;1955-1955;ПАО «Северский трубный завод»;нет;;;;
Серп и Молот МЗ;1;1955-1955;АО «Серп и Молот»;нет;;;;
Саранский завод медпреператов;1;1956-1956;ОАО Биохимик;нет;;;;
Ленинградский холодильный институт;1;1959-1959;ВНИХИ имени академика В.С.Мартыновского;нет;;;;
Самарское управление водопровода и канализации;1;1959-1959;МП Самараводоканал;нет;;;;
Алапаевский МК;1;1960-1960;Алапаевский металлургический завод;нет;;;;
ЦКТИ Московское отд.;1;1961-1961;Акционерное общество «Научно-производственное объединение по исследованию и проектированию энергетического оборудования имени И. И. Ползунова» (АО «НПО ЦКТИ»), Московское отделение;нет;;;;
Бийский ХК;1;1963-1963;АО «Бийский химический комбинат»;нет;;;;
Стерлитомакский СЦ завод;1;1964-1964;АО «Башкирская содовая компания»;нет;;;;
Ленметрострой;1;1967-1967;ООО «Метрострой»;нет;;;;
Таганрогский МЗ;1;1985-1985;ПАО «Таганрогский металлургический завод»;нет;;;;
Сургутская БПТОиК;1;1988-1988;Сургутская база производственно-технического обеспечения и комплектации;нет;;;;
Серп и молот МЗ;1;1988-1988;Металлургический завод «Серп и Молот»;нет;;;;
Мелеузовский ХЗ;1;1989-1989;Мелеузовский химический завод (входит в состав ООО «МХЗ»);нет;;;;
Ижсталь;1;1991-1991;ПАО «Ижсталь»;нет;;;;
"ОАО""НЛМК""";1;2009-2009;Публичное акционерное общество «Новолипецкий металлургический комбинат»;нет;;;;
