inn;predpriyatie;zapros;vsego_naydeno;nomer;data;nazvanie;zayavitel;izobretateli;zayavitel_nash
6623000680;"ПАО ""ЕВРАЗ""";ЕВРАЗ компрессор;7;RU2525012C2;2014-08-10; Application of converter gas for production of fuel;"Федеральное государственное бюджетное образовательное учреждение высшего &hellip;";Сергей Павлович Мочалов;нет
6623000680;"ПАО ""ЕВРАЗ""";ЕВРАЗ компрессор;7;CA2332933C;2007-11-06;" Method and apparatus for producing martensite- or bainite-rich steel using &hellip;";Ipsco Inc.;William R. Frank;нет
6623000680;"ПАО ""ЕВРАЗ""";ЕВРАЗ компрессор;7;RU2017102398A;2018-12-19; Compressor Air Conditioner Analyzer Kit;"Акционерное общество ""ЕВРАЗ Нижнетагильский металлургический комбинат"" (АО "" &hellip;";Вячеслав Викторович Парамонов;да
6623000680;"ПАО ""ЕВРАЗ""";ЕВРАЗ компрессор;7;RU2778190C1;2022-08-15;" Method for improving the energy efficiency of a steam power plant and a device &hellip;";"Федеральное государственное бюджетное образовательное учреждение высшего &hellip;";Владислав Викторович Стерлигов;нет
6623000680;"ПАО ""ЕВРАЗ""";ЕВРАЗ компрессор;7;RU2778190C1;2022-08-15;" Способ повышения энергоэффективности паросиловой установки и устройство для его &hellip;";"Федеральное государственное бюджетное образовательное учреждение высшего &hellip;";Владислав Викторович Стерлигов;нет
6623000680;"ПАО ""ЕВРАЗ""";ЕВРАЗ компрессор;7;RU2703012C1;2019-10-15; Method and system for utilization of converter steam;"АО ""ЕВРАЗ Нижнетагильский металлургический комбинат"" (АО ""ЕВРАЗ НТМК"")";Денис Анатольевич Корякин;да
6623000680;"ПАО ""ЕВРАЗ""";ЕВРАЗ компрессор;7;RU2689233C1;2019-05-24;" Method for increasing energy efficiency of a power plant and device for its &hellip;";"Федеральное государственное бюджетное образовательное учреждение высшего &hellip;";Владислав Викторович Стерлигов;нет
0268036071;"ОАО ""Синтез-Каучук""";Синтез-Каучук компрессор;13;RU2590552C2;2016-07-10; Высоконасыщенная нитриловая каучуковая композиция и сшитый каучук;Зэон Корпорейшн;Томонори НАКАСИМА;нет
0268036071;"ОАО ""Синтез-Каучук""";Синтез-Каучук компрессор;13;RU2470067C2;2012-12-20; Жидкие композиции стиролсодержащих фенольных соединений и способы их получения;Кемтура Корпорейшн;Майкл Е. ГЕЛБИН;нет
0268036071;"ОАО ""Синтез-Каучук""";Синтез-Каучук компрессор;13;EA022563B1;2016-01-29; Способ удаления целевого газа из смеси газов;Эксонмобил Рисерч Энд Инджиниринг Компани;Гарри В. Декман;нет
0268036071;"ОАО ""Синтез-Каучук""";Синтез-Каучук компрессор;13;EA020248B1;2014-09-30; Удаление co, nили hs из содержащих их газовых смесей;Эксонмобил Рисерч Энд Инджиниринг Компани;Рональд Р. Ченс;нет
0268036071;"ОАО ""Синтез-Каучук""";Синтез-Каучук компрессор;13;EA016546B1;2012-05-30;" Способ удаления целевого газа из смеси газов с помощью адсорбции за счет &hellip;";Эксонмобил Рисерч Энд Инджиниринг Компани;Франк Хершковитц;нет
0268036071;"ОАО ""Синтез-Каучук""";Синтез-Каучук компрессор;13;RU2693157C2;2019-07-01;" Система и способ для галогенирования эластомеров на основе олефина в объемной &hellip;";Эксонмобил Кемикэл Пейтентс Инк.;Ричард Д. Хембри;нет
0268036071;"ОАО ""Синтез-Каучук""";Синтез-Каучук компрессор;13;RU2453564C2;2012-06-20; Стабилизация полимеров стиролпроизводными п-крезолами;Кемтура Корпорейшн;Майкл Е. ГЕЛБИН (US);нет
0268036071;"ОАО ""Синтез-Каучук""";Синтез-Каучук компрессор;13;RU2177011C2;2001-12-20;" Применение ассоциации силиконовых соединений в качестве агента сочетания в &hellip;";Родиа Шими;Ив БОМАЛЬ;нет
0268036071;"ОАО ""Синтез-Каучук""";Синтез-Каучук компрессор;13;EA012049B1;2009-08-28;" Способ и процесс контроля профилей температуры, давления и плотности в &hellip;";Скф Технолоджис А/С;Стин Бруммерстедт Айверсен;нет
0268036071;"ОАО ""Синтез-Каучук""";Синтез-Каучук компрессор;13;RU2143310C1;1999-12-27;" Комплексный процесс очистки окружающей среды в загазованных местностях с &hellip;";Казаков Владимир Михайлович;В.М. Казаков;нет
4223057424;"ООО ""ОФ ""Коксовая""";ОФ Коксовая компрессор;2;RU2720990C2;2020-05-15; Способ конверсии низкокачественного нефтяного сырья;Чайна Петролеум Энд Кемикал Корпорейшн;Юхао СЮЙ;нет
4223057424;"ООО ""ОФ ""Коксовая""";ОФ Коксовая компрессор;2;RU2122586C1;1998-11-27;" Способ получения жидкого чугуна или жидких стальных полупродуктов и установка &hellip;";Фоест-Альпине Индустрианлагенбау ГмбХ;Леопольд Кепплингер Вернер (AT);нет
8608048498;"ООО ""ЛУКОЙЛ-ЗАПАДНАЯ СИБИРЬ""";ЛУКОЙЛ-ЗАПАДНАЯ СИБИРЬ компрессор;2;RU2293215C1;2007-02-10; Oil-well sucker-rod pumping unit;"Общество с ограниченной ответственностью ""ЛУКОЙЛ-Западная Сибирь""";Евгений Геннадьевич Павлов (RU);да
8608048498;"ООО ""ЛУКОЙЛ-ЗАПАДНАЯ СИБИРЬ""";ЛУКОЙЛ-ЗАПАДНАЯ СИБИРЬ компрессор;2;RU25529U1;2002-10-10; PROTECTOR CENTER;"Общество с ограниченной ответственностью ""ЛУКОЙЛ-Западная Сибирь""";А.Г. Газаров;да
