=== ЛИСТ: Топ ProKompressor ===
Приоритет | Домен | Целевой сайт | Цена размещения ₽ | Написание ₽ | Итого с написанием ₽ | Оценка релевантности | СЕО эффект на 1000 ₽ | Итоговый балл приоритета | Статус закупки | Градация доли рейтинга | Рейтинг Miralinks | Ahrefs DR | Трафик | Лучше под в исходнике | Угол статьи | Пример названия | Комментарий
7 | krasnodar.bz | ProKompressor | 2499 | 499 | 2998 | 58 | 23.21 | 48 | Брать в 1–2 очередь | 40-50% | 5 | 36 | 342 | Meyer | Послеуборочная обработка урожая на Кубани, фотосепарация зерна и семян | «Как фотосепараторы помогают аграриям Кубани повысить качество зерна и семян» | Подходит по оценке; проверить финальный анкор и отсутствие конфликта интента.
17 | arh112.ru | ProKompressor | 500 | 500 | 1000 | 42 | 84 | 47.8 | Дешёвый резерв, не основной топ | 50-60% | 4.916699886322021 | 13 | 171 | Meyer | Инвестиции в сортировочное оборудование / окупаемость переработки сырья | «Инвестиции в сортировочное оборудование: как фотосепараторы повышают доходность переработки сырья» | Высокая эффективность из-за низкой цены, но слабее интент/тематическая релевантность.
8 | kineshemec.ru | ProKompressor | 3250 | 500 | 3750 | 58 | 17.85 | 45.66 | Брать в 1–2 очередь | 30-40% | 4.98330020904541 | 64 | 1462 | ProKompressor | Региональные предприятия, модернизация производства, снижение издержек за счёт сжатого воздуха | «Как предприятиям Ивановской области снизить расходы на производство с помощью современного компрессорного оборудования» | Хорошее совпадение с рекомендуемым сайтом и углом статьи.
=== ЛИСТ: Топ Meyer ===
Приоритет | Домен | Целевой сайт | Цена размещения ₽ | Написание ₽ | Итого с написанием ₽ | Оценка релевантности | СЕО эффект на 1000 ₽ | Итоговый балл приоритета | Статус закупки | Градация доли рейтинга | Рейтинг Miralinks | Ahrefs DR | Трафик | Лучше под в исходнике | Угол статьи | Пример названия | Комментарий
1 | webferma.com | Meyer | 3727 | 333 | 4060 | 78 | 20.93 | 62.43 | Брать в первую очередь | 60-70% | 4.5 | 39 | 4936 | meyer-corp.ru | не рекламировать «фотосепаратор» в лоб, а зайти через повышение качества урожая и снижение потерь при послеуборочной обработке. | «Как фермеру повысить качество зерна и семян после уборки: роль фотосепарации в современной агропереработке» | Хорошее совпадение с рекомендуемым сайтом и углом статьи.
6 | oteplicah.com | Meyer | 354 | 108 | 462 | 57 | 161.02 | 56.55 | Брать в 1–2 очередь | 40-50% | 4.958300113677979 | 22 | 10801 | Meyer | Агропроизводство после сбора урожая, сортировка зерна/семян/сыпучего сырья | «Как современное агрохозяйство снижает потери после сбора урожая: сортировка зерна, семян и сыпучего сырья» | Хорошее совпадение с рекомендуемым сайтом и углом статьи.
7 | operativa.ru | Meyer | 354 | 417 | 771 | 55 | 155.37 | 56.25 | Брать в 1–2 очередь | 50-60% | 4.941199779510498 | 10 | 736 | Meyer | AI, машинное зрение, автоматизация контроля качества | «Машинное зрение на производстве: как AI-сортировка помогает снизить брак и повысить качество продукции» | Хорошее совпадение с рекомендуемым сайтом и углом статьи.
2 | gazetapetrovka.ru | Meyer | 4500 | 500 | 5000 | 68 | 15.11 | 54.48 | Брать в первую очередь | 60-70% | 5 | 19 | 195 | Meyer | АПК, фотосепараторы/оптические сортировщики для зерна, семян и бобовых культур | «Оптическая сортировка зерна и семян: как фотосепараторы повышают качество сырья и снижают процент брака» | Хорошее совпадение с рекомендуемым сайтом и углом статьи.
3 | kz24.news | Meyer | 4401 | 907 | 5308 | 68 | 15.45 | 53.56 | Брать в первую очередь | 50-60% | 5 | 32 | 2294 | meyer-corp.ru | Угол: технологическая модернизация агропереработки и пищевых производств: как AI-фотосепараторы снижают потери сырья, повышают качество партий и помогают предприятиям соответствовать требованиям экспорта. | «ИИ-сортировка сырья: как фотосепараторы помогают агропереработке снижать потери и повышать качество продукции» | Хорошее совпадение с рекомендуемым сайтом и углом статьи.
4 | krasnodar.bz | Meyer | 2499 | 499 | 2998 | 64 | 25.61 | 52.5 | Брать в первую очередь | 40-50% | 5 | 36 | 342 | Meyer | Послеуборочная обработка урожая на Кубани, фотосепарация зерна и семян | «Как фотосепараторы помогают аграриям Кубани повысить качество зерна и семян» | Хорошее совпадение с рекомендуемым сайтом и углом статьи.
14 | arh112.ru | Meyer | 500 | 500 | 1000 | 48 | 96 | 51.7 | Дешёвый резерв, не основной топ | 50-60% | 4.916699886322021 | 13 | 171 | Meyer | Инвестиции в сортировочное оборудование / окупаемость переработки сырья | «Инвестиции в сортировочное оборудование: как фотосепараторы повышают доходность переработки сырья» | Высокая эффективность из-за низкой цены, но слабее интент/тематическая релевантность.
15 | moiton.ru | Meyer | 700 | 100 | 800 | 49 | 70 | 50.35 | Дешёвый резерв, не основной топ | 30-40% | 4.828800201416016 | 21 | 12180 | meyer-corp.ru | Лучше размещать под meyer-corp.ru, потому что можно мягко зайти через тему автоматизации производства, сортировки сырья и снижения ручного труда. | «Как автоматизация сортировки помогает производству снижать брак и экономить сырьё» | Высокая эффективность из-за низкой цены, но слабее интент/тематическая релевантность.
5 | gazetapervomaisk.ru | Meyer | 4500 | 400 | 4900 | 62 | 13.78 | 49.25 | Брать в первую очередь | 50-60% | 5 | 21 | 124 | Meyer | региональные предприятия модернизируют производство: как автоматизация, сортировка сырья и инженерное оборудование помогают снижать потери и повышать качество. | «Как современные фотосепараторы помогают агропредприятиям снижать потери при переработке зерна и семян» | Хорошее совпадение с рекомендуемым сайтом и углом статьи.
16 | moscow-baku.ru | Meyer | 799 | 399 | 1198 | 47 | 58.82 | 48.76 | Дешёвый резерв, не основной топ | 30-40% | 4.826099872589111 | 48 | 871 | ProKompressor | Промышленное сотрудничество России и Азербайджана, модернизация предприятий | «Компрессорное оборудование для промышленных проектов России и Азербайджана: как предприятия выбирают надёжные решения» | Высокая эффективность из-за низкой цены, но слабее интент/тематическая релевантность.
8 | ftimes.ru | Meyer | 3596 | 450 | 4046 | 57 | 15.85 | 45.51 | Брать в 1–2 очередь | 40-50% | 4.948100090026855 | 42 | 80 | ProKompressor | тема не «купить компрессор», а производственная экономика: как предприятия снижают простои, энергозатраты и риски за счёт правильного подбора компрессорной системы. | «Сжатый воздух как скрытая статья расходов: как предприятия выбирают компрессорное оборудование в 2026 году» | Подходит по оценке; проверить финальный анкор и отсутствие конфликта интента.
11 | samaraonline24.ru | Meyer | 1700 | 427 | 2127 | 50 | 29.41 | 45.35 | Брать точечно / 2 очередь | 50-60% | 4.855400085449219 | 46 | 5968 | ProKompressor | как предприятия Самарской области снижают простои и расходы на сжатый воздух за счёт правильного подбора компрессорного оборудования. | «Сжатый воздух без простоев: как предприятия Самарской области выбирают компрессорную станцию для цеха» | Скорее под другой сайт; брать только для диверсификации ссылочного профиля.
9 | gazetaingush.ru | Meyer | 6800 | 500 | 7300 | 55 | 8.09 | 45.27 | Брать точечно / 2 очередь | 70-80% | 4.947400093078613 | 44 | 2033 | meyer-corp.ru | «Как современные фотосепараторы помогают переработчикам СКФО повышать качество зерна, семян и пищевого сырья» | «Технологии сортировки для АПК: как фотосепараторы снижают потери и повышают качество продукции» | Хорошее совпадение с рекомендуемым сайтом и углом статьи.
10 | bobr.by | Meyer | 3000 | 1700 | 4700 | 55 | 18.33 | 44.83 | Брать в 1–2 очередь | 40-50% | 4.759500026702881 | 39 | 27613 | Meyer | Агро/пищевое производство, сортировка сырья, снижение потерь | «Как фотосепараторы помогают агропредприятиям повысить качество зерна и снизить потери сырья» | Хорошее совпадение с рекомендуемым сайтом и углом статьи.
20 | domocvet.com | Meyer | 504 | 240 | 744 | 38 | 75.4 | 44.2 | Дешёвый резерв, не основной топ | 40-50% | 4.913000106811523 | 28 | 6612 | ProKompressor | Производственная энергоэффективность, подбор винтового компрессора | «Сжатый воздух на производстве: как правильно подобрать винтовой компрессор и снизить расходы на энергию» | Высокая эффективность из-за низкой цены, но слабее интент/тематическая релевантность.
21 | zheltaya.ru | Meyer | 183 | 122 | 305 | 34 | 185.79 | 40.6 | Дешёвый резерв, не основной топ | 30-40% | 5 | 17 | 68 | Meyer, но слабо | Оптическая сортировка, качество продукции на производстве | «От зерна до готового продукта: как фотосепараторы повышают качество на производстве» | Высокая эффективность из-за низкой цены, но слабее интент/тематическая релевантность.
