inn;predpriyatie;company_id;company_na_ploshchadke;tenderov;pochemu
4823006703;"ПАО ""НЛМК""";79416;Новолипецкий металлургический комбинат (Липецк);0;обойдено
7414003633;"ПАО ""ММК""";11785;ММК (Магнитогорск);0;обойдено
1651000010;"ПАО ""НИЖНЕКАМСКНЕФТЕХИМ""";128881;НИЖНЕКАМСКНЕФТЕХИМ (Нижнекамск);0;обойдено
3448046860;"ООО ""ПРАКСАЙР ВОЛГОГРАД""";323183;Праксайр Волгоград;0;обойдено
1651000041;"АО ""НИЖНЕКАМСКТЕХУГЛЕРОД""";228266;НИЖНЕКАМСКТЕХУГЛЕРОД (Набережные Челны);0;обойдено
7709930344;"ООО ""ПРАКСАЙР АЗОТ ТОЛЬЯТТИ""";;;0;в каталоге площадки нет
7610052644;"ПАО""ОДК-Сатурн""";;;0;в каталоге площадки нет
5243000185;"ЗАО ""Арзамасский хлеб""";;;0;в каталоге площадки нет
2465142996;"ООО ""РН-ВАНКОР""";;;0;в каталоге площадки нет
7830001910;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАЛТИЙСКИЙ ЗАВОД""";433396;АО БАЛТИЙСКИЙ ЗАВОД (Санкт-Петербург);0;обойдено
7703370008;"ПАО ""МЕЧЕЛ""";;;0;в каталоге площадки нет
5001000041;"АО ""ЛГР""";135273;Линде Газ Рус (Балашиха);0;обойдено
4715022874;Пикалевская сода;55813;Пикалевская сода (Волхов);26;обойдено
7327077188;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ УЛЬЯНОВСКИЙ АВТОМОБИЛЬНЫЙ ЗАВОД;;;0;в каталоге площадки нет
7714572888;АОСТНГ;194328;СТРОЙТРАНСНЕФТЕГАЗ (Санкт-Петербург);0;обойдено
1434045743;Эльгауголь;;;0;в каталоге площадки нет
5249105219;"АО ""КОРУНД-ЦИАН""";162872;Корунд-Циан (Дзержинск);0;обойдено
1653006666;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ГОРОДА КАЗАНИ ""ВОДОКАНАЛ""";27423;МУП Водоканал (Казань);0;обойдено
1902025326;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""САЯНОГОРСКИЕ КОММУНАЛЬНЫЕ СИСТЕМЫ""";;;0;в каталоге площадки нет
2012006949;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЧЕЧЕНЦЕМЕНТ""";467746;АО ЧЕЧЕНЦЕМЕНТ (Грозный);0;обойдено
8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";212989;ГМК Норильский никель (Москва);0;обойдено
7703647595;"АО ""ОХК ""УРАЛХИМ""";293868;УРАЛХИМ (Кирово-Чепецк);0;обойдено
7721632827;"АО ""КОНЦЕРН РОСЭНЕРГОАТОМ""";111103;Балаковская атомная станция (Балаково);0;обойдено
2902059091;"АО ""ПО ""СЕВМАШ""";;;0;в каталоге площадки нет
6623029538;"АО ""НПК ""Уралвагонзавод""";353617;АО НАУЧНО-ПРОИЗВОДСТВЕННАЯ КОРПОРАЦИЯ УРАЛВАГОНЗАВОД (Нижний Тагил);0;обойдено
0277014204;"ПАО ""УФАОРГСИНТЕЗ""";;;0;в каталоге площадки нет
1658008723;"ПАО ""КАЗАНЬОРГСИНТЕЗ""";55258;Казаньоргсинтез;0;обойдено
3128005752;"АО ""ОЭМК ИМ. А.А. УГАРОВА""";186099;АО ОЭМК ИМ. А.А. УГАРОВА (Металлоинвест) (Старый Оскол);0;обойдено
4253042369;"ООО ""ЭР ЛИКИД КУЗБАСС""";;;0;в каталоге площадки нет
1658087524;"ООО ""ЗАПСИБНЕФТЕХИМ""";;;0;в каталоге площадки нет
7729082090;МОСКОВСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ИМЕНИ М.В.ЛОМОНОСОВА, МГУ ИМЕНИ М.В.ЛОМОНОСОВА, МОСКОВСКИЙ УНИВЕРСИТЕТ ИЛИ МГУ;423046;МГУ имени М.В.ЛОМОНОСОВА (Москва);0;обойдено
1101205461;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОМИ ТЕПЛОВАЯ КОМПАНИЯ""";;;0;в каталоге площадки нет
6612006391;РУСАЛ Кремний Урал;363162;РУСАЛ Кремний Урал (Каменск-Уральский);11;обойдено
2536210349;"АО ""ЦСД""";462909;Акционерное общество Центр судоремонта Дальзавод (Владивосток);0;обойдено
2460237901;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАЗАРОВСКАЯ ГРЭС""";;;0;в каталоге площадки нет
3304000103;МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ВОДОПРОВОДНО-КАНАЛИЗАЦИОННОЕ ПРЕДПРИЯТИЕ Г.ГУСЬ-ХРУСТАЛЬНЫЙ;;;0;в каталоге площадки нет
5322015508;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТАРОРУССКОГО РАЙОНА ""ЖИЛИЩНОЕ КОММУНАЛЬНОЕ ХОЗЯЙСТВО""";;;0;в каталоге площадки нет
2453013555;"АО ""ПО ЭХЗ""";33502;АО ПО ЭХЗ (Зеленогорск);0;обойдено
6615015316;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ КАЧКАНАРСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ""ГОРОДСКИЕ ЭНЕРГОСИСТЕМЫ""";;;0;в каталоге площадки нет
7701984274;"АО ""Мосводоканал""";;;0;в каталоге площадки нет
6315376946;"ПАО ""Т ПЛЮС""";;;0;в каталоге площадки нет
1434031363;"АО ""ДГК"" (ИНН 1434031363)";;;0;в каталоге площадки нет
3808229774;"ООО ""БАЙКАЛЬСКАЯ ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ""";373525;Байкальская энергетическая компания (Иркутск);0;обойдено
2631015563;"АО ""НЕВИННОМЫССКИЙ АЗОТ""";2983;Невинномысский Азот;64;обойдено
6451122250;"ООО ""САРАТОВОРГСИНТЕЗ""";26;Саратоворгсинтез;35;обойдено
6320004728;"АО ""ТОАЗ""";218015;Тоаз (Тольятти);0;обойдено
7116000066;"АО ""НАК ""АЗОТ""";2947;НАК Азот (Новомосковск);24;обойдено
2303025270;"ООО ""ЕВРОХИМ-БМУ""";2956;Белореченские Минудобрения;16;обойдено
8904034777;"ООО ""ГАЗПРОМ ДОБЫЧА ЯМБУРГ""";;;0;в каталоге площадки нет
7722245108;"ООО ""МЕЧЕЛ-ЭНЕРГО""";101719;МЕЧЕЛ-ЭНЕРГО (Москва);0;обойдено
7424024375;"ПАО ""ЮГК""";149075;Южуралзолото Группа Компаний (Пласт);0;обойдено
5920000593;"ООО ""ГАЗПРОМ ТРАНСГАЗ ЧАЙКОВСКИЙ""";;;0;в каталоге площадки нет
7839395419;"АО ""АДМИРАЛТЕЙСКИЕ ВЕРФИ""";;;0;в каталоге площадки нет
7017156263;"ООО ""ГАЗПРОМ МЕТАНОЛ""";154537;СИбметахим (Томск);0;обойдено
2462206345;"АО ""Красмаш""";249696;КРАСМАШ (Красноярск);0;обойдено
5256049357;"ООО ""АВТОЗАВОДСКАЯ ТЭЦ""";;;0;в каталоге площадки нет
5103070023;"АО ""АПАТИТ""";7964;Апатит (Кировск);77;обойдено
8617002073;"ООО ""ГАЗПРОМ ТРАНСГАЗ СУРГУТ""";;;0;в каталоге площадки нет
8608048498;"ООО ""ЛУКОЙЛ-ЗАПАДНАЯ СИБИРЬ""";;;0;в каталоге площадки нет
5191431170;"АО ""КОЛЬСКАЯ ГМК""";31171;Кольская ГМК (Мончегорск);3;обойдено
4221000535;"АО ""РУСАЛ НОВОКУЗНЕЦК""";263938;РУСАЛ Новокузнецк;80;обойдено
7117000076;"АО ""Пластик""";111347;Пластик (Узловая);3;обойдено
7728640182;"ООО ""ГАЗПРОМНЕФТЬ -СМ""";54619;Газпромнефть-СМ (Москва);0;обойдено
4214000608;"ПАО ""ЮЖНЫЙ КУЗБАСС""";117408;Угольная компания Южный Кузбасс (Междуреченск);0;обойдено
7415036215;"АО ""ЭнСер""";86177;ЭнСер (Миасс);0;обойдено
6618000220;"ОАО ""Святогор""";372749;АО Святогор (Красноуральск);0;обойдено
7716182080;"ООО ""ДИАЛЛ АЛЬЯНС""";;;0;в каталоге площадки нет
5452114972;"АО ""Ерофеев""";;;0;в каталоге площадки нет
3435900186;"АО ""ВТЗ""";21071;Волжский трубный завод;39;обойдено
5321029508;"ПАО ""АКРОН""";70445;Акрон (Великий Новгород);1;обойдено
5607019523;"АО ""УРАЛЬСКАЯ СТАЛЬ""";447142;АО УРАЛЬСКАЯ СТАЛЬ (Новотроицк);0;обойдено
4633001577;"АО ""МИХАЙЛОВСКИЙ ГОК ИМ. А.В. ВАРИЧЕВА""";92428;Михайловский ГОК ( УК Металлоинвест) (Железногорск);0;обойдено
6335007320;"АО ""ПРОМСИНТЕЗ""";36122;АО ПРОМСИНТЕЗ (Чапаевск);0;обойдено
5036074848;"ООО ""ХАЙДЕЛЬБЕРГЦЕМЕНТ РУС""";59586;ХайделбергЦемент (Москва);0;обойдено
2465000141;"АО ""РУСАЛ КРАСНОЯРСК""";350231;РУСАЛ Красноярск;54;обойдено
4715030610;"ООО ""ПГЛЗ""";102842;Пикалевский глиноземный завод (Пикалево);113;обойдено
4701000013;"АО ""РУСАЛ БОКСИТОГОРСК""";350353;РУСАЛ Бокситогорск;36;обойдено
4909095279;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""УСТЬ-СРЕДНЕКАНГЭССТРОЙ""";189433;УСТЬ-СРЕДНЕКАНГЭССТРОЙ (Магадан);0;обойдено
4100000668;"ПАО ""КАМЧАТСКЭНЕРГО""";;;0;в каталоге площадки нет
5017046933;"МУП ""Истринская теплосеть""";;;0;в каталоге площадки нет
2536112729;"КГУП ""Примтеплоэнерго""";;;0;в каталоге площадки нет
4026000490;"МУП ГЭТ ""УКТ"" Г.КАЛУГИ";;;0;в каталоге площадки нет
3435900563;"АО ""ВОЛЖСКИЙ ОРГСИНТЕЗ""";63114;Волжский Оргсинтез;3;обойдено
7702352454;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";69879;ФГУП РОСМОРПОРТ ВОСТОЧНЫЙ ФИЛИАЛ (Находка);0;обойдено
2902060361;"АО ""ЦС ""ЗВЕЗДОЧКА""";434087;ФИЛИАЛ 35 СУДОРЕМОНТНЫЙ ЗАВОД (Мурманск);0;обойдено
4222010511;"ПАО ""ЮК ГРЭС""";502099;ПАО ЮК ГРЭС (Калтан);0;обойдено
2607018122;"ПАО ""ОГК-2""";100649;Красноярская ГРЭС-2 (Зеленогорск);0;обойдено
7201000726;"АО ""ТРАНСНЕФТЬ - СИБИРЬ""";;;0;в каталоге площадки нет
7843003128;"АО ""КРОНШТАДТСКИЙ МОРСКОЙ ЗАВОД""";189756;АО Кронштадтский морской завод (Санкт-Петербург, Кронштадт г);0;обойдено
7019035722;"АО ""ГАЗПРОМ ДОБЫЧА ТОМСК""";71321;Томскгазпром;0;обойдено
1435117944;"Акционерное общество ""Сахаэнерго""";65048;Сахаэнерго (Якутск);0;обойдено
3665046177;АО КБХА;460344;АО КБХА (Воронеж);0;обойдено
2503026908;"АО ""ДВЗ ""Звезда""";;;0;в каталоге площадки нет
0276178778;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦИАЛИЗИРОВАННОЕ АВТОМОБИЛЬНОЕ ХОЗЯЙСТВО ПО УБОРКЕ ГОРОДА""";;;0;в каталоге площадки нет
5005038631;"МУП ""Белоозерское ЖКХ""";;;0;в каталоге площадки нет
0268000188;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""СТЕРЛИТАМАКВОДОКАНАЛ"" ГОРОДСКОГО ОКРУГА ГОРОД СТЕРЛИТАМАК РЕСПУБЛИКИ БАШКОРТОСТАН";;;0;в каталоге площадки нет
1103047637;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОРКУТИНСКИЙ ВОДОКАНАЛ"" МУНИЦИПАЛЬНОГО ОКРУГА ""ВОРКУТА"" РЕСПУБЛИКИ КОМИ";;;0;в каталоге площадки нет
