klyuch;tender_id;predmet;sozdan;do;company_id;company
компрессор;1214312;Продажа компрессора для Nissan Leaf AES28AV3AA, конденсатора FA3F07K116D165H1500С2, конденсатора FA3F07K116D165H1500С2, конденсатор CC0603JRX7R9BB102 (неликвиды) (id1214312);07.07.2026;22.07.2026 23:00;65298;Концерн Калашников
компрессор;1214258;Выполнение работ по сервисному обслуживанию компрессора АА-108/7,5 поз. 88/5 (id1200900) (4-й этап торгов) (id1214258);07.07.2026;14.07.2026 17:00;51053;Химпром (Новочебоксарск)
компрессор;1214168;"Отбор на закупку Компрессора Terex-15503688 для ОП ООО ""ИСО"" ""Енисейский"" (id1210885) (2-й этап торгов) (id1214168)";07.07.2026;08.07.2026 04:00;338611;ИСО
компрессор;1213917;ТО компрессора винтового ВМК-90 инв. №830000006151/0000, СЛД Батайск (id1213917);06.07.2026;13.07.2026 23:00;57059;ГК ЛокоТех
компрессор;1213811;"Автомобили УАЗ 390994, УАЗ 315142, ВАЗ 217030, Chevrolet NIVA, КАМАЗ 4310; Автопогрузчик ДВ 1792; Бульдозеры ДЗ-42, Трактора К-702, СШ-2540; Экскаваторы ЭО-3323, ЭО-3326; Полуприцеп УПР-1212 АА 8328; Компрессор ПСКД-5.25Д, ООО ""Челныводоканал"" (id1213811)";06.07.2026;27.07.2026 10:10;2953;КАМАЗ
компрессор;1213074;Техническое обслуживание компрессоров и вспомогательного оборудования ООО «ТехноНИКОЛЬ Дальний Восток» 202606_3826 (id1202968) (5-й этап торгов) (id1213074);03.07.2026;03.07.2026 16:39;105699;ТехноНИКОЛЬ Дальний Восток
компрессор;1212654;Поставка и ввод в эксплуатацию винтового компрессора DALGAKIRAN INVERSYS PLUS 75-13 с прямым приводом и частотным преобразователем. (id1212654);02.07.2026;06.07.2026 23:00;425378;Строительная химия ТЕХНОНИКОЛЬ
компрессор;1212479;Техническое обслуживание компрессоров и вспомогательного оборудования ООО «ТехноНИКОЛЬ Дальний Восток» 202606_3826 (id1202968) (4-й этап торгов) (id1212479);02.07.2026;03.07.2026 00:00;105699;ТехноНИКОЛЬ Дальний Восток
компрессор;1212368;Поставка и ввод в эксплуатацию винтового компрессора DALGAKIRAN INVERSYS PLUS 75-13 с прямым приводом и частотным преобразователем. (id1207298) (2-й этап торгов) (id1212368);01.07.2026;06.07.2026 23:00;425378;Строительная химия ТЕХНОНИКОЛЬ
компрессор;1212146;"Проведение диагностики и капитального ремонта центробежного компрессора К-500-61-5 АО ""РУСАЛ Красноярск"". (id1143730) (5-й этап торгов) (id1212146)";01.07.2026;14.07.2026 12:05;350231;РУСАЛ Красноярск
компрессор;1212078;закупка Компрессор Remeza СБ 4/С-100 LB 30 A (с колесами) на июль 2026 (id1212078);01.07.2026;06.07.2026 13:00;59062;Архангельский ЦБК
компрессор;1211998;"Закупка для ООО ""Сорский ГОК"": Воздушный компрессор с ресивером (объем ресивера - 500л). Республика Хакасия, г.Сорск. июль 2026 год. Заявки принимаются на ЭТП Tender.Pro (бесплатная регистрация, ЭП не требуется). (id1208504) (2-й этап торгов) (id1211998)";01.07.2026;02.07.2026 18:00;407434;УК СОЮЗМЕТАЛЛРЕСУРС
компрессор;1211883;Техническое обслуживание компрессоров и вспомогательного оборудования ООО «ТехноНИКОЛЬ Дальний Восток» 202606_3826 (id1202968) (3-й этап торгов) (id1211883);01.07.2026;01.07.2026 12:50;105699;ТехноНИКОЛЬ Дальний Восток
компрессор;1211571;Компрессор СБ4/C-24.OLD10 Remeza (id1190815) (2-й этап торгов) (id1211571);30.06.2026;30.06.2026 23:00;424690;УК СОДРУЖЕСТВО
компрессор;1211459;Закупка водородного компрессора поршневого двухступенчатого (id1198644) (2-й этап торгов) (id1211459);30.06.2026;07.07.2026 16:00;51053;Химпром (Новочебоксарск)
компрессор;1210885;"Отбор на закупку Компрессора Terex-15503688 для ОП ООО ""ИСО"" ""Енисейский"" (id1210885)";30.06.2026;07.07.2026 05:00;338611;ИСО
компрессор;1211162;Реализация невостребованного имущества (Насосы, компрессоры и их части) в 2026г. (id1199328) (3-й этап торгов) (id1211162);29.06.2026;07.07.2026 17:00;51053;Химпром (Новочебоксарск)
компрессор;1211108;Выполнение работ по сервисному обслуживанию компрессора АА-108/7,5 поз. 88/5 (id1200900) (3-й этап торгов) (id1211108);29.06.2026;30.06.2026 16:00;51053;Химпром (Новочебоксарск)
компрессор;1210859;"Закупка для филиала ООО ""ИСО"" в г. Каменск-Уральский на поставку воздушных уплотнителей для компрессора CHORUS. Период поставки октябрь 2026 (id1210859)";29.06.2026;06.07.2026 12:00;350867;Филиал ИСО в г. Каменск-Уральский
компрессор;1210374;Капитальный ремонт компрессора ВВ 50/8 (id1210374);26.06.2026;02.07.2026 23:00;434492;Улан-Удэнский УЛВРЗ
компрессор;1210221;Закупка Поршневого компрессора Remeza СБ4/С-200.LB40 (Aircast) для филиала ООО «ИСО» на Промплощадке ТаАЗ (id1206326) (2-й этап торгов) (id1210221);26.06.2026;29.06.2026 23:00;353145;Филиал ИСО на Промплощадке ТаАЗ
компрессор;1210156;"Закупка компрессора DELTAKIP DK-Kompressor15kw для филиала ООО ""ИСО"" на Промплощадке ТаАЗ. (id1200862) (3-й этап торгов) (id1210156)";26.06.2026;29.06.2026 23:00;353145;Филиал ИСО на Промплощадке ТаАЗ
компрессор;1205602;Оказание услуг по капитальному ремонту компрессоров КТ-6 электровоза ЕЛ-21 в 2026г. (id1205602);25.06.2026;07.07.2026 12:00;102842;Пикалевский глиноземный завод
компрессор;1210035;Закупка воздухоохладителей ВУП 16-6-2500-2 и КОМПРЕССОРОВ 8бар 7000 л/мин для ООО ПГЛЗ (id1210035);25.06.2026;08.07.2026 15:00;102842;Пикалевский глиноземный завод
компрессор;1209868;Оказание услуги по техническому обслуживанию 2 (двух) компрессоров Samsung ТМ1500 (id1195113) (3-й этап торгов) (id1209868);25.06.2026;29.06.2026 23:00;373510;АО БоАЗ
компрессор;1209842;Закупка 303020201. Приспособления для комплектации оборудования, 303020401. Компрессоры для оборудования, 303022303. Клей и фиксаторы резьбы, 405010101. Стройматериалы общего назначения. ЗакупочнаяПроцедура №000001269 (id1209842);25.06.2026;30.06.2026 13:00;210033;ПАО Группа Черкизово
компрессор;1209206;текущий ремонт винтового компрессора 2ВВ-9/8 М1 (id1209206);24.06.2026;01.07.2026 12:00;57059;ГК ЛокоТех
компрессор;1209120;"Поставка, установка основного электродвигателя тип: SIEMENS 3~MOT 1LG6 312-4MA91-Z 315L, 3Ф~U&#916;=98/390/390, Hz=20/84/97, P=76/315/315 кВт, I=620/610/570А, n(1/min)=594/2515/2903 об/мин. для компрессора GA315VSD-FF APF (id1209120)";24.06.2026;29.06.2026 07:00;435555;КУМЗ-Организатор
компрессор;1209099;"Закупка компрессора на тракторном шасси для ООО ""Кузбассдорстрой"" г. Кемерово в июле 2026 года. Давление 8 атм., производительность 8000 л/мин, ДВС дизельный (за исключение ММЗ), тип компрессора: винтовой, производитель любой за исключением ""Ремеза"" (id1206135) (2-й этап торгов) (id1209099)";24.06.2026;24.06.2026 10:05;200272;Стройдорэкспорт
компрессор;1208970;"Услуги ремонта чиллера (включая замену винтового компрессора, установку ресивера и ПНР) на инкубаторе в Алтайском крае, ГК ЧЕРКИЗОВО (АО ""КЦ"" филиал АЛТАЙСКИЙ БРОЙЛЕР) (id1208970)";23.06.2026;02.07.2026 16:35;210033;ПАО Группа Черкизово
компрессор;1208992;"Открытый запрос предложений на выполнение работ по балансировке ротора центробежного компрессора 43ВЦ-160/9М2 в ООО ""ПК ""ЧАЗ"" (id1208992)";23.06.2026;30.06.2026 14:00;389400;ТД Транспортное машиностроение
компрессор;1207298;Поставка и ввод в эксплуатацию винтового компрессора DALGAKIRAN INVERSYS PLUS 75-13 с прямым приводом и частотным преобразователем. (id1207298);23.06.2026;30.06.2026 23:00;425378;Строительная химия ТЕХНОНИКОЛЬ
компрессор;1208774;"Автомобили УАЗ 390994, УАЗ 315142, ВАЗ 217030, Chevrolet NIVA, КАМАЗ 4310; Автопогрузчик ДВ 1792; Бульдозеры ДЗ-42, ДЗ--171/Т-170; Трактора К-702, СШ-2540; Экскаваторы ЭО-3323, ЭО-3326; Полуприцеп УПР-1212 АА 8328; Компрессор ПСКД-5.25Д, ООО ""Челныводоканал"" (id1208774)";23.06.2026;03.07.2026 10:10;2953;КАМАЗ
компрессор;1208504;"Закупка для ООО ""Сорский ГОК"": Воздушный компрессор с ресивером (объем ресивера - 500л). Республика Хакасия, г.Сорск. июль 2026 год. Заявки принимаются на ЭТП Tender.Pro (бесплатная регистрация, ЭП не требуется). (id1208504)";22.06.2026;29.06.2026 23:00;407434;УК СОЮЗМЕТАЛЛРЕСУРС
компрессор;1208389;Выполнение работ по сервисному обслуживанию компрессора АА-108/7,5 поз. 88/5 (id1200900) (2-й этап торгов) (id1208389);22.06.2026;28.06.2026 16:00;51053;Химпром (Новочебоксарск)
компрессор;1208070;Закупка компрессора (для подачи сухого очищенного воздуха) по ТЗ в 2026г. для РУСАЛ Волгоград (id1192695) (3-й этап торгов) (id1208070);22.06.2026;24.06.2026 23:00;334308;РУСАЛ Волгоград
компрессор;1207881;"Конкурсный отбор поставщика компрессора и хомутов на автосамосвал CATERPILLAR по заявке №6.24 для АО ""Боксит Тимана"" (id1207881)";20.06.2026;10.07.2026 17:00;350779;БОКСИТ ТИМАНА
компрессор;1207738;Закупка 303020401. Компрессоры для оборудования, 303032515. Трубчатые электронагреватели (ТЭНы), 405010101. Стройматериалы общего назначения, 303021511. Такелажный крепеж. ЗакупочнаяПроцедура №000001218 (id1207738);19.06.2026;24.06.2026 11:00;210033;ПАО Группа Черкизово
компрессор;1207371;Предоставление услуг по ремонту компрессоров типа К 250-61-5 №1 (инв.№507955) и №6 (инв.№507825) компрессорной станции АО «РУСАЛ Новокузнецк» в 2026 году. (id1200030) (2-й этап торгов) (id1207371);19.06.2026;26.06.2026 23:00;263938;РУСАЛ Новокузнецк
компрессор;1206326;Закупка Поршневого компрессора Remeza СБ4/С-200.LB40 (Aircast) для филиала ООО «ИСО» на Промплощадке ТаАЗ (id1206326);18.06.2026;25.06.2026 23:00;353145;Филиал ИСО на Промплощадке ТаАЗ
компрессор;1206621;"Открытый запрос предложений на поставку комплектующих для компрессоров в ООО ""ЭСР"" (id1206621)";17.06.2026;29.06.2026 14:00;389400;ТД Транспортное машиностроение
компрессор;1206594;"Открытый запрос предложений на поставку компрессора П-220 для ООО ""ЭСР"" (id1206594)";17.06.2026;29.06.2026 14:00;389400;ТД Транспортное машиностроение
компрессор;1206592;"Открытый конкурсный отбор на закупку деталей по чертежу (сердечник формирования центральных отверстий коллектора AL 500*100; Спиральный компрессор ZR190KCE-TFD-455, SERIAL 161730758W EMERSON; комплект голов AL350*100 №проекта 20055_(AL350-100 TW)(2020-05-21)) по заявке для ТС ООО ""Русский радиатор"" (id1203436) (2-й этап торгов) Прошу предоставить максимальную скидку и максимальную отсрочку платежа. (id1206592)";17.06.2026;22.06.2026 13:00;385470;Русский радиатор
компрессор;1206353;Продажа компрессоров (id1206353);17.06.2026;10.09.2026 23:00;124372;Энергодеталь
компрессор;1205708;Техническое обслуживание и ремонт компрессоров (id1205708);17.06.2026;25.06.2026 23:00;16537;Комбинат Магнезит
компрессор;1206178;Реализация невостребованного имущества (Насосы, компрессоры и их части) в 2026г. (id1199328) (2-й этап торгов) (id1206178);17.06.2026;25.06.2026 17:00;51053;Химпром (Новочебоксарск)
компрессор;1205695;Отбор на компрессор для холодильного оборудования кондиционера промышленного типа К-АСБ 5.0 (id1194164) (2-й этап торгов) (id1205695);17.06.2026;22.06.2026 23:00;338480;Филиал ИСО в г. Ачинск
компрессор;1206135;"Закупка компрессора на тракторном шасси для ООО ""Кузбассдорстрой"" г. Кемерово в июле 2026 года. Давление 8 атм., производительность 8000 л/мин, ДВС дизельный (за исключение ММЗ), тип компрессора: винтовой, производитель любой за исключением ""Ремеза"" (id1206135)";17.06.2026;18.06.2026 23:00;200272;Стройдорэкспорт
компрессор;1205925;Закупка блока винтовой компрессора KAESER для комбикормового завода г.Пенза/ЧЕРКИЗОВО (id1205925);16.06.2026;20.07.2026 11:53;210033;ПАО Группа Черкизово
компрессор;1205718;"Закупка компрессора DELTAKIP DK-Kompressor15kw для филиала ООО ""ИСО"" на Промплощадке ТаАЗ. (id1200862) (2-й этап торгов) (id1205718)";16.06.2026;18.06.2026 23:00;353145;Филиал ИСО на Промплощадке ТаАЗ
компрессор;1205013;Компрессор КАМАЗ дв.CUMMINS ISBe 1цил. возд.охлаж. без шкива 3971519-MX / 350-27-014 июнь 2026 г. (id1205013);16.06.2026;06.07.2026 23:00;476104;УДОКАНСКАЯ МЕДЬ
компрессор;1205406;Закупка компрессора (для подачи сухого очищенного воздуха) по ТЗ в 2026г. для РУСАЛ Волгоград (id1192695) (2-й этап торгов) (id1205406);16.06.2026;19.06.2026 23:00;334308;РУСАЛ Волгоград
компрессор;1205249;Техническое обслуживание компрессоров и вспомогательного оборудования ООО «ТехноНИКОЛЬ Дальний Восток» 202606_3826 (id1202968) (2-й этап торгов) (id1205249);16.06.2026;18.06.2026 00:00;105699;ТехноНИКОЛЬ Дальний Восток
компрессор;1203852;Винтовой блок компрессора FUSHENG SA132A. (id1203852);11.06.2026;18.06.2026 23:00;125295;Азия Цемент
компрессор;1203676;"Закупка Компрессор хол.D6SJ-4000 для АО ""РУСАЛ САЯНАЛ"" (id1199507) (3-й этап торгов) (id1203676)";11.06.2026;15.06.2026 09:00;359124;РУСАЛ САЯНАЛ
компрессор;1203597;HSN7471-75-40P Компрессор полугерметичный винтовой (id1203597);11.06.2026;18.06.2026 18:00;210033;ПАО Группа Черкизово
компрессор;1203436;"Открытый конкурсный отбор на закупку деталей по чертежу (сердечник формирования центральных отверстий коллектора AL 500*100; Спиральный компрессор ZR190KCE-TFD-455, SERIAL 161730758W EMERSON; комплект голов AL350*100 №проекта 20055_(AL350-100 TW)(2020-05-21)) по заявке для ТС ООО ""Русский радиатор"" (id1203436)";10.06.2026;17.06.2026 15:30;385470;Русский радиатор
компрессор;1203359;"Автомобили УАЗ 390994, УАЗ 315142, ВАЗ 217030, Chevrolet NIVA, КАМАЗ 4310; Автопогрузчик ДВ 1792; Бульдозеры ДЗ-42, ДЗ--171/Т-170; Трактора К-702, СШ-2540; Экскаваторы ЭО-3323, ЭО-3326; Полуприцеп УПР-1212 АА 8328; Компрессор ПСКД-5.25Д, ООО ""Челныводоканал"" (id1203359)";10.06.2026;23.06.2026 10:10;2953;КАМАЗ
компрессор;1203080;"Закупка №34 запасные части для компрессоров для ПАО ""Комбинат Магнезит"" (id1203080)";10.06.2026;15.06.2026 11:00;16537;Комбинат Магнезит
компрессор;1203074;"Закупка Компрессор хол.D6SJ-4000 для АО ""РУСАЛ САЯНАЛ"" (id1199507) (2-й этап торгов) (id1203074)";10.06.2026;11.06.2026 08:00;359124;РУСАЛ САЯНАЛ
компрессор;1202968;Техническое обслуживание компрессоров и вспомогательного оборудования ООО «ТехноНИКОЛЬ Дальний Восток» 202606_3826 (id1202968);10.06.2026;12.06.2026 16:00;105699;ТехноНИКОЛЬ Дальний Восток
компрессор;1202340;Закупка вала коленчатого (коленвала) компрессора ДАО-550 в 2026 году (id1199853) (2-й этап торгов) (id1202340);08.06.2026;09.06.2026 16:00;51053;Химпром (Новочебоксарск)
компрессор;1201875;Запчасти компрессоров (Маслоохладитель МРУ-19 У7.479СБ) (id1201875);08.06.2026;19.06.2026 18:00;419335;СИС
компрессор;1201745;Закупка компрессора ВУ-3,5/9-1450 в счет обеспечения потребности филиала АО РУСАЛ-Братск (г.Шелехов, Ирк. обл.). Заявки принимаются на ЭТП Tender.Pro (регистрация бесплатная, ЭП не требуется) (id1197413) (3-й этап торгов) (id1201745);08.06.2026;09.06.2026 15:00;350386;Филиал РУСАЛ Братск в г. Шелехов
компрессор;1201476;"Закупка компрессора (турбоблок) 280Н.СБ и редуктора 9695.000.000СБ для ООО ""ПГЛЗ"" (id1201476)";05.06.2026;17.06.2026 15:00;102842;Пикалевский глиноземный завод
компрессор;1201401;"Закупка компрессора (турбоблок) 280Н.СБ и редуктора 9695.000.000СБ для ООО ""ПГЛЗ"" (id1201401)";05.06.2026;15.06.2026 15:00;102842;Пикалевский глиноземный завод
компрессор;1201254;Техническое обслуживание ТО-4000 компрессора GA-160 202605_3775 (id1199477) (2-й этап торгов) (id1201254);05.06.2026;07.06.2026 23:59;43515;Филиал Завод ТЕХНО (Юрга)
компрессор;1200900;Выполнение работ по сервисному обслуживанию компрессора АА-108/7,5 поз. 88/5 (id1200900);04.06.2026;20.06.2026 16:00;51053;Химпром (Новочебоксарск)
компрессор;1200862;"Закупка компрессора DELTAKIP DK-Kompressor15kw для филиала ООО ""ИСО"" на Промплощадке ТаАЗ. (id1200862)";04.06.2026;11.06.2026 23:00;353145;Филиал ИСО на Промплощадке ТаАЗ
компрессор;1200698;Услуга - Обратная сборка компрессора с заменой уплотнений и подшипников компрессора Grasso YR-Y36S-28, пусконаладочные работы в АКЦ. СПК. г. Новосибирск. 2026 г. (id1200698);04.06.2026;08.06.2026 14:00;175373;Сибирская продовольственная компания (ГКК)
компрессор;1200626;Закупка компрессор ВУ-3,5/9-1450 в счет обеспечения потребности филиала АО РУСАЛ-Братск (г.Шелехов, Ирк. обл.). Заявки принимаются на ЭТП Tender.Pro (регистрация бесплатная, ЭП не требуется) (id1197413) (2-й этап торгов) (id1200626);04.06.2026;05.06.2026 23:00;350386;Филиал РУСАЛ Братск в г. Шелехов
компрессор;1200627;"Открытый отбор на приобретение материалов для компрессора на участке УПФиЛ ООО ""РУСАЛ Кремний Урал в 3 кв. 2026 года (id1197153) (2-й этап торгов) (id1200627)";04.06.2026;10.06.2026 00:00;363162;РУСАЛ Кремний Урал
компрессор;1200454;"Компрессор низкого давления для ""РУСАЛ Кандалакша"" (id1200454)";03.06.2026;15.06.2026 23:00;350778;РУСАЛ Кандалакша
компрессор;1200170;"Конкурсный отбор поставщика датчиков ДВС и компрессора для буровой установки JUNJIN JD-2000 по заявке №929 для АО ""Боксит Тимана"" (id1196962) (2-й этап торгов) (id1200170)";03.06.2026;04.06.2026 14:00;350779;БОКСИТ ТИМАНА
компрессор;1200145;Запрос предложений на выполнение работ по ремонту коленчатого вала компрессора ДАО-550 поз.1/2 цеха № 56. (id1173065) (5-й этап торгов) (id1200145);03.06.2026;03.06.2026 15:00;51053;Химпром (Новочебоксарск)
компрессор;1200111;ПЗ-36-26 Поставка ЗИП Hydrovane для КР ТК (Компрессор HV22-PFE2 Hydrovane), поставка по графику. Потребность 2026г. (id1153701) Запрос на скидку. (3-й этап торгов) Расширение конкурентной среды. Запрос на скидку. (id1200111);03.06.2026;04.06.2026 23:00;373510;АО БоАЗ
компрессор;1200030;Предоставление услуг по ремонту компрессоров типа К 250-61-5 №1 (инв.№507955) и №6 (инв.№507825) компрессорной станции АО «РУСАЛ Новокузнецк» в 2026 году. (id1200030);03.06.2026;17.06.2026 23:00;263938;РУСАЛ Новокузнецк
компрессор;1200024;Капитальный ремонт компрессора ВУ-3,5/9-1450 (ПК-35М) тепловоза серии ТГМ4А (в соответствии с Техническим заданием) (id1200024);03.06.2026;17.06.2026 23:00;350386;Филиал РУСАЛ Братск в г. Шелехов
компрессор;1199853;Закупка вала коленчатого (коленвала) компрессора ДАО-550 в 2026 году (id1199853);02.06.2026;04.06.2026 16:00;51053;Химпром (Новочебоксарск)
компрессор;1199507;"Закупка Компрессор хол.D6SJ-4000 для АО ""РУСАЛ САЯНАЛ"" (id1199507)";02.06.2026;09.06.2026 23:00;359124;РУСАЛ САЯНАЛ
компрессор;1199477;Техническое обслуживание ТО-4000 компрессора GA-160 202605_3775 (id1199477);02.06.2026;04.06.2026 16:00;43515;Филиал Завод ТЕХНО (Юрга)
компрессор;1199328;Реализация невостребованного имущества (Насосы, компрессоры и их части) в 2026г. (id1199328);01.06.2026;15.06.2026 17:00;51053;Химпром (Новочебоксарск)
компрессор;1199072;"Закупка масла компрессорного MOL Compressol R46 AL для компрессора ДЭН-160 ШМ для нужд ООО ""БИТУМ"" (id1199072)";01.06.2026;08.06.2026 14:00;381087;ИП Курбацкий Б.В.(Направление Салават)
компрессор;1198695;"Закупка ""Компрессор воздушный винтовой, 8 бар, 9-10 м9/мин, тип привода прямой с частотным регулированием, 55 кВт"" (id1198695)";29.05.2026;04.06.2026 16:00;439703;ИМЗ
компрессор;1198657;"Автомобили УАЗ 390994, УАЗ 315142, ВАЗ 217030, Chevrolet NIVA, КАМАЗ 4310; Автопогрузчик ДВ 1792; Бульдозеры ДЗ-42, ДЗ--171/Т-170; Трактора К-702, СШ-2540; Экскаваторы ЭО-3323, ЭО-3326; Полуприцеп УПР-1212 АА 8328; Компрессор ПСКД-5.25Д, ООО ""Челныводоканал"" (id1198657)";29.05.2026;10.06.2026 10:10;2953;КАМАЗ
компрессор;1198644;Закупка водородного компрессора поршневого двухступенчатого (id1198644);29.05.2026;15.06.2026 12:30;51053;Химпром (Новочебоксарск)
компрессор;1198566;Закупка поршневого компрессора REFCOMP SP4H250E для нужд АО КЦ (id1198566);29.05.2026;03.06.2026 23:00;210033;ПАО Группа Черкизово
компрессор;1198474;Капитальный ремонт воздушного компрессора 4ВМ10 50/71 (ВК №5) (id1185760) (3-й этап торгов) (id1198474);29.05.2026;01.06.2026 23:00;352231;Валком-ПМ
компрессор;1198054;Услуга - техническое обслуживание компрессоров SRM и GEA АКЦ. СОГЛАСНО ТЗ. г. Новосибирск. 2026 г. (id1194238) (2-й этап торгов) (id1198054);28.05.2026;09.06.2026 14:00;175373;Сибирская продовольственная компания (ГКК)
компрессор;1197413;Закупка компрессор ВУ-3,5/9-1450 в счет обеспечения потребности филиала АО РУСАЛ-Братск (г.Шелехов, Ирк. обл.). Заявки принимаются на ЭТП Tender.Pro (регистрация бесплатная, ЭП не требуется) (id1197413);27.05.2026;03.06.2026 23:00;350386;Филиал РУСАЛ Братск в г. Шелехов
компрессор;1197298;"Услуги ремонта чиллера, замена компрессоров и установка защит на инкубаторе Уфа, ГК ЧЕРКИЗОВО (АО ""Турбаслинские бройлеры"", Республика Башкортостан) (id1197298)";27.05.2026;11.06.2026 12:00;210033;ПАО Группа Черкизово
компрессор;1197250;Заявка 16538. Винтовой компрессор 13 бар с ресивером и осушителем + пневматический гайковерт для CBK S.A. (id1190158) (2-й этап торгов) (id1197250);27.05.2026;06.06.2026 12:00;394107;ОК ТД РУСАЛ
компрессор;1197153;"Открытый отбор на приобретение материалов для компрессора на участке УПФиЛ ООО ""РУСАЛ Кремний Урал в 3 кв. 2026 года (id1197153)";27.05.2026;04.06.2026 00:00;363162;РУСАЛ Кремний Урал
компрессор;1196995;"Открытый запрос предложений на поставку масло Total Dachis Id 46 (для компрессоров) в июне 2026 г. для ООО ""Промлит"" (id1196995)";26.05.2026;01.06.2026 11:00;389400;ТД Транспортное машиностроение
компрессор;1196962;"Конкурсный отбор поставщика датчиков ДВС и компрессора для буровой установки JUNJIN JD-2000 по заявке №929 для АО ""Боксит Тимана"" (id1196962)";26.05.2026;03.06.2026 08:00;350779;БОКСИТ ТИМАНА
компрессор;1196924;техническое обслуживание компрессора Atlas Copco GA-160 ТО-8000 202605_3740 (id1196924);26.05.2026;01.06.2026 16:00;43515;Филиал Завод ТЕХНО (Юрга)
компрессор;1196861;"Открытый запрос предложений на выполнение работ по оптимизации работы центробежного компрессора 43ВЦ-160/9М2 на компрессорной станции ООО ""ПК ""ЧАЗ"" (id1196861)";26.05.2026;09.06.2026 14:00;389400;ТД Транспортное машиностроение
компрессор;1196718;"Сервисное обслуживание винтовых воздушных компрессоров CROSSAIR COMPRESSOR Серия CA-8GA; ATLAS COPCO AIRPOWER GA18FF; Компрессор Винтовой Эрствак ESC-150D 8 ATM на 2026-2027г. (id1188682) (3-й этап торгов) (id1196718)";26.05.2026;27.05.2026 23:00;352231;Валком-ПМ
компрессор;1196698;Капитальный ремонт воздушного компрессора 4ВМ10 50/71 (ВК №5) (id1185760) (2-й этап торгов) (id1196698);26.05.2026;28.05.2026 23:00;352231;Валком-ПМ
компрессор;1196684;Текущий ремонт компрессора К250-61-1 центробежного. (id1196684);26.05.2026;10.06.2026 09:00;435555;КУМЗ-Организатор
компрессор;1196103;"Открытый запрос предложений на выполнение работ по капитальному ремонту винтового блока BS 480 винтового компрессора BOGE S 271 на ООО ""ПК ""ЧАЗ"" в 2026 году (id1196103)";25.05.2026;01.06.2026 14:00;389400;ТД Транспортное машиностроение
компрессор;1196293;Компрессоры винтовые маслонаполненные (Консолидированная закупка);25.05.2026;05.06.2026 10:00;61098;Русская медная компания
компрессор;1196083;Приобретение для нужд Астраханского ТРЗ - филиала АО «Желдорреммаш» Блок поршневой Remeza LT100 для компрессоров CБ4/Ф-500.LT100 в рамках плана поставок 2 квартала 2026 года (id1196083) (id1196083);25.05.2026;28.05.2026 23:00;80728;Астраханский ТРЗ
компрессор;1195113;Оказание услуги по техническому обслуживанию 2 (двух) компрессоров Samsung ТМ1500 (id1195113);25.05.2026;08.06.2026 23:00;373510;АО БоАЗ
