tender_id;company_id;company;predmet;sozdan;organizator;est_teh;telefony_razmetka;telefony_tekst;pochty;comment
1206135;200272;Стройдорэкспорт;"Закупка компрессора на тракторном шасси для ООО ""Кузбассдорстрой"" г. Кемерово в июле 2026 года. Давление 8 атм., производительность 8000 л/мин, ДВС дизельный (за исключение ММЗ), тип компрессора: винтовой, производитель любой за исключением ""Ремеза"" (id1206135)";17.06.2026;Общество с ограниченной ответственностью Стройдорэкспорт;1;;8-(495)215-14-38 | 8-923-491-0105;kovalevskiy_aa@sdexport.ru;"Комментарий: Заявки принимаются строго через ЭТП Tender.pro http s ://www.tender.pro/ По вопросам регистрации/работы на ЭТП просьба обращаться в Центр ТендерПро-Консультант, круглосуточно 8-(495)215-14-38 http://help.tender.pro/contacts.html Информация от управляющего отбором по условиям отбора и предмету закупки: Ведущий инженер ОМТС ООО ""Стройдорэкспорт"" Ковалевский Андрей Александрович, тел.: 8-923-491-0105, kovalevskiy_aa@sdexport.ru Договор по форме Покупателя (только для новых Поставщиков). &nbsp; Прочая информация В коммерческом предложении прошу указать следующую информацию: Реквизиты Вашей компании. Размер предоставленной скидки (в случае ее предоставления). Кто изготовитель предлагаемой Вами продукции и Ваш статус по отношению к изготовителю (официальный представитель, дилер, посредник, изготовитель и т.д.) Срок и порядок поставки. Срок и порядок оплаты. Наличие документов подтверждающих качество. Гарантийный срок. Данный запрос предложений не является торгами или публичным конкурсом в понимании ст. 447-449,1057-1061 ГК РФ. Все действия до момента подписания договора с победителем конкурса считаются преддоговорной работой и не накладывают на организатора обязательств, превышающих перечисленные в условиях конкурса."
1205925;210033;ПАО Группа Черкизово;Закупка блока винтовой компрессора KAESER для комбикормового завода г.Пенза/ЧЕРКИЗОВО (id1205925);16.06.2026;Публичное акционерное общество Группа Черкизово;1;;8-800-250-68-34 | +7 (910) 250-12-88;hotline@cherkizovo.com | ol.v.bykova@cherkizovo.com;"Комментарий: 1. Особые требования к качеству товара: 2. Требования к предоставлению документов для проверки контрагента: 2.1. При сумме предложения до 1 млн. рублей, без условия внесения аванса, требуется: &bull; Карточка предприятия 2.2. При условии внесения аванса и сумме предложения до 1 млн. рублей или сумме предложения от 1 млн. рублей до 10 млн. рублей (любые условия оплаты) предоставляются следующие документы (в зависимости от вида деятельности документы предоставляются раз в год или чаще): &bull; Карточка предприятия &bull; Лист записи Единого государственного реестра юридических лиц или Свидетельство о государственной регистрации с присвоением ОГРН, или Свидетельство о постановке на учет юридического лица в налоговом органе; &bull; Бухгалтерский баланс, отчет о финансовых результатах по утвержденным формам за последний отчетный год с отметкой налогового органа (либо с протоколом входного контроля, свидетельствующем о сдаче налоговой отчетности в электронном виде); &bull; Справка об исполнении налогоплательщиком (плательщиком сбора, плательщиком страховых взносов, налоговым агентом) обязанности по уплате налогов, сборов, страховых взносов, пеней, штрафов, процентов или Справка о наличии на дату формирования справки положительного, отрицательного или нулевого сальдо единого налогового счета налогоплательщика, плательщика сбора, плательщика страховых взносов или налогового агента, заверенные налоговым органом сроком давности не более 1 месяца; &bull; Договор аренды или свидетельство о праве собственности по юридическому адресу контрагента; &bull; Паспорт генерального директора \ индивидуального предпринимателя (листы, содержащие полные паспортные данные, фото и адрес регистрации); &bull; Доверенность на лицо, заключающее Договор от имени Контрагента (если применимо); &bull; Лицензия (если применимо); &bull; Свидетельство о допуске к определенному виду работ, выданное саморегулируемой организацией, членом которой является Контрагент (если применимо); &bull; Све"
1205718;353145;Филиал ИСО на Промплощадке ТаАЗ;"Закупка компрессора DELTAKIP DK-Kompressor15kw для филиала ООО ""ИСО"" на Промплощадке ТаАЗ. (id1200862) (2-й этап торгов) (id1205718)";16.06.2026;Филиал ООО Инжиниринг Строительство Обслуживание на Промплощадке ТаАЗ;;;8-(495)215-14-38 | 8 (800) 250-32-68;Ekaterina.Telegina@iso-serv.com | signal@proventus-pro.ru;"Комментарий: Данный тендер открыт как 2-й этап торгов к тендеру Закупка компрессора DELTAKIP DK-Kompressor15kw для филиала ООО ""ИСО"" на Промплощадке ТаАЗ. (id1200862) Заявки принимаются строго через ЭТП Tender.pro http s ://www.tender.pro/ По вопросам регистрации/работы на ЭТП просьба обращаться в Центр ТендерПро-Консультант, круглосуточно 8-(495)215-14-38 http://help.tender.pro/contacts.html Связаться с управляющим процедурой можно через вкладку Вопросы-Ответы - информация будет автоматически направлена на электронную почту управляющего. &nbsp;Настоящим сообщаю, что филиал ООО &laquo;ИСО&raquo; на Промплощадке ТаАЗ получило от различных организаций, в том числе от Вашей организации, коммерческие предложения на поставку компрессора-ресивера-осушителя DELTAKIP DK-Kompressor15kw. Период поставки: III квартал 2026 г. В целях получения наиболее выгодного предложения было принято решение о проведении 2 этапа отбора. Настоящий запрос не является переговорами о заключении договора в соответствии с Гражданским кодексом РФ (далее &ndash; ГК РФ). Для участия во 2-м этапе отбора ООО &laquo;ИСО&raquo; на Промплощадке ТаАЗ предлагает Вам рассмотреть возможность представления нового коммерческого предложения с ценой Товара ниже ранее предложенной. В случае согласия принять участие во 2-м этапе отбора прошу направить Ваше коммерческое предложение, подписанное уполномоченным представителем, в срок не позднее 18.06.2026 г. Настоящее письмо не является ответом о принятии оферты (акцептом), а также офертой в соответствии с Гражданским кодексом РФ. Напоминаем, что в рамках данного отбора ООО &laquo;ИСО&raquo; на Промплощадке ТаАЗ проводит отбор коммерческих предложений с целью определения наиболее выгодных предложений потенциальных поставщиков (далее &ndash; Отбор). Отбор, в том числе отдельные его стадии, не являются переговорами о заключении договора (ст. 434.1 ГК РФ). Настоящий Отбор не является торгами (в т.ч. в форме конкурса, аукциона или иной форме) или публичным конкурсом, регу"
1205013;476104;УДОКАНСКАЯ МЕДЬ;Компрессор КАМАЗ дв.CUMMINS ISBe 1цил. возд.охлаж. без шкива 3971519-MX / 350-27-014 июнь 2026 г. (id1205013);16.06.2026;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УДОКАНСКАЯ МЕДЬ""";;;+79248176670;nvlpro@udokancopper.com;"Комментарий: ООО Удоканская медь объявляет о начале реализации невостребованных материалов , находящихся на территории горно-металлургического комплекса Удокан. Условия реализации: Форма оплаты: 100% предоплата Способ получения: самовывоз Место самовывоза: Забайкальский край, Каларский район, ГМК Удокан (30 км от пгт Новая Чара) Цена: договорная рассматриваются коммерческие предложения от заинтересованных покупателей Мы открыты к сотрудничеству и готовы оперативно предоставить дополнительную информацию по составу и характеристикам имущества, а также организовать выезд для осмотра по предварительной договорённости. Просим заинтересованные организации направлять свои коммерческие предложения с указанием реквизитов, контактных данных и профиля деятельности на электронную почту: nvlpro@udokancopper.com &nbsp; Контактный &nbsp; номер &nbsp;телефона: +79248176670 Благодарим за внимание и надеемся на взаимовыгодное сотрудничество!"
1205406;334308;РУСАЛ Волгоград;Закупка компрессора (для подачи сухого очищенного воздуха) по ТЗ в 2026г. для РУСАЛ Волгоград (id1192695) (2-й этап торгов) (id1205406);16.06.2026;Филиал АО РУСАЛ Урал в Волгограде Объединенная компания РУСАЛ Волгоградский алюминиевый завод;1;;8-(495)215-14-38 | 8 800 234 56 40 | 8 495 221 33 72 | 8 915 224 56 40;signal@rusal.com;"Комментарий: Данный тендер открыт как 2-й этап торгов к тендеру Закупка компрессора (для подачи сухого очищенного воздуха) по ТЗ в 2026г. для РУСАЛ Волгоград (id1192695) Заявки принимаются строго через ЭТП Tender.pro http s ://www.tender.pro/ По вопросам регистрации/работы на ЭТП просьба обращаться в Центр ТендерПро-Консультант, круглосуточно 8-(495)215-14-38 http://help.tender.pro/contacts.html Связаться с управляющим процедурой можно через вкладку Вопросы-Ответы - информация будет автоматически направлена на электронную почту управляющего. Информация от управляющего отбором по условиям отбора и предмету закупки: Требуемые условия оплаты - отсрочка платежа не менее 60 к.д. Срок действия коммерческого предложения не менее 60 к.д. Прочая информация - Сертификат качества, паспорт качества - требуется.Участникам отбора необходимо указать информацию о наличии Сертификата системы менеджмента качества с указанием его типа и срока действия. Техническое задание на компрессор размещено в разделе ""документы"".&nbsp; На 2-м этапе прошу участников тендера рассмотреть возможность снижения цены и предложить максимально возможную отсрочку платежа. Обращаем Ваше внимание, что при подведении итогов стоимость предложений участников отбора будет рассчитана с учетом отвлечения денежных средств. Вы вправе предоставить любую информацию и документы, подтверждающие Вашу положительную деловую репутацию, опыт и устойчивое финансовое положение. (указать организационно правовую форму и наименование организатора отбора) оставляет за собой право, при невозможности определения наилучшей заявки и в целях равных конкурентных условий для всех участников конкурентного отбора, направить в адрес всех участников отбора список минимальных цен (без указания поставщиков, предложивших данные цены) и предложить всем участникам конкурентного отбора скорректировать и предоставить свои окончательные заявки. Каждый поставщик или подрядчик, при условии соответствия заявленным требованиям, имеет возможность принять"
1205249;105699;ТехноНИКОЛЬ Дальний Восток;Техническое обслуживание компрессоров и вспомогательного оборудования ООО «ТехноНИКОЛЬ Дальний Восток» 202606_3826 (id1202968) (2-й этап торгов) (id1205249);16.06.2026;"Общество с ограниченной ответственностью ""ТехноНИКОЛЬ Дальний Восток""";1;;+7 909-871-76-61;volkovmv@tn.ru | privis@tn.ru | tender.khb@tn.ru;"Комментарий: Данный тендер открыт как 2-й этап торгов к тендеру Техническое обслуживание компрессоров и вспомогательного оборудования ООО «ТехноНИКОЛЬ Дальний Восток» 202606_3826 (id1202968) Контактное лицо по техническим вопросам: Инженер-энергетик Волков Максим Валерьевич Эл. почта&nbsp; volkovmv@tn.ru Тел. +7&nbsp;924&nbsp;228 04 44 По вопросам приглашения и участия: Привис Софья Семеновна +7 909-871-76-61 privis@tn.ru Требуемые условия оплаты - 100% факт. Особые требования к качеству товара - описано в ТЗ. Особые требования к предоставлению документов - ЭДО. Сертификат соответствия,паспорт качества - требуется. Требования к форме контракта - по форме покупателя. Заказчик не накладывает на себя обязательства принимать оферты только через электронную тендерную площадку. Оферта может быть подана на корпоративную электронную почту по адресу tender.khb@tn.ru. Данный запрос предложений не является торгами или публичным конкурсом в понимании ст. 447-449,1057-1061 ГК РФ. Все действия до момента подписания договора с победителем конкурса считаются преддоговорной работой и не накладывают на организатора обязательств, превышающих перечисленные в условиях"
1203852;125295;Азия Цемент;Винтовой блок компрессора FUSHENG SA132A. (id1203852);11.06.2026;ООО Азия Цемент;;;;;Комментарий: Требуемые условия оплаты - нет. Особые требования к качеству товара - нет. Особые требования к предоставлению документов - нет. Сертификат соответствия,паспорт качества - требуется. Требования к форме контракта - по форме покупателя. Данный запрос предложений не является торгами или публичным конкурсом в понимании ст. 447-449,1057-1061 ГК РФ. Все действия до момента подписания договора с победителем конкурса считаются преддоговорной работой и не накладывают на организатора обязательств,превышающих перечисленные в условиях конкурса.
1203676;359124;РУСАЛ САЯНАЛ;"Закупка Компрессор хол.D6SJ-4000 для АО ""РУСАЛ САЯНАЛ"" (id1199507) (3-й этап торгов) (id1203676)";11.06.2026;"Акционерное общество ""РУСАЛ САЯНАЛ""";1;;8-(495)215-14-38 | 8 800 234 56 40 | 8 495 221 33 72 | 8 915 224 56 40;Tatiyana.Shcherbak@rusal.com | signal@rusal.com;"Комментарий: Данный тендер открыт как 3-й этап торгов к тендеру Закупка&nbsp;Компрессор хол.D6SJ-4000 для АО ""РУСАЛ САЯНАЛ"" (id1199507) Заявки принимаются строго через ЭТП Tender.pro http s ://www.tender.pro/ По вопросам регистрации/работы на ЭТП просьба обращаться в Центр ТендерПро-Консультант, круглосуточно 8-(495)215-14-38 http://help.tender.pro/contacts.html Связаться с управляющим процедурой можно через вкладку Вопросы-Ответы - информация будет автоматически направлена на электронную почту управляющего. Информация от управляющего отбором по условиям отбора и предмету закупки: Требуемые условия оплаты оплата с отсрочкой 30-60 дней. Доставка по адресу:655603, Хакасия Респ, г.о. город Саяногорск, г Саяногорск, тер промплощадка, к. 1 Прочая информация куратор отбора: Щербак Татьяна Александровна Специалист отдела материально-технического снабжения АО РУСАЛ САЯНАЛ Тел. (39042) 7-38-25 Tatiyana.Shcherbak@rusal.com Обращаем Ваше внимание, что при подведении итогов стоимость предложений участников отбора будет рассчитана с учетом отвлечения денежных средств. Вы вправе предоставить любую информацию и документы, подтверждающие Вашу положительную деловую репутацию, опыт и устойчивое финансовое положение. (указать организационно правовую форму и наименование организатора отбора) оставляет за собой право, при невозможности определения наилучшей заявки и в целях равных конкурентных условий для всех участников конкурентного отбора, направить в адрес всех участников отбора список минимальных цен (без указания поставщиков, предложивших данные цены) и предложить всем участникам конкурентного отбора скорректировать и предоставить свои окончательные заявки. Каждый поставщик или подрядчик, при условии соответствия заявленным требованиям, имеет возможность принять участие в отборе на 20__г. в течение всего периода отбора. Отбор, в том числе отдельные его стадии, не являются переговорами о заключении договора (ст. 434.1 ГК РФ). Настоящее приглашение не является офертой (ст. 435 ГК РФ"
1203597;210033;ПАО Группа Черкизово;HSN7471-75-40P Компрессор полугерметичный винтовой (id1203597);11.06.2026;Публичное акционерное общество Группа Черкизово;1;;8-800-250-68-34;hotline@cherkizovo.com;"Комментарий: Особые требования к качеству товара: Требования к предоставлению документов для проверки контрагента: 2.1. При сумме предложения до 1 млн. рублей, без условия внесения аванса, требуется: Карточка предприятия 2.2. При условии внесения аванса и сумме предложения до 1 млн. рублей или сумме предложения от 1 млн. рублей до 10 млн. рублей (любые условия оплаты) предоставляются следующие документы (в зависимости от вида деятельности документы предоставляются раз в год или чаще): Карточка предприятия Лист записи Единого государственного реестра юридических лиц или Свидетельство о государственной регистрации с присвоением ОГРН, или Свидетельство о постановке на учет юридического лица в налоговом органе; Бухгалтерский баланс, отчет о финансовых результатах по утвержденным формам за последний отчетный год с отметкой налогового органа (либо с протоколом входного контроля, свидетельствующем о сдаче налоговой отчетности в электронном виде); Справка об исполнении налогоплательщиком (плательщиком сбора, плательщиком страховых взносов, налоговым агентом) обязанности по уплате налогов, сборов, страховых взносов, пеней, штрафов, процентов или Справка о наличии на дату формирования справки положительного, отрицательного или нулевого сальдо единого налогового счета налогоплательщика, плательщика сбора, плательщика страховых взносов или налогового агента, заверенные налоговым органом сроком давности не более 1 месяца; Договор аренды или свидетельство о праве собственности по юридическому адресу контрагента; Паспорт генерального директора \ индивидуального предпринимателя (листы, содержащие полные паспортные данные, фото и адрес регистрации); Доверенность на лицо, заключающее Договор от имени Контрагента (если применимо); Лицензия (если применимо); Свидетельство о допуске к определенному виду работ, выданное саморегулируемой организацией, членом которой является Контрагент (если применимо); Сведения о застрахованных лицах по форме отчета о персонифицированных сведениях о физи"
1203436;385470;Русский радиатор;"Открытый конкурсный отбор на закупку деталей по чертежу (сердечник формирования центральных отверстий коллектора AL 500*100; Спиральный компрессор ZR190KCE-TFD-455, SERIAL 161730758W EMERSON; комплект голов AL350*100 №проекта 20055_(AL350-100 TW)(2020-05-21)) по заявке для ТС ООО ""Русский радиатор"" (id1203436)";10.06.2026;ООО Русский радиатор;;;8-(495)215-14-38 | +7911 410 42 05 | 8 800 234 56 40 | 8 495 221 33 72 | 8 915 224 56 40;Mariya.Egorova@rrplant.ru | signal@rusal.com;"Комментарий: Данный тендер открыт Открытый конкурсный отбор на закупку деталей по чертежу (сердечник формирования центральных отверстий коллектора AL 500*100; Спиральный компрессор ZR190KCE-TFD-455, SERIAL 161730758W EMERSON; комплект голов AL350*100 №проекта 20055_(AL350-100 TW)(2020-05-21)) по заявке для ТС ООО ""Русский радиатор"" Заявки принимаются строго через ЭТП Tender.pro http s ://www.tender.pro/ По вопросам регистрации/работы на ЭТП просьба обращаться в Центр ТендерПро-Консультант, круглосуточно 8-(495)215-14-38 http://help.tender.pro/contacts.html Связаться с управляющим процедурой можно через вкладку Вопросы-Ответы - информация будет автоматически направлена на электронную почту управляющего. Требуемые условия оплаты условия оплаты ( прошу предоставить максимальную отсрочку платежа, по возможности до 30/60 календарных дней от даты поставки); Прочая информация цену товара без НДС и с НДС , с учетом затрат на доставку до Грузополучателя по адресу: 186430, Республика Карелия, р-он Сегежский, пгт. Надвоицы , Заводская. д.1; любым удобным для Вас способом (ТК, перевозчик, почта России). С уважением, Егорова&nbsp;Мария Менеджер по закупкам ООО Русский радиатор +7911 410 42 05 8 (81431) 6-23-23 Mariya.Egorova@rrplant.ru Республика Карелия,186430, ПГТ Надвоицы, ул. Заводская,1 Обращаем Ваше внимание, что при подведении итогов стоимость предложений участников отбора будет рассчитана с учетом отвлечения денежных средств. Вы вправе предоставить любую информацию и документы, подтверждающие Вашу положительную деловую репутацию, опыт и устойчивое финансовое положение. (указать организационно правовую форму и наименование организатора отбора) оставляет за собой право, при невозможности определения наилучшей заявки и в целях равных конкурентных условий для всех участников конкурентного отбора, направить в адрес всех участников отбора список минимальных цен (без указания поставщиков, предложивших данные цены) и предложить всем участникам конкурентного отбора скорректироват"
1203359;2953;КАМАЗ;"Автомобили УАЗ 390994, УАЗ 315142, ВАЗ 217030, Chevrolet NIVA, КАМАЗ 4310; Автопогрузчик ДВ 1792; Бульдозеры ДЗ-42, ДЗ--171/Т-170; Трактора К-702, СШ-2540; Экскаваторы ЭО-3323, ЭО-3326; Полуприцеп УПР-1212 АА 8328; Компрессор ПСКД-5.25Д, ООО ""Челныводоканал"" (id1203359)";10.06.2026;Публичное акционерное общество КАМАЗ;;;8 (8552) 37-30-30 | 8 917-398-3251 | 8 917-891-8019;;"Комментарий: Требуемые условия оплаты - предоплата 100% в течение 5 рабочих дней после подписания договора; Требования к форме договора - по форме продавца; Требования к предъявляемой документации - предоставить все необходимые документы; Для бесплатного доступа к тендеру обращаться 8 (8552) 37-30-30 При неисполнения условий договора победитель тендера к повторным торгам не допускается. При двукратном неисполнении условий договора контрагент ко всем торгам ПАО ""КАМАЗ"" не допускается. Для бесплатного доступа к торгам обращаться к организатору 8 (8552) 37-30-30 Контакты балансодержателя: Хамадеев Линар Менирович&nbsp; 8 917-398-3251 Давлетшин Ильсур Ильязович 8 917-891-8019 Данный запрос предложений не является торгами или публичным конкурсом в понимании ст. 447-449,1057-1061 ГК РФ. Все действия до момента подписания договора с победителем конкурса считаются преддоговорной работой и не накладывают на организатора обязательств, превышающих перечисленные в условиях конкурса.&nbsp; Функционал и настройка конкурса позволяет участнику подать любое ценовое предложение не ниже стартовой цены. Последующее увеличение цены предложения участником не может быть ниже одного шага от текущей лучшей цены в конкурсе. Ссылка на описание реализуемого имущества: https://kamaz.ru/about/chattels/list/ ."
1203080;16537;Комбинат Магнезит;"Закупка №34 запасные части для компрессоров для ПАО ""Комбинат Магнезит"" (id1203080)";10.06.2026;ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ПО ПРОИЗВОДСТВУ ОГНЕУПОРОВ КОМБИНАТ МАГНЕЗИТ;;;;oreshkin@magnezit.com;"Комментарий: &nbsp;Требуемые условия и порядок оплаты : Цена указывается в рублях с учетом всех налогов и сборов. Существенным конкурентным преимуществом является предоставление отсрочки платежа не менее 90 календарных дней с момента поставки. Требования к качеству товара : новый (соответствие чертежам, ГОСТ, ТУ). Готовы рассматривать аналоги запасных частей. Требования к форме контракта: по форме Покупателя. Сертификат соответствия, паспорт (сертификат) качества: требуется. Срок гарантии закупаемого товара : существенным конкурентным преимуществом является предоставление гарантии не менее 36 месяцев. Требования к упаковке: упаковка должна обеспечивать сохранность груза от атмосферной коррозии и механических повреждений. Транспортные расходы: доставка груза до склада Покупателя за счет поставщика (или иное указать в комментариях, с указанием стоимости в графе ТРАНСПОРТИРОВКА, в рублях с НДС). Требования к предоставлению документов: для заключения договора необходимы: свидетельство о государственной регистрации, свидетельство о постановке на учет в налоговом органе, выписка из ЕГРЮЛ, бухгалтерский баланс за последний отчетный период (Формы 1; 2) Поставщик должен в своих комментариях указать все дополнительные расходы, связанные с поставкой товара. Указать также, является ли Поставщик плательщиком НДС или пользуется льготой в соответствии со ст.149 Налогового Кодекса РФ. Контактные лица: Вопросы по участию в конкурсе:&nbsp;Орешкин Игорь Владиславович&nbsp;- Эксперт УФЭиА ДКК, тел. 8(35161) 5-95-45 доб. 95905, oreshkin@magnezit.com Данный конкурс не является торгами или публичным конкурсом в понимании ст. 447-449,1057-1061 ГК РФ. Все действия до момента подписания договора с победителем конкурса считаются преддоговорной работой и не накладывают на организатора обязательств, превышающих перечисленные в условиях конкурса. В период приема коммерческих предложений дилерам (официальным представителям) необходимо направить по эл. почте подтверждающий документ. На предприятии"
1203074;359124;РУСАЛ САЯНАЛ;"Закупка Компрессор хол.D6SJ-4000 для АО ""РУСАЛ САЯНАЛ"" (id1199507) (2-й этап торгов) (id1203074)";10.06.2026;"Акционерное общество ""РУСАЛ САЯНАЛ""";1;;8-(495)215-14-38 | 8 800 234 56 40 | 8 495 221 33 72 | 8 915 224 56 40;Tatiyana.Shcherbak@rusal.com | signal@rusal.com;"Комментарий: Данный тендер открыт как 2-й этап торгов к тендеру Закупка&nbsp;Компрессор хол.D6SJ-4000 для АО ""РУСАЛ САЯНАЛ"" (id1199507) Заявки принимаются строго через ЭТП Tender.pro http s ://www.tender.pro/ По вопросам регистрации/работы на ЭТП просьба обращаться в Центр ТендерПро-Консультант, круглосуточно 8-(495)215-14-38 http://help.tender.pro/contacts.html Связаться с управляющим процедурой можно через вкладку Вопросы-Ответы - информация будет автоматически направлена на электронную почту управляющего. Информация от управляющего отбором по условиям отбора и предмету закупки: Требуемые условия оплаты оплата с отсрочкой 30-60 дней. Доставка по адресу:655603, Хакасия Респ, г.о. город Саяногорск, г Саяногорск, тер промплощадка, к. 1 Прочая информация куратор отбора: Щербак Татьяна Александровна Специалист отдела материально-технического снабжения АО РУСАЛ САЯНАЛ Тел. (39042) 7-38-25 Tatiyana.Shcherbak@rusal.com Обращаем Ваше внимание, что при подведении итогов стоимость предложений участников отбора будет рассчитана с учетом отвлечения денежных средств. Вы вправе предоставить любую информацию и документы, подтверждающие Вашу положительную деловую репутацию, опыт и устойчивое финансовое положение. (указать организационно правовую форму и наименование организатора отбора) оставляет за собой право, при невозможности определения наилучшей заявки и в целях равных конкурентных условий для всех участников конкурентного отбора, направить в адрес всех участников отбора список минимальных цен (без указания поставщиков, предложивших данные цены) и предложить всем участникам конкурентного отбора скорректировать и предоставить свои окончательные заявки. Каждый поставщик или подрядчик, при условии соответствия заявленным требованиям, имеет возможность принять участие в отборе на 20__г. в течение всего периода отбора. Отбор, в том числе отдельные его стадии, не являются переговорами о заключении договора (ст. 434.1 ГК РФ). Настоящее приглашение не является офертой (ст. 435 ГК РФ"
1202968;105699;ТехноНИКОЛЬ Дальний Восток;Техническое обслуживание компрессоров и вспомогательного оборудования ООО «ТехноНИКОЛЬ Дальний Восток» 202606_3826 (id1202968);10.06.2026;"Общество с ограниченной ответственностью ""ТехноНИКОЛЬ Дальний Восток""";1;;+7 909-871-76-61;volkovmv@tn.ru | privis@tn.ru | tender.khb@tn.ru;"Комментарий: Контактное лицо по техническим вопросам: Инженер-энергетик Волков Максим Валерьевич Эл. почта&nbsp; volkovmv@tn.ru Тел. +7&nbsp;924&nbsp;228 04 44 По вопросам приглашения и участия: Привис Софья Семеновна +7 909-871-76-61 privis@tn.ru Требуемые условия оплаты - 100% факт. Особые требования к качеству товара - описано в ТЗ. Особые требования к предоставлению документов - ЭДО. Сертификат соответствия,паспорт качества - требуется. Требования к форме контракта - по форме покупателя. Заказчик не накладывает на себя обязательства принимать оферты только через электронную тендерную площадку. Оферта может быть подана на корпоративную электронную почту по адресу tender.khb@tn.ru. Данный запрос предложений не является торгами или публичным конкурсом в понимании ст. 447-449,1057-1061 ГК РФ. Все действия до момента подписания договора с победителем конкурса считаются преддоговорной работой и не накладывают на организатора обязательств, превышающих перечисленные в условиях"
