company_id;inn;kpp;nazvanie_na_ploshchadke
351557;7730248021;246543001;Филиал ИСО в г.Красноярск
351559;7730248021;425343001;Филиал ИСО в г. Новокузнецк
351560;7730248021;190243001;Филиал ИСО в г. Саяногорск
351562;7730248021;381043001;Филиал ИСО в г. Шелехов
351564;7730248021;381643001;Филиал ИСО в с. Старый Акульшет
352231;3435051260;345901001;Валком-ПМ
352889;3809003787;384901001;СибВАМИ
353145;7730248021;381643002;Филиал ИСО на Промплощадке ТаАЗ
354057;2532008780;253201001;ЯГРК
354479;6646010043;661901001;Уральская фольга
357326;2465072918;246501001;ЛМЗ СКАД
359124;1902015920;190201001;РУСАЛ САЯНАЛ
363162;6612006391;660850001;РУСАЛ Кремний Урал
368911;7111022115;711101001;Гланит
369183;5007036608;500701001;РУСАЛ-Саянская фольга
371026;3821008485;381001001;СУАЛ-ПМ
373510;2465102746;240701001;АО БоАЗ
37513;5911013780;590150001;Березниковский содовый завод
378368;2903012890;290301001;НРСК
383842;6631007376;661701001;СПИ СУБР-Проект
384097;6612005052;100602001;РУСАЛ НАДВОИЦЫ
385470;1006013150;100601001;Русский радиатор
389400;2130230898;213001001;ТД Транспортное машиностроение
394107;5519006211;773001001;ОК ТД РУСАЛ
395326;2465339833;246501001;СИБПРОФ
397032;7706446985;770601001;ИЛМИТ
40504;1006004155;100650001;Сегежский ЦБК
407278;4701007851;471501001;АО ПИКАЛЕВСКИЙ ЦЕМЕНТ
407434;7703182734;773001001;УК СОЮЗМЕТАЛЛРЕСУРС
407436;1910009769;191001001;СФМЗ
409330;5605000012;560501001;АО КРИОЛИТ
419335;3849096450;384901001;СИС
42241;7321316986;732101001;Завод ТехноНИКОЛЬ-Ульяновск
423135;2465349736;246501001;РУСАЛ АГРОСИБИРЬ
424690;7705581646;391301001;УК СОДРУЖЕСТВО
432704;6148013595;614801001;ЗАВОД ТЕХНОПЛЕКС КРАСНЫЙ СУЛИН
432808;4100002351;410101001;АО БЫСТРИНСКАЯ ГОРНАЯ КОМПАНИЯ
443;;;
44441;2466114215;246601001;Краском
450776;2465337272;246501001;САД
46297;7404052938;740401001;АО Златмаш
51053;2124009521;212401001;Химпром
52537;6230043899;623001001;Завод ТЕХНОПЛЕКС
55785;7705880068;770701001;Русский Уголь
55813;4715022874;660850001;Пикалевская сода
58414;2901038518;290101001;Севералмаз
59062;2903000446;509950001;Архангельский ЦБК
61098;6670061296;997550001;Русская медная компания
63114;3435900563;343501001;Волжский Оргсинтез
70445;5321029508;997550001;Акрон
7964;5103070023;997350001;Апатит
80034;4220020218;424950001;ТопПром
80043;4253029223;425301001;ЦОФ Щедрухинская
80047;4205037640;422301001;Тайбинская
80155;4253019916;425301001;ТрансАвто
80158;;;
84702;7724790726;772401001;СпецПромПоставка
88704;4218107045;421801001;Шахта Юбилейная
91427;4223057424;422301001;ОФ Коксовая
97755;1902017445;190201001;УБО
