fajl;zakupka;dokument;tip;bajt;stranic;znakov;otkaz;skan_ili_pusto;sha256;kopiya_ot;ocr_stranic_obrezano
eis_f_32110491488_6.bin;32110491488;2021-08-06_14-04-24_Протокол рассмотрения и подведения итогов закупки_Форма159_ЗКЭФ.docx;docx;49379;0;1575;;;0e8f0be079fcbe03;;
eis_f_32110491488_7.bin;32110491488;Протокол 2.pdf;pdf-ocr;2282560;2;2022;;;99984fe4b4c957e3;;
eis_f_32110511492_1.bin;32110511492;Приложение 3- Обоснование НМЦ.docx;отказ;142;0;0;1;;723b6601a0f2882e;;
eis_f_32110511492_2.bin;32110511492;Приложение 2-Техническое задание.docx;отказ;142;0;0;1;;4d059a12f4de5295;;
eis_f_32110511492_3.bin;32110511492;Приложение 1- Проект договора.docx;отказ;142;0;0;1;;787cd9d20de3b9dc;;
eis_f_32110511492_4.bin;32110511492;Форма050_ЗКЭФМСП.docx;отказ;142;0;0;1;;349c8edec620263a;;
eis_f_32110511492_5.bin;32110511492;ответ.docx;docx;1181238;0;261;;;ae539a1febb5b07c;;
eis_f_32110511492_6.bin;32110511492;2021-08-12_12-21-38_Протокол подведения итогов_Форма150_5.docx;docx;53036;0;5557;;;97587978752cba85;;
eis_f_32110511492_7.bin;32110511492;57-4811.pdf;pdf;218905;2;5593;;;15c7afbdbeba3778;;
eis_f_32110511492_8.bin;32110511492;Протокол рассмотрения и подведения итогов закупки.html;html;16918;0;11095;;;1280976f4a347448;;
eis_f_32110544437_1.bin;32110544437;Извещение ТО компрессора GA-250FF.docx;отказ;142;0;0;1;;f391ec3f1a6e848a;;
eis_f_32110544437_2.bin;32110544437;Договор ТО компрессора GA-250FF.docx;отказ;142;0;0;1;;cac1819567ba2c1b;;
eis_f_32110544437_3.bin;32110544437;Договор ТО компрессора GA-250FF.docx;отказ;142;0;0;1;;7536a9750606c70e;;
eis_f_32110544437_4.bin;32110544437;Извещение ТО компрессора GA-250FF.docx;отказ;142;0;0;1;;37f0e486b1439542;;
eis_f_32110544437_5.bin;32110544437;Ответ на запрос ТО компрес..docx;docx;208979;0;507;;;30cd323252ba5efc;;
eis_f_32110554654_1.bin;32110554654;шеф монтаж.zip;отказ;142;0;0;1;;e446579ae6619ad0;;
eis_f_32110554654_2.bin;32110554654;Разъяснения по документации по запросу от 18.08.2021.doc;doc/xls;20992;0;20984;;;ca49d54794cf414a;;
eis_f_32110554654_3.bin;32110554654;Протокол итоговый 448 ЗП (3 з. 3 откл.).doc;doc/xls;61952;0;61670;;;e154496ed1dc097b;;
eis_f_32110617532_1.bin;32110617532;Документация установка.doc;отказ;142;0;0;1;;a5e555dd007b80e6;;
eis_f_32110617532_2.bin;32110617532;Приложение №1 к документации.docx;отказ;142;0;0;1;;dc377c82291a1379;;
eis_f_32110617532_3.bin;32110617532;Проект договора.doc;отказ;142;0;0;1;;475c801372170c19;;
eis_f_32110617532_4.bin;32110617532;ОБОСНОВАНИЕ (Приложение №2 к документации).xls;отказ;142;0;0;1;;c5002f01834afed3;;
eis_f_32110617532_5.bin;32110617532;Итоговый  протокол по установке винтовой.pdf;pdf-ocr;2034794;3;3907;;;b05c6147bcb55a2c;;
eis_f_32110617532_6.bin;32110617532;Протокол_проведения_ЭА_(заявка_в_двух_частях)_(системный).docx;docx;17963;0;1754;;;590bedcc2612aff4;;
eis_f_32110764715_1.bin;32110764715;ОПИСАНИЕ ПРЕДМЕТА ЗАКУПКИ. Приложение № 2..odt;отказ;142;0;0;1;;2d7a6c1b6a26ba43;;
eis_f_32110764715_2.bin;32110764715;ОБОСНОВАНИЕ Н(М)ЦД. Притложение № 1..xls;отказ;142;0;0;1;;d24c214e56bb1ddc;;
eis_f_32110764715_3.bin;32110764715;Проект договора.doc;отказ;142;0;0;1;;505fc86598f5b466;;
eis_f_32110764715_4.bin;32110764715;Документация установка компрессорная.doc;отказ;142;0;0;1;;db235a59c0598012;;
eis_f_32110764715_5.bin;32110764715;итоговый протокол установка дэн.pdf;pdf-ocr;1923236;3;3693;;;9b3de7348e5fa1b3;;
eis_f_32110764715_6.bin;32110764715;Протокол_проведения_ЭА_(заявка_в_двух_частях)_(системный).docx;docx;17035;0;1820;;;e547a443c5b2d216;;
eis_f_32110764715_7.bin;32110764715;Протокол первые части установка.PDF;pdf-ocr;1657010;3;3654;;;38663a2f241445b5;;
eis_f_32110779751_1.bin;32110779751;Техническое задание.doc;отказ;142;0;0;1;;f154022812f94b5e;;
eis_f_32110779751_2.bin;32110779751;Форма044_ЗК.docx;отказ;142;0;0;1;;f762ac7c523b59d8;;
eis_f_32110779751_3.bin;32110779751;Расчет НМЦ.pdf;отказ;142;0;0;1;;d1b1352686d68498;;
eis_f_32110779751_4.bin;32110779751;Акт об исполнении обязательств.doc;отказ;142;0;0;1;;fe8fda31940fca1b;;
eis_f_32110779751_5.bin;32110779751;Спецификация.doc;отказ;142;0;0;1;;ec9f1cdaa68c62e7;;
eis_f_32110779751_6.bin;32110779751;Проект договора.doc;отказ;142;0;0;1;;cef17551f7130817;;
eis_f_32110779751_7.bin;32110779751;2021-11-23_17-22-00_Протокол рассмотрения и подведения итогов закупки_Форма141.docx;docx;77920;0;2704;;;645dbb12eebb4062;;
eis_f_32110779751_8.bin;32110779751;Протокол №ЗКЭФ-0255-2021-10 от 23.11.2021г..pdf;pdf-ocr;621550;3;3784;;;c03df390a860dbc9;;
eis_f_32110858278_1.bin;32110858278;Прил. 6 к договору. План ППР вент. обор-я, часть 2.xlsx;отказ;142;0;0;1;;3622eed0ef32959f;;
eis_f_32110858278_10.bin;32110858278;Расчет НМЦ.docx;отказ;142;0;0;1;;0a1cb0bbcc13736f;;
eis_f_32110858278_11.bin;32110858278;Прил. 2 к договору. План ППР электрооборудования пст. общ..xlsx;отказ;142;0;0;1;;94cb9e61a84d3dee;;
eis_f_32110858278_2.bin;32110858278;Прил. 7 к договору. План ППР холодильно компрессорного обор-я.doc;отказ;142;0;0;1;;ed7df8a787fc8006;;
eis_f_32110858278_3.bin;32110858278;Проект договора.docx;отказ;142;0;0;1;;5181c3d92881bd04;;
eis_f_32110858278_4.bin;32110858278;Техническое задание.docx;отказ;142;0;0;1;;2acf754d7a7535ff;;
eis_f_32110858278_5.bin;32110858278;Прил. 3 к договору. План ППР котельного обор-я.xls;отказ;142;0;0;1;;ac11535c30f7e377;;
eis_f_32110858278_6.bin;32110858278;Прил. 4 к договору. План ППР сантех. обор-я.xls;отказ;142;0;0;1;;c138ee96031763dd;;
eis_f_32110858278_7.bin;32110858278;Прил. 5 к договору. План ППР компрессорного обор-я.doc;отказ;142;0;0;1;;6a2744c967871b09;;
eis_f_32110858278_8.bin;32110858278;Прил. 6 к договору. План ППР вент. обор-я, часть 1.xls;отказ;142;0;0;1;;3241271c53b22454;;
eis_f_32110858278_9.bin;32110858278;+КЭФ МСП ОГЭ.docx;отказ;142;0;0;1;;4d647537e266ed4e;;
eis_f_32110858363_1.bin;32110858363;компрессорная установка.zip;отказ;142;0;0;1;;0f62ca42e8a825f0;;
eis_f_32110858363_2.bin;32110858363;Запрос разъяснений.docx;docx;12326;0;997;;;cad23c460265637c;;
eis_f_32110858363_3.bin;32110858363;Разъяснения по докум.129-1.docx;docx;13955;0;2426;;;e029bf9522d7f370;;
eis_f_32110858363_4.bin;32110858363;Запрос разъяснений2.docx;docx;12287;0;755;;;2a41da3f6d7b44ea;;
eis_f_32110858363_5.bin;32110858363;Разъяснения по докум.129-2.docx;docx;14627;0;2825;;;8f685e26827d3cdd;;
eis_f_32110858363_6.bin;32110858363;Протокол итоговый 605 ЗК (7 з.).doc;doc/xls;86528;0;86118;;;544a8c8e75468fc0;;
eis_f_32211034131_1.bin;32211034131;Техническое задание.docx;отказ;142;0;0;1;;1bb0e02e71608574;;
eis_f_32211034131_2.bin;32211034131;проект Договора.docx;отказ;142;0;0;1;;d21b20fceeb6e32c;;
eis_f_32211034131_3.bin;32211034131;РНМЦ.docx;отказ;142;0;0;1;;8ea8a39b4b71b609;;
eis_f_32211034131_4.bin;32211034131;00259 Извещение на оказание услуг по ТО компрессорного оборудования.docx;отказ;142;0;0;1;;57a59e4d81d81157;;
eis_f_32211034131_5.bin;32211034131;Протокол 259.pdf;pdf-ocr;686718;3;4159;;;2c1f8453477b48ac;;
eis_f_32211034131_6.bin;32211034131;2022-01-27_12-46-52_Протокол рассмотрения и подведения итогов закупки_Форма165_ЗКЭФ.docx;docx;43565;0;3143;;;f07cb262f6785719;;
eis_f_32211412419_1.bin;32211412419;Проект договора зч КВДГ.doc;отказ;142;0;0;1;;8cf242cb4eedf7e9;;
eis_f_32211412419_2.bin;32211412419;Запрос ком.предлож.  запчасти.doc;отказ;142;0;0;1;;32d955e363475517;;
eis_f_32211412419_3.bin;32211412419;ОБОСНОВАНИЕ Н(М)ЦД. Приложение № 1..xls;отказ;142;0;0;1;;5eb7fcd180937200;;
eis_f_32211412419_4.bin;32211412419;ОПИСАНИЕ ПРЕДМЕТА ЗАКУПКИ. Приложение № 2..doc;отказ;142;0;0;1;;cf7acb444aa5c7ee;;
eis_f_32211412419_5.bin;32211412419;Приложение №1 к пр-ту до-ра КВДГ.doc;отказ;142;0;0;1;;1ce36f7370fa0d43;;
eis_f_32211412419_6.bin;32211412419;итоговый протокол 06.06.2022.PDF;pdf-ocr;4422202;4;8179;;;c00c00ff7bde498a;;
eis_f_32211508162_1.bin;32211508162;Новая  документация компрессор.doc;отказ;142;0;0;1;;a622122bdc833dcc;;
eis_f_32211508162_2.bin;32211508162;Проект договора.doc;отказ;142;0;0;1;;60265a5119121e87;;
eis_f_32211508162_3.bin;32211508162;ОПИСАНИЕ ПРЕДМЕТА ЗАКУПКИ. Приложение № 2..doc;отказ;142;0;0;1;;8cd86eb8e892b02c;;
eis_f_32211508162_4.bin;32211508162;ОБОСНОВАНИЕ Н(М)ЦД. Притложение № 1.pdf;отказ;142;0;0;1;;b60b524285e11e9e;;
eis_f_32211508162_5.bin;32211508162;Протокол по компрессору.pdf;pdf-ocr;1132288;2;2568;;;fe60f3a31d2d9cbc;;
eis_f_32312442003_1.bin;32312442003;Приложение №1 к проекту контракта ТО2 ГКС.doc;отказ;142;0;0;1;;203df623f3a79759;;
eis_f_32312442003_2.bin;32312442003;Приложение №2 (График ТО  ДГКС 2023г).doc;отказ;142;0;0;1;;2ce75ea9403e495a;;
eis_f_32312442003_3.bin;32312442003;Документация гтс.doc;отказ;142;0;0;1;;c7b5e40435da1527;;
eis_f_32312442003_4.bin;32312442003;Руководство по эксплуатации 2019г.pdf;отказ;142;0;0;1;;837a7f6d304b2b81;;
eis_f_32312442003_5.bin;32312442003;ОБОСНОВАНИЕ (Приложение №1).xls;отказ;142;0;0;1;;7c22fadb7966750f;;
eis_f_32312442003_6.bin;32312442003;ОПИСАНИЕ ПРЕДМЕТА ЗАКУПКИ. Приложение № 2..doc;отказ;142;0;0;1;;5f2412a01abdba38;;
eis_f_32312442003_7.bin;32312442003;проект договора ТО ДКС.(испр3).doc;отказ;142;0;0;1;;faa8bba060ed13a0;;
eis_f_32312442003_8.bin;32312442003;итоговый протокол ТО ГКС 19.06.2023.PDF;pdf-ocr;3075679;3;4372;;;ef0f29fab1e3f9d4;;
eis_f_32413499384_11.bin;32413499384;Уведомление_о_продлении_срока.docx;docx;165648;0;1442;;;516db5ee297e299d;;
eis_f_32413499384_12.bin;32413499384;Уведомление_о_внесении_изменений.zip;архив(2);212756;0;59315;;;714a6f334f3e2f35;;
eis_f_32413499384_13.bin;32413499384;Уведомление_о_продлении_срока_3.docx;docx;165682;0;1442;;;3d2979b429318981;;
eis_f_32413499384_14.bin;32413499384;Уведомление_о_продлении_срока_2.docx;docx;165669;0;1442;;;f64c4cf93a6accaa;;
eis_f_32413499384_16.bin;32413499384;Уведомление_о_продлении_срока_2.docx;docx;165669;0;1442;;;f64c4cf93a6accaa;eis_f_32413499384_14.bin;
eis_f_32413499384_17.bin;32413499384;Уведомление_о_продлении_срока_4.docx;docx;165680;0;1445;;;a968a9205826475a;;
eis_f_32413499384_18.bin;32413499384;Уведомление_о_продлении_срока_3.docx;docx;165682;0;1442;;;3d2979b429318981;eis_f_32413499384_13.bin;
eis_f_32413499384_19.bin;32413499384;Уведомление_о_внесении_изменений.zip;архив(2);212756;0;59315;;;714a6f334f3e2f35;eis_f_32413499384_12.bin;
eis_f_32413499384_2.bin;32413499384;212746_ЗД.zip;архив(16);20668204;0;711705;;;66c674990f709ddf;;
eis_f_32413499384_20.bin;32413499384;212746_ЗД.zip;архив(16);20668204;0;711705;;;66c674990f709ddf;eis_f_32413499384_2.bin;
eis_f_32413499384_21.bin;32413499384;Уведомление_о_продлении_срока.docx;docx;165648;0;1442;;;516db5ee297e299d;eis_f_32413499384_11.bin;
eis_f_32413499384_22.bin;32413499384;Уведомление_о_продлении_срока.docx;docx;165648;0;1442;;;516db5ee297e299d;eis_f_32413499384_11.bin;
eis_f_32413499384_24.bin;32413499384;Уведомление_о_продлении_срока_5.docx;docx;165685;0;1445;;;c64921a6fbca0a83;;
eis_f_32413499384_25.bin;32413499384;Уведомление_о_продлении_срока_3.docx;docx;165682;0;1442;;;3d2979b429318981;eis_f_32413499384_13.bin;
eis_f_32413499384_26.bin;32413499384;Уведомление_о_продлении_срока_4.docx;docx;165680;0;1445;;;a968a9205826475a;eis_f_32413499384_17.bin;
eis_f_32413499384_27.bin;32413499384;Уведомление_о_продлении_срока_2.docx;docx;165669;0;1442;;;f64c4cf93a6accaa;eis_f_32413499384_14.bin;
eis_f_32413499384_28.bin;32413499384;Уведомление_о_внесении_изменений.zip;архив(2);212756;0;59315;;;714a6f334f3e2f35;eis_f_32413499384_12.bin;
eis_f_32413499384_29.bin;32413499384;Уведомление_о_продлении_срока_5.docx;docx;165685;0;1445;;;c64921a6fbca0a83;eis_f_32413499384_24.bin;
eis_f_32413499384_3.bin;32413499384;Уведомление_о_внесении_изменений.zip;архив(2);212756;0;59315;;;714a6f334f3e2f35;eis_f_32413499384_12.bin;
eis_f_32413499384_30.bin;32413499384;Уведомление_о_продлении_срока_4.docx;docx;165680;0;1445;;;a968a9205826475a;eis_f_32413499384_17.bin;
eis_f_32413499384_31.bin;32413499384;Уведомление_о_продлении_срока_3.docx;docx;165682;0;1442;;;3d2979b429318981;eis_f_32413499384_13.bin;
eis_f_32413499384_32.bin;32413499384;Уведомление_о_продлении_срока_2.docx;docx;165669;0;1442;;;f64c4cf93a6accaa;eis_f_32413499384_14.bin;
eis_f_32413499384_33.bin;32413499384;Уведомление_о_продлении_срока.docx;docx;165648;0;1442;;;516db5ee297e299d;eis_f_32413499384_11.bin;
eis_f_32413499384_35.bin;32413499384;Уведомление_о_продлении_срока_6.docx;docx;165745;0;1443;;;7119260f96691f6a;;
eis_f_32413499384_36.bin;32413499384;Уведомление_о_внесении_изменений.zip;архив(2);212756;0;59315;;;714a6f334f3e2f35;eis_f_32413499384_12.bin;
eis_f_32413499384_37.bin;32413499384;Уведомление_о_разъяснениях.zip;архив(2);4570876;0;76254;;;fe3af81ebc31e9f5;;
eis_f_32413499384_38.bin;32413499384;Уведомление_о_разъяснениях_2.docx;docx;165063;0;1045;;;c26eea6409039084;;
eis_f_32413499384_39.bin;32413499384;Уведомление_о_разъяснениях_2.docx;docx;165063;0;1045;;;c26eea6409039084;eis_f_32413499384_38.bin;
eis_f_32413499384_4.bin;32413499384;Уведомление_о_продлении_срока.docx;docx;165648;0;1442;;;516db5ee297e299d;eis_f_32413499384_11.bin;
eis_f_32413499384_40.bin;32413499384;Уведомление_о_внесении_изменений.zip;архив(2);212756;0;59315;;;714a6f334f3e2f35;eis_f_32413499384_12.bin;
eis_f_32413499384_41.bin;32413499384;212746_ПВП.zip;архив(3);486319;0;217016;;;71740917a1c1ddec;;
eis_f_32413499384_42.bin;32413499384;212746_ПВК.zip;архив(2);272338;0;193922;;;c2a9f9bb680e880c;;
eis_f_32413499384_5.bin;32413499384;Уведомление_о_внесении_изменений.zip;архив(2);212756;0;59315;;;714a6f334f3e2f35;eis_f_32413499384_12.bin;
eis_f_32413499384_6.bin;32413499384;212746_ЗД.zip;архив(16);20668204;0;711705;;;66c674990f709ddf;eis_f_32413499384_2.bin;
eis_f_32413499384_7.bin;32413499384;Уведомление_о_продлении_срока_2.docx;docx;165669;0;1442;;;f64c4cf93a6accaa;eis_f_32413499384_14.bin;
eis_f_32413499384_8.bin;32413499384;Уведомление_о_продлении_срока.docx;docx;165648;0;1442;;;516db5ee297e299d;eis_f_32413499384_11.bin;
eis_f_32413499384_9.bin;32413499384;Уведомление_о_внесении_изменений.zip;архив(2);212756;0;59315;;;714a6f334f3e2f35;eis_f_32413499384_12.bin;
eis_f_32413559795_1.bin;32413559795;212857_ЗД_(до_13.05.2024).zip;архив(25);37016707;0;1294576;;;e15c2d0a44c9e5a5;;
eis_f_32413559795_10.bin;32413559795;212857_ПВК_на_сайт.zip;архив(2);212913;0;195513;;;218648239aa6d3ba;;
eis_f_32413559795_2.bin;32413559795;212857_ЗД_(до_13.05.2024).zip;архив(25);37016707;0;1294576;;;e15c2d0a44c9e5a5;eis_f_32413559795_1.bin;
eis_f_32413559795_3.bin;32413559795;212857_Уведомление_о_продлении_срока_(1).zip;архив(2);257495;0;3760;;;578ff19969701041;;
eis_f_32413559795_4.bin;32413559795;212857_Уведомление_о_продлении_срока_(2).zip;архив(2);257163;0;3760;;;266bfc7edf2ee57d;;
eis_f_32413559795_5.bin;32413559795;212857_Уведомление_о_продлении_срока_(1).zip;архив(2);257495;0;3760;;;578ff19969701041;eis_f_32413559795_3.bin;
eis_f_32413559795_7.bin;32413559795;212857_ПВП_на_сайт.zip;архив(3);474300;0;296619;;;49e33c321db7581c;;
eis_f_32413559795_8.bin;32413559795;212857_ППР_на_сайт.zip;архив(3);380011;0;215317;;;dfd68bb5d0b5b277;;
eis_f_32413559795_9.bin;32413559795;212857_ПП_на_сайт.zip;архив(2);218121;0;207578;;;67f8b9c5ddb910ed;;
eis_f_32413610300_10.bin;32413610300;213066_ПН_сайт.zip;архив(3);458555;0;209612;;;ab4c8322525290ac;;
eis_f_32413610300_2.bin;32413610300;213066_Уведомление_о_продлении_срока.docx;docx;166167;0;1305;;;57fcb7a8d9364426;;
eis_f_32616248904_2.bin;32616248904;Документация о закупке.7z;7z(10);2749682;0;515375;;;8935ff8799f7c0cf;;
eis_f_32616248904_1.bin;32616248904;Извещение.docx;docx;56940;0;6456;;;84e41c4d65be5258;;
eis_f_32616248866_1.bin;32616248866;3._Закупочная_документация.7z;7z(17);2138889;0;985854;;;ebb00dabe0c43a51;;
eis_f_32616248854_2.bin;32616248854;Извещение.docx;docx;61167;0;6744;;;49b817482c23d93a;;
eis_f_32616248854_1.bin;32616248854;Документация.rar;rar(5);443314;0;324170;;;d254c7ff87911ae6;;
eis_f_32616248733_7.bin;32616248733;Форма 4.1 Анкета.xlsx;xlsx;12994;0;2055;;;8cc0f455399b1297;;
eis_f_32616248733_6.bin;32616248733;ч. VI Обоснование НМЦ.zip;архив(2);45372;0;13739;;;886f73c2657332d7;;
eis_f_32616248733_5.bin;32616248733;ч. V Техническая часть.zip;архив(2);51369;0;11554;;;2811d8c14a73e270;;
eis_f_32616248733_4.bin;32616248733;ч. IV Проект договора.docx;docx;173357;0;216561;;;b4d5d5c4d3ff31ab;;
eis_f_32616248733_3.bin;32616248733;Форма 4.2 Справка о цепочке собственников.xlsx;xlsx;14333;0;2980;;;9458c4df2c1c1782;;
eis_f_32616248733_2.bin;32616248733;Извещение.docx;docx;57672;0;6354;;;558ac9caf47d0c3b;;
eis_f_32616248733_1.bin;32616248733;ч. I-III.docx;docx;142141;0;155024;;;f125e12775916b38;;
eis_f_32616248653_2.bin;32616248653;Извещение.docx;docx;60442;0;5711;;;c469620fe6b776c6;;
