сайт A;сайт B;запросов A;запросов B;общих запросов;коэф перекрытия %;Жаккар %;доля показов A на общих %;доля показов B на общих %;показов на общих запросах
berg-compressor.com;remeza-kompressor.ru;7826;6297;131;2.08;0.94;8.20;3.05;9371
prokompressor.ru;kraftmann-kompressor.com;64532;753;129;17.13;0.20;0.31;80.00;6766
berg-compressor.com;crossair-compressor.ru;7826;3457;108;3.12;0.97;5.67;4.56;6288
enger-air.ru;comaro-kompressor.ru;36408;1191;99;8.31;0.26;2.78;15.13;9309
berg-compressor.com;dali-kompressor.ru;7826;3602;88;2.44;0.78;2.41;2.22;2925
enger-air.ru;abac-kompressor.ru;36408;2760;86;3.12;0.22;0.75;1.51;2307
berg-kompressor.ru;remeza-kompressor.ru;4787;6297;80;1.67;0.73;3.63;3.36;3322
ac-kompressor.ru;oil-free.ru;8185;547;77;14.08;0.89;1.89;15.59;967
dali-kompressor.ru;dizel-compressor.ru;3602;868;76;8.76;1.73;23.45;18.54;6600
prokompressor.ru;ekomak-compressor.com;64532;255;70;27.45;0.11;0.28;82.54;2988
enger-air.ru;barnaul.prokompressor.ru;36408;460;67;14.57;0.18;2.11;19.68;5524
prokompressor.ru;meyer-corp.ru;64532;9609;64;0.67;0.09;0.09;1.51;1027
berg-compressor.com;ac-kompressor.ru;7826;8185;64;0.82;0.40;0.83;1.34;1238
enger-air.ru;vladivostok.prokompressor.ru;36408;262;62;23.66;0.17;2.03;22.49;5347
berg-kompressor.ru;zif-kompressor.ru;4787;1889;62;3.28;0.94;3.21;12.78;5431
berg-kompressor.ru;comaro-kompressor.ru;4787;1191;62;5.21;1.05;2.16;7.53;2270
enger-air.ru;ironmac-compressor.com;36408;957;61;6.37;0.16;2.17;3.41;5624
zif-kompressor.ru;dali-kompressor.ru;1889;3602;60;3.18;1.10;4.72;3.37;2310
zif-kompressor.ru;dizel-compressor.ru;1889;868;59;6.80;2.19;14.62;16.87;4788
berg-compressor.com;zif-kompressor.ru;7826;1889;58;3.07;0.60;1.91;1.68;2364
ac-kompressor.ru;dali-kompressor.ru;8185;3602;57;1.58;0.49;1.03;0.60;487
meyer-corp.ru;ac-kompressor.ru;9609;8185;54;0.66;0.30;1.35;1.10;805
berg-kompressor.ru;ac-kompressor.ru;4787;8185;50;1.04;0.39;1.77;1.55;1366
ac-kompressor.ru;nsk.prokompressor.ru;8185;437;50;11.44;0.58;4.83;6.56;1652
enger-air.ru;cmprg.ru;36408;881;46;5.22;0.12;0.10;2.35;394
ac-kompressor.ru;zif-kompressor.ru;8185;1889;46;2.44;0.46;0.67;2.17;870
enger-air.ru;ekomak-kompressor.com;36408;1483;45;3.03;0.12;0.79;0.50;2045
berg-kompressor.ru;dali-kompressor.ru;4787;3602;44;1.22;0.53;0.75;1.99;891
berg-kompressor.ru;dizel-compressor.ru;4787;868;42;4.84;0.75;0.86;5.89;558
berg-compressor.com;dizel-compressor.ru;7826;868;40;4.61;0.46;0.14;8.26;322
crossair-compressor.ru;dizel-compressor.ru;3457;868;37;4.26;0.86;11.22;6.59;2052
berg-compressor.com;abac-kompressor.ru;7826;2760;36;1.30;0.34;0.40;0.87;648
remeza-kompressor.ru;nsk.prokompressor.ru;6297;437;36;8.24;0.54;2.02;14.03;1156
berg-kompressor.ru;barnaul.prokompressor.ru;4787;460;35;7.61;0.67;4.60;10.63;2426
remeza-kompressor.ru;dali-kompressor.ru;6297;3602;35;0.97;0.35;0.21;0.99;356
ac-kompressor.ru;cmprg.ru;8185;881;35;3.97;0.39;0.62;1.59;289
meyer-corp.ru;dizel-compressor.ru;9609;868;34;3.92;0.33;1.19;12.30;680
ac-kompressor.ru;crossair-compressor.ru;8185;3457;34;0.98;0.29;0.35;0.80;246
ac-kompressor.ru;barnaul.prokompressor.ru;8185;460;34;7.39;0.39;2.53;8.98;947
oil-free.ru;dizel-compressor.ru;547;868;33;6.03;2.39;4.73;10.28;344
berg-compressor.com;barnaul.prokompressor.ru;7826;460;31;6.74;0.38;2.18;9.18;2254
cmprg.ru;dizel-compressor.ru;881;868;31;3.57;1.80;3.38;5.05;309
remeza-kompressor.ru;crossair-compressor.ru;6297;3457;30;0.87;0.31;0.41;1.53;445
berg-kompressor.ru;crossair-compressor.ru;4787;3457;28;0.81;0.34;2.00;0.63;1090
remeza-kompressor.ru;ac-kompressor.ru;6297;8185;28;0.44;0.19;0.24;1.98;743
berg-compressor.com;vladivostok.prokompressor.ru;7826;262;27;10.31;0.33;0.77;13.54;935
berg-compressor.com;oil-free.ru;7826;547;26;4.75;0.31;0.80;6.19;921
enger-air.ru;nsk.prokompressor.ru;36408;437;25;5.72;0.07;1.06;2.73;2670
berg-compressor.com;ironmac-compressor.com;7826;957;25;2.61;0.29;0.61;1.13;675
zif-kompressor.ru;cmprg.ru;1889;881;25;2.84;0.91;0.33;1.55;189
berg-compressor.com;comaro-kompressor.ru;7826;1191;24;2.02;0.27;0.15;1.44;379
berg-compressor.com;cmprg.ru;7826;881;24;2.72;0.28;0.28;1.52;359
berg-kompressor.ru;vladivostok.prokompressor.ru;4787;262;24;9.16;0.48;1.63;7.50;906
ac-kompressor.ru;abac-kompressor.ru;8185;2760;24;0.87;0.22;0.82;0.12;298
berg-compressor.com;fini-compressor.com;7826;3231;23;0.71;0.21;0.36;0.45;398
ac-kompressor.ru;vladivostok.prokompressor.ru;8185;262;23;8.78;0.27;1.94;5.31;694
zif-kompressor.ru;crossair-compressor.ru;1889;3457;23;1.22;0.43;1.04;0.56;409
prokompressor.ru;voronezh.prokompressor.ru;64532;41;22;53.66;0.03;0.95;70.48;5325
berg-kompressor.ru;ekomak-kompressor.com;4787;1483;22;1.48;0.35;0.75;0.47;453
dali-kompressor.ru;comaro-kompressor.ru;3602;1191;22;1.85;0.46;2.03;6.10;1513
dali-kompressor.ru;cmprg.ru;3602;881;22;2.50;0.49;0.33;1.50;174
prokompressor.ru;usort.ru;64532;2933;20;0.68;0.03;0.01;0.59;81
remeza-kompressor.ru;vladivostok.prokompressor.ru;6297;262;20;7.63;0.31;1.91;10.12;1012
nsk.prokompressor.ru;barnaul.prokompressor.ru;437;460;20;4.58;2.28;9.66;2.97;204
remeza-kompressor.ru;dizel-compressor.ru;6297;868;19;2.19;0.27;2.80;4.66;1387
abac-kompressor.ru;dizel-compressor.ru;2760;868;19;2.19;0.53;0.10;7.56;202
dizel-compressor.ru;vladivostok.prokompressor.ru;868;262;19;7.25;1.71;3.12;8.08;182
remeza-kompressor.ru;barnaul.prokompressor.ru;6297;460;18;3.91;0.27;2.70;6.80;1336
abac-kompressor.ru;dali-kompressor.ru;2760;3602;18;0.65;0.28;0.21;0.91;302
crossair-compressor.ru;ironmac-compressor.com;3457;957;18;1.88;0.41;0.77;1.70;250
berg-kompressor.ru;nsk.prokompressor.ru;4787;437;17;3.89;0.33;2.88;2.31;1458
nsk.prokompressor.ru;vladivostok.prokompressor.ru;437;262;17;6.49;2.49;4.31;9.24;198
berg-compressor.com;ekomak-kompressor.com;7826;1483;16;1.08;0.17;0.23;0.22;266
berg-kompressor.ru;abac-kompressor.ru;4787;2760;16;0.58;0.21;0.96;0.08;496
berg-kompressor.ru;usort.ru;4787;2933;16;0.55;0.21;0.14;0.34;90
remeza-kompressor.ru;abac-kompressor.ru;6297;2760;15;0.54;0.17;0.11;0.09;78
remeza-kompressor.ru;oil-free.ru;6297;547;15;2.74;0.22;0.93;8.93;632
dali-kompressor.ru;ekomak-kompressor.com;3602;1483;15;1.01;0.30;0.26;0.39;136
ekomak-kompressor.com;comaro-kompressor.ru;1483;1191;15;1.26;0.56;0.20;1.49;273
remeza-kompressor.ru;zif-kompressor.ru;6297;1889;14;0.74;0.17;0.13;0.46;198
dali-kompressor.ru;fini-compressor.com;3602;3231;14;0.43;0.21;0.27;0.36;112
dali-kompressor.ru;nsk.prokompressor.ru;3602;437;14;3.20;0.35;2.05;1.88;570
crossair-compressor.ru;oil-free.ru;3457;547;14;2.56;0.35;0.46;4.42;181
berg-compressor.com;meyer-corp.ru;7826;9609;13;0.17;0.07;0.07;0.36;188
ac-kompressor.ru;ironmac-compressor.com;8185;957;13;1.36;0.14;0.21;0.64;113
zif-kompressor.ru;barnaul.prokompressor.ru;1889;460;13;2.83;0.56;13.42;4.82;4117
abac-kompressor.ru;cmprg.ru;2760;881;13;1.48;0.36;0.09;1.33;102
dali-kompressor.ru;oil-free.ru;3602;547;13;2.38;0.31;0.22;4.68;168
crossair-compressor.ru;cmprg.ru;3457;881;13;1.48;0.30;0.34;1.12;121
comaro-kompressor.ru;vladivostok.prokompressor.ru;1191;262;13;4.96;0.90;4.72;2.18;786
enger-air.ru;meyer-corp.ru;36408;9609;12;0.12;0.03;0.03;0.15;117
enger-air.ru;kraftmann-kompressor.com;36408;753;12;1.59;0.03;0.03;0.24;95
berg-compressor.com;nsk.prokompressor.ru;7826;437;12;2.75;0.15;1.90;1.52;1874
remeza-kompressor.ru;ekomak-kompressor.com;6297;1483;12;0.81;0.15;0.12;0.36;117
zif-kompressor.ru;abac-kompressor.ru;1889;2760;12;0.64;0.26;0.24;0.07;93
abac-kompressor.ru;barnaul.prokompressor.ru;2760;460;12;2.61;0.37;1.87;2.84;604
dali-kompressor.ru;ironmac-compressor.com;3602;957;12;1.25;0.26;0.45;1.00;189
dizel-compressor.ru;barnaul.prokompressor.ru;868;460;12;2.61;0.91;2.33;3.30;103
meyer-corp.ru;abac-kompressor.ru;9609;2760;11;0.40;0.09;0.28;0.05;109
ironmac-compressor.com;dizel-compressor.ru;957;868;11;1.27;0.61;0.52;3.56;118
dizel-compressor.ru;nsk.prokompressor.ru;868;437;11;2.52;0.85;2.20;1.70;78
berg-kompressor.ru;cmprg.ru;4787;881;10;1.14;0.18;0.12;0.61;93
remeza-kompressor.ru;cmprg.ru;6297;881;10;1.14;0.14;0.04;0.59;53
abac-kompressor.ru;crossair-compressor.ru;2760;3457;10;0.36;0.16;0.06;0.31;70
abac-kompressor.ru;fini-compressor.com;2760;3231;10;0.36;0.17;0.60;0.50;237
ekomak-kompressor.com;nsk.prokompressor.ru;1483;437;10;2.29;0.52;2.59;1.09;472
crossair-compressor.ru;comaro-kompressor.ru;3457;1191;10;0.84;0.22;0.30;1.52;293
cmprg.ru;vladivostok.prokompressor.ru;881;262;10;3.82;0.88;35.98;9.17;2189
barnaul.prokompressor.ru;vladivostok.prokompressor.ru;460;262;10;3.82;1.40;5.68;3.42;133
prokompressor.ru;po22.ru;64532;37;9;24.32;0.01;2.80;16.00;15295
berg-compressor.com;usort.ru;7826;2933;9;0.31;0.08;0.02;0.18;32
remeza-kompressor.ru;comaro-kompressor.ru;6297;1191;9;0.76;0.12;0.04;0.08;31
remeza-kompressor.ru;ironmac-compressor.com;6297;957;9;0.94;0.12;0.28;0.58;169
ac-kompressor.ru;comaro-kompressor.ru;8185;1191;9;0.76;0.10;0.11;0.59;129
ac-kompressor.ru;fini-compressor.com;8185;3231;9;0.28;0.08;0.18;0.24;83
crossair-compressor.ru;nsk.prokompressor.ru;3457;437;9;2.06;0.23;3.55;0.91;616
meyer-corp.ru;zif-kompressor.ru;9609;1889;8;0.42;0.07;0.04;0.19;68
meyer-corp.ru;cmprg.ru;9609;881;8;0.91;0.08;0.05;0.65;54
ac-kompressor.ru;ekomak-kompressor.com;8185;1483;8;0.54;0.08;0.08;0.09;41
zif-kompressor.ru;ekomak-kompressor.com;1889;1483;8;0.54;0.24;0.09;0.11;47
zif-kompressor.ru;comaro-kompressor.ru;1889;1191;8;0.67;0.26;0.08;0.18;52
zif-kompressor.ru;ironmac-compressor.com;1889;957;8;0.84;0.28;0.19;0.44;88
abac-kompressor.ru;nsk.prokompressor.ru;2760;437;8;1.83;0.25;6.26;3.34;1928
dali-kompressor.ru;vladivostok.prokompressor.ru;3602;262;8;3.05;0.21;2.46;1.16;663
comaro-kompressor.ru;cmprg.ru;1191;881;8;0.91;0.39;0.12;1.01;77
berg-kompressor.ru;oil-free.ru;4787;547;7;1.28;0.13;0.80;1.76;436
dali-kompressor.ru;barnaul.prokompressor.ru;3602;460;7;1.52;0.17;3.04;0.86;815
ekomak-kompressor.com;crossair-compressor.ru;1483;3457;7;0.47;0.14;0.09;0.09;31
fini-compressor.com;ironmac-compressor.com;3231;957;7;0.73;0.17;0.24;0.42;57
fini-compressor.com;dizel-compressor.ru;3231;868;7;0.81;0.17;0.17;2.64;79
ironmac-compressor.com;cmprg.ru;957;881;7;0.79;0.38;0.42;0.61;65
vladivostok.prokompressor.ru;voronezh.prokompressor.ru;262;41;7;17.07;2.36;6.84;37.14;172
enger-air.ru;usort.ru;36408;2933;6;0.20;0.02;0.00;0.24;26
enger-air.ru;ekomak-compressor.com;36408;255;6;2.35;0.02;0.10;2.01;289
zif-kompressor.ru;nsk.prokompressor.ru;1889;437;6;1.37;0.26;0.74;2.00;256
abac-kompressor.ru;comaro-kompressor.ru;2760;1191;6;0.50;0.15;0.06;1.00;177
abac-kompressor.ru;ironmac-compressor.com;2760;957;6;0.63;0.16;0.04;0.44;43
crossair-compressor.ru;fini-compressor.com;3457;3231;6;0.19;0.09;0.27;0.16;64
comaro-kompressor.ru;nsk.prokompressor.ru;1191;437;6;1.37;0.37;1.27;1.22;224
cmprg.ru;barnaul.prokompressor.ru;881;460;6;1.30;0.45;0.28;0.53;24
berg-compressor.com;kraftmann-kompressor.com;7826;753;5;0.66;0.06;0.06;0.08;59
remeza-kompressor.ru;kraftmann-kompressor.com;6297;753;5;0.66;0.07;0.09;0.08;44
meyer-corp.ru;dali-kompressor.ru;9609;3602;5;0.14;0.04;0.06;0.21;76
meyer-corp.ru;crossair-compressor.ru;9609;3457;5;0.14;0.04;0.06;0.27;67
zif-kompressor.ru;fini-compressor.com;1889;3231;5;0.26;0.10;0.18;0.15;70
abac-kompressor.ru;ekomak-kompressor.com;2760;1483;5;0.34;0.12;0.02;0.07;19
ekomak-kompressor.com;barnaul.prokompressor.ru;1483;460;5;1.09;0.26;1.88;0.59;338
oil-free.ru;nsk.prokompressor.ru;547;437;5;1.14;0.51;2.36;0.79;68
enger-air.ru;voronezh.prokompressor.ru;36408;41;4;9.76;0.01;0.61;12.86;1542
berg-kompressor.ru;fini-compressor.com;4787;3231;4;0.12;0.05;0.03;0.11;27
berg-kompressor.ru;ironmac-compressor.com;4787;957;4;0.42;0.07;0.03;0.13;22
remeza-kompressor.ru;fini-compressor.com;6297;3231;4;0.12;0.04;0.14;0.11;75
meyer-corp.ru;ironmac-compressor.com;9609;957;4;0.42;0.04;0.06;0.41;48
zif-kompressor.ru;vladivostok.prokompressor.ru;1889;262;4;1.53;0.19;0.39;4.08;175
abac-kompressor.ru;oil-free.ru;2760;547;4;0.73;0.12;0.03;0.21;14
ekomak-kompressor.com;cmprg.ru;1483;881;4;0.45;0.17;0.06;0.19;21
comaro-kompressor.ru;barnaul.prokompressor.ru;1191;460;4;0.87;0.24;16.10;6.08;2672
ironmac-compressor.com;oil-free.ru;957;547;4;0.73;0.27;0.23;0.21;21
kraftmann-kompressor.com;vladivostok.prokompressor.ru;753;262;4;1.53;0.40;3.80;0.29;245
kraftmann-kompressor.com;voronezh.prokompressor.ru;753;41;4;9.76;0.51;4.55;18.10;326
ekomak-compressor.com;nsk.prokompressor.ru;255;437;4;1.57;0.58;3.81;0.30;73
prokompressor.ru;vsefotoseparatory.ru;64532;963;3;0.31;0.00;0.00;0.19;14
enger-air.ru;po22.ru;36408;37;3;8.11;0.01;0.07;9.60;176
berg-compressor.com;voronezh.prokompressor.ru;7826;41;3;7.32;0.04;0.48;24.76;517
remeza-kompressor.ru;voronezh.prokompressor.ru;6297;41;3;7.32;0.05;0.04;24.76;68
remeza-kompressor.ru;po22.ru;6297;37;3;8.11;0.05;0.08;9.60;47
meyer-corp.ru;fini-compressor.com;9609;3231;3;0.09;0.02;0.02;0.13;20
meyer-corp.ru;barnaul.prokompressor.ru;9609;460;3;0.65;0.03;0.14;0.53;54
zif-kompressor.ru;oil-free.ru;1889;547;3;0.55;0.12;0.10;0.17;34
ekomak-kompressor.com;vladivostok.prokompressor.ru;1483;262;3;1.15;0.17;1.58;1.38;296
comaro-kompressor.ru;dizel-compressor.ru;1191;868;3;0.35;0.15;0.02;0.35;11
fini-compressor.com;cmprg.ru;3231;881;3;0.34;0.07;0.14;0.54;46
ironmac-compressor.com;barnaul.prokompressor.ru;957;460;3;0.65;0.21;0.37;0.20;29
cmprg.ru;oil-free.ru;881;547;3;0.55;0.21;0.31;0.17;22
oil-free.ru;barnaul.prokompressor.ru;547;460;3;0.65;0.30;2.19;0.46;58
oil-free.ru;vladivostok.prokompressor.ru;547;262;3;1.15;0.37;0.17;0.36;9
berg-compressor.com;ekomak-compressor.com;7826;255;2;0.78;0.02;0.01;0.34;15
berg-kompressor.ru;kraftmann-kompressor.com;4787;753;2;0.27;0.04;0.02;0.13;16
abac-kompressor.ru;ekomak-compressor.com;2760;255;2;0.78;0.07;0.74;0.90;237
abac-kompressor.ru;vladivostok.prokompressor.ru;2760;262;2;0.76;0.07;1.15;0.36;349
ekomak-kompressor.com;ironmac-compressor.com;1483;957;2;0.21;0.08;0.02;0.03;5
ekomak-kompressor.com;oil-free.ru;1483;547;2;0.37;0.10;0.09;0.26;21
crossair-compressor.ru;barnaul.prokompressor.ru;3457;460;2;0.43;0.05;0.04;0.13;9
crossair-compressor.ru;vladivostok.prokompressor.ru;3457;262;2;0.76;0.05;0.02;0.15;5
ironmac-compressor.com;vladivostok.prokompressor.ru;957;262;2;0.76;0.16;0.01;0.44;7
cmprg.ru;ekomak-compressor.com;881;255;2;0.78;0.18;0.03;0.11;4
vsefotoseparatory.ru;oil-free.ru;963;547;2;0.37;0.13;0.16;0.17;9
oil-free.ru;ekomak-compressor.com;547;255;2;0.78;0.25;1.03;0.67;36
ekomak-compressor.com;barnaul.prokompressor.ru;255;460;2;0.78;0.28;0.95;0.13;19
nsk.prokompressor.ru;voronezh.prokompressor.ru;437;41;2;4.88;0.42;0.18;1.90;7
barnaul.prokompressor.ru;po22.ru;460;37;2;5.41;0.40;0.20;3.20;7
enger-air.ru;vsefotoseparatory.ru;36408;963;1;0.10;0.00;0.00;0.06;5
berg-compressor.com;po22.ru;7826;37;1;2.70;0.01;0.02;4.00;24
berg-kompressor.ru;voronezh.prokompressor.ru;4787;41;1;2.44;0.02;0.00;8.57;19
berg-kompressor.ru;po22.ru;4787;37;1;2.70;0.02;0.01;4.00;9
remeza-kompressor.ru;ekomak-compressor.com;6297;255;1;0.39;0.02;0.00;0.06;2
meyer-corp.ru;comaro-kompressor.ru;9609;1191;1;0.08;0.01;0.00;0.01;2
meyer-corp.ru;oil-free.ru;9609;547;1;0.18;0.01;0.01;0.09;6
ac-kompressor.ru;voronezh.prokompressor.ru;8185;41;1;2.44;0.01;0.29;11.90;119
zif-kompressor.ru;ekomak-compressor.com;1889;255;1;0.39;0.05;0.00;0.06;2
zif-kompressor.ru;voronezh.prokompressor.ru;1889;41;1;2.44;0.05;0.00;8.57;19
abac-kompressor.ru;kraftmann-kompressor.com;2760;753;1;0.13;0.03;0.00;0.02;2
abac-kompressor.ru;po22.ru;2760;37;1;2.70;0.04;0.00;4.00;6
dali-kompressor.ru;voronezh.prokompressor.ru;3602;41;1;2.44;0.03;0.00;8.57;19
dali-kompressor.ru;po22.ru;3602;37;1;2.70;0.03;0.00;4.00;6
ekomak-kompressor.com;kraftmann-kompressor.com;1483;753;1;0.13;0.04;0.01;0.02;3
crossair-compressor.ru;voronezh.prokompressor.ru;3457;41;1;2.44;0.03;0.01;0.48;3
crossair-compressor.ru;po22.ru;3457;37;1;2.70;0.03;0.01;4.00;6
comaro-kompressor.ru;kraftmann-kompressor.com;1191;753;1;0.13;0.05;0.01;0.05;4
comaro-kompressor.ru;ekomak-compressor.com;1191;255;1;0.39;0.07;0.01;0.06;2
comaro-kompressor.ru;po22.ru;1191;37;1;2.70;0.08;0.01;0.80;2
fini-compressor.com;oil-free.ru;3231;547;1;0.18;0.03;0.04;0.09;6
fini-compressor.com;nsk.prokompressor.ru;3231;437;1;0.23;0.03;0.01;3.04;51
fini-compressor.com;vladivostok.prokompressor.ru;3231;262;1;0.38;0.03;0.08;0.36;14
ironmac-compressor.com;vsefotoseparatory.ru;957;963;1;0.10;0.05;0.01;0.06;3
kraftmann-kompressor.com;nsk.prokompressor.ru;753;437;1;0.23;0.08;0.36;0.18;26
kraftmann-kompressor.com;barnaul.prokompressor.ru;753;460;1;0.22;0.08;0.02;0.26;5
usort.ru;barnaul.prokompressor.ru;2933;460;1;0.22;0.03;0.10;0.13;8
cmprg.ru;nsk.prokompressor.ru;881;437;1;0.23;0.08;0.31;0.06;19
vsefotoseparatory.ru;dizel-compressor.ru;963;868;1;0.12;0.05;0.06;0.13;5
barnaul.prokompressor.ru;voronezh.prokompressor.ru;460;41;1;2.44;0.20;0.20;2.86;9
