url;блок;тяжесть;цитата;почему;что_делать
/catalog/vozdushnye-kompressory/comprag/;6;ВНИМАНИЕ;Осушитель удаляет влагу из сжатого воздуха. Без него конденсат попадает в пневмосеть, портит покрасочное оборудование (появляются кратеры и шагрень), выводит из строя пневмоклапаны автоматики, забивает абразив в пескоструйных аппаратах.;Осушители упомянуты в статье четыре раза, включая отдельный вопрос FAQ, и ни одной ссылки на них нет. При этом Comprag выпускает собственные осушители, на сайте есть их раздел, и спрос уже приходит именно на них: 'comprag rh-270 характеристики 2014' (позиция 4,0), 'comprag rh-270 компрессор', 'comprag olpi 270'. Готовая перелинковка внутри бренда не использована.;Поставить ссылку на раздел осушителей Comprag в ответе FAQ и в абзаце про комплектации, а также ссылку на ресиверы в вопросе про серию FR.
/catalog/vozdushnye-kompressory/comprag/;7;ВНИМАНИЕ;"kannibalizaciya: 'винтовой компрессор comprag' - эта страница 48 показов на позиции 9,32; /catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/comprag/ 18 показов на позиции 9,08";Дочерняя фильтровая страница стоит выше брендовой по двум запросам Яндекса и участвует ещё в двух запросах Google. Развести их нечем: по фасетам все 229 позиций Comprag - винтовые электрические на 380 В, то есть оба URL показывают идентичный листинг. Суммарно четыре наших URL (брендовый, фильтровый, /info/brands/comprag/ и карточки) делят 143 показа и не дают ни одного клика.;Победителем оставить короткий брендовый URL, с /po-tipu/vintovye/elektricheskie_1/comprag/ поставить rel=canonical сюда, с /info/brands/comprag/ снять коммерческие формулировки.
/catalog/vozdushnye-kompressory/comprag/;5;ПРОВЕРИТЬ;Официальное дилерство обеспечивает прямые поставки с завода, заводскую гарантию и доступ к расходникам.;Заявление о дилерском статусе и заводской гарантии ничем в досье не подтверждено: fakty_brenda по Comprag пустая. Это самое чувствительное утверждение страницы с юридической точки зрения, и оно же продублировано в description ('гарантия, сервис'). Тот же случай, что на странице Chicago Pneumatic, где дилерство заявлено при пустой базе фактов.;Завести fakty_brenda для Comprag и внести туда подтверждённый статус и условия гарантии. До этого формулировку смягчить или снять.
/catalog/vozdushnye-kompressory/cross-air/;5;КРИТИЧНО;Машины мощностью 5,5-250 кВт закрывают потребность в сжатом воздухе для 2-3 постов покраски или 4-5 единиц пневмоинструмента.;"Склейка масштабов в одном предложении: диапазон растянут в 45 раз, а задача под него подставлена одна и та же - маленький автосервис. Диапазон не подтверждается разделом: razdel.tsena_max по всем 220 позициям равен 237 588 руб., а все 12 моделей в razdel.primery_modeley - это 5,5; 7,5; 11 и 15 кВт (CA5.5, CAVF7.5, CA7.5, CA11, CA15). Абзац стоит в блоке 'Опыт поставок', где все три реальных кейса ";Привести верхнюю границу к тому, что реально есть в выгрузке, и разнести масштабы: 5,5-7,5 кВт на автосервис и 2-3 поста, 11-15 кВт на цех. Если 250 кВт существуют под заказ - выносить отдельной фразой, а не в один диапазон с задачей для автосервиса.
/catalog/vozdushnye-kompressory/cross-air/;5;ВНИМАНИЕ;RA - со встроенным ресивером (объём 300 или 500 литров в зависимости от мощности);Привязка объёма ресивера к мощности опровергается razdel.primery_modeley: там на одной и той же мощности 5,5 кВт лежат и CA5.5-8RA-300, и CA5.5-10RA-500. То есть объём ресивера - это самостоятельное исполнение, а не следствие мощности. Плюс сам индекс RA объёма не задаёт: CA11-10RA и CA15-10RA идут без суффикса, а CA7.5-8RA-500 и CA5.5-10RA-500 - с ним.;Переписать: 'RA - исполнение с ресивером, объём указан суффиксом в маркировке (RA-300, RA-500)'. Убрать привязку к мощности.
/catalog/vozdushnye-kompressory/cross-air/;5;ВНИМАНИЕ;Часть моделей старшей мощности выпускается с защитой IP54 для запылённых помещений.;Прямо наоборот по выгрузке. Единственная позиция с IP54 в razdel.primery_modeley - 'Винтовой компрессор Cross Air CA5.5-8RA-300, IP54', то есть младшая мощность 5,5 кВт. Утверждение про 'старшую мощность' разделом не подтверждается ничем.;Снять привязку IP54 к мощности либо сверить по выгрузке, на каких типоразмерах реально есть исполнение IP54, и назвать их.
/catalog/vozdushnye-kompressory/cross-air/;5;ВНИМАНИЕ;Линейка охватывает мощности от 5,5 до 250 кВт с рабочим давлением 8 и 10 бар.;Верхняя граница диапазона не подтверждается ничем в досье: fakty_brenda пустой, razdel.tsena_max 237 588 руб., максимальная мощность среди 12 примеров - 15 кВт. Нижняя граница 5,5 кВт корректна (CA5.5-10GA, tsena_min 118 717 руб.). Отдельно: жёсткое 'давление 8 и 10 бар' может быть неполным - в запросах страницы есть 'компрессор винтовой gross air ca30-16ga', то есть исполнения на 16 бар в природе;Взять фактический диапазон мощности и давлений по 220 позициям выгрузки и поставить его. Гейт: диапазон характеристики допускать в текст только если он подтверждён fakty_brenda или выводится из выгрузки раздела.
/catalog/vozdushnye-kompressory/cross-air/;5;ПРОВЕРИТЬ;Частотный преобразователь увеличивает цену на треть относительно базы, но снижает расход электроэнергии при переменной нагрузке.;Наценка в треть не подтверждена: fakty_brenda и spravka_kategorii пустые, весь ценовой разброс раздела - от 118 717 до 237 588 руб. по всем мощностям сразу, из него наценку на частотник не вывести.;Либо подтвердить по прайсу и вынести в kb, либо убрать число и оставить качественную формулировку.
/catalog/vozdushnye-kompressory/cross-air/;5;ПРОВЕРИТЬ;"Для ООО ""Автоойл"" поставлен компрессор Cross Air CA-5.5/10-RA с встроенным ресивером и давлением 10 бар.";Маркировка записана в двух разных нотациях в одной статье: в кейсах 'CA-5.5/10-RA' и 'CA-5.5/8-RA', в выгрузке 'CA5.5-10RA' и 'CA5.5-8RA-300'. Для читателя мелочь, для поиска нет: люди набирают модель ровно так, как она на шильдике ('crossair ca30-8ga', 'ca11-10ra-f', 'винтовой компрессор crossair ca15 10ra').;Свести написание моделей в статьях к нотации выгрузки.
/catalog/vozdushnye-kompressory/cross-air/;7;ВНИМАНИЕ;Электрические винтовые компрессоры Cross Air для производства;"Первый h2 и H1 страницы задают ту же тему, что и дочерний раздел /catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/cross-air/, и по kannibalizaciya эти два URL стоят вплотную: Яндекс, 'винтовой компрессор cross air' - брендовая 36 показов на позиции 8,27, дочерняя 23 показа на 8,33; Google, 'винтовой компрессор кросс аир' - дочерняя на 6,0 против нашей 11,89.";Развести: брендовую страницу расширить до всего бренда (модельный ряд, исполнения, расходники), у дочерней оставить винтовую электрическую конкретику, поставить с брендовой явную ссылку вниз.
/catalog/vozdushnye-kompressory/dalgakiran/;2;КРИТИЧНО;Винтовой компрессор рассчитан на непрерывную работу в течение всей смены без перегрева. Поршневой требует циклов охлаждения (режим работы 50-70% времени) и при постоянной нагрузке изнашивается быстрее.;На брендовой странице, которая по description сама обещает 'винтовые, поршневые и безмасляные модели', единственное упоминание поршневых машин - это аргумент против их покупки. При этом по 'поршневые компрессоры dalgakiran' страница получает 33 показа на позиции 3,24 с нулём кликов: человек ищет поршневой Dalgakiran, попадает на текст, где ему объясняют, что поршневой хуже. Утверждение про 'режим ;Перегенерировать статью под всю марку: отдельные блоки по винтовым (F, TIDY-N), поршневым и безмасляным (серия Eagle, 211 позиций с фасетом 'безмасляный'). Сравнение винтовых с поршневыми переформулировать как выбор под режим работы, а не как приговор поршневым. Число 50-70 % либо подтвердить в kb, 
/catalog/vozdushnye-kompressory/dalgakiran/;5;ВНИМАНИЕ;Серия TIDY-N - готовые станции с интегрированным ресивером объемом от 270 до 500 литров.;Нижняя граница противоречит собственному ассортименту. В блоке kannibalizaciya фигурирует наша карточка /catalog/kompressor-vintovoy-dalgakiran-tidy-n-5-10-250d-compact/ - индекс 250D, то есть станция TIDY-N с ресивером 250 литров, что ниже заявленных 270. Ни fakty_brenda, ни spravka_kategorii по странице не заполнены, то есть ряд 270-500 взят ниоткуда, а единственное независимое свидетельство в д;Сверить ряд ресиверов TIDY-N по выгрузке и поставить реальные крайние значения (как минимум включить 250 л). Ряды объёмов ресивера завести в kb, чтобы гейт мог их проверять.
/catalog/vozdushnye-kompressory/dalgakiran/;4;КРИТИЧНО;Воздушные компрессоры Dalgakiran (Далгакиран) - купить в России;980 показов и 1 клик в Google при взвешенной позиции 6,5, причём пять запросов стоят в топ-3 с нулём кликов: 'винтовые компрессоры dalgakiran' 43 показа на 2,09, 'компрессоры далгакыран' 32 на 2,34, 'компрессоры dalgakiran' 71 на 2,83, 'компрессор далгакиран' 38 на 2,97, 'компрессор dalgakiran' 104 на 3,11. На позиции 2-3 нулевой CTR объясняется только сниппетом. В title нет ни слова 'винтовые' (о;Поставить предложенные title и description. В description завести написание 'Далгакыран' и число исполнений из выгрузки.
/catalog/vozdushnye-kompressory/dalgakiran/;6;ВНИМАНИЕ;Официальный дилер предоставляет заводскую гарантию и поддержку по расходным материалам. Под аналогичные задачи поставляются электрические винтовые компрессоры Enger на винтовых блоках BAOSI и HANBELL.;Два разных дефекта в одном абзаце. Первый: единственная каталожная ссылка страницы уводит на конкурирующий бренд Enger, при том что внутрь ассортимента Dalgakiran (безмасляные, поршневые, дочерний винтовой раздел) не ведёт ни одна ссылка. Абзац про Enger с теми же блоками BAOSI и HANBELL дословно повторяется на других брендовых страницах корпуса, то есть это сквозная вставка, а не решение по этому;Убрать блок Enger с брендовых страниц конкурентов. Освободившееся место отдать ссылкам внутрь Dalgakiran. Статус дилера либо подтвердить документом и внести в kb, либо переформулировать без слова 'официальный'.
/catalog/vozdushnye-kompressory/dalgakiran/;2;ВНИМАНИЕ;В нашем каталоге доступно более 1 450 исполнений с учетом вариантов по давлению и комплектации, а под заказ поставляется полная линейка бренда.;Число верное (pozitsiy_v_vygruzke=1500), но за ним следует разбор ровно двух серий - F и TIDY-N - и ровно шести моделей младших типоразмеров (F 3-7, F 4-10, F 5-13, TIDY-N 3-10, TIDY-N 4-10). Раздел при этом на 75 страниц пагинации, и живой спрос идёт по старшим машинам: 'компрессоры dalgakiran 75 квт' 28 показов на позиции 6,43, 'компрессоры dalgakiran 55 квт' 6 показов, 'компрессор dalgakiran ti;Добавить диапазон мощностей и производительностей линейки по выгрузке, назвать старшие типоразмеры TIDY 20 и TIDY 30, по которым уже идут показы. Взять границы из выгрузки, не из памяти.
/catalog/vozdushnye-kompressory/dalgakiran/;5;ПРОВЕРИТЬ;Большинство пневмоинструмента работает при 6-7 барах, но некоторые задачи (пескоструй, продувка труб) требуют 10-13 бар.;Верхняя граница 13 бар занижена относительно собственного ассортимента: в проектных кейсах той же статьи фигурирует 'компрессор TIDY 15-14,5 500L Compact', то есть исполнение на 14,5 бар. По индексам моделей в razdel.primery_modeley видно ряд 7 / 7,5 / 8,5 / 10 / 13. Утверждение про 6-7 бар для большинства инструмента в spravka_kategorii не подтверждено, поле пустое.;Привести верхнюю границу в соответствие с ассортиментом (не ниже 14,5 бар) либо явно разделить: 'требования потребителей' и 'что есть в линейке'. Типовые давления пневмоинструмента внести в справку категории.
/catalog/vozdushnye-kompressory/dali/;5;КРИТИЧНО;Серия EN низкого давления. Стационарные машины мощностью 5,5-558,9 кВт.;Прямое противоречие базе фактов. В fakty_brenda: 'Стационарные винтовые компрессоры EN НД: 30–250 кВт, давление 2,2–5 бар, производительность 3,2–55,7 м³/мин'. Статья занижает нижнюю границу в 5,5 раза (5,5 против 30) и завышает верхнюю в 2,2 раза (558,9 против 250). Число 558,9 выглядит как склейка с производительностью: в базе есть 55,7 м³/мин, и 558,9 похоже на искажённый перенос этой цифры в к;Поставить 30-250 кВт из fakty_brenda. В гейт достоверности добавить правило: диапазон мощности серии обязан совпадать с полем базы фактов, иначе генерация роняется.
/catalog/vozdushnye-kompressory/dali/;2;КРИТИЧНО;Серия EN низкого давления. ... Рабочее давление 2.2, 3 или 5 бар... Серия EN высокого давления. ... Давление 25, 30 или 35 бар.;Все 440 позиций раздела по razdel.primery_modeley - это DL-7.5/8RA, DL-7.5/10RA, DL-7.5/13RA, DL-11/8RA, DL-11/10RA, DL-11/13RA, DL-15/x, DL-18.5/x, то есть 8, 10 и 13 бар. Ни одно из трёх описанных статьёй давлений в разделе не встречается. Статья подробно расписывает серии, которых в продаже нет, и молчит про серию, которая составляет весь раздел. Это же подтверждают запросы: 'винтовой компрессо;Перегенерировать статью вокруг серии DL: расшифровать индексы RA и GA, развести 8/10/13 бар по задачам, дать шаг мощностей 7,5-18,5 кВт и выше по выгрузке. Серии EN и DLVF оставить одним абзацем 'что возим под заказ'.
/catalog/vozdushnye-kompressory/dali/;4;КРИТИЧНО;Купить винтовые компрессоры DALI: модели DL и DLVF, давление 3-35 бар;"Число вне выгрузки и вне базы фактов. В fakty_brenda нижняя граница НД - 2,2 бар, а не 3; верхняя граница ВД - 35 бар, но она относится к машинам 200-400 кВт, которых в разделе нет. Реальные позиции раздела - 8, 10 и 13 бар. Сниппет склеивает нижнюю границу одной серии с верхней границей другой, а по факту не описывает ни одну позицию раздела.";Убрать сквозной диапазон. В description указать давления, которые реально есть в выгрузке (8, 10, 13 бар), и цену от 285 323 руб.
/catalog/vozdushnye-kompressory/dali/;5;ВНИМАНИЕ;Двигатели до 55 кВт - двухполюсные, от 90 до 132 кВт - четырёхполюсные, 200 кВт и выше - снова двухполюсные.;База фактов формулирует правило точечно и с оговоркой: 'Двигатели до 55 кВт включительно - 2-полюсные, 90-132 кВт - 4-полюсные, 200 кВт - снова 2-полюсные (для серии EN/3)'. Статья превратила '200 кВт' в '200 кВт и выше' и потеряла привязку к серии EN/3, хотя в базе отдельно сказано, что в серии EN/5 все двигатели двухполюсные от 30 до 250 кВт. Обобщение расширяет факт за пределы источника.;Вернуть формулировку базы с указанием серии, либо убрать правило полюсности как несущественное для покупателя.
/catalog/vozdushnye-kompressory/dali/;5;ПРОВЕРИТЬ;"Доступно более 430 вариантов комплектаций с учётом исполнений по давлению; под заказ поставляется вся линейка бренда.";Само число сходится с razdel.pozitsiy_v_vygruzke=440. Но фасет 'DALI' на живой странице даёт 421, а не 440, при 22 страницах пагинации. Расхождение выгрузки и фасета в 19 позиций - повод сверить, что именно считается разделом.;Свести источник числа для меты и текста к одному полю выгрузки, проверить, не попадают ли в раздел позиции других брендов.
/catalog/vozdushnye-kompressory/dali/;5;ПРОВЕРИТЬ;Промышленные винтовые компрессоры DALI работают от трёхфазной сети 380 В.;В fakty_brenda данных по электропитанию нет, spravka_kategorii пустая. Для промышленных винтовых машин утверждение выглядит естественным, но источником не подтверждено, а на соседних брендовых страницах такая же фраза уже отсекала живой спрос на однофазные машины.;Подтвердить по прайсу или переформулировать без категоричности.
/catalog/vozdushnye-kompressory/ekomak/;5;КРИТИЧНО;Давление на выходе фиксировано заводом: 8 бар для задач, не требующих высокого давления (обдув, продувка), 10 бар для пневмоинструмента и покраски.;Утверждение подано как абсолютное ('фиксировано заводом') и опровергается данными самого досье: в kannibalizaciya перечислены наши собственные карточки Ekomak с другими давлениями - /catalog/vintovoy-kompressor-ekomak-eko-22-d-vst-7/ и /vintovoy-kompressor-ekomak-eko-30-cd-7/ и /vintovoy-kompressor-ekomak-eko-111-cd-7/ на 7 бар, /vintovoy-kompressor-ekomak-eko-250-d-vst-13/ на 13 бар. То есть в на;Переписать на 'в наличии исполнения на 8 и 10 бар, под заказ - от 7 до 13 бар' и добавить абзац про серию EKO. fakty_brenda по Ekomak пуста - завести карточку бренда в kb с перечнем серий (DMD, EKO, EPS, EKM) и сеткой давлений, чтобы гейт мог ронять такие утверждения.
/catalog/vozdushnye-kompressory/ekomak/;5;ВНИМАНИЕ;Средние и старшие машины (DMD 75-200) закрывают потребности участков с расходом до 35 м³/мин.;Заголовок блока - 'Серии и модели в продаже', то есть речь о том, что есть в разделе. По razdel весь раздел из 420 позиций укладывается в цену от 278 608 до 370 041 ₽ - разброс в 1,3 раза, а все 12 primery_modeley это DMD 30, 40 и 55 в комплектациях C и CR. Машина на 35 м³/мин в такой ценовой коридор не помещается. Тем же ломается и кейс 'В Выксе для ИП Лескина О.Н. установлен компрессор DMD 200 C;Разделить: что есть в наличии (DMD 30-55) и что везём под заказ (DMD 75-200). Про 35 м³/мин говорить только в кейсе, с оговоркой 'поставлен под заказ'.
/catalog/vozdushnye-kompressory/ekomak/;4;ВНИМАНИЕ;Компрессоры Ekomak: 420 моделей, цены от 278 608 ₽ и КП. Подбор инженером за 1 час, гарантия 5 лет, решения для предприятий.;Description обещает пятилетнюю гарантию на Ekomak, а единственное место в статье, где названо число лет гарантии, относится к другому бренду: 'Гарантия на крупные машины Enger - до 5 лет'. Про Ekomak статья говорит осторожно и без цифр: 'На компрессоры Ekomak распространяется заводская гарантия'. fakty_brenda пуста, подтверждения сроку нет. То есть в сниппете, который видит человек в выдаче, стоит;Убрать '5 лет' из description до подтверждения по гарантийному талону Ekomak. Проверить весь корпус: 'гарантия 5 лет' выглядит шаблонной вставкой в мету, а не фактом бренда.
/catalog/vozdushnye-kompressory/ekomak/;2;ВНИМАНИЕ;Основу линейки составляет серия DMD. Младшие модели (DMD 30, 40, 55) оснащаются винтовыми блоками с прямым приводом и электродвигателями мощностью 22-37 кВт.;Прямой привод назван только у младших моделей и только вскользь, тогда как это второй по величине кластер спроса страницы: 'компрессоры ekomak с прямым приводом' 23 показа на позиции 4,39 и 'компрессор ekomak с прямым приводом' 9 показов на 4,56, суммарно 32 показа в топ-5 при нуле кликов. По фасету 'прямой' в разделе 213 позиций из 420. Ни в title, ни в description слова нет.;Вынести прямой привод в отдельный смысловой блок (что даёт, чем отличается от ременного, каким моделям соответствует) и добавить в title или description.
/catalog/vozdushnye-kompressory/ekomak/;3;ПРОВЕРИТЬ;Для одного-двух постов пескоструя или покрасочных пистолетов достаточно младших моделей производительностью 3-5 м³/мин.;spravka_kategorii пуста, расходов воздуха на пост в досье нет, поэтому это не могу назвать ошибкой. Но внутри самой статьи ориентир ведёт в дорогой угол: 3-5 м³/мин отнесено к 'младшим моделям' с двигателями 22-37 кВт, а нижняя цена раздела - 278 608 ₽. Покупателю с одним покрасочным пистолетом статья фактически предлагает машину за четверть миллиона и выше, альтернативы меньшего класса не называе;Подтвердить расход воздуха на пост покраски и пескоструя по справке категории и завести цифры в spravka_kategorii. Если расход поста ниже, добавить оговорку про поршневые машины и ссылку на соответствующий раздел.
/catalog/vozdushnye-kompressory/ekomak/;5;ПРОВЕРИТЬ;Компрессоры Ekomak (турецкий бренд) поставляются в Россию для малого и среднего производства.;fakty_brenda по Ekomak пуста, страна происхождения из базы не подтверждается. Косвенно фасет страны на этой странице даёт значение 'Турция-Бельгия' на 312 позиций из 420, то есть в выгрузке происхождение записано как совместное, а не как чисто турецкое, и на 108 позиций раздела оно вообще иное.;Свериться с карточкой бренда и записать происхождение так, как оно стоит в выгрузке. Завести fakty_brenda для Ekomak: сейчас у этой брендовой страницы гейта достоверности нет вообще.
/catalog/vozdushnye-kompressory/ekomak/;6;ВНИМАНИЕ;Под схожие производственные задачи поставляются электрические винтовые компрессоры Enger. Машины комплектуются винтовыми блоками BAOSI (серии BS) и HANBELL (серии HC, HB, HA), часть моделей оснащается частотным преобразователем для работы при переменном расходе воздуха. Гарантия на крупные машины En;Тот же сквозной блок 'Альтернатива в каталоге', что и на странице Remeza, слово в слово про Enger, с двумя исходящими ссылками. На брендовой странице он уводит посетителя на крупнейший конкурирующий бренд каталога (Enger, 3953 позиции). Ничего из перечисленного (BAOSI, HANBELL, серии BS/HC/HB/HA, 5 лет) в досье этой страницы не подтверждается, а цифра гарантии оттуда протекла в description Ekomak.;Снять шаблонный блок с брендовых страниц или сократить до одной строки без чужих технических подробностей. Освободившееся место отдать серии EKO и прямому приводу.
/catalog/vozdushnye-kompressory/ekomak/;3;ПРОВЕРИТЬ;Производительность от 3 до 10 м³/мин при давлении 8 или 10 бар.;Относится к DMD 30, 40 и 55 с двигателями 22-37 кВт. Верхняя граница 10 м³/мин для 37 кВт в досье ничем не подтверждена: fakty_brenda пуста, spravka_kategorii пуста. Соседний абзац даёт 35 м³/мин для DMD 200, что при линейной пропорции по номеру модели даёт для DMD 55 примерно 9,6 - то есть внутренне цифра согласована, но ни одной внешней опоры у неё нет.;Сверить производительность DMD 30/40/55 по прайсу или паспорту и внести в kb. Пока цифра не подтверждена, диапазон в тексте лучше сузить до значений из карточек товара.
/catalog/vozdushnye-kompressory/enger/;5;КРИТИЧНО;Гарантийное обслуживание действует 2 года на стандартные модели, на крупные компрессоры высокой мощности гарантия продлевается до 5 лет.;Прямое нарушение раздела НЕ УТВЕРЖДАТЬ в fakty_brenda: 'Не утверждать гарантийные сроки - в данных отсутствуют'. Ущерб не ограничен этой страницей: формулировка 'гарантия до 5 лет' скопирована в статьи LUPAMAT, Airpol, 10 бар и 12000 л/мин, а в description страницы LUPAMAT она вообще приписана турецкому бренду. То есть одно неподтверждённое обещание тиражировано по всему каталогу и является публич;"Убрать конкретные сроки со всех страниц до получения письменных гарантийных условий от поставщика; после получения внести их в fakty_brenda и только затем возвращать в тексты."
/catalog/vozdushnye-kompressory/enger/;5;КРИТИЧНО;Маслозаполненные электрические винтовые компрессоры охватывают диапазон от 1,5 до 2000 кВт.;fakty_brenda даёт 'Линейка маслозаполненных винтовых: 4-30 кВт, давление 7/8/10/12 бар', то есть верхняя граница завышена почти в семьдесят раз. Статья опровергает себя через абзац: 'младшие модели на 4 кВт развивают 0,5 м³/мин, старшие на 30 кВт выдают до 5 м³/мин при давлении 8 бар'. Отдельно надо учесть, что и база устарела: в разделе 132 кВт лежат Enger HC-132DT и BS-132DT.;Взять фактический диапазон мощностей Enger по выгрузке всего каталога, обновить fakty_brenda и поставить в статью подтверждённые границы.
/catalog/vozdushnye-kompressory/enger/;2;КРИТИЧНО;Китайский завод в Хуэйчжоу (провинция Гуандун) специализируется на компрессорном оборудовании: маслозаполненные винтовые, безмасляные винтовые и спиральные модели.;Это единственное упоминание безмасляных и спиральных машин во всей статье, дальше текст только про маслозаполненные винтовые. По razdel.fasety_filtra в разделе 'безмасляный' 926, 'винтовой безмасляный' 524, 'винтовой двухступенчатый' 491 при 4300 позициях. При этом fakty_brenda содержит по безмасляным самый подробный материал базы: OFS с впрыском воды, 5,5-220 кВт, до 12,5 бар, до 36 м³/мин, охлаж;Добавить два блока: безмасляные OFS и спиральные, с параметрами из fakty_brenda, и развилку 'когда нужна безмасляная машина'. Заодно упомянуть роторные воздуходувки HLSR, которые есть в razdel.primery_modeley.
/catalog/vozdushnye-kompressory/enger/;5;ВНИМАНИЕ;Серия HJ и модификации с суффиксом DTE оснащены частотным преобразователем.;Опровергается razdel.primery_modeley этой же страницы: в разделе одновременно лежат 'Винтовой компрессор Enger HJ-3-380 8' и 'Винтовой компрессор Enger HJ-3-380VSD 8', то есть внутри серии HJ есть исполнения и без частотника. Признак частотника - суффикс VSD или DTE. Та же ошибка повторена в статье раздела 220 В, где утверждается, что все машины HJ идут с частотником.;Переписать: частотник обозначается суффиксами VSD и DTE, а серия HJ выпускается в обоих исполнениях. Поправить и статью раздела 220 В.
/catalog/vozdushnye-kompressory/enger/;1;ВНИМАНИЕ;"В нашем каталоге свыше 4250 вариантов исполнения с учётом комплектаций по давлению и оснащению; под заказ поставляется весь модельный ряд бренда.";Крупнейший раздел каталога (razdel.pozitsiy_v_vygruzke=4300, 198 страниц пагинации, фасет бренда 3953) описан текстом в 2792 знака с четырьмя H2 и без FAQ - это самый короткий материал батча при самом большом ассортименте. Само число тоже выбрано посередине между 4300 и 3953 и не подтверждается ни одним из них.;Расширить статью до уровня остальных брендовых страниц: перечень серий с параметрами, таблица подбора, безмасляная линейка, FAQ. Количество взять по фасету бренда.
/catalog/vozdushnye-kompressory/enger/;4;ВНИМАНИЕ;Воздушные компрессоры ENGER купить - цены, доставка по России;Кириллические написания дают около 50 показов и лучшие позиции страницы ('компрессоры энгер' 10 показов на позиции 3,1, 'енгер' 21 показ на 6,8, 'купить компрессор энгер' на 2,0), и ни одного вхождения кириллицей в мете нет. Description при этом длиннее нормы (мехфлаг DESC_ДЛИНА_162), состоит из общих слов и обещает гарантию, которая не подтверждена базой фактов.;Поставить предложенные title и description: добавить 'Энгер', страну, серии, давления и цену от 99 964 руб, убрать слово 'гарантия' до подтверждения условий.
/catalog/vozdushnye-kompressory/enger/;5;ПРОВЕРИТЬ;"Базовые исполнения без частотника (Fixed speed) начинаются от ста тысяч рублей; модификации с преобразователем (PM VSD) выше по стоимости на 30-40%.";Терминология Fixed speed и PM VSD подтверждена fakty_brenda, нижняя граница цены сходится с razdel.tsena_min=99 964, а вот надбавка 30-40 % не подтверждена ничем и стала уже четвёртым значением в корпусе: 20-25 % на разделе 10 бар, 20-30 % на разделе 220 В, 30-50 % на разделе 12000 л/мин. Проверить мешает и выгрузка: tsena_max по разделу 118 562, тогда как машины Enger в разделе 132 кВт стоят от 1;Починить выгрузку цен по брендовому разделу, посчитать надбавку по парам 'Fixed speed - PM VSD' и поставить одно значение во всех статьях корпуса.
/catalog/vozdushnye-kompressory/fiac/;5;КРИТИЧНО;"В нашем каталоге более 700 вариантов винтовых компрессоров по давлению и комплектации; остальные позиции линейки бренда везём под заказ.";Число взято из razdel.pozitsiy_v_vygruzke (720) и приписано винтовым, тогда как фасет 'винтовой' в razdel.fasety_filtra даёт 351. То есть примерно половина раздела молча зачислена в винтовые - и это не мелочь счёта, а фундамент всей статьи: на нём построено сужение темы до серии New Silver и игнорирование поршневой части бренда, по которой идут показы на позициях 9-13 ('поршневой компрессор fiac' ;Перегенерировать статью под весь бренд: винтовая часть New Silver плюс отдельный блок про поршневые машины и ресиверы FIAC. Числа брать из фасета соответствующего типа. Завести fakty_brenda по FIAC - сейчас у страницы нет гейта достоверности вообще.
/catalog/vozdushnye-kompressory/fiac/;5;ВНИМАНИЕ;Линейка охватывает производительность от 0,34 до 9 м³/мин при давлении 8, 10 или 13 бар.;Верхняя граница не помещается в цены раздела. razdel.tsena_max по всем 720 позициям равен 274 788 руб., а в соседнем разделе того же каталога машины на 0,9 м3/мин стоят до 209 226 руб. (/kompressory-900-l-min/) и на 20 м3/мин от 1 215 837 руб. (/kompressory-20000-l-min/). Производительность 9 м3/мин при потолке цены 274 788 руб. невозможна. Косвенно это подтверждают и примеры: все 12 моделей в raz;Взять фактический диапазон производительности по 720 позициям выгрузки. Гейт: диапазон характеристики сверять с ценовым потолком раздела - несовместимая пара должна ронять генерацию.
