url;h1;группа;статья;знаков;позиций_в_razdele;флаги
/catalog/vozdushnye-kompressory/po-tipu/vintovye/belarus/;Белорусские винтовые компрессоры;ВК / po-tipu;ours;4950;26;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/atom/;Винтовые компрессоры ATOM;ВК / po-tipu;ours;4863;26;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/berg/;Винтовые компрессоры BERG;ВК / po-tipu;ours;5067;26;DESC_ДЛИНА_205
/catalog/vozdushnye-kompressory/po-tipu/vintovye/aztec/;Винтовые компрессоры AZTEC;ВК / po-tipu;ours;4602;13;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/bez-osushitelya-na-resivere-bez-chastotnogo-preobrazovatelya/;Винтовые компрессоры базового исполнения;ВК / po-tipu;ours;4022;26;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/bez-resivera/;Винтовые компрессоры без ресивера;ВК / po-tipu;ours;4208;26;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/chekhiya/;Чешские винтовые компрессоры;ВК / po-tipu;ours;4663;26;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/bez-osushitelya-na-resivere/;Винтовые компрессоры без осушителя на ресивере;ВК / po-tipu;ours;4892;26;DESC_ДЛИНА_165
/catalog/vozdushnye-kompressory/po-tipu/vintovye/bezhetsk/;Винтовые компрессоры Бежецк;ВК / po-tipu;ours;4703;26;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/comaro/;Винтовые компрессоры COMARO;ВК / po-tipu;ours;4341;26;TITLE_ДУБЛЬ_x2
/catalog/vozdushnye-kompressory/po-tipu/vintovye/comprag/;Винтовые компрессоры Comprag;ВК / po-tipu;ours;4624;26;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/das/;Винтовые компрессоры DAS;ВК / po-tipu;ours;4625;26;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/dizelnye/15-to-15/;Дизельные винтовые компрессоры 15 кВт;ВК / po-tipu;ours;4907;7;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/dizelnye/belarus/;Белорусские дизельные винтовые компрессоры;ВК / po-tipu;ours;4603;24;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/dizelnye/bezhetsk/;Дизельные компрессоры Бежецк;ВК / po-tipu;ours;4830;9;DESC_ДЛИНА_178
/catalog/vozdushnye-kompressory/po-tipu/vintovye/dizelnye/chekhiya/;Чешские дизельные винтовые компрессоры;ВК / po-tipu;ours;4550;27;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/dizelnye/das/;Дизельные компрессоры DAS;ВК / po-tipu;ours;4814;11;DESC_ДЛИНА_175
/catalog/vozdushnye-kompressory/po-tipu/vintovye/dizelnye/kraftmachine/;Дизельные компрессоры KRAFTMACHINE;ВК / po-tipu;ours;4900;27;DESC_ДЛИНА_184
/catalog/vozdushnye-kompressory/po-tipu/vintovye/dizelnye/minskiy-motornyy-zavod/;Дизельные компрессоры Минский моторный завод;ВК / po-tipu;ours;4902;20;TITLE_ДЛИНА_79|DESC_ДЛИНА_194
/catalog/vozdushnye-kompressory/po-tipu/vintovye/dizelnye/ozen/;Дизельные компрессоры OZEN;ВК / po-tipu;ours;4353;14;DESC_ДЛИНА_176
/catalog/vozdushnye-kompressory/po-tipu/vintovye/dizelnye/polsha/;Польские дизельные винтовые компрессоры;ВК / po-tipu;ours;4386;27;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/dizelnye/rossiya/;Российские дизельные винтовые компрессоры;ВК / po-tipu;ours;4711;27;TITLE_ДЛИНА_72
/catalog/vozdushnye-kompressory/po-tipu/vintovye/dizelnye/turtsiya/;Турецкие дизельные винтовые компрессоры;ВК / po-tipu;ours;4498;27;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/dizelnye/shvetsiya/;Шведские дизельные винтовые компрессоры;ВК / po-tipu;ours;4411;27;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/dvukhstupenchatye/dalgakiran/;Двухступенчатые компрессоры DALGAKIRAN;ВК / po-tipu;ours;4341;27;TITLE_ДЛИНА_73|DESC_ДЛИНА_185
/catalog/vozdushnye-kompressory/po-tipu/vintovye/dvukhstupenchatye/enger/;Двухступенчатые винтовые компрессоры Enger;ВК / po-tipu;ours;4606;27;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/ekomak/;Винтовые компрессоры Ekomak;ВК / po-tipu;ours;4280;26;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/18.5-to-18.5/;Электрические винтовые компрессоры 18,5 кВт;ВК / po-tipu;ours;4257;27;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/30-to-30/;Электрические винтовые компрессоры 30 кВт;ВК / po-tipu;ours;4268;27;TITLE_ДЛИНА_72
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/30000-to-30000/;Электрические винтовые компрессоры производительностью 30 м3/мин (30000 л/мин);ВК / po-tipu;ours;4422;27;TITLE_ДЛИНА_77
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/400-to-400/;Электрические винтовые компрессоры с ресивером 400 л;ВК / po-tipu;ours;4758;27;БИТЫХ_ССЫЛОК_1
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/7-to-7/;Электрические винтовые компрессоры 7 кВт;ВК / po-tipu;ours;4939;27;TITLE_ДЛИНА_71
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/800-to-800/;Электрические винтовые компрессоры производительностью 800 л/мин;ВК / po-tipu;ours;4674;27;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/belarus/;Белорусские электрические винтовые компрессоры;ВК / po-tipu;ours;4375;27;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/bez-resivera/;Электрические винтовые компрессоры без ресивера;ВК / po-tipu;ours;4486;27;DESC_ДЛИНА_166
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/bez-osushitelya-na-resivere-bez-chastotnogo-preobrazovatelya/;Электрические винтовые компрессоры базового исполнения;ВК / po-tipu;ours;4401;27;TITLE_ДЛИНА_73|DESC_ДЛИНА_161
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/bez-osushitelya-na-resivere/;Электрические винтовые компрессоры без осушителя на ресивере;ВК / po-tipu;ours;4289;27;DESC_ДЛИНА_165
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/bezhetsk/;Электрические винтовые компрессоры Бежецк;ВК / po-tipu;ours;4456;27;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/bezmaslyanyy/;Безмасляные электрические винтовые компрессоры;ВК / po-tipu;ours;3733;27;TITLE_ДЛИНА_71
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/chekhiya/;Чешские электрические винтовые компрессоры;ВК / po-tipu;ours;4607;27;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/das/;Электрические винтовые компрессоры DAS;ВК / po-tipu;ours;4836;27;DESC_ДЛИНА_215
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/germaniya-rossiya/;Немецкие и российские электрические винтовые компрессоры;ВК / po-tipu;ours;4935;27;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/germaniya/;Немецкие электрические винтовые компрессоры;ВК / po-tipu;ours;4484;27;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/italiya-kitay/;Итальянские и китайские электрические винтовые компрессоры;ВК / po-tipu;ours;4183;27;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/italiya/;Итальянские электрические винтовые компрессоры;ВК / po-tipu;ours;4905;27;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/kompressory-10-bar/;Электрические винтовые компрессоры 10 бар;ВК / po-tipu;ours;4256;27;TITLE_ДЛИНА_72
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/kraftmachine/;Электрические винтовые компрессоры KRAFTMACHINE;ВК / po-tipu;ours;4557;27;DESC_ДЛИНА_224
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/na-resivere/;Электрические винтовые компрессоры на ресивере;ВК / po-tipu;ours;4445;27;DESC_ДЛИНА_165
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/polsha/;Польские электрические винтовые компрессоры;ВК / po-tipu;ours;4898;27;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/remennyy/;Электрические винтовые компрессоры с ременным приводом;ВК / po-tipu;ours;3725;27;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/pryamoy/;Электрические винтовые компрессоры с прямым приводом;ВК / po-tipu;ours;4628;27;TITLE_ДЛИНА_71
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/rkz/;Электрические винтовые компрессоры РКЗ;ВК / po-tipu;ours;4540;27;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/rossiya/;Российские электрические винтовые компрессоры;ВК / po-tipu;ours;4793;27;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/s-osushitelem-na-resivere/;Электрические винтовые компрессоры с осушителем на ресивере;ВК / po-tipu;ours;4388;27;DESC_ДЛИНА_164
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/turtsiya-belgiya/;Турецкие и бельгийские электрические винтовые компрессоры;ВК / po-tipu;ours;4289;27;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/s-chastotnym-preobrazovatelem/;Электрические винтовые компрессоры с частотным преобразователем;ВК / po-tipu;ours;4586;27;DESC_ДЛИНА_168
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/s-osushitelem/;Электрические винтовые компрессоры с осушителем;ВК / po-tipu;ours;4635;27;DESC_ДЛИНА_166
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/turtsiya/;Турецкие электрические винтовые компрессоры;ВК / po-tipu;ours;4980;27;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/zega/;Электрические винтовые компрессоры ZEGA;ВК / po-tipu;ours;4867;27;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/fiac/;Винтовые компрессоры FIAC;ВК / po-tipu;ours;3763;26;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/fini/;Винтовые компрессоры Fini;ВК / po-tipu;ours;4342;26;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/germaniya-rossiya/;Немецкие и российские винтовые компрессоры;ВК / po-tipu;ours;4633;26;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/germaniya/;Немецкие винтовые компрессоры;ВК / po-tipu;ours;4128;26;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/italiya-kitay/;Итальянские и китайские винтовые компрессоры;ВК / po-tipu;ours;4671;26;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/kitay/;Китайские винтовые компрессоры;ВК / po-tipu;ours;4857;26;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/kraftmann/;Винтовые компрессоры KRAFTMANN;ВК / po-tipu;ours;5115;26;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/mark/;Винтовые компрессоры MARK;ВК / po-tipu;ours;4204;26;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/peredvizhnye/zega/;Передвижные винтовые компрессоры ZEGA;ВК / po-tipu;ours;4614;27;TITLE_ДЛИНА_72|DESC_ДЛИНА_191
/catalog/vozdushnye-kompressory/po-tipu/vintovye/peredvizhnye/zif/;Передвижные винтовые компрессоры ЗИФ;ВК / po-tipu;ours;4389;27;TITLE_ДЛИНА_71|DESC_ДЛИНА_190
/catalog/vozdushnye-kompressory/po-tipu/vintovye/polsha/;Польские винтовые компрессоры;ВК / po-tipu;ours;4358;26;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/turtsiya/;Турецкие винтовые компрессоры;ВК / po-tipu;ours;4556;26;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/shvetsiya/;Шведские винтовые компрессоры;ВК / po-tipu;ours;4372;26;
/catalog/vozdushnye-kompressory/po-tipu/vintovye/ultratech/;Винтовые компрессоры ULTRATECH;ВК / po-tipu;ours;4599;26;
/catalog/vozdushnye-kompressory/po-tipu/vozdukhoduvki/rotornye/;Промышленные воздуходувки;ВК / po-tipu;none;0;26;НЕТ_СТАТЬИ|TITLE_ДУБЛЬ_x3|DESC_ДУБЛЬ_x3
/catalog/vozdushnye-kompressory/po-tipu/vintovye/zega/;Винтовые компрессоры ZEGA;ВК / po-tipu;ours;4853;26;
/catalog/vozdushnye-kompressory/po-tipu/vozdukhoduvki/vintovye_2/;Промышленные воздуходувки;ВК / po-tipu;none;0;26;НЕТ_СТАТЬИ|TITLE_ДУБЛЬ_x3|DESC_ДУБЛЬ_x3
